marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
///Industrie Etrangère///Colles de toute sorte,industrie étrangère colle de toute sorte,,4,16
///Industrie étrangère///Colles de toute sorte,industrie étrangère colle de toute sorte,,9,16
///Industrie Etrangère///Faience et poterie,industrie étrangère faïence et poterie,,2,6
///Industrie étrangère///Faience et poterie,industrie étrangère faïence et poterie,,4,6
///Industrie Etrangère///Habillement et lingerie,industrie étrangère habillement et lingerie,,5,17
///Industrie étrangère///Habillement et lingerie,industrie étrangère habillement et lingerie,,12,17
///Industrie étrangère///Horlogerie,industrie étrangère horlogerie,,5,8
///Industrie Etrangère///Horlogeries,industrie étrangère horlogerie,,3,8
///Industrie Etrangère///Librairie,industrie étrangère librairie,,6,22
///Industrie étrangère///Librairie,industrie étrangère librairie,,16,22
///Industrie Etrangère///Marbres,industrie étrangère marbre,,3,13
///Industrie étrangère///Marbres,industrie étrangère marbre,,10,13
///Industrie Etrangère///Merceries,industrie étrangère mercerie,,8,26
///Industrie étrangère///Merceries,industrie étrangère mercerie,,18,26
///Industrie Etrangère///Meubles et miroirs,industrie étrangère meubles et miroirs,,4,13
///Industrie étrangère///Meubles et miroirs,industrie étrangère meubles et miroirs,,9,13
///Industrie Etrangère///Ouvrages de jonc,industrie étrangère ouvrages de jonc,,3,17
///Industrie étrangère///Ouvrages de jonc,industrie étrangère ouvrages de jonc,,14,17
///Industrie Etrangère///Ouvrages divers,industrie étrangère ouvrages divers,,11,37
///Industrie étrangère///Ouvrages divers,industrie étrangère ouvrages divers,,26,37
///Industrie Etrangère///Peaux et pelleteries,industrie étrangère peaux et pelleterie,,17,52
///Industrie étrangère///Peaux et pelleteries,industrie étrangère peaux et pelleterie,,35,52
///Industrie Etrangère///Plumes à écrire,industrie étrangère plumes à écrire,,4,10
///Industrie étrangère///Plumes à écrire,industrie étrangère plumes à écrire,,6,10
///Industrie Etrangère///Plumes d'autruche,industrie étrangère plumes d'autruche,,2,7
///Industrie étrangère///Plumes d'Autruche,industrie étrangère plumes d'autruche,,5,7
///Industrie Etrangère///Plumes de toute sorte,industrie étrangère plumes de toute sorte,,3,23
///Industrie étrangère///Plumes de toute sorte,industrie étrangère plumes de toute sorte,,20,23
"///Industrie étrangère///Porcelaine, faience et poterie",industrie étrangère porcelaine faïence et poterie,,12,12
///Industrie Etrangère///Quincailleries diverses,industrie étrangère quincaillerie diverse,,9,9
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,8,20
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,12,20
