revolutionempire,obsolete,nbr_occurences_revolutionempire,agricultural,nbr_occurences_agricultural
Subsistances diverses et mélangées,non,9891,Agricultural,221043
Sucre,non,10201,Agricultural,221043
Tabac,non,3173,Agricultural,221043
Térébenthine,non,1921,Non-agricultural or unknown,597572
Textiles manufacturés divers et mélangés,non,1704,Non-agricultural or unknown,597572
Thé,non,1991,Agricultural,221043
Toiles de chanvre et de lin,non,12418,Non-agricultural or unknown,597572
Toiles de coton,non,8922,Non-agricultural or unknown,597572
Toiles diverses,non,11032,Non-agricultural or unknown,597572
Verdet,non,2084,Non-agricultural or unknown,597572
Verrerie,non,6023,Non-agricultural or unknown,597572
Vin de liqueurs,non,859,Agricultural,221043
Vins de Bordeaux,non,1830,Agricultural,221043
Vins divers,non,31688,Agricultural,221043
