simplification,nbr_occurences_simpl,africa,note,nbr_occurences_africa
"Naples, Sicile et Palerme",52,Not Outre-mers,,464432
"Naples, Sicile et Parme",340,Not Outre-mers,,464432
Nord,22250,Not Outre-mers,,464432
Nord (Hanse et Russie),3866,Not Outre-mers,,464432
Norvège,15,Not Outre-mers,,464432
Nouvelle-Grenade,3,Other outre-mers,,69798
Pays d'Aunis,1,Not Outre-mers,,464432
Pays de Gex,19,Not Outre-mers,,464432
Pays de Labour,31,Not Outre-mers,,464432
Pays-Bas,1031,Not Outre-mers,,464432
Pays-Bas et ses colonies,1408,Not Outre-mers,,464432
Pêches à la Baleine,2,Not Outre-mers,,464432
Pêches à la Morue à Terre-Neuve,2,Not Outre-mers,,464432
Pêches à la Morue en Islande,1,Not Outre-mers,,464432
Pêches côtières (Hareng),2,Not Outre-mers,,464432
Pêches côtières (Maquereaux),2,Not Outre-mers,,464432
Pêches côtières (Sardines),1,Not Outre-mers,,464432
Pêches étrangères,15,Not Outre-mers,,464432
Pêches françaises,27,Not Outre-mers,,464432
Pérou,6,Other outre-mers,,69798
Petites Îles,464,Not Outre-mers,,464432
Philippines,1,Other outre-mers,,69798
Piémont,1590,Not Outre-mers,,464432
Piémont et Savoie,340,Not Outre-mers,,464432
Piémont par mer,1,Not Outre-mers,,464432
Piémont par terre,1,Not Outre-mers,,464432
Poitou,1,Not Outre-mers,,464432
Pologne,305,Not Outre-mers,,464432
Pologne-Genève,1,Not Outre-mers,,464432
Ports de la Baltique,1,Not Outre-mers,,464432
Portugal,15022,Not Outre-mers,,464432
Prises et saisies,1305,Not Outre-mers,,464432
Prusse,4608,Not Outre-mers,,464432
Prusse – par mer,2,Not Outre-mers,,464432
Riga,1,Not Outre-mers,,464432
Rio de la Plata,14,Other outre-mers,,69798
Rome et Venise,2,Not Outre-mers,,464432
Rotterdam,1,Not Outre-mers,,464432
Rouen,1,Not Outre-mers,,464432
Royaume d'Étrurie,1153,Not Outre-mers,,464432
Royaume de Sardaigne,5280,Not Outre-mers,,464432
Royaume de Sardaigne – par mer,2,Not Outre-mers,,464432
Royaume de Sardaigne – par terre,2,Not Outre-mers,,464432
Russie,6682,Not Outre-mers,,464432
Saint-Domingue,5564,Other outre-mers,,69798
Saint-Jean de Luz,9,Not Outre-mers,,464432
Saint-Thomas,11,Other outre-mers,,69798
Salonique,5,Not Outre-mers,,464432
"Salonique, Archipel et Satali",17,Not Outre-mers,,464432
Sardaigne,2038,Not Outre-mers,,464432
Savoie,12005,Not Outre-mers,,464432
Savoie et Piémont,11456,Not Outre-mers,,464432
Sénégal,318,Africa,,13807
Sénégal français,4,Africa,,13807
Sidon,5,Not Outre-mers,,464432
Sidon et Acre,15,Not Outre-mers,,464432
Smyrne,35,Not Outre-mers,,464432
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Not Outre-mers,,464432
Strasbourg,1,Not Outre-mers,,464432
Suède,11150,Not Outre-mers,,464432
Suède et ses colonies,173,Not Outre-mers,,464432
Suisse,13948,Not Outre-mers,,464432
Tobago,740,Other outre-mers,,69798
Tobago et Sainte-Lucie,2,Other outre-mers,,69798
Toscane,636,Not Outre-mers,,464432
Tripoli de Syrie,15,Not Outre-mers,,464432
Trois Évêchés,614,Not Outre-mers,,464432
Turquie,33,Not Outre-mers,,464432
Vénézuela,14,Other outre-mers,,69798
Venise,1946,Not Outre-mers,,464432
Villes hanséatiques,4699,Not Outre-mers,,464432
Voitures diverses,2,Not Outre-mers,,464432
Ypres,1,Not Outre-mers,,464432
