goods_simpl_classification,nbr_occurences_simpl,sitc_classification,imprimatur,obsolete,nbr_occurences_sitc
acide muriatique et nitrique et phosphorique,3,5,x,non,49562
acide muriatique et nitro-muriatique,2,5,x,non,49562
acide nitrique,4,5,x,non,49562
acide oxalique,2,5,x,non,49562
acide phosphorique,2,5,x,non,49562
acide succinique,1,5,x,non,49562
acide tartrique,2,5,x,non,49562
acide vitriolique,4,5,x,non,49562
acide vitriolique et huile de vitriol,109,5,x,non,49562
acier,1679,6j,x,non,39131
acier battu forgé ou laminé,1,6j,,non,39131
acier brun,1,6j,x,non,39131
acier brut,10,6j,x,non,39131
acier commun,1,6j,x,non,39131
acier en barres,6,6j,x,non,39131
acier en bottes pour la Compagnie des Indes,1,6j,,non,39131
acier et clous,1,6j,x,non,39131
acier et fer,356,6j,x,non,39131
acier fondu en carreaux ou en tôle,5,6j,x,non,39131
acier fondu forgé,1,6j,,non,39131
acier forgé,7,6j,x,non,39131
acons,1,7,x,non,8907
acons démontés,20,7,x,non,8907
acons démontés en gabare,2,7,x,non,8907
acorus,5,2,x,non,73883
acuirson,1,???,x,non,4790
acume de cuivre,1,6j,x,non,39131
adatais,3,???,,non,4790
affûts,2,8,,non,59809
affûts de bois,1,8,,non,59809
affûts de canons,11,8,x,non,59809
affûts de fer,1,8,,non,59809
affûts de fusils,1,8,x,non,59809
affûts de fûts à canons,1,8,x,non,59809
affûts et canons,1,8,x,non,59809
agaric,138,2,x,non,73883
agaric amadouvier,6,2,x,non,73883
agaric amadouvier brut,4,2,x,non,73883
agaric amadouvier brut et préparé,12,2,x,non,73883
agaric amadouvier préparé,6,2,x,non,73883
agaric brut et préparé,6,2,x,non,73883
agaric de mélèze,4,2,x,non,73883
agaric fin,1,2,,non,73883
agaric gros,2,2,x,non,73883
agate,11,6k,x,non,17039
agate autre que chique et ouvrages,2,6k,,non,17039
agate autre que chique et ouvrée,0,6k,x,oui,17039
agate brute,4,6k,x,non,17039
agate chique et ouvrée,0,6k,x,oui,17039
agate en pierres,1,6k,,non,17039
agate fine,1,6k,x,non,17039
agate montée,1,8,x,non,59809
agate ouvrée,0,6k,x,oui,17039
agneaux,117,0a,x,non,80056
agneaux communs,8,0a,x,non,80056
agneaux en vie,5,0a,x,non,80056
agneaux et cabris,1,0a,x,non,80056
agneaux mérinos et métis,7,0a,x,non,80056
agnelines et crottelins,1,2,x,non,73883
agobille,2,0a,,non,80056
agoutals,4,6b,x,non,17579
agoutals de bois,5,6b,x,non,17579
agrément,15,6i,x,non,21622
agrément au quart,3,6i,x,non,21622
agrément d'argent,2,6i,x,non,21622
agrément d'or,1,6i,x,non,21622
agrément d'or et d'argent,5,6i,x,non,21622
agrément de fil,9,6i,x,non,21622
agrément de fil et de soie,3,6f,x,non,12147
agrément de fleur,1,9c,x,non,11345
agrément de soie,57,6f,x,non,12147
agrément de soie et d'argent,1,6f,x,non,12147
agrément de soie or et argent faux,1,6f,x,non,12147
agréments de soie et milleret,1,6f,,non,12147
agréments et milleret,1,6i,,non,21622
agrès,15,7,x,non,8907
agrès apparaux de navire et embarcations,6,7,x,non,8907
agrès apparaux et embarcations,2,7,x,non,8907
agrès de navire et jeux de voile,10,7,x,non,8907
agrès et apparaux,2,7,x,non,8907
agrès et apparaux d'or navire,1,7,,non,8907
agrès et bâtiments de mer,10,7,x,non,8907
agrès et embarcations,8,7,x,non,8907
agrès et voile de navire,1,7,x,non,8907
aigles,1,0a,x,non,80056
aigre de cèdre,9,5,x,non,49562
aigre de cidre,5,5,x,non,49562
aigre de vitriol,17,5,x,non,49562
aigrettes,10,8,x,non,59809
aigrettes de fil d'or et d'argent,1,8,x,non,59809
aigrettes de soie,1,8,x,non,59809
aigrettes de soie et argent,1,8,x,non,59809
aigrettes et bavolets,1,8,x,non,59809
aiguières d'étain,1,6j,x,non,39131
aiguilles,209,6j,x,non,39131
aiguilles à boîtes,1,6j,x,non,39131
aiguilles à coudre,61,6j,x,non,39131
aiguilles à coudre voiles,1,6j,,non,39131
aiguilles à ralingue,1,7,x,non,8907
aiguilles à tabac,1,6j,x,non,39131
aiguilles à toile,1,6j,x,non,39131
aiguilles d'emballage,2,6j,x,non,39131
aiguilles de mercerie fine,1,6j,x,non,39131
aiguilles epars de sapin,1,9b,x,non,6225
aiguilles et épingles,1,6j,x,non,39131
aiguilles et épingles de mercerie fine,3,6j,x,non,39131
aiguilles et mercerie fine,2,6j,x,non,39131
aiguilles grosses,1,6j,x,non,39131
aiguilles pour voile,37,7,x,non,8907
aiguillettes,1,8,,non,59809
ail,2,0a,x,non,80056
ailes,4,9c,x,non,11345
ailes de fléaux,1,6j,x,non,39131
ailes de moulins,1,7,x,non,8907
ailor,1,???,x,non,4790
ails,204,0a,x,non,80056
ails à fauches,1,9c,x,non,11345
ails blancs à casser,1,0a,x,non,80056
aimant,1,9c,x,non,11345
ains à pêcher,43,8,x,non,59809
ains et lignes à pêcher,2,8,x,non,59809
airain,6,6j,x,non,39131
airain non ouvré,4,6j,x,non,39131
ajustements,37,8,x,non,59809
ajustements de femme,5,8,x,non,59809
ajustements de soie,2,8,x,non,59809
alambics,17,7,x,non,8907
alambics d'étain,17,7,x,non,8907
alambics de cuivre,2,7,x,non,8907
alambics de terre,1,7,x,non,8907
alana,2,???,,non,4790
alazar,2,???,,non,4790
albâtre,5,2,x,non,73883
albâtre brut,3,2,x,non,73883
albâtre et marbre brut et poli,21,9b,x,non,6225
albâtre moulé poli ou sculpté,6,8,,non,59809
alcalis autre que natron et soude,2,5,x,non,49562
alcalis salin,1,5,,non,49562
alènes,5,6j,x,non,39131
alibanies,97,6g,x,non,11410
alizari,17,2,x,non,73883
alizari et garance,165,2,x,non,73883
alizari sèche,7,2,x,non,73883
alkermés,1,2,x,non,73883
alkermès en grains,23,2,x,non,73883
allaya,84,6i,x,non,21622
alleaux,1,???,,non,4790
allemande de poil,10,6e,x,non,11419
allumettes,54,8,x,non,59809
allumettes à vin,29,8,x,non,59809
allumettes de coton,1,8,x,non,59809
allumettes de mêche soufrée,1,8,x,non,59809
allumettes droguées,3,8,,non,59809
allumettes épicée,2,8,x,non,59809
allumettes opérées et soufrées,1,8,x,non,59809
allumettes soufrées,12,8,x,non,59809
almagro ou crayon rouge,1,8,x,non,59809
almanachs,1,8,x,non,59809
almanachs brochés,2,8,,non,59809
almanachs en blancs,1,6c,,non,4970
almanachs enjolivés,1,8,x,non,59809
almanachs reliés,1,8,,non,59809
aloès,229,2,x,non,73883
aloès cabalin,6,2,x,non,73883
aloès commun,1,2,x,non,73883
aloès et opium,2,2,x,non,73883
aloès hépatique,1,2,x,non,73883
aloès moyen,2,2,x,non,73883
aloiset,1,???,,non,4790
alose,2,0a,x,non,80056
alose fumée,1,0a,x,non,80056
alose salée,5,0a,x,non,80056
aloues,1,???,,non,4790
alouettes,4,0a,x,non,80056
alpargate,37,8,x,non,59809
alphabets,1,8,x,non,59809
alpiste,20,2,x,non,73883
alpiste et millet,9,9b,,non,6225
alquifoux,479,2,x,non,73883
alquifoux en galène,2,2,x,non,73883
alquifoux et mine de plomb,36,2,x,non,73883
alquifoux mine de plomb ou graphite,23,2,,non,73883
alquifoux ou mine de plomb,1,2,x,non,73883
alquifoux sable plombifère,1,2,x,non,73883
alquitra,3,2,x,non,73883
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,8,,non,59809
alto basses contrebasses guitare lyres violes violons,2,8,,non,59809
alto bassons guitare violons,3,8,,non,59809
aluchiabanis,3,???,,non,4790
alun,1873,5,x,non,49562
alun à cordonnier,1,5,,non,49562
alun autre que brûlé ou calciné,2,5,x,non,49562
alun bon,2,5,x,non,49562
alun brûlé,1,5,x,non,49562
alun commun,1,5,x,non,49562
alun de glace,1,5,,non,49562
alun de roche,5,5,x,non,49562
alun de Rome,3,5,x,non,49562
alun de Rome fin rosé,1,5,x,non,49562
alun de Rouen,2,5,x,non,49562
alun de Surde,2,5,x,non,49562
alun du Levant,1,5,x,non,49562
alun en dracy,1,5,x,non,49562
alun en rame,1,5,,non,49562
alun gâté,1,5,x,non,49562
alun ordinaire,1,5,x,non,49562
alvés,2,???,,non,4790
amadou,225,2,x,non,73883
amadou et agaric amadouvier,7,2,x,non,73883
amandes,1207,0a,x,non,80056
amandes à la praline,4,0a,x,non,80056
amandes amères,1,0a,x,non,80056
amandes arachis noisettes noix noyaux,2,0a,x,non,80056
amandes cassée,6,0a,x,non,80056
amandes cassées,384,0a,x,non,80056
amandes cassées ou en coque,3,0a,x,non,80056
amandes courtes,1,0a,x,non,80056
amandes douces,4,0a,x,non,80056
amandes en coque,300,0a,x,non,80056
amandes et figue et raisin,24,0a,x,non,80056
amandes et pelures et prunes et raisin,1,0a,x,non,80056
amandes et pruneaux,2,0a,x,non,80056
amandes et raisin sec,2,0a,x,non,80056
amandes et raisin sec et savon,1,0a,x,non,80056
amandes et savon,2,0a,x,non,80056
amandes et sucre,1,0a,x,non,80056
amandes et verdet,1,0a,x,non,80056
amandes fraîches,1,0a,x,non,80056
amandes longues,1,0a,x,non,80056
amandes mondées,2,0a,x,non,80056
amandes sèches,64,0a,x,non,80056
amandes sèches et figue sèche et ???,9,0a,x,non,80056
amandes sèches et figue sèche et raisin sec,135,0a,x,non,80056
amaril,1,???,,oui,4790
amarine,1,2,,non,73883
ambrain à grande barrique,1,???,,non,4790
ambre,42,2,x,non,73883
ambre blanc,1,2,,non,73883
ambre brut,1,2,x,non,73883
ambre carabé,21,2,x,non,73883
ambre carabé jaune,2,2,x,non,73883
ambre en grains,1,2,,non,73883
ambre et corail,1,2,x,non,73883
ambre gris,36,2,x,non,73883
ambre jaune,72,2,x,non,73883
ambre moulu,2,2,x,non,73883
ameny,1,???,,oui,4790
amer,3,0a,x,non,80056
amer de laine,1,6e,x,non,11419
amertis,4,6g,x,non,11410
ameublement,2,8,,non,59809
ameublement de chitte,1,8,,non,59809
ami de toilé,1,???,,non,4790
amidon,1166,5,x,non,49562
amidon alun,1,5,,non,49562
amidon en grains,1,5,x,non,49562
amidon en poudre,1,5,,non,49562
amidon et poudre à poudrer,1,5,x,non,49562
ammoniac,7,2,x,non,73883
ammoniac et sel,21,2,x,non,73883
ammonium,1,2,x,non,73883
amomum,14,2,x,non,73883
amomum et fèves de tonka et noix de ravensara,2,2,x,non,73883
amomum verum,2,2,x,non,73883
amurca,4,???,,non,4790
anabasse,121,???,,non,4790
anabasse ; bajutapau,3,6h,,non,16365
anabasse ; corat ; nicaneas ; platille,2,6h,,non,16365
anacardes,2,2,x,non,73883
anacoste,3,6e,x,non,11419
ananas,1,0b,x,non,24735
ananas confit,2,0b,x,non,24735
ananas et pommes de grenade,1,0b,,non,24735
ananas planté,1,2,x,non,73883
anatomie,1,8,x,non,59809
anatose,3,???,,non,4790
anches de tonneaux,2,6b,x,non,17579
anchois,851,0a,x,non,80056
anchois câpres et olives,10,0a,x,non,80056
anchois câpres etc.,1,0a,x,non,80056
anchois câpres olives,1,0a,x,non,80056
anchois et boutargue,13,0a,x,non,80056
anchois et câpres,5,0a,x,non,80056
anchois et sardes,1,0a,x,non,80056
anchois et sardines,5,0a,x,non,80056
anchois mariné,6,0a,x,non,80056
anchois mariné et salé,39,0a,x,non,80056
anchois salé et mariné,2,0a,x,non,80056
anchois salés,5,0a,,non,80056
anchois salés et marinés,9,0a,,non,80056
ancres,5,7,x,non,8907
ancres de chaudon,1,???,x,non,4790
ancres de fer,553,7,x,non,8907
ancres de fer à chaudrons,1,???,,non,4790
ancres de fer au-dessus de 250 kilogrammes,1,7,x,non,8907
ancres de fer de 250 kilogrammes et au-dessous,1,7,x,non,8907
ancres de fer et embarcations,2,7,x,non,8907
ancres et embarcations,5,7,x,non,8907
ancres et grappins de fer,1,9b,x,non,6225
ancres gravelées,1,???,,non,4790
ancres neuves,3,7,,non,8907
ancres vides,4,9c,,non,11345
ancres vieilles,1,7,,non,8907
ancres vieilles vides,1,9c,,non,11345
andolium,2,0a,x,non,80056
andouilles,43,0a,x,non,80056
andouillette,1,0a,x,non,80056
ânes,174,0a,x,non,80056
ânes et ânesses,9,0a,x,non,80056
ânes et mulets,11,0a,x,non,80056
ânesses,1,0a,,non,80056
angélique,28,2,x,non,73883
angélique du Rozème,1,2,x,non,73883
anguilles,22,0a,x,non,80056
anguilles et truites,1,0a,x,non,80056
anguilles fraîches,1,0a,x,non,80056
anguilles marinées,1,0a,,non,80056
anguilles salées,22,0a,x,non,80056
anille,1,6j,x,non,39131
animaux,5,0a,x,non,80056
anis,520,0a,x,non,80056
anis et rac et rhum etc.,2,1,x,non,29116
anis et sucre,1,0a,x,non,80056
anis vert,94,0a,x,non,80056
anis vert à distiller,2,0a,,non,80056
anisette,113,1,x,non,29116
anisette au fiasque,6,1,x,non,29116
anisette de Bordeaux,2,1,x,non,29116
anneau de cuivre,1,6j,,non,39131
anneau de fer,2,6j,x,non,39131
anneaux de cuivre,1,6j,x,non,39131
anneaux de fer,1,6j,,non,39131
ânon,2,0a,x,non,80056
anspects,124,7,x,non,8907
anspects de 3 à 4 pieds,1,7,,non,8907
anspects de bois,27,7,x,non,8907
anspects de sapin,1,7,x,non,8907
antale,3,???,,non,4790
antale et cauris,1,???,,non,4790
antchibanis,9,???,,non,4790
antenelle,1,???,,non,4790
antennes,2,9c,,non,11345
antennes et mâts de bateaux,1,7,x,non,8907
antimoine,221,2,x,non,73883
antimoine cru,27,2,x,non,73883
antimoine métallique et sulfuré,2,5,,non,49562
antimoine préparé,2,5,,non,49562
antimoine vert,1,5,,non,49562
antofle,1,0b,x,non,24735
antofle de girofle,11,0b,x,non,24735
apasier,1,???,,non,4790
apier,3,6b,,non,17579
apios,7,2,x,non,73883
apparaux et bâtiments de mer,38,7,,non,8907
apprêtée à toiler les livres,1,6h,x,non,16365
apprêtée pour parchemins,1,6c,x,non,4970
arachis olives fraîches,1,0a,,non,80056
arains,6,???,,non,4790
arak,17,1,x,non,29116
arbalètes,1,8,x,non,59809
arbalètrrie et cartes marines,1,8,,oui,59809
arbres,7,2,x,non,73883
arbres à fruits,2,2,x,non,73883
arbres à planter,142,2,x,non,73883
arbres châtaignier,4,2,,non,73883
arbres d' ???,1,2,,non,73883
arbres d'auban,1,2,x,non,73883
arbres de sapin,1,2,x,non,73883
arbres et arbrisseaux,25,2,x,non,73883
arbres et arbrisseaux à fruits,1,2,x,non,73883
arbres et arbrisseaux sauvages,1,2,x,non,73883
arbres et arbustes,6,2,x,non,73883
arbres et plants,1,2,x,non,73883
arbres fruitiers,87,2,x,non,73883
arbres marronniers à planter,1,2,x,non,73883
arbres nains,1,2,,non,73883
arbres tilleul,3,2,,non,73883
arbrisseaux,9,2,x,non,73883
arbustes,3,2,x,non,73883
arcanette,1,0a,x,non,80056
arcanie,1,???,,non,4790
arcanson,4,5,x,non,49562
arcanum duplicatum,2,???,,non,4790
archets de violons,1,8,x,non,59809
archets et violon,1,8,,non,59809
archiabanis,2,???,,non,4790
arçons de bas de bois,1,7,x,non,8907
arçons de bois,1,7,x,non,8907
arçons de selles,14,7,x,non,8907
arçons démontés,1,7,,non,8907
ardoise,365,2,x,non,73883
ardoise à piler,1,2,,non,73883
ardoise commune,2,2,x,non,73883
ardoise dite chérubin et à mortier,1,2,x,non,73883
ardoise dite grande voisine,1,2,x,non,73883
ardoise dite moyenne voisine,1,2,x,non,73883
ardoise dite petite voisine,1,2,x,non,73883
ardoise dite voisine grande moyenne et petite,2,2,,non,73883
ardoise en carreaux,1,6k,x,non,17039
ardoise en carreaux et d'1 pied carré,1,6k,x,non,17039
ardoise en carreaux ou en table,7,6k,,non,17039
ardoise en livret,1,6k,x,non,17039
ardoise encadrée,1,6k,x,non,17039
ardoise encadrée et en livret,1,6k,x,non,17039
ardoise non travaillée,1,2,x,non,73883
ardoise pour fenêtre,6,2,x,non,73883
ardoise pour toiture,8,2,,non,73883
ardoise pour toiture au kilogramme,1,2,,non,73883
ardoise pour toiture au nombre,2,2,,non,73883
ardoise verte,1,2,x,non,73883
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,9b,x,non,6225
arelles de baleine,1,8,,non,59809
argent,11,9a,x,non,1068
argent battu,1,9a,x,non,1068
argent battu et en feuille,2,9a,,non,1068
argent battu filé laminé et tiré,3,9a,,non,1068
argent brisé et en lingots et en masses,1,9a,,non,1068
argent brûlé,1,9a,x,non,1068
argent brut,1,9a,x,non,1068
argent brut en lingot et en masse ouvrages détruits,2,9a,,non,1068
argent carragoux,2,9a,x,non,1068
argent en barils,1,9a,x,non,1068
argent en barres,2,9a,x,non,1068
argent en lingots,18,9a,x,non,1068
argent en lingots par Calais,1,9a,x,non,1068
argent et or,237,9a,,non,1068
argent et or billon,1,9a,x,non,1068
argent faux,9,8,x,non,59809
argent faux en fil cantilles etc.,2,8,,non,59809
argent faux et or faux,53,8,x,non,59809
argent faux et or faux traits,1,8,x,non,59809
argent fin,1,9a,x,non,1068
argent monnayé et nogat d'or,4,9a,x,non,1068
argent talari,0,9a,x,oui,1068
argent vif,3,5,x,non,49562
argenterie,732,8,x,non,59809
argenterie épée,7,8,x,non,59809
argenterie et bijouterie,14,8,x,non,59809
argenterie et bijouterie et orfèvrerie,1,8,x,non,59809
argenterie et orfèvrerie,122,8,x,non,59809
argenterie et orfèvrerie vermeil,37,8,x,non,59809
argenterie neuve,4,8,,non,59809
argenterie vieille,12,8,x,non,59809
argile et terre pour engrais,15,2,x,non,73883
arins,1,???,,non,4790
aristoloche,68,2,x,non,73883
armement de tables,3,8,,non,59809
armes,251,8,x,non,59809
armes à feu,368,8,x,non,59809
armes à feu de guerre,2,8,,non,59809
armes à feu de guerre et de traite,1,8,,non,59809
armes à feu de guerre portatives,2,8,,non,59809
armes à feu de luxe,4,8,,non,59809
armes à feu de luxe ou de traite,3,8,,non,59809
armes à feu de munitions,2,8,x,non,59809
armes à feu de munitions fines,4,8,x,non,59809
armes à feu de traite,1,8,,non,59809
armes à feu et artillerie,1,8,x,non,59809
armes à feu et de traite,1,8,,non,59809
armes à feu et fusils,1,8,,non,59809
armes armureries,1,8,,non,59809
armes autres que de guerre à feu,1,8,,non,59809
armes autres que de guerre blanches,1,8,,non,59809
armes blanches,201,8,x,non,59809
armes blanches de guerre,1,8,,non,59809
armes blanches de guerre et de traite,1,8,,non,59809
armes blanches de luxe,2,8,,non,59809
armes blanches de luxe ou de traite,3,8,,non,59809
armes blanches de traite,1,8,,non,59809
armes de chasse ou de luxe à feu,2,8,,non,59809
armes de chasse ou de luxe blanches,2,8,,non,59809
armes de guerre,2,8,x,non,59809
armes différentes,1,8,,non,59809
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,8,x,non,59809
armes et munitions,9,8,x,non,59809
armes lames,1,8,x,non,59809
armes remontrances,1,8,x,non,59809
armoires,57,8,x,non,59809
armoires ayant servi,1,8,x,non,59809
armoires d'acajou,12,8,x,non,59809
armoires de bois,1,8,,non,59809
armoires de bois de noyer,1,8,,non,59809
armoires de bois de sapin peintes,1,8,,non,59809
armoires de bois des Indes,1,8,x,non,59809
armoires de chêne,9,8,x,non,59809
armoires de chêne ornée,1,8,x,non,59809
armoires de noyer,9,8,x,non,59809
armoires de sapin,3,8,x,non,59809
armoires et commodes,1,8,,non,59809
armoires vieilles,2,8,,non,59809
armoisin,46,6f,x,non,12147
armure de fer,1,8,x,non,59809
armure vieille,1,8,x,non,59809
arnas,1,???,,non,4790
arpois,1,???,,non,4790
arquebuse,1,8,x,non,59809
arrangas,1,???,,non,4790
arrosoirs,6,6j,x,non,39131
arrosoirs de bois,2,6b,x,non,17579
arrosoirs de cuivre,1,6j,x,non,39131
arrosoirs de fer,1,6j,,non,39131
arrosoirs de fer-blanc,6,6j,x,non,39131
arrosoirs de sapin,1,6b,x,non,17579
arrosoirs de terre,1,6j,,non,39131
arrowroot,1,2,,non,73883
arséniate de potasse,2,5,,non,49562
arsenic,411,2,x,non,73883
arsenic métallique,6,5,,non,49562
artichauts,78,0a,x,non,80056
artichauts champignons et truffes,2,0a,,non,80056
artichauts confits,68,0a,,non,80056
artichauts frais,17,0a,x,non,80056
artichauts marinés,2,0a,,non,80056
artichauts secs,6,0a,x,non,80056
artifice,5,8,x,non,59809
artifice fusées etc.,1,8,x,non,59809
artillerie,6,8,x,non,59809
asa fœtida,123,2,x,non,73883
asperges,9,0a,x,non,80056
asperges confites,1,0a,,non,80056
asperges et scorsonères,1,0a,,non,80056
asphaltum,19,2,x,non,73883
assiette,1,9c,x,non,11345
assiette de Biarritz,1,6k,x,non,17039
assiette de bois,1,6b,x,non,17579
assiette de faïence,8,6k,x,non,17039
assiette de porcelaine,3,6k,x,non,17039
assiette de porcelaine des Indes,1,6k,,non,17039
assiette de terre,6,6k,x,non,17039
assiette et plats de terre,1,6k,x,non,17039
asustum,1,2,x,non,73883
atastes,1,???,,non,4790
atlas,2,8,,non,59809
atlas à la feuille d'or,1,8,,non,59809
atlas et instruments de marine,1,8,,non,59809
atlas jaspé,1,8,,non,59809
attaches de cuivre,1,6j,x,non,39131
attelles de colliers,14,7,x,non,8907
aube,1,8,x,non,59809
auchinoise,2,???,x,non,4790
auclimes,2,???,,non,4790
auf,117,2,x,non,73883
auf ouvré,0,6h,x,oui,16365
auf travaillé,0,6h,x,oui,16365
auf travaillé en cordes,0,6h,,oui,16365
augemy,2,???,,non,4790
auges,3,9c,x,non,11345
auges de carreaux,2,6k,x,non,17039
augustins,2,???,,non,4790
aurcsats,1,???,,non,4790
aurcsats étoile,1,???,,non,4790
aussière,2,6i,,non,21622
autel de marbre,2,6k,x,non,17039
avelanèdes,58,5,x,non,49562
avelines,8,0a,x,non,80056
avelines et noisettes sèches,22,0a,x,non,80056
avelines faînes noisettes noix,1,0a,,non,80056
avelines noisettes noix,5,0a,,non,80056
avirons,639,7,x,non,8907
avirons bruts,17,7,,non,8907
avirons de 12 pieds,1,7,x,non,8907
avirons de 18 pieds,1,7,x,non,8907
avirons de 30 pieds,1,7,x,non,8907
avirons de 5 pieds,1,7,x,non,8907
avirons de 8 à 12 pieds,1,7,x,non,8907
avirons de bois,51,7,x,non,8907
avirons de bois façonné,1,7,x,non,8907
avirons de chêne,1,7,,non,8907
avirons de sapin,1,7,,non,8907
avirons et perches de bois,3,7,,non,8907
avirons et rames bruts,2,7,x,non,8907
avirons et rames de bois,1,7,x,non,8907
avirons et rames de bois façonné,2,7,x,non,8907
avirons et rames façonnés,5,7,x,non,8907
avirons polis,1,7,,non,8907
avoine,496,0a,,non,80056
avoine en gerbes,1,0a,,non,80056
avoine et haricots,1,0a,x,non,80056
avoine et orge etc.,1,0a,x,non,80056
avoine mondée,1,0a,x,non,80056
avoine moulée,1,0a,x,non,80056
azur,729,5,x,non,49562
azur commun,197,5,x,non,49562
azur et bleu de Prusse,9,5,x,non,49562
azur et cobalt,20,5,x,non,49562
azur fin,13,5,x,non,49562
azur gros,22,5,x,non,49562
babassis,1,???,,non,4790
babouches,90,8,x,non,59809
babouches de maroquin,2,8,x,non,59809
bacs d'1 aime,1,6k,x,non,17039
bacs de pierre,1,6k,,non,17039
bacs de pierre bleue,1,6k,,non,17039
bacs de pierre d'1 aime,1,6k,x,non,17039
bacs de pierre de 4 aimes,1,6k,x,non,17039
bacs de pierre de demi d'aime,1,6k,x,non,17039
bacs de pierre de moindre classe,1,6k,x,non,17039
bacs de pierre de trois-quart d'aime,1,6k,x,non,17039
bacs de pierre en dessous d'1 aime,1,6k,x,non,17039
bacs de pierre en dessus d'1 aime,1,6k,x,non,17039
badiane,59,2,x,non,73883
baffetas,10,6g,,non,11410
baffetas blanc,19,6g,x,non,11410
baffetas bleu,26,6g,x,non,11410
baffetas des Indes,2,6g,x,non,11410
bagarot,1,???,,non,4790
bagues,5,8,x,non,59809
bagues à pierres fausses,1,8,x,non,59809
bagues d'argent,2,8,x,non,59809
bagues d'or,1,8,x,non,59809
bagues de cuivre,2,6j,x,non,39131
bagues de laiton,1,8,x,non,59809
bagues de verre,3,8,x,non,59809
baguettes,6,9c,x,non,11345
baguettes à chandelle,1,9c,x,non,11345
baguettes à étoffe,2,6j,x,non,39131
baguettes d'étain,2,6j,x,non,39131
baguettes de bois,1,6b,x,non,17579
baguettes de bois doré,1,6b,x,non,17579
baguettes de cuivre,3,6j,x,non,39131
baguettes de fer à fusil,1,8,,non,59809
baguettes de fusil,47,8,x,non,59809
bahuts,24,8,x,non,59809
baie de laurier,28,2,x,non,73883
baies de buis,1,2,,non,73883
baies de genévrier à distiller,2,0a,,non,80056
baies de genièvre,6,0a,,non,80056
baignes,3,6e,x,non,11419
baignoires,2,8,x,non,59809
baignoires d'acajou,1,8,x,non,59809
baignoires de cuivre,4,8,x,non,59809
baignoires de sapin,1,8,x,non,59809
baignoires de tôle,2,8,x,non,59809
baigots,1,???,,non,4790
baillarge,5,0a,,non,80056
bailles,1,6b,x,non,17579
baïonnettes,13,8,,non,59809
bais de bois de chêne,1,9c,,non,11345
bajutapau,231,6g,x,non,11410
bajutapau commun,1,6g,x,non,11410
bajutapau des Indes,1,6g,x,non,11410
"bajutapau, canelis, etc.",3,6g,,non,11410
balais,123,8,x,non,59809
balais communs,5,8,,non,59809
balais coupés,3,8,x,non,59809
balais de bois,39,8,x,non,59809
balais de brandes,1,8,x,non,59809
balais de bruyère,13,8,x,non,59809
balais de chanvre,1,8,x,non,59809
balais de crin,12,8,x,non,59809
