simplification,nbr_occurences_simpl,coton,obsolete,nbr_occurences_coton
morue salée et verte,2,,oui,38841
morue salée sèche,1,not raw cotton,oui,817071
morue salée verte,1,not raw cotton,oui,817071
morue sèche,1137,not raw cotton,non,817071
morue sèche et salée et stockfish salé suivant l'état des primes,6,not raw cotton,non,817071
morue séchée,1050,not raw cotton,oui,817071
morue stockfish,9,not raw cotton,oui,817071
morue têtes,1,not raw cotton,oui,817071
morue verte,631,not raw cotton,non,817071
morue verte avariée,1,,non,38841
morue verte cabillaud,1,not raw cotton,non,817071
morue verte cap et queues,6,not raw cotton,non,817071
morue verte de Terre Neuve,30,,non,38841
morue verte des Îles,1,not raw cotton,non,817071
morue verte en tonneaux,1,,non,38841
morue verte et salée,3,not raw cotton,oui,817071
morue verte grande et moyenne,1,,non,38841
morue verte salée,1,not raw cotton,oui,817071
motte de lin,1,not raw cotton,non,817071
mottes à brûler,8,not raw cotton,non,817071
moucherons,1,not raw cotton,non,817071
mouches à miel,123,not raw cotton,non,817071
mouches cantharides,15,not raw cotton,non,817071
mouches de soie,110,not raw cotton,oui,817071
mouches de taffetas,6,not raw cotton,non,817071
mouchoirs,261,not raw cotton,non,817071
mouchoirs ??? de fil de France,0,not raw cotton,non,817071
mouchoirs à carreaux,1,not raw cotton,non,817071
mouchoirs à la valeur,1,not raw cotton,non,817071
mouchoirs à peu de soie,1,not raw cotton,non,817071
mouchoirs à toile peinte,1,not raw cotton,non,817071
mouchoirs à vignettes,1,not raw cotton,non,817071
mouchoirs au brin de soie,1,not raw cotton,non,817071
mouchoirs baffetas,1,not raw cotton,non,817071
mouchoirs bandanas,2,not raw cotton,non,817071
mouchoirs batiste peint,1,not raw cotton,non,817071
mouchoirs blancs,2,not raw cotton,non,817071
mouchoirs blancs brodés en fil de chanvre ou de lin,3,not raw cotton,non,817071
mouchoirs blancs de chanvre et de lin,2,not raw cotton,non,817071
mouchoirs blancs et bleus,1,not raw cotton,non,817071
mouchoirs blancs et teints,27,not raw cotton,non,817071
mouchoirs bleus,3,not raw cotton,non,817071
mouchoirs brodés,13,not raw cotton,non,817071
mouchoirs brodés de soie,1,not raw cotton,non,817071
mouchoirs communs,4,not raw cotton,non,817071
mouchoirs coupés,3,not raw cotton,non,817071
mouchoirs d'Alep,2,not raw cotton,non,817071
mouchoirs d'indienne,90,not raw cotton,non,817071
mouchoirs d'organdis,3,not raw cotton,non,817071
mouchoirs de ???,1,not raw cotton,non,817071
mouchoirs de batiste,28,not raw cotton,non,817071
mouchoirs de batiste de Saint-Quentin,2,not raw cotton,non,817071
mouchoirs de Bengale,106,not raw cotton,non,817071
mouchoirs de Betton,1,not raw cotton,non,817071
mouchoirs de Champafaris,2,not raw cotton,non,817071
mouchoirs de chanvre et de lin blancs,2,not raw cotton,non,817071
mouchoirs de chanvre et de lin imprimés teints rayés par le tissage,3,not raw cotton,non,817071
mouchoirs de chanvre et de lin rayés teints ou imprimés,2,not raw cotton,non,817071
mouchoirs de chasse,1,not raw cotton,non,817071
mouchoirs de chocolat,2,not raw cotton,non,817071
mouchoirs de Cholet,146,not raw cotton,non,817071
mouchoirs de coton,893,not raw cotton,non,817071
mouchoirs de coton blanc,3,not raw cotton,non,817071
mouchoirs de coton blancs,1,not raw cotton,non,817071
mouchoirs de coton brin de soie,2,not raw cotton,non,817071
mouchoirs de coton communs,5,not raw cotton,non,817071
mouchoirs de coton de France,22,not raw cotton,non,817071
mouchoirs de coton de l'étranger,2,not raw cotton,non,817071
mouchoirs de coton découpés,119,not raw cotton,non,817071
mouchoirs de coton des Indes,14,not raw cotton,non,817071
mouchoirs de coton en coupon,1,,non,38841
mouchoirs de coton en soie,1,not raw cotton,oui,817071
mouchoirs de coton et de fil,543,not raw cotton,non,817071
mouchoirs de coton et de fil découpés,93,not raw cotton,non,817071
mouchoirs de coton et de soie,1,not raw cotton,non,817071
mouchoirs de coton et fil,25,not raw cotton,non,817071
mouchoirs de coton et fil de coton,16,not raw cotton,non,817071
mouchoirs de coton et soie,16,not raw cotton,non,817071
mouchoirs de coton et soie de France,1,not raw cotton,non,817071
mouchoirs de coton étranger,6,,oui,38841
mouchoirs de coton étrangers,9,not raw cotton,non,817071
mouchoirs de coton fins,5,not raw cotton,non,817071
mouchoirs de coton gros,1,not raw cotton,non,817071
mouchoirs de coton grossiers,1,not raw cotton,non,817071
mouchoirs de coton peints,8,not raw cotton,non,817071
mouchoirs de Craité,0,not raw cotton,non,817071
mouchoirs de demi soie,1,not raw cotton,non,817071
mouchoirs de différentes qualités en coton,3,not raw cotton,non,817071
mouchoirs de différentes quantités,6,not raw cotton,non,817071
mouchoirs de fil,379,not raw cotton,non,817071
mouchoirs de fil commun,1,not raw cotton,non,817071
mouchoirs de fil de ??? de Cholet et ???,3,not raw cotton,non,817071
mouchoirs de fil de Cholet,2,not raw cotton,non,817071
mouchoirs de fil de France,12,,non,38841
mouchoirs de fil de lin,1,not raw cotton,non,817071
mouchoirs de fil de lin imprimé,1,not raw cotton,non,817071
mouchoirs de fil de Rouen,2,not raw cotton,non,817071
mouchoirs de fil du Béarn,3,not raw cotton,non,817071
mouchoirs de fil en coton de France,6,,non,38841
mouchoirs de fil et de batiste,1,not raw cotton,non,817071
mouchoirs de fil et de coton,89,not raw cotton,non,817071
mouchoirs de fil et de lin,1,not raw cotton,non,817071
mouchoirs de fil et de pitre,1,not raw cotton,non,817071
mouchoirs de fil étranger,4,,oui,38841
mouchoirs de fil étrangers,4,,non,38841
mouchoirs de fil fin,1,not raw cotton,non,817071
mouchoirs de fil organdi,15,not raw cotton,non,817071
mouchoirs de fil peint,1,not raw cotton,non,817071
mouchoirs de filoselle,1,,non,38841
mouchoirs de fleuret,5,not raw cotton,non,817071
mouchoirs de foulard,3,not raw cotton,non,817071
mouchoirs de France,1,not raw cotton,non,817071
mouchoirs de gaze,73,not raw cotton,non,817071
mouchoirs de gaze de soie,3,not raw cotton,non,817071
mouchoirs de gaze divers,3,not raw cotton,oui,817071
mouchoirs de gaze grands,1,not raw cotton,non,817071
mouchoirs de guingans,3,not raw cotton,oui,817071
mouchoirs de Hollande,1,not raw cotton,non,817071
mouchoirs de kinfin,1,not raw cotton,non,817071
mouchoirs de l'hotes,2,not raw cotton,non,817071
mouchoirs de l'Inde,10,,non,38841
mouchoirs de la Compagnie des Indes,3,not raw cotton,non,817071
mouchoirs de laine,2,not raw cotton,non,817071
mouchoirs de laiton,1,not raw cotton,non,817071
mouchoirs de Laval,1,not raw cotton,non,817071
mouchoirs de lin,4,not raw cotton,non,817071
mouchoirs de linon,5,not raw cotton,non,817071
mouchoirs de Madras,9,not raw cotton,non,817071
mouchoirs de Masulipatan,17,not raw cotton,non,817071
mouchoirs de mousseline,30,not raw cotton,non,817071
mouchoirs de mousseline brodée,1,not raw cotton,non,817071
mouchoirs de Paliacate,10,not raw cotton,non,817071
mouchoirs de Patras,1,not raw cotton,non,817071
mouchoirs de pitre,1,not raw cotton,non,817071
mouchoirs de Pondichéry,163,not raw cotton,non,817071
mouchoirs de romals,55,not raw cotton,oui,817071
mouchoirs de romals et de la Côte,1,not raw cotton,oui,817071
mouchoirs de Rouen,97,not raw cotton,non,817071
mouchoirs de Saumur,1,not raw cotton,non,817071
mouchoirs de Sénégal,3,,oui,38841
mouchoirs de siamoise,1,not raw cotton,non,817071
mouchoirs de soie,812,not raw cotton,non,817071
mouchoirs de soie de la Chine,4,not raw cotton,non,817071
mouchoirs de soie de renvoi,1,not raw cotton,non,817071
mouchoirs de soie de Rouen,1,not raw cotton,non,817071
mouchoirs de soie des Indes,1,not raw cotton,non,817071
mouchoirs de soie en coton,1,not raw cotton,non,817071
mouchoirs de soucis,1,not raw cotton,non,817071
mouchoirs de taffetas,1,not raw cotton,non,817071
mouchoirs de toile,73,not raw cotton,non,817071
mouchoirs de toile ???,1,not raw cotton,oui,817071
mouchoirs de toile aune,1,not raw cotton,oui,817071
mouchoirs de toile blanche,1,not raw cotton,non,817071
mouchoirs de toile de Bretagne,1,not raw cotton,non,817071
mouchoirs de toile de Cholet,52,not raw cotton,non,817071
mouchoirs de toile de Hin,1,not raw cotton,non,817071
mouchoirs de toile découpés,95,not raw cotton,non,817071
mouchoirs de toile fine,1,,non,38841
mouchoirs de toile guingans,5,,non,38841
mouchoirs de toile peinte,11,not raw cotton,non,817071
mouchoirs de toile rayée,2,,non,38841
mouchoirs de traite,2,not raw cotton,non,817071
mouchoirs de Zurich,1,not raw cotton,non,817071
mouchoirs demi soie,18,not raw cotton,non,817071
mouchoirs des Îles,1,,non,38841
mouchoirs des Indes,216,not raw cotton,non,817071
mouchoirs des Indes communs,1,,non,38841
mouchoirs des Indes de coton,2,not raw cotton,non,817071
mouchoirs des Indes de soie,4,not raw cotton,non,817071
mouchoirs des Indes dit bandanas,1,not raw cotton,non,817071
mouchoirs des Indes dits romals,1,not raw cotton,oui,817071
mouchoirs divers mélangés,5,,oui,38841
mouchoirs du Béarn,17,not raw cotton,non,817071
mouchoirs du Levant,2,not raw cotton,non,817071
mouchoirs du pays,1,not raw cotton,non,817071
mouchoirs du Sénégal,3,not raw cotton,non,817071
mouchoirs écorce d'arbre,1,not raw cotton,non,817071
mouchoirs en soie,1,not raw cotton,oui,817071
Mouchoirs et ?? en nattes,1,,non,38841
mouchoirs et ???,0,,non,38841
mouchoirs et cravates de mousseline,3,not raw cotton,non,817071
mouchoirs et cravates de soie mêlée,6,not raw cotton,non,817071
mouchoirs et fichus de toile peinte,2,,non,38841
mouchoirs et mouchoirs des Indes,17,not raw cotton,non,817071
mouchoirs et mousseline,3,not raw cotton,non,817071
mouchoirs et ornements,1,,non,38841
mouchoirs fabriqués en France,2,not raw cotton,non,817071
mouchoirs fins,2,not raw cotton,non,817071
mouchoirs foulards,3,not raw cotton,non,817071
mouchoirs gros en fil,1,not raw cotton,non,817071
mouchoirs guingans,1,not raw cotton,oui,817071
mouchoirs imprimés,3,not raw cotton,non,817071
mouchoirs imprimés et teints de chanvre et de lin,2,not raw cotton,non,817071
mouchoirs indienne,5,not raw cotton,non,817071
mouchoirs Komel et Renis,1,not raw cotton,non,817071
mouchoirs linon,2,not raw cotton,oui,817071
mouchoirs Masulipatan,35,not raw cotton,non,817071
mouchoirs mousseline et toile de coton,42,,non,38841
mouchoirs peints,88,not raw cotton,non,817071
mouchoirs peints de France,1,not raw cotton,non,817071
mouchoirs peints de Hollande,2,not raw cotton,non,817071
mouchoirs rayés,2,not raw cotton,non,817071
mouchoirs romals,64,not raw cotton,non,817071
mouchoirs romals et de la Côte,1,,non,38841
mouchoirs saserpatis,1,not raw cotton,non,817071
mouchoirs Tranquebar,2,not raw cotton,non,817071
moufles,1,not raw cotton,non,817071
moulage,4,not raw cotton,non,817071
moulages de fer de fonte,2,not raw cotton,non,817071
moules,120,not raw cotton,non,817071
moules (poisson),1,not raw cotton,non,817071
moules à chandelle,1,not raw cotton,non,817071
moules à faire,1,not raw cotton,non,817071
moules de boutons,25,not raw cotton,non,817071
moules de boutons de bois,2,not raw cotton,non,817071
moules de fer à galette,1,not raw cotton,non,817071
moules de pierre pour sucre,2,not raw cotton,non,817071
moules de plâtre,3,not raw cotton,non,817071
moules de plâtre à faire figures,2,not raw cotton,non,817071
moules de terre,1,not raw cotton,non,817071
moules pour chandelle,2,not raw cotton,non,817071
moules pour sucre,1,not raw cotton,non,817071
moulinets à chocolat,1,not raw cotton,non,817071
moulinets à filer,1,not raw cotton,non,817071
moulins,2,not raw cotton,non,817071
moulins à beurre,1,not raw cotton,non,817071
moulins à blé,2,not raw cotton,non,817071
moulins à blé et à bras,1,not raw cotton,non,817071
moulins à bras,12,not raw cotton,non,817071
moulins à café,512,not raw cotton,non,817071
moulins à café doux,1,not raw cotton,non,817071
moulins à dessécher,1,not raw cotton,non,817071
moulins à dévider soie,1,not raw cotton,non,817071
moulins à filer,5,not raw cotton,non,817071
moulins à grains,2,not raw cotton,non,817071
moulins à lapidaire,1,not raw cotton,non,817071
moulins à maïs,12,not raw cotton,non,817071
moulins à moudre grains,5,not raw cotton,non,817071
moulins à moutarde,2,not raw cotton,non,817071
moulins à poivre,17,not raw cotton,non,817071
moulins à poivre et à café,1,not raw cotton,non,817071
moulins à retordre,1,not raw cotton,non,817071
moulins à sarrasin,1,not raw cotton,non,817071
moulins à sucre,28,not raw cotton,non,817071
moulins à tabac,5,not raw cotton,non,817071
moulins à tordre fil,3,not raw cotton,non,817071
moulins complets à sucre,2,not raw cotton,non,817071
moulins de bois,2,not raw cotton,non,817071
moulins de fer,5,not raw cotton,non,817071
moulins de fer à sucre,13,not raw cotton,non,817071
moulins de maïs,1,,non,38841
moulins de poivre,1,not raw cotton,oui,817071
moulins de soie,1,not raw cotton,non,817071
moulins et presses à tabac,3,not raw cotton,non,817071
moulons et kibbelinck,48,not raw cotton,non,817071
moulures dorées,1,not raw cotton,non,817071
mouquette,10,not raw cotton,non,817071
moureaux,14,not raw cotton,non,817071
moureaux de mules,1,not raw cotton,non,817071
moureaux de mulets,3,not raw cotton,non,817071
mousquetaire,1,not raw cotton,non,817071
mousqueterie,1,,non,38841
mousquetons,1,not raw cotton,non,817071
mousquets,1,not raw cotton,non,817071
mousse,13,not raw cotton,non,817071
mousse de bois,3,not raw cotton,non,817071
mousse de lin,1,not raw cotton,non,817071
mousse de mer,8,not raw cotton,non,817071
mousse de mer et herbes à teindre,4,not raw cotton,non,817071
mousse de roche,1,not raw cotton,non,817071
mousseline,959,not raw cotton,non,817071
mousseline aune,1,not raw cotton,oui,817071
mousseline blanche,1,not raw cotton,non,817071
mousseline brochée,1,,non,38841
mousseline brochée de coton,1,not raw cotton,non,817071
mousseline brodée,12,not raw cotton,non,817071
mousseline brodée de coton,1,not raw cotton,non,817071
mousseline brodée en couleur,1,,non,38841
mousseline brodée en soie de couleur,1,not raw cotton,non,817071
mousseline de coton,107,not raw cotton,non,817071
mousseline de coton et des Indes,3,not raw cotton,non,817071
mousseline de coton et Nankin,11,,non,38841
mousseline de coton et nankin,11,not raw cotton,oui,817071
mousseline de coton et Nankin des Indes,21,,non,38841
mousseline de coton et nankin des Indes,21,not raw cotton,oui,817071
mousseline de coton unie et brûlée,14,,non,38841
mousseline de coton unie et peinte,17,,non,38841
mousseline de coton unies et brûlées,14,not raw cotton,oui,817071
mousseline de coton unies et peintes,17,not raw cotton,oui,817071
mousseline de France,6,not raw cotton,non,817071
mousseline de l'étranger,1,not raw cotton,non,817071
mousseline de l'Inde,5,,non,38841
mousseline de l'Inde dite Casses,1,,non,38841
mousseline de la Compagnie,2,not raw cotton,non,817071
mousseline de Suisse et siamoise à ligne de soie,4,not raw cotton,non,817071
mousseline de Zurich,5,not raw cotton,non,817071
mousseline des Indes,24,not raw cotton,non,817071
mousseline en nattes,1,,non,38841
mousseline et mouchoirs,1,not raw cotton,non,817071
mousseline et mousselinette de coton,0,not raw cotton,non,817071
mousseline et toile de coton,5,not raw cotton,non,817071
mousseline et toile de coton blanc,15,not raw cotton,non,817071
mousseline et toile des Indes,1,not raw cotton,non,817071
mousseline étrangère,7,,non,38841
mousseline étrangères,7,,oui,38841
mousseline fine,6,,non,38841
mousseline fines,6,not raw cotton,oui,817071
mousseline grosse,1,,non,38841
mousseline imprimée,1,,non,38841
mousseline imprimées,1,not raw cotton,oui,817071
mousseline nationale,4,not raw cotton,non,817071
mousseline rayée,2,,non,38841
mousseline rayée à fleurs,1,,non,38841
mousseline rayées,2,not raw cotton,oui,817071
mousseline rayées à fleurs,1,not raw cotton,oui,817071
mousseline siamoise et de Suisse à la ligne de soie,2,not raw cotton,non,817071
mousseline toile de coton mouchoirs et batiste,17,,non,38841
mousseline unie,4,,non,38841
mousseline unies,0,not raw cotton,oui,817071
mousselinette,2,not raw cotton,non,817071
mousselinette de coton,1,not raw cotton,non,817071
mousserons,44,not raw cotton,non,817071
mousserons et morilles,1,not raw cotton,non,817071
mousserons et truffes,3,not raw cotton,non,817071
mousserons secs,3,not raw cotton,non,817071
moussets et mousserons frais,1,not raw cotton,non,817071
moussets et mousserons secs ou marinés,3,not raw cotton,non,817071
moustiquaire de fil,3,not raw cotton,non,817071
moutarde,293,not raw cotton,non,817071
moutardelle,1,not raw cotton,non,817071
moutardière de terre anglaise,1,,non,38841
moutichoux,2,not raw cotton,non,817071
mouton,426,not raw cotton,non,817071
mouton commun,1,not raw cotton,non,817071
mouton et brebis,135,not raw cotton,non,817071
mouton gras,1,not raw cotton,non,817071
mouton petit,1,not raw cotton,non,817071
mouton vivant,1,,non,38841
mouvements à montre,1,,non,38841
mouvements à pendules,2,,non,38841
mouvements de montre,11,not raw cotton,non,817071
mouvements de pendule,2,not raw cotton,oui,817071
mouvements de pendules,7,,non,38841
moyeux,74,not raw cotton,non,817071
muce de plomb,1,not raw cotton,non,817071
mufle à chandelle,0,not raw cotton,non,817071
mules,29,not raw cotton,non,817071
mules à coutelier,1,not raw cotton,non,817071
mules à moulin,2,not raw cotton,non,817071
mules brodées,3,not raw cotton,non,817071
mules brodées et souliers brodées,2,not raw cotton,non,817071
mules brodées pour femme,2,not raw cotton,non,817071
mules de 6 mois,1,not raw cotton,non,817071
mules de femme,1,not raw cotton,non,817071
mules de nattes,2,not raw cotton,non,817071
mules et mulets,196,not raw cotton,non,817071
mules et mulets adultes,5,not raw cotton,non,817071
mules et mulets avec dents de lait,1,not raw cotton,non,817071
mules et mulets d'1 an,2,not raw cotton,non,817071
mules et mulets et ânes,1,not raw cotton,non,817071
mules et mulets n'ayant pas encore de dents adultes,1,not raw cotton,non,817071
mules ou mulets,1,not raw cotton,non,817071
mules pour femmes,1,,non,38841
mulets,120,not raw cotton,non,817071
mulets à moyen prix,1,not raw cotton,non,817071
mulets de moyenne taille,1,not raw cotton,non,817071
mulets jeunes,2,not raw cotton,non,817071
mulets mulets,3,not raw cotton,non,817071
mulets petits,2,not raw cotton,non,817071
mulets poulains,2,not raw cotton,non,817071
mulets vieux,2,not raw cotton,non,817071
mungistere,1,not raw cotton,non,817071
munitions de guerre,2,not raw cotton,non,817071
munitions de guerre et projectiles,2,not raw cotton,non,817071
muriate d'étain et de potasse,1,not raw cotton,non,817071
mûriers,1,,non,38841
musc,29,not raw cotton,non,817071
musc castoreum et civette,2,not raw cotton,non,817071
musc civette castoreum et ambre gris,2,not raw cotton,non,817071
muscades,598,not raw cotton,non,817071
muscades confites,3,not raw cotton,non,817071
muscades d'Inde,2,not raw cotton,non,817071
muscades de perles,3,not raw cotton,non,817071
muscades des entrepôts,0,not raw cotton,non,817071
muscades en noix,1,not raw cotton,non,817071
muscades et macis,18,not raw cotton,non,817071
muscades et poivre,8,not raw cotton,non,817071
muscades feuilles et noix,112,not raw cotton,non,817071
muscades longues,1,not raw cotton,non,817071
muscades rondes,4,not raw cotton,non,817071
muscat,0,,oui,38841
muse,3,not raw cotton,non,817071
muse en grains ?,1,,non,38841
musettes organisées,1,,non,38841
musique,21,not raw cotton,non,817071
musique gravée,8,not raw cotton,non,817071
myrobolan,47,,non,38841
myrrhe,117,not raw cotton,non,817071
myrrhe en grabeau,1,not raw cotton,non,817071
myrrhe en larmes,1,not raw cotton,non,817071
myrthe en grabeau,24,,non,38841
nacelles,8,not raw cotton,non,817071
nacre,15,not raw cotton,non,817071
nacre de coquille,1,,non,38841
nacre de perles,140,not raw cotton,non,817071
nacre de perles argentée brute,1,not raw cotton,non,817071
nacre de perles argentée sciée,1,not raw cotton,non,817071
nacre de perles dépouillée de sa croûte et sciée,4,not raw cotton,non,817071
nacre de perles en coquille brute,3,not raw cotton,non,817071
nacre de perles en coquille brute et en sa coquille bâtarde,2,not raw cotton,non,817071
nacre de perles noire,1,not raw cotton,non,817071
nacre de perles ouvrée,1,not raw cotton,non,817071
nacre de Perse,1,not raw cotton,non,817071
nacre en coquille,12,not raw cotton,non,817071
nacre et perles,1,not raw cotton,non,817071
namouques,2,not raw cotton,non,817071
Nankin,419,not raw cotton,non,817071
nankin,200,not raw cotton,oui,817071
Nankin à l'aune,1,not raw cotton,oui,817071
Nankin blanche,1,,non,38841
nankin blanche,1,not raw cotton,oui,817071
Nankin des Indes,10,,non,38841
nankin des Indes,10,not raw cotton,oui,817071
Nankin jaune,1,,non,38841
naphte,3,not raw cotton,non,817071
nappes,44,not raw cotton,non,817071
nappes damassées,1,not raw cotton,non,817071
nappes de tables,3,not raw cotton,non,817071
nappes de toile,2,,non,38841
nappes de toile ouvrées,2,,non,38841
nappes en toile,1,,non,38841
nappes et serviettes,3,not raw cotton,non,817071
nappes et serviettes de lin,1,not raw cotton,non,817071
nappes et serviettes de toile,1,,non,38841
nappes et serviettes ouvrées,1,not raw cotton,non,817071
nappes faites,14,not raw cotton,non,817071
nappes fines et ouvrées,1,not raw cotton,non,817071
nappes ouvrées,8,not raw cotton,non,817071
nappes ouvrées de toile,2,,non,38841
nappes unies,1,not raw cotton,non,817071
naton en couffe,1,,non,38841
natron,11,not raw cotton,non,817071
natron et soude,1,not raw cotton,oui,817071
natron et soudes,1,,non,38841
nattes,249,not raw cotton,non,817071
nattes communes,2,not raw cotton,non,817071
nattes communes à paqueter,53,not raw cotton,non,817071
nattes d'emballage,4,not raw cotton,non,817071
nattes d'espars,9,not raw cotton,non,817071
nattes de balles,1,not raw cotton,non,817071
nattes de jonc,132,not raw cotton,non,817071
nattes de jonc à pot emballage,2,not raw cotton,non,817071
nattes de jonc et de paille et larges,68,not raw cotton,non,817071
nattes de jonc et paille et étroites,71,not raw cotton,non,817071
nattes de jonc large,3,not raw cotton,non,817071
nattes de jonc rondes pour les pieds,25,not raw cotton,non,817071
nattes de moscovie,4,not raw cotton,non,817071
nattes de paille,67,not raw cotton,non,817071
nattes de paille et de jonc,13,not raw cotton,non,817071
nattes de Russie,1,not raw cotton,non,817071
nattes de Silésie,1,,non,38841
nattes et tresse de paille d'écorce et de sparte fines,4,not raw cotton,non,817071
nattes et tresse de paille d'écorce et de sparte grossières,5,not raw cotton,non,817071
nattes et tresse fines,3,not raw cotton,non,817071
nattes et tresse grossières,3,not raw cotton,non,817071
nattes fines,1,not raw cotton,non,817071
nattes moyennes,2,not raw cotton,non,817071
nattes petites,3,not raw cotton,oui,817071
nattes pour grenier,2,not raw cotton,non,817071
nattes rondes,6,not raw cotton,non,817071
nature de baleine,5,not raw cotton,non,817071
naurougue,1,not raw cotton,non,817071
naveaux,4,not raw cotton,non,817071
naves de portes,1,not raw cotton,non,817071
navets,38,not raw cotton,non,817071
navettes,1,not raw cotton,non,817071
navettes à drapier,4,not raw cotton,non,817071
navettes d'écaille,1,not raw cotton,non,817071
navettes de buis à tisserand,1,not raw cotton,non,817071
navire,1,not raw cotton,non,817071
navires marchands,1,,non,38841
nécessaires,2,not raw cotton,non,817071
nécessaires de cuivre,1,not raw cotton,non,817071
nécessaires garnis en argent,1,not raw cotton,non,817071
nèfles,6,not raw cotton,non,817071
nèfles frais,1,not raw cotton,non,817071
neganepeau,181,not raw cotton,non,817071
neganepeau grand,1,,non,38841
neganepeau imitant celles des Indes,1,,non,38841
nègre,16,not raw cotton,non,817071
nègre de Guinée,18,,non,38841
nègre de Sénégal,27,,non,38841
nègres,45,,oui,38841
nelis,39,not raw cotton,non,817071
nepres,8,not raw cotton,non,817071
neptune,1,not raw cotton,non,817071
neptune de cuivre,14,not raw cotton,non,817071
nerfs de bœuf,8,not raw cotton,non,817071
nerprun,5,not raw cotton,non,817071
nervures,130,not raw cotton,non,817071
niaals des Indes,1,not raw cotton,non,817071
nicanéas,220,not raw cotton,non,817071
nicanéas étroits,1,not raw cotton,non,817071
nicanéas fins,1,not raw cotton,non,817071
nicanéas grands,22,not raw cotton,non,817071
nicanéas larges,2,not raw cotton,non,817071
nicanéas longs,1,not raw cotton,non,817071
nicanéas petite,1,not raw cotton,non,817071
nicanéas petits,20,not raw cotton,non,817071
nid d'oiseau,1,not raw cotton,non,817071
nina,2,not raw cotton,non,817071
nina de poil,1,not raw cotton,non,817071
nippes,160,not raw cotton,non,817071
nippes de femme,8,not raw cotton,non,817071
nippes et atours,92,not raw cotton,non,817071
nœuds d'épée,1,not raw cotton,non,817071
nœuds d'épée avec or,1,not raw cotton,non,817071
nœuds d'épée et cordons de montres,3,not raw cotton,non,817071
nœuds de cannes,1,,non,38841
nogat,1,not raw cotton,non,817071
nogat en piastre forte,1,not raw cotton,non,817071
noir,5,not raw cotton,non,817071
noir à broyer,1,not raw cotton,non,817071
noir à noircir,3,not raw cotton,non,817071
noir commun,156,not raw cotton,non,817071
noir commun de fumée et autres,13,not raw cotton,non,817071
noir d'animal d'ivoire,2,not raw cotton,non,817071
noir d'animal d'ivoire d'os,2,not raw cotton,non,817071
noir d'animal de corne d'os etc.,2,not raw cotton,non,817071
noir d'Espagne,2,not raw cotton,non,817071
noir d'ivoire,46,not raw cotton,non,817071
noir d'os,8,not raw cotton,non,817071
noir de capajou,1,not raw cotton,non,817071
noir de Chypre,1,not raw cotton,non,817071
noir de fumée,544,not raw cotton,non,817071
noir de fumée pour souliers,2,not raw cotton,non,817071
noir de galle,18,not raw cotton,non,817071
noir de noircir,1,not raw cotton,non,817071
noir de sapin,0,,non,38841
noir de sapin de 36 pieds,0,,non,38841
noir de sapin de 42 à 50 pieds,0,,non,38841
noir de sapin de 60 à 70 pieds,0,,non,38841
noir minéral naturel,4,not raw cotton,non,817071
noir pour imprimer,10,not raw cotton,non,817071
noir pour imprimer en traille douce dit d'Allemagne,1,not raw cotton,non,817071
noir pour noircir,30,not raw cotton,non,817071
noir pour souliers,2,not raw cotton,non,817071
noisette sèches,13,not raw cotton,non,817071
noisettes,660,not raw cotton,non,817071
noisettes et noix,11,not raw cotton,non,817071
noisettes faînes,2,not raw cotton,non,817071
noisettes pistaches et ???,1,not raw cotton,non,817071
noix,495,not raw cotton,non,817071
noix d'acajou,24,,non,38841
noix d'ivoire,2,,non,38841
noix de cajou,24,not raw cotton,oui,817071
noix de coco,54,not raw cotton,non,817071
noix de galle,503,,non,38841
noix de galle légère,7,not raw cotton,non,817071
noix de galle pesante,9,not raw cotton,non,817071
noix de galle pesante des entrepôts,0,not raw cotton,non,817071
noix de marrons,2,not raw cotton,non,817071
noix de muscade,17,not raw cotton,non,817071
noix de pipes,25,not raw cotton,non,817071
noix de ravensara,1,not raw cotton,non,817071
noix en coquilles,1,not raw cotton,non,817071
noix épillées,3,not raw cotton,non,817071
noix et riz,2,not raw cotton,non,817071
noix grosses,125,not raw cotton,non,817071
noix mondées,3,not raw cotton,non,817071
noix moutarde,1,not raw cotton,non,817071
noix ou noyaux,1,not raw cotton,non,817071
noix pour peintures,6,not raw cotton,non,817071
noix sèches,28,not raw cotton,non,817071
noix venimeuses,4,not raw cotton,non,817071
noix vomiques,61,not raw cotton,non,817071
noronges,1,not raw cotton,non,817071
nougat,17,not raw cotton,non,817071
nousouque,1,not raw cotton,non,817071
noves de morue,2,not raw cotton,non,817071
noves et langues de morue des Îles,1,not raw cotton,non,817071
noyaux,10,not raw cotton,non,817071
noyaux d'olives,1,not raw cotton,non,817071
noyaux de noix,3,not raw cotton,non,817071
noyaux de pêche,2,not raw cotton,non,817071
noyaux de pêches,3,not raw cotton,non,817071
noyer et cerisier,10,not raw cotton,non,817071
numéraire en assignats,1,not raw cotton,non,817071
numéraire en assignats par la Cure,1,not raw cotton,non,817071
O ???,1,,non,38841
objets à la valeur,1,not raw cotton,non,817071
objets d'art,6,not raw cotton,non,817071
objets d'art et d'histoire naturelle,59,not raw cotton,non,817071
objets d'histoire naturelle,2,not raw cotton,non,817071
objets de collection,5,not raw cotton,non,817071
objets de collection hors de commerce,3,not raw cotton,non,817071
objets de peu d'importance,6,not raw cotton,oui,817071
objets de peu de valeur,121,not raw cotton,non,817071
objets des Indes,1,not raw cotton,non,817071
