simplification,nbr_occurences_simpl,coton,obsolete,nbr_occurences_coton
ananas planté,1,not raw cotton,non,817071
anatomie,1,not raw cotton,non,817071
anatose,3,not raw cotton,non,817071
anches de tonneaux,2,not raw cotton,non,817071
anchois,1130,not raw cotton,non,817071
anchois câpres et olives,10,not raw cotton,non,817071
anchois câpres etc.,1,not raw cotton,non,817071
anchois câpres olives,1,not raw cotton,non,817071
anchois et boutargue,13,not raw cotton,non,817071
anchois et câpres,5,not raw cotton,non,817071
anchois et sardes,1,not raw cotton,non,817071
anchois et sardines,5,not raw cotton,non,817071
anchois mariné,10,not raw cotton,non,817071
anchois mariné et salé,39,not raw cotton,non,817071
anchois salé,2,,non,38841
anchois salé et mariné,2,not raw cotton,non,817071
anchois salés,4,not raw cotton,non,817071
anchois salés et marinés,9,not raw cotton,non,817071
ancres,56,not raw cotton,non,817071
ancres de chaudon,1,not raw cotton,non,817071
ancres de fer,580,not raw cotton,non,817071
ancres de fer à chaudrons,1,not raw cotton,non,817071
ancres de fer au-dessus de 250 kilogrammes,1,not raw cotton,non,817071
ancres de fer de 250 kilogrammes et au-dessous,1,not raw cotton,non,817071
ancres de fer et embarcations,2,not raw cotton,non,817071
ancres et embarcations,5,not raw cotton,non,817071
ancres et grappins de fer,1,not raw cotton,non,817071
ancres et ouvrages de fer,2,,non,38841
ancres gravelées,1,not raw cotton,non,817071
ancres neuves,3,not raw cotton,non,817071
ancres vides,3,not raw cotton,non,817071
ancres vieilles,1,,non,38841
ancres vieilles vides,1,not raw cotton,non,817071
andolium,5,not raw cotton,non,817071
andouilles,43,not raw cotton,non,817071
andouillette,1,not raw cotton,non,817071
ânes,175,not raw cotton,non,817071
ânes et ânesses,97,not raw cotton,non,817071
ânes et mulets,11,not raw cotton,non,817071
ânesses,1,not raw cotton,non,817071
angélique,28,not raw cotton,non,817071
angélique du Rozème,1,not raw cotton,non,817071
anguilles,25,not raw cotton,non,817071
anguilles et truites,118,not raw cotton,non,817071
anguilles fraîches,1,not raw cotton,non,817071
anguilles marinées,1,not raw cotton,non,817071
anguilles salées,22,not raw cotton,non,817071
anille,1,not raw cotton,non,817071
animaux,5,not raw cotton,non,817071
anis,575,not raw cotton,non,817071
anis et rac et rhum etc.,101,not raw cotton,non,817071
anis et sucre,1,not raw cotton,non,817071
anis vert,94,not raw cotton,non,817071
anis vert à distiller,2,not raw cotton,non,817071
anisette,112,not raw cotton,non,817071
anisette au fiasque,6,not raw cotton,non,817071
anisette de Bordeaux,2,not raw cotton,non,817071
anneau de cuivre,1,,non,38841
anneau de fer,2,not raw cotton,non,817071
anneaux de cuivre,1,not raw cotton,non,817071
anneaux de fer,1,,non,38841
