goods_simpl_classification,nbr_occurences_simpl,ulrich_classification,obsolete,nbr_occurences_ulrich
aiguilles à toile,1,out,non,483657
aiguilles d'emballage,2,out,non,483657
aiguilles de mercerie fine,1,out,non,483657
aiguilles epars de sapin,1,out,non,483657
aiguilles et épingles,1,out,non,483657
aiguilles et épingles de mercerie fine,3,out,non,483657
aiguilles et mercerie fine,2,out,non,483657
aiguilles grosses,1,out,non,483657
aiguilles pour voile,37,out,non,483657
aiguillettes,1,out,non,483657
ail,2,out,non,483657
ailes,4,out,non,483657
ailes de fléaux,1,out,non,483657
ailes de moulins,1,out,non,483657
ailor,1,out,non,483657
ails,204,out,non,483657
ails à fauches,1,out,non,483657
ails blancs à casser,1,out,non,483657
aimant,1,out,non,483657
ains à pêcher,43,out,non,483657
ains et lignes à pêcher,2,out,non,483657
airain,6,out,non,483657
airain non ouvré,4,out,non,483657
ajustements,37,out,non,483657
ajustements de femme,5,out,non,483657
ajustements de soie,2,out,non,483657
alambics,17,out,non,483657
alambics d'étain,17,out,non,483657
alambics de cuivre,2,out,non,483657
alambics de terre,1,out,non,483657
alana,2,out,non,483657
alazar,2,out,non,483657
albâtre,5,out,non,483657
albâtre brut,3,out,non,483657
albâtre et marbre brut et poli,21,out,non,483657
albâtre moulé poli ou sculpté,6,out,non,483657
alcalis autre que natron et soude,2,out,non,483657
alcalis salin,1,out,non,483657
alènes,5,out,non,483657
alibanies,97,cotton goods,non,14779
alizari,17,out,non,483657
alizari et garance,165,madder,non,1484
alizari sèche,7,out,non,483657
alkermés,1,out,non,483657
alkermès en grains,23,out,non,483657
allaya,84,out,non,483657
alleaux,1,out,non,483657
allemande de poil,10,out,non,483657
allumettes,54,out,non,483657
allumettes à vin,29,out,non,483657
allumettes de coton,1,cotton goods,non,14779
allumettes de mêche soufrée,1,out,non,483657
allumettes droguées,3,out,non,483657
allumettes épicée,2,out,non,483657
allumettes opérées et soufrées,1,out,non,483657
allumettes soufrées,12,out,non,483657
almagro ou crayon rouge,1,out,non,483657
almanachs,1,out,non,483657
almanachs brochés,2,out,non,483657
almanachs en blancs,1,out,non,483657
almanachs enjolivés,1,out,non,483657
almanachs reliés,1,out,non,483657
aloès,229,out,non,483657
aloès cabalin,6,out,non,483657
aloès commun,1,out,non,483657
aloès et opium,2,out,non,483657
aloès hépatique,1,out,non,483657
aloès moyen,2,out,non,483657
aloiset,1,out,non,483657
alose,2,out,non,483657
alose fumée,1,out,non,483657
alose salée,5,out,non,483657
aloues,1,out,non,483657
alouettes,4,out,non,483657
alpargate,37,out,non,483657
alphabets,1,out,non,483657
alpiste,20,out,non,483657
alpiste et millet,9,out,non,483657
alquifoux,479,out,non,483657
alquifoux en galène,2,out,non,483657
alquifoux et mine de plomb,36,out,non,483657
alquifoux mine de plomb ou graphite,23,out,non,483657
alquifoux ou mine de plomb,1,out,non,483657
alquifoux sable plombifère,1,out,non,483657
alquitra,3,out,non,483657
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,out,non,483657
alto basses contrebasses guitare lyres violes violons,2,out,non,483657
alto bassons guitare violons,3,out,non,483657
aluchiabanis,3,out,non,483657
alun,1873,alum,non,1899
alun à cordonnier,1,alum,non,1899
alun autre que brûlé ou calciné,2,alum,non,1899
alun bon,2,alum,non,1899
alun brûlé,1,alum,non,1899
alun commun,1,alum,non,1899
alun de glace,1,alum,non,1899
alun de roche,5,alum,non,1899
alun de Rome,3,alum,non,1899
alun de Rome fin rosé,1,alum,non,1899
alun de Rouen,2,alum,non,1899
alun de Surde,2,alum,non,1899
alun du Levant,1,alum,non,1899
alun en dracy,1,alum,non,1899
alun en rame,1,alum,non,1899
alun gâté,1,alum,non,1899
alun ordinaire,1,alum,non,1899
alvés,2,out,non,483657
amadou,225,out,non,483657
amadou et agaric amadouvier,7,out,non,483657
amandes,1207,out,non,483657
amandes à la praline,4,out,non,483657
amandes amères,1,out,non,483657
amandes arachis noisettes noix noyaux,2,out,non,483657
amandes cassée,6,out,non,483657
amandes cassées,384,out,non,483657
amandes cassées ou en coque,3,out,non,483657
amandes courtes,1,out,non,483657
amandes douces,4,out,non,483657
amandes en coque,300,out,non,483657
amandes et figue et raisin,24,out,non,483657
amandes et pelures et prunes et raisin,1,out,non,483657
amandes et pruneaux,2,out,non,483657
amandes et raisin sec,2,out,non,483657
amandes et raisin sec et savon,1,out,non,483657
amandes et savon,2,out,non,483657
amandes et sucre,1,sugar,non,8383
amandes et verdet,1,out,non,483657
amandes fraîches,1,out,non,483657
amandes longues,1,out,non,483657
amandes mondées,2,out,non,483657
amandes sèches,64,out,non,483657
amandes sèches et figue sèche et ???,9,out,non,483657
amandes sèches et figue sèche et raisin sec,135,out,non,483657
amaril,1,out,oui,483657
amarine,1,out,non,483657
ambrain à grande barrique,1,out,non,483657
ambre,42,out,non,483657
ambre blanc,1,out,non,483657
ambre brut,1,out,non,483657
ambre carabé,21,out,non,483657
ambre carabé jaune,2,out,non,483657
ambre en grains,1,out,non,483657
ambre et corail,1,out,non,483657
ambre gris,36,out,non,483657
ambre jaune,72,out,non,483657
ambre moulu,2,out,non,483657
ameny,1,out,oui,483657
amer,3,out,non,483657
amer de laine,1,out,non,483657
amertis,4,cotton goods,non,14779
ameublement,2,out,non,483657
ameublement de chitte,1,out,non,483657
ami de toilé,1,out,non,483657
amidon,1166,out,non,483657
amidon alun,1,out,non,483657
amidon en grains,1,out,non,483657
amidon en poudre,1,out,non,483657
amidon et poudre à poudrer,1,out,non,483657
ammoniac,7,out,non,483657
ammoniac et sel,21,out,non,483657
ammonium,1,out,non,483657
amomum,14,out,non,483657
amomum et fèves de tonka et noix de ravensara,2,out,non,483657
amomum verum,2,out,non,483657
amurca,4,out,non,483657
anabasse,121,out,non,483657
anabasse ; bajutapau,3,out,non,483657
anabasse ; corat ; nicaneas ; platille,2,out,non,483657
anacardes,2,out,non,483657
anacoste,3,out,non,483657
ananas,1,out,non,483657
ananas confit,2,out,non,483657
ananas et pommes de grenade,1,out,non,483657
ananas planté,1,out,non,483657
anatomie,1,out,non,483657
anatose,3,out,non,483657
anches de tonneaux,2,out,non,483657
anchois,851,out,non,483657
anchois câpres et olives,10,out,non,483657
anchois câpres etc.,1,out,non,483657
anchois câpres olives,1,out,non,483657
anchois et boutargue,13,out,non,483657
anchois et câpres,5,out,non,483657
anchois et sardes,1,out,non,483657
anchois et sardines,5,out,non,483657
anchois mariné,6,out,non,483657
anchois mariné et salé,39,out,non,483657
anchois salé et mariné,2,out,non,483657
anchois salés,5,out,non,483657
anchois salés et marinés,9,out,non,483657
ancres,5,out,non,483657
ancres de chaudon,1,out,non,483657
ancres de fer,553,out,non,483657
ancres de fer à chaudrons,1,out,non,483657
ancres de fer au-dessus de 250 kilogrammes,1,out,non,483657
ancres de fer de 250 kilogrammes et au-dessous,1,out,non,483657
ancres de fer et embarcations,2,out,non,483657
ancres et embarcations,5,out,non,483657
ancres et grappins de fer,1,out,non,483657
ancres gravelées,1,out,non,483657
ancres neuves,3,out,non,483657
ancres vides,4,out,non,483657
ancres vieilles,1,out,non,483657
ancres vieilles vides,1,out,non,483657
andolium,2,out,non,483657
andouilles,43,out,non,483657
andouillette,1,out,non,483657
ânes,174,out,non,483657
ânes et ânesses,9,out,non,483657
ânes et mulets,11,out,non,483657
ânesses,1,out,non,483657
angélique,28,out,non,483657
angélique du Rozème,1,out,non,483657
anguilles,22,out,non,483657
anguilles et truites,1,out,non,483657
anguilles fraîches,1,out,non,483657
anguilles marinées,1,out,non,483657
anguilles salées,22,out,non,483657
anille,1,out,non,483657
animaux,5,out,non,483657
anis,520,out,non,483657
anis et rac et rhum etc.,2,out,non,483657
anis et sucre,1,sugar,non,8383
anis vert,94,out,non,483657
anis vert à distiller,2,out,non,483657
anisette,113,out,non,483657
anisette au fiasque,6,out,non,483657
anisette de Bordeaux,2,out,non,483657
anneau de cuivre,1,out,non,483657
anneau de fer,2,out,non,483657
anneaux de cuivre,1,out,non,483657
anneaux de fer,1,out,non,483657
ânon,2,out,non,483657
anspects,124,out,non,483657
anspects de 3 à 4 pieds,1,out,non,483657
anspects de bois,27,out,non,483657
anspects de sapin,1,out,non,483657
antale,3,out,non,483657
antale et cauris,1,out,non,483657
antchibanis,9,out,non,483657
antenelle,1,out,non,483657
antennes,2,out,non,483657
antennes et mâts de bateaux,1,out,non,483657
antimoine,221,out,non,483657
antimoine cru,27,out,non,483657
antimoine métallique et sulfuré,2,out,non,483657
antimoine préparé,2,out,non,483657
antimoine vert,1,out,non,483657
antofle,1,out,non,483657
antofle de girofle,11,out,non,483657
apasier,1,out,non,483657
apier,3,out,non,483657
apios,7,out,non,483657
apparaux et bâtiments de mer,38,out,non,483657
apprêtée à toiler les livres,1,out,non,483657
apprêtée pour parchemins,1,out,non,483657
arachis olives fraîches,1,out,non,483657
arains,6,out,non,483657
arak,17,out,non,483657
arbalètes,1,out,non,483657
arbalètrrie et cartes marines,1,out,oui,483657
arbres,7,out,non,483657
arbres à fruits,2,out,non,483657
arbres à planter,142,out,non,483657
arbres châtaignier,4,out,non,483657
arbres d' ???,1,out,non,483657
arbres d'auban,1,out,non,483657
arbres de sapin,1,out,non,483657
arbres et arbrisseaux,25,out,non,483657
arbres et arbrisseaux à fruits,1,out,non,483657
arbres et arbrisseaux sauvages,1,out,non,483657
arbres et arbustes,6,out,non,483657
arbres et plants,1,out,non,483657
arbres fruitiers,87,out,non,483657
arbres marronniers à planter,1,out,non,483657
arbres nains,1,out,non,483657
arbres tilleul,3,out,non,483657
arbrisseaux,9,out,non,483657
arbustes,3,out,non,483657
arcanette,1,out,non,483657
arcanie,1,out,non,483657
arcanson,4,out,non,483657
arcanum duplicatum,2,out,non,483657
archets de violons,1,out,non,483657
archets et violon,1,out,non,483657
archiabanis,2,out,non,483657
arçons de bas de bois,1,out,non,483657
arçons de bois,1,out,non,483657
arçons de selles,14,out,non,483657
arçons démontés,1,out,non,483657
ardoise,365,out,non,483657
ardoise à piler,1,out,non,483657
ardoise commune,2,out,non,483657
ardoise dite chérubin et à mortier,1,out,non,483657
ardoise dite grande voisine,1,out,non,483657
ardoise dite moyenne voisine,1,out,non,483657
ardoise dite petite voisine,1,out,non,483657
ardoise dite voisine grande moyenne et petite,2,out,non,483657
ardoise en carreaux,1,out,non,483657
ardoise en carreaux et d'1 pied carré,1,out,non,483657
ardoise en carreaux ou en table,7,out,non,483657
ardoise en livret,1,out,non,483657
ardoise encadrée,1,out,non,483657
ardoise encadrée et en livret,1,out,non,483657
ardoise non travaillée,1,out,non,483657
ardoise pour fenêtre,6,out,non,483657
ardoise pour toiture,8,out,non,483657
ardoise pour toiture au kilogramme,1,out,non,483657
ardoise pour toiture au nombre,2,out,non,483657
ardoise verte,1,out,non,483657
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,out,non,483657
arelles de baleine,1,out,non,483657
argent,11,out,non,483657
argent battu,1,out,non,483657
argent battu et en feuille,2,out,non,483657
argent battu filé laminé et tiré,3,out,non,483657
argent brisé et en lingots et en masses,1,out,non,483657
argent brûlé,1,out,non,483657
argent brut,1,out,non,483657
argent brut en lingot et en masse ouvrages détruits,2,out,non,483657
argent carragoux,2,out,non,483657
argent en barils,1,out,non,483657
argent en barres,2,out,non,483657
argent en lingots,18,out,non,483657
argent en lingots par Calais,1,out,non,483657
argent et or,237,out,non,483657
argent et or billon,1,out,non,483657
argent faux,9,out,non,483657
argent faux en fil cantilles etc.,2,out,non,483657
argent faux et or faux,53,out,non,483657
argent faux et or faux traits,1,out,non,483657
argent fin,1,out,non,483657
argent monnayé et nogat d'or,4,out,non,483657
argent vif,3,out,non,483657
argenterie,732,out,non,483657
argenterie épée,7,out,non,483657
argenterie et bijouterie,14,out,non,483657
argenterie et bijouterie et orfèvrerie,1,out,non,483657
argenterie et orfèvrerie,122,out,non,483657
argenterie et orfèvrerie vermeil,37,out,non,483657
argenterie neuve,4,out,non,483657
argenterie vieille,12,out,non,483657
argile et terre pour engrais,15,out,non,483657
arins,1,out,non,483657
aristoloche,68,out,non,483657
armement de tables,3,out,non,483657
armes,251,out,non,483657
armes à feu,368,out,non,483657
armes à feu de guerre,2,out,non,483657
armes à feu de guerre et de traite,1,out,non,483657
armes à feu de guerre portatives,2,out,non,483657
armes à feu de luxe,4,out,non,483657
armes à feu de luxe ou de traite,3,out,non,483657
armes à feu de munitions,2,out,non,483657
armes à feu de munitions fines,4,out,non,483657
armes à feu de traite,1,out,non,483657
armes à feu et artillerie,1,out,non,483657
armes à feu et de traite,1,out,non,483657
armes à feu et fusils,1,out,non,483657
armes armureries,1,out,non,483657
armes autres que de guerre à feu,1,out,non,483657
armes autres que de guerre blanches,1,out,non,483657
armes blanches,201,out,non,483657
armes blanches de guerre,1,out,non,483657
armes blanches de guerre et de traite,1,out,non,483657
armes blanches de luxe,2,out,non,483657
armes blanches de luxe ou de traite,3,out,non,483657
armes blanches de traite,1,out,non,483657
armes de chasse ou de luxe à feu,2,out,non,483657
armes de chasse ou de luxe blanches,2,out,non,483657
armes de guerre,2,out,non,483657
armes différentes,1,out,non,483657
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,out,non,483657
armes et munitions,9,out,non,483657
armes lames,1,out,non,483657
armes remontrances,1,out,non,483657
armoires,57,out,non,483657
armoires ayant servi,1,out,non,483657
armoires d'acajou,12,out,non,483657
armoires de bois,1,out,non,483657
armoires de bois de noyer,1,out,non,483657
armoires de bois de sapin peintes,1,out,non,483657
armoires de bois des Indes,1,out,non,483657
armoires de chêne,9,out,non,483657
armoires de chêne ornée,1,out,non,483657
armoires de noyer,9,out,non,483657
armoires de sapin,3,out,non,483657
armoires et commodes,1,out,non,483657
armoires vieilles,2,out,non,483657
armoisin,46,out,non,483657
armure de fer,1,out,non,483657
armure vieille,1,out,non,483657
arnas,1,out,non,483657
arpois,1,out,non,483657
arquebuse,1,out,non,483657
arrangas,1,out,non,483657
arrosoirs,6,out,non,483657
arrosoirs de bois,2,out,non,483657
arrosoirs de cuivre,1,out,non,483657
arrosoirs de fer,1,out,non,483657
arrosoirs de fer-blanc,6,out,non,483657
arrosoirs de sapin,1,out,non,483657
arrosoirs de terre,1,out,non,483657
arrowroot,1,out,non,483657
arséniate de potasse,2,out,non,483657
arsenic,411,out,non,483657
arsenic métallique,6,out,non,483657
artichauts,78,out,non,483657
artichauts champignons et truffes,2,out,non,483657
artichauts confits,68,out,non,483657
artichauts frais,17,out,non,483657
artichauts marinés,2,out,non,483657
artichauts secs,6,out,non,483657
artifice,5,out,non,483657
artifice fusées etc.,1,out,non,483657
artillerie,6,out,non,483657
asa fœtida,123,out,non,483657
asperges,9,out,non,483657
asperges confites,1,out,non,483657
asperges et scorsonères,1,out,non,483657
asphaltum,19,out,non,483657
assiette,1,out,non,483657
assiette de Biarritz,1,out,non,483657
assiette de bois,1,out,non,483657
assiette de faïence,8,out,non,483657
assiette de porcelaine,3,out,non,483657
assiette de porcelaine des Indes,1,out,non,483657
assiette de terre,6,out,non,483657
assiette et plats de terre,1,out,non,483657
asustum,1,out,non,483657
atastes,1,out,non,483657
atlas,2,out,non,483657
atlas à la feuille d'or,1,out,non,483657
atlas et instruments de marine,1,out,non,483657
atlas jaspé,1,out,non,483657
attaches de cuivre,1,out,non,483657
attelles de colliers,14,out,non,483657
aube,1,out,non,483657
auchinoise,2,out,non,483657
auclimes,2,out,non,483657
auf,117,out,non,483657
augemy,2,out,non,483657
auges,3,out,non,483657
auges de carreaux,2,out,non,483657
augustins,2,out,non,483657
aurcsats,1,out,non,483657
aurcsats étoile,1,out,non,483657
aussière,2,out,non,483657
autel de marbre,2,out,non,483657
avelanèdes,58,out,non,483657
avelines,8,out,non,483657
avelines et noisettes sèches,22,out,non,483657
avelines faînes noisettes noix,1,out,non,483657
avelines noisettes noix,5,out,non,483657
avirons,639,out,non,483657
avirons bruts,17,out,non,483657
avirons de 12 pieds,1,out,non,483657
avirons de 18 pieds,1,out,non,483657
avirons de 30 pieds,1,out,non,483657
avirons de 5 pieds,1,out,non,483657
avirons de 8 à 12 pieds,1,out,non,483657
avirons de bois,51,out,non,483657
avirons de bois façonné,1,out,non,483657
avirons de chêne,1,out,non,483657
avirons de sapin,1,out,non,483657
avirons et perches de bois,3,out,non,483657
avirons et rames bruts,2,out,non,483657
avirons et rames de bois,1,out,non,483657
avirons et rames de bois façonné,2,out,non,483657
avirons et rames façonnés,5,out,non,483657
avirons polis,1,out,non,483657
avoine,496,out,non,483657
avoine en gerbes,1,out,non,483657
avoine et haricots,1,out,non,483657
avoine et orge etc.,1,out,non,483657
avoine mondée,1,out,non,483657
avoine moulée,1,out,non,483657
azur,729,out,non,483657
azur commun,197,out,non,483657
azur et bleu de Prusse,9,out,non,483657
azur et cobalt,20,out,non,483657
azur fin,13,out,non,483657
azur gros,22,out,non,483657
babassis,1,out,non,483657
babouches,90,out,non,483657
babouches de maroquin,2,out,non,483657
bacs d'1 aime,1,out,non,483657
bacs de pierre,1,out,non,483657
bacs de pierre bleue,1,out,non,483657
bacs de pierre d'1 aime,1,out,non,483657
bacs de pierre de 4 aimes,1,out,non,483657
bacs de pierre de demi d'aime,1,out,non,483657
bacs de pierre de moindre classe,1,out,non,483657
bacs de pierre de trois-quart d'aime,1,out,non,483657
bacs de pierre en dessous d'1 aime,1,out,non,483657
bacs de pierre en dessus d'1 aime,1,out,non,483657
badiane,59,out,non,483657
baffetas,10,cotton goods,non,14779
baffetas blanc,19,cotton goods,non,14779
baffetas bleu,26,cotton goods,non,14779
baffetas des Indes,2,cotton goods,non,14779
bagarot,1,out,non,483657
bagues,5,out,non,483657
bagues à pierres fausses,1,out,non,483657
bagues d'argent,2,out,non,483657
bagues d'or,1,out,non,483657
bagues de cuivre,2,out,non,483657
bagues de laiton,1,out,non,483657
bagues de verre,3,out,non,483657
baguettes,6,out,non,483657
baguettes à chandelle,1,out,non,483657
baguettes à étoffe,2,out,non,483657
baguettes d'étain,2,out,non,483657
baguettes de bois,1,out,non,483657
baguettes de bois doré,1,out,non,483657
baguettes de cuivre,3,out,non,483657
baguettes de fer à fusil,1,out,non,483657
baguettes de fusil,47,out,non,483657
bahuts,24,out,non,483657
baie de laurier,28,out,non,483657
baies de buis,1,out,non,483657
baies de genévrier à distiller,2,out,non,483657
baies de genièvre,6,out,non,483657
baignes,3,out,non,483657
baignoires,2,out,non,483657
baignoires d'acajou,1,out,non,483657
baignoires de cuivre,4,out,non,483657
baignoires de sapin,1,out,non,483657
baignoires de tôle,2,out,non,483657
baigots,1,out,non,483657
baillarge,5,out,non,483657
bailles,1,out,non,483657
baïonnettes,13,out,non,483657
bais de bois de chêne,1,out,non,483657
bajutapau,231,cotton goods,non,14779
bajutapau commun,1,cotton goods,non,14779
bajutapau des Indes,1,cotton goods,non,14779
"bajutapau, canelis, etc.",3,cotton goods,non,14779
balais,123,out,non,483657
balais communs,5,out,non,483657
balais coupés,3,out,non,483657
balais de bois,39,out,non,483657
balais de brandes,1,out,non,483657
balais de bruyère,13,out,non,483657
balais de chanvre,1,out,non,483657
balais de crin,12,out,non,483657
balais de foyer,1,out,non,483657
balais de jonc,50,out,non,483657
balais de jonc petits,1,out,non,483657
balais de laine à laver les planchers,1,out,non,483657
balais de millet,2,out,non,483657
balais de paille,2,out,non,483657
balais de paille de riz,6,out,non,483657
balais de palme,295,out,non,483657
balais de palme petits,1,out,non,483657
balais de plumes,3,out,non,483657
balais de poil,2,out,non,483657
balais de riz,5,out,non,483657
balais de soie,7,out,non,483657
balais de soie de porcs,18,out,non,483657
balais de toile,1,out,non,483657
balais du roi,1,out,non,483657
balais fins,1,out,non,483657
balais grands de palme,2,out,non,483657
balais ou ramons,1,out,non,483657
balais petits,1,out,non,483657
balance,7,out,non,483657
balance à la romaine,1,out,non,483657
balance complète,1,out,non,483657
balance de bois,1,out,non,483657
balance de cuivre,8,out,non,483657
balance de cuivre jaune,1,out,non,483657
balance de fer,4,out,non,483657
balance et poids de cuivre,1,out,non,483657
balance et romaine,2,out,non,483657
balance et ses poids,1,out,non,483657
balance ou fléaux en fer,1,out,non,483657
balance petite,1,out,non,483657
balance romaine,3,out,non,483657
balcon de fer,1,out,non,483657
baleine,125,out,non,483657
baleine apprêtée,1,out,non,483657
baleine coupée,641,out,non,483657
baleine coupée en fanon,11,out,non,483657
baleine coupée et en fanon,12,out,non,483657
baleine de sarde,18,out,non,483657
baleine en fanon,278,out,non,483657
baleine en fanon et de sarde,1,out,non,483657
baleine non sciée,1,out,non,483657
baleine taillée,1,out,non,483657
balles,1,out,non,483657
balles à jouer,2,out,non,483657
balles d'osier,3,out,non,483657
balles de fer et canons de fer,2,out,non,483657
balles de fer uni,1,out,non,483657
balles de jonc,1,out,non,483657
balles de palme,1,out,non,483657
balles de plomb,8,out,non,483657
balles et dragées de plomb,1,out,non,483657
balles vides,1,out,non,483657
balustres,12,out,non,483657
bamboches,1,out,non,483657
bambous,8,out,non,483657
banastron,1,out,non,483657
banc à couper la paille,1,out,non,483657
banc de sapin,1,out,non,483657
bandages,4,out,non,483657
bandages de peaux,5,out,non,483657
bandages pour soldats,1,out,non,483657
bandanas des Indes,1,out,non,483657
bandeaux,4,out,non,483657
banderoles,1,out,non,483657
banderoles de cuir,2,out,non,483657
bandes de cabrouets de fer,3,out,non,483657
bandes de charrettes,1,out,non,483657
bandes de fer,4,out,non,483657
bandes de fer à tombereaux,1,out,non,483657
bandes de roues de fer,1,out,non,483657
bandes de tulles brodées,1,out,non,483657
bandes et barres de fer,4,out,non,483657
bandoulières garnies d'argent,1,out,non,483657
bannes et bannettes d'osier,1,out,non,483657
bannettes d'osier,1,out,non,483657
bannettes de cuir,1,out,non,483657
bannière de Damas,1,out,non,483657
banquette,4,out,non,483657
baquelets,1,out,non,483657
baquets,2,out,non,483657
baquets à jeter l'eau,1,out,non,483657
baquets de cuivre,5,out,non,483657
baquets de fer,1,out,non,483657
baquets de rechange,1,out,non,483657
baquets de sapin,2,out,non,483657
baracan,173,out,non,483657
baracan aune,1,out,non,483657
baracan d'Abbeville,1,out,non,483657
baracan de laine,14,out,non,483657
baracan de laine et de poil,2,out,non,483657
baracan de Lille,1,out,non,483657
