simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
antale et cauris,1,9c,,non,13242
antenelle,1,9c,,non,13242
antennes,2,9c,,non,13242
antennes et mâts de bateaux,1,7,x,non,14031
antimoine,282,2,x,non,131731
antimoine cru,27,2,x,non,131731
antimoine métallique et sulfuré,2,5,,non,61910
antimoine préparé,2,5,,non,61910
antimoine vert,1,5,,non,61910
antofle,1,0b,x,non,34395
antofle de girofle,11,0b,x,non,34395
apasier,1,9c,,non,13242
apier,3,6b,,non,36431
apios,7,2,x,non,131731
apparaux,1,7,,non,14031
apparaux et bâtiments de mer,38,7,,non,14031
apprêtée à toiler les livres,2,6h,x,non,15105
apprêtée pour parchemins,2,6c,x,non,7807
apprêts,2,9c,,non,13242
arachis olives fraîches,1,0a,,non,122047
arains,6,9c,,non,13242
arak,17,1,x,non,58464
arbalètes,7,8,x,non,73824
arbalètrie et cartes marines,1,8,,non,73824
arbres,51,2,x,non,131731
arbres à fruits,2,2,x,non,131731
arbres à planter,142,2,x,non,131731
arbres châtaignier,4,2,,non,131731
arbres d' ???,1,2,,non,131731
arbres d'auban,1,2,x,non,131731
arbres de sapin,1,2,x,non,131731
arbres et arbrisseaux,25,2,x,non,131731
arbres et arbrisseaux à fruits,134,2,x,non,131731
arbres et arbrisseaux sauvages,138,2,x,non,131731
arbres et arbustes,6,2,x,non,131731
arbres et plants,1,2,x,non,131731
arbres fruitiers,90,2,x,non,131731
arbres marronniers à planter,1,2,x,non,131731
arbres nains,1,2,,non,131731
arbres tilleul,3,2,,non,131731
arbrisseaux,9,2,x,non,131731
arbustes,3,2,x,non,131731
arcanette,1,0a,x,non,122047
arcanie,1,9c,,non,13242
arcanson,4,5,x,non,61910
arcanum duplicatum,2,9c,,non,13242
archets de violons,19,8,x,non,73824
archets et violon,1,8,,non,73824
arçons de bas de bois,1,7,x,non,14031
arçons de bois,1,7,x,non,14031
arçons de selles,22,7,x,non,14031
arçons démontés,1,7,,non,14031
ardoise,370,2,x,non,131731
ardoise à piler,1,2,,non,131731
ardoise commune,215,2,x,non,131731
ardoise dite chérubin et à mortier,63,2,x,non,131731
ardoise dite grande voisine,2,2,x,non,131731
ardoise dite moyenne voisine,3,2,x,non,131731
ardoise dite petite voisine,2,2,x,non,131731
ardoise dite voisine grande moyenne et petite,7,2,,non,131731
ardoise en carreaux,2,6k,x,non,22524
ardoise en carreaux et d'1 pied carré,1,6k,x,non,22524
ardoise en carreaux ou en table,7,6k,,non,22524
ardoise en livret,7,6k,x,non,22524
ardoise encadrée,2,6k,x,non,22524
ardoise encadrée et en livret,71,6k,x,non,22524
ardoise non travaillée,8,2,x,non,131731
ardoise pour fenêtre,6,2,x,non,131731
ardoise pour toiture,8,2,,non,131731
ardoise pour toiture au kilogramme,1,2,,non,131731
ardoise pour toiture au nombre,2,2,,non,131731
ardoise verte,1,2,x,non,131731
ardoises,4,2,,non,131731
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,9b,x,non,61966
arelles de baleine,1,8,,non,73824
argent,11,9a,x,non,1579
argent battu,1,9a,x,non,1579
argent battu et en feuille,2,9a,,non,1579
argent battu filé laminé et tiré,3,9a,,non,1579
argent brisé et en lingots et en masses,1,9a,,non,1579
argent brûlé,6,9a,x,non,1579
argent brut,1,9a,x,non,1579
argent brut en lingot et en masse ouvrages détruits,2,9a,,non,1579
argent carragoux,2,9a,x,non,1579
argent en barils,2,9a,x,non,1579
argent en barres,17,9a,x,non,1579
argent en lingots,26,9a,x,non,1579
argent en lingots par Calais,1,9a,x,non,1579
argent et or,237,9a,,non,1579
argent et or billon,8,9a,x,non,1579
argent faux,9,8,x,non,73824
argent faux en fil cantilles etc.,3,8,,non,73824
argent faux et or faux,53,8,x,non,73824
argent faux et or faux traits,1,8,x,non,73824
argent fin,1,9a,x,non,1579
argent monnayé et nogat d'or,4,9a,x,non,1579
argent vif,3,5,x,non,61910
argenterie,732,8,x,non,73824
argenterie épée,7,8,x,non,73824
