simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
meules à moudre de plus de 1949 millimètres en diamètre,2,6k,,non,22524
meules à sabres,2,6k,x,non,22524
meules à sucre,3,6k,,non,22524
meules à taillandier,196,6k,x,non,22524
meules à taillandier d'1 à 2 pieds,1,6k,x,non,22524
meules à taillandier de 2 pieds,1,6k,x,non,22524
meules à taillandier de 3 à 4,1,6k,x,non,22524
meules à taillandier de 4 à 5,1,6k,x,non,22524
meules à taillandier de 4 à 5 pouces,1,6k,x,non,22524
meules à taillandier de 4 pieds,1,6k,x,non,22524
meules à Talandier,2,6k,x,non,22524
meules acoustiques,1,6k,,non,22524
meules affiloires,7,6k,,non,22524
meules assorties,1,6k,,non,22524
meules au-dessous de 4 pouces,1,6k,x,non,22524
meules au-dessus de 4 pouces,1,6k,x,non,22524
meules bâtardes,34,6k,x,non,22524
meules brodées,1,9c,,non,13242
meules coutier,1,6k,x,non,22524
meules de 4 pieds,1,6k,x,non,22524
meules de coutelier,2,6k,x,non,22524
meules de différents modules à aiguiser,4,6k,,non,22524
meules de différents modules à moudre,4,6k,,non,22524
meules de pierre,14,6k,,non,22524
meules en têtes de renne,1,6k,,non,22524
meules ordinaires et à taillandier,1,6k,x,non,22524
meules petites,2,6k,x,non,22524
meules pour moulin,6,6k,x,non,22524
meules pour moulins,273,6k,x,non,22524
meules pour moulins de 4 pieds 1/2,1,6k,,non,22524
meules pour moulins de 55 pieds,1,6k,,non,22524
meules pour moulins de 6 pieds,1,6k,,non,22524
meules pour moulins de haute catégorie,7,6k,,non,22524
meules pour moulins dites grand loup d'Angleterre,7,6k,,non,22524
meules pour moulins dites petit loup d'Angleterre,4,6k,,non,22524
meules pour moulins du poids de 1200 à 1800 livres,65,6k,,non,22524
meules pour moulins du poids de 2000 à 2800 livres,79,6k,,non,22524
meules pour moulins du poids de 300 à 1000 livres,97,6k,,non,22524
meules pour moulins du poids de 3000 à 4000 livres,82,6k,,non,22524
meules pour moulins du poids de 5000 à 6000 livres,15,6k,,non,22524
meules pour moulins grosses,1,6k,,non,22524
meules pour moulins petites,3,6k,,non,22524
meulières,1,6k,,non,22524
meuniers,8,0a,,non,122047
Mi ???,1,9c,,non,13242
microscope,1,8,,non,73824
miel,1374,0a,x,non,122047
miel blanc,123,0a,,non,122047
miel brouche,103,0a,,non,122047
miel brun,129,0a,,non,122047
miel brut,5,0a,,non,122047
miel commun,1,0a,,non,122047
miel cru,4,0a,,non,122047
miel cuit,4,0a,x,non,122047
miel de Narbonne,7,0a,x,non,122047
miel façonné,7,0a,,non,122047
mignonette,1,6i,,non,9168
mignonette au quart de soie,1,6f,,non,16662
mignonette avec un brin de soie,1,6f,,non,16662
mignonette de soie,1,6f,,non,16662
mignonette des prises,2,6i,,non,9168
mignonette étoffe,10,6i,,non,9168
mignonnette,38,6i,x,non,9168
mignotte étoffe,4,6i,,non,9168
migon,18,9c,x,non,13242
mil,3,0a,,non,122047
mille gants,3,9c,x,non,13242
milleret,1,6i,,non,9168
millet,10,0a,x,non,122047
millet gros,51,0a,,non,122047
millet petit,20,0a,,non,122047
mine,3,2,,non,131731
mine d'alquifoux,1,2,,non,131731
mine d'asphalte,1,2,x,non,131731
mine de borde,1,2,,non,131731
mine de cuivre,4,2,x,non,131731
mine de cuivre rouge,2,2,x,non,131731
mine de fer,183,2,x,non,131731
mine de plomb,387,2,x,non,131731
mine de plomb noire,2,2,x,non,131731
mine de plomb rouge,2,2,x,non,131731
mine de Prusse,1,2,x,non,131731
mine de roche,3,2,x,non,131731
mine en grabeau,1,2,,non,131731
mine lavée,1,2,,non,131731
minerai de fer brut ou lavé,2,2,,non,131731
minerai de fer chromaté,2,2,,non,131731
minerai de fer sulfuré,1,2,,non,131731
minerai de plomb,9,2,x,non,131731
minéraux,2,2,x,non,131731
minium,361,5,x,non,61910
minium et mine orange,4,5,,non,61910
minium rouge divisé,3,5,,non,61910
minot,20,0a,,non,122047
minutier,3,6c,,non,7807
miny,260,9c,,oui,13242
mioche en grabeau,1,2,,non,131731
mireau,2,2,,non,131731
mirke,1,2,x,non,131731
miroirs,207,8,x,non,73824
miroirs à bordures dorées,6,8,x,non,73824
miroirs à bordures dorées et grands,1,8,,non,73824
miroirs à bordures dorées et petits,1,8,,non,73824
miroirs à cadres dorés,10,8,x,non,73824
miroirs à cadres dorés de 2 pieds de haut,1,8,,non,73824
miroirs communs,3,8,,non,73824
miroirs d'1 pied et demi,1,8,,non,73824
miroirs d'Allemagne,1,8,,non,73824
miroirs de 2 pieds,1,8,,non,73824
miroirs de 25 pieds de haut et 1 de large,1,8,,non,73824
miroirs de poche,3,8,,non,73824
miroirs de toilette,7,8,,non,73824
miroirs de traite,5,8,,non,73824
miroirs encadrés,238,8,,non,73824
miroirs grands,4,8,,non,73824
miroirs grands de plus de 3 millimètres d'épaisseurs,2,8,,non,73824
miroirs petits,221,8,,non,73824
miroirs petits sans distinction,2,8,,non,73824
mistelle,2,1,,non,58464
mitaines,1,8,,non,73824
mitaines bordées de soie par paires,3,8,,non,73824
mitaines brodées,1,8,,non,73824
mitaines de peau,3,8,,non,73824
mitaines de peau lisérées de soie,1,8,,non,73824
mitaines de soie,2,8,,non,73824
mitaines de taffetas,2,8,,non,73824
mitaines garnies de ruban,1,8,,non,73824
mitaines garnies de soie,9,8,x,non,73824
mitaines liserées,1,8,,non,73824
mitons à pierres fausses par paires de velours,1,8,,non,73824
mitons de soie,3,8,,non,73824
mitraille,2,6j,x,non,52338
mitraille de cuivre,109,6j,x,non,52338
mitraille vieille en batterie de cuisine,1,6j,,non,52338
mitrailles de cuivre,111,6j,x,non,52338
mitrailles de cuivre pur vieux,1,2,,non,131731
mittes,2,6j,,non,52338
mittières de fer,1,6j,x,non,52338
mobilier,999,8,x,non,73824
mobilier vieux,14,8,x,non,73824
mode de bœuf,1,0a,,non,122047
"mode, peaux, porcelaine, ruban 16 onces",1,9b,,non,61966
modèle de château de carton,1,8,,non,73824
modèle de plâtre,1,8,,non,73824
modèle de sculpture,1,8,,non,73824
modes de Montauban,1,8,,non,73824
moelle,1,0a,,non,122047
moelle de bœuf,10,0a,,non,122047
moellons,6,6k,,non,22524
moellons à faire chaux,92,2,,non,131731
moellons à faire des bâtiments,2,6k,,non,22524
moellons de brique,2,6k,,non,22524
moellons pierres meulières etc.,2,6k,,non,22524
mogette,4,0a,,non,122047
moines ???,2,9c,,non,13242
moines garnis de fer-blanc,1,8,x,non,73824
moire,2,6f,,non,16662
moire blanche,2,6f,,non,16662
moire d'argent,1,6f,,non,16662
molenaers,30,0a,,non,122047
molleton,214,6i,x,non,9168
molleton de capiton,4,6i,x,non,9168
molleton de coton,16,6g,x,non,16886
molleton de laine,79,6e,x,non,20927
molleton de laine imprimé,2,6e,,non,20927
molleton de soie,1,6f,x,non,16662
molleton et taffetas de laine,3,6e,,non,20927
molleton frisé,1,6i,x,non,9168
mollues,1,0a,,non,122047
momade,0,9c,,non,13242
momie,7,5,,non,61910
moncayard,5,6h,,non,15105
mongette,44,0a,x,non,122047
mongistere,7,9c,,non,13242
monnaies au type étranger,95,9a,x,non,1579
monnaies d'argent,33,9a,x,non,1579
monnaies d'argent en espèces coursables,3,9a,x,non,1579
monnaies d'argent et d'or et au type étranger,7,9a,x,non,1579
monnaies d'argent par Calais,2,9a,x,non,1579
monnaies d'argent par Strasbourg et Metz,1,9a,x,non,1579
monnaies d'argent par Valenciennes,1,9a,x,non,1579
monnaies d'or,18,9a,x,non,1579
monnaies d'or par Calais,1,9a,x,non,1579
monnaies d'or quadruple,3,9a,x,non,1579
monnaies de billon,3,9a,,non,1579
monnaies de cuivre,54,9a,x,non,1579
monnaies de cuivre de Suède,4,9a,x,non,1579
monnaies de cuivre jaune,1,9a,,non,1579
monnaies de cuivre ouvré,1,9a,x,non,1579
monnaies de cuivre pur,4,9a,,non,1579
monnaies du Portugal,1,9a,,non,1579
montichon,2,9c,,non,13242
montres,2,8,x,non,73824
montres d'argent,21,8,x,non,73824
montres d'argent et d'or,1,8,x,non,73824
montres d'or,23,8,,non,73824
montres d'or à répétition,1,8,,non,73824
montres d'or ordinaires,1,8,,non,73824
montres de cuivre,5,8,,non,73824
montres de mer,2,,,non,295
montres de métal,1,8,,non,73824
montres de poche,6,8,,non,73824
montres de poche à caisse d'argent,126,8,,non,73824
montres de poche à caisse d'or,126,8,,non,73824
montres de poches à caisse de pinsbeck,37,8,x,non,73824
montres et pendule,1,8,,oui,73824
montres et pendules,1,8,,non,73824
montres maillées,1,8,,non,73824
moques de grès,1,6k,,non,22524
moquette,199,6e,x,non,20927
moquette de fil et de laine,4,6i,,non,9168
moquette de fil et laine,1,6i,,non,9168
moquette de laine,2,6e,,non,20927
moquette de laine et de fil,1,6e,x,non,20927
moquette grasse de laine et fil,1,6e,x,non,20927
moquette rouge,2,6e,,non,20927
moquette verte,1,6e,x,non,20927
morceaux,1,9c,,non,13242
morceaux cousus,2,6a,,non,24860
morceaux cousus de hamsters,2,6a,,non,24860
morceaux cousus de lapins et lièvres,2,6a,,non,24860
morceaux cousus dos et ventre de petits-gris,2,6a,,non,24860
morceaux d'espars,1,7,,non,14031
morceaux de bois,1,6b,,oui,36431
morceaux de bois ordinaire de 6 à 7 pieds,1,6b,,non,36431
morceaux de bois puant de 6 pieds,1,6b,,non,36431
morceaux de planches,1,6b,,non,36431
morceaux de sapin,2,6b,,non,36431
morenine de soie,1,6f,,non,16662
morilles,16,0a,x,non,122047
morilles et mousserons et truffes,1,0a,x,non,122047
morilles et mousserons frais,1,0a,,non,122047
morilles et mousserons secs ou marinés,2,0a,,non,122047
morilles et truffes,1,0a,x,non,122047
mors de brides,122,7,,non,14031
mors de brides dorés,1,7,,non,14031
mors et brides,3,7,,non,14031
mortiers,2,9c,x,non,13242
mortiers de bois,1,6b,,non,36431
mortiers de bronze,1,6j,x,non,52338
mortiers de fer,6,6j,x,non,52338
mortiers de fonte,6,6j,,non,52338
mortiers de marbre,136,6k,x,non,22524
mortiers de métal,1,6j,,non,52338
mortiers de métal et pilon,1,6j,,non,52338
mortiers de pierre,27,6k,,non,22524
mortiers de terre,1,6k,,non,22524
mortiers et pilon,1,9c,x,non,13242
morue,437,0a,x,non,122047
morue ???,1,0a,x,non,122047
morue avariée,1,0a,x,non,122047
morue avec harengs des prises,1,0a,x,non,122047
morue blanche,1,0a,,non,122047
morue de Hollande,5,0a,x,non,122047
morue de pêche française,11,0a,x,non,122047
morue douce,1,0a,,non,122047
morue en pacotille,8,0a,,non,122047
morue en pavé,1,0a,,non,122047
morue en saumure,2,0a,x,non,122047
morue et stockfisch,181,0a,,non,122047
morue joues sèche,1,0a,x,non,122047
morue marinée et salée,5,0a,,non,122047
morue note alang,1,0a,x,oui,122047
morue par Bayonne,1,0a,x,non,122047
morue salée,61,0a,x,non,122047
morue salée d'Islande,1,0a,x,non,122047
morue salée et marinée,1,0a,,oui,122047
morue sèche,1134,0a,x,non,122047
morue sèche et salée et stockfisch salé suivant l'état des primes,6,0a,,non,122047
morue têtes,1,0a,,oui,122047
morue verte,640,0a,x,non,122047
morue verte avariée,1,0a,,non,122047
morue verte cabillaud,1,0a,,non,122047
morue verte cap et queues,6,0a,x,non,122047
morue verte de Terre Neuve,30,0a,,non,122047
morue verte des Îles,1,0a,x,non,122047
morue verte en tonneaux,1,0a,,non,122047
morue verte grande et moyenne,1,0a,,non,122047
motte de lin,1,2,x,non,131731
mottes à brûler,8,3,,non,5173
moucherons,1,9c,,non,13242
mouches à miel,122,0a,,non,122047
mouches cantharides,15,2,,non,131731
mouches de taffetas,6,8,,non,73824
mouchoirs,234,6i,x,non,9168
mouchoirs ??? de fil de France,0,6d,x,non,23025
mouchoirs à carreaux,1,6d,,non,23025
mouchoirs à la valeur,1,6i,,non,9168
mouchoirs à peu de soie,1,6f,,non,16662
mouchoirs à toile peinte,1,6g,x,non,16886
mouchoirs à vignettes,1,6d,,non,23025
mouchoirs au brin de soie,1,6f,x,non,16662
mouchoirs baffetas,1,6g,x,non,16886
mouchoirs bandanas,2,6g,,non,16886
mouchoirs batiste peint,1,6d,,non,23025
mouchoirs blancs,2,6i,,non,9168
mouchoirs blancs brodés en fil de chanvre ou de lin,3,6d,,non,23025
mouchoirs blancs de chanvre et de lin,2,6d,,non,23025
mouchoirs blancs et bleus,1,6i,,non,9168
mouchoirs blancs et teints,27,6i,x,non,9168
mouchoirs bleus,3,6i,x,non,9168
mouchoirs brodés,13,6h,,non,15105
mouchoirs brodés de soie,1,6f,,non,16662
mouchoirs communs,4,6i,,non,9168
mouchoirs coupés,3,6i,,non,9168
mouchoirs d'Alep,2,6g,,non,16886
mouchoirs d'indienne,88,6g,x,non,16886
mouchoirs d'organdis,3,6g,,non,16886
mouchoirs de ???,1,6h,x,non,15105
mouchoirs de batiste,28,6d,x,non,23025
mouchoirs de batiste de Saint-Quentin,2,6d,x,non,23025
mouchoirs de Bengale,106,6g,x,non,16886
mouchoirs de Betton,1,6i,,non,9168
mouchoirs de Champafaris,2,6g,,non,16886
mouchoirs de chanvre et de lin blancs,2,6h,,non,15105
mouchoirs de chanvre et de lin imprimés teints rayés par le tissage,3,6h,,non,15105
mouchoirs de chanvre et de lin rayés teints ou imprimés,2,6h,,non,15105
mouchoirs de chasse,1,6h,,non,15105
mouchoirs de chocolat,2,6h,x,non,15105
mouchoirs de Cholet,144,6d,x,non,23025
mouchoirs de coton,891,6g,x,non,16886
mouchoirs de coton blanc,3,6g,x,non,16886
mouchoirs de coton blancs,1,6g,x,non,16886
mouchoirs de coton brin de soie,2,6f,x,non,16662
mouchoirs de coton communs,5,6g,x,non,16886
mouchoirs de coton de France,15,6g,x,non,16886
mouchoirs de coton de l'étranger,2,6g,x,non,16886
mouchoirs de coton découpés,119,6g,,non,16886
mouchoirs de coton des Indes,14,6g,,non,16886
mouchoirs de coton et de fil,540,6h,x,non,15105
mouchoirs de coton et de fil découpés,93,6h,,non,15105
mouchoirs de coton et de soie,1,6f,x,non,16662
mouchoirs de coton et fil,25,6h,x,non,15105
mouchoirs de coton et fil de coton,16,6g,,non,16886
mouchoirs de coton et soie,16,6f,,non,16662
mouchoirs de coton et soie de France,1,6f,x,non,16662
mouchoirs de coton étrangers,3,6g,,non,16886
mouchoirs de coton fins,5,6g,x,non,16886
mouchoirs de coton gros,1,6g,,non,16886
mouchoirs de coton grossiers,1,6g,x,non,16886
mouchoirs de coton peints,8,6g,x,non,16886
mouchoirs de Craité,0,6i,,non,9168
mouchoirs de demi soie,1,6f,x,non,16662
mouchoirs de différentes qualités en coton,3,6g,x,non,16886
mouchoirs de différentes quantités,6,6i,x,non,9168
mouchoirs de fil,378,6d,x,non,23025
mouchoirs de fil commun,1,6d,x,non,23025
mouchoirs de fil de ??? de Cholet et ???,3,6d,x,non,23025
mouchoirs de fil de Cholet,2,6d,x,non,23025
mouchoirs de fil de France,5,6d,,non,23025
mouchoirs de fil de lin,1,6d,,non,23025
mouchoirs de fil de lin imprimé,1,6d,,non,23025
mouchoirs de fil de Rouen,2,6d,,non,23025
mouchoirs de fil du Béarn,3,6d,x,non,23025
mouchoirs de fil et de batiste,1,6d,x,non,23025
mouchoirs de fil et de coton,89,6h,x,non,15105
mouchoirs de fil et de lin,1,6d,,non,23025
mouchoirs de fil et de pitre,1,6i,x,non,9168
mouchoirs de fil fin,1,6d,,non,23025
mouchoirs de fil organdi,15,6d,x,non,23025
mouchoirs de fil peint,1,6d,,non,23025
mouchoirs de filoselle,1,6f,,non,16662
mouchoirs de fleuret,5,6f,,non,16662
mouchoirs de foulard,3,6h,,non,15105
mouchoirs de France,1,6h,x,non,15105
mouchoirs de gaze,66,6f,,non,16662
mouchoirs de gaze de soie,3,6f,,non,16662
mouchoirs de gaze divers,3,6f,,non,16662
mouchoirs de gaze grands,1,6f,x,non,16662
mouchoirs de Hollande,1,6h,,non,15105
mouchoirs de kinfin,1,6h,x,non,15105
mouchoirs de l'hotes,2,6g,,non,16886
mouchoirs de la Compagnie des Indes,3,6g,x,non,16886
mouchoirs de laine,2,6e,,non,20927
mouchoirs de laiton,1,9c,,non,13242
mouchoirs de Laval,1,6h,,non,15105
mouchoirs de lin,4,6e,,non,20927
mouchoirs de linon,3,6e,,non,20927
mouchoirs de Madras,9,6g,,non,16886
mouchoirs de Masulipatan,17,6g,,non,16886
mouchoirs de mousseline,30,6g,,non,16886
mouchoirs de mousseline brodée,1,6g,,non,16886
mouchoirs de Paliacate,10,6g,,non,16886
mouchoirs de Patras,1,6g,,non,16886
mouchoirs de pitre,1,6h,x,non,15105
mouchoirs de Pondichéry,163,6g,,non,16886
mouchoirs de Rouen,97,6h,,non,15105
mouchoirs de Saumur,1,6h,,non,15105
mouchoirs de siamoise,1,6h,,non,15105
mouchoirs de soie,798,6f,x,non,16662
mouchoirs de soie de la Chine,4,6f,,non,16662
mouchoirs de soie de renvoi,1,6f,,non,16662
mouchoirs de soie de Rouen,1,6f,x,non,16662
mouchoirs de soie des Indes,1,6f,,non,16662
mouchoirs de soie en coton,1,6f,x,non,16662
mouchoirs de soucis,1,6h,,non,15105
mouchoirs de taffetas,1,6f,x,non,16662
mouchoirs de toile,73,6d,x,non,23025
mouchoirs de toile blanche,1,6d,,non,23025
mouchoirs de toile de Bretagne,1,6d,,non,23025
mouchoirs de toile de Cholet,52,6d,x,non,23025
mouchoirs de toile de Hin,1,6d,,non,23025
mouchoirs de toile découpés,95,6d,x,non,23025
mouchoirs de toile fine,1,6d,,non,23025
mouchoirs de toile guingans,5,6d,,non,23025
mouchoirs de toile peinte,11,6d,x,non,23025
mouchoirs de toile rayée,2,6d,,non,23025
mouchoirs de traite,2,6h,,non,15105
mouchoirs de Zurich,1,6h,,non,15105
mouchoirs demi soie,18,6f,,non,16662
mouchoirs des Îles,1,6h,,non,15105
mouchoirs des Indes,215,6g,x,non,16886
mouchoirs des Indes communs,1,6h,,non,15105
mouchoirs des Indes de coton,2,6g,,non,16886
mouchoirs des Indes de soie,3,6f,,non,16662
mouchoirs des Indes dit bandanas,1,6g,,non,16886
mouchoirs du Béarn,17,6h,x,non,15105
mouchoirs du Levant,2,6g,,non,16886
mouchoirs du pays,1,6h,x,non,15105
mouchoirs du Sénégal,3,6h,,non,15105
mouchoirs écorce d'arbre,1,6h,,non,15105
Mouchoirs et ?? en nattes,1,9c,,non,13242
mouchoirs et ???,0,6h,,non,15105
mouchoirs et cravates de mousseline,3,9b,,non,61966
mouchoirs et cravates de soie mêlée,6,9b,,non,61966
mouchoirs et fichus de toile peinte,2,9b,,non,61966
mouchoirs et mouchoirs des Indes,17,6i,x,non,9168
mouchoirs et mousseline,3,6i,,non,9168
mouchoirs et ornements,1,9b,,non,61966
mouchoirs fabriqués en France,2,6h,x,non,15105
mouchoirs fins,2,6i,,non,9168
mouchoirs foulards,3,6h,x,non,15105
mouchoirs gros en fil,1,6d,x,non,23025
mouchoirs imprimés,3,6h,,non,15105
mouchoirs imprimés et teints de chanvre et de lin,2,6h,,non,15105
mouchoirs indienne,5,6g,x,non,16886
mouchoirs Komel et Renis,1,6g,,non,16886
mouchoirs linon,2,6d,x,non,23025
mouchoirs Masulipatan,33,6g,,non,16886
mouchoirs peints,87,6h,,non,15105
mouchoirs peints de France,1,6h,x,non,15105
mouchoirs peints de Hollande,2,6h,,non,15105
mouchoirs rayés,2,6h,x,non,15105
mouchoirs romals,64,6g,x,non,16886
mouchoirs romals et de la Côte,1,6g,,non,16886
mouchoirs saserpatis,1,6g,,non,16886
mouchoirs Tranquebar,2,6g,,non,16886
moufles,1,8,,non,73824
moulage,6,8,,non,73824
moulages de fer de fonte,2,6j,,non,52338
moules,118,9c,x,non,13242
moules (poisson),1,0a,,non,122047
moules à chandelle,1,9c,,non,13242
moules à faire,1,9c,,non,13242
moules de boutons,25,9c,x,non,13242
moules de boutons de bois,2,9c,,non,13242
moules de fer à galette,1,6j,x,non,52338
moules de pierre pour sucre,2,6k,x,non,22524
moules de plâtre,3,6k,x,non,22524
moules de plâtre à faire figures,2,6k,x,non,22524
moules de terre,1,6k,,non,22524
moules pour chandelle,2,9c,,non,13242
moules pour sucre,1,6j,x,non,52338
moulinets à chocolat,1,7,x,non,14031
moulinets à filer,1,7,,non,14031
moulins,2,7,x,non,14031
moulins à beurre,1,7,,non,14031
moulins à blé,2,7,x,non,14031
moulins à blé et à bras,1,7,,non,14031
moulins à bras,12,7,,non,14031
moulins à café,511,7,x,non,14031
moulins à café doux,1,7,x,non,14031
moulins à dessécher,1,7,x,non,14031
moulins à dévider soie,1,7,,non,14031
moulins à filer,5,7,,non,14031
moulins à grain,2,7,x,non,14031
moulins à lapidaire,1,7,x,non,14031
moulins à maïs,12,7,x,non,14031
moulins à moudre grain,5,7,,non,14031
moulins à moutarde,2,7,x,non,14031
moulins à poivre,17,7,x,non,14031
moulins à poivre et à café,1,7,x,non,14031
moulins à retordre,1,7,x,non,14031
moulins à sarrasin,1,7,x,non,14031
moulins à sucre,32,7,x,non,14031
moulins à tabac,5,7,x,non,14031
moulins à tordre fil,3,7,,non,14031
moulins complets à sucre,2,7,x,non,14031
moulins de bois,2,7,x,non,14031
moulins de fer,5,7,x,non,14031
moulins de fer à sucre,13,7,x,non,14031
moulins de maïs,1,7,,non,14031
moulins de poivre,1,7,,oui,14031
moulins de soie,1,7,x,non,14031
moulins et presses à tabac,3,7,x,non,14031
moulons et kibbelinck,48,9c,,non,13242
moulures dorées,1,8,,non,73824
mouquette,10,9c,x,non,13242
moureaux,14,6d,x,non,23025
moureaux de mules,1,7,,non,14031
moureaux de mulets,3,7,,non,14031
mousquetaire,1,9c,,non,13242
mousqueterie,1,8,,non,73824
mousquetons,1,8,,non,73824
mousquets,1,8,x,non,73824
mousse,13,2,x,non,131731
mousse de bois,3,2,x,non,131731
mousse de lin,1,6d,x,non,23025
mousse de mer,8,2,x,non,131731
mousse de mer et herbes à teindre,4,2,,non,131731
mousse de roche,1,2,x,non,131731
mousseline,941,6g,x,non,16886
mousseline blanche,1,6g,,non,16886
mousseline brochée,1,6g,,non,16886
mousseline brochée de coton,1,6g,,non,16886
mousseline brodée,12,6g,x,non,16886
mousseline brodée de coton,1,6g,,non,16886
mousseline brodée en couleur,1,6g,,non,16886
mousseline brodée en soie de couleur,1,6f,,non,16662
mousseline de coton,107,6g,,non,16886
mousseline de coton et des Indes,3,6g,x,non,16886
mousseline de coton et Nankin,11,6g,,non,16886
mousseline de coton et Nankin des Indes,21,6g,,non,16886
mousseline de coton unies et brûlées,14,6g,,non,16886
mousseline de coton unies et peintes,17,6g,x,non,16886
mousseline de France,3,6g,x,non,16886
mousseline de l'étranger,1,6g,x,non,16886
mousseline de l'Inde dite Casses,1,,,non,295
mousseline de la Compagnie,2,6g,,non,16886
mousseline de Suisse et siamoise à ligne de soie,4,6f,x,non,16662
mousseline de Zurich,5,6g,,non,16886
mousseline des Indes,24,6g,x,non,16886
mousseline en nattes,1,6g,,non,16886
mousseline et mouchoirs,1,9b,,non,61966
mousseline et mousselinette de coton,0,6g,x,non,16886
mousseline et toile de coton,1,6g,x,non,16886
mousseline et toile de coton blanc,15,6g,,non,16886
mousseline et toile des Indes,1,6g,x,non,16886
mousseline fines,6,6g,x,non,16886
mousseline grosse,1,,,non,295
mousseline imprimées,1,6g,x,non,16886
mousseline nationale,4,6g,,non,16886
mousseline rayées,2,6g,,non,16886
mousseline rayées à fleurs,1,6g,,non,16886
mousseline siamoise et de Suisse à la ligne de soie,2,6h,,non,15105
mousseline unie,4,6g,,non,16886
mousselinette,1,6g,x,non,16886
mousselinette de coton,1,6g,x,non,16886
mousserons,44,0a,,non,122047
mousserons et morilles,1,0a,,non,122047
mousserons et truffes,3,0a,,non,122047
mousserons secs,3,0a,,non,122047
moussets et mousserons frais,1,0a,,non,122047
moussets et mousserons secs ou marinés,3,0a,,non,122047
moustiquaire de fil,3,8,,non,73824
moutarde,293,0a,x,non,122047
moutardelle,1,0a,,non,122047
moutichoux,2,9c,,non,13242
moutons,413,0a,x,non,122047
moutons communs,1,0a,,non,122047
moutons et brebis,135,0a,x,non,122047
moutons gras,1,0a,x,non,122047
moutons petits,1,0a,,non,122047
moutons vivants,1,0a,,non,122047
mouvements à montre,1,8,,non,73824
mouvements à pendules,2,8,,non,73824
mouvements de montre,11,8,,non,73824
mouvements de pendules,7,8,,non,73824
moyeux,74,7,,non,14031
muce de plomb,1,9c,x,non,13242
mufle à chandelle,0,9c,,non,13242
mules,29,0a,x,non,122047
mules à coutelier,1,9c,,non,13242
mules à moulin,2,0a,,non,122047
mules brodées,3,8,,non,73824
mules brodées et souliers brodées,2,8,x,non,73824
mules brodées pour femme,2,8,x,non,73824
mules de 6 mois,1,0a,,non,122047
mules de femme,1,8,,non,73824
mules de nattes,2,8,x,non,73824
mules et mulets,196,0a,x,non,122047
mules et mulets adultes,5,0a,,non,122047
mules et mulets avec dents de lait,1,0a,,non,122047
mules et mulets d'1 an,2,0a,x,non,122047
mules et mulets et ânes,1,0a,x,non,122047
mules et mulets n'ayant pas encore de dents adultes,1,0a,,non,122047
mules ou mulets,1,0a,x,non,122047
mules pour femmes,1,8,,non,73824
mulets,119,0a,x,non,122047
mulets à moyen prix,1,0a,,non,122047
mulets de moyenne taille,1,0a,,non,122047
mulets jeunes,2,0a,,non,122047
mulets mulets,3,0a,,non,122047
mulets petits,1,0a,,non,122047
mulets poulains,2,0a,,non,122047
mulets vieux,2,0a,,non,122047
mungistere,1,9c,,non,13242
munitions de guerre,2,8,x,non,73824
munitions de guerre et projectiles,2,8,,non,73824
muriate d'étain et de potasse,1,2,,non,131731
mûriers,1,2,,non,131731
musc,29,2,x,non,131731
musc castoreum et civette,2,2,,non,131731
musc civette castoreum et ambre gris,2,2,,non,131731
muscades,592,0b,x,non,34395
muscades confites,3,0b,x,non,34395
muscades d'Inde,2,0a,,non,122047
muscades de perles,3,9c,,non,13242
muscades des entrepôts,0,0b,,non,34395
muscades en noix,1,0b,x,non,34395
muscades et macis,18,0b,x,non,34395
muscades et poivre,8,0b,x,non,34395
muscades feuilles et noix,112,0b,,non,34395
muscades longues,1,0b,,non,34395
muscades rondes,4,0b,,non,34395
muse,3,9c,,non,13242
muse en grain ?,1,9c,,non,13242
musettes organisées,1,8,,non,73824
musique,19,8,x,non,73824
musique gravée,8,8,,non,73824
myrobolan,47,2,,non,131731
myrrhe,117,2,x,non,131731
myrrhe en grabeau,1,2,,non,131731
myrrhe en larmes,1,2,,non,131731
myrthe en grabeau,24,2,,non,131731
nacelles,8,7,x,non,14031
nacre,14,2,x,non,131731
nacre de perles,140,2,x,non,131731
nacre de perles argentée brute,1,2,,non,131731
nacre de perles argentée sciée,1,8,,non,73824
nacre de perles dépouillée de sa croûte et sciée,4,2,,non,131731
nacre de perles en coquille brute,3,2,,non,131731
nacre de perles en coquille brute et en sa coquille bâtarde,2,2,,non,131731
nacre de perles noire,1,2,,non,131731
nacre de perles ouvrée,1,8,x,non,73824
nacre de Perse,1,2,,non,131731
nacre en coquille,12,2,,non,131731
nacre et perles,1,2,x,non,131731
namouques,2,9c,,non,13242
Nankin,407,6g,x,non,16886
Nankin blanche,1,6g,,non,16886
Nankin des Indes,10,6g,,non,16886
naphte,3,2,,non,131731
nappes,44,8,x,non,73824
nappes damassées,1,8,,non,73824
nappes de tables,3,8,x,non,73824
nappes de toile,2,8,,non,73824
nappes de toile ouvrées,2,8,,non,73824
nappes en toile,1,8,,non,73824
nappes et serviettes,3,8,x,non,73824
nappes et serviettes de lin,1,8,x,non,73824
nappes et serviettes de toile,1,8,,non,73824
nappes et serviettes ouvrées,1,8,x,non,73824
nappes faites,14,8,,non,73824
nappes fines et ouvrées,1,8,x,non,73824
nappes ouvrées,8,8,x,non,73824
