simplification,nbr_occurences_simpl,grouping,note,nbr_occurences_grouping
Colonies des États-Unis d'Amérique,143,Outre-mers,,83748
Colonies espagnoles,153,Outre-mers,,83748
Colonies françaises,2198,Outre-mers,,83748
Colonies françaises au-delà du Cap,4,Outre-mers,,83748
Colonies françaises d'Amérique,358,Outre-mers,,83748
Colonies françaises en-deça du Cap,4,Outre-mers,,83748
Colonies françaises et colonies hollandaises,20,Outre-mers,,83748
Colonies françaises et Inde,1,Outre-mers,,83748
Colonies françaises et Saint-Domingue,1,Outre-mers,,83748
Colonies françaises hors Guyane et Sénégal,3,Outre-mers,,83748
Colonies hollandaises,142,Outre-mers,,83748
Colonies portugaises,27,Outre-mers,,83748
Colonies suédoises,57,Outre-mers,,83748
Commerce de la Compagnie des Indes,133,Outre-mers,,83748
Constantinople,17,Levant et Barbarie,,25274
Corse,123,France,,5684
Courlande et Russie,143,Nord,,65513
Cuba et Porto Rico,20,Outre-mers,,83748
Danemark,12166,Nord,,65513
Danemark et Norvège,392,Nord,,65513
Duché de Bouillon,108,Divers,,2350
Dunkerque,722,France,,5684
Dunkerque et Lorient,2,France,,5684
Dunkerque et Marseille,2,France,,5684
Dunkerque et Petites Îles,4,France,,5684
"Dunkerque, Lorient et Petites Îles",3,France,,5684
Égypte,48,Levant et Barbarie,,25274
Empire Ottoman,1480,Levant et Barbarie,,25274
Empire Ottoman et Barbarie,2217,Levant et Barbarie,,25274
Empire Ottoman et Levant,98,Levant et Barbarie,,25274
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,France,,5684
Entrepôt,87,Divers,,2350
Épaves et échouements,56,Divers,,2350
Espagne,59392,Espagne,,62794
Espagne et Portugal,1,Divers,,2350
Espagne et ses colonies,3395,Espagne,,62794
Espagne par mer,2,Espagne,,62794
Espagne par terre,2,Espagne,,62794
États ?,17,????,,226
États de l'Empereur,4462,Flandre et autres états de l'Empereur,,25234
États de l'Empereur par mer,2,Flandre et autres états de l'Empereur,,25234
États de l'Empereur par terre,2,Flandre et autres états de l'Empereur,,25234
États du roi,1,????,,226
États ecclésiastiques,1620,Italie,,105243
États ecclésiastiques et Venise,52,Italie,,105243
États romains,64,Italie,,105243
États-Unis d'Amérique,6271,États-Unis d'Amérique,,6271
Europe,16,Divers,,2350
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,Divers,,2350
Flandre,18664,Flandre et autres états de l'Empereur,,25234
France,16,France,,5684
Franche Comté,8,France,,5684
Gênes,15324,Italie,,105243
"Gênes, Milan, Toscane et Lucques",4,Italie,,105243
Genève,3101,Suisse,,20361
Genève et Piémont,604,Italie,,105243
Genève et Suisse,2510,Suisse,,20361
"Genève, Suisse et ses alliés",949,Suisse,,20361
Gibraltar,1,Angleterre,,25399
Gothembourg,1,Nord,,65513
Guadeloupe,2190,Outre-mers,,83748
Guatemala,2,Outre-mers,,83748
Guernesey,2,Angleterre,,25399
Guernesey et Dumbarton,1,Angleterre,,25399
Guinée,10256,Outre-mers,,83748
Guinée et Sénégal,2992,Outre-mers,,83748
Guyane,11,Outre-mers,,83748
Guyane anglaise,4,Outre-mers,,83748
Guyane et Sénégal,2,Outre-mers,,83748
Guyane française,2,Outre-mers,,83748
Haïti,10,Outre-mers,,83748
Hambourg,1,Nord,,65513
"Hambourg, Hollande et Livourne",1,Divers,,2350
Hollande,73404,Hollande,,75844
Hollande et Villes hanséatiques,223,Divers,,2350
Île Bourbon,53,Outre-mers,,83748
Île Bourbon et Inde,3,Outre-mers,,83748
Île de Ré,1,France,,5684
Île Maurice,22,Outre-mers,,83748
Îles,7104,Outre-mers,,83748
Îles de France et de Bourbon,163,Outre-mers,,83748
Îles de l'Amérique,134,Outre-mers,,83748
Îles et Guinée,2,Outre-mers,,83748
Îles françaises,1967,Outre-mers,,83748
Îles françaises de l'Amérique,41047,Outre-mers,,83748
Inconnu,209,Inconnu,,209
Inde étrangère,18,Outre-mers,,83748
Indes,3429,Outre-mers,,83748
Indes anglaises,16,Outre-mers,,83748
Indes françaises,22,Outre-mers,,83748
Indes hollandaises,6,Outre-mers,,83748
Irlande,1,Angleterre,,25399
Italie,38456,Italie,,105243
Levant,20585,Levant et Barbarie,,25274
Levant et Toscane,1,Divers,,2350
Lisbonne,1,Portugal,,14850
Livourne,236,Italie,,105243
Lorient,227,France,,5684
Lorient et Marseille,1,France,,5684
Lorient et Petites Îles,2,France,,5684
Lorraine,555,Allemagne,,23818
Lorraine et Trois Évêchés,1,France,,5684
Louisiane,7,Outre-mers,,83748
Lübeck en Norvège,1,Nord,,65513
Marseille,2576,France,,5684
Marseille et Petites Îles,1,France,,5684
Martinique,2777,Outre-mers,,83748
Mecklembourg-Schwerin,4,Nord,,65513
Mexique,9,Outre-mers,,83748
Milanais,4,Italie,,105243
Milanais et Toscane,602,Italie,,105243
"Milanais, Toscane et Lucques",1108,Italie,,105243
Milddelbourg,1,Nord,,65513
Monde,4400,Monde,,4853
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Monde,,4853
Monde hors Amérique,1,Monde,,4853
Monde hors Amérique et hors Inde,5,Monde,,4853
Monde hors Amérique et hors Inde et hors Piémont,1,Monde,,4853
Monde hors colonies,385,Monde,,4853
Monde hors Europe,52,Monde,,4853
Monde hors Europe et hors colonies,1,Monde,,4853
Monde hors Europe et hors colonies françaises et hors Inde,1,Monde,,4853
Monde hors Europe et hors Sénégal français,2,Monde,,4853
Monde hors Guyanne française,2,Monde,,4853
Monde hors Pays de Gex,1,Monde,,4853
Monds hors Ports de la Baltique,1,Monde,,4853
Morée,7,Levant et Barbarie,,25274
Nancy,1,France,,5684
Nantes,1,France,,5684
Naples,5517,Italie,,105243
Naples et Sicile,5018,Italie,,105243
"Naples, Sicile et Palerme",52,Italie,,105243
"Naples, Sicile et Parme",394,Italie,,105243
Nord,21856,Nord,,65513
Nord (Hanse et Russie),3881,Nord,,65513
Norvège,15,Nord,,65513
Nouvelle-Grenade,3,Outre-mers,,83748
Pays d'Aunis,1,France,,5684
Pays de Gex,20,France,,5684
Pays de Labour,31,France,,5684
Pays-Bas,1031,Hollande,,75844
Pays-Bas et ses colonies,1408,Hollande,,75844
Pêches à la Baleine,2,Divers,,2350
Pêches à la Morue à Terre-Neuve,2,Divers,,2350
Pêches à la Morue en Islande,1,Divers,,2350
Pêches côtières (Hareng),2,Divers,,2350
Pêches côtières (Maquereaux),2,Divers,,2350
Pêches côtières (Sardines),1,Divers,,2350
Pêches étrangères,17,Divers,,2350
Pêches françaises,42,Divers,,2350
Pérou,6,Outre-mers,,83748
Petites Îles,464,France,,5684
Philippines,1,Outre-mers,,83748
Piémont,1590,Italie,,105243
Piémont et Savoie,340,Italie,,105243
Piémont par mer,1,Italie,,105243
Piémont par terre,1,Italie,,105243
Poitou,1,France,,5684
Pologne,305,Allemagne,,23818
Pologne-Genève,1,Allemagne,,23818
Ports de la Baltique,1,Nord,,65513
Portugal,14849,Portugal,,14850
Prises et saisies,1305,Divers,,2350
Prusse,4643,Nord,,65513
Prusse – par mer,2,Nord,,65513
Riga,1,Nord,,65513
Rio de la Plata,14,Outre-mers,,83748
Rome et Venise,2,Italie,,105243
Rotterdam,1,Hollande,,75844
Rouen,1,France,,5684
Royaume d'Étrurie,1153,Italie,,105243
Royaume de Sardaigne,5163,Italie,,105243
Royaume de Sardaigne – par mer,2,Italie,,105243
Royaume de Sardaigne – par terre,2,Italie,,105243
Russie,6533,Nord,,65513
Saint-Domingue,5564,Outre-mers,,83748
Saint-Jean de Luz,9,France,,5684
Saint-Thomas,11,Outre-mers,,83748
Salonique,1,Levant et Barbarie,,25274
Sardaigne,2040,Italie,,105243
Savoie,12043,Italie,,105243
Savoie et Piémont,11303,Italie,,105243
Sénégal,229,Outre-mers,,83748
Sénégal français,9,Outre-mers,,83748
Sidon,1,Levant et Barbarie,,25274
Smyrne,30,Levant et Barbarie,,25274
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,Nord,,65513
Strasbourg,1,France,,5684
Suède,10944,Nord,,65513
Suède et ses colonies,173,Nord,,65513
Suisse,13801,Suisse,,20361
Tobago,740,Outre-mers,,83748
Tobago et Sainte-Lucie,2,Outre-mers,,83748
Toscane,636,Italie,,105243
Tripoli de Syrie,10,Levant et Barbarie,,25274
Trois Évêchés,614,France,,5684
Turquie,34,Levant et Barbarie,,25274
Vénézuela,14,Outre-mers,,83748
Venise,1912,Italie,,105243
Villes hanséatiques,4750,Nord,,65513
Voitures diverses,2,Divers,,2350
Ypres,1,Flandre et autres états de l'Empereur,,25234
