marchandises_norm_ortho,marchandises_simplification
fil en dorure d'argent,fil dorure d'argent
fil en dorure d'or,fil dorure d'or
fil en dorure or et argent,fil dorure d'argent et d'or
fil en fer,quincaillerie de fil de fer
fil en gros,fil gros
fil en gueule,fil en gueule
fil en laiton,fil en laiton
fil en lin,fil en lin
fil en masses,fil en masse
fil en peignée,fil en peignée
fil en poignée,fil en poignée
fil en poignées,fil en poignée
fil Épinal,fil d'Épinal
fil Épinal blanc,fil blanc d'Épinal
fil Épinal simple,fil d'Épinal simple
fil Epinay,fil d'Epinay
fil et laiton,fil et laiton
fil everda,fil everda
fil fin,fil fin
fil gris,fil gris
fil gris simple,fil gris simple
fil gris simple de lin,fil de lin gris simple
fil gros,fil gros
fil grossier,fil grossier
fil laiton,fil de laiton
fil lessivé,fil lessivé
fil my,fil
fil noir,fil noir
fil non retors,fil non retors
fil or et argent,fil d'argent et d'or
fil or et argent fin,fil d'argent et d'or fin
fil or et rang fin,fil or et rang fin
fil ordinaire,fil ordinaire
fil ouvrages en cheveux,ouvrages en cheveux
fil ouvré,fil ouvré
fil passe perle,fil passe perle
fil plat,fil plat
fil retors,fil retors
fil retors à coudre,fil retors à coudre
fil retors blanc,fil blanc retors
fil rets,fil à rets
fil roux,fil roux
fil simple,fil simple
fil superfin,fil superfin
fil teint,fil teint
fil teuil,fil teuil
fil tors,fil tors
filasse,filasse
filasse aprêtée,filasse apprêtée
filasse d'aloès,filasse d'aloès
filé blanc bas prix,fil blanc bas prix
filé blanc haut prix,fil blanc haut prix
filé cru pour toiles,fil cru à toile
filé de filoselle,fil de filoselle
filé de laine ou sayette blanche,fil de laine ou sayette blanche
filé de laine ou sayette teinte,fil de laine ou sayette teinte
filé de laine pour tenture,fil de laine pour tenture
filé de lin blanc de 10 à 12 florins la livre,fil de lin blanc de 10 à 12 florins la livre
filé de lin blanc de 5 à 8 florins la livre,fil de lin blanc de 5 à 8 florins la livre
filé de lin blanc et cru pour dentelle,fil de lin blanc et cru pour dentelle
filé de lin blanc non tordu,fil de lin blanc non tordu
filé de lin blanc pour dentelle,fil de lin blanc pour dentelle
filé de lin cru de 10 à 12 florins la livre,fil de lin cru de 10 à 12 florins la livre
filé de lin cru de bas prix,fil de lin cru de bas prix
filé de lin cru haut prix,fil de lin cru haut prix
filé de lin cru pour dentelle,fil de lin cru pour dentelle
filé de lin cru pour toile,fil de lin cru à toile
filé de lin écru,fil de lin écru
filé de lin tors cru et simple cru,fil de lin tors cru et simple cru
filé de Turquie blanc,fil de Turquie blanc
filé de Turquie cru,fil de Turquie cru
filé de Turquie teint,fil de Turquie teint
filé de verre,fil de verre
filets,filets
filets à pêcher,filets à pêcher
filets à pêcher d'espars,filets d'espars à pêcher
filets à pêcher éperviers,filets à pêcher éperviers
filets à pêcher par Marseille,filets à pêcher par Marseille
filets à pêcher petit poisson,filets à pêcher petit poisson
filets à pêcher sennes,sennes
filets à petit poisson,filets à petit poisson
filets à sardineaux,filets à sardineaux
filets à sardines,filets à sardines
filets à sennes,sennes
filets d'auf,filets d'auf
filets d'espars,filets d'espars
filets de chanvre,filets de chanvre
filets de la pêche,filets à pêcher
filets de palmes,filets de palmes
filets de patines,filets de patines
filets de sardineaux,filets de sardineaux
filets pour la pêche,filets à pêcher
filets pour la pêche sadineaux,filets à pêcher sardineaux
filets pour la pêche vieux,filets à pêcher vieux
filets sennes,filets à sennes
filets vieux,filets vieux
filets vieux pour la pêche,filet à pêcher vieux
filières,filières
filières d'agate,filières d'agate
filières de corail,filières de corail
filin,filin
filin à cordage,filin à cordage
filoers ou safran sauvage,filoers ou safran sauvage
filoselle,filoselle
filoselle et bourre de soie,filoselle et bourre de soie
filoselle et fleuret,filoselle et fleuret
filoselle fleuret et bourre,filoselle et fleuret et bourre de soie
filoselle fleuret et bourre de soie,filoselle et fleuret et bourre de soie
finette,finette
finette des prises,finette des prises
finette étoffe,finette étoffe
fioles,fioles
fioles de verre,fioles de verre
fioles de verre blanc,fioles de verre blanc
fioles pour apothicaires,fioles pour apothicaire
fioles vides,fioles vides
flacon de crème,flacons de crème
flacons,flacons
flacons à virole d'étain,flacons à virole d'étain
flacons canettes,flacons canettes
flacons d'osier,flacons d'osier
flacons de cristal,flacons de cristal
flacons de rechange,flacons de rechange
flacons de terre,flacons de terre
flacons de verre,flacons de verre
flacons de verre à virole,flacons de verre à virole
flacons de verre sans virole,flacons de verre sans virole
flacons divers,flacons
flacons florentins,flacons florentins
flacons pour caves garnies (?),flacons pour caves garnies
flacons vides,flacons vides
flambeaux,flambeaux
flambeaux argentés,flambeaux argentés
flambeaux d'harpoise,flambeaux d'harpoise
flambeaux de cire,flambeaux de cire
flambeaux de cuivre argentés,flambeaux argentés de cuivre
flambeaux de mer,flambeaux de mer
flanelle,flanelle
flanelle à fleurs,flanelle à fleurs
flanelle aune,flanelle aune
flanelle blanche,flanelle blanche
flanelle blanche aune,flanelle blanche
flanelle de coton,flanelle de coton
flanelle de laine,flanelle de laine
flanelle de santé autorisations spéciales,flanelle de santé autorisation spéciales
flanelle des prises,flanelle des prises
flanelle du Béarn,flanelle du Béarn
flanelle et Bergopzoom,flanelle et Bergopzoom
flanelle imprimée,flanelle imprimée
flanelle peinte,flanelle peinte
flanelle peinte aune,flanelle peinte
flanelle rayée,flanelle rayée
flanelle simple,flanelle simple
fléaux à faucher,fléaux pour faucher
fléaux à poids de fer,fléaux à poids de fer
fléaux de balance,fléaux de balance
fléaux de fer,fléaux de fer
fléaux de fer de balance,fléaux de balance de fer
fléaux de fer et leurs bassins,fléaux de fer et leurs bassins
fléaux de souffre,fléaux de souffre
fléaux et balance,fléaux et balance
fléaux fer,fléaux de fer
flèches,flèches
flèches à prendre des huîtres,flèches à prendre des huîtres
flèches de marine,flèches de marine
flèches en quart de nonante,flèches en quart de nonante
flèches marines,flèches marines
fleur de balauste,fleur de balauste
fleur de souffle,fleur de souffle
fleur de verre,fleur de verre
fleures,fleures
fleuret,fleuret
fleuret à faire des armes,fleuret à faire des armes
fleuret et filoselle,fleuret et filoselle
fleuret et lames de fleuret,fleuret et lames de fleuret
fleurs aromatiques,fleurs aromatiques
fleurs artificielles,fleurs artificielles
fleurs artificielles des Indes,fleurs artificielles des Indes
fleurs artificielles en jasmin,fleurs artificielles de jasmin
fleurs artificielles et aigrettes,fleurs artificielles et aigrettes
fleurs autres,fleurs
fleurs autres médicinales,fleurs autres que médicinales
fleurs autres que de lavande et d'oranger,fleurs autres que de lavande et d'oranger
fleurs cannelle,fleurs cannelle
fleurs d'aspic,fleurs d'aspic
fleurs d'avoine,fleurs d'avoine
fleurs d'esquimante,fleurs d'esquinante
fleurs d'esquinante,fleurs d'esquinante
fleurs d'estima,fleurs d'estima
fleurs d'orange,fleurs d'oranger
fleurs d'oranger,fleurs d'oranger
fleurs d'oranger de rose,fleurs d'oranger et de rose
fleurs d'oranger et de lavande,fleurs d'oranger et de lavande
fleurs de ???,fleurs de ???
fleurs de benjoin,fleurs de benjoin
fleurs de bouquets,fleurs de bouquets
fleurs de busam,fleurs de busam
fleurs de cannelle,fleurs de cannelle
fleurs de chardon,fleurs de chardon
fleurs de Chine,fleurs de Chine
fleurs de dictame,fleurs de dictame
fleurs de grenade,fleurs de grenade
fleurs de houblon,fleurs de houblon
fleurs de jardin,fleurs de jardin
fleurs de jasmin,fleurs de jasmin
fleurs de lavande,fleurs de lavande
fleurs de lavande et d'oranger,fleurs de lavande et d'oranger
fleurs de moutarde,fleurs de moutarde
fleurs de mouton,fleurs de mouton
fleurs de muscade,fleurs de muscade
fleurs de pin,fleurs de pin
fleurs de poix,fleurs de poix
fleurs de romarin,fleurs de romarin
fleurs de rose,fleurs de rose
fleurs de siascade,fleurs de siascade
fleurs de soufre,fleurs de souffre
fleurs de violette,fleurs de violette
fleurs et feuilles d'oranger,feuilles d'oranger et fleurs d'oranger
fleurs non dénommées,fleurs
fleurs sans désignation,fleurs
fleurs sèches,fleurs sèches
fleurs violettes,fleurs violettes
florentine,florentine
flotte étoffe,étoffe flotte
flotte étoffe des Indes,étoffe flotte des Indes
flûtes,flûtes
flûtes de bois de buis,flûtes de bois de buis
flûtes douces,flûtes douces
flûtes douces traversières et haubois,flûtes douces et hautbois et traversières
flûtes traversières,flûtes traversières
flûtes traversières et haubois,flûtes hautbois et traversières
foie,foie
foin,foin
folas,folas
folium,folium
folium geriofilalum,folium geriofilalum
folium indi,folium indi
folium indi ???,folium
folium indicum,folium indicum
folle,folle
follicule,follicule
follicule de séné,follicule de séné
fondette de corail,fondette de corail
fonds ???,fonds ?
fonds à meules blanc,fonds à meule blancs
fonds de bassin,fonds de bassin
fonds de bateaux ???,fonds de bateau ?
fonds de cuve,fonds de cuve
fontaine de cuivre,fontaine de cuivre
fontaine de faïence,fontaine de faïence
fontaine de fer-blanc,fontaine de fer-blanc
fontaine de fer-blanc avec sa cuvette,fontaine de fer-blanc et sa cuvette
fontaine de fer-blanc de peinte,fontaine de fer-blanc de peint
fontaine de fer-blanc peinte avec son bassin,fontaine de fer-blanc peinte et son bassin
fontaine de marbre,fontaine de marbre
fonte,fonte
fonte de cuivre,cuivre en fonte
fonte de fer,fer en fonte
fonte de pistoles,fonte de pistolet
fonte de pistolets,fonte de pistolet
fonte de pistolets de cuir de Russie,fonte de pistolets de cuir de Russie
fonte en gueuses,fonte en gueuses
fonte en gueuses et blocaille,fonte en gueuses et blocaille
fonte en marmites,marmites de fonte
fonte moulée,fonte moulée
fonte moulée à la vapeur estagnons,fonte moulée à la vapeur et estagnons
fonte moulée en quelque forme que ce soit,fonte moulée
fonte pour cloches,fonte pour cloches
fonte vieille,fonte vieille
forces à drapier,forces à drapier
forces à tondre,forces à tondre
forme,forme
forme à cendre,forme à cendre
forme à cordonnier,forme à cordonnier
forme à faire sucre,forme à sucre
forme à souliers,forme à soulier
forme à sucre,forme à sucre
forme à sucre de terre,forme à sucre de terre
forme de bois,forme de bois
forme de chapeaux,forme à chapeaux
forme de cordonnier,forme à cordonnier
forme de souliers,forme à soulier
forme de terre,forme de terre
forme de terre à sucre,forme à sucre de terre
forme de terre de sucre,forme à sucre de terre
forme de terre en sucre,forme à sucre de terre
forme de terre et fabrique de fer,forme de terre et fabrique de fer
forme en pots de terre à sucre,forme à sucre de terre
forme et pots à fèves,forme et pots à fèves
forme et pots à sucre,forme à sucre et pots
forme ou pot de terre pour sucre,forme ou pot de terre pour sucre
fort en diable,fort en diable
forte-piano à queue,forte-piano à queue
forte-piano carrés,forte-piano carré
fotail,fotail
fotalis,fotalis
fotamora,fotamora
fotas,fotas
fottes,fottes
foudarg,foudarg
foudre à vin,foudre à vin
fouets,fouets
fouets et guêtres,fouets et guêtres
fouets et manches de fouets,fouets et manches de fouets
fougons,fougons
foulard,foulard
foulard des prises,foulard des prises
foulas,foulas
fouleries,fouleries
four,four
fourches de fer,fourches de fer
fourchettes d'acier,fourchettes d'acier
fourneaux,fourneaux
fourneaux de brique,fourneaux de brique
fourneaux de fer,fourneaux de fer
fourneaux de fer pesant 60 livres,fourneaux de fer de 60 livres
fourneaux de mane,fourneaux de mane
fourneaux de pierre,fourneaux de pierre
fourneaux de plâtre,fourneaux de plâtre
fourneaux de terre,fourneaux de terre
fourneaux de tuffau,fourneaux de tuffau
fourniments,fourniments
fourrages,fourrages
fourrages d'horlogerie,fourrages d'horlogerie
fourrages divers,fourrages
fourrages drèche,drêche
fourrages en foin,foin
fourrages en foin à bestiaux,foin
fourrages en foin paille son etc.,fourrages
fourrages en glands de chêne,glands de chêne
fourrages en paille,paille
fourrages en paille de foin,paille de foin
fourrages en son,fourrages de son
fourrages et pâturage,fourrages et pâturage
fourrages foin,foin
fourrages foin et paille,foin et paille
fourrages foin paille herbes de pâturage,foin paille et herbes de pâturage
fourrages foin paille herbes et pâturage,foin paille herbes et pâturage
fourrages glands de chêne,glands de chêne
fourrages herbes et trèfle,herbes et trèfle
fourrages paille,paille
fourrages paille herbes de pâturage,paille et herbes de pâturage
fourrages son,fourrages de son
fourrages son de toute sorte de grains,fourrages de son
fourrages vesse,vesces
fourré,fourré
fourreaux d'épée,fourreaux d'épée
fourreaux d'épée de toute espèce,fourreaux d'épée
fourreaux d'épée et de sabres,fourreaux d'épée et de sabre
fourreaux de bayonette,fourreaux de baïonnette
fourrure,fourrure
fourrure de martre,fourrure de martre
fourrure de panthère,fourrure de panthère
fourrure de petit gris,fourrure de petit gris
fourrure de soie,fourrure de soie
fourrure en soie,fourrure de soie
fraises de Chypre,fraises de Chypre
fraisset de vermillon,fraisset de vermillon
fraisset en vermillon,fraisset de vermillon
frange d'argent,frange d'argent
frange d'argent faux,frange d'argent faux
frange d'argent fin,frange d'argent fin
frange d'or,frange d'or
frange d'or et d'argent,frange d'or et d'argent
frange d'or et d'argent faux,frange d'or et d'argent faux
frange d'or faux,frange d'or faux
frange d'or vieille,frange d'or vieille
frange de fil pour vestes par garniture,frange de fil pour vestes par garniture
frange de raiseau or et argent,frange de raiseau d'argent et d'or
frange de soie,frange de soie
frange or et argent,frange d'or et d'argent
frange or et argent faux,frange d'or et d'argent faux
freisset de vermillon,freisseit de vermillon
frequins,frequins
fressel de vermichel,fressel de vermichel
fretilles,fretilles
freze,freze
frions,frions
friperie,friperie
friperie vieille,friperie vieille
frisade,frisade
frisade aune,frisade aune
frisade blanche,frisade blanche
frisade blanche aune,frisade blanche aune
frisade et Bergopzoom,frisade et Bergopzoom
frisade teinte,frisade teinte
frisade teinte aune,frisade teinte aune
frise,frise
frise à la gode,frise à la gode
frise des prises,frise des prises
frise étoffe,frise
frise sèche,frise sèche
frisons d'Angleterre,frisons d'Angleterre
frisons de laine,frisons de laine
froc,froc
froc de Bolbec,froc de Bolbec
froc de laine,froc de laine
froc de Lisieux,froc de Lisieux
fromage,fromage
fromage à moitié avarié,fromage à moitié avarié
fromage au quart avarié,fromage au quart avarié
fromage chester,fromage de Chester
fromage commun,fromage commun
fromage cru,fromage cru
fromage d'Angleterre,fromage d'Angleterre
fromage d'Auvergne,fromage d'Auvergne
fromage d'herbes,fromage d'herbes
fromage d'Irlande,fromage d'Irlande
fromage de Brie,fromage de Brie
fromage de Chester,fromage de Chester
fromage de chèvre,fromage de chèvre
fromage de Comté,fromage de Comté
fromage de Gruyère,fromage de Gruyère
fromage de Hollande,fromage de Hollande
fromage de Hollande et doux,fromage de Hollande et doux
fromage de lait doux,fromage de lait doux
fromage de Livarot,fromage de Livarot
fromage de Majorque,fromage de Majorque
fromage de Maroilles,fromage de Maroilles
fromage de Milan,fromage de Milan
fromage de Normandie,fromage de Normandie
fromage de Parme,fromage de Parme
fromage de parmesan,fromage de parmesan
fromage de Roquefort,fromage de Roquefort
fromage de Sardaigne,fromage de Sardaigne
fromage de Sassenage,fromage de Sassenage
fromage de Suisse,fromage de Suisse
fromage divers,fromage
fromage du pays,fromage du pays
fromage en boite,fromage en boite
fromage en jambon,fromage en jambon
fromage et beurre,beurre et fromage
fromage fin,fromage fin
fromage gruyère,gruyère
fromage Hollande,fromage Hollande
fromage moutarde etc,fromage moutarde etc.
fromage parmesan,fromage de parmesan
fromage pour l'entrepôt de la Compagnie des Indes,fromage pour l'entrepôt de la Compagnie des Indes
froment,grains froment
froment en gerbes,grains froment en gerbe
froment farine,farine de froment
froment grains,grains froment
froment grains de la Corse,grains froment de la Corse
frottoir,frottoir
fruits,fruits
fruits à distiller,fruits à distiller
fruits à distiller anis vert,anis vert à distiller
fruits à distiller baies de genèvrier,baies de genévrier à distiller
fruits à l'eau-de-vie,fruits confits à l'eau-de-vie
fruits à l'eau-de-vie frais à l'eau-de-vie,fruits et frais à l'eau-de-vie
fruits amandes,amandes
fruits amandes cassées,amandes cassée
fruits amandes en coques,amandes en coque
fruits apprêtés,fruits apprêtés
fruits au vinaigre,fruits au vinaigre
fruits au vinaigre câpres,câpres
fruits au vinaigre câpres et cornichons,câpres et cornichons au vinaigre
fruits au vinaigre cornichons,fruits au vinaigre et cornichons
fruits au vinaigre divers,fruits au vinaigre
fruits au vinaigre en câpres,câpres au vinaigre
fruits au vinaigre olive,olives au vinaigre
fruits au vinaigre salés en olive,olives salées au vinaigre
fruits autres,fruits
fruits autres fruits médicinaux,fruits médicinaux
fruits badiane,badiane
fruits badiane ou anis étoilé de la Chine,badiane
fruits barbotine,barbotine
fruits casse sans apprêts,fruits casse sans apprêts
fruits châtaignes,châtaignes
fruits châtaignes marrons noix,châtaignes et marrons et noix
fruits citrons,citrons
fruits communs,fruits
fruits confits,fruits confits
fruits confits à l'eau de vie,fruits confits à l'eau de vie
fruits confits à l'eau-de-vie,fruits confits à l'eau-de-vie
fruits confits à l'eau-de-vie et au sucre,fruits confits à l'eau-de-vie et au sucre
fruits confits au sucre,fruits confits au sucre
fruits confits au sucre et confitures,confitures et fruit confit au sucre
fruits confits au vinaigre,fruits confits en vinaigre
fruits confits au vinaigre en câpres,câpres confits au vinaigre
fruits confits câpres,câpres confits
fruits confits câpres communes,câpres communes confits
fruits confits châtaignes,châtaignes confites
fruits confits confitures,confitures
fruits confits divers,fruits confits divers
fruits confits en câpres,câpres confits
fruits confits en confitures,confitures
fruits confits en confitures des Îles,fruits confits en confitures des Îles
fruits confits en olives,olives confites
fruits confits en vinaigre,fruits confits en vinaigre
fruits confits fins,fruits confits fins
fruits confits olive,olives confites
fruits confitures,confitures
fruits cornichons,cornichons
fruits cruets bergamotes,bergamotes fraîches
fruits cruets châtaignes et marrons,châtaignes et marrons frais
fruits cruets citrons et orange,citrons et orange frais
fruits cruets divers,fruits frais
fruits cruets pommes et poires,poires et pommes fraîches
fruits cruets prunes de ???,prunes fraîches de ???
fruits cruets vendangés,fruits frais vendangés
fruits crus,fruits frais
fruits crus bigarade,bigarade fraîche
fruits crus cédrat,cédrat frais
fruits crus châtaignes,châtaignes fraîches
fruits crus châtaignes et marrons,châtaignes fraîches et marrons frais
fruits crus citrons,citrons frais
fruits crus des Indes dattes,dattes
fruits crus divers,fruits frais
fruits crus en citrons,citrons frais
fruits crus en marrons,marrons crus
fruits crus en orange,orange
fruits crus en oranges,orange
fruits crus en pommes,pommes
fruits crus en pommes et poires,pommes et poires
fruits crus melon,melon
fruits crus nèfles,nèfles
fruits crus orange,orange
fruits crus orange aigre,orange aigre
fruits crus orange douce,orange douce
fruits crus oranges,orange
fruits crus poires,poires
fruits crus poires et pommes,poires et pommes fraîches
fruits crus pommes,pommes fraîches
fruits crus pommes à poires,poires et pommes fraîches
fruits crus pommes et poires,poires et pommes fraîches
fruits crus raisin,raisin
fruits crus secs et à l'eau-de-vie amandes cassées,amandes cassée
fruits crus secs et à l'eau-de-vie amandes en coques,amandes en coque
fruits crus secs et à l'eau-de-vie divers,fruits crus secs et à l'eau-de-vie
fruits crus secs et à l'eau-de-vie fruits à l'eau-de-vie,fruits confits à l'eau-de-vie
fruits crus secs et à l'eau-de-vie prunes sèches,prunes sèches
fruits crus secs et à l'eau-de-vie raisin sec,raisin sec
fruits cuits,fruits cuits
fruits cuits secs,fruits cuits secs
fruits de Corinthe,fruits de Corinthe
fruits de table confit mirobolant,fruits mirobolant confit
fruits de table confits,fruits de table confits
fruits de table confits à l'eau-de-vie,fruits de table conflits à l'eau-de-vie
fruits de table confits cornichons câpres etc,fruits de table confits
fruits de table confits olives et picholines,olives et picholines confites
fruits de table frais autres exotiques,fruits de table exotiques frais
fruits de table frais autres indigènes,fruits de table frais indigènes
fruits de table frais autres que citrons oranges et leurs variétés,fruits de table frais autres que citrons oranges et leurs variétés
fruits de table frais citrons oranges et leurs variétés,citrons orange et leurs variétés
fruits de table frais cocos caroubes,cocos caroubes frais
fruits de table frais sans distinction,fruits frais de table
fruits de table secs et tapés,fruits de table secs et tapés
fruits de table secs et tapés sans distinction,fruits de table secs et tapés
fruits de table secs ou tapés autres que pistache,fruits de table secs et tapés autres que pistache
fruits de table secs ou tapés pistache,pistache
fruits des Îles et des Indes dattes,dattes
fruits des Îles et des Indes divers,fruits des Îles et des Indes
fruits des Îles et des Indes pignons,pignons
fruits des Îles et des Indes pistaches,pistaches
fruits des Îles et Indes dattes,dattes
fruits des Îles et Indes pistaches,pistaches
fruits des Indes et des Îles dattes,dattes
fruits des Indes et des Îles pistaches,pistaches
fruits divers,fruits
fruits divers amandes pelures raisin prunes,amandes et pelures et prunes et raisin
fruits divers confits,fruits confits
fruits divers confits en vinaigre,fruits confits en vinaigre
fruits divers en citrons et orange,citrons et orange
fruits divers secs noisettes,noisettes
fruits durs mêlés,fruits secs
fruits en câpres,câpres
fruits en confitures,fruits en confitures
fruits en cornichons,cornichons
fruits en figue,figue
fruits en olive,olives
fruits en pistaches,pistache
fruits en raisin,raisin
fruits en somme,fruits
fruits en somme ordinaire,fruits
fruits et légumes confits au vinaigre,fruits et légumes confits au vinaigre
fruits et légumes confits et marinés,fruits et légumes confits et marinés
fruits figue,figue
fruits follicule de séné,follicule de séné
fruits frais,fruits frais
fruits frais amandes,amandes fraîches
fruits frais châtaignes,châtaignes
fruits frais citrons et orange,citrons et orange frais
fruits frais divers,fruits frais
fruits frais divers tels que pommes poires raisins etc,fruits frais
fruits frais olive,olives fraîches
fruits frais pêches,pêches fraîches
fruits frais poires,poires fraîches
fruits frais pommes,pommes fraîches
fruits frais principalement en citrons et orange,citrons et orange frais
fruits fruits secs pruneaux,pruneaux
fruits fruits secs raisin,raisin sec
fruits graine de moutarde,graine de moutarde
fruits marrons,marrons
fruits mêlés,fruits
fruits mirobolant confit,fruits mirobolant confit
fruits moulus divers,fruits moulus divers
fruits noisetier,noisettes
fruits noisettes,noisettes
fruits noix et noisettes,noisettes et noix
fruits noyaux de pêche,noyaux de pêche
fruits oléagineux amandes,amandes
fruits oléagineux autres,fruits oléagineux
fruits oléagineux noix noisettes faînes,noisettes faînes
fruits oléagineux olives fraîches et arachis,olives fraîches et arachis
fruits oléagineux sans distinction,fruits oléagineux
fruits orange,orange
fruits pistaches,pistaches
fruits pommes,pommes fraîches
fruits pommes et poires,pommes et poires
fruits pruneaux,pruneaux
fruits prunes,prunes
fruits prunes et pruneaux,fruits prunes et pruneaux
fruits raisin,raisin
fruits raisin d'Espagne,raisin sec d'Espagne
fruits raisin de Corinthe,raisin sec de Corinthe
fruits raisin de Corinthias,raisin sec de Corinthe
fruits raisin en grappe,raisin en grappes
fruits raisin sec,raisin sec
fruits rudes,fruits rudes
fruits salés,fruits salés
fruits salés en olive,olives salées
fruits salés et au vinaigre câpres,câpres salées et au vinaigre
fruits salés et au vinaigre olive,olives salées et au vinaigre
fruits salés marinés,fruits salés marinés
fruits salés olive,olives salées
fruits sans désignation,fruits
fruits secs,fruits secs
fruits secs amandes,amandes sèches
fruits secs avelines et noisettes,avelines et noisettes sèches
fruits secs brugnoles,brugnoles
fruits secs châtaignes,châtaignes sèche
fruits secs confits etc,fruits secs confits
fruits secs dattes,dattes sèches
fruits secs de toute sorte,fruits secs
fruits secs divers,fruits secs
fruits secs divers amandes,amandes
fruits secs divers en noisettes pistaches et ???,noisettes pistaches et ???
fruits secs en amandes,amandes sèches
fruits secs en amandes figue et raisin,amandes sèches et figue sèche et raisin sec
fruits secs en confits,fruits confits
fruits secs en dattes,dattes sèches
fruits secs en figue,figue sèche
fruits secs en pruneaux,pruneaux
fruits secs en prunes,prunes sèches
fruits secs en prunes communes,prunes communes sèches
fruits secs en raisin,raisin sec
fruits secs en raisin d'époque,raisin sec d'époque
fruits secs en raisin de Corinthe,raisin sec de Corinthe
fruits secs et à l'eau-de-vie amandes cassées et en corps et prunes ???,fruits secs et à l'eau-de-vie amandes cassées et en corps et prunes ???
fruits secs et à l'eau-de-vie divers,fruits secs et à l'eau-de-vie
fruits secs et confits,fruits secs et confits
fruits secs et confits divers,fruits secs et confits
fruits secs figue,figue sèche
fruits secs figue raisins pruneaux et poires tapées,figue et raisins secs pruneaux et poires tapées
fruits secs marrons,marrons secs
fruits secs noisettes,noisette sèches
fruits secs noix,noix sèches
fruits secs noix et noisettes,noisettes et noix
fruits secs orange,orange sèche
fruits secs pistaches,pistaches sèches
fruits secs pommes,pommes sèches
fruits secs pruneaux,pruneaux
fruits secs prunes,prunes sèches
fruits secs prunes brugnoles,brugnoles
fruits secs prunes communes,prunes communes sèches
fruits secs prunes dattes,dattes secs et prunes sèches
fruits secs prunes et pruneaux,prunes et pruneaux
fruits secs raisin,raisin
fruits secs raisin de Corinthe,raisin sec de Corinthe
fruits secs raisin ordinaire,raisin sec
fruits tamarin confit dans le sucre,fruits tamarin confit dans le sucre
fruits tamarin en gousse,tamarin en gousse
fruits tamarin gousse entière,tamarin en gousse
fruits verts,fruits verts
fruits verts citrons,citrons frais
fruits verts divers,fruits verts
fruits verts en crus et châtaignes,fruits verts en crus et châtaignes
fruits verts en orange et citrons,citrons et orange frais
fruits verts en orange et citrons fruits secs en amandes figue et raisin,citrons frais et orange fraîche et amande sèches et figue sèches et raisin sec
fruits verts figue,figue fraîche et fruits verts
fruits verts limons,limons frais
fruits verts nèfles,nèfles frais
fruits verts orange,orange fraîche
fruits verts orange citrons,citrons et orange frais
fruits verts ou crus châtaignes,châtaignes fraîches
fruits verts ou crus en châtaignes,châtaignes fraîches
fruits verts ou crus limons,limons frais
fruits verts ou crus orange,orange fraîche
fruits verts ou crus poires,poires fraîches
fruits verts ou crus pommes,pommes fraîches
fruits verts poires,poires fraîches
fruits verts pommes,pommes fraîches
fruits verts pommes et poires,poires et pommes fraîches
fruits verts raisin,raisins frais
fruits verts raisin de Corinthe,raisin frais de Corinthe
fruits verts raisin muscat,raisin frais muscat
fruittes,fruittes
fuin,foin
fumier,fumier
fumier commun,fumier commun
fumier de pigeons,fumier de pigeons
fumier de pigeons et autres,fumier de pigeon et autres
funin,funin
funin ou fouets,funin ou fouets
furets,furets
furgons,furgons
fuseaux,fuseaux
fusils,fusils
fusils à double canons,fusils à double canons
fusils boucaniers,fusils de boucaniers
fusils boucaniers fins,fusils de boucaniers fins
fusils communs,fusils communs
fusils damasquinés,fusils damasquinés
fusils de boucaniers,fusils de boucaniers
fusils de chasse,fusils de chasse
fusils de chasse à deux coups,fusils de chasse à deux coups
fusils de maître,fusils de maître
fusils de traite,fusils de traite
fusils et carabines montés,fusils et carabines
fusils et pistolets,fusils et pistolets
fusils neufs,fusils neufs
fusils non montés,fusils démontés
fusils pour l'entrepôt pour la Guinée,fusils pour l'entrepôt pour la Guinée
fusils vieux,fusils vieux
fustages,fustages
fustet,fustet
futaillerie,futaillerie
futaillerie de Flandre,futaillerie des Flandres
futaillerie de Saint-Claude,futaillerie de Saint-Claude
futaillerie grossière,futaillerie grossière
futaillerie Saint-Claude,futaillerie Saint-Claude
futailles,futailles
futailles ???,futailles ???
futailles à l'eau,futailles à l'eau
futailles cerclées de fer,futailles cerclées de fer
futailles de bois,futailles de bois
futailles diverses,futailles diverses
futailles en barriques vieilles ???,futailles en barriques vieilles ???
futailles en petits barils,futailles en petits barils
futailles vides,futailles vides
futailles vides de différentes grandeurs,futailles vides
futailles vides démontées,futailles démontées vides
futailles vides montées cerclées de bois,futailles cerclées de bois montées vides
futailles vides montées cerclées en fer,futailles cerclées de fer montées vides
futailles vieilles,futailles vieilles
futaine,futaine
futaine aune,futaine
futaine blanche,futaine blanche
futaine blanche aune,futaine blanche
futaine de 20 aunes,futaine de 20 aunes
futaine de coton,futaine de coton
futaine de Tournai,futaine de Tournai
futaine de toute sorte,futaine de toute sorte
futaine et dimitte,dimitte et futaine
futaine et dimitte aune,dimitte et futaine
futaine peinte,futaine peinte
futaine peinte aune,futaine peinte
fûts à sas,fûts à sas
fûts de Grenois,fûts de Grenois
futte,futte
g ???,g ???
gablanan,gablanan
gaffes,gaffes
gaffes de sapin,gaffes de sapin
gaïac,gaïac
gaine à couteaux,gaine à couteaux
gaine bleue,gaine bleue
