marchandises_norm_ortho,marchandises_simplification
argent et or monnayé or monnayé,monnaies d'or
argent et or monnayé piastres,piastres
argent et or monnayé sequins,sequins
argent faux,argent faux
argent faux en fil cantilles etc.,argent faux en fil cantilles etc.
argent fin,argent fin
argent monnayé,monnaies d'argent
argent monnayé en écus à palmes,écus à palmes
argent monnayé en espèces coursables,monnaies d'argent en espèces coursables
argent monnayé en piastres,piastres
argent monnayé en piastres et talaris,piastres et talaris
argent monnayé en piastres et talaris par La Cure et Strasbourg,piastres et talaris par La Cure et Strasbourg
argent monnayé en piastres et talaris par Marseille,piastres et talaris par Marseille
argent monnayé en piastres et talaris par Strasbourg,piastres et talaris par Strasbourg
argent monnayé en piastres par le Havre,piastres par le Havre
argent monnayé en piastres par le Pont de Beauvoisin,piastres par le Pont de Beauvoisin
argent monnayé en talaris,talaris
argent monnayé par Calais,monnaies d'argent par Calais
argent monnayé par Strasbourg et Metz,monnaies d'argent par Strasbourg et Metz
argent monnayé par Valenciennes,monnaies d'argent par Valenciennes
argent oeis,argent vif
argent or quadruples,monnaies d'or quadruple
argent or sequins,sequins
argent or sequins vénitiens,sequins
argent ouvré,ouvrages d'argent
argent vif,mercure
argent vif et mercure,mercure
argent vif ou mercure,mercure
argenterie,argenterie
argenterie bagues,bagues d'argent
argenterie boucles,boucles d'argent
argenterie bugues,bagues d'argent
argenterie croix,croix d'argent
argenterie croix d'argent neuve,croix d'argent neuve
argenterie diverse,argenterie
argenterie en vaisselle,vaisselle d'argent
argenterie épée,argenterie épée
argenterie et bijouterie,argenterie et bijouterie
argenterie et orfévrerie,argenterie et orfèvrerie
argenterie et orfévrerie en vermeil,argenterie et orfèvrerie vermeil
argenterie et orfèvrerie en vermeil,argenterie et orfèvrerie vermeil
argenterie neuve,argenterie neuve
argenterie tabatières,tabatières d'argent
argenterie vieille,argenterie vieille
arins,arins
aristoloche,aristoloche
armement de tables,armement de tables
armes,armes
armes à feu,armes à feu
armes à feu boucaniers,boucaniers
armes à feu de munitions,armes à feu de munitions
armes à feu de munitions fines,armes à feu de munitions fines
armes à feu dites de luxe,armes à feu de luxe
armes à feu diverses,armes à feu
armes à feu en fusils,fusils
armes à feu en fusils à deux coups,fusils à deux coups
armes à feu en fusils de chasse,fusils de chasse
armes à feu en fusils de traite,fusils de traite
armes à feu en fusils dits boucaniers,boucaniers
armes à feu en pistolets,pistolets
armes à feu et artillerie,armes à feu et artillerie
armes à feu et de traite,armes à feu et de traite
armes à feu et fusils,armes à feu et fusils
armes à feu fusils,fusils
armes à feu fusils de chasse,fusils de chasse
armes à feu fusils de maître,fusils de maître
armes à feu fusils de munitions,fusils de munitions
armes à feu fusils de traite,fusils de traite
armes à feu fusils et leurs baïonnettes,fusils et leurs baïonnettes
armes à feu fusils ordinaires,fusils ordinaires
armes à feu mousquetons,mousquetons
armes à feu paires de pistolets,pistolets par paire
armes à feu pistolets,pistolets
armes à feu pistolets de traite,pistolets de traite
armes autres que de guerre à feu,armes autres que de guerre à feu
armes autres que de guerre blanches,armes autres que de guerre blanches
armes baïonnettes,baïonnettes
armes blanches,armes blanches
armes blanches baïonnettes,baïonnettes
armes blanches diverses,armes blanches
armes blanches en épée,épée
armes blanches en sabres,sabres
armes blanches en sabres de traite,sabres de traite
armes blanches en sabres ordinaires,sabres ordinaires
armes blanches épée,épée
armes blanches épée d'argent,épée d'argent
armes blanches et à feu,armes
armes blanches lames,armes lames
armes blanches lames d'épée,lames d'épée
armes blanches lames de fleuret,lames de fleuret
armes blanches lames de sabres,lames de sabres
armes blanches sabres,sabres
armes blanches sabres et baïonnettes,sabres et baïonnettes
armes canons de fer,canons de fer
armes canons et affûts,affûts et canons
armes canons et balles de fer,canons de fer et balles de fer
armes de chasse ou de luxe à feu,armes de chasse ou de luxe à feu
armes de chasse ou de luxe blanches,armes de chasse ou de luxe blanches
armes de feu,armes à feu
armes de guerre,armes de guerre
armes de guerre à feu,armes à feu de guerre
armes de guerre à feu portatives,armes à feu de guerre portatives
armes de guerre blanches,armes blanches de guerre
armes de luxe à feu,armes à feu de luxe
armes de luxe blanches,armes blanches de luxe
armes de luxe ou de traite à feu,armes à feu de luxe ou de traite
armes de luxe ou de traite blanches,armes blanches de luxe ou de traite
armes de traite à feu,armes à feu de traite
armes de traite blanches,armes blanches de traite
armes de traite et de guerre à feu,armes à feu de guerre et de traite
armes de traite et de guerre blanches,armes blanches de guerre et de traite
armes différentes,armes différentes
armes diverses,armes
armes diverses à feu,armes à feu
armes diverses blanches,armes blanches
armes diverses et munitions de guerre,armes et munitions
armes épées,épée
armes et artillerie armes à feu,armes à feu
armes et artillerie armes blanches,armes blanches
armes et artillerie artillerie en canons pierriers espingoles et mortiers,armes et artillerie artillerie en canons pierriers espingoles et mortiers
armes fusils,fusils
armes fusils de traite,fusils de traite
armes non reprises,armes
armes pistolets,pistolets
armes platines de fusils,platines de fusils
armes remontrances,armes remontrances
armes sabres,sabres
armes sabres de traite,sabres de traite
armoire d'acajou,armoires d'acajou
armoires,armoires
armoires ayant servi,armoires ayant servi
armoires d'acajou,armoires d'acajou
armoires de bois,armoires de bois
armoires de bois d'acajou,armoires d'acajou
armoires de bois de chêne,armoires de chêne
armoires de bois de noyer,armoires de noyer
armoires de bois de sapin peintes,armoires de bois de sapin peintes
armoires de bois des Îles,armoires de bois des Indes
armoires de chêne,armoires de chêne
armoires de chêne ornée,armoires de chêne ornée
armoires de noyer,armoires de noyer
armoires de sapin,armoires de sapin
armoires et commodes,armoires et commodes
armoires vieilles,armoires vieilles
armoisin,armoisin
armure vieille,armure vieille
arnas,arnas
arpois,arpois
arquebuse,arquebuse
arrangas,arrangas
arrosoirs,arrosoirs
arrosoirs de bois,arrosoirs de bois
arrosoirs de cuivre,arrosoirs de cuivre
arrosoirs de fer-blanc,arrosoirs de fer-blanc
arrosoirs de sapin,arrosoirs de sapin
arrosoirs de terre,arrosoirs de terre
arrowroot,arrowroot
arséniate de potasse,arséniate de potasse
arsenic,arsenic
arsenic métallique,arsenic métallique
artichauts,artichauts
artichauts confits,artichauts confits
artichauts frais,artichauts frais
artichauts marinés,artichauts marinés
artichauts secs,artichauts secs
articles d'industrie réunis,ouvrages d'industrie
articles de peu de valeur réunis,divers
articles réunis,divers
articles réunis d'une valeur moindre de 2000 francs chacun,divers
articles réunis de peu de valeur,divers
articles réunis et tissus étrangers réexportés,divers
artifice,artifice
artifice fusées etc.,artifice fusées etc.
artillerie,artillerie
artillerie canons de différents calibres,canons de différents calibres
artillerie en bombes et boulets,bombes et boulets
artillerie en boulets,boulets
artillerie en canons bombes,bombes et canons
artillerie en canons de fer,canons de fer
asa foetida,asa fœtida
asperges,asperges
asperges confites,asperges confites
asperges et scorsonères,asperges et scorsonères
asperges plants,plants d'asperge
asphaltum,asphaltum
asphaltum ou bitume de Judée,asphaltum
assiette,assiette
assiette de Biarritz,assiette de Biarritz
assiette de bois,assiette de bois
assiette de faïence,assiette de faïence
assiette de porcelaine,assiette de porcelaine
assiette de porcelaine des Indes,assiette de porcelaine des Indes
assiette de terre,assiette de terre
asustum,asustum
atastes,atastes
atlas,atlas
atlas et instruments de marine,atlas et instruments de marine
attaches de cuivre,attaches de cuivre
attelles de colliers,attelles de colliers
aube,aube
auclimes,auclimes
auf,auf
auf ouvré,auf ouvré
auf travaillé,auf travaillé
auf travaillé en cordes,auf travaillé en cordes
augemy,augemy
auges,auges
auges de carreaux,auges de carreaux
augustins,augustins
aurcsats,aurcsats
aurcsats étoile,aurcsats étoile
aussière,aussière
autel de marbre,autel de marbre
autre outil de pur acier,outil d'acier pur
autres céréales farine,farine
autres céréales grains,grains
autres céréales grains de la Corse,grains de la Corse
autres couleurs autrement préparées,couleurs autrement préparées
autres couleurs préparées à l'huile,couleurs préparées à l'huile
autres matériaux de construction,matériaux de construction
