simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
graine de lin,782,non,out,820768
graine de lin à battre huile,117,non,out,820768
graine de lin et à semer,116,non,out,820768
graine de lin et grasse,18,non,out,820768
graine de lin vieille,2,non,out,820768
graine de longue,13,non,out,820768
graine de lupin,4,non,out,820768
graine de lupin et légumes secs,2,non,,37440
graine de luzerne,102,non,out,820768
graine de luzerne et de trèfle,129,non,out,820768
graine de melon,4,non,out,820768
graine de moutarde,396,non,out,820768
graine de mûriers,1,non,out,820768
graine de musc,2,non,out,820768
graine de muscade,1,non,out,820768
graine de navette,167,non,out,820768
graine de pain,1,non,out,820768
graine de Palma Christi,1,oui,out,820768
graine de paradis,8,non,out,820768
graine de pécan,1,non,out,820768
graine de perles,4,non,out,820768
graine de perroquet,14,non,out,820768
graine de Perse,1,non,out,820768
graine de pigeon,1,non,out,820768
graine de pirrette,1,oui,out,820768
graine de pivoine,1,non,out,820768
graine de prairie,35,non,out,820768
graine de prairie et de trèfle et luzerne,22,non,out,820768
graine de pré,4,non,out,820768
graine de pyrèthre,1,non,,37440
graine de rabette,8,non,out,820768
graine de ricin,1,non,,37440
graine de rosette,1,non,out,820768
graine de safranum,1,non,out,820768
graine de sagou,1,non,out,820768
graine de sainfoin,48,non,out,820768
graine de Saint-Domingue,1,non,out,820768
graine de sapin,41,non,out,820768
graine de sapotille,1,non,out,820768
graine de scammonée,1,non,out,820768
graine de semaille,1,non,out,820768
graine de silvestre,2,non,out,820768
graine de soude,2,oui,out,820768
graine de soudes,2,non,,37440
graine de tasse,1,non,out,820768
graine de trèfle,466,non,out,820768
graine de trèfle et de luzerne,1,non,out,820768
graine de tremaine,10,non,out,820768
graine de trioter,1,non,out,820768
graine de truelle,1,non,out,820768
graine de truffe,5,non,out,820768
graine de vermillon,4,non,out,820768
graine de vermillon ou d'eolatte,1,non,out,820768
graine de vers à soie,37,non,out,820768
graine de vesse,4,non,out,820768
graine de zedoria,1,non,out,820768
graine des Canaries,33,oui,out,820768
graine des Îles,2,non,out,820768
graine des Indes,1,non,out,820768
graine diverse,424,non,out,820768
graine diverse et de jardin,25,non,out,820768
graine douce,2,non,out,820768
graine du jardin,2,non,out,820768
graine du soucrillon,1,non,out,820768
graine écarlate,7,non,out,820768
graine et graine de lin,10,non,out,820768
graine et semence froide,6,non,out,820768
graine fenouil,2,non,out,820768
graine fermentale,1,non,out,820768
graine forestale,2,non,out,820768
graine forestale et de pastel et de garance,2,non,out,820768
graine grainette,2,non,out,820768
graine grasse,73,non,out,820768
graine huile d'olive,1,non,out,820768
graine jaune,229,non,out,820768
graine jaune d'Avignon,68,non,out,820768
graine jaune d'Avignon ou nerprun,19,non,out,820768
graine jaune de laitue,1,non,out,820768
graine jaune dit wauwe,82,non,out,820768
graine jaune longue,1,non,out,820768
graine longue,74,non,out,820768
graine menue,1,non,out,820768
graine metillon,1,non,out,820768
graine pour teinture,21,non,out,820768
graine rouge,3,non,out,820768
graine triole,1,non,out,820768
graine truffe,1,non,out,820768
graine vermillon,1,non,out,820768
graine verte,2,non,out,820768
graine vieille de lin,2,non,out,820768
graines de lupin et légumes secs,2,oui,out,820768
grainette,4,non,out,820768
grainette d'Avignon,1,non,out,820768
grainette jaune,2,non,out,820768
grains,8,non,out,820768
grains à chapelets,3,non,out,820768
grains ails,3,non,out,820768
grains autre que céréales,2,non,out,820768
grains avoine,84,non,out,820768
grains avoine et froment,1,non,out,820768
grains baillarge,2,non,out,820768
grains blé,3340,non,out,820768
grains blé de Turquie,3,non,out,820768
grains blé et autre grains,141,non,out,820768
grains blé et autres,56,non,out,820768
grains blé et froment,8,non,out,820768
grains blé et riz,9,non,out,820768
grains blé mercit,1,non,out,820768
grains blé mescli,1,non,out,820768
grains blé orge,1,non,,37440
grains blé seigle,1,non,,37440
grains comestibles,1,non,,37440
grains cuscute,2,non,out,820768
grains d'Avignon,1,non,out,820768
grains d'Espagne,34,non,out,820768
grains d'Inde,126,non,out,820768
grains de cire,20,non,out,820768
grains de cire blanche,4,non,out,820768
grains de coton,1,non,out,820768
grains de la Corse,1,non,out,820768
grains de lin,5,non,out,820768
grains de millet gros,1,oui,out,820768
grains de plomb,20,oui,out,820768
grains de prune,2,non,out,820768
grains de Riga,2,non,out,820768
grains de séné,1,non,out,820768
grains de trèfle,1,non,out,820768
grains de verre,29,non,maybe venetian glass beads,707
grains de verre à chapelet,1,non,maybe venetian glass beads,707
grains divers,460,non,out,820768
grains dur à tailler,2,non,out,820768
grains en advestures de toute espèce,102,non,out,820768
grains épeautre,3,non,out,820768
grains et farine de maïs,1,non,,37440
grains farine fromage etc.,1,non,out,820768
grains froment,3672,non,out,820768
grains froment de la Corse,1,non,out,820768
grains froment en gerbe,18,non,out,820768
grains froment et méteil,1,non,out,820768
grains froment par Bayonne et Marseille,1,non,out,820768
grains froment par Marseille,3,non,out,820768
grains froment seigle,1,non,out,820768
grains grenaille,2,non,out,820768
grains maïs,126,non,out,820768
grains maïs par Marseille,1,non,out,820768
grains maïs seigle,2,non,out,820768
grains menu,1,non,out,820768
grains méteil,52,non,out,820768
grains métillon,116,non,out,820768
grains métillon en gerbe,9,non,out,820768
grains millet,429,non,out,820768
grains millet gros,3,oui,out,820768
grains millet ordinaire,1,non,out,820768
grains mondé et perlé,8,non,out,820768
grains orge,106,non,out,820768
grains orge en gerbe,2,oui,out,820768
grains orge et soucrion,131,oui,out,820768
grains orge et soucrion en gerbe,17,oui,out,820768
grains orge germé,2,non,out,820768
grains orge paillarge,1,oui,out,820768
grains orge par Marseille,1,non,out,820768
grains orge perlé et mondé,149,oui,out,820768
grains petits,1,non,out,820768
grains riz,247,non,out,820768
grains sarrasin,68,non,out,820768
grains seigle,2182,non,out,820768
grains seigle avarié,1,non,out,820768
grains seigle en gerbe,1,non,out,820768
grains seigle en gerbes,21,non,out,820768
grains seigle et blé,1,non,out,820768
grains seigle par Marseille,1,non,out,820768
grains soucrillon,7,non,out,820768
graisse,346,non,out,820768
graisse à chapeler,1,non,out,820768
graisse blanche,2,non,out,820768
graisse d'autruche,1,non,out,820768
graisse d'oint,1,non,out,820768
graisse d'ours,2,non,out,820768
graisse de baleine,2,non,out,820768
graisse de bœuf,4,non,,37440
graisse de boucherie,51,non,out,820768
graisse de cacao,1,non,out,820768
graisse de chanvre,3,non,out,820768
graisse de cheval d'ours et de pied de bœuf,3,non,out,820768
graisse de cire,1,non,out,820768
graisse de cochon,7,non,out,820768
graisse de gras de peau,6,non,out,820768
graisse de jardin,1,non,out,820768
graisse de mouton,6,non,out,820768
graisse de pied de bœuf,1,non,out,820768
graisse de poisson,12,non,out,820768
graisse de poisson de pêche étrangère,0,non,out,820768
graisse de poisson de pêche française,1,non,out,820768
graisse de poisson des pays hors d'Europe,0,non,out,820768
graisse de porcs,112,non,out,820768
graisse de tasson et autres,10,non,out,820768
graisse de toute sorte sauf graisse de bœuf d'ours de gras de peau et suif brut,2,non,out,820768
graisse de toute sorte sauf graisse de cheval d'ours de gras de peau et suif brut,1,non,out,820768
graisse de toute sorte sauf gras de peau et suif brut,2,non,out,820768
graisse douce,3,non,out,820768
graisse douce de cochon,1,non,out,820768
graisse et chair salée de porcs,1,non,out,820768
graisse et suif,1,non,out,820768
graisse fine,2,non,out,820768
graisse fondue,1,non,out,820768
graisse salée,1,non,out,820768
grande voile de vaisseaux,2,non,out,820768
grandes pentes de lit en satin,2,non,,37440
grandes pentes de lit en satin brodé,2,non,,37440
granille de cochenille,47,non,out,820768
granit,1,non,out,820768
grannette de coton,1,non,out,820768
graphite,7,non,out,820768
grappins,5,non,out,820768
grappins de fer,56,non,out,820768
gras,0,non,,37440
gras de tours,1,non,out,820768
gras rouge,1,non,out,820768
gras-double,7,non,out,820768
grattes,1,non,out,820768
grattes en fer,2,non,out,820768
grattoirs,3,non,out,820768
grattoirs de fer,1,non,out,820768
gravelée,159,non,out,820768
gravelée potasse et védasse,139,non,out,820768
gravelle,17,non,out,820768
gravures,2,non,out,820768
gravures encadrées,1,non,out,820768
gravures et lithographies,2,non,out,820768
gravures noires ou coloriées,6,non,out,820768
gravures peintures et sculptures,54,non,out,820768
gréements,3,non,,37440
gréements de navires,1,non,,37440
gréements vieux,1,non,,37440
grèles,1,non,out,820768
grèles à café,1,non,out,820768
grelin,6,non,out,820768
grelots,52,non,out,820768
grelots de cuivre,60,non,out,820768
grelots de laiton,1,non,out,820768
grelots et sonnettes,1,non,out,820768
grenade,37,non,out,820768
grenade à feu,1,non,out,820768
grenade de coton,1,non,out,820768
grenade de fer,13,non,out,820768
grenade de Florence,1,non,out,820768
grenade étoffe,2,non,out,820768
grenade fruit,7,non,out,820768
grenade pour la Compagnie des Indes,1,non,out,820768
grenades de fonte,0,non,out,820768
grenades fraîches,1,non,,37440
grenadier et laurier et jasmin etc,93,non,out,820768
grenaille,7,non,out,820768
grenaille d'acier et de fer,2,non,out,820768
grenaille de C ?,1,non,,37440
grenaille de cochenille,3,oui,out,820768
grenat,15,non,out,820768
grenat et rubis,1,non,out,820768
grenat faux,4,non,out,820768
grenat faux et autres pierres fausses non montées,3,non,out,820768
grenat fin,3,non,out,820768
grenat fin monté,4,non,out,820768
grenat fin non monté,3,non,out,820768
grès,30,non,out,820768
grès à laver,4,non,out,820768
grès en pavé,12,non,out,820768
grès rouge,1,non,out,820768
grignon,5,oui,,37440
grignons,5,oui,out,820768
grillages,1,non,out,820768
grillages de fer,2,non,out,820768
grillages en fer,1,non,out,820768
grilles,1,non,out,820768
grilles de fer,56,non,out,820768
grilles de fer à moulins à sucre,1,non,out,820768
grilles de fer de fonte,4,non,out,820768
grilles de fer pour moulins à sucre,1,non,out,820768
grilles et platines de fer,1,non,,37440
grilles et tambours de fer,1,non,out,820768
grillons,1,non,out,820768
grillons de fonte,1,non,out,820768
grinza,0,non,out,820768
gris,3,non,out,820768
grisette,61,non,out,820768
grisette de Flandre,1,non,out,820768
grisette de laine,2,non,out,820768
grisette de soie,10,non,out,820768
grisons,2,non,out,820768
grives,6,non,out,820768
groisil,1,non,out,820768
groisil de verre,66,non,out,820768
groison,2,non,out,820768
gros de Naples,1,non,out,820768
gros de Tours,5,non,out,820768
gros rouge,6,non,out,820768
gros tors,2,non,out,820768
groseille,2,non,out,820768
grosgrain,1,non,out,820768
grosil,24,non,out,820768
grosse de soie,1,non,out,820768
gruau,289,non,out,820768
gruau d'avoine,3,non,out,820768
gruau de grains comestible,7,non,out,820768
gruau de grains sarrasin,3,non,out,820768
gruau de millet,3,non,out,820768
gruau et fécule,6,non,out,820768
gruyère,3,non,out,820768
guajocum utilisé pour traiter la syphilis,7,non,out,820768
guéridon,5,non,out,820768
guéridon de sapin,1,non,out,820768
guéridon et tables,1,non,out,820768
guéridon peint,2,non,out,820768
guêtres,18,non,out,820768
guêtres de coton,1,non,out,820768
guêtres de cuir,3,non,out,820768
guêtres de toile,7,non,out,820768
gueuse de fer,1,non,out,820768
guftas,1,non,out,820768
guidive des prises,1,non,out,820768
guignolet en ratafia,4,non,out,820768
guignolet en ratafia de cerise,3,non,out,820768
guildive,16,non,out,820768
guin ???,1,non,out,820768
guina,1,non,out,820768
guincastafs,2,non,out,820768
guindeaux,2,non,out,820768
guinée,185,non,out,820768
guinée blanche,103,non,out,820768
guinée blanche des Indes,3,non,out,820768
guinée blanche et bleue,1,non,out,820768
guinée blanche et bleue des Indes,3,non,out,820768
guinée blanche ordinaire,2,non,out,820768
guinée bleue,207,non,out,820768
guinée bleue de coton,1,non,out,820768
guinée bleue des Indes,0,non,out,820768
guinée bleue imitant celle des Indes,1,non,out,820768
guinée de coton,2,oui,out,820768
guinée des Indes,1,non,out,820768
guinée imitant celle des Indes,2,non,out,820768
guinée masulipatan,1,non,out,820768
guinée Sénégal,1,non,out,820768
guinée tachée,1,non,out,820768
guingans,10,oui,out,820768
guingans blanc,1,oui,out,820768
guingans bleu,1,oui,out,820768
guingans de Bengale,2,oui,out,820768
guingans de coton,1,oui,out,820768
guingans de fil,8,oui,out,820768
guingans de Grenade,2,oui,out,820768
guingans de lin,13,oui,out,820768
guingans de Madras,23,oui,out,820768
guingans de Masulipatan,1,oui,out,820768
guingans de Pondichéry,26,oui,out,820768
guingans de Pondichéry et de Madras,1,oui,out,820768
guingans de Rouen,3,oui,out,820768
guingans des Indes,1,oui,out,820768
guingans des prises,1,oui,out,820768
guingans du Bengale,8,oui,out,820768
guingans en Madras,1,oui,out,820768
guingans peint,2,oui,out,820768
guingans pièces,1,oui,out,820768
guinimos,1,non,out,820768
guipon,6,non,out,820768
guisine,1,non,out,820768
guitare,10,non,out,820768
guitare de fer,3,non,out,820768
gullots,1,non,out,820768
habassis,5,non,out,820768
habillement de drap noir,1,non,out,820768
habillés,1,non,out,820768
habits,557,non,out,820768
habits à nègre,1,non,out,820768
habits brodés d'argent et d'or,1,non,out,820768
habits brodés d'or,15,non,out,820768
habits brodés de soie,6,non,out,820768
habits complets,3,non,out,820768
habits complets et neufs,2,non,out,820768
habits d'argent et d'or,1,non,out,820768
habits d'étamine,1,non,out,820768
habits d'or,3,non,out,820768
habits d'un commissaire ordonateur,1,non,,37440
habits de camelot,1,non,out,820768
habits de camelot complet,1,non,out,820768
habits de cour,1,non,out,820768
habits de drap,12,non,out,820768
habits de drap d'Elbeuf,1,non,out,820768
habits de drap galonné,1,non,out,820768
habits de drap galonnés d'argent et d'or,1,non,out,820768
habits de drap neuf,1,non,out,820768
habits de drap uni,2,non,out,820768
habits de droguet,1,non,out,820768
habits de droguet de soie,1,non,out,820768
habits de gogorans,2,oui,out,820768
habits de gourgourans,2,non,,37440
habits de la 11e 1/2 brigade d'infanterie,1,non,,37440
habits de laine,1,non,out,820768
habits de laine pour nègre,1,non,out,820768
habits de livrée,1,non,out,820768
habits de livrée et ornements d'église,2,non,out,820768
habits de nègre,1,non,out,820768
habits de nègre en étoffe,1,non,out,820768
habits de négresse,1,non,out,820768
habits de peau,3,non,out,820768
habits de peau complets,1,non,out,820768
habits de peau de mouton,1,non,,37440
habits de peaux de mouton,1,oui,out,820768
habits de Pékin brodés,1,non,out,820768
habits de pelleterie,1,non,out,820768
habits de pinchina,1,non,out,820768
habits de retour,1,non,,37440
habits de satin brodé,1,non,out,820768
habits de soie,38,non,out,820768
habits de soldat,2,non,out,820768
habits de toile,1,non,out,820768
habits de toile de chanvre,1,non,out,820768
habits de troupes,2,non,out,820768
habits de velours,1,non,out,820768
habits divers,93,non,out,820768
habits du régiment de l'Île de France,1,non,,37440
habits enrichis,1,non,out,820768
habits et lingerie,581,non,out,820768
habits et lingerie et effets militaires,38,non,out,820768
habits et matériel de ménage,1,non,,37440
habits et meubles,2,non,out,820768
habits et ornements d'Eglise,1,non,out,820768
habits et taffetas,1,non,out,820768
habits et vestes brodés,1,non,out,820768
habits et vestes vieux,1,non,out,820768
habits militaires,4,non,,37440
habits neufs,3,non,out,820768
habits pour femme,5,non,out,820768
habits pour homme,6,non,out,820768
habits pour homme avec argent et or,2,non,out,820768
habits pour homme brodés d'or,1,non,out,820768
habits pour homme complets,1,non,out,820768
habits pour homme et pour femme,1,non,out,820768
habits pour nègre,3,non,out,820768
habits provenant d'un naufrage,3,non,,37440
habits riches,1,non,out,820768
habits supportés,4,non,out,820768
habits supportés à la valeur,1,non,out,820768
habits supportés au kilogramme,2,non,out,820768
habits uniformes,1,non,out,820768
habits unis,1,non,out,820768
habits vieux,5,non,out,820768
haches,58,non,out,820768
haches d'armes,1,non,out,820768
haches de fer,25,non,out,820768
haches de fer et d'acier,5,non,out,820768
haches de fer et houes de fer et serpes de fer,3,non,out,820768
haches et houe et serpes,1,non,out,820768
haches et houes,4,non,out,820768
haches et houes de fer,1,non,out,820768
haches et houes et serpes,76,non,out,820768
haches et serpes,2,non,out,820768
haches paille,1,non,out,820768
haillons de laine,2,non,out,820768
hallebardes,7,non,out,820768
haltsays,1,non,out,820768
hamacs,166,non,out,820768
hamacs de coton,8,non,out,820768
hamacs de retour,0,non,,37440
hamacs de retour faute de vente,0,oui,out,820768
hameçons,55,non,out,820768
hameçons cassés,1,non,out,820768
hamiracontans,1,non,,37440
hampes de plumes,1,non,out,820768
harancades,25,non,out,820768
haras,1,non,out,820768
hardes,104,non,out,820768
hardes à usage,8,non,out,820768
hardes capillaire,1,non,out,820768
hardes de gens de mer,8,non,,37440
hardes diverses,6,oui,,37440
hardes et habits,4,non,out,820768
hardes neuves,17,non,out,820768
hardes perelle,1,non,out,820768
hardes pour nègre,2,non,out,820768
hardes vieilles,39,non,out,820768
hareng de Nantes,1,oui,,37440
harengs,157,non,out,820768
harengs blancs,683,non,out,820768
harengs blancs demi-feuillettes,2,non,out,820768
harengs blancs feuillettes,2,non,out,820768
harengs blancs marinés et salés,16,non,out,820768
harengs blancs salés,0,non,out,820768
harengs blancs salés et marinés,1,oui,out,820768
harengs bleus,1,non,out,820768
harengs cades,2,non,out,820768
harengs de la Baltique petits,1,non,out,820768
harengs de la pêche nationale,28,non,out,820768
harengs de Nantes,0,non,,37440
harengs et maquereaux salés,4,non,out,820768
harengs et saumons salés,1,non,out,820768
harengs frais,20,non,out,820768
harengs frais et merlan frais,1,non,out,820768
harengs fumés,69,non,out,820768
harengs marinés et salés,3,non,out,820768
harengs marinés et salés et saurs,8,non,out,820768
harengs pecs,3,non,out,820768
harengs salés,161,non,out,820768
harengs salés et sardines salées,4,non,out,820768
harengs salés et sardines salées et saumon salé,6,non,out,820768
harengs saurs,545,non,out,820768
harengs secs,11,non,out,820768
haricots,253,non,out,820768
haricots blancs,1,non,,37440
haricots confits,2,non,out,820768
haricots en fèves,1,non,out,820768
haricots en fil,1,non,out,820768
haricots et lentilles et pois secs,3,non,out,820768
haricots marinés,1,non,out,820768
harmonica et orgues portatives,2,non,out,820768
harnais,83,non,out,820768
harnais de carrosses,1,non,out,820768
harnais de chaise,23,non,out,820768
harnais de chevaux,20,non,out,820768
harnais de chevaux de cuir,8,non,out,820768
harnais de cuir,2,non,out,820768
harnais de cuir et cellerie,4,oui,,37440
harnais de cuir et sellerie,4,non,,37440
harnais de sellier,2,non,out,820768
harnais et chaises roulantes,1,non,out,820768
harnais et housses de chevaux,1,non,out,820768
harnais et housses de mulet,1,non,out,820768
harnais et phaéton,1,non,out,820768
harnais et selles,11,non,out,820768
harnais pour chaise de cuir,1,non,out,820768
harpe,1,non,,37440
harpes,11,non,out,820768
harpes et guitare,51,non,out,820768
harpes et guitare et psalterions,3,non,out,820768
harpes et orgues d'église,2,non,out,820768
harpins,1,non,out,820768
harpons de scies,1,non,out,820768
hartreuse,1,non,out,820768
hautbois,3,non,out,820768
hebichets de fil de fer,1,non,out,820768
helateas,2,non,out,820768
hellébore,1,oui,out,820768
hemitacortum,2,non,out,820768
herbages,82,oui,out,820768
herbes,61,non,out,820768
herbes à charpentier,3,non,out,820768
herbes à col,1,non,out,820768
herbes à teindre,121,non,out,820768
herbes à teindre ou terre jaune,2,non,out,820768
herbes aromatiques,2,non,out,820768
herbes d'absinthe,2,non,out,820768
herbes d'acacia,1,non,out,820768
herbes d'acacia à teindre,1,non,out,820768
herbes d'orseille,102,non,out,820768
herbes d'oseille,26,non,out,820768
herbes de sarriette,1,non,out,820768
herbes de violette,1,non,out,820768
herbes émollientes,1,non,out,820768
herbes et plantes et racines,6,non,out,820768
herbes et racines,1,non,out,820768
herbes et trèfle,12,non,out,820768
herbes gaude,73,non,out,820768
herbes mauves,1,non,out,820768
herbes médicinales,15,non,out,820768
herbes médicinales et plantes médicinales,58,non,out,820768
herbes médicinales et plantes médicinales et racines médicinales,35,non,out,820768
herbes pérelle,119,non,out,820768
herbes plantes racines fleurs etc.,14,non,out,820768
herbes qacrette,3,non,out,820768
herbes vaudes,28,non,out,820768
herbes véroniques,1,non,out,820768
herbes vulnéraires,24,non,out,820768
hermine,37,non,out,820768
herminettes,2,non,out,820768
hermodatte,55,non,out,820768
herse,1,non,out,820768
hesses et hirondelles,1,non,out,820768
hêtre en blocs,1,non,out,820768
hipocide,4,non,out,820768
hipouditte,1,non,out,820768
histoire naturelle,18,non,out,820768
histoire naturelle coquillages,1,non,out,820768
homme d'équipage,7,non,,37440
homme d'équipage hollandais,2,non,,37440
homme d'équipage prisonnier suédois,1,non,,37440
Hondschoote blanche,3,non,out,820768
Hondschoote peinte,5,non,out,820768
hôpitaux,2,non,out,820768
hôpitaux à café,1,non,out,820768
hôpitaux de cuivre,65,non,out,820768
horloge,53,non,out,820768
horloge à réveils,1,non,out,820768
horloge commune,5,non,out,820768
horloge d'église,3,non,out,820768
horloge de bois,94,non,out,820768
horloge de fer,13,non,out,820768
horloge de mer,1,non,out,820768
horloge de sable,23,non,out,820768
horloge de tables,4,non,out,820768
horloge neuve,1,non,out,820768
horlogerie,809,non,out,820768
horlogerie boîtes d'argent,6,non,out,820768
horlogerie boîtes d'or,4,non,out,820768
horlogerie boîtes de montre d'argent,1,oui,out,820768
horlogerie boîtes de montre d'or,1,oui,out,820768
horlogerie boîtes de pendule,3,oui,out,820768
horlogerie cadrans,1,non,out,820768
horlogerie cadrans d'émail,1,non,out,820768
horlogerie carillon,1,non,out,820768
horlogerie carillon au-dessous d'une hectogramme,1,non,out,820768
horlogerie chaînes d'argent,1,non,out,820768
horlogerie chaînes d'or,3,non,out,820768
horlogerie chaînes de cuivre,1,non,out,820768
horlogerie clefs de montre,1,oui,out,820768
horlogerie d'or,2,non,out,820768
horlogerie et carillon,4,non,out,820768
horlogerie fournitures,6,non,out,820768
horlogerie horloge de fer,12,oui,out,820768
horlogerie monom à montre,1,oui,out,820768
horlogerie monom à pendule,2,oui,out,820768
horlogerie montres d'argent,12,oui,out,820768
horlogerie montres d'or,14,oui,out,820768
horlogerie montres de cuivre,3,oui,out,820768
horlogerie montres de métal,1,oui,out,820768
horlogerie montres maillées,1,oui,out,820768
horlogerie mouvements de montre,7,oui,out,820768
horlogerie mouvements de pendule,5,oui,out,820768
horlogerie outils d'horloge,2,oui,out,820768
horlogerie pendule,36,oui,out,820768
horlogerie pendule de cuivre,2,oui,out,820768
horlogerie pendule et réveils,259,oui,out,820768
horlogerie ressorts de montre,2,oui,out,820768
horlogerie ressorts de pendule,3,oui,out,820768
horlogerie réveils,2,oui,out,820768
horlogerie timbres,1,non,out,820768
hôtes,1,non,out,820768
hôtes d'osier,4,non,out,820768
houblon,439,non,out,820768
houes,12,non,out,820768
houes de fer,17,non,out,820768
houes et serpes,21,non,out,820768
houes haches et serpes,4,non,out,820768
houille,4,non,out,820768
houille frontières,2,non,out,820768
houille par Ardennes et Meuse,2,non,out,820768
houille par mer,3,non,out,820768
houille par mer à Baisieux,2,non,out,820768
houille par terre,1,non,out,820768
houille par terre Ardennes et autre,2,non,out,820768
houppe de cygne,5,non,out,820768
housses,8,non,out,820768
housses de chevaux,25,non,out,820768
housses de chevaux enrichie,1,non,out,820768
housses de chevaux et faux,1,non,out,820768
housses de chevaux et faux et fourreaux garnis de soie,1,non,out,820768
housses de chevaux garnies d'argent et d'or,1,non,out,820768
housses de drap,10,non,out,820768
housses de drap et de velours,2,non,out,820768
housses de lit,2,non,out,820768
housses de selles,1,non,out,820768
housses de velours,1,non,out,820768
housses et faux fourreaux,3,non,out,820768
housses et faux fourreaux garnis d'argent,1,non,out,820768
housses et selles de chevaux,1,non,out,820768
housses galonnées,2,non,out,820768
housses galonnées d'or,4,non,out,820768
housses galonnées d'or et d'argent,1,non,out,820768
housses garnies d'or,2,non,out,820768
hubalingue,1,non,out,820768
hubellimeus,1,non,out,820768
huide de codde,1,non,out,820768
huile,4782,non,out,820768
huile à ???,1,non,out,820768
huile à brûler,55,non,out,820768
huile à brûler de graine,1,non,out,820768
huile à brûler et de poisson,12,non,out,820768
huile ambrée,1,non,out,820768
huile antique et huile volatile ambrée,1,non,out,820768
huile blanche,1,non,out,820768
huile carabée,1,non,out,820768
huile chimique,1,non,out,820768
huile citron orange et leurs variétés,2,non,out,820768
huile commune,4,non,out,820768
huile commune d'olive,1,non,out,820768
huile concrète de cacao et de laurier,2,non,out,820768
huile d'absinthe,2,non,out,820768
huile d'Aix,2,non,out,820768
huile d'amande,4,oui,,37440
huile d'amandes,81,non,out,820768
huile d'amandes douces,20,non,out,820768
huile d'ambre,12,non,out,820768
huile d'anis,56,non,out,820768
huile d'anis carvi et fenouil,1,non,out,820768
huile d'anis et fenouil,2,non,out,820768
huile d'aspic,59,non,out,820768
huile d'ébène,1,non,,37440
huile d'élite dite keurolie,10,non,out,820768
huile d'enc,2,non,out,820768
huile d'étain,1,non,out,820768
huile d'œillette,31,oui,out,820768
huile d'œillette de noix de pavots,18,non,,37440
huile d'œillette ou de pavot,13,non,,37440
huile d'olive,3537,non,out,820768
huile d'olive à manger,17,non,out,820768
huile d'olive blanche de Gênes,0,non,out,820768
huile d'olive comestible,7,non,out,820768
huile d'olive commune,18,non,out,820768
huile d'olive Corse pour la France,1,non,out,820768
huile d'olive de fèce ou fie d'huile,2,non,out,820768
huile d'olive et autres pour fabrique,21,non,out,820768
huile d'olive fine,123,non,out,820768
huile d'olive importée en grande partie à Marseille,1,non,out,820768
huile d'olive pour fabrique,249,non,out,820768
huile d'olive pour fabrique de la Corse,1,non,out,820768
huile d'ours,1,non,out,820768
huile de baleine,115,non,out,820768
huile de baleine et de morue,16,non,,37440
huile de baleine et spirituelle,1,non,out,820768
huile de baume,1,non,out,820768
huile de benedie,1,non,out,820768
huile de benjoin,1,non,out,820768
huile de blanc de baleine,5,oui,,37440
huile de brique,1,non,out,820768
huile de cacao,2,non,out,820768
huile de cacao et palme,1,non,out,820768
huile de cachalot,1,non,,37440
huile de cade,4,non,out,820768
huile de cahouanne,3,non,out,820768
huile de cannelle,17,non,out,820768
huile de cannelle macis muscade de Rhodes et rose,2,non,out,820768
huile de carabe,8,non,out,820768
huile de carde,3,non,out,820768
huile de casse cède cédrin genièvre,2,non,out,820768
huile de castor,1,non,out,820768
huile de chanvre,12,non,out,820768
huile de chien de mer,2,non,out,820768
huile de chimie,1,non,out,820768
huile de chimie ?,1,non,out,820768
huile de citron bergamote et orange,1,non,out,820768
huile de coco,1,non,out,820768
huile de colza,0,non,,37440
huile de copahu,54,non,out,820768
huile de cordes,1,non,out,820768
huile de corne de cerf,1,non,out,820768
huile de crabette,1,non,out,820768
huile de crème,1,non,out,820768
huile de cumin,1,non,out,820768
huile de dégras,0,non,out,820768
huile de faine et de noix,9,non,out,820768
huile de farde,1,non,out,820768
huile de farine,1,non,,37440
huile de Flandre,1,non,out,820768
huile de flanelle,1,non,out,820768
huile de Florence,1,non,out,820768
huile de gaïac,1,non,out,820768
huile de Garonne,1,non,out,820768
huile de genièvre,17,non,out,820768
huile de girofle,49,non,out,820768
huile de girofle à huile aromatique,1,non,,37440
huile de girofle et sassafras,1,non,out,820768
huile de girofle et spirituelle,1,non,out,820768
huile de graine,631,non,out,820768
huile de graine autres que de lin d'oeillettes ou de pavots,2,non,,37440
huile de graine d'anis,1,non,out,820768
huile de graine d'oeillettes ou de pavots,2,non,,37440
huile de graine d'olive,1,non,out,820768
huile de graine de cannelle,1,non,out,820768
huile de graine de colza lin navette etc. et de noix,2,non,out,820768
huile de graine de girofle,1,non,out,820768
huile de graine de lin,5,non,out,820768
huile de graine de macis,1,non,out,820768
huile de graine de moutarde,1,non,out,820768
huile de graine de navette,1,non,out,820768
huile de graine de navette et de chanvre,0,non,out,820768
huile de graine de poisson,1,non,out,820768
huile de graine de Rhodes,1,non,out,820768
huile de graine de térébenthine,1,non,out,820768
huile de graine et de lin,6,non,out,820768
huile de graine et de noix,38,non,out,820768
huile de graine grasse,3,oui,out,820768
huile de graine oléagineuse,5,non,,37440
huile de grains,11,non,out,820768
huile de grains à peinures,1,non,out,820768
huile de graisse,2,non,out,820768
