simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
allemande de poil,10,oui,out,820768
allumettes,135,non,out,820768
allumettes à vin,30,non,out,820768
allumettes de coton,1,non,out,820768
allumettes de mêche soufrée,1,non,out,820768
allumettes droguées,3,non,out,820768
allumettes épicée,2,non,out,820768
allumettes opérées et soufrées,1,non,out,820768
allumettes soufrées,13,non,out,820768
almagro ou crayons rouges,2,non,out,820768
almanachs,1,non,out,820768
almanachs brochés,2,non,out,820768
almanachs en blancs,1,non,out,820768
almanachs enjolivés,2,non,out,820768
almanachs reliés,1,non,out,820768
aloès,257,non,out,820768
aloès cabalin,5,non,out,820768
aloès commun,1,non,out,820768
aloès et opium,2,non,out,820768
aloès hépatique,1,non,out,820768
aloès moyen,2,non,out,820768
aloiset,1,non,out,820768
alose,8,non,out,820768
alose fumée,4,non,out,820768
alose salée,5,non,out,820768
aloues,1,non,out,820768
alouettes,5,non,out,820768
alpargate,36,non,out,820768
alphabets,1,non,out,820768
alpiste,21,non,out,820768
alpiste et millet,9,non,out,820768
alquifoux,495,non,out,820768
alquifoux en galène,2,non,out,820768
alquifoux et mine de plomb,36,non,out,820768
alquifoux mine de plomb ou graphite,23,non,out,820768
alquifoux ou mine de plomb,1,non,out,820768
alquifoux sable plombifère,1,non,out,820768
alquitra,3,non,out,820768
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,non,out,820768
alto basses contrebasses guitare lyres violes violons,2,non,out,820768
alto bassons guitare violons,3,non,out,820768
aluchiabanis,3,oui,out,820768
alun,2475,non,out,820768
alun à cordonnier,1,non,out,820768
alun autre que brûlé ou calciné,2,non,out,820768
alun bon,2,non,out,820768
alun brûlé,1,non,out,820768
alun commun,1,non,out,820768
alun de glace,1,non,out,820768
alun de roche,5,non,out,820768
alun de Rome,3,non,out,820768
alun de Rome fin rosé,1,non,out,820768
alun de Rouen,2,non,out,820768
alun de Surde,2,non,out,820768
alun du Levant,1,non,out,820768
alun en dracy,1,non,out,820768
alun en rame,1,non,out,820768
alun gâté,1,non,out,820768
alun ordinaire,1,non,out,820768
alvés,0,non,out,820768
amadou,335,non,out,820768
amadou et agaric amadouvier,7,non,out,820768
amandes,2218,non,out,820768
amandes à la praline,4,non,out,820768
amandes amères,1,non,out,820768
amandes arachis noisettes noix noyaux,2,non,out,820768
amandes cassée,7,oui,out,820768
amandes cassées,419,non,out,820768
amandes cassées ou en coque,3,oui,out,820768
amandes cassées ou en coques,3,non,,37440
amandes courtes,102,non,out,820768
amandes douces,5,non,out,820768
amandes en coque,438,oui,out,820768
amandes en coques,441,non,,37440
amandes et figue et raisin,33,non,out,820768
amandes et noix et noisettes,100,non,,37440
amandes et pelures et prunes et raisin,0,non,out,820768
amandes et pruneaux,82,non,out,820768
amandes et raisin sec,15,non,out,820768
amandes et raisin sec et savon,1,non,out,820768
amandes et savon,13,non,out,820768
amandes et sucre,25,non,out,820768
amandes et verdet,33,non,out,820768
amandes fraîches,1,non,out,820768
amandes longues,65,non,out,820768
amandes mondées,2,non,out,820768
amandes sèches,64,non,out,820768
amandes sèches et figue sèche et ???,0,non,out,820768
amandes sèches et figue sèche et raisin sec,135,non,out,820768
amarinage,10,non,,37440
amarine,1,non,out,820768
ambrain à grande barrique,1,non,out,820768
ambre,43,non,out,820768
ambre blanc,1,non,out,820768
ambre brut,19,non,out,820768
ambre carabé,21,non,out,820768
ambre carabé jaune,2,non,out,820768
ambre en grains,1,non,out,820768
ambre et corail,1,non,out,820768
ambre gris,38,non,out,820768
ambre jaune,87,non,out,820768
ambre moulu,3,non,out,820768
ameny,,oui,out,820768
amer,3,non,out,820768
amer de laine,1,non,out,820768
amertis,4,non,out,820768
ameublement,2,non,out,820768
ameublement de chitte,1,non,out,820768
ami de toilé,1,non,out,820768
amidon,1287,non,out,820768
amidon alun,1,non,out,820768
amidon en grains,1,non,out,820768
amidon en poudre,1,non,out,820768
amidon et poudre à poudrer,132,non,out,820768
ammoniac,7,non,out,820768
ammoniac et sel,26,non,out,820768
ammonium,1,non,out,820768
amomum,16,non,out,820768
amomum et fèves de tonka et noix de ravensara,2,non,out,820768
amomum verum,2,non,out,820768
amurca,4,non,out,820768
anabasse,121,non,out,820768
anabasse bajutapau,3,non,,37440
anabasse corat nicaneas platille,2,non,,37440
anacardes,2,non,out,820768
anacoste,3,non,out,820768
ananas,12,non,out,820768
ananas confit,2,non,out,820768
ananas et pommes de grenade,8,non,out,820768
ananas planté,1,non,out,820768
anatomie,1,non,out,820768
anatose,3,non,out,820768
anches de tonneaux,2,non,out,820768
anchois,1130,non,out,820768
anchois câpres et olives,10,non,out,820768
anchois câpres etc.,1,non,out,820768
anchois câpres olives,1,non,out,820768
anchois et boutargue,13,non,out,820768
anchois et câpres,5,non,out,820768
anchois et sardes,1,non,out,820768
anchois et sardines,5,non,out,820768
anchois mariné,10,non,out,820768
anchois mariné et salé,39,non,out,820768
anchois salé,2,non,,37440
anchois salé et mariné,2,non,out,820768
anchois salés,4,non,out,820768
anchois salés et marinés,9,non,out,820768
ancres,56,non,out,820768
ancres de chaudon,1,non,out,820768
ancres de fer,580,non,out,820768
ancres de fer à chaudrons,1,non,out,820768
ancres de fer au-dessus de 250 kilogrammes,1,non,out,820768
ancres de fer de 250 kilogrammes et au-dessous,1,non,out,820768
ancres de fer et embarcations,2,non,out,820768
ancres et embarcations,5,non,out,820768
ancres et grappins de fer,1,non,out,820768
ancres et ouvrages de fer,2,non,,37440
ancres gravelées,1,non,out,820768
ancres neuves,3,non,out,820768
ancres vides,3,non,out,820768
ancres vieilles,1,non,out,820768
ancres vieilles vides,1,non,out,820768
andolium,5,non,out,820768
andouilles,43,non,out,820768
andouillette,1,non,out,820768
ânes,175,non,out,820768
ânes et ânesses,97,non,out,820768
ânes et mulets,11,non,out,820768
ânesses,1,non,out,820768
angélique,28,non,out,820768
angélique du Rozème,1,non,out,820768
anguilles,25,non,out,820768
anguilles et truites,118,non,out,820768
anguilles fraîches,1,non,out,820768
anguilles marinées,1,non,out,820768
anguilles salées,22,non,out,820768
anille,1,non,out,820768
animaux,5,non,out,820768
anis,575,non,out,820768
anis et rac et rhum etc.,101,non,out,820768
anis et sucre,1,non,out,820768
anis vert,94,non,out,820768
anis vert à distiller,2,non,out,820768
anisette,112,non,out,820768
anisette au fiasque,6,non,out,820768
anisette de Bordeaux,2,non,out,820768
anneau de cuivre,1,non,out,820768
anneau de fer,2,non,out,820768
anneaux de cuivre,1,non,out,820768
anneaux de fer,1,non,out,820768
ânon,2,non,out,820768
anspects,118,non,out,820768
anspects de 3 à 4 pieds,1,non,out,820768
anspects de bois,21,non,out,820768
anspects de sapin,1,non,out,820768
antale,3,non,out,820768
antale et cauris,1,non,out,820768
antchibanis,9,oui,out,820768
antenelle,1,non,out,820768
antennes,2,non,out,820768
antennes et mâts de bateaux,1,non,out,820768
antimoine,283,non,out,820768
antimoine cru,27,non,out,820768
antimoine métallique et sulfuré,2,non,out,820768
antimoine préparé,2,non,out,820768
antimoine vert,1,non,out,820768
antofle,1,non,out,820768
antofle de girofle,11,non,out,820768
apasier,1,non,out,820768
apier,3,non,out,820768
apios,7,non,out,820768
apparaux,1,non,,37440
apparaux et bâtiments de mer,38,non,out,820768
apprêtée à toiler les livres,2,non,out,820768
apprêtée pour parchemins,2,non,out,820768
apprêts,0,non,,37440
arachis olives fraîches,1,non,out,820768
arains,6,non,out,820768
arak,17,non,out,820768
arbalètes,7,non,out,820768
arbalètrie et cartes marines,1,non,,37440
arbalètrrie et cartes marines,,oui,out,820768
arbres,51,non,out,820768
arbres à fruits,2,non,out,820768
arbres à planter,141,non,out,820768
arbres à planter pommiers,1,non,,37440
arbres châtaignier,4,non,out,820768
arbres d' ???,1,non,out,820768
arbres d'auban,1,non,out,820768
arbres de sapin,1,non,out,820768
arbres et arbrisseaux,25,non,out,820768
arbres et arbrisseaux à fruits,134,non,out,820768
arbres et arbrisseaux sauvages,138,non,out,820768
arbres et arbustes,6,non,out,820768
arbres et plants,1,non,out,820768
arbres fruitiers,94,non,out,820768
arbres marronniers à planter,1,non,out,820768
arbres nains,1,non,out,820768
arbres tilleul,3,non,out,820768
arbrisseaux,9,non,out,820768
arbustes,4,non,out,820768
arcanette,1,non,out,820768
arcanie,1,non,out,820768
arcanson,4,non,out,820768
arcanum duplicatum,2,non,out,820768
archets de violons,19,non,out,820768
archets et violon,1,non,out,820768
archiabanis,2,oui,out,820768
arçons de bas de bois,1,non,out,820768
arçons de bois,1,non,out,820768
arçons de selles,23,non,out,820768
arçons démontés,1,non,out,820768
ardoise,382,non,out,820768
ardoise à piler,1,non,out,820768
ardoise commune,215,non,out,820768
ardoise dite chérubin et à mortier,63,non,out,820768
ardoise dite grande voisine,2,non,out,820768
ardoise dite moyenne voisine,3,non,out,820768
ardoise dite petite voisine,2,non,out,820768
ardoise dite voisine grande moyenne et petite,7,non,out,820768
ardoise en carreaux,2,non,out,820768
ardoise en carreaux et d'1 pied carré,1,non,out,820768
ardoise en carreaux ou en table,7,non,out,820768
ardoise en livret,7,non,out,820768
ardoise encadrée,2,non,out,820768
ardoise encadrée et en livret,71,non,out,820768
ardoise non travaillée,8,non,out,820768
ardoise pour fenêtre,6,non,out,820768
ardoise pour toiture,8,non,out,820768
ardoise pour toiture au kilogramme,1,non,out,820768
ardoise pour toiture au nombre,2,non,out,820768
ardoise verte,1,non,out,820768
ardoises,2,non,,37440
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,non,out,820768
arelles de baleine,1,non,out,820768
argent,12,non,out,820768
argent battu,1,non,out,820768
argent battu et en feuille,2,non,out,820768
argent battu filé laminé et tiré,3,non,out,820768
argent brisé et en lingots et en masses,1,non,out,820768
argent brûlé,7,non,out,820768
argent brut,1,non,out,820768
argent brut en lingot et en masse ouvrages détruits,2,non,out,820768
argent carragoux,2,non,out,820768
argent en barils,2,non,out,820768
argent en barres,17,non,out,820768
argent en lingots,27,non,out,820768
argent en lingots par Calais,1,non,out,820768
argent et or,237,non,out,820768
argent et or billon,8,non,out,820768
argent faux,9,non,out,820768
argent faux en fil cantilles etc.,3,non,out,820768
argent faux et or faux,53,non,out,820768
argent faux et or faux traits,5,non,out,820768
argent fin,1,non,out,820768
argent monnayé et nogat d'or,4,non,out,820768
argent vif,3,non,out,820768
argenterie,733,non,out,820768
argenterie épée,7,non,out,820768
argenterie et bijouterie,21,non,out,820768
argenterie et bijouterie et orfèvrerie,1,non,out,820768
argenterie et orfèvrerie,122,non,out,820768
argenterie et orfèvrerie vermeil,37,non,out,820768
argenterie neuve,4,non,out,820768
argenterie vieille,11,non,out,820768
argenterie vieille en couverts,1,non,,37440
argenterie vieille et bijouterie d'argent,2,non,,37440
argile et terre pour engrais,15,non,out,820768
arins,1,non,out,820768
aristoloche,68,non,out,820768
armement de tables,3,non,out,820768
armes,345,non,out,820768
armes à feu,350,non,out,820768
armes à feu de guerre,2,non,out,820768
armes à feu de guerre et de traite,1,non,out,820768
armes à feu de guerre portatives,2,non,out,820768
armes à feu de luxe,4,non,out,820768
armes à feu de luxe ou de traite,3,non,out,820768
armes à feu de munitions,2,non,out,820768
armes à feu de munitions fines,4,non,out,820768
armes à feu de traite,1,non,out,820768
armes à feu et artillerie,1,non,out,820768
armes à feu et de traite,1,non,out,820768
armes à feu et fusils,1,non,out,820768
armes armureries,1,non,out,820768
armes autres que de guerre à feu,1,non,out,820768
armes autres que de guerre blanches,1,non,out,820768
armes blanches,190,non,out,820768
armes blanches à feu et artillerie,5,oui,,37440
armes blanches de guerre,1,non,out,820768
armes blanches de guerre et de traite,1,non,out,820768
armes blanches de luxe,2,non,out,820768
armes blanches de luxe ou de traite,3,non,out,820768
armes blanches de traite,1,non,out,820768
armes de chasse ou de luxe à feu,2,non,out,820768
armes de chasse ou de luxe blanches,2,non,out,820768
armes de guerre,2,non,out,820768
armes différentes,1,non,out,820768
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,non,out,820768
armes et munitions,9,non,out,820768
armes lames,1,non,out,820768
armes remontrances,3,non,out,820768
armoires,57,non,out,820768
armoires ayant servi,1,non,out,820768
armoires d'acajou,12,non,out,820768
armoires de bois,2,non,out,820768
armoires de bois de noyer,1,non,out,820768
armoires de bois de sapin peintes,0,non,out,820768
armoires de bois des Indes,1,non,out,820768
armoires de chêne,9,non,out,820768
armoires de chêne ornée,1,non,out,820768
armoires de noyer,9,non,out,820768
armoires de sapin,4,non,out,820768
armoires et commodes,1,non,out,820768
armoires vieilles,2,non,out,820768
armoisin,46,non,out,820768
armure de fer,1,non,out,820768
armure vieille,1,non,out,820768
arnas,1,non,out,820768
arpois,1,oui,out,820768
arquebuse,1,non,out,820768
arrangas,1,non,out,820768
arrosoirs,7,non,out,820768
arrosoirs de bois,2,non,out,820768
arrosoirs de cuivre,1,non,out,820768
arrosoirs de fer,1,non,out,820768
arrosoirs de fer-blanc,6,non,out,820768
arrosoirs de sapin,1,non,out,820768
arrosoirs de terre,1,non,out,820768
arrowroot,1,non,out,820768
arséniate de potasse,2,non,out,820768
arsenic,476,non,out,820768
arsenic métallique,6,non,out,820768
artichauts,82,non,out,820768
artichauts champignons et truffes,2,non,out,820768
artichauts confits,67,non,out,820768
artichauts frais,17,non,out,820768
