goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
aiguilles et épingles,1,Not coffee,non,442379,551912
aiguilles et épingles de mercerie fine,3,Not coffee,non,442379,551912
aiguilles et mercerie fine,2,Not coffee,non,442379,551912
aiguilles grosses,1,Not coffee,non,442379,551912
aiguilles pour voile,37,Not coffee,non,442379,551912
aiguillettes,1,Not coffee,non,442379,551912
ail,2,Not coffee,non,442379,551912
ailes,4,Not coffee,non,442379,551912
ailes de fléaux,1,Not coffee,non,442379,551912
ailes de moulins,1,Not coffee,non,442379,551912
ailor,1,Not coffee,non,442379,551912
ails,204,Not coffee,non,442379,551912
ails à fauches,1,Not coffee,non,442379,551912
ails blancs à casser,1,Not coffee,non,442379,551912
aimant,1,Not coffee,non,442379,551912
ains à pêcher,43,Not coffee,non,442379,551912
ains et lignes à pêcher,2,Not coffee,non,442379,551912
airain,6,Not coffee,non,442379,551912
airain non ouvré,4,Not coffee,non,442379,551912
ajustements,37,Not coffee,non,442379,551912
ajustements de femme,5,Not coffee,non,442379,551912
ajustements de soie,2,Not coffee,non,442379,551912
alambics,17,Not coffee,non,442379,551912
alambics d'étain,17,Not coffee,non,442379,551912
alambics de cuivre,2,Not coffee,non,442379,551912
alambics de terre,1,Not coffee,non,442379,551912
alana,2,Not coffee,non,442379,551912
alazar,2,Not coffee,non,442379,551912
albâtre,5,Not coffee,non,442379,551912
albâtre brut,3,Not coffee,non,442379,551912
albâtre et marbre brut et poli,21,Not coffee,non,442379,551912
albâtre moulé poli ou sculpté,6,Not coffee,non,442379,551912
alcalis autre que natron et soude,2,Not coffee,non,442379,551912
alcalis salin,1,Not coffee,non,442379,551912
alènes,5,Not coffee,non,442379,551912
alibanies,97,Not coffee,non,442379,551912
alizari,16,Not coffee,non,442379,551912
alizari et garance,165,Not coffee,non,442379,551912
alizari sèche,7,Not coffee,non,442379,551912
alkermés,1,Not coffee,non,442379,551912
alkermès en grains,23,Not coffee,non,442379,551912
allaya,84,Not coffee,non,442379,551912
alleaux,1,Not coffee,non,442379,551912
allemande de poil,10,Not coffee,non,442379,551912
allumettes,54,Not coffee,non,442379,551912
allumettes à vin,29,Not coffee,non,442379,551912
allumettes de coton,1,Not coffee,non,442379,551912
allumettes de mêche soufrée,1,Not coffee,non,442379,551912
allumettes droguées,3,Not coffee,non,442379,551912
allumettes épicée,2,Not coffee,non,442379,551912
allumettes opérées et soufrées,1,Not coffee,non,442379,551912
allumettes soufrées,12,Not coffee,non,442379,551912
almagro ou crayon rouge,1,Not coffee,non,442379,551912
almanachs,1,Not coffee,non,442379,551912
almanachs brochés,2,Not coffee,non,442379,551912
almanachs en blancs,1,Not coffee,non,442379,551912
almanachs enjolivés,1,Not coffee,non,442379,551912
almanachs reliés,1,Not coffee,non,442379,551912
aloès,229,Not coffee,non,442379,551912
aloès cabalin,6,Not coffee,non,442379,551912
aloès commun,1,Not coffee,non,442379,551912
aloès et opium,2,Not coffee,non,442379,551912
aloès hépatique,1,Not coffee,non,442379,551912
aloès moyen,2,Not coffee,non,442379,551912
aloiset,1,Not coffee,non,442379,551912
alose,2,Not coffee,non,442379,551912
alose fumée,1,Not coffee,non,442379,551912
alose salée,5,Not coffee,non,442379,551912
aloues,1,Not coffee,non,442379,551912
alouettes,4,Not coffee,non,442379,551912
alpargate,37,Not coffee,non,442379,551912
alphabets,1,Not coffee,non,442379,551912
alpiste,20,Not coffee,non,442379,551912
alpiste et millet,9,Not coffee,non,442379,551912
alquifoux,479,Not coffee,non,442379,551912
alquifoux en galène,2,Not coffee,non,442379,551912
alquifoux et mine de plomb,36,Not coffee,non,3536,551912
alquifoux mine de plomb ou graphite,23,Not coffee,non,3536,551912
alquifoux ou mine de plomb,1,Not coffee,non,3536,551912
alquifoux sable plombifère,1,Not coffee,non,3536,551912
alquitra,3,Not coffee,non,442379,551912
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,Not coffee,non,442379,551912
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,Not coffee,oui,442379,551912
alto basses contrebasses guitare lyres violes violons,2,Not coffee,non,442379,551912
alto basses contrebasses guitares lyres violes violons,0,Not coffee,oui,442379,551912
alto bassons guitare violons,3,Not coffee,non,442379,551912
alto bassons guitares violons,0,Not coffee,oui,442379,551912
aluchiabanis,3,Not coffee,non,442379,551912
alun,1872,Not coffee,non,1897,551912
alun à cordonnier,1,Not coffee,non,1897,551912
alun autre que brûlé ou calciné,2,Not coffee,non,1897,551912
alun bon,2,Not coffee,non,1897,551912
alun brûlé,1,Not coffee,non,1897,551912
alun commun,1,Not coffee,non,1897,551912
alun de glace,1,Not coffee,non,1897,551912
alun de roche,5,Not coffee,non,1897,551912
alun de Rome,3,Not coffee,non,1897,551912
alun de Rome fin rosé,1,Not coffee,non,1897,551912
alun de Rouen,2,Not coffee,non,1897,551912
alun de Surde,2,Not coffee,non,1897,551912
alun du Levant,1,Not coffee,non,1897,551912
alun en dracy,1,Not coffee,non,1897,551912
alun en rame,1,Not coffee,non,442379,551912
alun gâté,1,Not coffee,non,1897,551912
alun ordinaire,1,Not coffee,non,1897,551912
alvés,2,Not coffee,non,442379,551912
amadou,225,Not coffee,non,442379,551912
amadou et agaric amadouvier,7,Not coffee,non,442379,551912
amandes,1207,Not coffee,non,12010,551912
amandes à la praline,4,Not coffee,non,12010,551912
amandes amères,1,Not coffee,non,12010,551912
amandes arachis noisettes noix noyaux,2,Not coffee,non,12010,551912
amandes cassée,6,Not coffee,non,12010,551912
amandes cassées,384,Not coffee,non,12010,551912
amandes cassées ou en coque,3,Not coffee,non,12010,551912
amandes courtes,1,Not coffee,non,12010,551912
amandes douces,4,Not coffee,non,12010,551912
amandes en coque,300,Not coffee,non,12010,551912
amandes et figue et raisin,24,Not coffee,non,12010,551912
amandes et pelures et prunes et raisin,1,Not coffee,non,12010,551912
amandes et pruneaux,2,Not coffee,non,12010,551912
amandes et raisin sec,2,Not coffee,non,12010,551912
amandes et raisin sec et savon,1,Not coffee,non,12010,551912
amandes et savon,2,Not coffee,non,12010,551912
amandes et sucre,1,Not coffee,non,12010,551912
amandes et verdet,1,Not coffee,non,12010,551912
amandes et vert-de-gris,0,Not coffee,oui,12010,551912
amandes fraîches,1,Not coffee,non,12010,551912
amandes longues,1,Not coffee,non,12010,551912
amandes mondées,2,Not coffee,non,12010,551912
amandes sèches,64,Not coffee,non,12010,551912
amandes sèches et figue sèche et ???,9,Not coffee,non,12010,551912
amandes sèches et figue sèche et raisin sec,135,Not coffee,non,12010,551912
amaril,1,Not coffee,oui,12010,551912
amarine,1,Not coffee,non,442379,551912
ambrain à grande barrique,1,Not coffee,non,442379,551912
ambre,42,Not coffee,non,442379,551912
ambre blanc,1,Not coffee,non,442379,551912
ambre brut,1,Not coffee,non,442379,551912
ambre carabé,21,Not coffee,non,442379,551912
ambre carabé jaune,2,Not coffee,non,442379,551912
ambre en grains,1,Not coffee,non,442379,551912
ambre et corail,1,Not coffee,non,442379,551912
ambre gris,36,Not coffee,non,442379,551912
ambre gris castoréum civette musc,0,Not coffee,oui,442379,551912
ambre jaune,72,Not coffee,non,442379,551912
ambre moulu,2,Not coffee,non,442379,551912
ameny,1,Not coffee,non,442379,551912
amer,3,Not coffee,non,442379,551912
amer de laine,1,Not coffee,non,442379,551912
amertis,4,Not coffee,non,442379,551912
ameublement,2,Not coffee,non,442379,551912
ameublement de chitte,1,Not coffee,non,442379,551912
ami de toilé,1,Not coffee,non,442379,551912
amidon,1166,Not coffee,non,442379,551912
amidon alun,1,Not coffee,non,442379,551912
amidon en grains,1,Not coffee,non,442379,551912
amidon en poudre,1,Not coffee,non,442379,551912
amidon et poudre à poudrer,1,Not coffee,non,442379,551912
ammoniac,7,Not coffee,non,442379,551912
ammoniac et sel,21,Not coffee,non,442379,551912
ammonium,5,Not coffee,non,442379,551912
amomum,10,Not coffee,non,442379,551912
amomum et fèves de tonka et noix de ravensara,2,Not coffee,non,442379,551912
amomum verum,2,Not coffee,non,442379,551912
amurca,4,Not coffee,non,442379,551912
anabasse,121,Not coffee,non,442379,551912
anabasse ; bajutapau,3,Not coffee,non,442379,551912
anabasse ; corat ; nicaneas ; platille,2,Not coffee,non,442379,551912
anacardes,2,Not coffee,non,442379,551912
anacoste,3,Not coffee,non,442379,551912
ananas,1,Not coffee,non,442379,551912
ananas confit,2,Not coffee,non,442379,551912
ananas et pommes de grenade,1,Not coffee,non,442379,551912
ananas planté,1,Not coffee,non,442379,551912
anatomie,1,Not coffee,non,442379,551912
anatose,3,Not coffee,non,442379,551912
anches de tonneaux,2,Not coffee,non,442379,551912
anchois,851,Not coffee,non,442379,551912
anchois câpres et olives,10,Not coffee,non,442379,551912
anchois câpres etc.,1,Not coffee,non,442379,551912
anchois câpres olives,1,Not coffee,non,442379,551912
anchois et boutargue,13,Not coffee,non,442379,551912
anchois et câpres,5,Not coffee,non,442379,551912
anchois et sardes,1,Not coffee,non,442379,551912
anchois et sardines,5,Not coffee,non,442379,551912
anchois mariné,6,Not coffee,non,442379,551912
anchois mariné et salé,39,Not coffee,non,442379,551912
anchois salé et mariné,2,Not coffee,non,442379,551912
anchois salés,5,Not coffee,non,442379,551912
anchois salés et marinés,9,Not coffee,non,442379,551912
ancres,5,Not coffee,non,442379,551912
ancres de chaudon,1,Not coffee,non,442379,551912
ancres de fer,553,Not coffee,non,442379,551912
ancres de fer à chaudrons,1,Not coffee,non,442379,551912
ancres de fer au-dessus de 250 kilogrammes,1,Not coffee,non,442379,551912
ancres de fer de 250 kilogrammes et au-dessous,1,Not coffee,non,442379,551912
ancres de fer et embarcations,2,Not coffee,non,442379,551912
ancres et embarcations,5,Not coffee,non,442379,551912
ancres et grappins de fer,1,Not coffee,non,442379,551912
ancres gravelées,1,Not coffee,non,442379,551912
ancres neuves,3,Not coffee,non,442379,551912
ancres vides,4,Not coffee,non,442379,551912
ancres vieilles,1,Not coffee,non,442379,551912
ancres vieilles vides,1,Not coffee,non,442379,551912
andolium,2,Not coffee,non,442379,551912
andouilles,43,Not coffee,non,442379,551912
andouillette,1,Not coffee,non,442379,551912
ânes,174,Not coffee,non,442379,551912
ânes et ânesses,9,Not coffee,non,442379,551912
ânes et mulets,11,Not coffee,non,442379,551912
ânesses,1,Not coffee,non,442379,551912
angélique,28,Not coffee,non,442379,551912
angélique du Rozème,1,Not coffee,non,442379,551912
anguilles,22,Not coffee,non,442379,551912
anguilles et truites,1,Not coffee,non,442379,551912
anguilles fraîches,1,Not coffee,non,442379,551912
anguilles marinées,1,Not coffee,non,442379,551912
anguilles salées,22,Not coffee,non,442379,551912
anille,1,Not coffee,non,442379,551912
animaux,5,Not coffee,non,442379,551912
anis,520,Not coffee,non,442379,551912
anis et rac et rhum etc.,2,Not coffee,non,442379,551912
anis et sucre,1,Not coffee,non,7148,551912
anis étoilé,0,Not coffee,oui,442379,551912
anis vert,94,Not coffee,non,442379,551912
anis vert à distiller,2,Not coffee,non,442379,551912
anisette,113,Not coffee,non,442379,551912
anisette au fiasque,6,Not coffee,non,442379,551912
anisette de Bordeaux,2,Not coffee,non,442379,551912
anneau de cuivre,1,Not coffee,non,442379,551912
anneau de fer,2,Not coffee,non,442379,551912
anneaux de cuivre,1,Not coffee,non,442379,551912
anneaux de fer,1,Not coffee,non,442379,551912
ânon,2,Not coffee,non,442379,551912
anspects,124,Not coffee,non,442379,551912
anspects de 3 à 4 pieds,1,Not coffee,non,442379,551912
anspects de bois,27,Not coffee,non,442379,551912
anspects de sapin,1,Not coffee,non,442379,551912
antale,3,Not coffee,non,442379,551912
antale et cauris,1,Not coffee,non,442379,551912
antchibanis,9,Not coffee,non,442379,551912
antenelle,1,Not coffee,non,442379,551912
antennes,2,Not coffee,non,442379,551912
antennes et mâts de bateaux,1,Not coffee,non,442379,551912
antimoine,221,Not coffee,non,442379,551912
antimoine cru,27,Not coffee,non,442379,551912
antimoine métallique et sulfuré,2,Not coffee,non,442379,551912
antimoine préparé,2,Not coffee,non,442379,551912
antimoine vert,1,Not coffee,non,442379,551912
antofle,1,Not coffee,non,442379,551912
antofle de girofle,11,Not coffee,non,442379,551912
apasier,1,Not coffee,non,442379,551912
apier,3,Not coffee,non,442379,551912
apios,7,Not coffee,non,442379,551912
apparaux et bâtiments de mer,38,Not coffee,non,442379,551912
apprêtée à toiler les livres,1,Not coffee,non,442379,551912
apprêtée pour parchemins,1,Not coffee,non,442379,551912
arachis olives fraîches,1,Not coffee,non,442379,551912
arains,6,Not coffee,non,442379,551912
arak,17,Not coffee,non,442379,551912
arbalètes,1,Not coffee,non,442379,551912
arbalètrrie et cartes marines,1,Not coffee,non,442379,551912
arbres,7,Not coffee,non,442379,551912
arbres à fruits,2,Not coffee,non,442379,551912
arbres à planter,142,Not coffee,non,442379,551912
arbres châtaignier,4,Not coffee,non,442379,551912
arbres d' ???,1,Not coffee,non,442379,551912
arbres d'auban,1,Not coffee,non,442379,551912
arbres de sapin,1,Not coffee,non,442379,551912
arbres et arbrisseaux,25,Not coffee,non,442379,551912
arbres et arbrisseaux à fruits,1,Not coffee,non,442379,551912
arbres et arbrisseaux sauvages,1,Not coffee,non,442379,551912
arbres et arbustes,6,Not coffee,non,442379,551912
arbres et plants,1,Not coffee,non,442379,551912
arbres fruitiers,87,Not coffee,non,442379,551912
arbres marronniers à planter,1,Not coffee,non,442379,551912
arbres nains,1,Not coffee,non,442379,551912
arbres tilleul,3,Not coffee,non,442379,551912
arbrisseaux,9,Not coffee,non,442379,551912
arbustes,3,Not coffee,non,442379,551912
arcanette,1,Not coffee,non,442379,551912
arcanie,1,Not coffee,non,442379,551912
arcanson,4,Not coffee,non,442379,551912
arcanum duplicatum,2,Not coffee,non,442379,551912
archets de violons,1,Not coffee,non,442379,551912
archets et violon,1,Not coffee,non,442379,551912
archiabanis,2,Not coffee,non,442379,551912
arçons de bas de bois,1,Not coffee,non,442379,551912
arçons de bois,1,Not coffee,non,442379,551912
arçons de selles,14,Not coffee,non,442379,551912
arçons démontés,1,Not coffee,non,442379,551912
ardoise,365,Not coffee,non,442379,551912
ardoise à piler,1,Not coffee,non,442379,551912
ardoise commune,2,Not coffee,non,442379,551912
ardoise dite chérubin et à mortier,1,Not coffee,non,442379,551912
ardoise dite grande voisine,1,Not coffee,non,442379,551912
ardoise dite moyenne voisine,1,Not coffee,non,442379,551912
ardoise dite petite voisine,1,Not coffee,non,442379,551912
ardoise dite voisine grande moyenne et petite,2,Not coffee,non,442379,551912
ardoise en carreaux,1,Not coffee,non,442379,551912
ardoise en carreaux et d'1 pied carré,1,Not coffee,non,442379,551912
ardoise en carreaux ou en table,7,Not coffee,non,442379,551912
ardoise en livret,1,Not coffee,non,442379,551912
ardoise encadrée,1,Not coffee,non,442379,551912
ardoise encadrée et en livret,1,Not coffee,non,442379,551912
ardoise non travaillée,1,Not coffee,non,442379,551912
ardoise pour fenêtre,6,Not coffee,non,442379,551912
ardoise pour toiture,8,Not coffee,non,442379,551912
ardoise pour toiture au kilogramme,1,Not coffee,non,442379,551912
ardoise pour toiture au nombre,2,Not coffee,non,442379,551912
ardoise verte,1,Not coffee,non,442379,551912
ardoises,0,Not coffee,oui,442379,551912
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,Not coffee,non,442379,551912
arelles de baleine,1,Not coffee,non,442379,551912
argent,11,Not coffee,non,442379,551912
argent battu,1,Not coffee,non,442379,551912
argent battu et en feuille,2,Not coffee,non,442379,551912
argent battu filé laminé et tiré,3,Not coffee,non,442379,551912
argent brisé et en lingots et en masses,1,Not coffee,non,442379,551912
argent brûlé,1,Not coffee,non,442379,551912
argent brut,1,Not coffee,non,442379,551912
argent brut en lingot et en masse ouvrages détruits,2,Not coffee,non,442379,551912
argent carragoux,2,Not coffee,non,442379,551912
argent en barils,1,Not coffee,non,442379,551912
argent en barres,2,Not coffee,non,442379,551912
argent en lingots,18,Not coffee,non,442379,551912
argent en lingots par Calais,1,Not coffee,non,442379,551912
argent et or,237,Not coffee,non,442379,551912
argent et or billon,1,Not coffee,non,442379,551912
argent faux,9,Not coffee,non,442379,551912
argent faux en fil cantilles etc.,2,Not coffee,non,442379,551912
argent faux et or faux,53,Not coffee,non,442379,551912
argent faux et or faux traits,1,Not coffee,non,442379,551912
argent fin,1,Not coffee,non,442379,551912
argent monnayé et nogat d'or,4,Not coffee,non,442379,551912
argent talari,0,Not coffee,oui,442379,551912
argent vif,3,Not coffee,non,442379,551912
argenterie,732,Not coffee,non,442379,551912
argenterie épée,7,Not coffee,non,442379,551912
argenterie et bijouterie,14,Not coffee,non,442379,551912
argenterie et bijouterie et orfèvrerie,1,Not coffee,non,442379,551912
argenterie et orfévrerie,0,Not coffee,oui,442379,551912
argenterie et orfèvrerie,122,Not coffee,non,442379,551912
argenterie et orfèvrerie vermeil,37,Not coffee,non,442379,551912
argenterie neuve,4,Not coffee,non,442379,551912
argenterie vieille,12,Not coffee,non,442379,551912
argile et terre pour engrais,15,Not coffee,non,442379,551912
arins,1,Not coffee,non,442379,551912
aristoloche,68,Not coffee,non,442379,551912
armement de tables,3,Not coffee,non,442379,551912
armes,251,Not coffee,non,442379,551912
armes à feu,368,Not coffee,non,442379,551912
armes à feu de guerre,2,Not coffee,non,442379,551912
armes à feu de guerre et de traite,1,Not coffee,non,442379,551912
armes à feu de guerre portatives,2,Not coffee,non,442379,551912
armes à feu de luxe,4,Not coffee,non,442379,551912
armes à feu de luxe ou de traite,3,Not coffee,non,442379,551912
armes à feu de munitions,2,Not coffee,non,442379,551912
armes à feu de munitions fines,4,Not coffee,non,442379,551912
armes à feu de traite,1,Not coffee,non,442379,551912
armes à feu et artillerie,1,Not coffee,non,442379,551912
armes à feu et de traite,1,Not coffee,non,442379,551912
armes à feu et fusils,1,Not coffee,non,442379,551912
armes armureries,1,Not coffee,non,442379,551912
armes autres que de guerre à feu,1,Not coffee,non,442379,551912
armes autres que de guerre blanches,1,Not coffee,non,442379,551912
armes blanches,201,Not coffee,non,442379,551912
armes blanches de guerre,1,Not coffee,non,442379,551912
armes blanches de guerre et de traite,1,Not coffee,non,442379,551912
armes blanches de luxe,2,Not coffee,non,442379,551912
armes blanches de luxe ou de traite,3,Not coffee,non,442379,551912
armes blanches de traite,1,Not coffee,non,442379,551912
armes de chasse ou de luxe à feu,2,Not coffee,non,442379,551912
armes de chasse ou de luxe blanches,2,Not coffee,non,442379,551912
