simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
ouvrages de terre en postures,0,Ouvrages divers et mélangés,non,16505
ouvrages de toile,18,Toiles diverses,non,11364
ouvrages de toile pour linge de table,1,Toiles diverses,non,11364
ouvrages de tôle,1,Ouvrages métalliques,non,20598
ouvrages de tonnelier,18,"Ouvrages de bois, liège et jonc",non,32327
ouvrages de tonnelier en feuilles,1,"Ouvrages de bois, liège et jonc",non,32327
ouvrages de tonnellerie,2,"Ouvrages de bois, liège et jonc",non,32327
ouvrages de tourneur,15,Ouvrages divers et mélangés,non,16505
ouvrages de vannerie de bois et d'osier,19,"Ouvrages de bois, liège et jonc",non,32327
ouvrages de verre,11,Verrerie,non,6073
ouvrages de verre en ???,4,Verrerie,non,6073
ouvrages de verre en bossage,1,Verrerie,non,6073
ouvrages de verre en rassades,8,Verrerie,non,6073
ouvrages de verres,21,Verrerie,non,6073
ouvrages de zinc,2,Ouvrages métalliques,non,20598
ouvrages devant,0,Ouvrages divers et mélangés,non,16505
ouvrages divers,322,Ouvrages divers et mélangés,non,16505
ouvrages divers d'étain,3,Ouvrages métalliques,non,20598
ouvrages dorés,1,Dorure,non,987
ouvrages dorés argentés et plaqués,20,Ouvrages divers et mélangés,non,16505
ouvrages dorure fausse,58,Dorure,non,987
ouvrages en argenture et dorure,1,Dorure,non,987
ouvrages en brique vernissée,1,Ouvrages divers et mélangés,non,16505
ouvrages en cheveux,2,Ouvrages divers et mélangés,non,16505
ouvrages en cuivre plaqué doré et argenté,38,Ouvrages métalliques,non,20598
ouvrages en dorure,4,Dorure,non,987
ouvrages en dorure argent faux,1,Dorure,non,987
ouvrages en dorure fil d'argent,1,Dorure,non,987
ouvrages en dorure fine,30,Dorure,non,987
ouvrages en dorure sur soie,1,Dorure,non,987
ouvrages en esparballe,1,Ouvrages divers et mélangés,non,16505
ouvrages en fleurs artificielles,47,Fleurs artificielles et ouvrages de mode,non,1612
ouvrages en futaillerie et de Saint-Claude,1,"Ouvrages de bois, liège et jonc",non,32327
ouvrages en harnais et sellerie,33,Cordonnerie et sellerie,non,2064
ouvrages en ivoire et écaille,2,Ouvrages divers et mélangés,non,16505
ouvrages en lames à couvrir,1,Ouvrages divers et mélangés,non,16505
ouvrages en marbre,4,Marbre brut et ouvré,non,1582
ouvrages en métal,1,Ouvrages métalliques,non,20598
ouvrages en métal et fer,1,Ouvrages métalliques,non,20598
ouvrages en métaux communs argentés dorés plaqués vernissés,4,Ouvrages métalliques,non,20598
ouvrages en métaux communs plaqués,2,Ouvrages métalliques,non,20598
ouvrages en nacre de perle,1,Ouvrages divers et mélangés,non,16505
ouvrages en nattes de bois,0,"Ouvrages de bois, liège et jonc",non,32327
ouvrages en nattes de Moscovie,0,"Ouvrages de bois, liège et jonc",non,32327
ouvrages en passementerie ordinaire,13,Rubanerie et passementerie diverse,non,1858
ouvrages en pierres,8,Ouvrages divers et mélangés,non,16505
ouvrages en poil autres que le tissu,2,Ouvrages divers et mélangés,non,16505
ouvrages en terre cuite,86,"Porcelaine, poterie, faïence et ouvrages de terre",oui,7632
ouvrages en tôle vernie,4,Ouvrages métalliques,non,20598
ouvrages et ornements pour une église,1,Ouvrages divers et mélangés,non,16505
ouvrages et outils d'horlogerie,0,Horlogerie,non,1151
ouvrages pantoufles,2,Ouvrages divers et mélangés,non,16505
ouvrages riches et divers,2,Ouvrages divers et mélangés,oui,16505
ouvrages tricotés pour vestes camisoles et culottes,0,Habits et lingerie,non,8220
oxyde d'étain et de fer,4,Drogues diverses,non,10513
oxyde de cuivre,1,Drogues diverses,non,10513
oxyde de manganèse,2,Drogues diverses,non,10513
oxyde de plomb,0,Drogues diverses,non,10513
oxyde de zinc blanc,1,Drogues diverses,non,10513
oxyde de zinc blanc ou gris,2,Drogues diverses,non,10513
oxyde de zinc gris cendré,37,Drogues diverses,non,10513
P ???,1,Produits inconnus,non,7059
packlaeken,0,Étoffes de laine,non,13973
packlaeken blanc,0,Étoffes de laine,non,13973
packlaeken teint,0,Étoffes de laine,non,13973
padoux,30,Rubanerie et passementerie diverse,non,1858
padoux de fil,17,Rubanerie et passementerie diverse,non,1858
padoux de fleuret et soie,1,Rubanerie et passementerie de soie,non,1886
padoux de laine,1,Rubanerie et passementerie diverse,non,1858
paesures,1,Produits inconnus,non,7059
pagas,1,Produits inconnus,non,7059
pagne,11,Habits et lingerie,non,8220
paillasses,1,Textiles manufacturés divers et mélangés,non,1795
paillassons et tapis de sol,41,Textiles manufacturés divers et mélangés,non,1795
paille,115,Matières premières diverses,non,15181
paille d'herbe,2,Matières premières diverses,non,15181
paille de foin,1,Matières premières diverses,non,15181
paille de lin,5,Matières premières diverses,non,15181
paille dite chaume à couvrir toits,0,Matières premières diverses,non,15181
paille et herbes de pâturage,3,Matières premières diverses,non,15181
paille hachée,0,Matières premières diverses,non,15181
paille pour chaise,1,Matières premières diverses,non,15181
paillers d'espars,4,Produits inconnus,non,7059
pailles de bois,1,Matières premières diverses,non,15181
paillettes d' ???,1,Monnaies et métaux précieux,non,1024
paillettes d'argent,1,Monnaies et métaux précieux,non,1024
paillettes d'or,3,Monnaies et métaux précieux,non,1024
paillettes d'or fin et paillous d'or fin,2,Monnaies et métaux précieux,non,1024
pain,9,Subsistances diverses et mélangées,non,10028
pain ?,1,Divers incertains,non,8518
pain à cacheter,31,Librairie,non,3643
pain à castille,2,Produits inconnus,non,7059
pain d'épice,146,Subsistances diverses et mélangées,non,10028
pain d'épice et pâtisserie,2,Subsistances diverses et mélangées,non,10028
pain de cire blanche,2,Ouvrages divers et mélangés,non,16505
pain de colza et de lin et de navette,1,Subsistances diverses et mélangées,non,10028
pain de graine de lin,2,Subsistances diverses et mélangées,non,10028
pain de graine de lin et de navette,2,Subsistances diverses et mélangées,non,10028
pain de navette,158,Subsistances diverses et mélangées,non,10028
pain de navette en poudre,0,Subsistances diverses et mélangées,non,10028
paires de poulets,1,Animaux,non,3801
palangre,11,Cordage et filets,non,3165
palatine,19,Habits et lingerie,non,8220
palatine avec argent,1,Habits et lingerie,non,8220
palatine de chenille,1,Habits et lingerie,non,8220
palatine de peau de grèbe,1,Habits et lingerie,non,8220
palatine de soie,7,Habits et lingerie,non,8220
palatine et coiffures de gaze,1,Fleurs artificielles et ouvrages de mode,non,1612
palenas,1,Produits inconnus,non,7059
paliacates,3,Étoffes diverses,non,6808
palins,1,Produits inconnus,non,7059
palme,12,Matières premières diverses,non,15181
palme en feuilles,78,Matières premières diverses,non,15181
palme pour balais,1,Matières premières diverses,non,15181
palun,12,Produits inconnus,non,7059
panade,1,Subsistances diverses et mélangées,non,10028
panetons,2,Produits inconnus,non,7059
paniers,5,Ouvrages divers et mélangés,non,16505
paniers à chauffer,1,Ouvrages divers et mélangés,non,16505
paniers à couvrir de terre cuite,1,Ouvrages divers et mélangés,non,16505
paniers à ouvrages,1,Ouvrages divers et mélangés,non,16505
paniers d'espars,1,Produits inconnus,non,7059
paniers d'habit,5,Ouvrages divers et mélangés,non,16505
paniers d'habit de crin,1,Ouvrages divers et mélangés,non,16505
paniers d'olives,1,Ouvrages divers et mélangés,non,16505
paniers d'orseille,1,Ouvrages divers et mélangés,non,16505
paniers d'oseille,1,Ouvrages divers et mélangés,non,16505
paniers d'osier,101,"Ouvrages de bois, liège et jonc",non,32327
paniers d'osier petit,1,"Ouvrages de bois, liège et jonc",non,32327
paniers de caudré,1,Produits inconnus,non,7059
paniers de coudre,7,Ouvrages divers et mélangés,non,16505
paniers de cuivre,1,Ouvrages métalliques,non,20598
paniers de femme,4,Ouvrages divers et mélangés,non,16505
paniers de fer,1,Ouvrages métalliques,non,20598
paniers de foudre,1,Produits inconnus,non,7059
paniers de jonc,2,"Ouvrages de bois, liège et jonc",non,32327
paniers pour femme,2,Ouvrages divers et mélangés,non,16505
panine,15,Étoffes diverses,non,6808
panine de soie,28,Étoffes de soie,non,8554
panis à cachette,2,Blé et autres grains comestibles,non,9572
panne,115,Étoffes diverses,non,6808
panne à couvrir,4,Étoffes diverses,non,6808
panne ciselée,2,Étoffes diverses,non,6808
panne d'Amiens,8,Étoffes diverses,non,6808
panne de coton,1,Toiles de coton,non,9075
panne de laine,31,Étoffes de laine,non,13973
panne de laine et de long poil,1,Étoffes diverses,non,6808
panne de laine et de poil,4,Étoffes diverses,non,6808
panne de laine et peluches de laine,0,Étoffes de laine,non,13973
panne de laine ficelée,1,Étoffes de laine,non,13973
panne de poil,38,Étoffes diverses,non,6808
panne de poil longue,1,Étoffes diverses,non,6808
panne de soie,95,Étoffes de soie,non,8554
panne de velours,1,Étoffes diverses,non,6808
panne de velours sur soie,2,Étoffes de soie,non,8554
panne des prises,2,Étoffes diverses,non,6808
panne écarlate,5,Étoffes diverses,non,6808
panne en poil,5,Étoffes diverses,non,6808
panne imprimée,2,Étoffes diverses,non,6808
panne laine et poil,2,Étoffes diverses,non,6808
panne ordinaire,7,Étoffes diverses,non,6808
panne poil,1,Étoffes diverses,non,6808
panne rouge,1,Étoffes diverses,non,6808
"panne, peluches et tripe",0,Étoffes de soie,non,8554
panneaux,14,Divers incertains,non,8518
panneaux de bois,1,"Ouvrages de bois, liège et jonc",non,32327
pans à couvrir de terre cuite,3,Ouvrages divers et mélangés,non,16505
pantalons,1,Habits et lingerie,non,8220
pantalons de soie,1,Habits et lingerie,non,8220
pantoufles,4,Cordonnerie et sellerie,non,2064
pantoufles brodées,2,Cordonnerie et sellerie,non,2064
pantoufles brodées pour femme,1,Cordonnerie et sellerie,non,2064
pantoufles de cuir,2,Cordonnerie et sellerie,non,2064
pantoufles de cuir et de maroquin,4,Cordonnerie et sellerie,non,2064
paons,1,Animaux,non,3801
papelias,1,Produits inconnus,non,7059
papier,2120,Papier,non,6712
papier ???,5,Papier,non,6712
papier à bulle,18,Papier,non,6712
papier à bulle blanc,51,Papier,non,6712
papier à bulle gros,2,Papier,non,6712
papier à cartes,1,Papier,non,6712
papier à cartouche,1,Papier,non,6712
papier à connaissements,1,Papier,non,6712
papier à doublage,9,Papier,non,6712
papier à doublage et peint,3,Papier,non,6712
papier à écrire,694,Papier,non,6712
papier à écrire bleu gris,11,Papier,non,6712
papier à écrire toute espèce,5,Papier,non,6712
papier à écu fin,2,Papier,non,6712
papier à enveloppe,4,Papier,non,6712
papier à envelopper,1,Papier,non,6712
papier à états,1,Papier,non,6712
papier à éventail,16,Papier,non,6712
papier à facture,3,Papier,non,6712
papier à faire carte,0,Papier,non,6712
papier à feites,1,Papier,non,6712
papier à friser,1,Papier,non,6712
papier à gargousse,1,Papier,non,6712
papier à grand compte,2,Papier,non,6712
papier à image,1,Papier,non,6712
papier à impression,9,Papier,non,6712
papier à imprimer,0,Papier,non,6712
papier à imprimer et à faire carte,0,Papier,non,6712
papier à l'eau,9,Papier,non,6712
papier à l'eau commun,2,Papier,non,6712
papier à l'eau fin,3,Papier,non,6712
papier à l'école,1,Papier,non,6712
papier à l'écu,39,Papier,non,6712
papier à l'écu fin,20,Papier,non,6712
papier à l'étoile,41,Papier,non,6712
papier à l'étoile commun,5,Papier,non,6712
papier à l'étoile fin,14,Papier,non,6712
papier à la cloche,7,Papier,non,6712
papier à la noblesse,1,Papier,non,6712
papier à la piperie,2,Papier,non,6712
papier à lettre,55,Papier,non,6712
papier à lettres de Hollande,1,Papier,non,6712
papier à litière,1,Papier,non,6712
papier à meubler,0,Papier,non,6712
papier à ministre,1,Papier,non,6712
papier à musique,3,Papier,non,6712
papier à paqueter grand format,0,Papier,non,6712
papier à paqueter petit format,0,Papier,non,6712
papier à plan,4,Papier,non,6712
papier à pliage,2,Papier,non,6712
papier à sucre,40,Papier,non,6712
papier à tapisserie,3,Papier,non,6712
papier à toile,1,Papier,non,6712
papier argenté et doré,0,Papier,non,6712
papier aux armes,20,Papier,non,6712
papier bâtard,125,Papier,non,6712
papier bâtard blanc,1,Papier,non,6712
papier bâtard fin,93,Papier,non,6712
papier blanc,1336,Papier,non,6712
papier blanc à écrire,4,Papier,non,6712
papier blanc à enveloppe,3,Papier,non,6712
papier blanc Galmes,0,Papier,non,6712
papier blanc ou rayé pour musique,3,Papier,non,6712
papier blanc petit format,0,Papier,non,6712
papier blanc rainé,1,Papier,non,6712
papier bleu,86,Papier,non,6712
papier bleu à couvrir,0,Papier,non,6712
papier bleu de Hollande,1,Papier,non,6712
papier bleu et gris,1,Papier,non,6712
papier bleu petit format,0,Papier,non,6712
papier bouet,1,Papier,non,6712
papier brodé à figures de soie,2,Papier,non,6712
papier brouillard,8,Papier,non,6712
papier brun,2,Papier,non,6712
papier bulle,2,Papier,non,6712
papier bulle blanc,23,Papier,non,6712
papier bulle blanche,2,Papier,non,6712
papier bulle gros,1,Papier,non,6712
papier buvard,4,Papier,non,6712
papier buvard fin,4,Papier,non,6712
papier carré,4,Papier,non,6712
papier cartier,6,Papier,non,6712
papier cire à cacheter,5,Librairie,non,3643
papier collé,0,Papier,non,6712
papier colombier,1,Papier,non,6712
papier colorié en rames,2,Papier,non,6712
papier colorié en rames pour reliures,4,Papier,non,6712
papier commun,135,Papier,non,6712
papier commun et à enveloppe,4,Papier,non,6712
papier cornet,2,Papier,non,6712
papier cornet et petit,1,Papier,non,6712
papier corue,5,Papier,non,6712
papier couronne,1,Papier,non,6712
papier cru fin,4,Papier,non,6712
papier d'emballage,22,Papier,non,6712
papier d'emballage gris,0,Papier,non,6712
papier d'enveloppe,8,Papier,non,6712
papier d'enveloppe à pâte de couleur,5,Papier,non,6712
papier d'estrasse,41,Papier,non,6712
papier d'estrasse gris,1,Papier,non,6712
papier d'étoupe,1,Papier,non,6712
papier de Charente,4,Papier,non,6712
papier de Chine,2,Papier,non,6712
papier de couleur,3,Papier,non,6712
papier de couleur et peint,46,Papier,non,6712
papier de Gênes,2,Papier,non,6712
papier de Gênes commun,6,Papier,non,6712
papier de Gênes fin,121,Papier,non,6712
papier de Gênes fin et petit,1,Papier,non,6712
papier de Gênes peint,1,Papier,non,6712
papier de Gênes petit,4,Papier,non,6712
papier de Hollande,24,Papier,non,6712
papier de Lamballe,7,Papier,non,6712
papier de marquis,1,Papier,non,6712
papier de matique,1,Papier,non,6712
papier de musique,65,Papier,non,6712
papier de pliage,49,Papier,non,6712
papier de poste,1,Papier,non,6712
papier de raisin,6,Papier,non,6712
papier de soie,4,Papier,non,6712
papier de tapisserie,11,Papier,non,6712
papier des Indes,1,Papier,non,6712
papier dessiné,1,Papier,non,6712
papier doré,32,Papier,non,6712
papier doré et fleuragé et marbré,0,Papier,non,6712
papier double lys,6,Papier,non,6712
papier drapé,1,Papier,non,6712
papier en balle,0,Papier,non,6712
papier en livres,5,Librairie,non,3643
papier en planches,1,Papier,non,6712
papier estrasse,4,Papier,non,6712
papier et bois d'éventail,1,Papier,non,6712
papier étoile,1,Papier,non,6712
papier étoile fin,3,Papier,non,6712
papier fin,11,Papier,non,6712
papier fleuragé et doré,0,Papier,non,6712
papier gaufré,6,Papier,non,6712
papier grand carnet,0,Papier,non,6712
papier grand compte,2,Papier,non,6712
papier grand cornet,2,Papier,non,6712
papier grand éléphant,1,Papier,non,6712
papier grand format,2,Papier,non,6712
papier grand raisin,1,Papier,non,6712
papier grandes rames,5,Papier,non,6712
papier gris,106,Papier,non,6712
papier gris cassé,1,Papier,non,6712
papier grossier,15,Papier,non,6712
papier impérial,2,Papier,non,6712
papier intissé,1,Papier,non,6712
papier jaune fin,1,Papier,non,6712
papier jésier,1,Papier,non,6712
papier lombard,6,Papier,non,6712
papier marbré,2,Papier,non,6712
papier marbré doré,1,Papier,non,6712
papier marbré et à meubler,0,Papier,non,6712
papier métallisé,3,Papier,non,6712
papier montage,1,Papier,non,6712
papier musique gravé,12,Librairie,non,3643
papier noir,9,Papier,non,6712
papier pâte fine,1,Papier,non,6712
papier peint,373,Papier,non,6712
papier peint à tapisserie,4,Papier,non,6712
papier peint de Chine,1,Papier,non,6712
papier peint en rouleaux,2,Papier,non,6712
papier peint en rouleaux pour teinture,5,Papier,non,6712
papier peint et à meubler,0,Papier,non,6712
papier peint et à tapisserie,6,Papier,non,6712
papier peint et de foulards,2,Papier,non,6712
papier peint pour teinture,2,Papier,non,6712
papier petit,1,Papier,non,6712
papier petit fin,1,Papier,non,6712
papier petit pot,1,Papier,non,6712
papier pliage,7,Papier,non,6712
papier point,6,Papier,non,6712
papier pot,2,Papier,non,6712
papier pot fin,2,Papier,non,6712
papier pour éventails,0,Papier,non,6712
papier pour polir le bois et les métaux,1,Papier,non,6712
papier pour tapisserie,2,Papier,non,6712
papier pour tenture,192,Papier,non,6712
papier raisin,1,Papier,non,6712
papier registres blancs,1,Papier,non,6712
papier roux,1,Papier,non,6712
papier royal,3,Papier,non,6712
papier tellière,2,Papier,non,6712
papier tontisse,9,Papier,non,6712
papier violet,76,Papier,non,6712
papillons,1,Matières premières diverses,non,15181
papillons secs,1,Matières premières diverses,non,15181
paquets,1,Divers incertains,non,8518
parapluies,177,Ouvrages divers et mélangés,non,16505
parapluies autres et caracasse,2,Ouvrages divers et mélangés,non,16505
parapluies caracasse de,2,Ouvrages divers et mélangés,non,16505
parapluies communs,0,Ouvrages divers et mélangés,non,16505
parapluies de soie,13,Ouvrages divers et mélangés,non,16505
parapluies de taffetas,0,Soieries diverses,non,3516
parapluies de toile,1,Ouvrages divers et mélangés,non,16505
parapluies de toile cirée,6,Ouvrages divers et mélangés,non,16505
parapluies et parasols,143,Ouvrages divers et mélangés,non,16505
parasols,261,Ouvrages divers et mélangés,non,16505
parasols de coutil,1,Ouvrages divers et mélangés,non,16505
parasols de peau,1,Ouvrages divers et mélangés,non,16505
parasols de soie,62,Soieries diverses,non,3516
parasols de taffetas,8,Soieries diverses,non,3516
parasols de toile cirée,1,Ouvrages divers et mélangés,non,16505
paravent,28,Ouvrages divers et mélangés,non,16505
paravent de la Chine,2,Ouvrages divers et mélangés,non,16505
paravent peint,1,Ouvrages divers et mélangés,non,16505
paravent vernis,1,Ouvrages divers et mélangés,non,16505
parchemin achevé,2,"Cuirs, peaux et pelleterie",non,22200
parchemin et vélin achevés,2,"Cuirs, peaux et pelleterie",non,22200
parchemin et vélin bruts,2,"Cuirs, peaux et pelleterie",non,22200
parchemins,319,"Cuirs, peaux et pelleterie",non,22200
parchemins caficule,1,"Cuirs, peaux et pelleterie",non,22200
parchemins en feuilles,1,"Cuirs, peaux et pelleterie",non,22200
parchemins neufs,0,"Cuirs, peaux et pelleterie",non,22200
parchemins vieux,0,"Cuirs, peaux et pelleterie",non,22200
pareira brava,18,Drogues médicinales diverses,non,11402
parement,1,Mercerie,non,7064
parfum,2,Parfumerie et toilette,non,3571
parfumerie,810,Parfumerie et toilette,non,3571
parfumerie à la valeur,1,Parfumerie et toilette,non,3571
parfumerie eau de senteur,70,Parfumerie et toilette,non,3571
parfumerie et eau spiritueuse,16,Parfumerie et toilette,non,3571
parfumerie huile et essence,72,Parfumerie et toilette,non,3571
parfumerie mêlée de bois odorant ambre gris musc eau de senteur essence et huile odorante encens myrrhe poudre et pommade,13,Parfumerie et toilette,non,3571
parfumerie musc,2,Parfumerie et toilette,non,3571
parfumerie pommade,89,Parfumerie et toilette,non,3571
parfumerie poudre à poudrer,53,Parfumerie et toilette,non,3571
parfumerie poudre d'odeur,2,Parfumerie et toilette,non,3571
parfumerie rouge,4,Parfumerie et toilette,non,3571
pariera,2,Drogues médicinales diverses,non,11402
parrancens,1,Produits inconnus,non,7059
parse,1,Produits inconnus,non,7059
particuliers,1,Divers incertains,non,8518
particuliers français,1,Divers incertains,non,8518
parun,3,"Cuirs, peaux et pelleterie",non,22200
passagers,1730,Êtres humains,non,1775
passagers algériens,1,Produits inconnus,non,7059
passementerie,293,Rubanerie et passementerie diverse,non,1858
passementerie argent faux,1,Rubanerie et passementerie diverse,non,1858
passementerie bise écrue ou herbée,1,Rubanerie et passementerie diverse,non,1858
passementerie blanche ou mêlée de blanc,1,Rubanerie et passementerie diverse,non,1858
passementerie d'argent,1,Rubanerie et passementerie diverse,non,1858
passementerie d'argent et d'or faux et de soie,1,Rubanerie et passementerie de soie,non,1886
passementerie d'argent et de soie,1,Rubanerie et passementerie de soie,non,1886
passementerie d'or,3,Rubanerie et passementerie diverse,non,1858
passementerie d'or et d'argent,1,Rubanerie et passementerie diverse,non,1858
passementerie d'or et de soie,0,Rubanerie et passementerie de soie,non,1886
passementerie de chanvre de fil bis écru herbé et de lin,3,Rubanerie et passementerie diverse,non,1858
passementerie de chanvre de fil blanc et mélangé de blanc et de lin,3,Rubanerie et passementerie diverse,non,1858
passementerie de chanvre de fil teint en tout et en partie et de lin,2,Rubanerie et passementerie diverse,non,1858
passementerie de chanvre de laine blanche et de lin,2,Rubanerie et passementerie diverse,non,1858
passementerie de chanvre de laine écrue et de lin,2,Rubanerie et passementerie diverse,non,1858
passementerie de chanvre de laine teinte et de lin,2,Rubanerie et passementerie diverse,non,1858
passementerie de coton,2,Rubanerie et passementerie diverse,non,1858
passementerie de coton et ruban de coton,2,Rubanerie et passementerie diverse,non,1858
passementerie de crin,5,Rubanerie et passementerie diverse,non,1858
passementerie de fil,1,Rubanerie et passementerie diverse,non,1858
passementerie de fil de chanvre ou de lin bis écru herbé ou mélangé,2,Rubanerie et passementerie diverse,non,1858
passementerie de fil de chanvre ou de lin bis écru ou herbé,2,Rubanerie et passementerie diverse,non,1858
passementerie de fil de chanvre ou de lin teint en tout ou partie,2,Rubanerie et passementerie diverse,non,1858
passementerie de fil de soie et galon,1,Rubanerie et passementerie de soie,non,1886
passementerie de fil en filoselle,3,Rubanerie et passementerie diverse,non,1858
passementerie de fil et coton,0,Rubanerie et passementerie diverse,non,1858
passementerie de fil et laine,0,Rubanerie et passementerie diverse,non,1858
passementerie de fil et soie,0,Rubanerie et passementerie de soie,non,1886
passementerie de fil laine et poil,1,Rubanerie et passementerie diverse,non,1858
passementerie de filoselle,1,Rubanerie et passementerie de soie,non,1886
passementerie de fleuret et ruban de fleuret,4,Rubanerie et passementerie de soie,non,1886
passementerie de laine,3,Rubanerie et passementerie diverse,non,1858
passementerie de laine blanche écrue pure,2,Rubanerie et passementerie diverse,non,1858
passementerie de laine écrue pure,2,Rubanerie et passementerie diverse,non,1858
passementerie de laine mêlée de fil,1,Rubanerie et passementerie diverse,non,1858
passementerie de laine mêlée de fil laine et poil,2,Rubanerie et passementerie diverse,non,1858
passementerie de laine ou sayette,0,Rubanerie et passementerie diverse,non,1858
passementerie de laine pure teinte,4,Rubanerie et passementerie diverse,non,1858
passementerie de poil de chèvre,0,Rubanerie et passementerie diverse,non,1858
passementerie de soie,141,Rubanerie et passementerie de soie,non,1886
passementerie de soie d'argent ou d'or faux,2,Rubanerie et passementerie de soie,non,1886
passementerie de soie d'argent ou d'or fin,2,Rubanerie et passementerie de soie,non,1886
passementerie de soie et laine,0,Rubanerie et passementerie de soie,non,1886
passementerie de soie mêlée,1,Rubanerie et passementerie de soie,non,1886
passementerie de soie pure,7,Rubanerie et passementerie de soie,non,1886
passementerie divers,0,Rubanerie et passementerie diverse,non,1858
passementerie en frange de fil,3,Rubanerie et passementerie diverse,non,1858
passementerie en soie,1,Rubanerie et passementerie de soie,non,1886
passementerie et ruban de fleuret,2,Rubanerie et passementerie de soie,non,1886
passementerie et ruban de laine mêlée de fil,1,Rubanerie et passementerie diverse,non,1858
passementerie et ruban de laine teinte,2,Rubanerie et passementerie diverse,non,1858
passementerie et ruban de soie pure,2,Rubanerie et passementerie de soie,non,1886
passementerie fine en filet d'or,1,Rubanerie et passementerie diverse,non,1858
passementerie fine en velours,2,Rubanerie et passementerie diverse,non,1858
passementerie mêlé de soie,0,Rubanerie et passementerie de soie,non,1886
passementerie mêlée d'argent d'or et de soie,3,Rubanerie et passementerie de soie,non,1886
passementerie mêlée d'argent d'or faux et fin et de soie,2,Rubanerie et passementerie de soie,non,1886
passementerie mêlée d'argent ou d'or faux ou fin,1,Rubanerie et passementerie diverse,non,1858
passementerie mêlées d'autres matières que d'argent ou d'or,2,Rubanerie et passementerie diverse,non,1858
passementerie ordinaire,42,Rubanerie et passementerie diverse,non,1858
passementerie teinte en tout ou partie,1,Rubanerie et passementerie diverse,non,1858
passepierre,8,Subsistances diverses et mélangées,non,10028
passepoil de laine,1,Étoffes de laine,non,13973
passes,5,Produits inconnus,non,7059
passetatons de cordonnier,1,Produits inconnus,non,7059
pastel,97,Matières brutes et transformées pour teinture,non,17255
pastel à teindre,0,Matières brutes et transformées pour teinture,non,17255
pastel romain,1,Matières brutes et transformées pour teinture,non,17255
pastèques,3,Fruits frais,non,8185
pastilles,14,Divers incertains,non,8518
pastilles odoriférantes à brûler,1,Parfumerie et toilette,non,3571
pastilles odoriférantes du sérail,1,Parfumerie et toilette,non,3571
pataques,8,Monnaies et métaux précieux,non,1024
patates,31,Subsistances diverses et mélangées,oui,10028
pâte,30,Divers incertains,non,8518
pâte à fruits,2,Subsistances diverses et mélangées,non,10028
pâte à papier,7,Matières premières diverses,non,15181
pâte d'amandes,147,Subsistances diverses et mélangées,non,10028
pâte d'asperges,5,Subsistances diverses et mélangées,non,10028
pâte d'Italie,9,"Farine, gruau, biscuits et pâtes",non,4088
pâte d'Italie et autres granulés,3,"Farine, gruau, biscuits et pâtes",non,4088
pâte d'Italie et vermicelle,69,"Farine, gruau, biscuits et pâtes",non,4088
pâte d'Italie macaroni et vermicelle,4,"Farine, gruau, biscuits et pâtes",non,4088
pâte d'Italie sagou,1,"Farine, gruau, biscuits et pâtes",non,4088
pâte d'Italie semoule,5,"Farine, gruau, biscuits et pâtes",non,4088
pâte d'Italie vermicelle macaroni,3,"Farine, gruau, biscuits et pâtes",non,4088
pâte d'orgeat,1,Subsistances diverses et mélangées,non,10028
pâte d'orgeat et sirop d'orgeat,1,Subsistances diverses et mélangées,non,10028
pâte de cacao,6,Cacao et chocolat,non,3806
pâte de guimauve,12,Subsistances diverses et mélangées,non,10028
pâte de pastel,3,Matières brutes et transformées pour teinture,non,17255
pâte de térébenthine,5,Térébenthine,non,1944
pâté de viande,1,Chairs et œufs,non,7822
pâte et savon liquide,2,Savon,non,3155
pâte et tablette de guimauve,0,Drogues médicinales diverses,non,11402
pâte granulée,2,Subsistances diverses et mélangées,non,10028
pâte italienne,1,"Farine, gruau, biscuits et pâtes",non,4088
pâte macaroni,1,"Farine, gruau, biscuits et pâtes",non,4088
pâte ou vermicelle,2,"Farine, gruau, biscuits et pâtes",non,4088
pâte ou vieux chiffons,1,Matières premières diverses,non,15181
pâte sagou,3,Subsistances diverses et mélangées,non,10028
pâte semoule,3,Subsistances diverses et mélangées,non,10028
patenas,3,Produits inconnus,non,7059
patenottes,1,Produits inconnus,non,7059
pâtés,6,Chairs et œufs,non,7822
pâtés de canard,1,Chairs et œufs,non,7822
pâtés de chèvre et autre,0,Chairs et œufs,non,7822
patine,1,Drogues diverses,non,10513
patins,9,Cordonnerie et sellerie,non,2064
patins ?,1,Cordonnerie et sellerie,non,2064
patins à glisser,1,Cordonnerie et sellerie,non,2064
patins de bois,0,"Ouvrages de bois, liège et jonc",non,32327
patins pour femme,0,Cordonnerie et sellerie,non,2064
pâtisserie,40,Subsistances diverses et mélangées,non,10028
patissoye broché,2,Toiles diverses,non,11364
patissoye uni,1,Toiles diverses,non,11364
patte d'oie,1,Chairs et œufs,non,7822
pattedrille,1,Produits inconnus,non,7059
patterie,10,Produits inconnus,non,7059
pattes d'ancre,6,Bâtiments de mer et apparaux,non,8061
pattes ou vieux chiffons,7,Matières premières diverses,non,15181
paume,1,Produits inconnus,non,7059
paumelle,12,Ouvrages divers et mélangés,non,16505
paumelle germée,5,Blé et autres grains comestibles,non,9572
paumelle pour voile,1,Divers incertains,non,8518
pauvre noir,1,Produits inconnus,non,7059
pavé,15,Ouvrages divers et mélangés,non,16505
