simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
ailor,0,Produits inconnus,non,7059
ails,205,Subsistances diverses et mélangées,non,10028
ails à fauches,1,Divers incertains,non,8518
ails blancs à casser,1,Subsistances diverses et mélangées,non,10028
aimant,1,Divers incertains,non,8518
ains à pêcher,43,Ouvrages métalliques,non,20598
ains et lignes à pêcher,2,Ouvrages divers et mélangés,non,16505
airain,6,Métaux divers et mélangés,non,1783
airain non ouvré,4,Métaux divers et mélangés,non,1783
ajamis,276,Toiles de coton,non,9075
ajustements,37,Habits et lingerie,non,8220
ajustements de femme,5,Habits et lingerie,non,8220
ajustements de soie,2,Soieries diverses,non,3516
alambics,17,Ouvrages divers et mélangés,non,16505
alambics d'étain,17,Ouvrages métalliques,non,20598
alambics de cuivre,2,Ouvrages métalliques,non,20598
alambics de terre,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
alana,2,Produits inconnus,non,7059
alazar,2,Produits inconnus,non,7059
albâtre,5,Marbre brut et ouvré,non,1582
albâtre brut,3,Marbre brut et ouvré,non,1582
albâtre et marbre brut et poli,21,Marbre brut et ouvré,non,1582
albâtre moulé poli ou sculpté,6,Marbre brut et ouvré,non,1582
alcalis autre que natron et soudes,2,Alcalis,non,1223
alcalis salin,1,Alcalis,non,1223
alènes,5,Ouvrages divers et mélangés,non,16505
ali,1,Produits inconnus,non,7059
alibanies,110,Étoffes de soie,non,8554
alicot,1,Subsistances diverses et mélangées,non,10028
alizari,20,Garance,non,1645
alizari et garance,165,Garance,non,1645
alizari sèche,7,Garance,non,1645
alkermés,1,Drogues médicinales diverses,non,11402
alkermès en grains,23,Drogues médicinales diverses,non,11402
allaya,85,Textiles manufacturés divers et mélangés,non,1795
alleaux,1,Produits inconnus,non,7059
allumettes,54,"Ouvrages de bois, liège et jonc",non,32327
allumettes à vin,30,"Ouvrages de bois, liège et jonc",non,32327
allumettes de coton,1,"Ouvrages de bois, liège et jonc",non,32327
allumettes de mêche soufrée,1,"Ouvrages de bois, liège et jonc",non,32327
allumettes droguées,3,"Ouvrages de bois, liège et jonc",non,32327
allumettes épicée,2,"Ouvrages de bois, liège et jonc",non,32327
allumettes opérées et soufrées,1,"Ouvrages de bois, liège et jonc",non,32327
allumettes soufrées,12,"Ouvrages de bois, liège et jonc",non,32327
almagro ou crayon rouge,0,Matières brutes et transformées pour teinture,non,17255
almanachs,1,Librairie,non,3643
almanachs brochés,2,Librairie,non,3643
almanachs en blancs,1,Librairie,non,3643
almanachs enjolivés,0,Librairie,non,3643
almanachs reliés,1,Librairie,non,3643
aloès,228,Drogues médicinales diverses,non,11402
aloès cabalin,5,Drogues médicinales diverses,non,11402
aloès commun,1,Drogues médicinales diverses,non,11402
aloès et opium,2,Drogues médicinales diverses,non,11402
aloès hépatique,1,Drogues médicinales diverses,non,11402
aloès moyen,2,Drogues médicinales diverses,non,11402
aloiset,1,Produits inconnus,non,7059
alose,1,Pêche et fruits de mer,non,13709
alose fumée,0,Pêche et fruits de mer,non,13709
alose salée,5,Pêche et fruits de mer,non,13709
aloues,1,Produits inconnus,non,7059
