simplification,nbr_occurences_simpl,obsolete,hamburg,nbr_occurences_hamburg
amandes et noisettes et raisins secs,2,non,,687735
amandes et noix et noisettes,100,non,,687735
amandes et pelures et prunes et raisin,0,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes et pruneaux,82,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes et raisin sec,17,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes et raisin sec et savon,1,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes et savon,13,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes et sucre,25,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes et verdet,33,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes et vert-de-gris,0,oui,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes fraîches,1,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes longues,65,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes mondées,2,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes sèches,64,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes sèches et figue sèche et ???,0,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amandes sèches et figue sèche et raisin sec,135,non,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amaril,1,oui,"Fruits ; divers ; amandes, pelures, raisin, prunes",20147
amarinage,10,non,,687735
amarine,1,non,,687735
ambrain à grande barrique,1,non,,687735
ambre,43,non,,687735
ambre blanc,1,non,,687735
ambre brut,19,non,,687735
ambre carabé,22,non,,687735
ambre carabé jaune,2,non,,687735
ambre en grains,1,non,,687735
ambre et corail,1,non,,687735
ambre gris,40,non,,687735
ambre gris castoréum civette musc,0,oui,,687735
ambre jaune,90,non,,687735
ambre moulu,3,non,,687735
ameny,1,oui,,687735
amer,5,non,,687735
amer de laine,1,non,,687735
amertis,5,non,,687735
ameublement,3,non,,687735
ameublement de chitte,1,non,,687735
ami de toilé,1,non,,687735
amidon,1347,non,,687735
amidon alun,1,non,,687735
amidon en grains,1,non,,687735
amidon en poudre,3,non,,687735
amidon et poudre à poudrer,132,non,,687735
ammoniac,7,non,,687735
ammoniac et sel,26,non,,687735
ammonium,1,non,,687735
amomum,16,non,,687735
amomum et fèves de tonka et noix de ravensara,2,non,,687735
amomum verum,2,non,,687735
amurca,4,non,,687735
anabasse,129,non,,687735
anabasse bajutapau,3,non,,687735
anabasse corat nicaneas platille,2,non,,687735
anacardes,2,non,,687735
anacoste,3,non,,687735
ananas,12,non,,687735
ananas confit,2,non,,687735
ananas et pommes de grenade,8,non,,687735
ananas planté,1,non,,687735
anatomie,1,non,,687735
anatose,3,non,,687735
anches de tonneaux,2,non,,687735
anchois,1185,non,,687735
anchois câpres et olives,10,non,,687735
anchois câpres etc.,1,non,,687735
anchois câpres olives,1,non,,687735
anchois et boutargue,13,non,,687735
anchois et câpres,5,non,,687735
anchois et câpres et olives,1,non,,687735
anchois et sardes,1,non,,687735
anchois et sardines,5,non,,687735
anchois mariné,10,non,,687735
anchois mariné et salé,39,non,,687735
anchois salé,2,non,,687735
anchois salé et mariné,2,non,,687735
anchois salés,4,non,,687735
anchois salés et marinés,9,non,,687735
ancres,56,non,,687735
ancres de chaudon,1,non,,687735
ancres de fer,608,non,,687735
ancres de fer à chaudrons,1,non,,687735
ancres de fer au-dessus de 250 kilogrammes,1,non,,687735
ancres de fer de 250 kilogrammes et au-dessous,1,non,,687735
ancres de fer et embarcations,2,non,,687735
ancres et embarcations,5,non,,687735
ancres et grappins de fer,1,non,,687735
ancres et ouvrages de fer,2,non,,687735
ancres gravelées,1,non,,687735
ancres neuves,3,non,,687735
ancres vides,5,non,,687735
ancres vieilles,1,non,,687735
ancres vieilles vides,1,non,,687735
andolium,5,non,,687735
andouilles,45,non,,687735
andouillette,1,non,,687735
ânes,183,non,,687735
ânes et ânesses,97,non,,687735
ânes et mulets,11,non,,687735
ânesses,1,non,,687735
angélique,29,non,,687735
angélique du Rozème,1,non,,687735
anguilles,26,non,,687735
anguilles et truites,118,non,,687735
anguilles fraîches,1,non,,687735
anguilles marinées,1,non,,687735
anguilles salées,26,non,,687735
anille,1,non,,687735
animaux,5,non,,687735
anis,598,non,,687735
anis et rac et rhum etc.,101,non,,687735
anis et sucre,1,non,Sucre ; cru blanc ; du Brésil,11305
anis étoilé,0,oui,,687735
anis vert,99,non,,687735
anis vert à distiller,2,non,,687735
anisette,115,non,,687735
anisette au fiasque,6,non,,687735
anisette de Bordeaux,2,non,,687735
anneau de cuivre,1,non,,687735
anneau de fer,2,non,,687735
anneaux de cuivre,1,non,,687735
anneaux de fer,1,non,,687735
ânon,2,non,,687735
anspects,125,non,,687735
anspects de 3 à 4 pieds,1,non,,687735
anspects de bois,21,non,,687735
anspects de sapin,1,non,,687735
antale,3,non,,687735
antale et cauris,1,non,,687735
antchibanis,9,oui,,687735
antenelle,1,non,,687735
antennes,2,non,,687735
antennes et mâts de bateaux,1,non,,687735
antimoine,294,non,,687735
antimoine cru,28,non,,687735
antimoine métallique et sulfuré,2,non,,687735
antimoine préparé,2,non,,687735
antimoine vert,1,non,,687735
antofle,1,non,,687735
antofle de girofle,11,non,,687735
apasier,1,non,,687735
apier,3,non,,687735
apios,7,non,,687735
apparaux,1,non,,687735
apparaux et bâtiments de mer,38,non,,687735
apprêtée à toiler les livres,2,non,,687735
apprêtée pour parchemins,2,non,,687735
apprêts,0,non,,687735
arachis olives fraîches,1,non,,687735
arains,6,non,,687735
arak,17,non,,687735
arbalètes,7,non,,687735
arbalètrie et cartes marines,1,non,,687735
arbalètrrie et cartes marines,1,oui,,687735
arbres,51,non,,687735
arbres à fruits,2,non,,687735
arbres à planter,144,non,,687735
arbres à planter pommiers,1,non,,687735
arbres châtaignier,4,non,,687735
arbres d' ???,1,non,,687735
arbres d'auban,1,non,,687735
arbres de sapin,1,non,,687735
arbres et arbrisseaux,25,non,,687735
arbres et arbrisseaux à fruits,134,non,,687735
arbres et arbrisseaux sauvages,138,non,,687735
arbres et arbustes,6,non,,687735
arbres et plants,1,non,,687735
arbres fruitiers,97,non,,687735
arbres marronniers à planter,1,non,,687735
arbres nains,1,non,,687735
arbres tilleul,4,non,,687735
arbrisseaux,10,non,,687735
arbustes,4,non,,687735
arcanette,1,non,,687735
arcanie,2,non,,687735
arcanson,4,non,,687735
arcanum duplicatum,2,non,,687735
archets de violons,19,non,,687735
archets et violon,1,non,,687735
archiabanis,2,oui,,687735
arçons de bas de bois,1,non,,687735
arçons de bois,1,non,,687735
arçons de selles,24,non,,687735
arçons démontés,1,non,,687735
ardoise,390,non,,687735
ardoise à écrire,1,non,,687735
ardoise à piler,1,non,,687735
ardoise commune,215,non,,687735
ardoise dite chérubin et à mortier,63,non,,687735
ardoise dite grande voisine,2,non,,687735
ardoise dite moyenne voisine,3,non,,687735
ardoise dite petite voisine,2,non,,687735
ardoise dite voisine grande moyenne et petite,7,non,,687735
ardoise en carreaux,2,non,,687735
ardoise en carreaux et d'1 pied carré,1,non,,687735
ardoise en carreaux ou en table,7,non,,687735
ardoise en livret,7,non,,687735
ardoise encadrée,2,non,,687735
ardoise encadrée et en livret,71,non,,687735
ardoise non travaillée,8,non,,687735
ardoise pour fenêtre,6,non,,687735
ardoise pour toiture,8,non,,687735
ardoise pour toiture au kilogramme,1,non,,687735
ardoise pour toiture au nombre,2,non,,687735
ardoise verte,1,non,,687735
ardoises,3,non,,687735
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,non,,687735
arelles de baleine,1,non,,687735
argent,12,non,,687735
argent battu,1,non,,687735
argent battu et en feuille,2,non,,687735
argent battu filé laminé et tiré,3,non,,687735
argent brisé et en lingots et en masses,1,non,,687735
argent brûlé,9,non,,687735
argent brut,1,non,,687735
argent brut en lingot et en masse ouvrages détruits,2,non,,687735
argent carragoux,2,non,,687735
argent en barils,2,non,,687735
argent en barres,17,non,,687735
argent en lingots,27,non,,687735
argent en lingots par Calais,1,non,,687735
argent et or,237,non,,687735
argent et or billon,8,non,,687735
argent et or et bijouterie,1,non,,687735
argent faux,9,non,,687735
argent faux en fil cantilles etc.,3,non,,687735
argent faux et or faux,54,non,,687735
argent faux et or faux traits,5,non,,687735
argent fin,1,non,,687735
argent monnayé et nogat d'or,4,non,,687735
argent talari,0,oui,,687735
argent vif,3,non,,687735
argenterie,737,non,,687735
argenterie épée,7,non,,687735
argenterie et bijouterie,21,non,,687735
argenterie et bijouterie et orfèvrerie,1,non,,687735
argenterie et orfévrerie,0,oui,,687735
argenterie et orfèvrerie,122,non,,687735
argenterie et orfèvrerie vermeil,37,non,,687735
argenterie neuve,4,non,,687735
argenterie vieille,11,non,,687735
