simplification,nbr_occurences_simpl,obsolete,hamburg,nbr_occurences_hamburg
habits de pelleterie,1,non,,687735
habits de pinchina,1,non,,687735
habits de retour,1,non,,687735
habits de satin brodé,1,non,,687735
habits de soie,38,non,,687735
habits de soldat,2,non,,687735
habits de toile,1,non,,687735
habits de toile de chanvre,1,non,,687735
habits de troupes,2,non,,687735
habits de velours,1,non,,687735
habits divers,93,non,,687735
habits du régiment de l'Île de France,1,non,,687735
habits enrichis,1,non,,687735
habits et lingerie,581,non,,687735
habits et lingerie et effets militaires,38,non,,687735
habits et matériel de ménage,1,non,,687735
habits et meubles,3,non,,687735
habits et ornements d'Eglise,1,non,,687735
habits et taffetas,1,non,,687735
habits et vestes brodés,1,non,,687735
habits et vestes vieux,1,non,,687735
habits militaires,4,non,,687735
habits neufs,3,non,,687735
habits pour femme,5,non,,687735
habits pour homme,6,non,,687735
habits pour homme avec argent et or,2,non,,687735
habits pour homme brodés d'or,1,non,,687735
habits pour homme complets,1,non,,687735
habits pour homme de drap,1,non,,687735
habits pour homme et pour femme,1,non,,687735
habits pour nègre,3,non,,687735
habits provenant d'un naufrage,3,non,,687735
habits riches,1,non,,687735
habits supportés,4,non,,687735
habits supportés à la valeur,1,non,,687735
habits supportés au kilogramme,2,non,,687735
habits uniformes,1,non,,687735
habits unis,1,non,,687735
habits vieux,6,non,,687735
haches,59,non,,687735
haches d'arme,1,oui,,687735
haches d'armes,2,non,,687735
haches de fer,26,non,,687735
haches de fer et d'acier,5,non,,687735
haches de fer et houes de fer et serpes de fer,3,non,,687735
haches et houe et serpes,1,non,,687735
haches et houes,4,non,,687735
haches et houes de fer,1,non,,687735
haches et houes et serpes,78,non,,687735
haches et serpes,2,non,,687735
haches paille,1,non,,687735
haillons de laine,2,non,,687735
hallebardes,8,non,,687735
haltsays,1,non,,687735
hamacs,176,non,,687735
hamacs de coton,8,non,,687735
hamacs de retour,0,non,,687735
hamacs de retour faute de vente,0,oui,,687735
hamans,0,oui,,687735
hameçons,55,non,,687735
hameçons cassés,1,non,,687735
hameçons petits,1,non,,687735
hamiracontans,1,non,,687735
hampes de plumes,1,non,,687735
harancades,41,non,,687735
haras,1,non,,687735
hardes,104,non,,687735
hardes à usage,8,non,,687735
hardes capillaire,1,non,,687735
hardes de gens de mer,8,non,,687735
hardes diverses,6,oui,,687735
hardes et habillement,0,oui,,687735
hardes et habits,4,non,,687735
hardes neuves,17,non,,687735
hardes perelle,1,non,,687735
hardes pour nègre,2,non,,687735
hardes vieilles,43,non,,687735
hareng de Nantes,1,oui,,687735
hareng frais,0,oui,,687735
harengs,160,non,,687735
harengs blancs,695,non,,687735
harengs blancs demi-feuillettes,2,non,,687735
harengs blancs feuillettes,2,non,,687735
harengs blancs marinés et salés,16,non,,687735
harengs blancs salés,0,non,,687735
harengs blancs salés et marinés,1,oui,,687735
harengs bleus,1,non,,687735
harengs cades,2,non,,687735
harengs de la Baltique petits,1,non,,687735
harengs de la pêche nationale,28,non,,687735
harengs de Nantes,0,non,,687735
harengs et maquereaux salés,4,non,,687735
harengs et saumons salés,1,non,,687735
harengs frais,20,non,,687735
harengs frais et merlan frais,1,non,,687735
harengs fumés,84,non,,687735
harengs marinés et salés,3,non,,687735
harengs marinés et salés et saurs,8,non,,687735
harengs pecks,0,oui,,687735
harengs pecs,3,non,,687735
harengs salés,161,non,,687735
harengs salés et sardines salées,4,non,,687735
harengs salés et sardines salées et saumon salé,6,non,,687735
harengs salés et saurs,3,non,,687735
harengs saurs,562,non,,687735
harengs secs,11,non,,687735
haricots,259,non,,687735
haricots blancs,1,non,,687735
haricots confits,2,non,,687735
haricots en fèves,1,non,,687735
haricots en fil,1,non,,687735
haricots et lentilles et pois secs,3,non,,687735
haricots marinés,1,non,,687735
harmonica et orgues portatives,2,non,,687735
harnais,84,non,,687735
harnais de carrosses,1,non,,687735
harnais de chaise,23,non,,687735
harnais de chevaux,21,non,,687735
harnais de chevaux de cuir,8,non,,687735
harnais de cuir,2,non,,687735
harnais de cuir et cellerie,4,oui,,687735
harnais de cuir et sellerie,4,non,,687735
harnais de sellier,2,non,,687735
harnais et chaises roulantes,1,non,,687735
harnais et housses de chevaux,1,non,,687735
harnais et housses de mulet,1,non,,687735
harnais et phaéton,1,non,,687735
harnais et selles,11,non,,687735
harnais pour chaise de cuir,1,non,,687735
harpe,1,non,,687735
harpes,11,non,,687735
harpes et guitare,51,non,,687735
harpes et guitare et psalterions,3,non,,687735
harpes et orgues d'église,2,non,,687735
harpins,1,non,,687735
harpoix,0,oui,,687735
harpoix et tartre,0,oui,Tartre,2475
harpoix et térébenthine,0,oui,,687735
harpons de scies,1,non,,687735
hartreuse,1,non,,687735
haussière,0,oui,,687735
hautbois,3,non,,687735
hebichets de fil de fer,1,non,Fer,16604
helateas,2,non,,687735
hellébore,1,oui,,687735
hemitacortum,2,non,,687735
herbages,82,oui,,687735
herbes,61,non,,687735
herbes à charpentier,5,non,,687735
herbes à col,1,non,,687735
herbes à teindre,122,non,,687735
herbes à teindre ou terre jaune,2,non,,687735
herbes aromatiques,2,non,,687735
herbes d'absinthe,2,non,,687735
herbes d'acacia,1,non,,687735
herbes d'acacia à teindre,1,non,,687735
herbes d'orseille,113,non,,687735
herbes d'oseille,26,non,,687735
herbes de capillaire,0,oui,,687735
herbes de sarriette,1,non,,687735
herbes de violette,1,non,,687735
herbes émollientes,1,non,,687735
herbes et plantes et racines,6,non,,687735
herbes et racines,1,non,,687735
herbes et trèfle,12,non,,687735
herbes fleurs,1,oui,,687735
herbes gaude,76,non,,687735
herbes mauves,1,non,,687735
herbes médicinales,18,non,,687735
herbes médicinales et plantes médicinales,58,non,,687735
herbes médicinales et plantes médicinales et racines médicinales,35,non,,687735
herbes pérelle,123,non,,687735
herbes plantes racines fleurs etc.,14,non,,687735
herbes qacrette,3,non,,687735
herbes vaudes,28,non,,687735
herbes véroniques,1,non,,687735
herbes vulnéraires,25,non,,687735
hermine,37,non,,687735
herminettes,2,non,,687735
hermodatte,57,non,,687735
herse,1,non,,687735
hesses et hirondelles,1,non,,687735
hêtre en blocs,1,non,,687735
hipocide,4,non,,687735
hipouditte,1,non,,687735
histoire naturelle,18,non,,687735
histoire naturelle coquillages,1,non,,687735
homme d'équipage,7,non,,687735
homme d'équipage hollandais,2,non,,687735
homme d'équipage prisonnier suédois,1,non,,687735
Hondschoote blanche,3,non,,687735
Hondschoote peinte,5,non,,687735
hôpitaux,2,non,,687735
hôpitaux à café,1,non,,687735
hôpitaux de cuivre,68,non,,687735
horloge,53,non,,687735
horloge à réveils,1,non,,687735
horloge commune,5,non,,687735
horloge d'église,3,non,,687735
horloge de bois,94,non,,687735
horloge de fer,13,non,,687735
horloge de mer,1,non,,687735
horloge de sable,30,non,,687735
horloge de tables,4,non,,687735
horloge neuve,1,non,,687735
horlogerie,821,non,,687735
horlogerie boîtes d'argent,6,non,,687735
horlogerie boîtes d'or,4,non,,687735
horlogerie boîtes de montre d'argent,1,oui,,687735
horlogerie boîtes de montre d'or,1,oui,,687735
horlogerie boîtes de pendule,3,oui,,687735
horlogerie cadrans,1,non,,687735
horlogerie cadrans d'émail,1,non,,687735
horlogerie carillon,1,non,,687735
horlogerie carillon au-dessous d'une hectogramme,1,non,,687735
horlogerie chaînes d'argent,1,non,,687735
horlogerie chaînes d'or,3,non,,687735
horlogerie chaînes de cuivre,1,non,,687735
horlogerie clefs de montre,1,oui,,687735
horlogerie d'or,2,non,,687735
horlogerie et carillon,4,non,,687735
horlogerie fournitures,6,non,,687735
horlogerie horloge de fer,12,oui,,687735
horlogerie monom à montre,1,oui,,687735
horlogerie monom à pendule,2,oui,,687735
horlogerie montres d'argent,12,oui,,687735
horlogerie montres d'or,14,oui,,687735
horlogerie montres de cuivre,3,oui,,687735
horlogerie montres de métal,1,oui,,687735
horlogerie montres maillées,1,oui,,687735
horlogerie mouvements de montre,7,oui,,687735
horlogerie mouvements de pendule,5,oui,,687735
horlogerie outils d'horloge,2,oui,,687735
horlogerie pendule,36,oui,,687735
horlogerie pendule de cuivre,2,oui,,687735
horlogerie pendule et réveils,259,oui,,687735
horlogerie ressorts de montre,2,oui,,687735
horlogerie ressorts de pendule,3,oui,,687735
horlogerie réveils,2,oui,,687735
horlogerie timbres,1,non,,687735
hôtes,1,non,,687735
hôtes d'osier,4,non,,687735
houblon,444,non,,687735
houes,12,non,,687735
houes de fer,18,non,,687735
houes et serpes,22,non,,687735
houes haches et serpes,4,non,,687735
houille,4,non,,687735
houille frontières,2,non,,687735
houille par Ardennes et Meuse,2,non,,687735
houille par mer,3,non,,687735
houille par mer à Baisieux,2,non,,687735
houille par terre,1,non,,687735
houille par terre Ardennes et autre,2,non,,687735
houppe de cygne,5,non,,687735
housses,8,non,,687735
housses de chevaux,26,non,,687735
housses de chevaux enrichie,1,non,,687735
housses de chevaux et faux,1,non,,687735
housses de chevaux et faux et fourreaux garnis de soie,1,non,,687735
housses de chevaux garnies d'argent et d'or,1,non,,687735
housses de drap,11,non,,687735
housses de drap et de velours,2,non,,687735
housses de lit,2,non,,687735
housses de selles,1,non,,687735
housses de velours,1,non,,687735
housses et faux fourreaux,3,non,,687735
housses et faux fourreaux garnis d'argent,1,non,,687735
housses et selles de chevaux,1,non,,687735
housses galonnées,2,non,,687735
housses galonnées d'or,4,non,,687735
housses galonnées d'or et d'argent,1,non,,687735
housses garnies d'or,2,non,,687735
housses garnies et d'or,0,oui,,687735
hubalingue,1,non,,687735
hubellimeus,1,non,,687735
huide de codde,1,non,,687735
huile,4787,non,,687735
huile à ???,1,non,,687735
huile à brûler,58,non,,687735
huile à brûler de graine,1,non,,687735
huile à brûler et de poisson,12,non,,687735
huile à lin,0,oui,,687735
huile ambrée,1,non,,687735
huile antique et huile volatile ambrée,1,non,,687735
huile blanche,1,non,,687735
huile carabée,1,non,,687735
huile chimique,1,non,,687735
huile citron orange et leurs variétés,2,non,,687735
huile commune,4,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile commune d'olive,1,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile concrète de cacao et de laurier,2,non,,687735
huile d'absinthe,2,non,,687735
huile d'Aix,2,non,,687735
huile d'Alma Christi,0,oui,,687735
huile d'amande,4,oui,,687735
huile d'amandes,81,non,,687735
huile d'amandes douces,20,non,,687735
huile d'ambre,12,non,,687735
huile d'anis,56,non,,687735
huile d'anis carvi et fenouil,1,non,,687735
huile d'anis et fenouil,2,non,,687735
huile d'aspic,59,non,,687735
huile d'ébène,1,non,,687735
huile d'élite dite keurolie,10,non,,687735
huile d'enc,2,non,,687735
huile d'étain,1,non,,687735
huile d'œillette,31,oui,,687735
huile d'œillette de noix de pavots,18,non,,687735
huile d'œillette ou de pavot,13,non,,687735
huile d'olive,3658,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive à manger,17,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive blanche de Gênes,0,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive comestible,7,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive commune,18,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive Corse pour la France,1,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive de fèce ou fie d'huile,2,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive et autres pour fabrique,21,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive fine,144,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive importée en grande partie à Marseille,1,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive pour fabrique,249,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'olive pour fabrique de la Corse,1,non,Huile ; d'olive ; blanc ; de Gènes,4125
huile d'ours,1,non,,687735
huile de baleine,116,non,Huile ; de baleine,117
huile de baleine et de morue,16,non,,687735
huile de baleine et spirituelle,1,non,Huile ; de baleine,117
huile de baume,1,non,,687735
huile de benedie,2,non,,687735
huile de benjoin,1,non,,687735
huile de blanc de baleine,5,oui,,687735
huile de brique,1,non,,687735
huile de cacao,2,non,,687735
huile de cacao et palme,1,non,,687735
huile de cachalot,1,non,,687735
huile de cade,5,non,,687735
huile de cahouanne,3,non,,687735
huile de cannelle,17,non,,687735
huile de cannelle macis muscade de Rhodes et rose,2,non,,687735
huile de carabe,8,non,,687735
huile de carde,3,non,,687735
huile de casse cède cédrin genièvre,2,non,,687735
huile de castor,1,non,,687735
huile de chanvre,12,non,,687735
huile de chien de mer,2,non,,687735
huile de chimie,1,non,,687735
huile de chimie ?,1,non,,687735
huile de citron bergamote et orange,1,non,,687735
huile de coco,1,non,,687735
huile de colza,0,non,,687735
huile de copahu,59,non,,687735
huile de cordes,1,non,,687735
huile de corne de cerf,1,non,,687735
huile de crabette,1,non,,687735
huile de crème,1,non,,687735
huile de cumin,1,non,,687735
huile de dégras,0,non,,687735
huile de faine et de noix,9,non,,687735
huile de farde,1,non,,687735
huile de farine,1,non,,687735
huile de Flandre,1,non,,687735
huile de flanelle,1,non,,687735
huile de Florence,1,non,,687735
huile de gaïac,1,non,,687735
huile de Garonne,1,non,,687735
huile de genièvre,18,non,,687735
huile de girofle,49,non,,687735
huile de girofle à huile aromatique,1,non,,687735
huile de girofle et sassafras,1,non,,687735
huile de girofle et spirituelle,1,non,,687735
huile de graine,639,non,,687735
huile de graine autres que de lin d'oeillettes ou de pavots,2,non,,687735
huile de graine d'anis,1,non,,687735
huile de graine d'oeillettes ou de pavots,2,non,,687735
huile de graine d'olive,1,non,,687735
huile de graine de cannelle,1,non,,687735
huile de graine de colza lin navette etc. et de noix,2,non,,687735
huile de graine de girofle,1,non,,687735
huile de graine de lin,5,non,,687735
huile de graine de macis,1,non,,687735
huile de graine de moutarde,1,non,,687735
huile de graine de navette,1,non,,687735
huile de graine de navette et de chanvre,0,non,,687735
huile de graine de poisson,1,non,,687735
huile de graine de Rhodes,1,non,,687735
huile de graine de térébenthine,1,non,,687735
huile de graine et de lin,6,non,,687735
huile de graine et de noix,38,non,,687735
huile de graine grasse,3,oui,,687735
huile de graine oléagineuse,5,non,,687735
huile de grains,11,non,,687735
huile de grains à peintures,0,oui,,687735
huile de grains à peinures,1,non,,687735
huile de graisse,2,non,,687735
huile de graisse de poisson,1,non,,687735
huile de gras,1,non,,687735
huile de gras et de traen pour tanneur,0,oui,,687735
huile de gras et de traens pour tanneurs,8,non,,687735
huile de gras pour tanneur,0,oui,,687735
huile de gras pour tanneurs,7,non,,687735
huile de Haarlem,23,non,,687735
huile de hareng,1,non,,687735
huile de jasmin,19,non,,687735
huile de jasmin et autres fleurs,3,non,,687735
huile de jayet,1,non,,687735
huile de laine,1,non,,687735
huile de laurier,106,non,,687735
huile de lavande,7,non,,687735
huile de lin,950,non,,687735
huile de lin et de rabette,3,non,,687735
huile de lin et spirituelle,6,non,,687735
huile de lin pour l'entrepôt pour la Compagnie des Indes,1,non,,687735
huile de loifon,0,non,,687735
huile de loup marin,7,non,,687735
huile de maïs,1,non,,687735
huile de Majorque,1,non,,687735
huile de marjolaine et sauge,1,non,,687735
huile de menthe,1,non,,687735
huile de morne,2,non,,687735
huile de morue,104,non,,687735
huile de morue de France,1,oui,,687735
huile de morue étrangère,1,non,,687735
huile de morue française,1,non,,687735
huile de muscade,27,non,,687735
huile de navette,189,non,,687735
huile de noisettes,2,non,,687735
huile de noix,270,non,,687735
huile de Palma Christi,9,oui,,687735
huile de palme,41,non,,687735
huile de palmier,1,non,,687735
huile de parfum,4,non,,687735
huile de peintures,1,non,,687735
huile de pierre,4,non,,687735
huile de pignon de palme,2,non,,687735
huile de pignon et ricin,2,non,,687735
huile de pin,1,non,,687735
huile de plantes,1,non,,687735
huile de poissen,2,oui,,687735
huile de poisson,2060,non,,687735
huile de poisson de France,5,non,,687735
huile de poisson des Indes,1,non,,687735
huile de poisson et de lin,1,non,,687735
huile de poisson et poix,1,non,,687735
huile de poisson étranger,3,non,,687735
huile de poix,9,non,,687735
huile de rabette,111,non,,687735
huile de rave,2,non,,687735
huile de Rhodes,14,non,,687735
huile de rhue,1,non,,687735
huile de ricin,13,non,,687735
huile de romarin,4,non,,687735
huile de rose,4,non,,687735
huile de salmus,1,non,,687735
huile de sardines,2,non,,687735
huile de sassafras,2,non,,687735
huile de saturne,1,non,,687735
huile de scorpion,6,non,,687735
huile de sein,1,non,,687735
huile de semence,137,non,,687735
huile de senteur,102,non,,687735
huile de soldat,3,non,,687735
huile de soufre,2,non,,687735
huile de spermaceti,6,non,Blanc ; de baleine,232
huile de storax,8,non,,687735
huile de tamarin,2,non,,687735
huile de tartre,2,non,Tartre,2475
huile de térébenthine,362,non,,687735
huile de verre,2,non,,687735
huile de vialle,2,non,,687735
huile de vitriol,409,non,Vitriol ; blanc,1356
huile de vitriol et vitriol,24,non,Vitriol ; blanc,1356
huile dellevette,2,non,,687735
huile diverse,41,non,,687735
huile diverse à la valeur,1,non,,687735
huile du Pérou,4,non,,687735
huile du Sénégal,1,non,,687735
huile en bouteille,1,non,,687735
huile en crasse,4,non,,687735
huile en crasse ou degnes ???,0,non,,687735
huile en crasse ou degras et ???,2,non,,687735
huile en degens,1,non,,687735
huile en dignar,1,non,,687735
huile en zégnar,1,non,,687735
huile essencée,1,non,,687735
huile essentielle ou volatile de citron girofle menthe rose etc.,2,non,,687735
huile et acide vitriolique,0,oui,Vitriol ; blanc,1356
huile et essence de térébenthine,24,non,,687735
huile et provisions,5,non,,687735
huile et rabete,1,non,,687735
huile et sirop,12,non,,687735
huile fine,3,non,,687735
huile grap indigo,1,non,,687735
huile grasse d'amandes,4,oui,,687735
huile grasse d'olive comestible,4,oui,,687735
huile grasse d'olive pour fabrique,4,oui,,687735
huile grasse de faine et noix,4,oui,,687735
huile grasse de graines autres que lin œillette et pavot,2,oui,,687735
huile grasse de graines d'œillette ou pavot,2,oui,,687735
huile grasse de graines de lin,2,oui,,687735
huile grasse de graines grasses,2,oui,,687735
huile grasse de palme,2,oui,,687735
huile grasse de palme et pignon,2,oui,,687735
huile grasse de ricin,4,oui,,687735
huile marc d'olive ou amurca,1,non,,687735
huile médicinale,14,non,,687735
huile pétrole,19,non,,687735
huile pour étranger de poisson,1,oui,,687735
huile pour France de poisson,3,oui,,687735
huile pour lampe,1,non,,687735
huile rabette,1,non,,687735
huile spirituelle d'olive,8,non,,687735
huile spirituelle de poisson,1,non,,687735
huile stale,1,non,,687735
huile succin,3,non,,687735
huile superfine,1,non,,687735
huile térébenthine,12,oui,,687735
huile vierge,1,non,,687735
huile vitriol,3,non,Vitriol ; blanc,1356
huile volatile,2,non,,687735
huile volatile d'anis fenouil marjolaine romarin et sauge,2,non,,687735
huile volatile de cade cèdre ou oxycèdre et gaïac,2,non,,687735
huile volatile de cannelle girofle macis muscade et sassafras,2,non,,687735
huile volatile de citron orange et leurs variétés,2,non,,687735
huile volatile de genièvre,1,non,,687735
huile volatile de jasmin et autres fleurs d'odeur fugace,2,non,,687735
huile volatile de lavande,2,non,,687735
huile volatile de rose et de Rhodes,2,non,,687735
huitres,98,oui,,687735
huîtres,389,non,,687735
huîtres à la daube,74,non,,687735
huîtres à la daube ou huîtres marinées,0,oui,,687735
huîtres à la daube ou marinée,1,non,,687735
huîtres à mariner,1,non,,687735
huîtres en écaille,20,non,,687735
huîtres en pierres,2,non,,687735
huîtres fraîches,15,non,,687735
huîtres fraîches et salées,18,non,,687735
huîtres marines,1,non,,687735
humains,24,non,,687735
humains de Guinée,18,non,,687735
humains de Sénégal,27,non,,687735
hydromel,123,non,,687735
hypochetia,1,non,,687735
hypocristis,1,non,,687735
igname,5,non,,687735
images,17,non,,687735
images à cadres dorés,1,non,,687735
images de cire,1,non,,687735
images de corne,1,non,,687735
images de livres,1,non,,687735
images de papier,38,non,,687735
images de papier et estampes et cartes géographiques,220,non,,687735
images de parchemin,73,non,,687735
images de parchemin de corne,2,non,,687735
images de vélin,6,non,,687735
images des Indes,1,non,,687735
images et cartes géographiques,2,non,,687735
images peintes,2,non,,687735
images sur papier,1,non,,687735
impériale,9,non,,687735
impériale de laine,1,non,,687735
Inde,0,oui,,687735
inde,6,non,,687735
Inde de Java,0,oui,,687735
inde de Java,10,non,,687735
Inde fine,0,oui,,687735
inde fine,28,non,,687735
Inde florée,0,oui,,687735
inde florée,1,non,,687735
Inde flottante,0,oui,,687735
inde flottante,15,non,,687735
Inde Java,0,oui,,687735
inde Java,3,oui,,687735
Inde plante,0,oui,,687735
Inde plate,0,oui,,687735
inde plate,120,non,,687735
indienne,886,non,,687735
indienne ???,1,non,,687735
indienne commune,6,non,,687735
indienne de coton,21,non,,687735
indienne de coton et de fil,1,non,,687735
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,25,non,,687735
indienne de coton et siamoise de coton et toile de coton peinte,16,non,,687735
indienne de coton et toile de coton peinte,65,non,,687735
indienne de coton peinte,2,non,,687735
indienne de différentes qualités,1,non,,687735
indienne de France,6,non,,687735
indienne de Suisse,1,non,,687735
indienne des Indes,4,non,,687735
indienne des Indes et toile peinte,5,non,,687735
indienne en coupon,1,non,,687735
indienne et sitz,143,non,,687735
indienne et toile perse,1,non,,687735
indienne étrangère,5,non,,687735
indienne étrangère et toile peinte,3,non,,687735
indienne française,1,non,,687735
indienne nationale et toile peinte,5,non,,687735
indienne peinte,30,non,,687735
indigo,6632,non,Indigo,6671
indigo commun,2,non,Indigo,6671
indigo de Guatemala,6,non,,687735
indigo de guatimalo,0,oui,Indigo,6671
indigo de retour,3,non,Indigo,6671
indigo des Îles françaises,1,non,Indigo,6671
indigo des Indes,1,non,Indigo,6671
indigo du Guatemala,0,oui,Indigo,6671
indigo en gr ???,1,non,Indigo,6671
indigo en grabeau,111,non,,687735
indigo et sucre,1,non,,687735
indigo floré,13,non,Indigo,6671
indigo guatimalo,8,non,Indigo,6671
indigo inde-plate boules de bleu,1,non,Indigo,6671
indigo par Bordeaux Nantes Le Havre et Dunkerque,1,non,Indigo,6671
injubes,3,non,,687735
insectes,4,non,,687735
instruments,110,non,,687735
instruments aratoires,0,oui,,687735
instruments astronomie,0,oui,,687735
instruments astronomiques,0,oui,,687735
instruments clavecin,0,oui,,687735
instruments d'artillerie,1,non,,687735
instruments d'arts libéraux,7,non,,687735
instruments d'astronomie,5,non,,687735
instruments d'optique lunettier,1,non,,687735
instruments d'optiques,13,non,,687735
instruments d'optiques et ouvrages ditto,34,non,,687735
instruments d'orfèvrerie,1,non,,687735
instruments de b??? mêlés,1,non,,687735
instruments de chimie,3,non,,687735
instruments de chirurgie,48,non,,687735
instruments de jardinage,1,non,,687735
instruments de marine,18,non,,687735
instruments de mathématique,85,non,,687735
instruments de mathématique et de musique,9,non,,687735
instruments de mathématique et instruments de chirurgie,49,non,,687735
instruments de mécanique,3,non,,687735
instruments de mer,2,oui,,687735
instruments de mesure,1,non,,687735
instruments de musique,505,non,,687735
instruments de musique ???,1,non,,687735
instruments de musique et autres,11,non,,687735
instruments de navigation,3,non,,687735
instruments de physique,24,non,,687735
instruments de pilotage,4,non,,687735
instruments épinettes,1,non,,687735
instruments machine et mécanique,3,non,,687735
instruments machine et mécanique propres aux arts et aux sciences,11,non,,687735
instruments pour hôpitaux militaires,1,non,,687735
instruments pour la pêche,10,non,,687735
instruments pour les arts et les sciences,181,non,,687735
instruments propres aux arts libéraux,10,non,,687735
instruments propres aux science,2,non,,687735
ipécacuanha,314,non,,687735
iranis,1,non,,687735
iris,186,non,,687735
iris de citron,1,non,,687735
iris de Florence,60,non,,687735
irtaine,1,oui,,687735
isaris d'auf,1,non,,687735
isatis,5,non,,687735
issarions de palme,4,non,,687735
istarions d'espars,1,non,,687735
ita à planter,1,non,,687735
Itaine de laine,1,non,,687735
ivies,1,non,,687735
ivoire,87,non,,687735
ivoire brûlé,2,non,,687735
ivoire brut,81,non,,687735
ivoire de Dieppe,1,non,,687735
ivoire en grabeau,2,non,,687735
ivoire en morceaux,2,non,,687735
ivoire et or,10,non,,687735
ivoire noir,1,non,,687735
ivoire ou morphil,1,oui,,687735
jaillet,2,non,,687735
jais,148,non,,687735
jais brut,1,non,,687735
jais de chêne,1,non,,687735
jais ou ouvrages de jais,1,non,,687735
jalap,492,non,,687735
jalap en grabeau,1,non,,687735
jamard,2,non,,687735
jamavar,23,non,,687735
jambon,1429,non,,687735
jambon de Bayonne,11,non,,687735
jambon de Mayence,6,non,,687735
jambon du pays,1,non,,687735
jambon et lard,1,non,,687735
jambon et lard salé,1,non,,687735
jambon et saucissons,1,non,,687735
jambon fumé,28,non,,687735
jambon lard et saucissons,1,non,,687735
jambon non fumé,2,non,,687735
jambon pour l'entrepôt de la Compagnie,1,non,,687735
jambon salé,100,non,,687735
jambons,8,oui,,687735
jambons salés,0,oui,,687735
jantes,100,non,,687735
jantes et rais,5,non,,687735
japonis,1,non,,687735
jardinage divers,1,non,,687735
jardinage jasmin,2,non,,687735
jarres,241,non,,687735
jarres de grès,1,non,,687735
jarres de terre,27,non,,687735
jarres de terre à vin,1,non,,687735
jarres et dame-jeannes,61,non,,687735
jarres vides,1,non,,687735
jarretières,3,non,,687735
jarretières d'argent,4,non,,687735
jarretières d'argent et d'or,1,non,,687735
jarretières d'argent et d'or et de soie,1,non,,687735
jarretières de fil,3,non,,687735
jarretières de filoselle,2,non,,687735
jarretières de fleuret,12,non,,687735
jarretières de laine,11,non,,687735
jarretières de soie,23,non,,687735
jarretières et ruban de laine,1,non,,687735
jarretières et tresse de laine,1,non,,687735
jarretières et tresses de laine,0,oui,,687735
jas,1,non,,687735
jaspe,3,non,,687735
jatape,1,non,,687735
jattes de bois,3,non,,687735
jaune commun,64,non,,687735
jaune de Cassel,1,non,,687735
jaune de chrome,2,non,,687735
jaune de Naples,87,non,,687735
jaune doré,7,non,,687735
jaune gros,1,non,,687735
jaune paille,2,non,,687735
jaune royal,2,non,,687735
jeanette de laine,1,non,,687735
jeanne,1,non,,687735
jeanne gros,1,non,,687735
jet de bière,10,non,,687735
jet et lie de bière,136,non,,687735
jetons d'argent,1,non,,687735
jetons de cuivre,2,non,,687735
jets de canettes,2,non,,687735
jets de canettes de grès,3,non,,687735
jets de cannes,3,non,,687735
jets de cannes à poignée d'ambre,1,non,,687735
jets de creusets,2,non,,687735
jets de grès,2,non,,687735
jets de terre,1,non,,687735
jets de voile,43,oui,,687735
jeux d'échecs,1,non,,687735
jeux d'écrevisse,1,non,,687735
jeux d'orgues,1,non,,687735
jeux de camagnolle,2,non,,687735
jeux de moulins,19,non,,687735
jeux de moulins à sucre,10,non,,687735
jeux de quadrilles,1,non,,687735
jeux de voile,107,non,,687735
jeux de voile en toile de Bretagne,1,non,,687735
joaillerie,1,non,,687735
jolités de cristal garnis de cuivre,2,non,,687735
jolités en pinsbeck,3,non,,687735
jolités mêlées,135,non,,687735
jonc en blocs,0,oui,,687735
joncs,79,non,,687735
joncs à couvrir,0,oui,,687735
joncs à couvrir bottes,0,oui,,687735
joncs à couvrir toits,0,oui,,687735
joncs à faire ???,0,oui,,687735
joncs à faire chaises,0,oui,,687735
joncs à faire des cannes,4,non,,687735
joncs à faire des vertugadins,0,oui,,687735
joncs à faire les chaises des Indes,0,oui,,687735
joncs à joncher les volailles,3,non,,687735
joncs communs,4,non,,687735
joncs de cannes,1,non,,687735
joncs des Indes,1,non,,687735
joncs des marais,3,non,,687735
joncs en blocs,1,non,,687735
joncs en herbes,1,non,,687735
joncs entes,0,oui,,687735
joncs entés,17,non,,687735
joncs esté,0,oui,,687735
joncs et roseaux,32,non,,687735
joncs et roseaux des jardins,2,non,,687735
joncs et roseaux des marais d'Europe Presle et Sparte brut,2,non,,687735
joncs et roseaux exotiques bambous et joncs forts à cannes,2,non,,687735
