simplification,nbr_occurences_simpl,surement_pas_canada,canada,details_provenance,obsolete,nbr_occurences_canada
agrément de soie et d'argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrément de soie or et argent faux,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agréments de soie et milleret,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agréments et milleret,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès apparaux de navire et embarcations,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès apparaux et embarcations,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès de navire et jeux de voile,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès et apparaux,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès et apparaux d'or navire,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès et bâtiments de mer,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès et embarcations,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
agrès et voile de navire,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigles,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigre de cèdre,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigre de cidre,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigre de vitriol,17,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigrettes,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigrettes de fil d'or et d'argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigrettes de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigrettes de soie et argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aigrettes et bavolets,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguières d'étain,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles,207,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles à boîtes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles à coudre,61,0,Hors Canada,,non,156575
aiguilles à coudre voiles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles à ralingue,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles à tabac,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles à toile,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles d'emballage,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles de mercerie fine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles epars de sapin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles et épingles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles et épingles de mercerie fine,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles et mercerie fine,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles grosses,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguilles pour voile,37,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aiguillettes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ail,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ailes,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ailes de fléaux,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ailes de moulins,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ailor,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ails,204,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ails à fauches,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ails blancs à casser,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aimant,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ains à pêcher,43,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ains et lignes à pêcher,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
airain,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
airain non ouvré,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ajamis,276,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ajustements,37,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ajustements de femme,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ajustements de soie,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alambics,17,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alambics d'étain,17,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alambics de cuivre,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alambics de terre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alana,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alazar,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
albâtre,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
albâtre brut,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
albâtre et marbre brut et poli,21,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
albâtre moulé poli ou sculpté,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alcalis autre que natron et soudes,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alcalis salin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alènes,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alibanies,111,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alibanis,14,,,,oui,2163
alicot,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alizari,18,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alizari et garance,165,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alizari sèche,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alkermés,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alkermès en grains,23,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allaya,84,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alleaux,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allemande de poil,10,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
allumettes,54,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allumettes à vin,29,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allumettes de coton,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allumettes de mêche soufrée,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allumettes droguées,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allumettes épicée,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allumettes opérées et soufrées,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
allumettes soufrées,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
almagro ou crayon rouge,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
almanachs,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
almanachs brochés,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
almanachs en blancs,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
almanachs enjolivés,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
almanachs reliés,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aloès,191,0,Hors Canada,,non,156575
aloès cabalin,6,0,Hors Canada,,non,156575
aloès commun,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aloès et opium,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aloès hépatique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aloès moyen,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aloiset,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alose,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alose fumée,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alose salée,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aloues,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alouettes,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alpargate,37,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alphabets,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alpiste,20,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alpiste et millet,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alquifoux,481,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alquifoux en galène,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alquifoux et mine de plomb,36,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alquifoux mine de plomb ou graphite,23,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alquifoux ou mine de plomb,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alquifoux sable plombifère,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alquitra,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alto basses contrebasses guitare lyres violes violons,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alto bassons guitare violons,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
aluchiabanis,3,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
alun,1873,0,Hors Canada,,non,156575
alun à cordonnier,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun autre que brûlé ou calciné,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun bon,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun brûlé,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun commun,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun de glace,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun de roche,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun de Rome,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun de Rome fin rosé,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun de Rouen,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun de Surde,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun du Levant,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun en dracy,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun en rame,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun gâté,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alun ordinaire,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
alvés,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
