simplification,nbr_occurences_simpl,surement_pas_canada,canada,details_provenance,obsolete,nbr_occurences_canada
gaze à peu de soie,28,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze au bas de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze au quart,22,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
gaze au quart de soie,37,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze au sixième de soie,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze blanche,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze crêpe et mouchoirs de soie,142,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze crêpe et ruban de soie,57,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze crêpe et tulle de soie,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze crêpe mouchoirs et ruban de soie,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent et d'or faux,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent et d'or fin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent et de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent faux,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent faux et de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent fin or fin et soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'argent or et soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'or et d'argent faux et de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'or et de soie,3,,,,non,2163
gaze d'or faux,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze d'or fin et de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de coton,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de coton et crêpe de coton et tulle de coton,16,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de coton et fil,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de coton et tulle de coton,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de fil,56,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de fil et coton,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de fil et de soie,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de fil sur soie,4,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
gaze de fleuret,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de soie,517,0,Hors Canada,,non,156575
gaze de soie brodée,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de soie de renvoi,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de soie et crêpe de soie et mouchoirs de soie,58,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de soie et dorure,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de soie et fil,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de soie plâtrée,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de soie pure,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze de toute autre sorte que soie pure,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze dorure de soie,2,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
gaze dorure et soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
gaze en crêpe,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze en crêpe de soie,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze et Marly,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze et Marly de fil,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze et Marly de soie,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze et Marly de soie mêlée de fil d'or faux,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze et mouchoir de soie,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze et mouchoirs et ruban de soie,40,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze et tulle de coton,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze fond argent,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze mélangée de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
gaze mêlée de soie,1,,,,non,2163
gaze mi soie,24,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze or et argent,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze paille,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze peinte,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze pour mouchoirs,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gaze tricots de Berling et tulle de coton,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
geernaerts,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
gélatine,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gelée de ???,1,0,Intraitable,,non,6284
gélinottes,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gemmes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gemmes autres que diamants opales et rubis,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gemmes brutes,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gemmes taillées,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gemmes taillées autres que diamants émeraudes et rubis,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genaux de chêne,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gencive,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gene fin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genestrole,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genêts,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genêts pour salade,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genettes,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genièvre,20,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genièvre de Cologne,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genièvre en coquelerrie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
genina,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
génisses,49,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
génisses et taureaux et vaches,31,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
génisses et vaches,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gentes,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gentes de bois,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gentes de fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gentes de terre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gentes pour roues,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gentiane,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gerbes de lin,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gerles de chêne,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gerles de terre,52,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibecières,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibecières par douzaines,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibernes,1,,,,non,2163
gibernes avec les baudriers,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibernes et ceinturons,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibernes et havresacs,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibier,54,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibier divers,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gibier et volailles,37,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets à nègre,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de coton,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de coton en filoselle,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de coton et de fil,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de coton et filoselle,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de demitte,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de laine,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de molleton,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de soie,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de soie en dorure,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de soie et coton,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gilets de toile,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gimblette,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gingan nationale,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gingembre,698,0,Hors Canada,Asie,non,156575
gingembre confit,12,0,Hors Canada,Asie,non,156575
gingembre cru,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gingembre et piment et poivre,13,1,Pas importé en France depuis l'Atlantique avant 1765,Asie,non,356012
gingembre sec,40,0,Hors Canada,Asie,non,156575
ginseng,40,0,Hors Canada,,non,156575
ginza,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
girandoles,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
girandoles de cuir,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
girandoles de verre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
girofle,969,0,Hors Canada,,non,156575
girofle confite,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
girofle et muscade,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
girofle griffes et pédicules,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
girouettes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites de 4 pouces carrés,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites de 4 pouces sur 14 pieds de longueur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites de 4 pouces sur 33 pieds de longueur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites de 4 pouces sur 7 pieds de longueur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites de 5 à 7 pouces sur 56 pieds de longueur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites de bois,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites de sapin,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites ou côtes de sommier,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites ou côtes de sommier de 1 pouce,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gites ou côtes de sommier de 2 pouces,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glacé,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces,131,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces ???,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces au tain,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces avec cadres dorés,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces d'1 aune et en dessus,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces d'en dessous 1 aune,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces d'en dessous de 1/4 aune ou petits miroirs,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de ??? cru ???,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de ??? d'œuf ???,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 1 1/2 aunes de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 1 1/4 aunes de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 1 1/8 aunes de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 1 aune de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 1/2 aune de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 1/4 aune de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 2 1/2 aunes de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 3/4 aune de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 3/8 aune de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 5/8 aune de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de 7/8 aune de hauteur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de carrosses,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de la manufacture de Paris,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de miroirs,91,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de miroirs d'1 aune et en dessus,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de miroirs de 13 pouces,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de miroirs de 3 pieds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces de miroirs grandes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces en dessous d'1 aune,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces en dessus d'1 aune,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces en valeur,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces encadrées,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces et meubles,281,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces et miroirs,309,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces faux teint,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces nues,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces petites et miroirs,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces petits miroirs,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces pour carrosses,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces pour estampes,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glaces pour miroirs,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glands,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glands d'or,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glands de chêne,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
glu,70,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets à boire,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets à boire de verres,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de bière,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de cristal,38,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de cristal de Rouen,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de cuivre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de faïence,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de grès,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de porcelaine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de terre,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets de verre,51,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets en verre de cristal,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets et lampes de verre,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets et verres,21,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets et verres à boire,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets et verres de cristal,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gobelets peints,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
goëmon et sable,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gogorans,79,0,Hors Canada,,non,156575
gomme,675,0,Hors Canada,,non,156575
gomme à ???,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme adragant,333,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme amandes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme ammoniac,108,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme animée,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme animée ou courbaril,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme arabique,609,0,Hors Canada,,non,156575
gomme arabique par Marseille,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme atimaix,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme brique,2,0,Hors Canada,,non,156575
gomme carans,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme chimique,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme clinique,1,0,Peut-être Canada,,non,25417
gomme commune,104,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme conviola,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme copale,200,0,Hors Canada,,non,156575
gomme couperose,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'acacia,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'acacia acajou adragante et arabique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'acajou,4,0,Hors Canada,tropiques,non,156575
gomme d'adragant,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'amandier,62,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'ambrette,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'Amérique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'ammoniac,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme d'élémi,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de Barbarie,82,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de caragne,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de cèdre,27,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de Cenzier,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de cerisier,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de cochenille,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de Copahu,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de dragon,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de gaïac,66,0,Hors Canada,tropiques,non,156575
gomme de galbanum,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de geda,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de giette,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de gutte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de palme,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de palmier,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de pays,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de sandarac,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de seraza,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme de toute espèce,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme demi,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme des Indes,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme dite laque,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme du Levant,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme du Levant thurique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme du pays,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme du Sénégal,298,0,Hors Canada,Afrique,non,156575
gomme ederée,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme élastique,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme élémi,98,0,Hors Canada,Asie,non,156575
gomme elemy,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme émeri,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme en feuilles,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme en grabeau,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme en pâte,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme esquinante,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme et or,32,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme euphorbe,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme exotique,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme galanga,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme galle,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme gedda,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme gutte,121,0,Hors Canada,,non,156575
gomme herbes grandes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme keraque,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme laque,302,0,Hors Canada,Asie,non,156575
gomme laque en bois,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme laque en feuilles,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme laque plate,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme myrrhe,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme odorie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme opoponax,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme pour peintures et teinture,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme pure d'amandier et de cerisier,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme pure exotique,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme pure exotique des entrepôts,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme quile,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme racines d'alizari,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme rouge,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme sagapenum,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme sandaraque,141,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme séraphine,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme séraphique,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme tacamaca,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme tandarac,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme thurique,146,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme topal,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gomme verdet,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gondole de faïence,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gonds,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
goudron,1156,0,Hors Canada,,non,156575
goudron de Suède,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
goudron et poix,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
goudron et poix et résines,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
goules,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
goupil,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gourde,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gournable,21,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gournable de chêne,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gournable de sapin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gournables de bois,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gousses,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gousses ???,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gousses arabiques,21,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gousses de sandaraque,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gousses du Sénégal,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gousses gatte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gousses lagne,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gouttières ou goulots,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
gouvernail vieux,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau d'aspic,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau d'émail,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau d'encens,115,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau d'indigo,99,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau d'ivoire,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de canefice,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de cire,105,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de cochenille,97,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de corail,30,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de galipot,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de gomme,18,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de jalap,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de mine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
grabeau de mioche,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
