pays_simplification,pays_obrien,note
"Dunkerque, Lorient et Petites Îles","Dunkerque, Lorient et Petites Îles",
"Dunkerque, Petites Îles, Lorient, Marseille, Bayonne, Alsace","Dunkerque, Petites Îles, Lorient, Marseille, Bayonne, Alsace",
Égypte,Égypte,
Empire Ottoman,Empire Ottoman,
Empire Ottoman et Barbarie,Empire Ottoman et Barbarie,
Empire Ottoman et Levant,Empire Ottoman et Levant,
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille","entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",
Épaves et échouements,Épaves et échouements,
Espagne,Espagne et ses colonies,
Espagne et Portugal,Espagne et Portugal,
Espagne et ses colonies,Espagne et ses colonies,
Espagne-Portugal,Espagne-Portugal,
États ?,États ?,
États de l'Empereur,États de l'Empereur,
États de l'Empereur : Allemagne et Flandre,États de l'Empereur : Allemagne et Flandre,
États du roi,États du roi,
États ecclésiastiques,États ecclésiastiques,
États ecclésiastiques et Venise,États ecclésiastiques et Venise,
États romains,États romains,
États-Unis d'Amérique,États-Unis d'Amérique,
Europe,Europe,
Flandre,Flandre,
France,France,
Franche Comté,Franche Comté,
Gênes,Gênes,
Genève,Genève,
Genève et Piémont,Genève et Piémont,
Genève et Suisse,Genève et Suisse,
Genève-Suisse,Genève-Suisse,
"Genève, Suisse et ses alliés","Genève, Suisse et ses alliés",
Guadeloupe,Guadeloupe,
Guatemala,Guatemala,
Guinée,Guinée,
Guinée et Sénégal,Guinée et Sénégal,
Guinée-Sénégal,Guinée-Sénégal,
Guyane,Guyane,
Guyane anglaise,Guyane anglaise,
Haïti,Haïti,
Hollande,Hollande,
Hollande et Villes hanséatiques,Hollande et Villes hanséatiques,
Île Bourbon,Île Bourbon,
Île Maurice,Île Maurice,
Îles,Îles,
Îles de France et de Bourbon,Îles de France et de Bourbon,
Îles de l'Amérique,Îles de l'Amérique,
Îles et Guinée,Îles et Guinée,
Îles françaises,Îles françaises,
Îles françaises de l'Amérique,Îles françaises de l'Amérique,
Indes,Indes,
Indes anglaises,Indes anglaises,
Indes françaises,Indes françaises,
Indes hollandaises,Indes hollandaises,
Italie,Italie,
Levant,Levant,
Levant et Barbarie,Levant et Barbarie,
Levant et Toscane,Empire Ottoman et Toscane,
Livourne,Livourne,
Lorient,Lorient,
Lorient et Marseille,Lorient et Marseille,
Lorient et Petites Îles,Lorient et Petites Îles,
Lorraine,Lorraine,
Lorraine et Trois Évêchés,Lorraine et Trois Évêchés,
Louisiane,Louisiane,
Marseille,Marseille,
Marseille et Petites Îles,Marseille et Petites Îles,
Martinique,Martinique,
Mecklembourg-Schwerin,Mecklembourg-Schwerin,
Mexique,Mexique,
Milanais et Toscane,"Milanais, Toscane et Lucques",
Milanais-Toscane,Milanais-Toscane,
"Milanais, Toscane et Lucques","Milanais, Toscane et Lucques",
Naples,Naples,
Naples et Sicile,Naples et Sicile,
Naples-Sicile,Naples-Sicile,
"Naples, Sicile et Palerme","Naples, Sicile et Palerme",
"Naples, Sicile et Parme","Naples, Sicile et Parme",
Nord,Nord,
Nord (Hanse et Russie),Nord (Hanse et Russie),
Norvège,Norvège,
Nouvelle-Grenade,Nouvelle-Grenade,
Pays de Gex,Pays de Gex,
Pays-Bas,Pays-Bas,
Pays-Bas et ses colonies,Pays-Bas et ses colonies,
Pêches françaises,Pêches françaises,
Pérou,Pérou,
Petites Îles,Petites Îles,
Petites Îles et Bayonne,Petites Îles et Bayonne,
Petites îles et Lorient,Petites îles et Lorient,
"Petites Îles, Bayonne et Lorient","Petites Îles, Bayonne et Lorient",
"Petites Îles, Bayonne, Dunkerque et Lorient","Petites Îles, Bayonne, Dunkerque et Lorient",
"Petites Îles, Dunkerque et Lorient","Petites Îles, Dunkerque et Lorient",
Philippines,Philippines,
Piémont,Piémont,
Piémont et Genève,Piémont et Genève,
Piémont et Savoie,Piémont et Savoie,
Pologne,Pologne,
Pologne-Genève,Pologne-Genève,
Portugal,Portugal,
Prises et saisies,Prises et saisies,
Prusse,Prusse,
Rio de la Plata,Rio de la Plata,
Rouen,Rouen,
Royaume d'Étrurie,Royaume d'Étrurie,
Royaume de Sardaigne,Royaume de Sardaigne,
Russie,Russie,
Russie-Courlande,Russie-Courlande,
Saint-Domingue,Saint-Domingue,
Saint-Thomas,Saint-Thomas,
Sardaigne,Sardaigne,
Savoie,Savoie,
Savoie et Piémont,Savoie et Piémont,
Sénégal,Sénégal,
Suède,Suède et ses colonies,
Suède et ses colonies,Suède et ses colonies,
Suisse,Suisse,
Suisse-Genève,Suisse-Genève,
Tobago,Tobago,
Toscane,Toscane,
Trois Évêchés,Trois Évêchés,
Turquie,Turquie,
Vénézuela,Vénézuela,
Venise,Venise,
Villes hanséatiques,Villes hanséatiques,
Villes hanséatiques-Hollande,Villes hanséatiques-Hollande,
Villes hanséatiques-Nord,Villes hanséatiques-Nord,
Voitures diverses,Voitures diverses,
Ypres,Ypres,
