goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
alibanies,97,not raw cotton,non,549385
alizari,16,not raw cotton,non,549385
alizari et garance,165,not raw cotton,non,549385
alizari sèche,7,not raw cotton,non,549385
alkermés,1,not raw cotton,non,549385
alkermès en grains,23,not raw cotton,non,549385
allaya,84,not raw cotton,non,549385
alleaux,1,not raw cotton,non,549385
allemande de poil,10,not raw cotton,non,549385
allumettes,54,not raw cotton,non,549385
allumettes à vin,29,not raw cotton,non,549385
allumettes de coton,1,not raw cotton,non,549385
allumettes de mêche soufrée,1,not raw cotton,non,549385
allumettes droguées,3,not raw cotton,non,549385
allumettes épicée,2,not raw cotton,non,549385
allumettes opérées et soufrées,1,not raw cotton,non,549385
allumettes soufrées,12,not raw cotton,non,549385
almagro ou crayon rouge,1,not raw cotton,non,549385
almanachs,1,not raw cotton,non,549385
almanachs brochés,2,not raw cotton,non,549385
almanachs en blancs,1,not raw cotton,non,549385
almanachs enjolivés,1,not raw cotton,non,549385
almanachs reliés,1,not raw cotton,non,549385
aloès,229,not raw cotton,non,549385
aloès cabalin,6,not raw cotton,non,549385
aloès commun,1,not raw cotton,non,549385
aloès et opium,2,not raw cotton,non,549385
aloès hépatique,1,not raw cotton,non,549385
aloès moyen,2,not raw cotton,non,549385
aloiset,1,not raw cotton,non,549385
alose,2,not raw cotton,non,549385
alose fumée,1,not raw cotton,non,549385
alose salée,5,not raw cotton,non,549385
aloues,1,not raw cotton,non,549385
alouettes,4,not raw cotton,non,549385
alpargate,37,not raw cotton,non,549385
alphabets,1,not raw cotton,non,549385
alpiste,20,not raw cotton,non,549385
alpiste et millet,9,not raw cotton,non,549385
alquifoux,479,not raw cotton,non,549385
alquifoux en galène,2,not raw cotton,non,549385
alquifoux et mine de plomb,36,not raw cotton,non,549385
alquifoux mine de plomb ou graphite,23,not raw cotton,non,549385
alquifoux ou mine de plomb,1,not raw cotton,non,549385
alquifoux sable plombifère,1,not raw cotton,non,549385
alquitra,3,not raw cotton,non,549385
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,not raw cotton,non,549385
alto basses contrebasses guitare lyres violes violons,2,not raw cotton,non,549385
alto bassons guitare violons,3,not raw cotton,non,549385
aluchiabanis,3,not raw cotton,non,549385
alun,1872,not raw cotton,non,549385
alun à cordonnier,1,not raw cotton,non,549385
alun autre que brûlé ou calciné,2,not raw cotton,non,549385
alun bon,2,not raw cotton,non,549385
alun brûlé,1,not raw cotton,non,549385
alun commun,1,not raw cotton,non,549385
alun de glace,1,not raw cotton,non,549385
alun de roche,5,not raw cotton,non,549385
alun de Rome,3,not raw cotton,non,549385
alun de Rome fin rosé,1,not raw cotton,non,549385
alun de Rouen,2,not raw cotton,non,549385
alun de Surde,2,not raw cotton,non,549385
alun du Levant,1,not raw cotton,non,549385
alun en dracy,1,not raw cotton,non,549385
alun en rame,1,,non,4510
alun gâté,1,not raw cotton,non,549385
alun ordinaire,1,not raw cotton,non,549385
alvés,2,not raw cotton,non,549385
amadou,225,not raw cotton,non,549385
amadou et agaric amadouvier,7,not raw cotton,non,549385
amandes,1207,not raw cotton,non,549385
amandes à la praline,4,not raw cotton,non,549385
amandes amères,1,not raw cotton,non,549385
amandes arachis noisettes noix noyaux,2,not raw cotton,non,549385
amandes cassée,6,not raw cotton,non,549385
amandes cassées,384,not raw cotton,non,549385
amandes cassées ou en coque,3,not raw cotton,non,549385
amandes courtes,1,not raw cotton,non,549385
amandes douces,4,not raw cotton,non,549385
amandes en coque,300,not raw cotton,non,549385
amandes et figue et raisin,24,not raw cotton,non,549385
amandes et pelures et prunes et raisin,1,not raw cotton,non,549385
amandes et pruneaux,2,not raw cotton,non,549385
amandes et raisin sec,2,not raw cotton,non,549385
amandes et raisin sec et savon,1,not raw cotton,non,549385
amandes et savon,2,not raw cotton,non,549385
amandes et sucre,1,not raw cotton,non,549385
amandes et verdet,1,not raw cotton,non,549385
amandes fraîches,1,not raw cotton,non,549385
amandes longues,1,not raw cotton,non,549385
amandes mondées,2,not raw cotton,non,549385
amandes sèches,64,not raw cotton,non,549385
amandes sèches et figue sèche et ???,9,not raw cotton,non,549385
amandes sèches et figue sèche et raisin sec,135,not raw cotton,non,549385
amaril,1,not raw cotton,oui,549385
amarine,1,not raw cotton,non,549385
ambrain à grande barrique,1,not raw cotton,non,549385
ambre,42,not raw cotton,non,549385
ambre blanc,1,not raw cotton,non,549385
ambre brut,1,not raw cotton,non,549385
ambre carabé,21,not raw cotton,non,549385
ambre carabé jaune,2,not raw cotton,non,549385
ambre en grains,1,,non,4510
ambre et corail,1,not raw cotton,non,549385
ambre gris,36,not raw cotton,non,549385
ambre jaune,72,not raw cotton,non,549385
ambre moulu,2,not raw cotton,non,549385
ameny,1,not raw cotton,non,549385
amer,3,not raw cotton,non,549385
amer de laine,1,not raw cotton,non,549385
amertis,4,not raw cotton,non,549385
ameublement,2,not raw cotton,non,549385
ameublement de chitte,1,not raw cotton,non,549385
ami de toilé,1,not raw cotton,non,549385
amidon,1166,not raw cotton,non,549385
amidon alun,1,,non,4510
amidon en grains,1,not raw cotton,non,549385
amidon en poudre,1,,non,4510
amidon et poudre à poudrer,1,not raw cotton,non,549385
ammoniac,7,not raw cotton,non,549385
ammoniac et sel,21,not raw cotton,non,549385
ammonium,5,not raw cotton,non,549385
amomum,11,not raw cotton,non,549385
amomum et fèves de tonka et noix de ravensara,2,not raw cotton,non,549385
amomum verum,2,not raw cotton,non,549385
amurca,4,not raw cotton,non,549385
anabasse,121,not raw cotton,non,549385
anabasse ; bajutapau,3,,non,4510
anabasse ; corat ; nicaneas ; platille,2,,non,4510
anacardes,2,not raw cotton,non,549385
anacoste,3,not raw cotton,non,549385
ananas,1,not raw cotton,non,549385
ananas confit,2,not raw cotton,non,549385
ananas et pommes de grenade,1,not raw cotton,non,549385
ananas planté,1,not raw cotton,non,549385
anatomie,1,not raw cotton,non,549385
anatose,3,not raw cotton,non,549385
anches de tonneaux,2,not raw cotton,non,549385
anchois,851,not raw cotton,non,549385
anchois câpres et olives,10,not raw cotton,non,549385
anchois câpres etc.,1,not raw cotton,non,549385
anchois câpres olives,1,not raw cotton,non,549385
anchois et boutargue,13,not raw cotton,non,549385
anchois et câpres,5,not raw cotton,non,549385
anchois et sardes,1,not raw cotton,non,549385
anchois et sardines,5,not raw cotton,non,549385
anchois mariné,6,not raw cotton,non,549385
anchois mariné et salé,39,not raw cotton,non,549385
anchois salé et mariné,2,not raw cotton,non,549385
anchois salés,5,not raw cotton,non,549385
anchois salés et marinés,9,not raw cotton,non,549385
ancres,5,not raw cotton,non,549385
ancres de chaudon,1,not raw cotton,non,549385
ancres de fer,553,not raw cotton,non,549385
ancres de fer à chaudrons,1,not raw cotton,non,549385
ancres de fer au-dessus de 250 kilogrammes,1,not raw cotton,non,549385
ancres de fer de 250 kilogrammes et au-dessous,1,not raw cotton,non,549385
ancres de fer et embarcations,2,not raw cotton,non,549385
ancres et embarcations,5,not raw cotton,non,549385
ancres et grappins de fer,1,not raw cotton,non,549385
ancres gravelées,1,not raw cotton,non,549385
ancres neuves,3,not raw cotton,non,549385
ancres vides,4,not raw cotton,non,549385
ancres vieilles,1,,non,4510
ancres vieilles vides,1,not raw cotton,non,549385
andolium,2,not raw cotton,non,549385
andouilles,43,not raw cotton,non,549385
andouillette,1,not raw cotton,non,549385
ânes,174,not raw cotton,non,549385
ânes et ânesses,9,not raw cotton,non,549385
ânes et mulets,11,not raw cotton,non,549385
ânesses,1,not raw cotton,non,549385
angélique,28,not raw cotton,non,549385
angélique du Rozème,1,not raw cotton,non,549385
anguilles,23,not raw cotton,non,549385
anguilles et truites,1,not raw cotton,non,549385
anguilles fraîches,1,not raw cotton,non,549385
anguilles marinées,1,not raw cotton,non,549385
anguilles salées,22,not raw cotton,non,549385
anille,1,not raw cotton,non,549385
animaux,5,not raw cotton,non,549385
anis,520,not raw cotton,non,549385
anis et rac et rhum etc.,2,not raw cotton,non,549385
anis et sucre,1,not raw cotton,non,549385
anis vert,94,not raw cotton,non,549385
anis vert à distiller,2,not raw cotton,non,549385
anisette,113,not raw cotton,non,549385
anisette au fiasque,6,not raw cotton,non,549385
anisette de Bordeaux,2,not raw cotton,non,549385
anneau de cuivre,1,,non,4510
anneau de fer,2,not raw cotton,non,549385
anneaux de cuivre,1,not raw cotton,non,549385
anneaux de fer,1,,non,4510
ânon,2,not raw cotton,non,549385
anspects,124,not raw cotton,non,549385
anspects de 3 à 4 pieds,1,not raw cotton,non,549385
anspects de bois,27,not raw cotton,non,549385
anspects de sapin,1,not raw cotton,non,549385
antale,3,not raw cotton,non,549385
antale et cauris,1,not raw cotton,non,549385
antchibanis,9,not raw cotton,non,549385
antenelle,1,not raw cotton,non,549385
antennes,2,not raw cotton,non,549385
antennes et mâts de bateaux,1,not raw cotton,non,549385
antimoine,221,not raw cotton,non,549385
antimoine cru,27,not raw cotton,non,549385
antimoine métallique et sulfuré,2,not raw cotton,non,549385
antimoine préparé,2,not raw cotton,non,549385
antimoine vert,1,not raw cotton,non,549385
antofle,1,not raw cotton,non,549385
antofle de girofle,11,not raw cotton,non,549385
apasier,1,not raw cotton,non,549385
apier,3,not raw cotton,non,549385
apios,7,not raw cotton,non,549385
apparaux et bâtiments de mer,38,not raw cotton,non,549385
apprêtée à toiler les livres,1,not raw cotton,non,549385
apprêtée pour parchemins,1,not raw cotton,non,549385
arachis olives fraîches,1,not raw cotton,non,549385
arains,6,not raw cotton,non,549385
arak,17,not raw cotton,non,549385
arbalètes,1,not raw cotton,non,549385
arbalètrrie et cartes marines,1,not raw cotton,non,549385
arbres,7,not raw cotton,non,549385
arbres à fruits,2,not raw cotton,non,549385
arbres à planter,142,not raw cotton,non,549385
arbres châtaignier,4,not raw cotton,non,549385
arbres d' ???,1,not raw cotton,non,549385
arbres d'auban,1,not raw cotton,non,549385
arbres de sapin,1,not raw cotton,non,549385
arbres et arbrisseaux,25,not raw cotton,non,549385
arbres et arbrisseaux à fruits,1,not raw cotton,non,549385
arbres et arbrisseaux sauvages,1,not raw cotton,non,549385
arbres et arbustes,6,not raw cotton,non,549385
arbres et plants,1,not raw cotton,non,549385
arbres fruitiers,87,not raw cotton,non,549385
arbres marronniers à planter,1,not raw cotton,non,549385
arbres nains,1,not raw cotton,non,549385
arbres tilleul,3,not raw cotton,non,549385
arbrisseaux,9,not raw cotton,non,549385
arbustes,3,not raw cotton,non,549385
arcanette,1,not raw cotton,non,549385
arcanie,1,not raw cotton,non,549385
arcanson,4,not raw cotton,non,549385
arcanum duplicatum,2,not raw cotton,non,549385
archets de violons,1,not raw cotton,non,549385
archets et violon,1,not raw cotton,non,549385
archiabanis,2,not raw cotton,non,549385
arçons de bas de bois,1,not raw cotton,non,549385
arçons de bois,1,not raw cotton,non,549385
arçons de selles,14,not raw cotton,non,549385
arçons démontés,1,not raw cotton,non,549385
ardoise,365,not raw cotton,non,549385
ardoise à piler,1,not raw cotton,non,549385
ardoise commune,2,not raw cotton,non,549385
ardoise dite chérubin et à mortier,1,not raw cotton,non,549385
ardoise dite grande voisine,1,not raw cotton,non,549385
ardoise dite moyenne voisine,1,not raw cotton,non,549385
ardoise dite petite voisine,1,not raw cotton,non,549385
ardoise dite voisine grande moyenne et petite,2,not raw cotton,non,549385
ardoise en carreaux,1,not raw cotton,non,549385
ardoise en carreaux et d'1 pied carré,1,not raw cotton,non,549385
ardoise en carreaux ou en table,7,not raw cotton,non,549385
ardoise en livret,1,not raw cotton,non,549385
ardoise encadrée,1,not raw cotton,non,549385
ardoise encadrée et en livret,1,not raw cotton,non,549385
ardoise non travaillée,1,not raw cotton,non,549385
ardoise pour fenêtre,6,not raw cotton,non,549385
ardoise pour toiture,8,not raw cotton,non,549385
ardoise pour toiture au kilogramme,1,not raw cotton,non,549385
ardoise pour toiture au nombre,2,not raw cotton,non,549385
ardoise verte,1,not raw cotton,non,549385
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,not raw cotton,non,549385
arelles de baleine,1,,non,4510
argent,11,not raw cotton,non,549385
argent battu,1,not raw cotton,non,549385
argent battu et en feuille,2,not raw cotton,non,549385
argent battu filé laminé et tiré,3,not raw cotton,non,549385
argent brisé et en lingots et en masses,1,not raw cotton,non,549385
argent brûlé,2,not raw cotton,non,549385
argent brut,1,not raw cotton,non,549385
argent brut en lingot et en masse ouvrages détruits,2,not raw cotton,non,549385
argent carragoux,2,not raw cotton,non,549385
argent en barils,1,not raw cotton,non,549385
argent en barres,3,not raw cotton,non,549385
argent en lingots,18,not raw cotton,non,549385
argent en lingots par Calais,1,not raw cotton,non,549385
argent et or,238,not raw cotton,non,549385
argent et or billon,1,not raw cotton,non,549385
argent faux,9,not raw cotton,non,549385
argent faux en fil cantilles etc.,2,not raw cotton,non,549385
argent faux et or faux,53,not raw cotton,non,549385
argent faux et or faux traits,1,not raw cotton,non,549385
argent fin,1,not raw cotton,non,549385
argent monnayé et nogat d'or,4,not raw cotton,non,549385
argent talari,0,not raw cotton,oui,549385
argent vif,3,not raw cotton,non,549385
argenterie,732,not raw cotton,non,549385
argenterie épée,7,not raw cotton,non,549385
argenterie et bijouterie,14,not raw cotton,non,549385
argenterie et bijouterie et orfèvrerie,1,not raw cotton,non,549385
argenterie et orfèvrerie,122,not raw cotton,non,549385
argenterie et orfèvrerie vermeil,37,not raw cotton,non,549385
argenterie neuve,4,not raw cotton,non,549385
argenterie vieille,12,not raw cotton,non,549385
argile et terre pour engrais,15,not raw cotton,non,549385
arins,1,not raw cotton,non,549385
aristoloche,68,not raw cotton,non,549385
armement de tables,3,not raw cotton,non,549385
armes,251,not raw cotton,non,549385
armes à feu,367,not raw cotton,non,549385
armes à feu de guerre,2,not raw cotton,non,549385
armes à feu de guerre et de traite,1,not raw cotton,non,549385
armes à feu de guerre portatives,2,not raw cotton,non,549385
armes à feu de luxe,4,not raw cotton,non,549385
armes à feu de luxe ou de traite,3,not raw cotton,non,549385
armes à feu de munitions,2,not raw cotton,non,549385
armes à feu de munitions fines,4,not raw cotton,non,549385
armes à feu de traite,1,not raw cotton,non,549385
armes à feu et artillerie,1,not raw cotton,non,549385
armes à feu et de traite,1,not raw cotton,non,549385
armes à feu et fusils,1,not raw cotton,non,549385
armes armureries,1,not raw cotton,non,549385
armes autres que de guerre à feu,1,not raw cotton,non,549385
armes autres que de guerre blanches,1,not raw cotton,non,549385
armes blanches,201,not raw cotton,non,549385
armes blanches de guerre,1,not raw cotton,non,549385
armes blanches de guerre et de traite,1,not raw cotton,non,549385
armes blanches de luxe,2,not raw cotton,non,549385
armes blanches de luxe ou de traite,3,not raw cotton,non,549385
armes blanches de traite,1,not raw cotton,non,549385
armes de chasse ou de luxe à feu,2,not raw cotton,non,549385
armes de chasse ou de luxe blanches,2,not raw cotton,non,549385
armes de guerre,2,not raw cotton,non,549385
armes différentes,1,not raw cotton,non,549385
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,not raw cotton,non,549385
armes et munitions,9,not raw cotton,non,549385
armes lames,1,not raw cotton,non,549385
armes remontrances,1,not raw cotton,non,549385
armoires,57,not raw cotton,non,549385
armoires ayant servi,1,not raw cotton,non,549385
armoires d'acajou,12,not raw cotton,non,549385
armoires de bois,1,not raw cotton,non,549385
armoires de bois de noyer,1,not raw cotton,non,549385
armoires de bois de sapin peintes,1,not raw cotton,non,549385
armoires de bois des Indes,1,not raw cotton,non,549385
armoires de chêne,9,not raw cotton,non,549385
armoires de chêne ornée,1,not raw cotton,non,549385
armoires de noyer,9,not raw cotton,non,549385
armoires de sapin,3,not raw cotton,non,549385
armoires et commodes,1,not raw cotton,non,549385
armoires vieilles,2,not raw cotton,non,549385
armoisin,46,not raw cotton,non,549385
armure de fer,1,not raw cotton,non,549385
armure vieille,1,not raw cotton,non,549385
arnas,1,not raw cotton,non,549385
arpois,1,not raw cotton,non,549385
arquebuse,1,not raw cotton,non,549385
arrangas,1,not raw cotton,non,549385
arrosoirs,6,not raw cotton,non,549385
arrosoirs de bois,2,not raw cotton,non,549385
arrosoirs de cuivre,1,not raw cotton,non,549385
arrosoirs de fer,1,,non,4510
arrosoirs de fer-blanc,6,not raw cotton,non,549385
arrosoirs de sapin,1,not raw cotton,non,549385
arrosoirs de terre,1,not raw cotton,non,549385
arrowroot,1,not raw cotton,non,549385
arséniate de potasse,2,not raw cotton,non,549385
arsenic,411,not raw cotton,non,549385
arsenic métallique,6,not raw cotton,non,549385
artichauts,79,not raw cotton,non,549385
artichauts champignons et truffes,2,not raw cotton,non,549385
artichauts confits,68,not raw cotton,non,549385
artichauts frais,17,not raw cotton,non,549385
artichauts marinés,2,not raw cotton,non,549385
artichauts secs,6,not raw cotton,non,549385
artifice,5,not raw cotton,non,549385
artifice fusées etc.,1,not raw cotton,non,549385
artillerie,6,not raw cotton,non,549385
asa fœtida,123,not raw cotton,non,549385
asperges,9,not raw cotton,non,549385
asperges confites,1,not raw cotton,non,549385
asperges et scorsonères,1,not raw cotton,non,549385
asphaltum,19,not raw cotton,non,549385
assiette,1,not raw cotton,non,549385
assiette de Biarritz,1,not raw cotton,non,549385
assiette de bois,1,not raw cotton,non,549385
assiette de faïence,8,not raw cotton,non,549385
assiette de porcelaine,3,not raw cotton,non,549385
assiette de porcelaine des Indes,1,not raw cotton,non,549385
assiette de terre,6,not raw cotton,non,549385
assiette et plats de terre,1,not raw cotton,non,549385
asustum,1,not raw cotton,non,549385
atastes,1,not raw cotton,non,549385
atlas,2,not raw cotton,non,549385
atlas à la feuille d'or,1,,non,4510
atlas et instruments de marine,1,not raw cotton,non,549385
atlas jaspé,1,,non,4510
attaches de cuivre,1,not raw cotton,non,549385
attelles de colliers,14,not raw cotton,non,549385
aube,1,not raw cotton,non,549385
auchinoise,2,not raw cotton,non,549385
auclimes,2,not raw cotton,non,549385
auf,117,not raw cotton,non,549385
auf ouvré,0,not raw cotton,oui,549385
auf travaillé,0,not raw cotton,oui,549385
auf travaillé en cordes,0,not raw cotton,oui,549385
augemy,2,not raw cotton,non,549385
auges,3,not raw cotton,non,549385
auges de carreaux,2,not raw cotton,non,549385
augustins,2,not raw cotton,non,549385
aurcsats,1,not raw cotton,non,549385
aurcsats étoile,1,not raw cotton,non,549385
aussière,4,not raw cotton,non,549385
autel de marbre,2,not raw cotton,non,549385
avelanèdes,58,not raw cotton,non,549385
avelines,8,not raw cotton,non,549385
avelines et noisettes sèches,22,not raw cotton,non,549385
avelines faînes noisettes noix,1,not raw cotton,non,549385
avelines noisettes noix,5,not raw cotton,non,549385
avirons,639,not raw cotton,non,549385
avirons bruts,17,not raw cotton,non,549385
avirons de 12 pieds,1,not raw cotton,non,549385
avirons de 18 pieds,1,not raw cotton,non,549385
avirons de 30 pieds,1,not raw cotton,non,549385
avirons de 5 pieds,1,not raw cotton,non,549385
avirons de 8 à 12 pieds,1,not raw cotton,non,549385
avirons de bois,51,not raw cotton,non,549385
avirons de bois façonné,1,not raw cotton,non,549385
