simplification,nbr_occurences_simpl,obsolete,coffee,nbr_occurences_hamburg,nbr_occurences_coffee
aiguilles et épingles de mercerie fine,3,non,Not coffee,442379,825945
aiguilles et mercerie fine,2,non,Not coffee,442379,825945
aiguilles grosses,1,non,Not coffee,442379,825945
aiguilles pour voile,42,non,Not coffee,442379,825945
aiguillettes,1,non,Not coffee,442379,825945
aiguillettes de cuir,1,non,,,43966
aiguillettes de peau,1,non,,,43966
ail,2,oui,Not coffee,442379,825945
ailes,17,non,Not coffee,442379,825945
ailes de fléaux,3,non,Not coffee,442379,825945
ailes de moulins,6,non,Not coffee,442379,825945
ailor,0,non,Not coffee,442379,825945
ails,295,non,Not coffee,442379,825945
ails à fauches,1,non,Not coffee,442379,825945
ails blancs à casser,1,non,Not coffee,442379,825945
aimant,1,non,Not coffee,442379,825945
ains à pêcher,47,non,Not coffee,442379,825945
ains et lignes à pêcher,2,non,Not coffee,442379,825945
airain,7,non,Not coffee,442379,825945
airain non ouvré,4,non,Not coffee,442379,825945
ajamis,308,non,Not coffee,442379,825945
ajustements,37,non,Not coffee,442379,825945
ajustements de femme,5,non,Not coffee,442379,825945
ajustements de soie,2,non,Not coffee,442379,825945
alambics,17,non,Not coffee,442379,825945
alambics d'étain,18,non,Not coffee,442379,825945
alambics de cuivre,2,non,Not coffee,442379,825945
alambics de terre,1,non,Not coffee,442379,825945
alana,2,non,Not coffee,442379,825945
alazar,2,non,Not coffee,442379,825945
albâtre,5,non,Not coffee,442379,825945
albâtre brut,3,non,Not coffee,442379,825945
albâtre et marbre brut et poli,21,non,Not coffee,442379,825945
albâtre moulé poli ou sculpté,6,non,Not coffee,442379,825945
alcalis autre que natron et soude,2,oui,Not coffee,442379,825945
alcalis autre que natron et soudes,2,non,,,43966
alcalis salin,1,non,Not coffee,442379,825945
aleine à cordonnier en acier et en fer,1,non,,,43966
alènes,5,non,Not coffee,442379,825945
alènes à cordonnier en acier et en fer,1,oui,,,43966
algue marine,1,non,,,43966
ali,0,non,,,43966
aliane en feuille,1,non,,,43966
alibanies,115,non,Not coffee,442379,825945
alibanis,14,oui,,,43966
alicot,0,non,,,43966
alizari,31,non,Not coffee,442379,825945
alizari et garance,167,non,Not coffee,442379,825945
alizari sèche,7,non,Not coffee,442379,825945
alkermés,1,non,Not coffee,442379,825945
alkermès en grains,25,non,Not coffee,442379,825945
allaya,91,non,Not coffee,442379,825945
alleaux,1,non,Not coffee,442379,825945
allemande de poil,10,oui,Not coffee,442379,825945
allumettes,138,non,Not coffee,442379,825945
allumettes à vin,32,non,Not coffee,442379,825945
allumettes de coton,1,non,Not coffee,442379,825945
allumettes de mêche soufrée,1,non,Not coffee,442379,825945
allumettes droguées,3,non,Not coffee,442379,825945
allumettes épicée,2,non,Not coffee,442379,825945
allumettes opérées et soufrées,1,non,Not coffee,442379,825945
allumettes soufrées,13,non,Not coffee,442379,825945
almagro ou crayons rouges,2,non,Not coffee,442379,825945
almanachs,1,non,Not coffee,442379,825945
almanachs brochés,2,non,Not coffee,442379,825945
almanachs en blancs,1,non,Not coffee,442379,825945
almanachs enjolivés,2,non,Not coffee,442379,825945
almanachs reliés,1,non,Not coffee,442379,825945
aloès,263,non,Not coffee,442379,825945
aloès cabalin,5,non,Not coffee,442379,825945
aloès commun,1,non,Not coffee,442379,825945
aloès et opium,2,non,Not coffee,442379,825945
aloès hépatique,1,non,Not coffee,442379,825945
aloès moyen,2,non,Not coffee,442379,825945
aloiset,1,non,Not coffee,442379,825945
alose,8,non,Not coffee,442379,825945
alose fumée,4,non,Not coffee,442379,825945
alose salée,5,non,Not coffee,442379,825945
aloues,1,non,Not coffee,442379,825945
alouettes,5,non,Not coffee,442379,825945
alpargate,36,non,Not coffee,442379,825945
alphabets,1,non,Not coffee,442379,825945
alpiste,22,non,Not coffee,442379,825945
alpiste et millet,9,non,Not coffee,442379,825945
alquifoux,519,non,Not coffee,442379,825945
alquifoux en galène,2,non,Not coffee,442379,825945
alquifoux et mine de plomb,36,non,Not coffee,3536,825945
alquifoux mine de plomb ou graphite,23,non,Not coffee,3536,825945
alquifoux ou mine de plomb,3,non,Not coffee,3536,825945
alquifoux sable plombifère,1,non,Not coffee,3536,825945
alquitra,3,non,Not coffee,442379,825945
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,non,Not coffee,442379,825945
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,oui,Not coffee,442379,825945
alto basses contrebasses guitare lyres violes violons,2,non,Not coffee,442379,825945
alto basses contrebasses guitares lyres violes violons,0,oui,Not coffee,442379,825945
alto bassons guitare violons,3,non,Not coffee,442379,825945
alto bassons guitares violons,0,oui,Not coffee,442379,825945
aluchiabanis,3,oui,Not coffee,442379,825945
alun,2534,non,Not coffee,1897,825945
alun à cordonnier,1,non,Not coffee,1897,825945
alun autre que brûlé ou calciné,2,non,Not coffee,1897,825945
alun bon,2,non,Not coffee,1897,825945
alun brûlé,1,non,Not coffee,1897,825945
alun commun,1,non,Not coffee,1897,825945
alun de glace,1,non,Not coffee,1897,825945
alun de roche,5,non,Not coffee,1897,825945
alun de Rome,3,non,Not coffee,1897,825945
alun de Rome fin rosé,1,non,Not coffee,1897,825945
alun de Rouen,2,non,Not coffee,1897,825945
alun de Surde,2,non,Not coffee,1897,825945
alun du Levant,1,non,Not coffee,1897,825945
alun en dracy,1,non,Not coffee,1897,825945
alun en rame,1,non,Not coffee,442379,825945
alun gâté,1,non,Not coffee,1897,825945
alun ordinaire,1,non,Not coffee,1897,825945
alvés,0,non,Not coffee,442379,825945
amadou,344,non,Not coffee,442379,825945
amadou et agaric amadouvier,7,non,Not coffee,442379,825945
amandes,2281,non,Not coffee,12010,825945
amandes à la praline,4,non,Not coffee,12010,825945
amandes amères,2,non,Not coffee,12010,825945
amandes arachis noisettes noix noyaux,2,non,Not coffee,12010,825945
amandes cassée,7,oui,Not coffee,12010,825945
amandes cassées,456,non,Not coffee,12010,825945
amandes cassées ou en coque,3,oui,Not coffee,12010,825945
amandes cassées ou en coques,3,non,,,43966
amandes courtes,102,non,Not coffee,12010,825945
amandes douces,5,non,Not coffee,12010,825945
amandes en coque,438,oui,Not coffee,12010,825945
amandes en coques,460,non,,,43966
amandes et figue et raisin,33,non,Not coffee,12010,825945
amandes et noisettes et raisins secs,2,non,,,43966
amandes et noix et noisettes,100,non,,,43966
amandes et pelures et prunes et raisin,0,non,Not coffee,12010,825945
amandes et pruneaux,82,non,Not coffee,12010,825945
amandes et raisin sec,17,non,Not coffee,12010,825945
amandes et raisin sec et savon,1,non,Not coffee,12010,825945
amandes et savon,13,non,Not coffee,12010,825945
amandes et sucre,25,non,Not coffee,12010,825945
amandes et verdet,33,non,Not coffee,12010,825945
amandes et vert-de-gris,0,oui,Not coffee,12010,825945
amandes fraîches,1,non,Not coffee,12010,825945
amandes longues,65,non,Not coffee,12010,825945
amandes mondées,2,non,Not coffee,12010,825945
amandes sèches,64,non,Not coffee,12010,825945
amandes sèches et figue sèche et ???,0,non,Not coffee,12010,825945
amandes sèches et figue sèche et raisin sec,135,non,Not coffee,12010,825945
amaril,1,oui,Not coffee,12010,825945
amarinage,10,non,,,43966
amarine,1,non,Not coffee,442379,825945
ambrain à grande barrique,1,non,Not coffee,442379,825945
ambre,43,non,Not coffee,442379,825945
ambre blanc,1,non,Not coffee,442379,825945
ambre brut,19,non,Not coffee,442379,825945
ambre carabé,22,non,Not coffee,442379,825945
ambre carabé jaune,2,non,Not coffee,442379,825945
ambre en grains,1,non,Not coffee,442379,825945
ambre et corail,1,non,Not coffee,442379,825945
ambre gris,40,non,Not coffee,442379,825945
ambre gris castoréum civette musc,0,oui,Not coffee,442379,825945
ambre jaune,91,non,Not coffee,442379,825945
ambre moulu,3,non,Not coffee,442379,825945
ameny,1,oui,Not coffee,442379,825945
amer,5,non,Not coffee,442379,825945
amer de laine,1,non,Not coffee,442379,825945
amertis,5,non,Not coffee,442379,825945
ameublement,3,non,Not coffee,442379,825945
ameublement de chitte,1,non,Not coffee,442379,825945
ami de toilé,1,non,Not coffee,442379,825945
amidon,1347,non,Not coffee,442379,825945
amidon alun,1,non,Not coffee,442379,825945
amidon en grains,1,non,Not coffee,442379,825945
amidon en poudre,3,non,Not coffee,442379,825945
amidon et poudre à poudrer,132,non,Not coffee,442379,825945
ammoniac,7,non,Not coffee,442379,825945
ammoniac et sel,26,non,Not coffee,442379,825945
ammonium,1,non,Not coffee,442379,825945
amomum,16,non,Not coffee,442379,825945
amomum et fèves de tonka et noix de ravensara,2,non,Not coffee,442379,825945
amomum verum,2,non,Not coffee,442379,825945
amurca,4,non,Not coffee,442379,825945
anabasse,129,non,Not coffee,442379,825945
anabasse bajutapau,3,non,Not coffee,442379,825945
anabasse corat nicaneas platille,2,non,Not coffee,442379,825945
anacardes,2,non,Not coffee,442379,825945
anacoste,3,non,Not coffee,442379,825945
ananas,12,non,Not coffee,442379,825945
ananas confit,2,non,Not coffee,442379,825945
ananas et pommes de grenade,8,non,Not coffee,442379,825945
ananas planté,1,non,Not coffee,442379,825945
anatomie,1,non,Not coffee,442379,825945
anatose,3,non,Not coffee,442379,825945
