simplification,nbr_occurences_simpl,obsolete,coffee,nbr_occurences_hamburg,nbr_occurences_coffee
huile de graine,639,non,Not coffee,442379,825945
huile de graine autres que de lin d'oeillettes ou de pavots,2,non,,,43966
huile de graine d'anis,1,non,Not coffee,442379,825945
huile de graine d'oeillettes ou de pavots,2,non,,,43966
huile de graine d'olive,1,non,Not coffee,442379,825945
huile de graine de cannelle,1,non,Not coffee,442379,825945
huile de graine de colza lin navette etc. et de noix,2,non,Not coffee,442379,825945
huile de graine de girofle,1,non,Not coffee,442379,825945
huile de graine de lin,5,non,Not coffee,442379,825945
huile de graine de macis,1,non,Not coffee,442379,825945
huile de graine de moutarde,1,non,Not coffee,442379,825945
huile de graine de navette,1,non,Not coffee,442379,825945
huile de graine de navette et de chanvre,0,non,Not coffee,442379,825945
huile de graine de poisson,1,non,Not coffee,442379,825945
huile de graine de Rhodes,1,non,Not coffee,442379,825945
huile de graine de térébenthine,1,non,Not coffee,442379,825945
huile de graine et de lin,6,non,Not coffee,442379,825945
huile de graine et de noix,38,non,Not coffee,442379,825945
huile de graine grasse,3,oui,Not coffee,442379,825945
huile de graine oléagineuse,5,non,,,43966
huile de grains,11,non,Not coffee,442379,825945
huile de grains à peintures,0,oui,Not coffee,442379,825945
huile de grains à peinures,1,non,Not coffee,442379,825945
huile de graisse,2,non,Not coffee,442379,825945
huile de graisse de poisson,1,non,Not coffee,442379,825945
huile de gras,1,non,Not coffee,442379,825945
huile de gras et de traen pour tanneur,0,oui,Not coffee,442379,825945
huile de gras et de traens pour tanneurs,8,non,Not coffee,442379,825945
huile de gras pour tanneur,0,oui,Not coffee,442379,825945
huile de gras pour tanneurs,7,non,Not coffee,442379,825945
huile de Haarlem,23,non,Not coffee,442379,825945
huile de hareng,1,non,Not coffee,442379,825945
huile de jasmin,19,non,Not coffee,442379,825945
huile de jasmin et autres fleurs,3,non,Not coffee,442379,825945
huile de jayet,1,non,Not coffee,442379,825945
huile de laine,1,non,Not coffee,442379,825945
huile de laurier,106,non,Not coffee,442379,825945
huile de lavande,7,non,Not coffee,442379,825945
huile de lin,950,non,Not coffee,442379,825945
huile de lin et de rabette,3,non,,,43966
huile de lin et spirituelle,6,non,Not coffee,442379,825945
huile de lin pour l'entrepôt pour la Compagnie des Indes,1,non,Not coffee,442379,825945
huile de loifon,0,non,Not coffee,442379,825945
huile de loup marin,7,non,Not coffee,442379,825945
huile de maïs,1,non,Not coffee,442379,825945
huile de Majorque,1,non,Not coffee,442379,825945
huile de marjolaine et sauge,1,non,Not coffee,442379,825945
huile de menthe,1,non,Not coffee,442379,825945
huile de morne,2,non,Not coffee,442379,825945
huile de morue,104,non,Not coffee,442379,825945
huile de morue de France,1,oui,,,43966
huile de morue étrangère,1,non,,,43966
huile de morue française,1,non,,,43966
huile de muscade,27,non,Not coffee,442379,825945
huile de navette,189,non,Not coffee,442379,825945
huile de noisettes,2,non,Not coffee,442379,825945
huile de noix,270,non,Not coffee,442379,825945
huile de Palma Christi,9,oui,Not coffee,442379,825945
huile de palme,41,non,Not coffee,442379,825945
huile de palmier,1,non,Not coffee,442379,825945
huile de parfum,4,non,Not coffee,442379,825945
huile de peintures,1,non,Not coffee,442379,825945
huile de pierre,4,non,Not coffee,442379,825945
huile de pignon de palme,2,non,,,43966
huile de pignon et ricin,2,non,Not coffee,442379,825945
huile de pin,1,non,Not coffee,442379,825945
huile de plantes,2,non,Not coffee,442379,825945
huile de poissen,2,oui,,,43966
huile de poisson,2060,non,Not coffee,442379,825945
huile de poisson de France,5,non,,,43966
huile de poisson des Indes,1,non,Not coffee,442379,825945
huile de poisson et de lin,1,non,Not coffee,442379,825945
huile de poisson et poix,1,non,Not coffee,442379,825945
huile de poisson étranger,3,non,,,43966
huile de poix,9,non,Not coffee,442379,825945
huile de rabette,112,non,Not coffee,442379,825945
huile de rave,2,non,Not coffee,442379,825945
huile de Rhodes,14,non,Not coffee,442379,825945
huile de rhue,1,non,Not coffee,442379,825945
huile de ricin,13,non,,,43966
huile de romarin,4,non,Not coffee,442379,825945
huile de rose,4,non,Not coffee,442379,825945
huile de salmus,1,non,Not coffee,442379,825945
huile de sardines,3,non,,,43966
huile de sassafras,2,non,Not coffee,442379,825945
huile de saturne,1,non,Not coffee,442379,825945
huile de scorpion,6,non,Not coffee,442379,825945
huile de sein,1,non,Not coffee,442379,825945
huile de semence,137,non,Not coffee,442379,825945
huile de senteur,102,non,Not coffee,442379,825945
huile de soldat,3,non,Not coffee,442379,825945
huile de soufre,2,non,Not coffee,442379,825945
huile de spermaceti,6,non,Not coffee,210,825945
huile de storax,8,non,Not coffee,442379,825945
huile de tamarin,2,non,Not coffee,442379,825945
huile de tartre,2,non,Not coffee,1470,825945
huile de térébenthine,362,non,Not coffee,442379,825945
huile de verre,2,non,Not coffee,442379,825945
huile de vialle,2,non,Not coffee,442379,825945
huile de vitriol,409,non,Not coffee,1044,825945
huile de vitriol et vitriol,24,non,Not coffee,1044,825945
huile dellevette,2,non,Not coffee,442379,825945
huile diverse,41,non,Not coffee,442379,825945
huile diverse à la valeur,1,non,Not coffee,442379,825945
huile du Pérou,4,non,Not coffee,442379,825945
huile du Sénégal,1,non,,,43966
huile en bouteille,1,non,,,43966
huile en crasse,4,non,Not coffee,442379,825945
huile en crasse ou degnes ???,0,non,Not coffee,442379,825945
huile en crasse ou degras et ???,2,non,,,43966
huile en degens,1,non,,,43966
huile en dignar,1,non,Not coffee,442379,825945
huile en zégnar,1,non,,,43966
huile essencée,1,non,Not coffee,442379,825945
huile essentielle ou volatile de citron girofle menthe rose etc.,2,non,Not coffee,442379,825945
huile et acide vitriolique,0,oui,Not coffee,1044,825945
huile et essence de térébenthine,24,non,Not coffee,442379,825945
huile et provisions,5,non,Not coffee,442379,825945
huile et rabete,1,non,Not coffee,442379,825945
huile et sirop,12,non,Not coffee,442379,825945
huile fine,3,non,Not coffee,442379,825945
huile grap indigo,1,non,Not coffee,442379,825945
huile grasse d'amandes,4,oui,Not coffee,442379,825945
huile grasse d'olive comestible,4,oui,Not coffee,442379,825945
huile grasse d'olive pour fabrique,4,oui,Not coffee,442379,825945
huile grasse de faine et noix,4,oui,Not coffee,442379,825945
huile grasse de graines autres que lin œillette et pavot,2,oui,Not coffee,442379,825945
huile grasse de graines d'œillette ou pavot,2,oui,Not coffee,442379,825945
huile grasse de graines de lin,2,oui,Not coffee,442379,825945
huile grasse de graines grasses,2,oui,Not coffee,442379,825945
huile grasse de palme,2,oui,Not coffee,442379,825945
huile grasse de palme et pignon,2,oui,Not coffee,442379,825945
huile grasse de ricin,4,oui,Not coffee,442379,825945
huile marc d'olive ou amurca,1,non,Not coffee,442379,825945
huile médicinale,14,non,Not coffee,442379,825945
huile pétrole,19,non,Not coffee,442379,825945
huile pour étranger de poisson,1,oui,Not coffee,442379,825945
huile pour France de poisson,3,oui,Not coffee,442379,825945
huile pour lampe,1,non,Not coffee,442379,825945
huile rabette,1,non,Not coffee,442379,825945
huile spirituelle d'olive,8,non,Not coffee,442379,825945
huile spirituelle de poisson,1,non,Not coffee,442379,825945
huile stale,1,non,Not coffee,442379,825945
huile succin,3,non,Not coffee,442379,825945
huile superfine,1,non,Not coffee,442379,825945
huile térébenthine,12,oui,Not coffee,442379,825945
huile vierge,1,non,Not coffee,442379,825945
huile vitriol,3,non,Not coffee,1044,825945
huile volatile,2,non,Not coffee,442379,825945
huile volatile d'anis fenouil marjolaine romarin et sauge,2,non,Not coffee,442379,825945
huile volatile de cade cèdre ou oxycèdre et gaïac,2,non,Not coffee,442379,825945
huile volatile de cannelle girofle macis muscade et sassafras,2,non,Not coffee,442379,825945
huile volatile de citron orange et leurs variétés,2,non,Not coffee,442379,825945
huile volatile de genièvre,1,non,Not coffee,442379,825945
huile volatile de jasmin et autres fleurs d'odeur fugace,2,non,Not coffee,442379,825945
huile volatile de lavande,2,non,Not coffee,442379,825945
huile volatile de rose et de Rhodes,2,non,Not coffee,442379,825945
huitres,98,oui,,,43966
huîtres,389,non,Not coffee,442379,825945
huîtres à la daube,74,non,Not coffee,442379,825945
huîtres à la daube ou huîtres marinées,0,oui,Not coffee,442379,825945
huîtres à la daube ou marinée,1,non,Not coffee,442379,825945
huîtres à mariner,1,non,Not coffee,442379,825945
huîtres en écaille,20,non,Not coffee,442379,825945
huîtres en pierres,2,non,Not coffee,442379,825945
huîtres fraîches,15,non,Not coffee,442379,825945
huîtres fraîches et salées,18,non,Not coffee,442379,825945
huîtres marines,1,non,Not coffee,442379,825945
humains,24,non,Not coffee,442379,825945
humains de Guinée,18,non,,,43966
humains de Sénégal,27,non,,,43966
hydromel,123,non,Not coffee,442379,825945
hypochetia,1,non,Not coffee,442379,825945
hypocristis,1,non,Not coffee,442379,825945
igname,5,non,Not coffee,442379,825945
images,17,non,Not coffee,442379,825945
images à cadres dorés,1,non,Not coffee,442379,825945
images de cire,1,non,Not coffee,442379,825945
images de corne,1,non,Not coffee,442379,825945
images de livres,1,non,,,43966
images de papier,38,non,Not coffee,442379,825945
images de papier et estampes et cartes géographiques,220,non,Not coffee,442379,825945
images de parchemin,73,non,Not coffee,442379,825945
images de parchemin de corne,2,non,Not coffee,442379,825945
images de vélin,6,non,Not coffee,442379,825945
images des Indes,1,non,Not coffee,442379,825945
images et cartes géographiques,2,non,Not coffee,442379,825945
images peintes,2,non,Not coffee,442379,825945
images sur papier,1,non,Not coffee,442379,825945
impériale,9,non,Not coffee,442379,825945
impériale de laine,1,non,Not coffee,442379,825945
Inde,0,oui,Not coffee,442379,825945
inde,6,non,Not coffee,442379,825945
Inde de Java,0,oui,Not coffee,442379,825945
inde de Java,10,non,Not coffee,442379,825945
Inde fine,0,oui,Not coffee,442379,825945
inde fine,28,non,Not coffee,442379,825945
Inde florée,0,oui,Not coffee,442379,825945
inde florée,1,non,Not coffee,442379,825945
Inde flottante,0,oui,Not coffee,442379,825945
inde flottante,15,non,Not coffee,442379,825945
Inde Java,0,oui,Not coffee,442379,825945
inde Java,3,oui,Not coffee,442379,825945
Inde plante,0,oui,Not coffee,442379,825945
Inde plate,0,oui,Not coffee,442379,825945
inde plate,120,non,Not coffee,442379,825945
indienne,886,non,Not coffee,442379,825945
indienne ???,1,non,Not coffee,442379,825945
indienne commune,6,non,Not coffee,442379,825945
indienne de coton,21,non,Not coffee,442379,825945
indienne de coton et de fil,1,non,Not coffee,442379,825945
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,25,non,Not coffee,442379,825945
indienne de coton et siamoise de coton et toile de coton peinte,16,non,Not coffee,442379,825945
indienne de coton et toile de coton peinte,65,non,Not coffee,442379,825945
indienne de coton peinte,2,non,Not coffee,442379,825945
indienne de différentes qualités,1,non,Not coffee,442379,825945
indienne de France,6,non,Not coffee,442379,825945
indienne de Suisse,1,non,,,43966
indienne des Indes,4,non,Not coffee,442379,825945
indienne des Indes et toile peinte,5,non,Not coffee,442379,825945
indienne en coupon,1,non,,,43966
indienne et sitz,143,non,Not coffee,442379,825945
indienne et toile perse,1,non,Not coffee,442379,825945
indienne étrangère,5,non,Not coffee,442379,825945
indienne étrangère et toile peinte,3,non,Not coffee,442379,825945
indienne française,1,non,Not coffee,442379,825945
indienne nationale et toile peinte,5,non,Not coffee,442379,825945
indienne peinte,30,non,Not coffee,442379,825945
indigo,6632,non,Not coffee,3321,825945
indigo commun,2,non,Not coffee,3321,825945
indigo de Guatemala,6,non,,,43966
indigo de guatimalo,0,oui,Not coffee,3321,825945
indigo de retour,3,non,Not coffee,3321,825945
indigo des Îles françaises,1,non,Not coffee,3321,825945
indigo des Indes,1,non,Not coffee,3321,825945
indigo du Guatemala,0,oui,Not coffee,3321,825945
indigo en gr ???,1,non,Not coffee,3321,825945
indigo en grabeau,111,non,,,43966
indigo et sucre,1,non,Not coffee,442379,825945
indigo floré,13,non,Not coffee,3321,825945
indigo guatimalo,8,non,Not coffee,3321,825945
indigo inde-plate boules de bleu,1,non,Not coffee,3321,825945
indigo par Bordeaux Nantes Le Havre et Dunkerque,1,non,Not coffee,3321,825945
injubes,3,non,Not coffee,442379,825945
insectes,4,non,Not coffee,442379,825945
instruments,110,non,Not coffee,442379,825945
instruments aratoires,0,oui,Not coffee,442379,825945
instruments astronomie,0,oui,Not coffee,442379,825945
instruments astronomiques,0,oui,Not coffee,442379,825945
instruments clavecin,0,oui,Not coffee,442379,825945
instruments d'artillerie,1,non,,,43966
instruments d'arts libéraux,7,non,Not coffee,442379,825945
instruments d'astronomie,5,non,Not coffee,442379,825945
instruments d'optique lunettier,1,non,,,43966
instruments d'optiques,13,non,Not coffee,442379,825945
instruments d'optiques et ouvrages ditto,34,non,Not coffee,442379,825945
instruments d'orfèvrerie,1,non,Not coffee,442379,825945
instruments de b??? mêlés,1,non,Not coffee,442379,825945
instruments de chimie,3,non,Not coffee,442379,825945
instruments de chirurgie,48,non,Not coffee,442379,825945
instruments de jardinage,1,non,Not coffee,442379,825945
instruments de marine,18,non,Not coffee,442379,825945
instruments de mathématique,86,non,Not coffee,442379,825945
instruments de mathématique et de musique,9,non,Not coffee,442379,825945
instruments de mathématique et instruments de chirurgie,49,non,Not coffee,442379,825945
instruments de mécanique,3,non,Not coffee,442379,825945
instruments de mer,2,oui,Not coffee,442379,825945
instruments de mesure,1,non,,,43966
instruments de musique,505,non,Not coffee,442379,825945
instruments de musique ???,1,non,Not coffee,442379,825945
instruments de musique et autres,11,non,Not coffee,442379,825945
instruments de navigation,3,non,Not coffee,442379,825945
instruments de physique,24,non,Not coffee,442379,825945
instruments de pilotage,4,non,Not coffee,442379,825945
instruments épinettes,1,non,Not coffee,442379,825945
instruments machine et mécanique,3,non,Not coffee,442379,825945
instruments machine et mécanique propres aux arts et aux sciences,11,non,Not coffee,442379,825945
instruments pour hôpitaux militaires,1,non,,,43966
instruments pour la pêche,10,non,Not coffee,442379,825945
instruments pour les arts et les sciences,181,non,Not coffee,442379,825945
instruments propres aux arts libéraux,10,non,Not coffee,442379,825945
instruments propres aux science,2,non,Not coffee,442379,825945
ipécacuanha,314,non,Not coffee,442379,825945
iranis,1,non,Not coffee,442379,825945
iris,186,non,Not coffee,442379,825945
iris de citron,1,non,Not coffee,442379,825945
iris de Florence,60,non,Not coffee,442379,825945
irtaine,1,oui,Not coffee,442379,825945
isaris d'auf,1,non,Not coffee,442379,825945
isatis,5,non,Not coffee,442379,825945
issarions de palme,4,non,Not coffee,442379,825945
istarions d'espars,1,non,Not coffee,442379,825945
ita à planter,1,non,Not coffee,442379,825945
Itaine de laine,1,non,Not coffee,442379,825945
ivies,1,non,Not coffee,442379,825945
ivoire,87,non,Not coffee,442379,825945
ivoire brûlé,2,non,Not coffee,442379,825945
ivoire brut,81,non,Not coffee,442379,825945
ivoire de Dieppe,1,non,Not coffee,442379,825945
ivoire en grabeau,2,non,,,43966
ivoire en morceaux,2,non,Not coffee,442379,825945
ivoire et or,10,non,,,43966
ivoire noir,1,non,Not coffee,442379,825945
ivoire ou morphil,1,oui,Not coffee,442379,825945
jaillet,2,non,Not coffee,442379,825945
jais,148,non,Not coffee,442379,825945
jais brut,1,non,Not coffee,442379,825945
jais de chêne,1,non,Not coffee,442379,825945
jais ou ouvrages de jais,1,non,Not coffee,442379,825945
jalap,492,non,Not coffee,442379,825945
jalap en grabeau,1,non,,,43966
jamard,2,non,Not coffee,442379,825945
jamavar,23,non,Not coffee,442379,825945
jambon,1429,non,Not coffee,442379,825945
jambon de Bayonne,11,non,Not coffee,442379,825945
jambon de Mayence,6,non,Not coffee,442379,825945
jambon du pays,1,non,Not coffee,442379,825945
jambon et lard,1,non,Not coffee,442379,825945
jambon et lard salé,1,non,Not coffee,442379,825945
jambon et saucissons,1,non,Not coffee,442379,825945
jambon fumé,28,non,Not coffee,442379,825945
jambon lard et saucissons,1,non,Not coffee,442379,825945
jambon non fumé,2,non,Not coffee,442379,825945
jambon pour l'entrepôt de la Compagnie,1,non,Not coffee,442379,825945
jambon salé,100,non,Not coffee,442379,825945
jambons,8,oui,Not coffee,442379,825945
jambons salés,0,oui,Not coffee,442379,825945
jantes,100,non,Not coffee,442379,825945
jantes et rais,5,non,Not coffee,442379,825945
japonis,1,non,,,43966
jardinage divers,1,non,Not coffee,442379,825945
jardinage jasmin,2,non,Not coffee,442379,825945
jarres,241,non,Not coffee,442379,825945
jarres de grès,1,non,,,43966
jarres de terre,27,non,Not coffee,442379,825945
jarres de terre à vin,1,non,,,43966
jarres et dame-jeannes,61,non,,,43966
jarres vides,1,non,Not coffee,442379,825945
jarretières,3,non,Not coffee,442379,825945
jarretières d'argent,4,non,Not coffee,442379,825945
jarretières d'argent et d'or,1,non,Not coffee,442379,825945
jarretières d'argent et d'or et de soie,1,non,Not coffee,442379,825945
jarretières de fil,3,non,Not coffee,442379,825945
jarretières de filoselle,2,non,Not coffee,442379,825945
jarretières de fleuret,12,non,Not coffee,442379,825945
jarretières de laine,11,non,Not coffee,442379,825945
jarretières de soie,23,non,Not coffee,442379,825945
jarretières et ruban de laine,1,non,Not coffee,442379,825945
jarretières et tresse de laine,1,non,Not coffee,442379,825945
jarretières et tresses de laine,0,oui,Not coffee,442379,825945
jas,1,non,Not coffee,442379,825945
jaspe,3,non,Not coffee,442379,825945
jatape,1,non,Not coffee,442379,825945
jattes de bois,3,non,Not coffee,442379,825945
jaune commun,64,non,Not coffee,442379,825945
jaune de Cassel,1,non,Not coffee,442379,825945
jaune de chrome,2,non,Not coffee,442379,825945
jaune de Naples,87,non,Not coffee,442379,825945
jaune doré,7,non,Not coffee,442379,825945
jaune gros,1,non,Not coffee,442379,825945
jaune paille,2,non,Not coffee,442379,825945
jaune royal,2,non,Not coffee,442379,825945
jeanette de laine,1,non,,,43966
jeanne,1,non,Not coffee,442379,825945
jeanne gros,1,non,Not coffee,442379,825945
jet de bière,10,non,Not coffee,442379,825945
jet et lie de bière,136,non,Not coffee,442379,825945
jetons d'argent,1,non,Not coffee,442379,825945
jetons de cuivre,2,non,Not coffee,442379,825945
jets de canettes,2,non,Not coffee,442379,825945
jets de canettes de grès,3,non,,,43966
jets de cannes,3,non,Not coffee,442379,825945
jets de cannes à poignée d'ambre,1,non,Not coffee,442379,825945
jets de creusets,2,non,,,43966
jets de grès,2,non,Not coffee,442379,825945
jets de terre,1,non,Not coffee,442379,825945
jets de voile,43,oui,Not coffee,442379,825945
jeux d'échecs,1,non,Not coffee,442379,825945
jeux d'écrevisse,1,non,Not coffee,442379,825945
jeux d'orgues,1,non,Not coffee,442379,825945
jeux de camagnolle,2,non,Not coffee,442379,825945
jeux de moulins,19,non,Not coffee,442379,825945
jeux de moulins à sucre,10,non,Not coffee,442379,825945
jeux de quadrilles,1,non,,,43966
jeux de voile,107,non,Not coffee,442379,825945
jeux de voile en toile de Bretagne,1,non,,,43966
joaillerie,1,non,Not coffee,442379,825945
jolités de cristal garnis de cuivre,2,non,Not coffee,442379,825945
jolités en pinsbeck,3,non,Not coffee,442379,825945
jolités mêlées,135,non,Not coffee,442379,825945
jonc en blocs,0,oui,Not coffee,442379,825945
joncs,79,non,Not coffee,442379,825945
joncs à couvrir,0,oui,Not coffee,442379,825945
joncs à couvrir bottes,0,oui,Not coffee,442379,825945
joncs à couvrir toits,0,oui,Not coffee,442379,825945
joncs à faire ???,0,oui,Not coffee,442379,825945
joncs à faire chaises,0,oui,Not coffee,442379,825945
joncs à faire des cannes,4,non,Not coffee,442379,825945
joncs à faire des vertugadins,0,oui,Not coffee,442379,825945
joncs à faire les chaises des Indes,0,oui,Not coffee,442379,825945
joncs à joncher les volailles,3,non,Not coffee,442379,825945
joncs communs,4,non,Not coffee,442379,825945
joncs de cannes,1,non,Not coffee,442379,825945
joncs des Indes,1,non,Not coffee,442379,825945
joncs des marais,3,non,,,43966
joncs en blocs,1,non,Not coffee,442379,825945
joncs en herbes,1,non,Not coffee,442379,825945
joncs entes,0,oui,Not coffee,442379,825945
joncs entés,17,non,Not coffee,442379,825945
joncs esté,0,oui,Not coffee,442379,825945
joncs et roseaux,32,non,Not coffee,442379,825945
joncs et roseaux des jardins,2,non,Not coffee,442379,825945
joncs et roseaux des marais d'Europe Presle et Sparte brut,2,non,Not coffee,442379,825945
joncs et roseaux exotiques bambous et joncs forts à cannes,2,non,Not coffee,442379,825945
joncs et roseaux exotiques rotins de petit calibre,3,non,Not coffee,442379,825945
joncs odorants,2,non,Not coffee,442379,825945
joncs ou auf,4,non,Not coffee,442379,825945
joncs pour cannes,1,non,Not coffee,442379,825945
joncs pour cannes et bambous et rotin,19,non,Not coffee,442379,825945
joncs pour cannes et bambous et ruban,8,non,Not coffee,442379,825945
joncs pour chaises,4,non,Not coffee,442379,825945
joncs pour couvrir,87,non,Not coffee,442379,825945
joncs pour couvrir bottes,2,non,Not coffee,442379,825945
joncs pour couvrir toits,85,non,Not coffee,442379,825945
joncs pour faire ???,2,non,Not coffee,442379,825945
joncs pour faire chaises,51,non,Not coffee,442379,825945
joncs pour faire des vertugadins,3,non,Not coffee,442379,825945
joncs pour faire les chaises des Indes,1,non,Not coffee,442379,825945
joncs pour faire voile,1,non,Not coffee,442379,825945
joncs pour joncher les volailles,1,non,Not coffee,442379,825945
joncs pour joncher voiles,2,non,Not coffee,442379,825945
joncs pour voile,25,non,Not coffee,442379,825945
joncs rotin,3,non,Not coffee,442379,825945
joncs Sparte brut et autres communs,1,non,Not coffee,442379,825945
joncs travaillés et paille travaillée,92,non,Not coffee,442379,825945
joncs vernis,1,non,Not coffee,442379,825945
jonquilles,1,non,,,43966
jonquine,16,non,Not coffee,442379,825945
Joséphine de laine et de soie,1,non,Not coffee,442379,825945
jouets,6,non,Not coffee,442379,825945
jouets d'enfance,1,non,Not coffee,442379,825945
jouets d'enfant,12,non,Not coffee,442379,825945
jougs de bœuf,5,non,Not coffee,442379,825945
joujoux d'enfants,9,non,Not coffee,442379,825945
jouncs ou auf,1,oui,,,43966
jude plate,0,oui,Not coffee,442379,825945
juifs qui payent le droit corporel à la sortie,64,non,Not coffee,442379,825945
jujubes,101,non,Not coffee,442379,825945
julaux,1,non,Not coffee,442379,825945
julienne,3,non,Not coffee,442379,825945
juments,41,non,Not coffee,442379,825945
juments de somme,3,non,Not coffee,442379,825945
juments et poulains,8,non,Not coffee,442379,825945
juments ou mulets,1,non,Not coffee,442379,825945
jupes,9,non,Not coffee,442379,825945
jupes d'indiennes,1,non,,,43966
jupes de basin brodée en soie,1,non,Not coffee,442379,825945
jupes de calmande,1,non,Not coffee,442379,825945
jupes de cirsaca,1,non,,,43966
jupes de coton,2,non,Not coffee,442379,825945
jupes de laine et de soie,1,non,Not coffee,442379,825945
jupes de molleton,2,non,Not coffee,442379,825945
jupes de molson,0,oui,Not coffee,442379,825945
jupes de satin brodée,1,non,Not coffee,442379,825945
jupes de toile peinte,5,non,Not coffee,442379,825945
jupes et tabliers de toile peinte,1,non,Not coffee,442379,825945
jupes peintes,1,non,Not coffee,442379,825945
jupes petites,1,non,,,43966
jupes piquées,5,non,Not coffee,442379,825945
jupons,24,non,Not coffee,442379,825945
jupons brodés,2,non,Not coffee,442379,825945
jupons d'étoffe et soie brodés,1,non,,,43966
jupons de basin brodés,1,non,Not coffee,442379,825945
jupons de Pékin brodé en soie or et argent,1,non,Not coffee,442379,825945
jupons de satin,2,non,Not coffee,442379,825945
jupons de taffetas,3,non,Not coffee,442379,825945
jupons de toile,1,non,Not coffee,442379,825945
jupons de toile peinte,2,non,Not coffee,442379,825945
jupons peints,1,non,Not coffee,442379,825945
jupons piqués,5,non,Not coffee,442379,825945
jus,2,non,Not coffee,442379,825945
jus d'agriolle,0,oui,Not coffee,442379,825945
jus d'agriotte,0,oui,Not coffee,442379,825945
jus d'orange,2,non,Not coffee,442379,825945
jus de cerise,1,non,Not coffee,442379,825945
jus de citrate calcaire,1,non,Not coffee,442379,825945
jus de citron,416,non,Not coffee,442379,825945
jus de citron et de limon,10,non,Not coffee,442379,825945
jus de citron et de limonade,2,non,Not coffee,442379,825945
jus de Florence,1,non,Not coffee,442379,825945
jus de griotte,1,non,Not coffee,442379,825945
jus de limon,36,non,Not coffee,442379,825945
jus de réglisse,865,non,Not coffee,442379,825945
jus et sirop de cerise et de grenade,7,non,Not coffee,442379,825945
jus et sirop de cerise et de grenade avec nourritures,69,non,Not coffee,442379,825945
jussienne,2,oui,Not coffee,442379,825945
kalmouk,10,non,Not coffee,442379,825945
kalmouk de mauvaise qualité,1,non,,,43966
kalmouk de Sedan 20 lignes,1,non,Not coffee,442379,825945
kalmouk de Sedan 350 lignes,1,non,Not coffee,442379,825945
kichorchais,9,non,Not coffee,442379,825945
kicoutis,2,non,Not coffee,442379,825945
killis,1,oui,Not coffee,442379,825945
kirschwasser,6,non,Not coffee,442379,825945
korola des Indes,2,non,Not coffee,442379,825945
korots,0,oui,Not coffee,442379,825945
korotte,0,oui,Not coffee,442379,825945
koruoté,0,oui,Not coffee,442379,825945
l? de fer,1,non,,,43966
labdanum,3,non,Not coffee,442379,825945
lac commun,57,non,Not coffee,442379,825945
lacets,6,non,Not coffee,442379,825945
lacets d'argent et de soie,1,non,Not coffee,442379,825945
lacets de fil,30,non,Not coffee,442379,825945
lacets de filoselle,14,non,Not coffee,442379,825945
lacets de filoselle et de soie,1,non,Not coffee,442379,825945
lacets de fleuret,19,non,Not coffee,442379,825945
lacets de laine,2,non,Not coffee,442379,825945
lacets de peau,3,non,Not coffee,442379,825945
lacets de soie,21,non,Not coffee,442379,825945
lackière,1,non,Not coffee,442379,825945
lackmoes,0,oui,Not coffee,442379,825945
lackmoir,0,oui,Not coffee,442379,825945
lacmoes,0,oui,Not coffee,442379,825945
lacmoës,0,oui,Not coffee,442379,825945
lacoris,1,non,Not coffee,442379,825945
ladanum,1,non,Not coffee,442379,825945
lagias,12,non,Not coffee,442379,825945
laimes,1,non,Not coffee,442379,825945
laimois,1,non,Not coffee,442379,825945
lain,1,non,Not coffee,442379,825945
lainage couvertures,53,oui,Not coffee,442379,825945
laine,1113,non,Not coffee,442379,825945
laine à broder,19,non,Not coffee,442379,825945
laine à laver,1,non,Not coffee,442379,825945
laine à lisières,2,non,Not coffee,442379,825945
laine à matelas,3,non,Not coffee,442379,825945
laine à tapis fine,1,non,Not coffee,442379,825945
laine à tapisserie,111,non,Not coffee,442379,825945
laine à tricoter,1,non,Not coffee,442379,825945
laine apprêtée pour perruques,10,non,Not coffee,442379,825945
laine bâtarde,5,non,Not coffee,442379,825945
laine blanche,4,non,Not coffee,442379,825945
laine blanche et filée et teinte,0,oui,Not coffee,442379,825945
laine blanche et fine et filée et teinte,13,non,Not coffee,442379,825945
laine blanche non filée,1,non,Not coffee,442379,825945
laine bourre et déchets de laine,2,non,Not coffee,442379,825945
laine brute,522,non,Not coffee,442379,825945
laine brute fine,6,non,Not coffee,442379,825945
laine brute surfine,5,non,Not coffee,442379,825945
laine cardée,4,non,Not coffee,442379,825945
laine chevron,8,oui,Not coffee,442379,825945
laine commune,128,non,Not coffee,442379,825945
laine commune brute,6,non,Not coffee,442379,825945
laine commune d'Espagne,2,non,Not coffee,442379,825945
laine commune épurée,1,non,Not coffee,442379,825945
laine commune et lavée et en suint,8,non,Not coffee,442379,825945
laine commune filée,0,oui,Not coffee,442379,825945
laine commune lavée à chaud,4,non,Not coffee,442379,825945
laine commune lavée à froid,6,non,Not coffee,442379,825945
laine commune sans distinction,1,non,Not coffee,442379,825945
laine crottelins,1,non,Not coffee,442379,825945
laine crue,2,non,Not coffee,442379,825945
laine d'agnelin,111,non,Not coffee,442379,825945
laine d'agnelin en suint,2,non,Not coffee,442379,825945
laine d'Allemagne,103,non,Not coffee,442379,825945
laine d'alpaca,2,non,Not coffee,442379,825945
laine d'Angleterre,3,non,Not coffee,442379,825945
