goods_simpl_classification,nbr_occurences_simpl,ulrich_classification,obsolete,nbr_occurences_ulrich
amadou et agaric amadouvier,7,out,non,488241
amandes,1206,out,non,488241
amandes à la praline,4,out,non,488241
amandes amères,1,out,non,488241
amandes arachis noisettes noix noyaux,2,out,non,488241
amandes cassée,6,out,non,488241
amandes cassées,383,out,non,488241
amandes cassées ou en coque,3,out,non,488241
amandes courtes,1,out,non,488241
amandes douces,4,out,non,488241
amandes en coque,298,out,non,488241
amandes et figue et raisin,24,out,non,488241
amandes et pelures et prunes et raisin,1,out,non,488241
amandes et pruneaux,2,out,non,488241
amandes et raisin sec,2,out,non,488241
amandes et raisin sec et savon,1,out,non,488241
amandes et savon,2,out,non,488241
amandes et sucre,1,sugar,non,8358
amandes et verdet,1,out,non,488241
amandes fraîches,1,out,non,488241
amandes longues,1,out,non,488241
amandes mondées,2,out,non,488241
amandes sèches,64,out,non,488241
amandes sèches et figue sèche et ???,9,out,non,488241
amandes sèches et figue sèche et raisin sec,135,out,non,488241
amaril,1,out,oui,488241
amarine,1,out,non,488241
ambrain à grande barrique,1,out,non,488241
ambre,42,out,non,488241
ambre blanc,1,out,non,488241
ambre brut,1,out,non,488241
ambre carabé,21,out,non,488241
ambre carabé jaune,2,out,non,488241
ambre en grains,1,out,non,488241
ambre et corail,1,out,non,488241
ambre gris,36,out,non,488241
ambre jaune,72,out,non,488241
ambre moulu,2,out,non,488241
ameny,1,out,non,488241
amer,3,out,non,488241
amer de laine,1,out,non,488241
amertis,4,cotton goods,non,14762
ameublement,2,out,non,488241
ameublement de chitte,1,out,non,488241
ami de toilé,1,out,non,488241
amidon,1165,out,non,488241
amidon alun,1,out,non,488241
amidon en grains,1,out,non,488241
amidon en poudre,1,out,non,488241
amidon et poudre à poudrer,1,out,non,488241
ammoniac,7,out,non,488241
ammoniac et sel,21,out,non,488241
ammonium,5,out,non,488241
amomum,11,out,non,488241
amomum et fèves de tonka et noix de ravensara,2,out,non,488241
amomum verum,2,out,non,488241
amurca,4,out,non,488241
anabasse,120,out,non,488241
anabasse ; bajutapau,3,out,non,488241
anabasse ; corat ; nicaneas ; platille,2,out,non,488241
anacardes,2,out,non,488241
anacoste,3,out,non,488241
ananas,1,out,non,488241
ananas confit,2,out,non,488241
ananas et pommes de grenade,1,out,non,488241
ananas planté,1,out,non,488241
anatomie,1,out,non,488241
anatose,3,out,non,488241
anches de tonneaux,2,out,non,488241
anchois,851,out,non,488241
anchois câpres et olives,10,out,non,488241
anchois câpres etc.,1,out,non,488241
anchois câpres olives,1,out,non,488241
anchois et boutargue,13,out,non,488241
anchois et câpres,5,out,non,488241
anchois et sardes,1,out,non,488241
anchois et sardines,5,out,non,488241
anchois mariné,6,out,non,488241
anchois mariné et salé,39,out,non,488241
anchois salé et mariné,2,out,non,488241
anchois salés,5,out,non,488241
anchois salés et marinés,9,out,non,488241
ancres,5,out,non,488241
ancres de chaudon,1,out,non,488241
ancres de fer,552,out,non,488241
ancres de fer à chaudrons,1,out,non,488241
ancres de fer au-dessus de 250 kilogrammes,1,out,non,488241
ancres de fer de 250 kilogrammes et au-dessous,1,out,non,488241
ancres de fer et embarcations,2,out,non,488241
ancres et embarcations,5,out,non,488241
ancres et grappins de fer,1,out,non,488241
ancres gravelées,1,out,non,488241
ancres neuves,3,out,non,488241
ancres vides,4,out,non,488241
ancres vieilles,1,out,non,488241
ancres vieilles vides,1,out,non,488241
andolium,2,out,non,488241
andouilles,43,out,non,488241
andouillette,1,out,non,488241
ânes,174,out,non,488241
ânes et ânesses,9,out,non,488241
ânes et mulets,11,out,non,488241
ânesses,1,out,non,488241
angélique,28,out,non,488241
angélique du Rozème,1,out,non,488241
anguilles,23,out,non,488241
anguilles et truites,1,out,non,488241
anguilles fraîches,1,out,non,488241
anguilles marinées,1,out,non,488241
anguilles salées,22,out,non,488241
anille,1,out,non,488241
animaux,5,out,non,488241
anis,520,out,non,488241
anis et rac et rhum etc.,2,out,non,488241
anis et sucre,1,sugar,non,8358
anis vert,93,out,non,488241
anis vert à distiller,2,out,non,488241
anisette,113,out,non,488241
anisette au fiasque,6,out,non,488241
anisette de Bordeaux,2,out,non,488241
anneau de cuivre,1,out,non,488241
anneau de fer,2,out,non,488241
anneaux de cuivre,1,out,non,488241
anneaux de fer,1,out,non,488241
ânon,2,out,non,488241
anspects,124,out,non,488241
anspects de 3 à 4 pieds,1,out,non,488241
anspects de bois,27,out,non,488241
anspects de sapin,1,out,non,488241
antale,3,out,non,488241
antale et cauris,1,out,non,488241
antchibanis,9,out,non,488241
antenelle,1,out,non,488241
antennes,2,out,non,488241
antennes et mâts de bateaux,1,out,non,488241
antimoine,221,out,non,488241
antimoine cru,27,out,non,488241
antimoine métallique et sulfuré,2,out,non,488241
antimoine préparé,2,out,non,488241
antimoine vert,1,out,non,488241
antofle,1,out,non,488241
antofle de girofle,11,out,non,488241
apasier,1,out,non,488241
apier,3,out,non,488241
apios,7,out,non,488241
apparaux et bâtiments de mer,38,out,non,488241
apprêtée à toiler les livres,1,out,non,488241
apprêtée pour parchemins,1,out,non,488241
arachis olives fraîches,1,out,non,488241
arains,6,out,non,488241
arak,17,out,non,488241
arbalètes,1,out,non,488241
arbalètrrie et cartes marines,1,out,non,488241
arbres,7,out,non,488241
arbres à fruits,2,out,non,488241
arbres à planter,142,out,non,488241
arbres châtaignier,4,out,non,488241
arbres d' ???,1,out,non,488241
arbres d'auban,1,out,non,488241
arbres de sapin,1,out,non,488241
arbres et arbrisseaux,25,out,non,488241
arbres et arbrisseaux à fruits,1,out,non,488241
arbres et arbrisseaux sauvages,1,out,non,488241
arbres et arbustes,6,out,non,488241
arbres et plants,1,out,non,488241
arbres fruitiers,87,out,non,488241
arbres marronniers à planter,1,out,non,488241
arbres nains,1,out,non,488241
arbres tilleul,3,out,non,488241
arbrisseaux,9,out,non,488241
arbustes,3,out,non,488241
arcanette,1,out,non,488241
arcanie,1,out,non,488241
arcanson,4,out,non,488241
arcanum duplicatum,2,out,non,488241
archets de violons,1,out,non,488241
archets et violon,1,out,non,488241
archiabanis,1,out,non,488241
arçons de bas de bois,1,out,non,488241
arçons de bois,1,out,non,488241
arçons de selles,14,out,non,488241
arçons démontés,1,out,non,488241
ardoise,364,out,non,488241
ardoise à piler,1,out,non,488241
ardoise commune,2,out,non,488241
ardoise dite chérubin et à mortier,1,out,non,488241
ardoise dite grande voisine,1,out,non,488241
ardoise dite moyenne voisine,1,out,non,488241
ardoise dite petite voisine,1,out,non,488241
ardoise dite voisine grande moyenne et petite,2,out,non,488241
ardoise en carreaux,1,out,non,488241
ardoise en carreaux et d'1 pied carré,1,out,non,488241
ardoise en carreaux ou en table,7,out,non,488241
ardoise en livret,1,out,non,488241
ardoise encadrée,1,out,non,488241
ardoise encadrée et en livret,1,out,non,488241
ardoise non travaillée,1,out,non,488241
ardoise pour fenêtre,6,out,non,488241
ardoise pour toiture,8,out,non,488241
ardoise pour toiture au kilogramme,1,out,non,488241
ardoise pour toiture au nombre,2,out,non,488241
ardoise verte,1,out,non,488241
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,out,non,488241
arelles de baleine,1,out,non,488241
argent,11,out,non,488241
argent battu,1,out,non,488241
argent battu et en feuille,2,out,non,488241
argent battu filé laminé et tiré,3,out,non,488241
argent brisé et en lingots et en masses,1,out,non,488241
argent brûlé,2,out,non,488241
argent brut,1,out,non,488241
argent brut en lingot et en masse ouvrages détruits,2,out,non,488241
argent carragoux,2,out,non,488241
argent en barils,1,out,non,488241
argent en barres,3,out,non,488241
argent en lingots,18,out,non,488241
argent en lingots par Calais,1,out,non,488241
argent et or,238,out,non,488241
argent et or billon,1,out,non,488241
argent faux,9,out,non,488241
argent faux en fil cantilles etc.,2,out,non,488241
argent faux et or faux,53,out,non,488241
argent faux et or faux traits,1,out,non,488241
argent fin,1,out,non,488241
argent monnayé et nogat d'or,4,out,non,488241
argent vif,3,out,non,488241
argenterie,732,out,non,488241
argenterie épée,7,out,non,488241
argenterie et bijouterie,14,out,non,488241
argenterie et bijouterie et orfèvrerie,1,out,non,488241
argenterie et orfèvrerie,122,out,non,488241
argenterie et orfèvrerie vermeil,37,out,non,488241
argenterie neuve,4,out,non,488241
argenterie vieille,12,out,non,488241
argile et terre pour engrais,15,out,non,488241
arins,1,out,non,488241
aristoloche,68,out,non,488241
armement de tables,3,out,non,488241
armes,251,out,non,488241
armes à feu,367,out,non,488241
armes à feu de guerre,2,out,non,488241
armes à feu de guerre et de traite,1,out,non,488241
armes à feu de guerre portatives,2,out,non,488241
armes à feu de luxe,4,out,non,488241
armes à feu de luxe ou de traite,3,out,non,488241
armes à feu de munitions,2,out,non,488241
armes à feu de munitions fines,4,out,non,488241
armes à feu de traite,1,out,non,488241
armes à feu et artillerie,1,out,non,488241
armes à feu et de traite,1,out,non,488241
armes à feu et fusils,1,out,non,488241
armes armureries,1,out,non,488241
armes autres que de guerre à feu,1,out,non,488241
armes autres que de guerre blanches,1,out,non,488241
armes blanches,201,out,non,488241
armes blanches de guerre,1,out,non,488241
armes blanches de guerre et de traite,1,out,non,488241
armes blanches de luxe,2,out,non,488241
armes blanches de luxe ou de traite,3,out,non,488241
armes blanches de traite,1,out,non,488241
armes de chasse ou de luxe à feu,2,out,non,488241
armes de chasse ou de luxe blanches,2,out,non,488241
armes de guerre,2,out,non,488241
armes différentes,1,out,non,488241
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,out,non,488241
armes et munitions,9,out,non,488241
armes lames,1,out,non,488241
armes remontrances,1,out,non,488241
armoires,57,out,non,488241
armoires ayant servi,1,out,non,488241
armoires d'acajou,12,out,non,488241
armoires de bois,1,out,non,488241
armoires de bois de noyer,1,out,non,488241
armoires de bois de sapin peintes,1,out,non,488241
armoires de bois des Indes,1,out,non,488241
armoires de chêne,9,out,non,488241
armoires de chêne ornée,1,out,non,488241
armoires de noyer,9,out,non,488241
armoires de sapin,3,out,non,488241
armoires et commodes,1,out,non,488241
armoires vieilles,2,out,non,488241
armoisin,46,out,non,488241
armure de fer,1,out,non,488241
armure vieille,1,out,non,488241
arnas,1,out,non,488241
arpois,1,out,non,488241
arquebuse,1,out,non,488241
arrangas,1,out,non,488241
arrosoirs,6,out,non,488241
arrosoirs de bois,2,out,non,488241
arrosoirs de cuivre,1,out,non,488241
arrosoirs de fer,1,out,non,488241
arrosoirs de fer-blanc,6,out,non,488241
arrosoirs de sapin,1,out,non,488241
arrosoirs de terre,1,out,non,488241
arrowroot,1,out,non,488241
arséniate de potasse,2,out,non,488241
arsenic,411,out,non,488241
arsenic métallique,6,out,non,488241
artichauts,79,out,non,488241
artichauts champignons et truffes,2,out,non,488241
artichauts confits,68,out,non,488241
artichauts frais,17,out,non,488241
artichauts marinés,2,out,non,488241
artichauts secs,6,out,non,488241
artifice,5,out,non,488241
artifice fusées etc.,1,out,non,488241
artillerie,6,out,non,488241
asa fœtida,123,out,non,488241
asperges,9,out,non,488241
asperges confites,1,out,non,488241
asperges et scorsonères,1,out,non,488241
asphaltum,19,out,non,488241
assiette,1,out,non,488241
assiette de Biarritz,1,out,non,488241
assiette de bois,1,out,non,488241
assiette de faïence,8,out,non,488241
assiette de porcelaine,3,out,non,488241
assiette de porcelaine des Indes,1,out,non,488241
assiette de terre,6,out,non,488241
assiette et plats de terre,1,out,non,488241
asustum,1,out,non,488241
atastes,1,out,non,488241
atlas,2,out,non,488241
atlas à la feuille d'or,1,out,non,488241
atlas et instruments de marine,1,out,non,488241
atlas jaspé,1,out,non,488241
attaches de cuivre,1,out,non,488241
attelles de colliers,14,out,non,488241
aube,1,out,non,488241
auchinoise,2,out,non,488241
auclimes,2,out,non,488241
auf,117,out,non,488241
augemy,2,out,non,488241
auges,3,out,non,488241
auges de carreaux,2,out,non,488241
augustins,2,out,non,488241
aurcsats,1,out,non,488241
aurcsats étoile,1,out,non,488241
aussière,4,out,non,488241
autel de marbre,2,out,non,488241
avelanèdes,58,out,non,488241
avelines,8,out,non,488241
avelines et noisettes sèches,22,out,non,488241
avelines faînes noisettes noix,1,out,non,488241
avelines noisettes noix,5,out,non,488241
avirons,639,out,non,488241
avirons bruts,17,out,non,488241
avirons de 12 pieds,1,out,non,488241
avirons de 18 pieds,1,out,non,488241
avirons de 30 pieds,1,out,non,488241
avirons de 5 pieds,1,out,non,488241
avirons de 8 à 12 pieds,1,out,non,488241
avirons de bois,51,out,non,488241
avirons de bois façonné,1,out,non,488241
avirons de chêne,1,out,non,488241
avirons de sapin,1,out,non,488241
avirons et perches de bois,3,out,non,488241
avirons et rames bruts,2,out,non,488241
avirons et rames de bois,1,out,non,488241
avirons et rames de bois façonné,2,out,non,488241
avirons et rames façonnés,5,out,non,488241
avirons polis,1,out,non,488241
avoine,496,out,non,488241
avoine en gerbes,1,out,non,488241
avoine et haricots,1,out,non,488241
avoine et orge etc.,1,out,non,488241
avoine mondée,1,out,non,488241
avoine moulée,1,out,non,488241
azur,729,out,non,488241
azur commun,197,out,non,488241
azur et bleu de Prusse,9,out,non,488241
azur et cobalt,20,out,non,488241
azur fin,13,out,non,488241
azur gros,22,out,non,488241
babassis,1,out,non,488241
babouches,90,out,non,488241
babouches de maroquin,2,out,non,488241
bacs d'1 aime,1,out,non,488241
bacs de pierre,1,out,non,488241
bacs de pierre bleue,1,out,non,488241
bacs de pierre d'1 aime,1,out,non,488241
bacs de pierre de 4 aimes,1,out,non,488241
bacs de pierre de demi d'aime,1,out,non,488241
bacs de pierre de moindre classe,1,out,non,488241
bacs de pierre de trois-quart d'aime,1,out,non,488241
bacs de pierre en dessous d'1 aime,1,out,non,488241
bacs de pierre en dessus d'1 aime,1,out,non,488241
badiane,60,out,non,488241
baffetas,10,cotton goods,non,14762
baffetas blanc,19,cotton goods,non,14762
baffetas bleu,26,cotton goods,non,14762
baffetas des Indes,2,cotton goods,non,14762
bagarot,1,out,non,488241
bagues,5,out,non,488241
bagues à pierres fausses,1,out,non,488241
bagues d'argent,2,out,non,488241
bagues d'or,1,out,non,488241
bagues de cuivre,2,out,non,488241
bagues de laiton,1,out,non,488241
bagues de verre,3,out,non,488241
baguettes,6,out,non,488241
baguettes à chandelle,1,out,non,488241
baguettes à étoffe,2,out,non,488241
baguettes d'étain,2,out,non,488241
baguettes de bois,1,out,non,488241
baguettes de bois doré,1,out,non,488241
baguettes de cuivre,3,out,non,488241
baguettes de fer à fusil,1,out,non,488241
baguettes de fusil,47,out,non,488241
bahuts,24,out,non,488241
baie de laurier,28,out,non,488241
baies de buis,1,out,non,488241
baies de genévrier à distiller,2,out,non,488241
baies de genièvre,6,out,non,488241
baignes,3,out,non,488241
baignoires,2,out,non,488241
baignoires d'acajou,1,out,non,488241
baignoires de cuivre,4,out,non,488241
baignoires de sapin,1,out,non,488241
baignoires de tôle,2,out,non,488241
baigots,1,out,non,488241
baillarge,5,out,non,488241
bailles,1,out,non,488241
baïonnettes,13,out,non,488241
bais de bois de chêne,1,out,non,488241
bajutapau,230,cotton goods,non,14762
bajutapau commun,1,cotton goods,non,14762
bajutapau des Indes,1,cotton goods,non,14762
"bajutapau, canelis, etc.",3,cotton goods,non,14762
balais,123,out,non,488241
balais communs,5,out,non,488241
balais coupés,3,out,non,488241
balais de bois,39,out,non,488241
balais de brandes,1,out,non,488241
balais de bruyère,13,out,non,488241
balais de chanvre,1,out,non,488241
balais de crin,12,out,non,488241
balais de foyer,1,out,non,488241
balais de jonc,50,out,non,488241
balais de jonc petits,1,out,non,488241
balais de laine à laver les planchers,1,out,non,488241
balais de millet,2,out,non,488241
balais de paille,2,out,non,488241
balais de paille de riz,6,out,non,488241
balais de palme,295,out,non,488241
balais de palme petits,1,out,non,488241
balais de plumes,3,out,non,488241
balais de poil,2,out,non,488241
balais de riz,5,out,non,488241
balais de soie,7,out,non,488241
balais de soie de porcs,18,out,non,488241
balais de toile,1,out,non,488241
balais du roi,1,out,non,488241
balais fins,1,out,non,488241
balais grands de palme,2,out,non,488241
balais ou ramons,1,out,non,488241
balais petits,1,out,non,488241
balance,8,out,non,488241
balance à la romaine,1,out,non,488241
balance complète,1,out,non,488241
balance de bois,1,out,non,488241
balance de cuivre,8,out,non,488241
balance de cuivre jaune,1,out,non,488241
balance de fer,4,out,non,488241
balance et poids de cuivre,1,out,non,488241
balance et romaine,2,out,non,488241
balance et ses poids,1,out,non,488241
balance ou fléaux en fer,1,out,non,488241
balance petite,1,out,non,488241
balance romaine,3,out,non,488241
balcon de fer,1,out,non,488241
baleine,125,out,non,488241
baleine apprêtée,1,out,non,488241
baleine coupée,641,out,non,488241
baleine coupée en fanon,11,out,non,488241
baleine coupée et en fanon,12,out,non,488241
baleine de sarde,18,out,non,488241
baleine en fanon,278,out,non,488241
baleine en fanon et de sarde,1,out,non,488241
baleine non sciée,1,out,non,488241
baleine taillée,1,out,non,488241
balles,1,out,non,488241
balles à jouer,3,out,non,488241
balles d'osier,3,out,non,488241
balles de fer et canons de fer,2,out,non,488241
balles de fer uni,1,out,non,488241
balles de jonc,1,out,non,488241
balles de palme,1,out,non,488241
balles de plomb,8,out,non,488241
balles et dragées de plomb,1,out,non,488241
balles vides,1,out,non,488241
balustres,12,out,non,488241
bamboches,1,out,non,488241
bambous,8,out,non,488241
banastron,1,out,non,488241
banc à couper la paille,1,out,non,488241
banc de sapin,1,out,non,488241
bandages,4,out,non,488241
bandages de peaux,5,out,non,488241
bandages pour soldats,1,out,non,488241
bandanas des Indes,1,out,non,488241
bandeaux,4,out,non,488241
banderoles,1,out,non,488241
banderoles de cuir,2,out,non,488241
bandes de cabrouets de fer,3,out,non,488241
bandes de charrettes,1,out,non,488241
bandes de fer,4,out,non,488241
bandes de fer à tombereaux,1,out,non,488241
bandes de roues de fer,1,out,non,488241
bandes de tulles brodées,1,out,non,488241
bandes et barres de fer,4,out,non,488241
bandoulières garnies d'argent,1,out,non,488241
bannes et bannettes d'osier,1,out,non,488241
bannettes d'osier,1,out,non,488241
bannettes de cuir,1,out,non,488241
bannière de Damas,1,out,non,488241
banquette,4,out,non,488241
baquelets,1,out,non,488241
baquets,2,out,non,488241
baquets à jeter l'eau,1,out,non,488241
baquets de cuivre,5,out,non,488241
baquets de fer,1,out,non,488241
baquets de rechange,1,out,non,488241
baquets de sapin,2,out,non,488241
baracan,172,out,non,488241
baracan aune,1,out,non,488241
baracan d'Abbeville,1,out,non,488241
