goods_simpl_classification;ulrich_classification
barat de laine;out
baratte;out
barbançons;out
barbançons de grès;out
barbançons de terre;out
barbançons de terre de grès;out
barbançons de verre;out
barbe de baleine;out
barbotine;out
barbues;out
barbues couvertes d'étamine;out
barbues de grès;out
barbues de terre;out
barbues ouvrées et cannettes ouvrées et jarres de terre ouvrées;out
bardes;out
barilleau;out
barilleau de laine;out
barils;out
barils à poudre;out
barils ancres;out
barils de chêne;out
barils de fer-blanc;out
barils de fer-blanc simples;out
barils de sapin;out
barils de tonnelier;out
barils de vin de ???;out
barils doubles de fer-blanc;out
barils neufs;out
barils petits;out
barils pour saler sardines;out
barils vides;out
barils vides de sardines;out
barils vieux;out
barois;out
baromètre;out
barques;out
barques démontées;out
barques en bottes;out
barquettes;out
barquettes et nacelles;out
barquettes vieilles;out
barreau de laine;out
barreaux;out
barreaux de bois;out
barreaux de bois et planches de bois;out
barreaux de sapin;out
barreaux de sapin de 10 pieds;out
barreaux neufs;out
barres;out
barres à nègre;out
barres carrées de fer étiré;out
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement;out
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face;out
barres carrées de fer étiré de 22 millimètres et plus sur chaque face;out
barres carrées de fer étiré de moins de 15 millimètres;out
barres carrées de fer étiré de moins de 15 millimètres sur chaque face;out
barres d'anspect en bois;out
barres d'anspects;out
barres d'anspects et barres de cabestan;out
barres d'étain;out
barres d'étain ou blocs d'étain;out
barres de barrique;out
barres de bois;out
barres de cabestan;out
barres de cabestan en bois;out
barres de chêne;out
barres de chêne petites;out
barres de cuivre;out
barres de fer;out
barres de fer à frire;out
barres de fer blanc;out
barres de fer d'Espagne;out
barres de fer de Suède;out
barres de fer étiré;out
barres de futel;out
barres de guindeau;out
barres de sapin;out
barres de sapin de 3 à 4 pieds;out
barres de sapin pour fonçaille;out
barres et verges de fer;out
barres fines de fer;out
barres maître-fond;out
barres plates de fer étiré;out
barres plates de fer étiré de 113 à 366 millimètres ou 42 à 72 lignes inclusivement;out
barres plates de fer étiré de 213 à 366 millimètres de largueur multipliée par l'épaisseur;out
barres plates de fer étiré de moins de 113 millimètres ou 42 lignes;out
