product_simplification,product_sitc_FR,quantity_unit_metric,mean_price,median_price,sd_price,nbobs,type,position_type,PositiondansSITC,obsolete
dentelle de Caen,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,208.37589,204.29008,193.75874,10,passementerie,haut de gamme,milieu de gamme,non
dentelle du Puy,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,98.501656,102.14504,49.428135,157,passementerie,haut de gamme,haut de gamme,non
dentelle,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,183.54187,102.14504,227.82022,32,passementerie,haut de gamme,haut de gamme,non
dentelle commune,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,55.022129,20.429008,56.485203,15,passementerie,haut de gamme,milieu de gamme,non
ruban de fil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",kg,7.1051679,5.1072521,9.0065289,198,passementerie,bas de gamme,milieu de gamme,non
ruban de fil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",pièces,,,,,passementerie,bas de gamme,milieu de gamme,oui
dentelle de fil et tulle,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",unité manquante,,,,31,passementerie,haut de gamme,haut de gamme,non
ruban de laine,Filés ou tissés de laine et de poil,kg,8.3077965,6.1287026,4.3572574,15,passementerie,bas de gamme,milieu de gamme,non
galon de laine,Filés ou tissés de laine et de poil,kg,5.6651216,5.1072521,3.1213114,13,passementerie,bas de gamme,milieu de gamme,non
prunelle de poil,Filés ou tissés de laine et de poil,pièces,,,,,passementerie,bas de gamme,milieu de gamme,oui
dentelle de soie,Filés ou tissés de soie et soie mélangée,kg,583.49347,715.01532,257.60626,137,passementerie,haut de gamme,haut de gamme,non
ruban d'argent et d'or et de soie,Filés ou tissés de soie et soie mélangée,kg,245.61955,245.14812,29.417698,13,passementerie,haut de gamme,haut de gamme,non
ruban de soie,Filés ou tissés de soie et soie mélangée,kg,133.32584,122.57406,75.080017,540,passementerie,haut de gamme,milieu de gamme,non
agrément de soie,Filés ou tissés de soie et soie mélangée,kg,78.71978,81.716034,36.338924,15,passementerie,haut de gamme,haut de gamme,non
crêpe et étoffe et gaze et passementerie et ruban de soie,Filés ou tissés de soie et soie mélangée,kg,73.284737,74.06427,0.83249629,23,passementerie,haut de gamme,milieu de gamme,non
galon de soie,Filés ou tissés de soie et soie mélangée,kg,54.264557,51.072521,27.003735,24,passementerie,haut de gamme,milieu de gamme,non
passementerie de soie,Filés ou tissés de soie et soie mélangée,kg,159.6049,40.571846,135.98238,90,passementerie,haut de gamme,milieu de gamme,non
galon de filoselle,Filés ou tissés de soie et soie mélangée,kg,31.373121,34.729317,11.461752,14,passementerie,milieu de gamme,bas de gamme,non
ruban de fleuret,Filés ou tissés de soie et soie mélangée,kg,31.367041,31.664963,19.484491,24,passementerie,milieu de gamme,bas de gamme,non
galon de fleuret,Filés ou tissés de soie et soie mélangée,kg,18.977474,20.429008,12.571708,19,passementerie,milieu de gamme,bas de gamme,non
tavelle,Filés ou tissés de soie et soie mélangée,kg,4.6792159,4.5965271,3.9944613,21,passementerie,milieu de gamme,bas de gamme,non
ruban de soie,Filés ou tissés de soie et soie mélangée,pièces,,,,,passementerie,haut de gamme,milieu de gamme,oui
dentelle et blonde,Filés ou tissés de soie et soie mélangée,unité manquante,,,,19,passementerie,haut de gamme,haut de gamme,non
gaze crêpe et ruban de soie,Filés ou tissés de soie et soie mélangée,unité manquante,,,,57,passementerie,haut de gamme,milieu de gamme,non
dentelle de fil et soie,Filés ou tissés de soie et soie mélangée,unité manquante,,,,53,passementerie,haut de gamme,haut de gamme,non
dentelle de soie blonde,Filés ou tissés de soie et soie mélangée,unité manquante,,,,61,passementerie,haut de gamme,haut de gamme,non
panne,Autres filés ou tissés,cm,0.051161226,0.050488051,0.015491156,25,tissés,bas de gamme,milieu de gamme,non
drap d'Arnetal,Autres filés ou tissés,cm,,,,,tissés,bas de gamme,milieu de gamme,oui
drap petit,Autres filés ou tissés,cm,,,,,tissés,bas de gamme,milieu de gamme,oui
drap écarlate,Autres filés ou tissés,cm,,,,,tissés,milieu de gamme,milieu de gamme,oui
drap de France,Autres filés ou tissés,cm,,,,,tissés,milieu de gamme,milieu de gamme,oui
drap,Autres filés ou tissés,cm,,,,,tissés,milieu de gamme,milieu de gamme,oui
dorure,Autres filés ou tissés,kg,232.89738,204.29008,51.154213,10,tissés,,,non
dorure fine,Autres filés ou tissés,kg,222.23871,204.29008,47.69738,259,tissés,,,non
étoffe dorure,Autres filés ou tissés,kg,198.16138,204.29008,46.443642,20,tissés,haut de gamme,haut de gamme,non
étoffe dorure d'or,Autres filés ou tissés,kg,186.86534,183.86108,19.029129,17,tissés,haut de gamme,haut de gamme,non
étoffe dorure d'argent et d'or,Autres filés ou tissés,kg,163.43207,163.43207,18.649048,109,tissés,haut de gamme,haut de gamme,non
velours cramoisi,Autres filés ou tissés,kg,294.13766,112.35955,586.2204,10,tissés,haut de gamme,haut de gamme,non
gaze,Autres filés ou tissés,kg,109.37377,102.14504,47.885696,13,tissés,haut de gamme,milieu de gamme,non
ouvrages dorure fausse,Autres filés ou tissés,kg,87.765213,91.718605,15.313505,53,tissés,,,non
basin et Nankin,Autres filés ou tissés,kg,66.685936,64.815117,5.1495671,56,tissés,milieu de gamme,haut de gamme,non
dorure fausse,Autres filés ou tissés,kg,38.625717,40.858017,18.737799,24,tissés,,,non
basin uni et Nankin uni,Autres filés ou tissés,kg,17.190201,17.190201,0.71826071,38,tissés,milieu de gamme,haut de gamme,non
panne,Autres filés ou tissés,kg,17.024174,14.300306,8.5516787,30,tissés,bas de gamme,milieu de gamme,non
tripe de velours,Autres filés ou tissés,kg,23.391214,13.278856,23.034657,10,tissés,milieu de gamme,milieu de gamme,non
mouchoirs,Autres filés ou tissés,kg,14.838889,12.257405,16.202734,11,tissés,milieu de gamme,milieu de gamme,non
mouchoirs blancs et teints,Autres filés ou tissés,kg,12.968797,12.214129,1.3490831,27,tissés,milieu de gamme,bas de gamme,non
tapisserie d'Auvergne,Autres filés ou tissés,kg,9.1556835,10.214504,3.5556715,41,tissés,bas de gamme,milieu de gamme,non
tapisserie d'Aubusson,Autres filés ou tissés,kg,8.086483,9.9591417,4.1389694,18,tissés,milieu de gamme,milieu de gamme,non
tapisserie,Autres filés ou tissés,kg,27.122196,8.1716032,134.11569,57,tissés,milieu de gamme,milieu de gamme,non
molleton,Autres filés ou tissés,kg,8.5398006,8.1716032,3.2364976,43,tissés,bas de gamme,milieu de gamme,non
étamine d'Auvergne,Autres filés ou tissés,kg,8.0183859,8.1716032,3.7994814,10,tissés,bas de gamme,bas de gamme,non
tapis,Autres filés ou tissés,kg,9.4716311,6.1287026,6.9592328,11,tissés,bas de gamme,milieu de gamme,non
tapisserie de Rouen,Autres filés ou tissés,kg,4.0245147,4.0858016,2.0016258,25,tissés,bas de gamme,milieu de gamme,non
étoffe herbage,Autres filés ou tissés,kg,0.53254235,0.081716038,3.0877326,65,tissés,,,non
drap de julienne,Autres filés ou tissés,kg,,,,,tissés,milieu de gamme,milieu de gamme,oui
drap petit,Autres filés ou tissés,kg,,,,,tissés,bas de gamme,milieu de gamme,oui
drap écarlate,Autres filés ou tissés,kg,,,,,tissés,milieu de gamme,milieu de gamme,oui
étoffe riche,Autres filés ou tissés,kg,,,,,tissés,haut de gamme,milieu de gamme,oui
drap de Montauban,Autres filés ou tissés,kg,,,,,tissés,milieu de gamme,milieu de gamme,oui
drap,Autres filés ou tissés,kg,,,,,tissés,milieu de gamme,milieu de gamme,oui
drap molleton,Autres filés ou tissés,kg,,,,,tissés,bas de gamme,milieu de gamme,oui
étoffe riche en or et argent,Autres filés ou tissés,kg,,,,,tissés,haut de gamme,haut de gamme,oui
drap de France,Autres filés ou tissés,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
crêpe de Reims,Autres filés ou tissés,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
tapis,Autres filés ou tissés,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
étoffe des Indes,Autres filés ou tissés,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
allaya,Autres filés ou tissés,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
drap,Autres filés ou tissés,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
hamacs,Autres filés ou tissés,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
tripe de velours,Autres filés ou tissés,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
serviettes,Autres filés ou tissés,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
gaze,Autres filés ou tissés,pièces,,,,,tissés,haut de gamme,milieu de gamme,oui
boucassin,Autres filés ou tissés,pièces,,,,,tissés,haut de gamme,milieu de gamme,oui
mouchoirs,Autres filés ou tissés,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
étoffe,Autres filés ou tissés,unité manquante,,,,283,tissés,,,non
mouchoirs et mouchoirs des Indes,Autres filés ou tissés,unité manquante,,,,17,tissés,milieu de gamme,milieu de gamme,non
étoffe en dorure et galon et passementerie,Autres filés ou tissés,unité manquante,,,,24,tissés,haut de gamme,haut de gamme,non
étoffe de coton et de laine,Autres filés ou tissés,unité manquante,,,,16,tissés,bas de gamme,milieu de gamme,non
toile linon,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.046829496,0.050488051,0.010407168,23,tissés,milieu de gamme,milieu de gamme,non
toile de Hollande,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.039542112,0.037866037,0.0088210125,27,tissés,milieu de gamme,milieu de gamme,non
toile de coton et de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.02849515,0.027347695,0.0076189074,22,tissés,bas de gamme,milieu de gamme,non
toile blanche peinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.030082464,0.025244026,0.017517947,10,tissés,milieu de gamme,milieu de gamme,non
toile de Flandre,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0213873,0.021036688,0.0071289418,24,tissés,bas de gamme,milieu de gamme,non
toile coutil,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.021293804,0.018933019,0.0092202304,18,tissés,bas de gamme,milieu de gamme,non
siamoise,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.019787533,0.018933019,0.0074728262,129,tissés,bas de gamme,milieu de gamme,non
cotonnine,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.018857889,0.017881185,0.0039452603,28,tissés,bas de gamme,milieu de gamme,non
toile blanche,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.016442711,0.016829351,0.0055108364,86,tissés,bas de gamme,milieu de gamme,non
toile peinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.020358086,0.016829351,0.0071728029,31,tissés,milieu de gamme,milieu de gamme,non
toile,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.016892461,0.014094581,0.01087689,40,tissés,bas de gamme,milieu de gamme,non
toile étroite,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.010545488,0.012622013,0.0027330115,31,tissés,bas de gamme,bas de gamme,non
toile de Pontivy,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.013116375,0.012622013,0.0074838824,20,tissés,bas de gamme,milieu de gamme,non
toile gratienne,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.011474557,0.011780545,0.001191302,22,tissés,bas de gamme,bas de gamme,non
toile cirée,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.012124782,0.010518344,0.005302289,22,tissés,bas de gamme,bas de gamme,non
toile de Poldavie,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0099305538,0.01009761,0.0037580864,34,tissés,bas de gamme,bas de gamme,non
toile de Léon,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0065971054,0.01009761,0.0050542369,25,tissés,bas de gamme,bas de gamme,non
toile à voile,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.01017775,0.0092561431,0.0050382866,168,tissés,,,non
toile Languenan,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0076152808,0.0086250417,0.0030368702,10,tissés,,,non
toile commune,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0098072812,0.0084146755,0.0039840932,24,tissés,bas de gamme,bas de gamme,non
toile de Halle,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0082239825,0.0079939412,0.0030348941,139,tissés,bas de gamme,bas de gamme,non
toile d'Olonne,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0077835745,0.0079939412,0.0037662918,16,tissés,bas de gamme,bas de gamme,non
toile de Combourg,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0089990273,0.0079939412,0.0036993593,18,tissés,bas de gamme,bas de gamme,non
toile rosconne,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0057912762,0.0075732074,0.0039482713,34,tissés,bas de gamme,bas de gamme,non
toile de Fougères,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0062367595,0.0063110064,0.0028036283,17,tissés,bas de gamme,bas de gamme,non
toile de Rouen,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0086250426,0.0048384382,0.0091802916,26,tissés,bas de gamme,milieu de gamme,non
toile serpillière,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0041851937,0.0042073377,0.00088112993,19,tissés,bas de gamme,bas de gamme,non
toile d'emballage,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,0.0046921363,0.0042073377,0.0019513005,37,tissés,bas de gamme,bas de gamme,non
toile ???,Autres filés ou tissés mélangés de fibres végétales dont toiles,cm,,,,,tissés,bas de gamme,bas de gamme,oui
gaze de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,75.246849,81.716034,22.409918,12,tissés,milieu de gamme,haut de gamme,non
toile de chanvre et de lin,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,18.612055,24.743345,12.078649,143,tissés,bas de gamme,milieu de gamme,non
toile de Beauvais,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,17.271797,20.429008,6.1360679,22,tissés,milieu de gamme,milieu de gamme,non
toile piquée,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,19.820066,20.429008,6.132906,52,tissés,milieu de gamme,haut de gamme,non
toile de Rouen,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,15.45795,20.429008,7.330204,30,tissés,bas de gamme,milieu de gamme,non
toile d'Antioche,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,13.40143,13.074566,10.550462,10,tissés,,,non
toile fine,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,13.986013,12.257405,5.4272351,13,tissés,milieu de gamme,haut de gamme,non
toile de coton et de fil à fleurs,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,9.4848967,10.214504,1.0158226,14,tissés,,,non
toile blanche,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,9.609005,10.214504,3.0582886,569,tissés,bas de gamme,milieu de gamme,non
toile peinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,10.367868,10.214504,10.409809,349,tissés,milieu de gamme,milieu de gamme,non
toile blancard,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.8091297,9.1930542,2.4749863,58,tissés,bas de gamme,milieu de gamme,non
mouchoirs de coton et de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,10.800231,9.1930542,5.1751227,143,tissés,bas de gamme,milieu de gamme,non
toile blancard de Rouen,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.9180479,9.1930542,0.99154782,13,tissés,,,non
siamoise à fleurs,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.1716032,8.1716032,0,40,tissés,,,non
mouchoirs de coton et fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.1716032,8.1716032,0,13,tissés,,,non
siamoise de coton et de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.8001881,8.1716032,1.7463748,13,tissés,bas de gamme,milieu de gamme,non
siamoise commune,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.1716032,8.1716032,0,17,tissés,bas de gamme,milieu de gamme,non
toile rayée,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,6.2308474,8.1716032,2.6570802,10,tissés,,,non
toile de Suisse,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.0144567,8.1716032,4.8018341,13,tissés,bas de gamme,milieu de gamme,non
mouchoirs de Rouen,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,10.078311,8.1716032,2.4980578,15,tissés,bas de gamme,milieu de gamme,non
toile non battue,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,7.701736,8.1716032,1.1558293,20,tissés,bas de gamme,bas de gamme,non
siamoise,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,8.3411274,8.1716032,1.9728566,332,tissés,bas de gamme,milieu de gamme,non
toile de coton et de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,12.243819,8.1716032,9.3464251,154,tissés,bas de gamme,milieu de gamme,non
toile de fil peinte et teinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,7.1130848,7.4139953,0.63145208,27,tissés,bas de gamme,milieu de gamme,non
toile à matelas,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,7.4194756,7.4055157,2.7442472,12,tissés,bas de gamme,bas de gamme,non
toile de Grenade,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,7.048008,7.1501532,0.98866808,20,tissés,bas de gamme,milieu de gamme,non
toile boucassine,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,6.6053796,7.1501532,1.631887,15,tissés,,,non
toile,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,7.7051926,7.1501532,9.3403025,215,tissés,bas de gamme,milieu de gamme,non
