simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
mâts et mâtereaux de 40 à 42 pieds,1,,non,739563
mâts et mâtereaux de 40 à 50 pieds,2,,non,739563
mâts et mâtereaux de 40 à 60 pieds,1,,non,739563
mâts et mâtereaux de 42 à 45 pieds,1,,non,739563
mâts et mâtereaux de 45 à 70 pieds,1,,non,739563
mâts et mâtereaux de 46 à 53 pieds,1,,non,739563
mâts et mâtereaux de 50 à 60 pieds,2,,non,739563
mâts et mâtereaux de 50 pieds,2,,non,739563
mâts et mâtereaux de 52 à 53 pieds,1,,non,739563
mâts et mâtereaux de 64 pieds,1,,non,739563
mâts et mâtereaux de 65 pieds,1,,non,739563
mâts et mâtereaux mats,1,,oui,739563
mâts et mâtereaux mâts,1,,non,739563
mâts et mâtereaux mats doubles,1,,oui,739563
mâts et mâtereaux mâts doubles,1,,non,739563
mâts et matériaux de bois,2,,non,739563
mâts et planches de bois,0,,non,739563
mâts façonnés,7,,non,739563
mâts grands,5,,non,739563
mâts gros,1,,non,739563
mâts mâtereaux,15,,non,739563
mâts matières,4,,non,739563
mâts mâts de barques de 50 pieds,1,,non,739563
mâts mâtures,26,,non,739563
mâts peints,2,,non,739563
mâts petits,52,,non,739563
mâts pour galère,2,,non,739563
mâts verts de 45 pieds,1,,non,739563
mâts...,2,,non,739563
matu,6,,non,739563
mâtures,14,,non,739563
mâtures complètes,9,,non,739563
mâtures complètes d'un grand vaisseau,1,,non,739563
mâtures complètes d'un vaisseau,0,,oui,739563
mâtures complètes en 21 pièces,0,,non,739563
mâtures d'un vaisseau consistante en 56 pièces,0,,oui,739563
mâtures de navire de ???,1,,non,739563
mâtures de vaisseau,0,,oui,739563
mâtures de vaisseau complète de 21 pièces chaque,0,,oui,739563
mâtures de vaisseau complètes de 21 pièces chaque,0,,oui,739563
mâtures en 56 pièces,0,,non,739563
maugrebine,50,,non,739563
maune,1,,non,739563
maurelle,3,,non,739563
mauris,1,,non,739563
maurs,2,,non,739563
mautes à mulets,1,,non,739563
Mazamet,4,,non,739563
mazon,0,,non,739563
mecerie de bois,0,,oui,739563
mèche à mousquet,0,,oui,739563
mèche de chandelles flambeaux et lampes,0,,oui,739563
mèche de lampe,0,,oui,739563
mèches,65,,non,739563
mèches à canons,53,,non,739563
mèches à chandelle,7,,non,739563
mèches à flambeau,1,,non,739563
mèches à mousquet,1,,non,739563
mèches d'étoupes de chanvre ou de lin,4,,non,739563
mèches d'étoupes de fil de chanvre ou en lin,2,,non,739563
mèches de chandelles flambeaux et lampes,3,,non,739563
mèches de coton,1,,non,739563
mèches de coton pour chandelle,126,,non,739563
mèches de lampe,1,,non,739563
mèches de souffre,1,,oui,739563
mèches de soufre,1,,non,739563
mèches de tarière et herminettes,1,,non,739563
mèches et soufre,124,,non,739563
mèches flambeaux et chandelles et lampes,0,,oui,739563
mèches soufrées,50,,non,739563
mechoacam,15,,non,739563
médailles,3,,non,739563
médailles antiques,1,,non,739563
médailles d'argent,2,,non,739563
médaillons de terre,2,,non,739563
médicament composés,67,,non,739563
médicaments,313,,non,739563
médicaments composés,21,,non,739563
médicaments composés autre qu'eau distillée au poids,1,,non,739563
médicaments composés autres qu'eau distillée à la valeur,1,,non,739563
médicaments composés déclarés à la valeur,1,,non,739563
médicaments composés déclarés au poids,2,,non,739563
meffles,4,,non,739563
megelanne,1,,non,739563
mélangées,2,,oui,739563
mélasse,16,,non,739563
mélasse des colonies françaises,0,,non,739563
mélasse et sirop,1,,non,739563
mélasse rhum sirop taffia,11,,non,739563
mêlées,2,,non,739563
meles a faure,1,,non,739563
melle,1,,non,739563
melon,12,,non,739563
melon d'eau,2,,non,739563
membrures,2,,non,739563
membrures de 7 pieds,1,,non,739563
ménage,5,,non,739563
ménages,0,,oui,739563
menie,3,,non,739563
menottes de cuivre,3,,non,739563
menottes de fer,1,,non,739563
mentes à moulir,1,,non,739563
mentes à taillandier,1,,non,739563
menu charbon de terre,126,,non,739563
menu charbon de terre dit sméegruys,98,,non,739563
menue graine,0,,oui,739563
menuiserie,3,,non,739563
menus grains,3,,non,739563
menus sommiers,5,,non,739563
menutés,146,,non,739563
mercerie,3930,,non,739563
mercerie ???,3,,non,739563
mercerie à la valeur,5,,non,739563
mercerie bimbeloterie,66,,non,739563
mercerie commune,237,,non,739563
mercerie cru,1,,non,739563
mercerie d'Allemagne,1,,non,739563
mercerie d'étoupe de lin,1,,non,739563
mercerie de bois,5,,non,739563
mercerie de cordonnier à laine,1,,non,739563
mercerie de crin,2,,non,739563
mercerie de cuivre,7,,non,739563
mercerie de Nuremberg,69,,non,739563
mercerie de quincaille,1,,non,739563
mercerie de renvoi,2,,non,739563
mercerie en lignets et hameçons,1,,non,739563
mercerie en peigne d'ivoire,0,,non,739563
mercerie en peignes de bois,0,,non,739563
mercerie épingles,2,,non,739563
mercerie et bibelots,0,,oui,739563
mercerie et quincaille,0,,oui,739563
mercerie et quincaillerie,27,,non,739563
mercerie étrangère,1,,non,739563
mercerie fine,297,,non,739563
mercerie fine épingles,0,,oui,739563
mercerie fine et aiguilles,0,,oui,739563
mercerie fort,1,,non,739563
mercerie grosse,9,,non,739563
mercerie grossière,62,,non,739563
mercerie mêlée en lisière de drap,1,,non,739563
mercerie ordinaire,36,,non,739563
mercerie peignes de bois,1,,non,739563
mercerie peignes de corne,1,,non,739563
mercerie tabatières corne,0,,oui,739563
mercerie très commune,1,,non,739563
mercerie très fine,1,,non,739563
merciers,1,,non,739563
mercure,702,,non,739563
mercure corrosif,1,,non,739563
mercure coulant,2,,non,739563
mercure doux,21,,non,739563
mercure natif,5,,non,739563
mercure précipité,7,,non,739563
meriers,12,,non,739563
meriers à faire échelles,1,,non,739563
meriers petits,1,,non,739563
meriezes,1,,non,739563
merlan,2,,non,739563
merlan salé,1,,non,739563
merles,1,,non,739563
merlin,49,,non,739563
merluche,92,,non,739563
merluche salée,0,,non,739563
merlus,1,,non,739563
merrains,813,,non,739563
merrains ???,1,,non,739563
merrains à barils,17,,oui,739563
merrains à barriques,236,,oui,739563
merrains à barriques bûches,0,,oui,739563
merrains à barriques douves,1,,oui,739563
merrains à barriques et fonçaille,1,,oui,739563
merrains à bœuf,0,,oui,739563
merrains à bottes,9,,oui,739563
merrains à boucaud,1,,oui,739563
merrains à buses,4,,oui,739563
merrains à buses douelles,1,,oui,739563
merrains à busses,0,,oui,739563
merrains à fonçaille,10,,oui,739563
merrains à fond,89,,oui,739563
merrains à fonds,8,,oui,739563
merrains à futailles,2,,oui,739563
merrains à muid,1,,oui,739563
merrains à pipes,93,,oui,739563
merrains à pipes bûches,0,,oui,739563
merrains à pipes de 4 à 5 pieds à 1 pouce 1/2 d'épaisseur,1,,oui,739563
merrains à pipes de 4 pieds,1,,oui,739563
merrains à poinçon,1,,oui,739563
merrains à quart,6,,oui,739563
merrains à tierçons,11,,oui,739563
merrains à tonneau,0,,oui,739563
merrains à tonneaux,108,,oui,739563
merrains à tortue,2,,oui,739563
merrains au-dessous de 974 millimètres,2,,non,739563
merrains autres que de chêne,2,,non,739563
merrains autres que de chêne de toutes dimensions à la valeur,1,,non,739563
merrains autres que de chêne de toutes dimensions au nombre,1,,non,739563
merrains barillage,1,,non,739563
merrains barricages,1,,oui,739563
merrains barriques douelles,1,,non,739563
merrains bourdilles,2,,non,739563
merrains bourdillons,1,,non,739563
merrains cartage,1,,non,739563
merrains communs,1,,non,739563
merrains de 1 mètre 299 millimètres de longueur et au-dessus,2,,non,739563
merrains de 1299mm de longueur et au-dessus,1,,non,739563
merrains de 1299mm exclus à 974 inclus,1,,non,739563
merrains de 4 pieds,0,,non,739563
merrains de 5 pieds,1,,non,739563
merrains de chêne,7,,non,739563
merrains de chêne au-dessous de 974 millimètres,2,,non,739563
merrains de chêne de 1 mètre 299 millimètres de long et au-dessus,1,,non,739563
merrains de chêne de 1 mètre 299 millimètres inclusivement à 974 exclusivement,1,,non,739563
"merrains de chêne de 1,299 mètres à 974 millimètres de long",1,,non,739563
"merrains de chêne de 1,299 mètres de long et au-dessus",1,,non,739563
merrains de douves,1,,non,739563
merrains de maille,1,,non,739563
merrains de sapin,14,,non,739563
merrains douelles,4,,oui,739563
merrains en barriques,0,,non,739563
merrains en fonçaille,3,,oui,739563
merrains en pipes,0,,oui,739563
merrains et feuillards,6,,non,739563
merrains fonçaille,1,,non,739563
merrains futaille,2,,oui,739563
merrains ganivelles,0,,non,739563
merrains petits,1,,non,739563
merrains pour barils,17,,non,739563
merrains pour barriques,238,,non,739563
merrains pour barriques bûches,0,,non,739563
merrains pour bœuf,0,,non,739563
merrains pour bottes,9,,non,739563
merrains pour boucaud,1,,non,739563
merrains pour buses,4,,non,739563
merrains pour buses douelles,1,,non,739563
merrains pour faire des douves de fûts,11,,non,739563
merrains pour ferraille,1,,non,739563
merrains pour fonçaille,13,,non,739563
merrains pour fonçailles,3,,non,739563
merrains pour fonds,97,,non,739563
merrains pour futaille,2,,non,739563
merrains pour futailles,2,,non,739563
merrains pour muid,1,,non,739563
merrains pour pipe,7,,non,739563
merrains pour pipes,93,,non,739563
merrains pour pipes bûches,0,,non,739563
merrains pour pipes de 4 à 5 pieds à 1 pouce 1/2 d'épaisseur,1,,non,739563
merrains pour pipes de 4 pieds,1,,non,739563
merrains pour poinçon,1,,non,739563
merrains pour quarts,7,,non,739563
merrains pour tierçons,11,,non,739563
merrains pour tonneaux,108,,non,739563
merrains pour tonnellerie,3,,non,739563
merrains pour tortue,2,,non,739563
merrains quartage douelles,2,,non,739563
merrains Scott,1,,non,739563
mervillon,44,,non,739563
mesat de clocher,0,,non,739563
mesures d'étain,2,,non,739563
métal,105,,non,739563
métal argenté doré vernissé etc.,2,,non,739563
métal composé,1,,non,739563
métal de fonte,0,,oui,739563
métal des Indes,1,,non,739563
métal et bronze moulé,0,,oui,739563
métal frappé et moulé et ouvré,0,,oui,739563
métal moulé,0,,oui,739563
métal moulu,3,,non,739563
métal ou ???,1,,non,739563
métal pour horlogerie,1,,non,739563
métaux,145,,non,739563
méteil,2,,non,739563
methe,1,,non,739563
métiers,3,,non,739563
métiers à faire bas,20,,non,739563
métiers à faire tapisserie,3,,non,739563
métiers à filer,1,,non,739563
métiers de drapier,1,,non,739563
métiers de tisserand,5,,non,739563
métiers presse et bluteaux et cribles de moulin,129,,non,739563
meubles,10,,non,739563
meubles ???,1,,non,739563
meubles à bijouterie,0,,non,739563
meubles à coutelier,2,,non,739563
meubles à moulins,2,,non,739563
meubles à taillandier,18,,non,739563
meubles affiloires,1,,non,739563
meubles de bois,9,,non,739563
meubles et effets,3,,non,739563
meubles et miroirs,130,,non,739563
meubles et ornements,17,,non,739563
meubles et pierres,32,,non,739563
meubles glaces et miroirs,13,,non,739563
meubles habits et bijoux,1,,non,739563
meubles matelas,2,,non,739563
meubles miroirs de toilettes,1,,non,739563
meubles ornements,1,,non,739563
meulardeaux,12,,non,739563
meulardeaux à coutelier,1,,non,739563
meulardes,2,,non,739563
meules,36,,non,739563
meules à aiguiser,226,,non,739563
meules à aiguiser au-dessus de 1218 millimètres en diamètre,1,,non,739563
meules à aiguiser bâtardes,1,,non,739563
meules à aiguiser de 1083 à 920 millimètres inclusivement en diamètre,2,,non,739563
meules à aiguiser de 1218 à 1083 millimètres inclusivement en diamètre,2,,non,739563
meules à aiguiser de 541 à 406 millimètres inclusivement en diamètre,3,,non,739563
meules à aiguiser de 677 à 541 millimètres inclusivement en diamètre,3,,non,739563
meules à aiguiser de 920 à 677 millimètres inclusivement en diamètre,3,,non,739563
meules à aiguiser de moins de 406 millimètres inclusivement en diamètre,3,,non,739563
meules à aiguiser grandes,1,,non,739563
meules à aiguiser moyennes,1,,non,739563
meules à aiguiser petites,1,,non,739563
meules à callandre,2,,non,739563
meules à coutelier,47,,non,739563
meules à coutelier petites,1,,non,739563
meules à Couteliers,1,,non,739563
meules à couture,2,,non,739563
meules à faire,22,,non,739563
meules à faux,3,,non,739563
meules à favre,33,,non,739563
meules à gagne-petit,1,,non,739563
meules à huile,2,,non,739563
meules à moudre de 1949 millimètres à 1299 en diamètre,2,,non,739563
meules à moudre de moins de 1299 millimètres en diamètre,3,,non,739563
meules à moudre de plus de 1949 millimètres en diamètre,2,,non,739563
meules à sabres,2,,non,739563
meules à sucre,3,,non,739563
meules à tailland ???,0,,oui,739563
meules à taillande,0,,oui,739563
meules à taillander,0,,oui,739563
meules à taillandier,196,,non,739563
meules à taillandier d'1 à 2 pieds,1,,non,739563
meules à taillandier de 2 pieds,1,,non,739563
meules à taillandier de 3 à 4,1,,non,739563
meules à taillandier de 4 à 5,1,,non,739563
meules à taillandier de 4 à 5 pouces,1,,non,739563
meules à taillandier de 4 pieds,1,,non,739563
meules à Talandier,2,,non,739563
meules à tannerie,0,,oui,739563
meules acoustiques,1,,non,739563
meules affiloires,7,,non,739563
meules assorties,1,,non,739563
meules au-dessous de 4 pouces,1,,non,739563
meules au-dessus de 4 pouces,1,,non,739563
meules bâtardes,34,,non,739563
meules brodées,1,,non,739563
meules coutier,1,,non,739563
meules de 4 pieds,1,,non,739563
meules de coutelier,2,,non,739563
meules de différents modules à aiguiser,4,,non,739563
meules de différents modules à moudre,4,,non,739563
meules de moulins de 4 pieds 1/2,0,,oui,739563
meules de moulins de 55 pieds,0,,oui,739563
meules de moulins de 6 pieds,0,,oui,739563
meules de pierre,14,,non,739563
meules en têtes de renne,1,,non,739563
meules ordinaires et à taillandier,1,,non,739563
meules petites,2,,non,739563
meules pour moulin,6,,non,739563
meules pour moulins,273,,non,739563
meules pour moulins de 4 pieds 1/2,1,,non,739563
meules pour moulins de 55 pieds,1,,non,739563
meules pour moulins de 6 pieds,1,,non,739563
meules pour moulins de haute catégorie,7,,non,739563
meules pour moulins dites grand loup d'Angleterre,7,,non,739563
meules pour moulins dites petit loup d'Angleterre,4,,non,739563
meules pour moulins du poids de 1200 à 1800 livres,65,,non,739563
meules pour moulins du poids de 2000 à 2800 livres,79,,non,739563
meules pour moulins du poids de 300 à 1000 livres,97,,non,739563
meules pour moulins du poids de 3000 à 4000 livres,82,,non,739563
meules pour moulins du poids de 5000 à 6000 livres,15,,non,739563
meules pour moulins grosses,1,,non,739563
meules pour moulins petites,3,,non,739563
meulières,1,,non,739563
meuniers,8,,non,739563
Mi ???,1,,non,739563
microscope,1,,non,739563
miel,1374,,non,739563
miel blanc,123,,non,739563
miel brouche,103,,non,739563
miel brun,129,,non,739563
miel brut,5,,non,739563
miel commun,1,,non,739563
miel cru,4,,non,739563
miel cuit,4,,non,739563
miel de Narbonne,7,,non,739563
miel façonné,7,,non,739563
mignonette,1,,non,739563
mignonette au quart de soie,1,,non,739563
mignonette avec un brin de soie,1,,non,739563
mignonette de laine,1,,non,739563
mignonette de soie,1,,non,739563
mignonette des prises,2,,non,739563
mignonette étoffe,10,,non,739563
mignonnette,38,,non,739563
mignotte étoffe,4,,non,739563
migon,18,,non,739563
mil,3,,non,739563
mille gants,3,,non,739563
milleret,1,,non,739563
milleret et agréments,0,,oui,739563
milleret et agréments de soie,0,,oui,739563
millet,10,,non,739563
millet gros,51,,non,739563
millet petit,20,,non,739563
mimy,0,,oui,739563
mine,3,,non,739563
mine d'alquifoux,1,,non,739563
mine d'asphalte,1,,non,739563
mine de borde,1,,non,739563
mine de cuivre,4,,non,739563
mine de cuivre rouge,2,,non,739563
mine de fer,183,,non,739563
mine de plomb,387,,non,739563
mine de plomb noire,2,,non,739563
mine de plomb rouge,2,,non,739563
mine de Prusse,1,,non,739563
mine de roche,3,,non,739563
mine en grabeau,1,,non,739563
mine lavée,1,,non,739563
minerai de fer brut ou lavé,2,,non,739563
minerai de fer chromaté,2,,non,739563
minerai de fer sulfuré,1,,non,739563
minerai de plomb,9,,non,739563
minéraux,2,,non,739563
mini,0,,oui,739563
minium,361,,non,739563
minium et mine orange,4,,non,739563
minium rouge divisé,3,,non,739563
miniun,0,,oui,739563
minot,20,,non,739563
minutier,3,,non,739563
miny,260,,oui,739563
mioche en grabeau,1,,non,739563
mireau,2,,non,739563
mirke,1,,non,739563
mirobolant,47,,oui,739563
miroirs,207,,non,739563
miroirs à bordures dorées,6,,non,739563
miroirs à bordures dorées et grands,1,,non,739563
miroirs à bordures dorées et petits,1,,non,739563
miroirs à cadres dorés,10,,non,739563
miroirs à cadres dorés de 2 pieds de haut,1,,non,739563
miroirs communs,3,,non,739563
miroirs d'1 pied et demi,1,,non,739563
miroirs d'Allemagne,1,,non,739563
miroirs de 2 pieds,1,,non,739563
miroirs de 25 pieds de haut et 1 de large,1,,non,739563
miroirs de poche,3,,non,739563
miroirs de toilette,7,,non,739563
miroirs de toilettes,0,,oui,739563
miroirs de traite,5,,non,739563
miroirs encadrés,238,,non,739563
miroirs grands,4,,non,739563
miroirs grands de plus de 3 millimètres d'épaisseurs,2,,non,739563
miroirs petits,221,,non,739563
miroirs petits sans distinction,2,,non,739563
mistelle,2,,non,739563
mistre,1,,non,739563
mitaines,1,,non,739563
mitaines bordées de soie par paires,3,,non,739563
mitaines brodées,1,,non,739563
mitaines de peau,3,,non,739563
mitaines de peau lisérées de soie,1,,non,739563
mitaines de soie,2,,non,739563
mitaines de taffetas,2,,non,739563
mitaines garnies de ruban,1,,non,739563
mitaines garnies de soie,9,,non,739563
mitaines liserées,1,,non,739563
mitons à pierres fausses par paires de velours,1,,non,739563
mitons de soie,3,,non,739563
mitraille,2,,non,739563
mitraille de cuivre,109,,non,739563
mitraille vieille en batterie de cuisine,1,,non,739563
mitrailles de cuivre,111,,non,739563
mitrailles de cuivre pur vieux,1,,non,739563
mittes,2,,non,739563
mittes de soie,9,,oui,739563
mittières de fer,1,,non,739563
mobilier,1004,,non,739563
mobilier vieux,14,,non,739563
mocade,0,,oui,739563
mocs de brode,1,,non,739563
mode de bœuf,1,,non,739563
"mode, peaux, porcelaine, ruban 16 onces",1,,non,739563
modèle de château de carton,1,,non,739563
modèle de plâtre,1,,non,739563
modèle de sculpture,1,,non,739563
modes,0,,oui,739563
modes de Montauban,1,,non,739563
moelle,1,,non,739563
moëlle,0,,oui,739563
moelle de bœuf,10,,non,739563
moëlle de bœuf,0,,oui,739563
moellons,6,,non,739563
moellons à faire chaux,92,,non,739563
moellons à faire des bâtiments,2,,non,739563
moellons argile ciment gypse sable stuc tuf pavés pierres à chaux pierres meulières pouzzolane,0,,oui,739563
moellons de brique,2,,non,739563
moellons de briques,0,,oui,739563
moellons pierres meulières etc.,2,,non,739563
mogette,4,,non,739563
moines ???,2,,non,739563
moines garnis de fer-blanc,1,,non,739563
moire,2,,non,739563
moire blanche,2,,non,739563
moire d'argent,1,,non,739563
Moka,0,,oui,739563
molenaers,30,,non,739563
molleton,214,,non,739563
molleton aune,1,,oui,739563
molleton de capiton,4,,non,739563
molleton de coton,23,,non,739563
molleton de laine,79,Lainage,non,9878
molleton de laine imprimé,2,,non,739563
molleton de soie,1,,non,739563
molleton et taffetas de laine,3,,non,739563
molleton frisé,1,,non,739563
mollues,1,,non,739563
momade,0,,non,739563
momie,7,,non,739563
moncayard,5,,non,739563
mongette,44,,non,739563
mongistere,7,,non,739563
monnaie d'argent,0,,oui,739563
monnaie de billon,0,,oui,739563
monnaie de cuivre,0,,oui,739563
monnaies au type étranger,95,,non,739563
monnaies d'argent,33,,non,739563
monnaies d'argent en espèces coursables,3,,non,739563
monnaies d'argent et d'or et au type étranger,7,,non,739563
monnaies d'argent par Calais,2,,non,739563
monnaies d'argent par Strasbourg et Metz,1,,non,739563
monnaies d'argent par Valenciennes,1,,non,739563
monnaies d'or,18,,non,739563
monnaies d'or par Calais,1,,non,739563
monnaies d'or quadruple,3,,non,739563
monnaies de billon,3,,non,739563
monnaies de cuivre,54,,non,739563
monnaies de cuivre de Suède,4,,non,739563
monnaies de cuivre jaune,1,,non,739563
monnaies de cuivre ouvré,1,,non,739563
monnaies de cuivre pur,4,,non,739563
monnaies du Portugal,1,,non,739563
montichon,2,,non,739563
montres,2,,non,739563
montres d'argent,21,,non,739563
montres d'argent et d'or,1,,non,739563
montres d'or,23,,non,739563
montres d'or à répétition,1,,non,739563
montres d'or ordinaires,1,,non,739563
montres de cuivre,5,,non,739563
montres de mer,2,,non,739563
montres de métal,1,,non,739563
montres de poche,6,,non,739563
montres de poche à caisse d'argent,126,,non,739563
montres de poche à caisse d'or,126,,non,739563
montres de poches à caisse de pinsbeck,37,,non,739563
montres et pendule,1,,oui,739563
montres et pendules,1,,non,739563
montres maillées,1,,non,739563
moque de gréz,0,,oui,739563
moques de grès,1,,non,739563
moquette,199,,non,739563
moquette de fil et de laine,4,,non,739563
moquette de fil et laine,1,,non,739563
moquette de laine,2,,non,739563
moquette de laine et de fil,1,,non,739563
moquette grasse de laine et fil,1,,non,739563
moquette rouge,2,,non,739563
moquette verte,1,,non,739563
morceaux,1,,non,739563
morceaux cousus,2,,non,739563
morceaux cousus de hamsters,2,,non,739563
morceaux cousus de lapins et lièvres,2,,non,739563
morceaux cousus dos et ventre de petits-gris,2,,non,739563
morceaux d'espars,1,,non,739563
morceaux de bois,1,,oui,739563
morceaux de bois ordinaire de 6 à 7 pieds,1,,non,739563
morceaux de bois puant de 6 pieds,1,,non,739563
morceaux de planches,1,,non,739563
morceaux de sapin,2,,non,739563
morenine de soie,1,,non,739563
morilles,16,,non,739563
morilles et mousserons et truffes,1,,non,739563
morilles et mousserons frais,1,,non,739563
morilles et mousserons secs ou marinés,2,,non,739563
morilles et truffes,1,,non,739563
mors de bride,0,,oui,739563
mors de brides,122,,non,739563
mors de brides dorés,1,,non,739563
mors et brides,3,,non,739563
mortiers,2,,non,739563
mortiers de bois,1,,non,739563
mortiers de bronze,1,,non,739563
mortiers de fer,6,,non,739563
mortiers de fonte,6,,non,739563
mortiers de marbre,136,,non,739563
mortiers de métal,1,,non,739563
mortiers de métal et pilon,1,,non,739563
mortiers de pierre,27,,non,739563
mortiers de terre,1,,non,739563
mortiers et pilon,1,,non,739563
morue,437,,non,739563
morue ???,1,,non,739563
morue avariée,1,,non,739563
morue avec harengs des prises,1,,non,739563
morue blanche,1,,non,739563
morue de Hollande,5,,non,739563
morue de pêche française,11,,non,739563
morue de Terre Neuve,1,,oui,739563
morue douce,1,,non,739563
morue en pacotille,8,,non,739563
morue en pavé,1,,non,739563
morue en saumure,2,,non,739563
morue et stockfisch,181,,non,739563
morue joues sèche,1,,non,739563
morue marinée et salée,5,,non,739563
morue note alang,1,,oui,739563
morue par Bayonne,1,,non,739563
morue salée,61,,non,739563
morue salée d'Islande,1,,non,739563
morue salée et marinée,1,,oui,739563
morue salée et verte,2,,oui,739563
morue salée sèche,1,,oui,739563
morue salée verte,1,,oui,739563
morue sèche,1134,,non,739563
morue sèche et salée et stockfisch salé suivant l'état des primes,6,,non,739563
morue séchée,1050,,oui,739563
morue stockfisch,9,,oui,739563
morue têtes,1,,oui,739563
morue verte,640,,non,739563
morue verte avariée,1,,non,739563
morue verte cabillaud,1,,non,739563
morue verte cap et queues,6,,non,739563
morue verte de Terre Neuve,30,,non,739563
morue verte des Îles,1,,non,739563
morue verte en tonneaux,1,,non,739563
morue verte et salée,3,,oui,739563
morue verte grande et moyenne,1,,non,739563
morue verte salée,1,,oui,739563
motte de lin,1,,non,739563
mottes à brûler,8,,non,739563
moucherons,1,,non,739563
mouches à miel,122,,non,739563
mouches cantharides,15,,non,739563
mouches de soie,110,Soie,oui,9986
mouches de taffetas,6,,non,739563
mouchoirs,238,,non,739563
mouchoirs ??? de fil de France,0,,non,739563
mouchoirs à carreaux,1,,non,739563
mouchoirs à la valeur,1,,non,739563
mouchoirs à peu de soie,1,,non,739563
mouchoirs à toile peinte,1,,non,739563
mouchoirs à vignettes,1,,non,739563
mouchoirs au brin de soie,1,,non,739563
mouchoirs baffetas,1,,non,739563
mouchoirs bandanas,2,,non,739563
mouchoirs batiste peint,1,,non,739563
mouchoirs blancs,2,,non,739563
mouchoirs blancs brodés en fil de chanvre et de lin,0,,oui,739563
mouchoirs blancs brodés en fil de chanvre ou de lin,3,,non,739563
mouchoirs blancs de chanvre et de lin,2,,non,739563
mouchoirs blancs et bleus,1,,non,739563
mouchoirs blancs et teints,27,,non,739563
mouchoirs bleus,3,,non,739563
mouchoirs brodés,13,,non,739563
mouchoirs brodés de soie,1,,non,739563
mouchoirs communs,4,,non,739563
mouchoirs coupés,3,,non,739563
mouchoirs d'Alep,2,,non,739563
mouchoirs d'indienne,88,,non,739563
mouchoirs d'organdis,3,,non,739563
mouchoirs de ???,1,,non,739563
mouchoirs de batiste,28,,non,739563
mouchoirs de batiste de Saint-Quentin,2,,non,739563
mouchoirs de Bengale,106,,non,739563
mouchoirs de Betton,1,,non,739563
mouchoirs de Champafaris,2,,non,739563
mouchoirs de chanvre et de lin blancs,2,,non,739563
mouchoirs de chanvre et de lin imprimés teints rayés par le tissage,3,,non,739563
mouchoirs de chanvre et de lin rayés teints ou imprimés,2,,non,739563
mouchoirs de chasse,1,,non,739563
mouchoirs de chocolat,2,,non,739563
mouchoirs de Cholet,144,,non,739563
mouchoirs de coton,891,Coton de toute espèce,non,10317
mouchoirs de coton blanc,3,,non,739563
mouchoirs de coton blancs,1,,non,739563
mouchoirs de coton brin de soie,2,,non,739563
mouchoirs de coton communs,5,,non,739563
mouchoirs de coton de France,15,,non,739563
mouchoirs de coton de l'étranger,2,,non,739563
mouchoirs de coton découpés,119,,non,739563
mouchoirs de coton des Indes,14,,non,739563
mouchoirs de coton en soie,1,,oui,739563
mouchoirs de coton et de fil,541,Coton de toute espèce,non,10317
mouchoirs de coton et de fil découpés,93,,non,739563
mouchoirs de coton et de soie,1,,non,739563
mouchoirs de coton et fil,25,,non,739563
mouchoirs de coton et fil de coton,16,,non,739563
mouchoirs de coton et soie,16,Prohibé,non,335
mouchoirs de coton et soie de France,1,,non,739563
mouchoirs de coton étrangers,3,,non,739563
mouchoirs de coton fins,5,,non,739563
mouchoirs de coton gros,1,,non,739563
mouchoirs de coton grossiers,1,,non,739563
mouchoirs de coton peints,8,,non,739563
mouchoirs de cotongros,0,,oui,739563
mouchoirs de Craité,0,,non,739563
mouchoirs de demi soie,1,,non,739563
mouchoirs de différentes qualités en coton,3,,non,739563
mouchoirs de différentes quantités,6,,non,739563
mouchoirs de fil,378,,non,739563
mouchoirs de fil commun,1,,non,739563
mouchoirs de fil de ??? de Cholet et ???,3,,non,739563
mouchoirs de fil de Cholet,2,,non,739563
mouchoirs de fil de France,5,,non,739563
mouchoirs de fil de lin,1,,non,739563
mouchoirs de fil de lin imprimé,1,,non,739563
mouchoirs de fil de Rouen,2,,non,739563
mouchoirs de fil du Béarn,3,,non,739563
mouchoirs de fil et de batiste,1,,non,739563
mouchoirs de fil et de coton,89,,non,739563
mouchoirs de fil et de lin,1,,non,739563
mouchoirs de fil et de pitre,1,,non,739563
mouchoirs de fil fin,1,,non,739563
mouchoirs de fil organdi,15,,non,739563
mouchoirs de fil peint,1,,non,739563
mouchoirs de filoselle,1,,non,739563
mouchoirs de fleuret,5,,non,739563
mouchoirs de foulard,3,,non,739563
mouchoirs de France,1,,non,739563
mouchoirs de gaze,68,,non,739563
mouchoirs de gaze de soie,3,,non,739563
mouchoirs de gaze divers,3,,non,739563
mouchoirs de gaze grands,1,,non,739563
mouchoirs de guingans,3,,oui,739563
mouchoirs de Hollande,1,,non,739563
mouchoirs de kinfin,1,,non,739563
mouchoirs de l'hotes,2,,non,739563
mouchoirs de la Compagnie des Indes,3,,non,739563
mouchoirs de laine,2,,non,739563
mouchoirs de laiton,1,,non,739563
mouchoirs de Laval,1,,non,739563
mouchoirs de lin,4,,non,739563
mouchoirs de linon,5,,non,739563
mouchoirs de Madras,9,,non,739563
mouchoirs de Masulipatan,17,,non,739563
mouchoirs de mousseline,30,,non,739563
