goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
anatose,3,Sans lien avec la porcelaine,543223,non
anches de tonneaux,2,Sans lien avec la porcelaine,543223,non
anchois,851,Sans lien avec la porcelaine,543223,non
anchois câpres et olives,10,Sans lien avec la porcelaine,543223,non
anchois câpres etc.,1,Sans lien avec la porcelaine,543223,non
anchois câpres olives,1,Sans lien avec la porcelaine,543223,non
anchois et boutargue,13,Sans lien avec la porcelaine,543223,non
anchois et câpres,5,Sans lien avec la porcelaine,543223,non
anchois et sardes,1,Sans lien avec la porcelaine,543223,non
anchois et sardines,5,Sans lien avec la porcelaine,543223,non
anchois mariné,6,Sans lien avec la porcelaine,543223,non
anchois mariné et salé,39,Sans lien avec la porcelaine,543223,non
anchois salé et mariné,2,Sans lien avec la porcelaine,543223,non
anchois salés,5,Sans lien avec la porcelaine,543223,non
anchois salés et marinés,9,Sans lien avec la porcelaine,543223,non
ancres,5,Sans lien avec la porcelaine,543223,non
ancres de chaudon,1,Sans lien avec la porcelaine,543223,non
ancres de fer,553,Sans lien avec la porcelaine,543223,non
ancres de fer à chaudrons,1,Sans lien avec la porcelaine,543223,non
ancres de fer au-dessus de 250 kilogrammes,1,Sans lien avec la porcelaine,543223,non
ancres de fer de 250 kilogrammes et au-dessous,1,Sans lien avec la porcelaine,543223,non
ancres de fer et embarcations,2,Sans lien avec la porcelaine,543223,non
ancres et embarcations,5,Sans lien avec la porcelaine,543223,non
ancres et grappins de fer,1,Sans lien avec la porcelaine,543223,non
ancres gravelées,1,Sans lien avec la porcelaine,543223,non
ancres neuves,3,Sans lien avec la porcelaine,543223,non
ancres vides,4,Sans lien avec la porcelaine,543223,non
ancres vieilles,1,,6813,non
ancres vieilles vides,1,Sans lien avec la porcelaine,543223,non
andolium,2,Sans lien avec la porcelaine,543223,non
andouilles,43,Sans lien avec la porcelaine,543223,non
andouillette,1,Sans lien avec la porcelaine,543223,non
ânes,174,Sans lien avec la porcelaine,543223,non
ânes et ânesses,9,Sans lien avec la porcelaine,543223,non
ânes et mulets,11,Sans lien avec la porcelaine,543223,non
ânesses,1,Sans lien avec la porcelaine,543223,non
angélique,28,Sans lien avec la porcelaine,543223,non
angélique du Rozème,1,Sans lien avec la porcelaine,543223,non
anguilles,23,Sans lien avec la porcelaine,543223,non
anguilles et truites,1,Sans lien avec la porcelaine,543223,non
anguilles fraîches,1,Sans lien avec la porcelaine,543223,non
anguilles marinées,1,Sans lien avec la porcelaine,543223,non
anguilles salées,22,Sans lien avec la porcelaine,543223,non
anille,1,Sans lien avec la porcelaine,543223,non
