goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
outils de marine,1,Sans lien avec la porcelaine,543223,non
outils de ménage,2,Sans lien avec la porcelaine,543223,non
outils de menuiserie,18,Sans lien avec la porcelaine,543223,non
outils de menuisier,1,Sans lien avec la porcelaine,543223,non
outils de moulin à papier,,Sans lien avec la porcelaine,543223,oui
outils de moulins,1,Sans lien avec la porcelaine,543223,non
outils de moulins à papier,1,,6813,non
outils de moulins de fer,4,Sans lien avec la porcelaine,543223,non
outils de pêche,73,Sans lien avec la porcelaine,543223,non
outils de pêche par Marseille,1,Sans lien avec la porcelaine,543223,non
outils menuisier,3,Sans lien avec la porcelaine,543223,non
outils pour boulanger,1,Sans lien avec la porcelaine,543223,non
outils pour charpentier,9,Sans lien avec la porcelaine,543223,non
outils pour ferblantier,1,Sans lien avec la porcelaine,543223,non
outils pour laboureur,1,Sans lien avec la porcelaine,543223,non
outils pour marchands de vin,1,Sans lien avec la porcelaine,543223,non
outils pour miroitier,1,Sans lien avec la porcelaine,543223,non
outils pour orfèvre,2,Sans lien avec la porcelaine,543223,non
outils pour ouvrier,1,Sans lien avec la porcelaine,543223,non
outils pour sécheurs,10,Sans lien avec la porcelaine,543223,non
outils pour tisserand,1,Sans lien avec la porcelaine,543223,non
outremer,1,Sans lien avec la porcelaine,543223,non
outres vides,2,Sans lien avec la porcelaine,543223,non
ouvrage d'architecture,,Sans lien avec la porcelaine,543223,oui
ouvrage de bois,,Sans lien avec la porcelaine,543223,oui
ouvrage de coton,,Sans lien avec la porcelaine,543223,oui
ouvrage de toile,,Sans lien avec la porcelaine,543223,oui
ouvrage de toile pour linge de table,,Sans lien avec la porcelaine,543223,oui
ouvrage de tourneur,,Sans lien avec la porcelaine,543223,oui
ouvrage en argenture et dorure,,Sans lien avec la porcelaine,543223,oui
ouvrages,77,Sans lien avec la porcelaine,543223,non
ouvrages ???,2,Sans lien avec la porcelaine,543223,non
ouvrages ??? à couvrir,1,Sans lien avec la porcelaine,543223,non
ouvrages brisés et vieux ouvrages de laiton,1,Sans lien avec la porcelaine,543223,non
ouvrages d'acier,13,Sans lien avec la porcelaine,543223,non
ouvrages d'agate,4,,6813,non
ouvrages d'agate et agate chique,1,,6813,non
ouvrages d'airain,16,Sans lien avec la porcelaine,543223,non
ouvrages d'albâtre,3,Sans lien avec la porcelaine,543223,non
ouvrages d'albâtre et ouvrages de bois et ouvrages de marbre,8,Sans lien avec la porcelaine,543223,non
ouvrages d'ambre,1,Sans lien avec la porcelaine,543223,non
ouvrages d'ambre jaune,1,Sans lien avec la porcelaine,543223,non
ouvrages d'architecture,1,,6813,non
ouvrages d'argent,2,Sans lien avec la porcelaine,543223,non
ouvrages d'argent et d'or,5,Sans lien avec la porcelaine,543223,non
ouvrages d'argent et d'or et de soie,24,Sans lien avec la porcelaine,543223,non
ouvrages d'argent et d'or faux,2,Sans lien avec la porcelaine,543223,non
ouvrages d'argent et de soie,2,Sans lien avec la porcelaine,543223,non
ouvrages d'argent fil et soie,1,Sans lien avec la porcelaine,543223,non
ouvrages d'argent fin d'or et de soie,1,Sans lien avec la porcelaine,543223,non
ouvrages d'argent or et soie,1,Sans lien avec la porcelaine,543223,non
ouvrages d'argent plaqué,1,Sans lien avec la porcelaine,543223,non
ouvrages d'auf,39,Sans lien avec la porcelaine,543223,non
ouvrages d'auf bandeaux,1,Sans lien avec la porcelaine,543223,non
ouvrages d'auf en cousses,1,Sans lien avec la porcelaine,543223,non
ouvrages d'auf et de jonc,2,Sans lien avec la porcelaine,543223,non
ouvrages d'écaille,1,Sans lien avec la porcelaine,543223,non
ouvrages d'étain,839,Sans lien avec la porcelaine,543223,non
ouvrages d'horlogerie,13,Sans lien avec la porcelaine,543223,non
ouvrages d'horlogerie montés,7,Sans lien avec la porcelaine,543223,non
ouvrages d'industrie,301,Sans lien avec la porcelaine,543223,non
ouvrages d'industrie étrangers,54,Sans lien avec la porcelaine,543223,non
ouvrages d'ivoire,9,Sans lien avec la porcelaine,543223,non
ouvrages d'opium,1,Sans lien avec la porcelaine,543223,non
ouvrages d'optique,4,Sans lien avec la porcelaine,543223,non
ouvrages d'or,1,Sans lien avec la porcelaine,543223,non
ouvrages d'or faux,3,Sans lien avec la porcelaine,543223,non
ouvrages d'orfèvrerie,6,Sans lien avec la porcelaine,543223,non
ouvrages d'osier,16,Sans lien avec la porcelaine,543223,non
ouvrages de bergamotes,1,,6813,non
ouvrages de bois,698,Sans lien avec la porcelaine,543223,non
ouvrages de bois de noyer,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois de Saint-Claude,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois de sapin,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois doré,17,Sans lien avec la porcelaine,543223,non
ouvrages de bois en atelier de coluses,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois en plaqué,2,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages d'osier,10,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages de cuir,18,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages de cuivre,16,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages de fer-blanc,5,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages de modes et fleurs artificielles,18,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages de passementerie,12,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages de peau,10,Sans lien avec la porcelaine,543223,non
ouvrages de bois et ouvrages en terre cuite et ouvrages en brique,13,Sans lien avec la porcelaine,543223,non
ouvrages de bois et vannerie d'osier,10,Sans lien avec la porcelaine,543223,non
ouvrages de bois gros,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois menus,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois non doré,4,Sans lien avec la porcelaine,543223,non
ouvrages de bois peint,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois pour bâtir,1,,6813,non
ouvrages de bois pour charpente,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois pour le bâtiment,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois sculpté et doré,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois simple,31,Sans lien avec la porcelaine,543223,non
ouvrages de bois simple et doré,25,Sans lien avec la porcelaine,543223,non
ouvrages de bois simples en grilles de sapin,1,Sans lien avec la porcelaine,543223,non
ouvrages de bois verni,2,Sans lien avec la porcelaine,543223,non
ouvrages de bronze,6,Sans lien avec la porcelaine,543223,non
ouvrages de buis,7,Sans lien avec la porcelaine,543223,non
ouvrages de carreaux et tuiles,2,Sans lien avec la porcelaine,543223,non
ouvrages de carton,36,Sans lien avec la porcelaine,543223,non
ouvrages de carton assemblé coupé et moulé,2,Sans lien avec la porcelaine,543223,non
ouvrages de chanvre,1,Sans lien avec la porcelaine,543223,non
ouvrages de chanvre en masse,1,Sans lien avec la porcelaine,543223,non
ouvrages de chanvre en rames,1,Sans lien avec la porcelaine,543223,non
ouvrages de charpentier,9,Sans lien avec la porcelaine,543223,non
ouvrages de charron,9,Sans lien avec la porcelaine,543223,non
ouvrages de charronnage,17,Sans lien avec la porcelaine,543223,non
ouvrages de chêne,1,Sans lien avec la porcelaine,543223,non
ouvrages de cire,3,Sans lien avec la porcelaine,543223,non
ouvrages de cire blanche,66,,6813,non
ouvrages de cire jaune,3,,6813,non
ouvrages de corail,366,Sans lien avec la porcelaine,543223,non
ouvrages de corail brut,1,Sans lien avec la porcelaine,543223,non
ouvrages de corail fin,2,Sans lien avec la porcelaine,543223,non
ouvrages de cordonnerie de peaux,1,Sans lien avec la porcelaine,543223,non
ouvrages de cordonnier,8,Sans lien avec la porcelaine,543223,non
ouvrages de cordonnier de cuir,1,Sans lien avec la porcelaine,543223,non
ouvrages de cordonnier de soie,2,Sans lien avec la porcelaine,543223,non
ouvrages de corne et d'ivoire,1,Sans lien avec la porcelaine,543223,non
ouvrages de coton,2,Sans lien avec la porcelaine,543223,non
ouvrages de coton et de laine et de fil et de filoselle,9,Sans lien avec la porcelaine,543223,non
ouvrages de coudrier,1,Sans lien avec la porcelaine,543223,non
ouvrages de coutellerie,105,Sans lien avec la porcelaine,543223,non
ouvrages de coutellerie argenterie,1,Sans lien avec la porcelaine,543223,non
ouvrages de crin,1,Sans lien avec la porcelaine,543223,non
ouvrages de crin de cheval,1,Sans lien avec la porcelaine,543223,non
ouvrages de cristal,17,Sans lien avec la porcelaine,543223,non
ouvrages de cuir,173,Sans lien avec la porcelaine,543223,non
ouvrages de cuir ???? en soie pour femme,2,Sans lien avec la porcelaine,543223,non
ouvrages de cuir argenté et doré,5,Sans lien avec la porcelaine,543223,non
ouvrages de cuir blanc,1,Sans lien avec la porcelaine,543223,non
ouvrages de cuir doré,3,Sans lien avec la porcelaine,543223,non
ouvrages de cuir et bonnets de soie,4,Sans lien avec la porcelaine,543223,non
ouvrages de cuir et peaux,2,Sans lien avec la porcelaine,543223,non
ouvrages de cuisse,1,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre,1192,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre argenté,16,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre doré,10,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre doré et argenté,245,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre et argent,1,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre garnis en argent,1,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre jaune,7,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre potin,1,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre rouge,41,Sans lien avec la porcelaine,543223,non
ouvrages de cuivre simples,19,Sans lien avec la porcelaine,543223,non
ouvrages de damier,2,Sans lien avec la porcelaine,543223,non
ouvrages de drap,1,Sans lien avec la porcelaine,543223,non
ouvrages de faïence,7,Substitut 1 de la porcelaine,2597,non
ouvrages de fer,1104,Sans lien avec la porcelaine,543223,non
ouvrages de fer de plomb,1,Sans lien avec la porcelaine,543223,non
ouvrages de fer et de fonte,1,,6813,non
ouvrages de fer et ouvrages de jonc,7,Sans lien avec la porcelaine,543223,non
ouvrages de fer noir,1,Sans lien avec la porcelaine,543223,non
ouvrages de fer pour maréchal,1,Sans lien avec la porcelaine,543223,non
ouvrages de fer simples,1,,6813,non
ouvrages de fer tôle ou fer-blanc,5,Sans lien avec la porcelaine,543223,non
ouvrages de fer-blanc,68,Sans lien avec la porcelaine,543223,non
ouvrages de fer-blanc et tôle vernie,29,Sans lien avec la porcelaine,543223,non
ouvrages de fer-blanc ou fer tôle,2,Sans lien avec la porcelaine,543223,non
ouvrages de feutres,3,Sans lien avec la porcelaine,543223,non
ouvrages de fil,4,Sans lien avec la porcelaine,543223,non
ouvrages de fil en filoselle,1,Sans lien avec la porcelaine,543223,non
ouvrages de fil en galon,2,Sans lien avec la porcelaine,543223,non
ouvrages de filoselle,8,Sans lien avec la porcelaine,543223,non
ouvrages de filoselle en ruban,1,Sans lien avec la porcelaine,543223,non
ouvrages de filoselle et de soie,1,Sans lien avec la porcelaine,543223,non
ouvrages de fleuret,8,Sans lien avec la porcelaine,543223,non
ouvrages de fleurs,6,Sans lien avec la porcelaine,543223,non
ouvrages de fleurs artificielle,5,Sans lien avec la porcelaine,543223,non
ouvrages de fondeur,3,Sans lien avec la porcelaine,543223,non
ouvrages de fonte,158,Sans lien avec la porcelaine,543223,non
ouvrages de fourreurs,2,Sans lien avec la porcelaine,543223,non
ouvrages de grès,1,Substitut 2 de la porcelaine,1545,non
ouvrages de jais,12,Sans lien avec la porcelaine,543223,non
ouvrages de jaspe,17,Sans lien avec la porcelaine,543223,non
ouvrages de jonc,108,Sans lien avec la porcelaine,543223,non
ouvrages de jonc et de paille,2,Sans lien avec la porcelaine,543223,non
ouvrages de jonc et sparterie,2,Sans lien avec la porcelaine,543223,non
ouvrages de jouets en malles,1,Sans lien avec la porcelaine,543223,non
ouvrages de laine,3,Sans lien avec la porcelaine,543223,non
ouvrages de laine et soie,1,Sans lien avec la porcelaine,543223,non
ouvrages de laiton,123,Sans lien avec la porcelaine,543223,non
ouvrages de liège,11,Sans lien avec la porcelaine,543223,non
ouvrages de linge,5,Sans lien avec la porcelaine,543223,non
ouvrages de mandrier,1,Sans lien avec la porcelaine,543223,non
ouvrages de marbre,412,Sans lien avec la porcelaine,543223,non
ouvrages de marbre à jouer,2,Sans lien avec la porcelaine,543223,non
ouvrages de marbre et cuivre doré,2,Sans lien avec la porcelaine,543223,non
ouvrages de marbre et ouvrages d'albâtre,29,Sans lien avec la porcelaine,543223,non
ouvrages de marqueterie,1,Sans lien avec la porcelaine,543223,non
ouvrages de mécanique,11,Sans lien avec la porcelaine,543223,non
ouvrages de menuiserie,2,Sans lien avec la porcelaine,543223,non
ouvrages de menuiserie simple,1,Sans lien avec la porcelaine,543223,non
ouvrages de menuisier,2,Sans lien avec la porcelaine,543223,non
ouvrages de métal,2,Sans lien avec la porcelaine,543223,non
ouvrages de métal frappé et moulu,2,Sans lien avec la porcelaine,543223,non
ouvrages de mi soie,1,Sans lien avec la porcelaine,543223,non
ouvrages de mode et porcelaine,1,Porcelaine,1714,non
ouvrages de modes,381,Sans lien avec la porcelaine,543223,non
ouvrages de paille,8,Sans lien avec la porcelaine,543223,non
ouvrages de paille pour chapeaux,3,Sans lien avec la porcelaine,543223,non
ouvrages de palmes,3,Sans lien avec la porcelaine,543223,non
ouvrages de papeterie,1,Sans lien avec la porcelaine,543223,non
ouvrages de pâte,1,Sans lien avec la porcelaine,543223,non
ouvrages de peau,52,Sans lien avec la porcelaine,543223,non
ouvrages de peaux,3,Sans lien avec la porcelaine,543223,non
ouvrages de peaux d'oigneaux,1,Sans lien avec la porcelaine,543223,non
ouvrages de peaux de daim,1,Sans lien avec la porcelaine,543223,non
ouvrages de peaux diverses,1,Sans lien avec la porcelaine,543223,non
ouvrages de peaux outres pleines,2,Sans lien avec la porcelaine,543223,non
ouvrages de physique,1,Sans lien avec la porcelaine,543223,non
ouvrages de pierre,10,Sans lien avec la porcelaine,543223,non
ouvrages de pierre autre que chiques,2,Sans lien avec la porcelaine,543223,non
ouvrages de pierres de jais,1,,6813,non
ouvrages de pierres de jayet,1,Sans lien avec la porcelaine,543223,non
ouvrages de plâtre,8,Sans lien avec la porcelaine,543223,non
ouvrages de plâtre en figure,2,Sans lien avec la porcelaine,543223,non
ouvrages de plomb,44,Sans lien avec la porcelaine,543223,non
ouvrages de plumes,14,Sans lien avec la porcelaine,543223,non
ouvrages de plumes d'autruche,12,,6813,non
ouvrages de poterie,2,Sans lien avec la porcelaine,543223,non
ouvrages de potin,1,,6813,non
ouvrages de sapin,1,Sans lien avec la porcelaine,543223,non
ouvrages de sellier de toute sorte,1,Sans lien avec la porcelaine,543223,non
ouvrages de serrurerie,63,Sans lien avec la porcelaine,543223,non
ouvrages de serrurerie de fer,65,Sans lien avec la porcelaine,543223,non
ouvrages de serrurerie en ressorts de voiture,1,Sans lien avec la porcelaine,543223,non
ouvrages de soie,80,Sans lien avec la porcelaine,543223,non
ouvrages de soie et dorure,3,Sans lien avec la porcelaine,543223,non
ouvrages de soulier couverts en étoffe de soie pour femme,4,Sans lien avec la porcelaine,543223,non
ouvrages de Spa,2,Sans lien avec la porcelaine,543223,non
ouvrages de Spa en bois verni,1,Sans lien avec la porcelaine,543223,non
ouvrages de sparterie,44,Sans lien avec la porcelaine,543223,non
ouvrages de sparterie commune cordage de jonc paille roseaux et écorce de bois,10,Sans lien avec la porcelaine,543223,non
ouvrages de sparterie commune et cordage de jonc ...,20,Sans lien avec la porcelaine,543223,non
ouvrages de tabac,13,Sans lien avec la porcelaine,543223,non
ouvrages de tabletterie,101,Sans lien avec la porcelaine,543223,non
ouvrages de taillandier,6,Sans lien avec la porcelaine,543223,non
ouvrages de terre,13,Substitut 2 de la porcelaine,1545,non
ouvrages de terre cuite,109,Substitut 2 de la porcelaine,1545,non
ouvrages de terre en postures,1,Substitut 2 de la porcelaine,1545,non
ouvrages de toile,18,,6813,non
ouvrages de toile pour linge de table,1,,6813,non
ouvrages de tôle,1,Sans lien avec la porcelaine,543223,non
ouvrages de tonnelier,20,Sans lien avec la porcelaine,543223,non
ouvrages de tonnelier en feuilles,1,Sans lien avec la porcelaine,543223,non
ouvrages de tonnellerie,3,Sans lien avec la porcelaine,543223,non
ouvrages de tourneur,16,Sans lien avec la porcelaine,543223,non
ouvrages de vannerie de bois et d'osier,19,Sans lien avec la porcelaine,543223,non
ouvrages de verre,11,Sans lien avec la porcelaine,543223,non
ouvrages de verre en ???,4,Sans lien avec la porcelaine,543223,non
ouvrages de verre en bossage,1,Sans lien avec la porcelaine,543223,non
ouvrages de verre en rassades,8,Sans lien avec la porcelaine,543223,non
ouvrages de verres,21,Sans lien avec la porcelaine,543223,non
ouvrages de zinc,2,Sans lien avec la porcelaine,543223,non
ouvrages devant,1,Sans lien avec la porcelaine,543223,non
ouvrages divers,322,Sans lien avec la porcelaine,543223,non
ouvrages divers d'étain,3,Sans lien avec la porcelaine,543223,non
ouvrages dorés,1,Sans lien avec la porcelaine,543223,non
ouvrages dorés argentés et plaqués,20,Sans lien avec la porcelaine,543223,non
ouvrages dorure fausse,58,Sans lien avec la porcelaine,543223,non
ouvrages en argenture et dorure,1,,6813,non
ouvrages en brique vernissée,1,Sans lien avec la porcelaine,543223,non
ouvrages en cheveux,2,Sans lien avec la porcelaine,543223,non
ouvrages en cuivre plaqué doré et argenté,38,Sans lien avec la porcelaine,543223,non
ouvrages en dorure,4,Sans lien avec la porcelaine,543223,non
ouvrages en dorure argent faux,1,Sans lien avec la porcelaine,543223,non
ouvrages en dorure fil d'argent,1,Sans lien avec la porcelaine,543223,non
ouvrages en dorure fine,30,Sans lien avec la porcelaine,543223,non
ouvrages en dorure sur soie,1,Sans lien avec la porcelaine,543223,non
ouvrages en esparballe,1,Sans lien avec la porcelaine,543223,non
ouvrages en fleurs artificielles,47,Sans lien avec la porcelaine,543223,non
ouvrages en futaillerie et de Saint-Claude,1,Sans lien avec la porcelaine,543223,non
ouvrages en harnais et sellerie,33,Sans lien avec la porcelaine,543223,non
ouvrages en ivoire et écaille,2,Sans lien avec la porcelaine,543223,non
ouvrages en lames à couvrir,1,Sans lien avec la porcelaine,543223,non
ouvrages en marbre,4,Sans lien avec la porcelaine,543223,non
ouvrages en métal,1,Sans lien avec la porcelaine,543223,non
ouvrages en métal et fer,1,Sans lien avec la porcelaine,543223,non
ouvrages en métaux communs argentés dorés plaqués vernissés,4,Sans lien avec la porcelaine,543223,non
ouvrages en métaux communs plaqués,2,Sans lien avec la porcelaine,543223,non
ouvrages en nacre de perle,1,Sans lien avec la porcelaine,543223,non
ouvrages en nattes de bois,1,Sans lien avec la porcelaine,543223,non
ouvrages en nattes de Moscovie,1,Sans lien avec la porcelaine,543223,non
ouvrages en passementerie ordinaire,13,Sans lien avec la porcelaine,543223,non
ouvrages en pierres,8,Sans lien avec la porcelaine,543223,non
ouvrages en poil autres que le tissu,2,Sans lien avec la porcelaine,543223,non
ouvrages en terre cuite,86,Substitut 2 de la porcelaine,1545,non
ouvrages en tôle vernie,4,Sans lien avec la porcelaine,543223,non
ouvrages et ornements pour une église,1,Sans lien avec la porcelaine,543223,non
ouvrages et outils d'horlogerie,1,Sans lien avec la porcelaine,543223,non
ouvrages pantoufles,2,Sans lien avec la porcelaine,543223,non
ouvrages riches et divers,2,Sans lien avec la porcelaine,543223,non
ouvrages tricotés pour vestes camisoles et culottes,2,Sans lien avec la porcelaine,543223,non
oxyde d'étain et de fer,4,Sans lien avec la porcelaine,543223,non
oxyde de cuivre,1,Sans lien avec la porcelaine,543223,non
oxyde de manganèse,2,Sans lien avec la porcelaine,543223,non
oxyde de plomb,1,Sans lien avec la porcelaine,543223,non
oxyde de zinc blanc,1,Sans lien avec la porcelaine,543223,non
oxyde de zinc blanc ou gris,2,Sans lien avec la porcelaine,543223,non
oxyde de zinc gris cendré,1,Sans lien avec la porcelaine,543223,non
P ???,1,,6813,non
packlaeken,2,Sans lien avec la porcelaine,543223,non
packlaeken blanc,2,Sans lien avec la porcelaine,543223,non
packlaeken teint,2,Sans lien avec la porcelaine,543223,non
padoux,30,Sans lien avec la porcelaine,543223,non
padoux de fil,17,Sans lien avec la porcelaine,543223,non
padoux de fleuret et soie,1,Sans lien avec la porcelaine,543223,non
padoux de laine,1,Sans lien avec la porcelaine,543223,non
paesures,1,Sans lien avec la porcelaine,543223,non
pagas,1,Sans lien avec la porcelaine,543223,non
pagne,11,Sans lien avec la porcelaine,543223,non
paillasses,1,Sans lien avec la porcelaine,543223,non
paillassons et tapis de sol,1,Sans lien avec la porcelaine,543223,non
paille,115,Sans lien avec la porcelaine,543223,non
paille d'herbe,2,Sans lien avec la porcelaine,543223,non
paille de foin,1,Sans lien avec la porcelaine,543223,non
paille de lin,5,Sans lien avec la porcelaine,543223,non
paille dite chaume à couvrir toits,1,Sans lien avec la porcelaine,543223,non
paille et herbes de pâturage,3,Sans lien avec la porcelaine,543223,non
paille hachée,1,Sans lien avec la porcelaine,543223,non
paille pour chaise,1,Sans lien avec la porcelaine,543223,non
paillers d'espars,4,Sans lien avec la porcelaine,543223,non
pailles de bois,1,Sans lien avec la porcelaine,543223,non
paillettes d' ???,1,Sans lien avec la porcelaine,543223,non
paillettes d'argent,1,Sans lien avec la porcelaine,543223,non
paillettes d'or,3,Sans lien avec la porcelaine,543223,non
paillettes d'or fin et paillous d'or fin,2,Sans lien avec la porcelaine,543223,non
pain,9,Sans lien avec la porcelaine,543223,non
pain ?,1,,6813,non
pain à cacheter,31,Sans lien avec la porcelaine,543223,non
pain à castille,2,Sans lien avec la porcelaine,543223,non
pain d'épice,147,Sans lien avec la porcelaine,543223,non
pain d'épice et pâtisserie,2,Sans lien avec la porcelaine,543223,non
pain de cire blanche,2,Sans lien avec la porcelaine,543223,non
pain de colza et de lin et de navette,1,Sans lien avec la porcelaine,543223,non
pain de graine de lin,2,Sans lien avec la porcelaine,543223,non
pain de graine de lin et de navette,2,Sans lien avec la porcelaine,543223,non
pain de navette,157,Sans lien avec la porcelaine,543223,non
pain de navette en poudre,1,Sans lien avec la porcelaine,543223,non
pain de navettes,2,Sans lien avec la porcelaine,543223,non
paires de poulets,1,Sans lien avec la porcelaine,543223,non
palangre,11,Sans lien avec la porcelaine,543223,non
palatine,20,Sans lien avec la porcelaine,543223,non
palatine avec argent,1,Sans lien avec la porcelaine,543223,non
palatine de chenille,1,Sans lien avec la porcelaine,543223,non
palatine de peau de grèbe,1,Sans lien avec la porcelaine,543223,non
palatine de soie,7,Sans lien avec la porcelaine,543223,non
palatine et coiffures de gaze,1,Sans lien avec la porcelaine,543223,non
palenas,1,Sans lien avec la porcelaine,543223,non
paliacates,3,Sans lien avec la porcelaine,543223,non
palins,1,Sans lien avec la porcelaine,543223,non
Palma Christi,1,Sans lien avec la porcelaine,543223,non
palme,12,Sans lien avec la porcelaine,543223,non
palme en feuilles,78,Sans lien avec la porcelaine,543223,non
palme pour balais,1,Sans lien avec la porcelaine,543223,non
palun,12,Sans lien avec la porcelaine,543223,non
panade,1,,6813,non
panetons,2,Sans lien avec la porcelaine,543223,non
paniers,4,Sans lien avec la porcelaine,543223,non
paniers à chauffer,1,Sans lien avec la porcelaine,543223,non
paniers à couvrir de terre cuite,1,Sans lien avec la porcelaine,543223,non
paniers à ouvrages,1,Sans lien avec la porcelaine,543223,non
paniers d'espars,1,Sans lien avec la porcelaine,543223,non
paniers d'habit,5,Sans lien avec la porcelaine,543223,non
paniers d'habit de crin,1,Sans lien avec la porcelaine,543223,non
paniers d'olives,1,Sans lien avec la porcelaine,543223,non
paniers d'orseille,1,Sans lien avec la porcelaine,543223,non
paniers d'oseille,1,Sans lien avec la porcelaine,543223,non
paniers d'osier,101,Sans lien avec la porcelaine,543223,non
paniers d'osier petit,1,Sans lien avec la porcelaine,543223,non
paniers de caudré,1,Sans lien avec la porcelaine,543223,non
paniers de coudre,7,Sans lien avec la porcelaine,543223,non
paniers de cuivre,1,Sans lien avec la porcelaine,543223,non
paniers de femme,4,Sans lien avec la porcelaine,543223,non
paniers de fer,1,Sans lien avec la porcelaine,543223,non
paniers de foudre,1,Sans lien avec la porcelaine,543223,non
paniers de jonc,2,Sans lien avec la porcelaine,543223,non
paniers pour femme,2,Sans lien avec la porcelaine,543223,non
panine,15,Sans lien avec la porcelaine,543223,non
panine de soie,28,Sans lien avec la porcelaine,543223,non
panis à cachette,2,Sans lien avec la porcelaine,543223,non
panne,116,Sans lien avec la porcelaine,543223,non
panne à couvrir,4,Sans lien avec la porcelaine,543223,non
panne ciselée,2,Sans lien avec la porcelaine,543223,non
panne d'Amiens,8,Sans lien avec la porcelaine,543223,non
panne de coton,1,Sans lien avec la porcelaine,543223,non
panne de laine,31,Sans lien avec la porcelaine,543223,non
panne de laine et de long poil,1,Sans lien avec la porcelaine,543223,non
panne de laine et de poil,4,Sans lien avec la porcelaine,543223,non
panne de laine et peluche de laine,1,Sans lien avec la porcelaine,543223,non
panne de laine ficelée,1,Sans lien avec la porcelaine,543223,non
panne de poil,38,Sans lien avec la porcelaine,543223,non
panne de poil longue,1,Sans lien avec la porcelaine,543223,non
panne de soie,94,Sans lien avec la porcelaine,543223,non
panne de velours,1,Sans lien avec la porcelaine,543223,non
panne de velours sur soie,1,Sans lien avec la porcelaine,543223,non
panne des prises,2,Sans lien avec la porcelaine,543223,non
panne écarlate,5,Sans lien avec la porcelaine,543223,non
panne en peluches et tripe aune,2,Sans lien avec la porcelaine,543223,non
panne en poil,5,Sans lien avec la porcelaine,543223,non
panne imprimée,2,Sans lien avec la porcelaine,543223,non
panne laine et poil,2,Sans lien avec la porcelaine,543223,non
panne ordinaire,7,Sans lien avec la porcelaine,543223,non
panne peluches et tripe,2,Sans lien avec la porcelaine,543223,non
panne poil,1,Sans lien avec la porcelaine,543223,non
panne rouge,1,Sans lien avec la porcelaine,543223,non
panneaux,14,Sans lien avec la porcelaine,543223,non
panneaux de bois,1,Sans lien avec la porcelaine,543223,non
pans à couvrir de terre cuite,3,Sans lien avec la porcelaine,543223,non
pantalons,1,Sans lien avec la porcelaine,543223,non
pantalons de soie,1,Sans lien avec la porcelaine,543223,non
pantoufles,4,Sans lien avec la porcelaine,543223,non
pantoufles brodées,2,Sans lien avec la porcelaine,543223,non
pantoufles brodées pour femme,1,,6813,non
pantoufles de cuir,2,Sans lien avec la porcelaine,543223,non
pantoufles de cuir et de maroquin,4,Sans lien avec la porcelaine,543223,non
paons,2,Sans lien avec la porcelaine,543223,non
papelias,1,Sans lien avec la porcelaine,543223,non
papier,654,Sans lien avec la porcelaine,543223,non
papier ???,5,Sans lien avec la porcelaine,543223,non
papier à bulle,18,Sans lien avec la porcelaine,543223,non
papier à bulle blanc,51,Sans lien avec la porcelaine,543223,non
papier à bulle gros,2,Sans lien avec la porcelaine,543223,non
papier à cartes,1,Sans lien avec la porcelaine,543223,non
papier à cartouche,1,Sans lien avec la porcelaine,543223,non
papier à connaissements,1,Sans lien avec la porcelaine,543223,non
papier à doublage,9,Sans lien avec la porcelaine,543223,non
papier à doublage et peint,3,Sans lien avec la porcelaine,543223,non
papier à écrire,690,Sans lien avec la porcelaine,543223,non
papier à écrire bleu gris,11,,6813,non
papier à écrire toute espèce,5,Sans lien avec la porcelaine,543223,non
papier à écu fin,2,Sans lien avec la porcelaine,543223,non
papier à enveloppe,4,Sans lien avec la porcelaine,543223,non
papier à envelopper,1,Sans lien avec la porcelaine,543223,non
papier à états,1,Sans lien avec la porcelaine,543223,non
papier à éventail,17,Sans lien avec la porcelaine,543223,non
papier à facture,3,Sans lien avec la porcelaine,543223,non
