goods_simpl_classification,nbr_occurences_simpl,edentreaty_classification,obsolete,nbr_occurences_edentreaty
bois pour bats,4,,non,483077
bois pour bâts,4,,non,483077
bois pour battes de chêne,1,,non,483077
bois pour boîtes,3,,non,483077
bois pour bordage,1,,non,483077
bois pour boucles,1,,non,483077
bois pour brûler,590,,non,483077
bois pour brûler d'orme,1,,non,483077
bois pour brûler de chêne,1,,non,483077
bois pour brûler de gite,1,,non,483077
bois pour brûler en ???,2,,non,483077
bois pour brûler et autres,2,,non,483077
bois pour brûler et fagots,1,,non,483077
bois pour cabanière,1,,non,483077
bois pour cercle,2,,non,483077
bois pour chaise,1,,non,483077
bois pour charpente,2,,non,483077
bois pour chocolat,1,,non,483077
bois pour comble,1,,non,483077
bois pour construction,455,,non,483077
bois pour construction de 22 pieds,1,,non,483077
bois pour construction de 40 pieds,1,,non,483077
bois pour construction de sapin,2,,non,483077
bois pour construction et planches de bois,1,,non,483077
bois pour construire ayant d'épaisseur 34 à 80 mm,2,,non,483077
bois pour construire ayant d'épaisseur 8 centimètres au moins,4,,non,483077
bois pour construire ayant d'épaisseur 8 centimètres ou moins,2,,non,483077
bois pour construire ayant reçu une première main-d'œuvre impropre à la construction navale,1,,non,483077
bois pour construire brut ou équarri à la hache,8,,non,483077
bois pour construire manche de fouines et pinceaux à goudron,3,,non,483077
bois pour construire scié ayant d'épaisseur moins de 34 et autres,1,,non,483077
bois pour construire scié ayant d'épaisseur moins de 34 mm et planches dites schom,1,,non,483077
bois pour construire scié ayant d'épaisseur plus de 8 centimètres,5,,non,483077
bois pour construire scié ayant d'épaisseur plus de 80 mm,2,,non,483077
bois pour corbeilles,4,,non,483077
bois pour corbin,27,,non,483077
bois pour crible,59,,non,483077
bois pour cribles,2,,non,483077
bois pour étuis,1,,non,483077
bois pour éventail,2,,non,483077
bois pour éventail de nacre de perle,1,,non,483077
bois pour faire sabot,1,,non,483077
bois pour faux,1,,non,483077
bois pour fond,8,,non,483077
bois pour fourreau,2,,non,483077
bois pour fourreau d'épée,7,,non,483077
bois pour fusil,3,,non,483077
bois pour futaille,4,,non,483077
bois pour gabares,4,,non,483077
bois pour gaine,3,,non,483077
bois pour instruments de musique,1,,non,483077
bois pour lattes,1,,non,483077
bois pour lit,1,,non,483077
bois pour mâts,1,,non,483077
bois pour mature,0,,oui,483077
bois pour mâtures,6,,non,483077
bois pour meuble,14,,non,483077
bois pour meubles,8,,non,483077
bois pour palissade,2,,non,483077
bois pour palissade et terrasse,1,,non,483077
bois pour paniers,4,,non,483077
bois pour parquet,1,,non,483077
bois pour peinture et teinture,3,,non,483077
bois pour pipe,10,,non,483077
bois pour plafond,2,,non,483077
bois pour poinçon,1,,non,483077
bois pour pompe,1,,non,483077
bois pour quilles de navire,1,,non,483077
bois pour sommier,5,,non,483077
bois pour tamis,27,,non,483077
bois pour tanin,1,,non,483077
bois pour tapis,1,,non,483077
bois pour teindre,360,,non,483077
bois pour teindre en bûches,14,,non,483077
bois pour teindre râpé,1,,non,483077
bois pour teinture,1,,non,483077
bois pour tierçon,2,,non,483077
bois pour tonneaux,17,,non,483077
bois pour violon,1,,non,483077
bois préparé pour charpente et autres ouvrages,1,,non,483077
bois préparé pour ouvrages,1,,non,483077
bois râpé,2,,non,483077
bois rosal,1,,non,483077
bois rouge,153,,non,483077
bois rouge des Indes,4,,non,483077
bois rouge pour teinture,2,,non,483077
bois rouge râpé,2,,non,483077
bois royal,1,,non,483077
bois royet,1,,non,483077
bois rozat,3,,non,483077
bois Sainte-Marthe,0,,oui,483077
bois scié,49,,non,483077
bois soutreaux,1,,non,483077
bois sustek,9,,non,483077
bois tes peintes,2,,non,483077
bois tors,10,,non,483077
bois travaillé,12,,non,483077
bois travaillé pour construire une barrique,1,,non,483077
bois tropique,5,,non,483077
bois verni,7,,non,483077
bois vert,2,,non,483077
bois violet,26,,non,483077
boisellerie,7,,non,483077
boiseries,4,,non,483077
boisselerie et futailles,12,,non,483077
boissellerie,63,,non,483077
boissons,1,,non,483077
boissons de grains distillées,1,,non,483077
boissons gazeuses à la salsepareille,1,,non,483077
boîtes,12,,non,483077
boites à ??? de bois,1,,non,483077
boîtes assorties,1,,non,483077
boîtes blanches,3,,non,483077
boîtes d'argent,1,,non,483077
boîtes d'étain,1,,non,483077
boîtes d'olivier,1,,non,483077
boîtes de bergamotes,47,,non,483077
boîtes de bergamotes vernies,1,,non,483077
boîtes de bois,57,,non,483077
boites de bois blanc,2,,non,483077
boîtes de bois blanc,5,,non,483077
boîtes de bois d'olivier,1,,non,483077
boîtes de bois musqué,1,,non,483077
boîtes de bois vernies,1,,non,483077
boîtes de bois violet,1,,non,483077
boîtes de carton,3,,non,483077
boîtes de coupure,1,,non,483077
boîtes de fer,1,,non,483077
boîtes de fer-blanc,7,,non,483077
boîtes de fontes,1,,non,483077
boîtes de Nuremberg,1,,non,483077
boîtes de plomb,1,,non,483077
boîtes de quadrilles,5,,non,483077
boites de sapin,1,,non,483077
boîtes de sapin,24,,non,483077
boîtes de sapin blanc,1,,non,483077
boîtes de sapin peintes,9,,non,483077
boîtes et plateaux,1,,non,483077
boîtes peintes,4,,non,483077
boîtes vernies,1,,non,483077
boitiers,1,,non,483077
bol,21,,non,483077
bol blanc,1,,non,483077
bol commun,4,,non,483077
bol d'Arménie,19,,non,483077
bol d'Arménie et terre de Lemnos,2,,non,483077
bol d'arsenic,1,,non,483077
bol et planches,1,,non,483077
bol fin,1,,non,483077
bolbet de coton,1,,non,483077
boldavid,2,,non,483077
boldes d'Espagne,1,,non,483077
bolsas,1,,non,483077
bombardes,1,,non,483077
bombardes de cuivre,1,,non,483077
bombardes de fer,1,,non,483077
bombasin,22,,non,483077
bombasin de Troyes,1,,non,483077
Bombay,1,,non,483077
bombes,5,,non,483077
bombes de cuivre,2,,non,483077
bombes de cuivre à thé,1,,non,483077
bombes de fer,1,,non,483077
bombes et boulets,3,,non,483077
bombes et canons,3,,non,483077
bombes et grenade,1,,non,483077
bombets,1,,non,483077
bombets de demitte,2,,non,483077
bombets de demitte et corsets de demitte,1,,non,483077
bombres de cuivre à thé,0,,oui,483077
bonbons,5,,non,483077
bonbons et sorbets,2,,non,483077
bondes de bois,1,,non,483077
bongras ammoniac,1,,non,483077
bongras animal,1,,non,483077
bonneterie,375,,non,483077
bonneterie ???,3,,non,483077
bonneterie commune de coton et bonneterie commune de laine,5,Coton de toute espèce,non,8294
bonneterie d'estam,1,,non,483077
bonneterie d'Inde de poil,1,,non,483077
bonneterie de bourre de fil,1,,non,483077
bonneterie de bourre de soie,5,,non,483077
bonneterie de chanvre et de lin,5,,non,483077
bonneterie de chanvre et lin,2,,non,483077
bonneterie de coton,164,Coton de toute espèce,non,8294
bonneterie de coton et bonneterie de fil,42,,non,483077
bonneterie de coton et bonneterie de fil et bonneterie de laine,16,Coton de toute espèce,non,8294
bonneterie de coton et bonneterie de laine,1,Coton de toute espèce,non,8294
bonneterie de coton et bonneterie de soie,1,Prohibé,non,91
bonneterie de fil,85,,non,483077
bonneterie de fil de coton,1,,non,483077
bonneterie de fil et bonneterie de coton,17,,non,483077
bonneterie de fil et coton en laine,1,,non,483077
bonneterie de filin d'or,3,,non,483077
bonneterie de filoselle,23,,non,483077
bonneterie de fleuret,11,,non,483077
bonneterie de laine,338,Lainage,non,9470
bonneterie de laine ???,1,Lainage,non,9470
bonneterie de laine et bonneterie de coton,1,,non,483077
bonneterie de laine et bonneterie poil,12,,non,483077
bonneterie de laine et soie,2,,non,483077
bonneterie de laine fine,1,,non,483077
bonneterie de laine tricots,1,Lainage,non,9470
bonneterie de lapin de poil,1,,non,483077
bonneterie de poil autre que castor,2,,non,483077
bonneterie de soie,555,Soie,non,10385
bonneterie de soie au sixième,3,,non,483077
bonneterie de soie et dorure,3,,non,483077
bonneterie écarlate,1,,non,483077
bonneterie étoffes et tapis de poil,3,,non,483077
bonneterie fil et bonneterie de coton,1,Coton de toute espèce,non,8294
bonnets,13,,non,483077
bonnets à cheveux,1,,non,483077
bonnets à dentelle,2,,non,483077
bonnets à nègre,1,,non,483077
bonnets brodés d'argent,1,,non,483077
bonnets brodés d'or,2,,non,483077
bonnets brodés de fil,2,,non,483077
bonnets brodés de laine,1,,non,483077
bonnets d'enfant,8,,non,483077
bonnets d'enfant de velours et bonnets à la postillonne,2,,non,483077
bonnets d'étoffe,2,,non,483077
bonnets d'homme,1,,non,483077
bonnets de basin,2,,non,483077
bonnets de blonde,2,,non,483077
bonnets de bois,1,,non,483077
bonnets de castor,2,,non,483077
bonnets de castor brodés,1,,non,483077
bonnets de coton,362,Coton de toute espèce,non,8294
bonnets de coton et bonnets de fil,1,,non,483077
bonnets de coton et fil et laine,1,,non,483077
bonnets de dentelle,1,,non,483077
bonnets de femme,1,,non,483077
bonnets de fer-blanc à la turc,1,,non,483077
bonnets de fil,69,,non,483077
bonnets de fil et bas,1,,non,483077
bonnets de fil et bonnets de coton,9,,non,483077
bonnets de filosel,1,,non,483077
bonnets de gaze,1,,non,483077
bonnets de grenadine,1,,non,483077
bonnets de laine,589,Lainage,non,9470
bonnets de laine ???,1,,non,483077
bonnets de laine commune,1,,non,483077
bonnets de laine communs,1,,non,483077
bonnets de laine de Ségovie,3,,non,483077
bonnets de laine et bonnets de fil et bonnets de coton,1,,non,483077
bonnets de laine fin,2,,non,483077
bonnets de laine grasse,2,,non,483077
bonnets de laine grosse,1,,non,483077
bonnets de paille,2,,non,483077
bonnets de peau,1,,non,483077
bonnets de postillons,1,,non,483077
bonnets de prêtre,1,,non,483077
bonnets de prise,0,,oui,483077
bonnets de soie,17,,non,483077
bonnets de taffetas,3,,non,483077
bonnets de taffetas bordés d'argent,1,,non,483077
bonnets de toile,9,,non,483077
bonnets de toile cirée,3,,non,483077
bonnets de velours,7,,non,483077
bonnets de velours brodés,1,,non,483077
bonnets des prises,1,,non,483077
bonnets écarlates,2,,non,483077
bonnets et chaussettes de coton,1,,non,483077
bonnets et soutane,1,,non,483077
bonnets grossiers de laine,1,,non,483077
bonnets montés,1,,non,483077
bonnets piqués,10,,non,483077
bonnets piqués et carcasse et fer à coiffures,2,,non,483077
bonnetterie,0,,oui,483077
bonnetterie ???,0,,oui,483077
borax,285,,non,483077
borax brut,10,,non,483077
borax gras,9,,non,483077
borax raffiné,26,,non,483077
bordage,13,,non,483077
bordage de chêne,116,,non,483077
bordage de chêne de 15 pieds,3,,non,483077
bordage de chêne de 24 pieds,1,,non,483077
bordage de chêne de 27 pieds,1,,non,483077
bordage de chêne de 30 à 40 pieds,1,,non,483077
bordage de chêne de 30 à 40 pieds à 3 et 4 pouces d'épaisseur,1,,non,483077
bordage de cyprès,1,,non,483077
bordage de pin,1,,non,483077
bordage de sapin,22,,non,483077
bordage de sapin de 20 pieds,1,,non,483077
bordage pour navire,1,,non,483077
bordures d'or et de soie,1,,non,483077
bordures de bois doré,2,,non,483077
bordures de tapisseries,1,,non,483077
bordures dorées,3,,non,483077
bottes,34,,non,483077
bottes à matelot,1,,non,483077
bottes de bergamote,2,,non,483077
bottes de cavalier,1,,non,483077
bottes de cuir,35,,non,483077
bottes de cuir à matelot,1,,non,483077
bottes de cuir fortes,1,,non,483077
bottes de sapin,2,,non,483077
bottes et bottines,4,,non,483077
bottes et souliers,2,,non,483077
bottes fortes,73,,non,483077
bottes fourrées,1,,non,483077
bottes molles,9,,non,483077
bottes neuves,5,,non,483077
bottines,63,,non,483077
bottines de cuir,4,,non,483077
bottines de peau,1,,non,483077
boucaniers,11,,non,483077
boucans en bottes,1,,non,483077
boucassin,62,,non,483077
boucassin rouge,2,,non,483077
boucaud en bottes,1,,non,483077
boucaud vide,3,,non,483077
bouchie,1,,non,483077
bouchons,11,,non,483077
bouchons de liège,0,,oui,483077
bouchons de liège et planches de liège,0,,oui,483077
bouchons de Liège etc.,0,,oui,483077
boucles,8,,non,483077
boucles d'acier,1,,non,483077
boucles d'argent,11,,non,483077
boucles d'oreilles,4,,non,483077
boucles de cuivre,3,,non,483077
boucles de fer,3,,non,483077
boucles de pinsbeck,1,,non,483077
boucles de sapin,2,,non,483077
boucles de souliers à pierres fausses,1,,non,483077
boucles de tombac,1,,non,483077
boucs,22,,non,483077
boucs en vie,1,,non,483077
boucs et chèvres,13,,non,483077
boudins de poisson,1,,non,483077
boudrilles,1,,non,483077
boudrillons,2,,non,483077
bouette de sapin,1,,non,483077
bouge,1,,non,483077
bougie,776,,non,483077
bougie blanche,34,,non,483077
bougie de blanc de baleine,2,,non,483077
bougie de cire,143,,non,483077
bougie de cire blanche,90,,non,483077
bougie de cire blanche et cierges de cire blanche,4,,non,483077
bougie de cire blanche et jaune et cire blanche et jaune fondue,7,,non,483077
bougie de cire jaune,3,,non,483077
bougie de cire jaunne,0,,oui,483077
bougie de cire verte,1,,non,483077
bougie de suif,1,,non,483077
bougie de tables,37,,non,483077
bougie de tables et cierges,1,,non,483077
bougie en suif et suif,1,,non,483077
bougie et cierges,8,,non,483077
bougie jaune,9,,non,483077
bougie verte,1,,non,483077
bougies,0,,oui,483077
bougran,98,,non,483077
bouguette,1,,non,483077
bouilloire de cuivre,0,,oui,483077
bouilloires de cuivre,2,,non,483077
bouillotte de cuivre,1,,non,483077
boulange,56,,non,483077
boulans,1,,non,483077
boules,3,,non,483077
boules d'acier,5,,non,483077
boules de bleu inde-plate indique,0,,oui,483077
boules de bois,11,,non,483077
boules de buis,12,,non,483077
boules de canons,2,,non,483077
boules de fer,1,,non,483077
boules de mail,10,,non,483077
boules de mais,1,,non,483077
boules de marbre,7,,non,483077
boules de marbre pour jouets d'enfant,2,,non,483077
boules de métal blanc,1,,non,483077
boules de sapin,1,,non,483077
boules de terres,1,,non,483077
boules de verre,1,,non,483077
boules pour jouer,4,,non,483077
boules vulnéraires,8,,non,483077
boulets,8,,non,483077
boulets à têtes et queue,1,,non,483077
boulets de canon de 4 livre,0,,oui,483077
boulets de canon de fer,2,,non,483077
boulets de canons,192,,non,483077
boulets de canons de 4 livre,2,,non,483077
boulets de canons de fer,5,,non,483077
boulets de canons et mitraille,1,,non,483077
boulets de fer,7,,non,483077
boulets de fer et canons de fer,8,,non,483077
boulets de marbre,2,,non,483077
boulets de terre,1,,non,483077
boulets et canons,2,,non,483077
boulets et canons de fer de fonte,3,,non,483077
boulettes de marbre,8,,non,483077
bouquets de fleurs artificielles,2,,non,483077
bouquets de papier,1,,non,483077
bouquins à pipes,2,,non,483077
bouracan,1,,non,483077
bouraline,1,,non,483077
bouralisse,10,,non,483077
bouras,30,,non,483077
bouras de coton,1,,non,483077
bouras de soie,1,,non,483077
bouras du Levant,7,,non,483077
bourde à bâtier,0,,oui,483077
bourde à cheveux,0,,oui,483077
bourdes en poussière,1,,non,483077
bourdilles,111,,non,483077
bourdilles à barriques,2,,non,483077
bourdillons,178,,non,483077
bourdillons à barils,2,,non,483077
bourdillons à barriques,2,,non,483077
bourdillons à quart,2,,non,483077
bourdillons à tierçons,2,,non,483077
bourdillons de bois,2,,non,483077
bourds,0,,oui,483077
bourlets,3,,non,483077
bourlets de velours,1,,non,483077
bourre,43,,non,483077
bourre à bâtier,179,,non,483077
bourre à bourrer,1,,non,483077
bourre à brûler,1,,non,483077
bourre à cheveux,6,,non,483077
bourre chiquette,2,,non,483077
bourre d'Alep,1,,non,483077
bourre d'étoupe,0,,oui,483077
bourre d'étoupes,1,,non,483077
bourre de bœuf,185,,non,483077
bourre de bœuf et bourre de vache,1,,non,483077
bourre de cerf,1,,non,483077
bourre de chèvre,2,,non,483077
bourre de chureaux,0,,oui,483077
bourre de coton,18,,non,483077
bourre de coton et fil,37,,non,483077
bourre de coton et soie,5,,non,483077
bourre de Damas,4,,non,483077
bourre de drap,1,,non,483077
bourre de fil,28,,non,483077
bourre de filoselle,1,,non,483077
bourre de laine,8,,non,483077
bourre de laine entière lanice et tontice,1,,non,483077
bourre de Marseille,3,,non,483077
bourre de Nîmes,6,,non,483077
bourre de soie,195,,non,483077
bourre de soie et filoselle et soie,15,,non,483077
bourre de vache,3,,non,483077
bourre du Levant,77,,non,483077
bourre rouge,1,,non,483077
bourre satiné,2,,non,483077
bourres de laine entière lanice et tontice,0,,oui,483077
bourriques,5,,non,483077
bours de poil,11,,non,483077
bours de soie,16,,non,483077
bours du Levant de soie,1,,non,483077
bourse de molleton,5,,non,483077
bourses,2,,non,483077
bourses à cheveux,96,,non,483077
bourses à cheveux de soie,2,,non,483077
bourses à cheveux de taffetas,1,,non,483077
bourses à perruques,3,,non,483077
bourses à ressorts,1,,non,483077
bourses à tabac,4,,non,483077
bourses d'or et bourses d'argent,2,,non,483077
bourses de bœuf,3,,non,483077
bourses de coton,1,,non,483077
bourses de coton et fil,3,,non,483077
bourses de cuir à ressorts,1,,non,483077
bourses de fil,1,,non,483077
bourses de filoselle,1,,non,483077
bourses de laine,2,,non,483077
bourses de perruques,1,,non,483077
bourses de soie,26,,non,483077
bourses de soie et bourses d'or et bourses d'argent,2,,non,483077
bourses de taffetas,2,,non,483077
bourses du Levant,2,,non,483077
boussoles,5,,non,483077
boutanne,14,,non,483077
boutanne de toile,3,,non,483077
boutargue,1,,non,483077
bouteilles,28,,non,483077
bouteilles clissées,11,,non,483077
bouteilles d'étain à virole,1,,non,483077
bouteilles d'osier,1,,non,483077
bouteilles de bois,12,,non,483077
bouteilles de composition,1,,non,483077
bouteilles de cristal,2,,non,483077
bouteilles de cristal et carafes,1,,non,483077
bouteilles de grès,16,,non,483077
bouteilles de marbre,1,,non,483077
bouteilles de pierre et pots de pierre,1,,non,483077
bouteilles de terre,9,Glaces et Verrerie,non,4756
bouteilles de verre,948,Glaces et Verrerie,non,4756
bouteilles de verre à virole,1,,non,483077
bouteilles de verre à virole d'étain,3,,non,483077
bouteilles de verre avec roseaux,1,,non,483077
bouteilles de verre clissées,13,,non,483077
bouteilles de verre garnies de joncs,1,,non,483077
bouteilles de verre gros,13,,non,483077
bouteilles de verre vides,6,Glaces et Verrerie,non,4756
bouteilles de verres,106,Glaces et Verrerie,non,4756
bouteilles lissées de retour,1,,non,483077
bouteilles peintes,1,,non,483077
bouteilles petites à virole d'étain,2,,non,483077
bouteilles pleines,7,,non,483077
bouteilles pleines de verres et vides et dame-jeannes de verre,41,,non,483077
bouteilles vides,7,,non,483077
bouton de cuivre sur bois et de coco et de corne et d'os,2,,non,483077
boutonnières d'or,3,,non,483077
boutonnières de fil,1,,non,483077
boutons,48,,non,483077
boutons à fusil,2,,non,483077
boutons à pierres fausses,5,,non,483077
boutons à pierres fausses par douzaines,1,,non,483077
boutons anglais,1,,non,483077
boutons avec dorure et nacre,1,,non,483077
boutons blanc étamés,1,,non,483077
boutons blanchis,1,,non,483077
boutons bloc,1,,non,483077
boutons brodés d'or et d'argent,2,,non,483077
boutons brodés de nacre de perles et d'acier,1,,non,483077
boutons communs,1,,non,483077
boutons d'acier,3,,non,483077
boutons d'acier argenté,1,,non,483077
boutons d'argent,27,,non,483077
boutons d'argent et boutons d'or,56,,non,483077
boutons d'argent faux,1,,non,483077
boutons d'argent sur bois,7,,non,483077
boutons d'argent trait,1,,non,483077
boutons d'étain,23,,non,483077
boutons d'or,57,,non,483077
boutons d'or en traits,1,,non,483077
boutons d'or et boutons d'argent,29,,non,483077
boutons d'or et boutons d'argent faux,1,,non,483077
boutons d'or et d'argent sur bois,1,,non,483077
boutons d'or faux,2,,non,483077
boutons d'or filé,2,,non,483077
boutons d'or vrai,2,,non,483077
boutons d'os,5,,non,483077
boutons d'os et de corne,1,,non,483077
boutons d'uniforme,1,,non,483077
boutons de bois,3,,non,483077
boutons de coco,51,,non,483077
boutons de composition,3,,non,483077
boutons de corne,4,,non,483077
boutons de coton,1,,non,483077
boutons de crin,99,,non,483077
boutons de crin 20 lignes,1,,non,483077
boutons de crin et boutons de poil,1,,non,483077
boutons de crin et boutons de poil et boutons de soie,2,,non,483077
boutons de cristal,1,,non,483077
boutons de cuivre,29,,non,483077
boutons de cuivre argenté et doré,1,,non,483077
boutons de cuivre d'or,1,,non,483077
boutons de cuivre doré,12,,non,483077
boutons de cuivre et boutons d'étain,1,,non,483077
boutons de cuivre et boutons d'étain argenté,1,,non,483077
boutons de cuivre et boutons d'étain argentés,0,,oui,483077
boutons de cuivre et étain,1,,non,483077
boutons de cuivre fin,2,,non,483077
boutons de cuivre sur bois,1,,non,483077
boutons de dorure d'argent,18,,non,483077
boutons de dorure d'or,59,,non,483077
boutons de dorure d'or et d'argent,68,,non,483077
boutons de dorure d'or faux,4,,non,483077
boutons de dorure d'or fin,13,,non,483077
boutons de dorure et de naacre,0,,oui,483077
boutons de fil,75,,non,483077
boutons de fil blanc,14,,non,483077
boutons de fil d'argent,20,,non,483077
boutons de fil d'or,68,,non,483077
boutons de fil d'or et boutons de fil d'argent,74,,non,483077
boutons de fil d'or trait,2,,non,483077
boutons de fil de poil de chèvre,1,,non,483077
boutons de fil et d'argent,1,,non,483077
"boutons de fil, boutons de soie et boutons d'or",1,,non,483077
boutons de forget,1,,non,483077
boutons de gay,2,,non,483077
boutons de jais,14,,non,483077
boutons de jais et collier de jais et dentelle de jais,2,,non,483077
boutons de laiton,4,,non,483077
boutons de livrée,1,,non,483077
boutons de manches,5,,non,483077
boutons de métal,6,,non,483077
boutons de métal doré,1,,non,483077
boutons de nacre,5,,non,483077
boutons de nacre de perle et boutons de jais,1,,non,483077
boutons de nacre de perles,1,,non,483077
boutons de pinsbeck,4,,non,483077
boutons de poil,34,,non,483077
boutons de poil de chèvre,10,,non,483077
boutons de poil de soie,5,,non,483077
boutons de soie,19,,non,483077
boutons de soie en once,1,,non,483077
boutons de tombac,1,,non,483077
boutons de tombac doré,1,,non,483077
boutons de trait d'argent et d'or fin,2,,non,483077
boutons de trait d'or et d'argent fin,0,,oui,483077
boutons de verre,4,,non,483077
boutons de verre émaillés,1,,non,483077
boutons en médailles,1,,non,483077
boutons et galon d'or,2,,non,483077
boutons et galon d'or et d'argent,1,,non,483077
boutons et galons d'argent et d'or,1,,non,483077
boutons masquinés,1,,non,483077
boutons or trait,3,,non,483077
bouts de chêne,1,,non,483077
bouts de corne,3,,non,483077
bouts de planche,1,,non,483077
bouts de planches et planches de sapin,1,,non,483077
boutty,1,,non,483077
bouvillons,3,,non,483077
bouvillons et génisses,4,,non,483077
bouvillons et génisses et taurillons,2,,non,483077
boyaux,5,,non,483077
boyaux de bœuf,1,,non,483077
boyaux de bœuf salés,2,,non,483077
boyaux de mouton,3,,non,483077
boyaux de mouton salés,3,,non,483077
boyaux et nerfs,2,,non,483077
boyaux préparés et secs,2,,non,483077
boyaux salés,80,,non,483077
bozemin,1,,non,483077
braccles,0,,oui,483077
bracelets,1,,non,483077
bracelets de crin,2,,non,483077
bracelles,5,,non,483077
brai,272,,non,483077
brai ???,1,,non,483077
brai ??? brai,1,,non,483077
brai ??? goudron,2,,non,483077
brai ??? goudron résines,1,,non,483077
brai ??? pox noire,1,,non,483077
brai à brasser,1,,non,483077
brai arcanson,1,,non,483077
brai bras,0,,oui,483077
brai colophane et sec et résine d'huile,0,,oui,483077
brai colophane et sec et résines d'huile,2,,non,483077
brai de goudron,9,,non,483077
brai de poix,2,,non,483077
brai de poix blanche et noire,2,,non,483077
brai de poix noire,1,,non,483077
brai de poix résine,0,,oui,483077
brai de poix résines,3,,non,483077
brai eau de raze,5,,non,483077
brai et eau de rose,1,,non,483077
brai et goudron,512,,non,483077
brai et goudron et eau de raze,1,,non,483077
brai et goudron et galipot et résines,23,,non,483077
brai et goudron et poix,1,,non,483077
brai et goudron et poix et résines,99,,non,483077
brai et goudron et résines,542,,non,483077
brai et goudron et térébenthine,7,,non,483077
brai et poix,1,,non,483077
brai et poix blanche,2,,non,483077
brai et poix blanche et poix noire,1,,non,483077
brai et poix noire,1,,non,483077
brai et poix résine,0,,oui,483077
brai et poix résines,1,,non,483077
brai et résine,0,,oui,483077
brai et résines,21,,non,483077
brai et térébenthine,2,,non,483077
brai galipot,1,,non,483077
brai goudron ???,3,,non,483077
brai gras,660,,non,483077
brai gras et goudron,24,,non,483077
brai gras et sec,1,,non,483077
brai gras goudron,5,,non,483077
brai gras ou goudron,3,,non,483077
brai gros,12,,non,483077
brai gros et goudron,2,,non,483077
brai poix de Bourgogne,1,,non,483077
brai poix noire,1,,non,483077
brai raffiné,2,,non,483077
brai raze,2,,non,483077
brai sec,653,,non,483077
brai sec colophane résine d'huile,0,,oui,483077
brai sec colophane résines d'huile,5,,non,483077
brai sec en galipot,3,,non,483077
brai sec et résines,9,,non,483077
brai sec résine d'huile,0,,oui,483077
brai sec résines d'huile,2,,non,483077
brancards,3,,non,483077
brancards de balance de fer,1,,non,483077
brancards de chaises,1,,non,483077
brancards de fer,7,,non,483077
brancards et leurs escales,2,,non,483077
branches de buis,1,,non,483077
brandade,1,,non,483077
brandans,15,,non,483077
brandebourg,1,,non,483077
brandebourg d'or,2,,non,483077
brandebourg de fil,1,,non,483077
brandebourg de soie,1,,non,483077
brandiers,1,,non,483077
brandins,4,,non,483077
branle,2,,non,483077
bras de bois à chandelle,1,,non,483077
bras de cheminée,4,,non,483077
bras de soie,1,,non,483077
braserie,1,,non,483077
brasserie,1,,non,483077
braule,91,,non,483077
braux,1,,non,483077
brebis,24,,non,483077
brebis en vie,1,,non,483077
brebis et moutons,14,,non,483077
brebis et moutons mérinos et métis,7,,non,483077
Brésil,1,,non,483077
bresillet,1,,non,483077
brian,1,,non,483077
brides,3,,non,483077
brides argentées,1,,non,483077
bridons,1,,non,483077
bridons de cuir,1,,non,483077
brigadis,1,,non,483077
Brignoles,5,,non,483077
brins à tours,1,,non,483077
brins d'osier,1,,non,483077
brionne,1,,non,483077
brique,59,,non,483077
brique et carreaux et tuiles,7,,non,483077
brique et chaux et ciment et pierres et plâtre et pouzzolane et sable et terre et tuiles,10,,non,483077
brique et tuile et carreau de terre,21,,non,483077
brique et tuile et carreau et pipe,27,,non,483077
briques,347,,non,483077
briques cuites,1,,non,483077
briques de terre,2,,non,483077
briques en carreaux de terre,1,,non,483077
briques en carreaux de terre et tuiles,2,,non,483077
briques en tuiles plates,8,,non,483077
briques et briquettes,1,,non,483077
briques pleines,1,,non,483077
briquet,49,,non,483077
briquet d'acier,2,,non,483077
briquettes,3,,non,483077
bris d'espars,4,,non,483077
brises,1,,non,483077
brocante,1,,non,483077
brocard de soie,1,,non,483077
brocatelle,1,,non,483077
brocatelle de Venise,1,,non,483077
brochets,20,,non,483077
broderie,10,,non,483077
broderie commune,0,,oui,483077
bronze,24,,non,483077
bronze airain,2,,non,483077
bronze et cuivre et laiton,34,,non,483077
bronze moulu et métal,1,,non,483077
broole,3,,non,483077
brosses,259,,non,483077
brosses à cirer,1,,non,483077
brosses à goudron,14,,non,483077
brosses à peindre,1,,non,483077
brosses à sucre,1,,non,483077
brosses communes,1,,non,483077
brosses et pinceaux,1,,non,483077
brosses et vergettes,1,,non,483077
brosses ou poutries,1,,non,483077
brossière,1,,non,483077
brou de noix,2,,non,483077
brouettes,19,,non,483077
brouettes et leurs roues,1,,non,483077
brouettes garnies de damas,1,,non,483077
brouettes outillées,1,,non,483077
broulas,1,,non,483077
broule,2,,non,483077
brousse fraîche,5,,non,483077
brousse salée,1,,non,483077
broutes chaderdoral,1,,non,483077
brugnoles,3,,non,483077
bruimes d'espars,2,,non,483077
brûle-café de fer,1,,non,483077
brulis,1,,non,483077
brun,2,,non,483077
brun rouge,465,,non,483077
brusta visserand,0,,oui,483077
brustes à tisserand,19,,non,483077
brustes ou bruyère,2,,non,483077
brut,1,,non,483077
bruyère,5,,non,483077
bruyère à vergettes,2,,non,483077
bruyère et racines à vergettes,6,,non,483077
bruyère étrangère non montée,2,,non,483077
bruyère étrangère non mpntée,0,,oui,483077
bûches de bois rouge de 8 pieds,1,,non,483077
