quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit_ortho,quantity_unit_ajustees,nbr_bdc_quantity_unit_ajustees,u_conv,q_conv,incertitude_unit,source_hambourg,missing,needs_more_details,remarque_unit
demi pièces,1,7,demi pièces,16,pièces,.5,,0,,0,
demi pieds,1,1,demi pieds du roy,1,cm,16.2420005,,,,,
demi planches,1,2,demi planches,2,pièces,.5,,,,,
demi planches en barils,1,1,,1023,,,,,,,
demie,1,3,demi pièces,16,pièces,.5,,,,,
demie ancres,1,1,demi ancre,1,kg,18.5,,,,,p27 doursther : en usage en Allemagne et en hollande formant le quart de l'aime
demie charge,1,2,demi charge,2,kg,73.425005,,,,,D'après Doursther (France). Aussi la valeure choisie par Werner
demycs,1,1,demi-pièces,1,pièces,.5,,0,,0,
deniers,1,1,,1023,,,,,,,
devants,1,1,,1023,,,,0,1,0,
dindons,1,1,pièces,124,pièces,1,,,,,
divers,1,2,pièces,124,pièces,1,,,,,
dossier,1,1,,1023,,,,,,,
double,1,1,double pièce,1,pièces,2,,,,,
doubles cavelles,1,1,,1023,,,,,,,
doublures,1,1,doublures,1,pièces,1,,0,,0,
douelles,1,10,douelles,10,pièces,1,,,,,
dourgs,1,1,,1023,,,,0,1,0,
douzaine,1,5,douzaines,11,pièces,12,,,,,
douzaine bonnets,1,1,douzaines,11,pièces,12,,,,,
douzaine de bas,1,1,douzaines,11,pièces,12,,,,,
douzaine de boëtes,1,1,,1023,,,,,,,
douzaine de fiole,1,2,,1023,,,,,,1,
douzaine de mouchoirs,1,1,douzaines,11,pièces,12,,,,,
douzaine de pains,1,1,,1023,,,,,,,
douzaine de paires,1,6,douzaines de paires,6,pièces,24,,,,,
douzaine de peaux,1,1,douzaines,11,pièces,12,,,,,
douzaine de plats,1,1,,1023,,,,,,,
douzaine de pots,1,1,,1023,,,,,,,
douzaine de tasses,1,1,,1023,,,,,,,
douzaine grands,1,1,douzaines,11,pièces,12,,,,,
douzaine petits,1,1,douzaines,11,pièces,12,,,,,
draps,1,1,,1023,,,,,,,
draps de lit,1,1,,1023,,,,,,,
droits,1,1,,1023,,,,,,,Doursther page 143
drugnes,1,1,,1023,,,,,,,
écheaveaux,1,1,,1023,,,,,,,
écuelles,1,1,,1023,,,,,,,
émines,1,2,,1023,,,,,,,
en,1,2,,1023,,,,,,,
en argent,1,1,en argent,1,pièces,1,,,,,
en bouteille,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
en centaine,1,1,en centaine,1,pièces,100,,,,,
en feuilles,1,1,en feuilles,1,pièces,1,,0,,0,
en milliers,1,1,en milliers,1,pièces,1000,,,,,
en nombre,1,8,en nombre,15,pièces,1,,,,,
en pièces,1,1,pièces,124,pièces,,,,,,
en valeur,1,1,en valeur,17,,,,,,,
encres,1,1,pièces,124,pièces,1,,,,,
entiers,1,2,pièces,124,pièces,1,,,,,
épinettes,1,1,pièces,124,pièces,1,,0,1,0,instrument de musique
estimation,1,2,en valeur,17,,,,,,,
estimé,1,14,en valeur,17,,,,,,,
esturgeons,1,1,pièces,124,pièces,1,,0,,0,
facs,1,1,,1023,,,,,,,
fagots,1,2,,1023,,,,,,,
faix,1,5,,1023,,,,,,,
fanègues,1,6,,1023,,,,,,,nécessite le lieu d'émission
fannes,1,1,,1023,,,,0,1,0,
fanons,1,1,fanons,1,pièces,1,,0,,0,
fardeaux,1,1,,1023,,,,,,,
fartraux,1,1,,1023,,,,0,1,0,
fau,1,1,,1023,,,,,,,
fauteuils,1,1,pièces,124,pièces,1,,,,,
feittots,1,1,,1023,,,,,,,
ferquins,1,1,,1023,,,,,,,
fers,1,2,,1023,,,,,,,
fés,1,1,,1023,,,,,,,
feuillards,1,1,,1023,,,,,,,
feuille,1,7,feuilles,8,pièces,1,,,,,
feuille double,1,1,feuilles doubles,1,pièces,1,,,,,
feuille simple,1,1,feuilles,8,pièces,1,,,,,
feuillet,1,3,,1023,,,,,,,
feuillette,1,2,feuillettes,2,kg,134.11,,0,,0,p161 doursther
fez,1,2,,1023,,,,,,,
fiole,1,6,,1023,,,,0,1,0,nécessite le contenu
flacon,1,5,flacons,5,contenant,1,,0,,0,
fléau,1,1,,1023,,,,,,,
flûtes,1,2,flûtes,2,pièces,1,,,,,
fonçailles,1,3,,1023,,,,,,,
fontaine,1,1,,1023,,,,,,,
fourneaux,1,2,fourneaux,2,pièces,1,,,,,
fournitures,1,3,,1023,,,,,,,
fourrures,1,1,pièces,124,pièces,1,,,,,
fours,1,2,fours,2,pièces,1,,,,,
francs,1,2,,1023,,,,,,,
frequier,1,4,,1023,,,,,,,
frequin,1,6,,1023,,,,,,,Wikipédia : sorte de futaille qui pèse plus de 25kg
frequins,1,1,,1023,,,,,,,
fres,1,1,,1023,,,,,,,
fromages,1,1,fromages,1,pièces,1,,,,,
fusils,1,2,fusils,3,pièces,1,,0,,0,
fusils de traite,1,1,fusils,3,pièces,1,,,,,
futaille de 800 livres,0,1,futailles,4,kg,391.599992,,,,,
futailles,1,3,futailles,4,contenant,1,,,,,
futailles de 500 L,1,1,,1023,,,,,,,
futs,1,2,,1023,,,,,,,
garbes,1,1,,1023,,,,,,,
garde feux,1,1,,1023,,,,,,,
garnitures,1,3,,1023,,,,,,,
génisses,1,1,pièces,124,pièces,1,,0,,0,
gerbes,1,1,,1023,,,,,,,
girofle,0,1,girofles,1,pièces,1,,,,,
gobelets,1,3,gobelets,3,pièces,1,,,,,
gommes,1,2,,1023,,,,,,,
gonnes,1,5,,1023,,,,0,1,0,"D'après le Savary, une gonne est une sorte de futaille et 1 gonne = 400 à 450 livres (quand cela concerne du saumon), ou 1 gonne = 1,25 baril (quand cela concerne de la bière ou liqueurs)"
gousses,1,1,,1023,,,,,,,
gramme,1,2,gramme,2,kg,.001,,,,,
grande,1,3,pièces,124,pièces,1,,,,,
grande caisse,1,1,,1023,,,,,,,
grande pièce,1,1,pièces,124,pièces,1,,,,,
grandes pentes,1,1,,1023,,,,,,,
grandeurs,1,1,pièces,124,pièces,1,,,,,
grandeurs diverses,1,1,pièces,124,pièces,1,,,,,
grands,1,1,grands,1,pièces,1,,0,,0,
grands pièces,1,1,pièces,124,pièces,1,,,,,
grenier,1,4,,1023,,,,,,,
gros,1,1,pièces,124,pièces,1,,,,,
gros flacons,1,1,,1023,,,,,,,
grosses,1,10,grosses,11,pièces,144,,,,,"p175 doursther, 12 douzaines"
grosses barriques,1,2,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
grosses paires,1,1,paires,10,pièces,2,,,,,
grosses pièces,1,1,grosses,11,pièces,144,,,,,"p175 doursther, 12 douzaines"
grosses pipes,1,1,,1023,,,,,,1,
grosseur,1,1,,1023,,,,,,,
guindeau,1,1,guindeau,1,pièces,1,,,,,
habits,1,1,,1023,,,,,,,
haches,1,1,,1023,,,,,,,
halles,1,1,,1023,,,,,,,
hambourg,1,6,,1023,,,,,,,
harpe,1,1,,1023,,,,,,,
hectogrammes,1,1,hectogrammes,1,kg,.1,,,,,
hectolitres,1,3,hectolitres,3,litres,100,,,,,
horloges,1,1,horloges,1,pièces,1,,,,,
huitièmes,1,1,huitième,1,litres,.125,,0,1,0,Doursther page 185
huitres,1,1,huitres,1,pièces,1,,0,,0,
hume,1,1,,1023,,,,,,,
incrustée d'or,1,1,pièces,124,pièces,1,,0,1,0,
issarions,1,2,,1023,,,,,,,
jarres,1,2,,1023,,,,,,1,
jattes,1,2,,1023,,,,,,,
jets,1,5,jez,5,litres,137.11,,,,,"Doursther page 190, 1 jez = 137,11 L"
jeux,1,3,jeux,3,pièces,1,,,,,
juments,1,1,pièces,124,pièces,1,,0,,0,
jupes,1,1,,1023,,,,,,,
justes,1,1,jutte,5,kg,60,,,,,"Doursther page 193, la jutte pesait environ 60kg"
jutes,1,3,jutte,5,kg,60,,,,,"Doursther page 193, la jutte pesait environ 60kg"
juttes,1,1,jutte,5,kg,60,,0,1,0,"Doursther page 193, la jutte pesait environ 60kg"
kilogrammes,1,4,kilogrammes,6,kg,1,,,,,
kilogrammes de l'étranger,1,1,kilogrammes,6,kg,1,,,,,
kilogrammes des colonies françaises,1,1,kilogrammes,6,kg,1,,,,,
laest,1,5,,1023,,,,,,,
laëst,,0,,0,,,,,,,
lames,1,1,,1023,,,,,,,
lames d'épées,1,1,pièces,124,pièces,1,,,,,
last,1,3,,1023,,,,,,,"nécessite le contenu et le lieu d'émission, voir Doursther page 205"
lats,1,1,,1023,,,,0,1,0,
latz,1,1,,1023,,,,,,,
le cent,1,2,cent,2,pièces,100,,,,,
le mille,1,1,mille,2,pièces,1000,,,,,
le pied cube,1,1,,1023,,,,,,,
le reste,1,1,,1023,,,,,,,
les 180 livres,1,1,livres,22,kg,88.10999820000001,,,,,
lest,1,1,,1023,,,,,,,
leths,1,6,leths de cendre,6,litres,2638.2,,0,,0,"dictionnaire du commerce p600 : un leth pour 12 barils, puis p549 -> prendre tonnes de berlin ?"
lets,1,2,,1023,,,,,,,
letz,1,3,,1023,,,,,,,
liens,1,1,,1023,,,,,,,
lingot,1,1,,1023,,,,,,,
litres,1,2,litres,2,litres,1,,,,,
livres,1,14,livres,22,kg,.48949999,,,,,
livres de bateau,0,1,livres de bateau,1,kg,150,,1,,0,"Witthöft 1993, Ulrich"
livres de hambourg,0,1,livres de hambourg,1,kg,.48453999,,1,,0,"Witthöft 1993, Ulrich"
livres en saumure,1,1,livres,22,kg,.48949999,,,,,
livres ou pièces,1,1,,1023,,,,,,,
livrets,1,1,,1023,,,,0,1,0,
lordins,1,4,,1023,,,,,,,
madriers,1,4,madriers,4,pièces,1,,,,,pièces ??
madures,1,1,,1023,,,,0,1,0,
mailles,0,1,mailles,1,kg,.076485001,,0,,0,quart de l'once
main,1,3,,1023,,,,,,,
malles,1,8,malles,8,contenant,1,,0,,0,
manades,1,2,,1023,,,,,,,
manches,1,1,,1023,,,,,,,
mandes,1,1,,1023,,,,0,1,0,
mannes,1,5,mannes,5,contenant,1,,,,,http://books.google.fr/books?id=9HM7AQAAIAAJ&pg=PA56&lpg=PA56&dq=mannes+de+charbon&source=bl&ots=WmK7GL1a82&sig=iO8oAqn4W-S8Bhi-28ohNUZPaP8&hl=fr&sa=X&ei=ULG2U76SNaz20gWTpoCYCQ&ved=0CFIQ6AEwCQ#v=onepage&q=mannes%20de%20charbon&f=false
marcs,1,8,marcs,9,kg,.244749995,,,,,
marcs 6 onces,0,1,,1023,,,,,,,
marcs de Paris,1,1,marcs,9,kg,.244749995,,,,,
maroquins,1,1,peaux,5,pièces,1,,0,,0,
martes,1,1,,1023,,,,0,1,0,
masses,1,3,,1023,,,,,,,
matreaux,1,1,,1023,,,,,,,
mats,1,1,mats,1,pièces,1,,0,,0,
mèches,1,1,mèches,1,pièces,1,,,,,
merrain,1,1,,1023,,,,,,,
mesures,1,5,mesures,5,litres,14.63,,0,,0,doursther p279
mètre,1,2,mètre,2,cm,100,,,,,
meules,1,4,,1023,,,,,,,
migères,1,2,,1023,,,,0,1,0,
mille,1,1,mille,2,pièces,1000,,,,,
millerolles,1,5,millerolle,5,litres,64,,,,,Doursther : 1 millerolle = 64 litres page 292
milliers,1,13,milliers,14,pièces,1000,,,,,
milliers au grand compte,1,1,,1023,,,,,,1,"Pour Bordeaux, 1 millier de douelles au grand compte vaut environ 1610 douelles"
milliers de faix,1,1,,1023,,,,,,,
milliers en nombre,1,1,milliers,14,pièces,1000,,,,,
mines,1,3,mines,3,litres,76.171997,,0,,0,Wikipedia
minots,1,3,minots,3,litres,38.085999,,0,,0,Wikipedia
molles,1,1,,1023,,,,,,,
mollus,1,1,pièces,124,pièces,1,,0,1,0,signifie morues
monds,1,1,monds,1,kg,1250,,0,,0,p298 doursther
mont,1,4,monts,4,kg,1250,,,,,p298 doursther
morceaux,1,3,morceaux,3,pièces,1,,0,,0,
mortiers,1,2,,1023,,,,,,,
morues,1,1,morues,1,pièces,1,,,,,
mottes,1,1,,1023,,,,0,1,0,
mouchoirs,1,1,mouchoirs,1,pièces,1,,,,,
moutons,1,1,pièces,124,pièces,1,,0,,0,
mouts,1,1,,1023,,,,,,,
moutte,1,2,,1023,,,,,,,
moyenne,1,4,pièces,124,pièces,1,,,,,
moyenne pièces,1,1,pièces,124,pièces,1,,,,,
muid de 120 livres,1,1,muids,1,kg,58.7399988,,,,,
"muid de 62,5 pintes",1,1,,1023,,,,,,1,
muids,1,5,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
muids + pintes,0,2,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
muids + pintes et bouteilles,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
muids + septiers,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
muids + septiers + minots,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
muids + septiers + minots + boisseau,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
