simplification,nbr_occurences_simpl,sourcename,note,nbr_occurences_sourcename
"Genève, Suisse et ses alliés",1111,Suisse,,21172
Gibraltar,1,Angleterre,,27379
Gothembourg,10,Nord,,27167
Guadeloupe,2337,Outre-mers,,20443
Guatemala,2,Outre-mers,,20443
Guernesey,2,Angleterre,,27379
Guernesey et Dumbarton,1,Angleterre,,27379
Guinée,10654,Guinée,,13827
Guinée et Sénégal,3124,Guinée,,13827
Guyane,11,Outre-mers,,20443
Guyane anglaise,4,Outre-mers,,20443
Guyane et Sénégal,2,Outre-mers,,20443
Guyane française,2,Outre-mers,,20443
Haïti,10,Outre-mers,,20443
Hambourg,112,Nord,,27167
"Hambourg, Hollande et Livourne",1,Divers,,2748
Hollande,77012,Hollande,,79492
Hollande et Villes hanséatiques,223,Divers,,2748
Île Bourbon,53,Outre-mers,,20443
Île Bourbon et Inde,3,Outre-mers,,20443
Île d'Oléron,2,,,723
Île de Noirmoutier,1,,,723
Île de Ré,11,France,,7966
Île Maurice,22,Outre-mers,,20443
Îles,7109,Outre-mers,,20443
Îles de France et de Bourbon,473,Outre-mers,,20443
Îles de l'Amérique,136,Outre-mers,,20443
Îles et Guinée,2,Outre-mers,,20443
Îles françaises,2011,Colonies,,53153
Îles françaises de l'Amérique,42496,Colonies,,53153
Inconnu,209,Inconnu,,209
Inde étrangère,18,Outre-mers,,20443
Indes,3744,Outre-mers,,20443
Indes anglaises,16,Outre-mers,,20443
Indes et Moka,41,Outre-mers,,20443
Indes françaises,22,Colonies,,53153
Indes hollandaises,6,Outre-mers,,20443
Irlande,62,Angleterre,,27379
Italie,39349,Italie,,108182
Levant,20881,Levant,,26367
Levant et Toscane,1,Divers,,2748
Lisbonne,11,Portugal,,15607
Livourne,254,Italie,,108182
Lorient,392,France,,7966
Lorient et Marseille,1,France,,7966
Lorient et Petites Îles,3,France,,7966
Lorient et Petites Îles (???),1,,,723
Lorraine,916,Allemagne,,24559
Lorraine et Trois Évêchés,1,France,,7966
Louisiane,7,Outre-mers,,20443
Lübeck en Norvège,1,Nord,,27167
Marseille,3467,France,,7966
Marseille et Petites Îles,1,France,,7966
Martinique,2929,Outre-mers,,20443
Mecklembourg-Schwerin,4,Nord,,27167
Mexique,9,Outre-mers,,20443
Milanais,5,Italie,,108182
Milanais et Toscane,731,Italie,,108182
"Milanais, Toscane et Lucques",1107,Italie,,108182
Milddelbourg,1,Nord,,27167
Monde,4492,Monde,,5018
"Monde (hors Amérique, colonies françaises, Europe et Inde)",1,Monde,,5018
Monde hors Amérique,1,Monde,,5018
Monde hors Amérique et hors Inde,5,Monde,,5018
Monde hors Amérique et hors Inde et hors Piémont,1,Monde,,5018
Monde hors colonies,458,Monde,,5018
Monde hors Europe,52,Monde,,5018
Monde hors Europe et hors colonies,1,Monde,,5018
Monde hors Europe et hors colonies françaises et hors Inde,1,Monde,,5018
Monde hors Europe et hors Sénégal français,2,Monde,,5018
Monde hors Guyanne française,2,Monde,,5018
Monde hors Pays de Gex,1,Monde,,5018
Monde réexports,71,,,723
Monde via Dunkerque,164,,,723
Monds hors Ports de la Baltique,1,Monde,,5018
Mont-Saint-Michel,1,,,723
Morée,11,Levant,,26367
Nancy,2,France,,7966
Nantes,1,France,,7966
Naples,5529,Italie,,108182
Naples et Sicile,5068,Italie,,108182
"Naples, Sicile et Parme",638,Italie,,108182
Nord,22754,Nord,,27167
Nord (Hanse et Russie),3962,Nord,,27167
Nord (Hanse et Suède),91,,,723
Norvège,88,Nord,,27167
Nouvelle-Grenade,3,Outre-mers,,20443
Pays d'Aunis,1,France,,7966
Pays de Gex,48,France,,7966
Pays de Labour,127,France,,7966
Pays-Bas,1031,Hollande,,79492
Pays-Bas et ses colonies,1443,Hollande,,79492
Pêches à la Baleine,2,Divers,,2748
Pêches à la Morue à Terre-Neuve,2,Divers,,2748
