marchandises,marchandises_norm_ortho,état_du_travail,nbr_occurences_marchandises
///Drogues médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,1
///Drogues Médicinales///Ipécacuanha,drogues médicinales ipécacuanha,,1
///Drogues médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,1
///Drogues Médicinales///Jus de réglisse,drogues médicinales jus de réglisse,,1
///Drogues médicinales///Manne,drogues médicinales manne,,1
///Drogues Médicinales///Manne,drogues médicinales manne,,1
///Drogues médicinales///Quinquina,drogues médicinales quinquina,,1
///Drogues Médicinales///Quinquina,drogues médicinales quinquina,,1
///Drogues médicinales///Safran,drogues médicinales safran,,1
///Drogues Médicinales///Safran,drogues médicinales safran,,1
///Drogues médicinales///Salsepareille,drogues médicinales salsepareille,,1
///Drogues Médicinales///Salsepareille,drogues médicinales salsepareille,,1
///Drogues médicinales///Séné,drogues médicinales séné,,1
///Drogues Médicinales///Séné,drogues médicinales séné,,1
///Drogues midicinales///Drogues réunies,drogues médicinales drogues réunies,,1
///Drogues midicinales///Ipécacuanha,drogues médicinales ipécacuanha,,1
///Drogues midicinales///Jus de réglisse,drogues médicinales jus de réglisse,,1
///Drogues midicinales///Manne,drogues médicinales manne,,1
///Drogues midicinales///Quinquina,drogues médicinales quinquina,,1
///Drogues midicinales///Safran,drogues médicinales safran,,1
///Drogues midicinales///Salsepareille,drogues médicinales salsepareille,,1
///Drogues midicinales///Sené,drogues médicinales sené,,1
///Industrie Etrangère///Articles réunis,industrie étrangère articles réunis,,1
///Industrie étrangère///Articles réunis,industrie étrangère articles réunis,,1
///Industrie Etrangère///Bouchons de liège,industrie étrangère bouchons de liège,,1
///Industrie étrangère///Bouchons de liége,industrie étrangère bouchons de liège,,1
///Industrie étrangère///Cauris,industrie étrangère cauris,,1
///Industrie étrangère///Colle de toute sorte,industrie étrangère colle de toute sorte,,1
///Industrie Etrangère///Colles de toute sorte,industrie étrangère colle de toute sorte,,1
///Industrie étrangère///Colles de toute sorte,industrie étrangère colle de toute sorte,,1
///Industrie Etrangère///Faience et poterie,industrie étrangère faïence et poterie,,1
///Industrie étrangère///Faience et poterie,industrie étrangère faïence et poterie,,1
///Industrie Etrangère///Habillement et lingerie,industrie étrangère habillement et lingerie,,1
///Industrie étrangère///Habillement et lingerie,industrie étrangère habillement et lingerie,,1
///Industrie étrangère///Horlogerie,industrie étrangère horlogerie,,1
///Industrie Etrangère///Horlogeries,industrie étrangère horlogerie,,1
///Industrie Etrangère///Librairie,industrie étrangère librairie,,1
///Industrie étrangère///Librairie,industrie étrangère librairie,,1
///Industrie Etrangère///Marbres,industrie étrangère marbre,,1
///Industrie étrangère///Marbres,industrie étrangère marbre,,1
///Industrie Etrangère///Merceries,industrie étrangère mercerie,,1
///Industrie étrangère///Merceries,industrie étrangère mercerie,,1
///Industrie Etrangère///Meubles et miroirs,industrie étrangère meubles et miroirs,,1
///Industrie étrangère///Meubles et miroirs,industrie étrangère meubles et miroirs,,1
///Industrie Etrangère///Ouvrages de jonc,industrie étrangère ouvrages de jonc,,1
///Industrie étrangère///Ouvrages de jonc,industrie étrangère ouvrages de jonc,,1
///Industrie Etrangère///Ouvrages divers,industrie étrangère ouvrages divers,,1
///Industrie étrangère///Ouvrages divers,industrie étrangère ouvrages divers,,1
///Industrie Etrangère///Peaux et pelleteries,industrie étrangère peaux et pelleterie,,1
///Industrie étrangère///Peaux et pelleteries,industrie étrangère peaux et pelleterie,,1
///Industrie Etrangère///Plumes à écrire,industrie étrangère plumes à écrire,,1
///Industrie étrangère///Plumes à écrire,industrie étrangère plumes à écrire,,1
///Industrie Etrangère///Plumes d'autruche,industrie étrangère plumes d'autruche,,1
///Industrie étrangère///Plumes d'Autruche,industrie étrangère plumes d'autruche,,1
///Industrie Etrangère///Plumes de toute sorte,industrie étrangère plumes de toute sorte,,1
///Industrie étrangère///Plumes de toute sorte,industrie étrangère plumes de toute sorte,,1
"///Industrie étrangère///Porcelaine, faience et poterie",industrie étrangère porcelaine faïence et poterie,,1
///Industrie Etrangère///Quincailleries diverses,industrie étrangère quincaillerie diverse,,1
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,1
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",industrie étrangère quincaillerie diverse faux faucilles fil de laiton et limes,,1
///Industrie Etrangère///Savons,industrie étrangère savon,,1
///Industrie étrangère///Savons,industrie étrangère savon,,1
///Industrie Etrangère///Voitures,industrie étrangère voiture,,1
///Industrie étrangère///Voitures,industrie étrangère voiture,,1
///Industrie générale///Armes,industrie générale armes,,1
///Industrie générale///Articles d'industrie réunis,industrie générale articles d'industrie réunis,,1
///Industrie Générale///Articles d'industrie réunis,industrie générale articles d'industrie réunis,,1
///Industrie générale///Bijouterie,industrie générale bijouterie,,1
///Industrie Générale///Bijouterie,industrie générale bijouterie,,1
///Industrie générale///Bougie,industrie générale bougie,,1
///Industrie Générale///Bougie,industrie générale bougie,,1
///Industrie générale///Cauris,industrie générale cauris,,1
///Industrie Générale///Cauris,industrie générale cauris,,1
///Industrie générale///Chandelle,industrie générale chandelle,,1
///Industrie Générale///Chandelles,industrie générale chandelle,,1
///Industrie générale///Cordages,industrie générale cordage,,1
///Industrie Générale///Cordages,industrie générale cordage,,1
///Industrie générale///Dorures fines,industrie générale dorure fine,,1
///Industrie Générale///Dorures fines,industrie générale dorure fine,,1
///Industrie générale///Esprit de vin,industrie générale esprit-de-vin,,1
///Industrie Générale///Esprit de vin,industrie générale esprit-de-vin,,1
///Industrie générale///Faience et poterie,industrie générale faïence et poterie,,1
///Industrie Générale///Faience et poterie,industrie générale faïence et poterie,,1
///Industrie générale///Gants de peau,industrie générale gants de peau,,1
///Industrie Générale///Gants de peau,industrie générale gants de peau,,1
///Industrie générale///Habillemens et lingerie,industrie générale habillement et lingerie,,1
///Industrie Générale///Habillements et lingeries,industrie générale habillement et lingerie,,1
///Industrie générale///Horlogerie,industrie générale horlogerie,,1
///Industrie Générale///Horlogerie,industrie générale horlogerie,,1
///Industrie générale///Jeux de voiles,industrie générale jeux de voile,,1
///Industrie Générale///Jeux de voiles,industrie générale jeux de voile,,1
///Industrie générale///Librairie,industrie générale librairie,,1
///Industrie Générale///Librairie,industrie générale librairie,,1
///Industrie Générale///Marchandises des indes,industrie générale marchandises des Indes,,1
///Industrie générale///Merceries,industrie générale mercerie,,1
///Industrie Générale///Merceries,industrie générale mercerie,,1
///Industrie générale///Meubles et glaces,industrie générale meubles et glaces,,1
///Industrie Générale///Meubles et glaces,industrie générale meubles et glaces,,1
///Industrie Générale///Ouvrages de cruivre doré et argenté,industrie générale ouvrages de cuivre doré et argenté,,1
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,industrie générale ouvrages de cuir en cordonnerie et sellerie,,1
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,industrie générale ouvrages de cuir en cordonnerie et sellerie,,1
///Industrie générale///Ouvrages de cuivre doré et argenté,industrie générale ouvrages de cuivre doré et argenté,,1
///Industrie générale///Ouvrages de modes et fleurs artificielles,industrie générale ouvrages de modes et fleurs artificielles,,1
///Industrie Générale///Ouvrages de modes et fleurs artificielles,industrie générale ouvrages de modes et fleurs artificielles,,1
///Industrie générale///Ouvrages de terre cuite,industrie générale ouvrages de terre cuite,,1
///Industrie générale///Ouvrages divers,industrie générale ouvrages divers,,1
///Industrie Générale///Ouvrages divers en bois et futailles vuides,industrie générale ouvrages divers en bois et futailles vides,,1
///Industrie Générale///Ouvrages en terre cuite,industrie générale ouvrages en terre cuite,,1
///Industrie générale///Papier pour tenture,industrie générale papier pour tenture,,1
///Industrie générale///Papiers à écrire,industrie générale papier à écrire,,1
///Industrie Générale///Papiers à écrire,industrie générale papier à écrire,,1
///Industrie générale///Papiers pour tenture,industrie générale papier pour tenture,,1
///Industrie Générale///Papiers pour tenture,industrie générale papier pour tenture,,1
///Industrie Générale///Parasols,industrie générale parasols,,1
///Industrie générale///Parfumerie,industrie générale parfumerie,,1
///Industrie Générale///Parfumerie,industrie générale parfumerie,,1
///Industrie générale///Passementerie,industrie générale passementerie,,1
///Industrie Générale///Passementerie,industrie générale passementerie,,1
///Industrie générale///Peaux et pelleteries,industrie générale peaux et pelleterie,,1
///Industrie Générale///Peaux et pelleteries,industrie générale peaux et pelleterie,,1
///Industrie générale///Porcelaine,industrie générale porcelaine,,1
///Industrie Générale///Porcelaine,industrie générale porcelaine,,1
///Industrie générale///Poudre à tirer,industrie générale poudre à tirer,,1
///Industrie Générale///Poudre à tirer,industrie générale poudre à tirer,,1
///Industrie générale///Quincaillerie,industrie générale quincaillerie,,1
///Industrie Générale///Quincaillerie,industrie générale quincaillerie,,1
///Industrie générale///Savons,industrie générale savon,,1
///Industrie Générale///Savons,industrie générale savon,,1
///Industrie générale///Tableaux et estampes,industrie générale tableaux et estampes,,1
///Industrie Générale///Tableaux et Estampes,industrie générale tableaux et estampes,,1
///Industrie générale///Verrerie,industrie générale verrerie,,1
///Industrie Générale///Verrerie,industrie générale verrerie,,1
///Matière d'Or et d'argent///Monnaies au type étranger,matières d'or et d'argent monnaies au type étranger,,1
///Matière d'Or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,,1
///Matières d'Or et d'argent///Argenterie et orfévrerie,matières d'or et d'argent argenterie et orfévrerie,,1
///Matières d'Or et d'argent///Argenteries et orfévrerie,matières d'or et d'argent argenterie et orfévrerie,,1
///Matieres d'Or et d'argent///Monnaies au type étranger,matières d'or et d'argent monnaies au type étranger,,1
"///Matières d'Or et d'argent///Monnaies étrangères , ou lingots",matières d'or et d'argent monnaies étrangères ou lingots,,1
///Matières d'or et d'argent///Monnaies étrangères et lingots,matières d'or et d'argent monnaies étrangères et lingots,,1
///Matières d'Or et d'argent///Monnaies étrangères ou lingots,matières d'or et d'argent monnaies étrangères ou lingots,,1
///Matieres d'Or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,,1
///Matières d'or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,,1
///Métaux///Argent vif,métal argent vif,,1
///Métaux///Articles réunis,métal articles réunis,,1
///Métaux///Autres métaux,métal autre métal,,1
///Métaux///Cuivre,métal cuivre,,1
"///Métaux///Cuivre, bronze et laiton",métal cuivre bronze et laiton,,1
"///Métaux///Cuivre, bronze et Laiton",métal cuivre bronze et laiton,,1
"///Métaux///Cuivre,bronze et laiton",métal cuivre bronze et laiton,,1
///Métaux///Etain,métal étain,,1
///Métaux///Fer blanc,métal fer-blanc,,1
///Métaux///Fer-blanc,métal fer-blanc,,1
///Métaux///Fers,métal fer,,1
///Métaux///Fers blanc,métal fer-blanc,,1
///Métaux///Fers et aciers,métal fer et acier,,1
///Métaux///plomb,métal plomb,,1
///Métaux///Plomb,métal plomb,,1
///Objets manufacturés///Armes,objets manufacturés armes,,1
///Objets manufacturés///Articles réunis,objets manufacturés articles réunis,,1
"///Objets manufacturés///Bonneterie en fil , coton et laine",objets manufacturés bonneterie en fil coton et laine,,1
"///Objets manufacturés///Bonneterie en fil, coton et laine",objets manufacturés bonneterie en fil coton et laine,,1
///Objets manufacturés///Bonneterie ordinaire en coton et laine,objets manufacturés bonneterie ordinaire en coton et laine,,1
///Objets manufacturés///Bonneteries de soie,objets manufacturés bonneterie de soie,,1
///Objets manufacturés///Bonneteries diverses,objets manufacturés bonneterie diverse,,1
///Objets manufacturés///chapellerie,objets manufacturés chapellerie,,1
///Objets manufacturés///Chapellerie,objets manufacturés chapellerie,,1
///Objets manufacturés///Dentelles,objets manufacturés dentelle,,1
///Objets manufacturés///Dentelles de fil,objets manufacturés dentelle de fil,,1
///Objets manufacturés///Draperies,objets manufacturés draperie,,1
///Objets manufacturés///Etoffe mélangées de ces matieres,objets manufacturés étoffe mélangée de ces matières,,1
///Objets manufacturés///Etoffe riches,objets manufacturés étoffe riche,,1
///Objets manufacturés///Etoffes de coton,objets manufacturés étoffe de coton,,1
///Objets manufacturés///Etoffes de laine,objets manufacturés étoffe de laine,,1
///Objets manufacturés///Etoffes de laine et de poil,objets manufacturés étoffe de laine et de poil,,1
///Objets manufacturés///Etoffes de soie,objets manufacturés étoffe de soie,,1
///Objets manufacturés///Etoffes diverses,objets manufacturés étoffe diverse,,1
///Objets manufacturés///Etoffes en coton et en laine,objets manufacturés étoffe en coton et en laine,,1
///Objets manufacturés///Etoffes mélangées de ces matières,objets manufacturés étoffe mélangée de ces matières,,1
///Objets manufacturés///Etoffes riches,objets manufacturés étoffe riche,,1
"///Objets manufacturés///Gazes, crepes et mouchoirs de soie",objets manufacturés gaze crêpe et mouchoirs de soie,,1
"///Objets manufacturés///Gazes, crêpes et mouchoirs de soie",objets manufacturés gaze crêpe et mouchoirs de soie,,1
///Objets manufacturés///Mouchoirs divers en fil et coton,objets manufacturés mouchoirs divers en fil et coton,,1
///Objets manufacturés///Mouchoirs divers et des Indes,objets manufacturés mouchoirs divers et des Indes,,1
///Objets manufacturés///Mousselines,objets manufacturés mousseline,,1
///Objets manufacturés///Objets manufacturés réunis,objets manufacturés objets manufacturés réunis,,1
///Objets manufacturés///Rubannerie de soie,objets manufacturés rubannerie de soie,,1
///Objets manufacturés///Rubannerie ordinaire,objets manufacturés rubannerie ordinaire,,1
///Objets manufacturés///Rubanneries diverses,objets manufacturés rubannerie diverse,,1
"///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,1
"///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,1
"///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans",objets manufacturés soierie en étoffe mouchoirs gaze et ruban,,1
///Objets manufacturés///Toile de coton,objets manufacturés toile de coton,,1
///Objets manufacturés///Toile de fil et coton,objets manufacturés toile de fil et coton,,1
///Objets manufacturés///Toiles de coton,objets manufacturés toile de coton,,1
"///Objets manufacturés///Toiles de coton, mousseline et nankin",objets manufacturés toile de coton mousseline et Nankin,,1
"///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes",objets manufacturés toile de coton mousseline Nankin et des Indes,,1
///Objets manufacturés///Toiles de fil et coton,objets manufacturés toile de fil et coton,,1
///Objets manufacturés///Toiles de lin et chanvre,objets manufacturés toile de lin et chanvre,,1
///Objets manufacturés///Toiles de lin et de chanvre,objets manufacturés toile de lin et de chanvre,,1
///Objets manufacturés///Toiles diverses de lin et de chanvre,objets manufacturés toile diverse de lin et de chanvre,,1
///Objets manufacturés///Toiles diverses en lin et chanvre,objets manufacturés toile diverse en lin et chanvre,,1
"///Objets manufacturés///Toiles en coton, mousseline et nankin",objets manufacturés toile en coton mousseline et Nankin,,1
1///Matières première///Articles réunis,matières premières articles réunis,,1
1///Matières première///Coton,matières premières coton,,1
1///Matières première///Fil,matières premières fil,,1
1///Matières première///Laine,matières premières laine,,1
1///Matières première///Soie,matières premières soie,,1
1///Matières premières///Chanvre,matières premières chanvre,,1
1///Matières premières///Chanvre et lin,matières premières chanvre et lin,,1
1///Matières premières///Coton,matières premières coton,,1
1///Matières premières///Fil,matières premières fil,,1
1///Matières premières///Laine,matières premières laine,,1
1///Matières premières///Lin,matières premières lin,,1
"1///Matières premières///Poil de chevre, lièvre et lapin",matières premières poil de chèvre lièvre et lapin,,1
"1///Matières premières///Poil de chèvre, lièvre et lapin",matières premières poil de chèvre lièvre et lapin,,1
1///Matières premières///Soie,matières premières soie,,1
1///Matières premières///Soie et filoselle,matières premières soie et filoselle,,1
"1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons",subsistances bestiaux en bœuf vaches porcs moutons,,1
"1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons",subsistances bestiaux en bœuf vaches porcs moutons,,1
"1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons",subsistances bestiaux en bœuf vaches veaux porcs et moutons,,1
"1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons",subsistances bestiaux en bœuf vaches veaux porcs et moutons,,1
"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",subsistances bestiaux en bœuf vaches porcs moutons,,1
"1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons",subsistances bestiaux en bœuf vaches veaux et moutons,,1
1///Subsistances///Beurre,subsistances beurre,,1
1///Subsistances///Bière,subsistances bière,,1
"1///Subsistances///Bière, cidre et vinaigre",subsistances bière cidre et vinaigre,,1
1///Subsistances///Biscuit de mer,subsistances biscuit de mer,,1
1///Subsistances///Biscuits de mer et pâtes d'Italie,subsistances biscuit de mer et pâte d'Italie,,1
1///Subsistances///Blé,subsistances blé,,1
1///Subsistances///Blé et autres grains,subsistances blé et autres grains,,1
1///Subsistances///Blé et autres grains comestibles,subsistances blé et autres grains comestibles,,1
"1///Subsistances///Blé et autres grains, comestibles",subsistances blé et autres grains comestibles,,1
1///Subsistances///Chairs salées,subsistances chair salée,,1
1///Subsistances///Eaux de vie,subsistances eau-de-vie,,1
1///Subsistances///Eaux-de-vie,subsistances eau-de-vie,,1
1///Subsistances///Farine,subsistances farine,,1
1///Subsistances///Farine et biscuit de mer,subsistances farine et biscuit de mer,,1
1///Subsistances///Farine et biscuits de mer et pâtes d'Italie,subsistances farine et biscuit de mer et pâte d'Italie,,1
1///Subsistances///Farine et pâtes d'Italie,subsistances farine et pâte d'Italie,,1
1///Subsistances///Fromage,subsistances fromage,,1
1///Subsistances///Fromages,subsistances fromage,,1
1///Subsistances///Fruits divers,subsistances fruits divers,,1
"1///Subsistances///Fruits secs en amandes, figues et ...",subsistances fruits secs en amandes figue et ???,,1
"1///Subsistances///Fruits secs, en amandes ,figues et raisins",subsistances fruits secs en amandes figue et raisin,,1
"1///Subsistances///Fruits secs, en amandes, figues et raisins",subsistances fruits secs en amandes figue et raisin,,1
1///Subsistances///Fruits verts en Oranges et citrons,subsistances fruits verts en orange et citrons,,1
"1///Subsistances///Fruits verts, en oranges et citrons",subsistances fruits verts en orange et citrons,,1
"1///Subsistances///Fruits verts, en oranges et citrons.",subsistances fruits verts en orange et citrons,,1
1///Subsistances///Huile d'olive,subsistances huile d'olive,,1
1///Subsistances///Huile d'Olive,subsistances huile d'olive,,1
1///Subsistances///Légumes,subsistances légumes,,1
1///Subsistances///Miel,subsistances miel,,1
1///Subsistances///Poissons de toute sorte,subsistances poisson de toute sorte,,1
1///Subsistances///Poissons de toutes sortes,subsistances poisson de toute sorte,,1
1///Subsistances///Provisions de bouche réunies,subsistances provisions de bouche réunies,,1
1///Subsistances///Provisions diverses,subsistances provisions diverses,,1
"1///Subsistances///Provisions diverses,principalement en beurre",subsistances provisions diverses principalement en beurre,,1
1///Subsistances///Riz,subsistances riz,,1
1///Subsistances///Sel,subsistances sel,,1
1///Subsistances///Vin de liqueurs,subsistances vin de liqueurs,,1
1///Subsistances///Vins,subsistances vin,,1
1///Subsistances///Vins de bordeaux,subsistances vin de Bordeaux,,1
1///Subsistances///Vins de Bordeaux,subsistances vin de Bordeaux,,1
1///Subsistances///Vins de liqueur,subsistances vin de liqueurs,,1
1///Subsistances///Vins de liqueurs,subsistances vin de liqueurs,,1
1///Subsistances///Vins divers,subsistances vin divers,,1
2///Matières première///Articles réunis,matières premières articles réunis,,1
2///Matières première///Bois divers,matières premières bois divers,,1
"2///Matières première///Brai, goudron et résine",matières premières brai goudron et résines,,1
2///Matières première///Charbons,matières premières charbon,,1
2///Matières première///Cires jaune et blanche,matières premières cire jaune et blanche,,1
2///Matières première///Cuirs appretés,matières premières cuirs apprêtés,,1
2///Matières première///Graines de jardin,matières premières graine de jardin,,1
2///Matières première///Graines de trèfle,matières premières graine de trèfle,,1
2///Matières première///Graines diverses,matières premières graine diverse,,1
2///Matières première///Huile de graine,matières premières huile de graine,,1
2///Matières première///Pain de navette,matières premières pain de navettes,,1
2///Matières première///Suif,matières premières suif,,1
2///Matières première///Tabacs,matières premières tabac,,1
2///Matières premières///Articles réunis,matières premières articles réunis,,1
2///Matières premières///Bois de Iles,matières premières bois des Îles,,1
2///Matières premières///Bois des iles,matières premières bois des Îles,,1
2///Matières premières///Bois divers,matières premières bois divers,,1
"2///Matières premières///Brai, goudron et résine",matières premières brai goudron et résines,,1
"2///Matières premières///Brai, Goudron, Résine",matières premières brai goudron résines,,1
"2///Matières premières///Brai,goudron et résine",matières premières brai goudron résines,,1
"2///Matières premières///Bray, goudron, poix et résine",matières premières brai goudron poix et résines,,1
2///Matières premières///cendres Diverses,matières premières cendre diverse,,1
2///Matières premières///Cendres diverses,matières premières cendre diverse,,1
2///Matières premières///Charbon,matières premières charbon,,1
2///Matières premières///Charbons,matières premières charbon,,1
2///Matières premières///Circes blanche et jaune,matières premières cire blanche et jaune,,1
2///Matières premières///Cires blanche et jaune,matières premières cire blanche et jaune,,1
2///Matières premières///Cires blanches et jaunes,matières premières cire blanche et jaune,,1
2///Matières premières///Cires jaune et blanche,matières premières cire jaune et blanche,,1
2///Matières premières///Cires jaune et blanche fondue et en bougies,matières premières cire jaune et blanche fondue et en bougie,,1
2///Matières premières///Cuirs appretés,matières premières cuirs appretés,,1
2///Matières premières///Cuirs apprétés,matières premières cuirs apprétés,,1
2///Matières premières///Cuirs en poil,matières premières cuirs en poil,,1
2///Matières premières///Dents d'éléphant,matières premières dents d'éléphant,,1
"2///Matières premières///Goudron ,poix et résine",matières premières goudron poix et résines,,1
2///Matières premières///Graine de lin,matières premières graine de lin,,1
2///Matières premières///Graine de Lin,matières premières graine de lin,,1
2///Matières premières///Graines de diverses,matières premières graine de diverses,,1
2///Matières premières///Graines de jardin,matières premières graine de jardin,,1
2///Matières premières///Graines de trèfle,matières premières graine de trèfle,,1
2///Matières premières///Graines diverses,matières premières graine diverse,,1
2///Matières premières///Graines diverses et de lin,matières premières graine diverse et de lin,,1
2///Matières premières///Houblon,matières premières houblon,,1
2///Matières premières///Huile d'olive pour fabriques,matières premières huile d'olive pour fabrique,,1
2///Matières premières///Huile de graine,matières premières huile de graine,,1
2///Matières premières///Huile de grains,matières premières huile de grain,,1
2///Matières premières///Huile de poisson,matières premières huile de poisson,,1
2///Matières premières///Huile de poissons,matières premières huile de poisson,,1
2///Matières premières///Huiles d'Olive pour fabriques,matières premières huile d'olive pour fabrique,,1
2///Matières premières///Pain de navette,matières premières pain de navettes,,1
"2///Matières premières///Petasse, vedasses et gravelées",matières premières potasse vedasse et gravelée,,1
"2///Matières premières///Potasse, vedasse et gravelées",matières premières potasse vedasse et gravelée,,1
"2///Matières premières///Potasses, vedasses et gravelées",matières premières potasse vedasse et gravelée,,1
2///Matières premières///Soie de porc et sanglier,matières premières soie de porcs et sanglier,,1
2///Matières premières///Soude,matières premières soudes,,1
2///Matières premières///Souffre et salpetre,matières premières soufre et salpêtre,,1
2///Matières premières///Soufre et salpetre,matières premières soufre et salpêtre,,1
2///Matières premières///Soufre et Salpetre,matières premières soufre et salpêtre,,1
2///Matières premières///Suif,matières premières suif,,1
2///Matières premières///Suif fondu et en chandelles,matières premières suif fondu et en chandelle,,1
2///Matières premières///Tabacs,matières premières tabac,,1
2///Subsistances///Articles réunis,subsistances articles réunis,,1
2///Subsistances///Cacao,subsistances cacao,,1
2///Subsistances///Café,subsistances café,,1
2///Subsistances///Chocolat,subsistances chocolat,,1
2///Subsistances///Liqueurs,subsistances liqueurs,,1
2///Subsistances///Liqueurs et sirops,subsistances liqueurs et sirop,,1
2///Subsistances///Liqueurs et Sirops,subsistances liqueurs et sirop,,1
"2///Subsistances///Provisions diverses,principalement en beurre",subsistances provisions diverses principalement en beurre,,1
2///Subsistances///Sirops,subsistances sirop,,1
2///Subsistances///Sucre,subsistances sucre,,1
2///Subsistances///Thé,subsistances thé,,1
2///Suite des matières premières///Articles réunis,suite des matières premières articles réunis,,1
3///Matières première///Alun,matières premières alun,,1
3///Matières première///Cochenille,matières premières cochenille,,1
3///Matières première///Drogues réunies,matières premières drogues réunies,,1
3///Matières première///Garance,matières premières garance,,1
3///Matières première///Indigo,matières premières indigo,,1
3///Matières première///Rocou,matières premières rocou,,1
3///Matières première///Verdet,matières premières verdet,,1
3///Matières premières///Alquifoux ou mine de plomb,matières premières alquifoux ou mine de plomb,,1
3///Matières premières///Alun,matières premières alun,,1
3///Matières premières///Azur,matières premières azur,,1
3///Matières premières///Céruse,matières premières céruse,,1
3///Matières premières///Cochenille,matières premières cochenille,,1
3///Matières premières///Drogues diverses réunies,matières premières drogues diverses réunies,,1
3///Matières premières///Drogues réunies,matières premières drogues réunies,,1
3///Matières premières///Garance,matières premières garance,,1
3///Matières premières///Indigo,matières premières indigo,,1
