line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,valeur calculée,value,,,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
4555,Local,1768,Nantes,,Angleterre,Imports,dains,,,80,,,,,10,en nombre,8,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4556,Local,1768,Nantes,,Angleterre,Imports,langues salées,,,"116,25",,,,,155,en nombre,"0,75",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4557,Local,1768,Nantes,,Angleterre,Imports,saumure,,,40,,,,,5,barique,8,Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4558,Local,1768,Nantes,,Angleterre,Imports,Suif,,,1575,,,,,3150,livres,"0,5",Nantes -- 1768 -- Imports -- AD44_C717,,1,,,,,,,,0,,,,,,,,,
4559,Local,1768,Nantes,,Danemark,Imports,anspects,,,90,,,,,360,en nombre,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4560,Local,1768,Nantes,,Danemark,Imports,avirons,,,100,,,,,80,en nombre,"1,25",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4561,Local,1768,Nantes,,Danemark,Imports,fer en barres,,,"64710,75",,,,,431405,livres,"0,15",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4562,Local,1768,Nantes,,Danemark,Imports,gaudron,,,6545,,,,,385,baril,17,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4563,Local,1768,Nantes,,Danemark,Imports,manches de gaffe,,,220,,,,,440,en nombre,"0,5",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4564,Local,1768,Nantes,,Danemark,Imports,marchandises melées,,,100,100,,,,,,,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4565,Local,1768,Nantes,,Danemark,Imports,matreaux,,,1820,,,,,182,en nombre,10,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4566,Local,1768,Nantes,,Danemark,Imports,Planches de sapin,,,60267,,,,,80356,en nombre,"0,75",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4567,Local,1768,Nantes,,Danemark,Imports,raves de morue,,,5845,,,,,167,baril,35,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4568,Local,1768,Nantes,,Espagne,Imports,Amandes cassées,,,"35,4",,,,,59,livres,"0,6",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4569,Local,1768,Nantes,,Espagne,Imports,avirons,,,2820,,,,,470,traques,6,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4570,Local,1768,Nantes,,Espagne,Imports,balais de jongs,,,1146,,,,,955,douzaine,"1,2",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4571,Local,1768,Nantes,,Espagne,Imports,bois de campeche en buche,,,30800,,,,,38500,livres,"0,0875",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4572,Local,1768,Nantes,,Espagne,Imports,Bouteilles de verre,,,"138,8",,,,,694,livres,"0,2",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4573,Local,1768,Nantes,,Espagne,Imports,Canelle,,,3016,,,,,377,livres,8,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4574,Local,1768,Nantes,,Espagne,Imports,Chocolat,,,"505,5",,,,,337,livres,"1,5",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4575,Local,1768,Nantes,,Espagne,Imports,Citrons,,,95,,,,,9500,en nombre,"0,01",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4576,Local,1768,Nantes,,Espagne,Imports,Cochenille,,,7540,,,,,377,livres,20,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4577,Local,1768,Nantes,,Espagne,Imports,Cuirs en poil,,,9000,,,,,300,pièces,30,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4578,Local,1768,Nantes,,Espagne,Imports,cuivre en fourrure,,,630,,,,,450,livres,"1,4",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4579,Local,1768,Nantes,,Espagne,Imports,Eau-de-vie,,,80730,,,,,299,pipes,270,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4579,Local,1768,Nantes,,Espagne,Imports,Eau-de-vie,,,4890,,,,,16300,livres,"0,3",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4580,Local,1768,Nantes,,Espagne,Imports,fer en ancres,,,5700,,,,,19000,livres,"0,3",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4581,Local,1768,Nantes,,Espagne,Imports,fer en barre,,,"188512,5",,,,,1256750,livres,"0,15",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4582,Local,1768,Nantes,,Espagne,Imports,garance,,,114,,,,,190,livres,"0,6",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4583,Local,1768,Nantes,,Espagne,Imports,huile d’olive de seville,,,5816,,,,,11632,livres,"0,5",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4584,Local,1768,Nantes,,Espagne,Imports,jus de citron,,,16,,,,,80,livres,"0,2",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4585,Local,1768,Nantes,,Espagne,Imports,laine d’espagne,,,"514230,75",,,,,228547,livres,"2,25",Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4586,Local,1768,Nantes,,Espagne,Imports,marchandises mêlées,,,0,396,,,,,,,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,396,,,,,,,,,
4587,Local,1768,Nantes,,Espagne,Imports,mercerie,,,1220,,,,,610,livres,2,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4588,Local,1768,Nantes,,Espagne,Imports,meules batardes,,,2550,,,,,850,en nombre,3,Nantes -- 1768 -- Imports -- AD44_C717,,2,,,,,,,,0,,,,,,,,,
4589,Local,1768,Nantes,,Espagne,Imports,bierres à filtrer,,,1152,,,,,48,en nombre,24,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4590,Local,1768,Nantes,,Espagne,Imports,raisins secs,,,"13443,9",,,,,89626,livres,"0,15",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4591,Local,1768,Nantes,,Espagne,Imports,toile commune,,,105,,,,,140,pièces,"0,75",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4592,Local,1768,Nantes,,Espagne,Imports,vin d’espagne de Barcelone,,,27000,,,,,"112,5",tonneaux,240,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,#VALEUR !,,,,,,,,,
4593,Local,1768,Nantes,,Espagne,Imports,vin d’espagne divers,,,0,,,,,"123,75",tonneaux,240,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4593,Local,1768,Nantes,,Espagne,Imports,vin d’espagne divers,,,11379,,,,,3793,pots,3,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4594,Local,1768,Nantes,,Espagne,Imports,vinaigre,,,3600,,,,,160,barique,"22,5",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4595,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,aigre de vitriol,,,7500,,,,,7500,livres,1,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4596,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Alun,,,"4608,75",,,,,30725,livres,"0,1875",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4597,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,fusils,,,27000,,,,,3600,pièces,"7,5",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4598,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,avirons,,,"368,75",,,,,295,en nombre,"1,25",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4599,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Baumes,,,30,,,,,20,livres,"1,5",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4600,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,blanc de baleine,,,462,,,,,154,livres,3,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4602,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Bois à bruler ,,,375,,,,,25,corde,15,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4603,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,bois espars,,,148,,,,,592,en nombre,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,#VALEUR !,,,,,,,,,
4604,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,bouteilles de verre,,,163,,,,,815,livres,"0,2",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4605,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,cassialignea,,,"526,5",,,,,810,livres,"0,175",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4606,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,chevrons de sapin,,,624,,,,,624,en nombre,1,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4607,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,cornes à lanterne ,,,500,,,,,5000,en nombre,"0,1",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4608,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,couperoze,,,41313,,,,,137710,livres,"0,0625",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4609,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Etain en bloc,,,2787,,,,,3716,livres,"0,75",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4610,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,fer en barre,,,4680,,,,,31200,livres,"0,15",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4611,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,fer blanc simple  ,,,2030,,,,,5800,feuilles,"0,35",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4612,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,fer en cercles,,,"15341,2",,,,,21916,livres,"0,225",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4613,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,fer noir simple,,,15120,,,,,11200,feuilles,"1,35",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4614,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,geroffle,,,22617,,,,,2513,livres,9,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4615,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,gomme de cedre,,,890,,,,,890,livres,1,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4616,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,herbes capilaire,,,616,,,,,616,livres,1,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4617,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,houblon,,,"886,4",,,,,4432,livres,"0,2",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4618,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,lattes,,,"91,2",,,,,"3,8",en milliers,24,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4619,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,litarge,,,"517,5",,,,,2070,livres,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,0,,,,,,,,,
4620,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,marchandises melées,,,0,592,,,,,,,Nantes -- 1768 -- Imports -- AD44_C717,,3,,,,,,,,592,,,,,,,,,
4621,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,matreaux,,,1660,,,,,166,en nombre,10,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4622,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,mêches à canons,,,20,,,,,50,livres,"0,4",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4623,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,mine de plomb,,,"407,5",,,,,1630,livres,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4624,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,noix diverses,,,"283,5",,,,,189,livres,"1,5",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4625,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Papier blanc,,,340,,,,,34,rames,10,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4626,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,peaux de petit gris,,,896,,,,,16,fourrures,56,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4626,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,peaux de petit gris,,,1350,,,,,1800,pièces,"0,75",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4627,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,pierriers,,,620,,,,,3100,livres,"0,2",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4628,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,piment,,,"6882,4",,,,,9832,livres,"0,7",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4629,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,planches de sapin,,,"6663,75",,,,,8885,en nombre,"0,75",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4630,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,plomb en grenaille,,,"6352,5",,,,,21175,livres,"0,3",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4631,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,plomb en saumon,,,"7052,5",,,,,28210,livres,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4632,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Quincaille,,,1106,,,,,1106,livres,1,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4633,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,ris,,,61035,,,,,93900,livres,"0,175",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4634,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Salsepareille,,,"6756,75",,,,,3003,livres,"2,25",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4635,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,Sapins à faire gaffe,,,218,,,,,436,en nombre,"0,5",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4636,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,soliveaux de sapin,,,896,,,,,112,en nombre,8,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4637,Local,1768,Nantes,,De la Flandre Autrichienne,Imports,souffles,,,24,,,,,24,en nombre,1,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4638,Local,1768,Nantes,,D'Hollande,Imports,Acier,,,27009,,,,,36012,livres,"0,275",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4639,Local,1768,Nantes,,D'Hollande,Imports,Alun,,,"75847,5",,,,,84275,livres,"0,1875",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4640,Local,1768,Nantes,,D'Hollande,Imports,amadou,,,128,,,,,128,livres,1,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4641,Local,1768,Nantes,,D'Hollande,Imports,arcenic,,,"697,5",,,,,2790,livres,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4642,Local,1768,Nantes,,D'Hollande,Imports,Argent vif,,,1316,,,,,329,livres,4,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4643,Local,1768,Nantes,,D'Hollande,Imports,armes blanches,,,3360,,,,,2800,livres,"1,2",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4644,Local,1768,Nantes,,D'Hollande,Imports,armes à feu,,,47907,,,,,53230,livres,"0,9",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4644,Local,1768,Nantes,,D'Hollande,Imports,pistolets,,,980,,,,,98,paires,10,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4645,Local,1768,Nantes,,D'Hollande,Imports,Azur,,,"57602,25",,,,,76803,livres,"0,75",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4646,Local,1768,Nantes,,D'Hollande,Imports,Baleine coupée,,,"3797,5",,,,,1085,livres,"3,5",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4647,Local,1768,Nantes,,D'Hollande,Imports,Battons de Sapin,,,"129,2",,,,,1292,en nombre,"0,1",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4648,Local,1768,Nantes,,D'Hollande,Imports,beujoins,,,1188,,,,,528,livres,"2,25",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4649,Local,1768,Nantes,,D'Hollande,Imports,Bière,,,73050,,,,,2922,bariques,25,Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4649,Local,1768,Nantes,,D'Hollande,Imports,Bière,,,"112,8",,,,,141,tierçons,"0,8",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4650,Local,1768,Nantes,,D'Hollande,Imports,Bois Merrain à barriques,,,"1801,5",,,,,6005,douelle,"0,3",Nantes -- 1768 -- Imports -- AD44_C717,,4,,,,,,,,0,,,,,,,,,
4651,Local,1768,Nantes,,D'Hollande,Imports,bois de santal,,,"1017,5",,,,,4070,livres,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4652,Local,1768,Nantes,,D'Hollande,Imports,bois à teindre en buche,,,60800,,,,,76000,livres,"0,0875",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4653,Local,1768,Nantes,,D'Hollande,Imports,bois à teindre moulu,,,18558,,,,,30930,livres,"0,6",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4654,Local,1768,Nantes,,D'Hollande,Imports,borax,,,176,,,,,44,livres,4,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4655,Local,1768,Nantes,,D'Hollande,Imports,bourre,,,"108,5",,,,,2170,livres,"0,05",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4656,Local,1768,Nantes,,D'Hollande,Imports,bouteilles de verre,,,303,,,,,1515,livres,"0,2",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4657,Local,1768,Nantes,,D'Hollande,Imports,Braules,,,357,,,,,34,pièces,"10,5",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4658,Local,1768,Nantes,,D'Hollande,Imports,bray gras,,,1972,,,,,116,barils,17,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4659,Local,1768,Nantes,,D'Hollande,Imports,brosserie,,,"851,4",,,,,2838,livres,"0,3",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4660,Local,1768,Nantes,,D'Hollande,Imports,buffets de sapin,,,720,,,,,30,en nombre,24,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4661,Local,1768,Nantes,,D'Hollande,Imports,canelle,,,9224,,,,,1153,livres,8,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4662,Local,1768,Nantes,,D'Hollande,Imports,canettes de grez,,,1500,,,,,5000,en nombre,"0,3",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4663,Local,1768,Nantes,,D'Hollande,Imports,Caves de 9 flacons,,,420,,,,,60,en nombre,7,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4663,Local,1768,Nantes,,D'Hollande,Imports,Caves de 6 flacons,,,12650,,,,,2530,en nombre,5,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4664,Local,1768,Nantes,,D'Hollande,Imports,cauris,,,1710,,,,,1900,livres,"0,9",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4665,Local,1768,Nantes,,D'Hollande,Imports,Cendre de tourbes,,,"147,5",,,,,2950,livres,"0,05",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4666,Local,1768,Nantes,,D'Hollande,Imports,ceruze,,,21060,,,,,84240,livres,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4667,Local,1768,Nantes,,D'Hollande,Imports,chaises de comodité,,,216,,,,,36,en nombre,6,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4668,Local,1768,Nantes,,D'Hollande,Imports,Chanvre Cru,,,"163692,5",,,,,654770,livres,"0,25",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4669,Local,1768,Nantes,,D'Hollande,Imports,chanclas,,,12500,,,,,500,piece,25,Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
4670,Local,1768,Nantes,,D'Hollande,Imports,Cire jaune,,,453,,,,,302,livres,"1,5",Nantes -- 1768 -- Imports -- AD44_C717,,5,,,,,,,,0,,,,,,,,,
