numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,remarks
17,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Anguilles ,Marseille,Hollande,47,livres,5,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Baleine coupée,Marseille,Hollande,1810,livres,"0,2",doute sur le prix
19,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Cuir de Roussie,Marseille,Hollande,40,livres,"0,8",
20,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Crin,Marseille,Hollande,3385,livres,"0,25",
21,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Colle de poisson,Marseille,Hollande,56,livres,"0,6",
22,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Colle commune,Marseille,Hollande,1420,livres,"0,18",
23,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Ceruse,Marseille,Hollande,4500,livres,"0,15",
24,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Couperose verte,Marseille,Hollande,2825,livres,"0,05",
25,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Cuivre en planches,Marseille,Hollande,7300,livres,1,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Cannes a main,Marseille,Hollande,250,livres,"3,5",
27,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Camfre,Marseille,Hollande,34,livres,5,
28,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,1,1725,Imports,Charbon de terre,Marseille,Hollande,666,barils,"1,25",
29,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Dents d'elephants,Marseille,Hollande,43,livres,10,
30,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Etain,Marseille,Hollande,65,livres,"0,6",
31,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Eau forte,Marseille,Hollande,45,livres,"2,5",
32,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Eponges,Marseille,Hollande,33,livres,"0,75",
33,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Fayence,Marseille,Hollande,240,livres,"0,15",
34,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Garance,Marseille,Hollande,3165,livres,"0,38",
35,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Librairie,Marseille,Hollande,275,livres,2,
36,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Litarge,Marseille,Hollande,85,livres,"0,12",
37,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Miny,Marseille,Hollande,1370,livres,"0,13",
38,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Moulins a café,Marseille,Hollande,2,en nombre,5,
39,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Noir de fumée,Marseille,Hollande,560,livres,"0,5",
40,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Plomb en saumon,Marseille,Hollande,238125,livres,"0,13",
41,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Pipes a fumer,Marseille,Hollande,830,grosses,"2,75",
42,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Terraillon de gray,Marseille,Hollande,665,livres,2,
43,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Terramerita,Marseille,Hollande,375,livres,"0,5",
44,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,terre d'ombre,Marseille,Hollande,100,livres,"0,1",
45,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Anchoix,Marseille,Espagne,26,barils,4,
46,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Anchoix,Marseille,Espagne,54370,livres,"0,2",
47,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Anis vert,Marseille,Espagne,42520,livres,"0,25",premier mot illisible
48,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Bois de reglisse,Marseille,Espagne,14450,livres,"0,2",
49,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Baume du Perou,Marseille,Espagne,33,livres,12,
50,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Chocolat,Marseille,Espagne,210,livres,2,
51,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Cumin,Marseille,Espagne,12025,livres,"0,16",
52,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Citrons et oranges,Marseille,Espagne,1500,,1,doute sur les unités
53,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Eau de fleur d'orange,Marseille,Espagne,10,livres,1,
54,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Huile d'olive,Marseille,Espagne,50225,livres,"0,26",
55,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Jus de reglisse,Marseille,Espagne,4400,livres,"0,23",
56,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Jalap,Marseille,Espagne,3020,livres,1,
57,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Noisettes,Marseille,Espagne,18350,livres,"0,05",
58,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Poisson salé,Marseille,Espagne,39925,livres,"0,2",
59,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Pignons cassés,Marseille,Espagne,210,livres,"0,2",
60,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Quinquina,Marseille,Espagne,655,livres,"2,25",
61,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Raisins secs,Marseille,Espagne,285,livres,"0,08",
62,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Sardines salées,Marseille,Espagne,700,en nombre,"0,004",
63,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Salsepareille,Marseille,Espagne,50,livres,"1,3",
64,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Vanille,Marseille,Espagne,55,livres,30,
65,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Arquifou,Marseille,Espagne,162300,livres,"0,19",
66,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Auf,Marseille,Espagne,475475,livres,"0,1",
67,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Brun rouge,Marseille,Espagne,13475,livres,"0,025",
68,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Balais de palme grands,Marseille,Espagne,360,douzaine,"0,4",
69,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Balais de palme grands,Marseille,Espagne,13725,livres,"0,025",
70,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Balais de palme petits,Marseille,Espagne,400,douzaines,"0,25",
71,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Couvertures fil et coton,Marseille,Espagne,20,en nombre,10,
72,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Cochenille,Marseille,Espagne,53,livres,18,
73,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Cire jaune,Marseille,Espagne,40,livres,"1,1",
74,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Couffins de palme,Marseille,Espagne,34,douzaine,"1,5",
75,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Couffins de palme,Marseille,Espagne,3825,livres,"0,09",
76,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Cordes d'auf,Marseille,Espagne,40,douzaine,1,
77,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Cornes de mouton,Marseille,Espagne,5000,livres,"0,025",
78,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Huile de poisson,Marseille,Espagne,1300,livres,"0,6",
79,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Herbes a teindre,Marseille,Espagne,1500,livres,"0,75",
80,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Laine de vigogne,Marseille,Espagne,1525,livres,10,
81,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Laine lavée,Marseille,Espagne,93275,livres,"0,8",
82,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Laine pellade,Marseille,Espagne,113000,livres,"0,2",
83,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Liege,Marseille,Espagne,72325,livres,"0,1",
84,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Mouchoirs de soie,Marseille,Espagne,4,douzaine,24,
85,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Nattes de paille,Marseille,Espagne,1,douzaine,12,
86,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Os de seiche,Marseille,Espagne,125,livres,"0,04",
87,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Poix noire,Marseille,Espagne,250,livres,"0,06",
88,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Pierre de moulin,Marseille,Espagne,6,en nombre,40,
89,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Rouge d'Espagne en play,Marseille,Espagne,17,douzaines,5,
90,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Rusque,Marseille,Espagne,69725,livres,"2,15",
91,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Soie,Marseille,Espagne,58680,livres,10,
92,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Soude,Marseille,Espagne,124550,livres,"0,0325",
93,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Tabac d'Espagne,Marseille,Espagne,2965,livres,1,
94,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Terra merita,Marseille,Espagne,335,livres,"0,5",
95,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,terre d'ombre,Marseille,Espagne,160,livres,"0,1",
96,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Verrerie,Marseille,Espagne,,,80,
97,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Avoine,Marseille,Piemont,8,settiers,"4,5",
98,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Anchoix,Marseille,Piemont,53,barils,4,
99,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Aulx,Marseille,Piemont,4000,en nombre,"0,01",
100,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Bled froment,Marseille,Piemont,305,charges,20,
101,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Bled seigle,Marseille,Piemont,9,settiers,6,
102,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,2,1725,Imports,Bœuf en vie,Marseille,Piemont,274,en nombre,60,
103,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Brebis,Marseille,Piemont,450,en nombre,4,
104,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Beurre,Marseille,Piemont,220,livres,"0,3",
105,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Confitures,Marseille,Piemont,450,livres,"0,6",
106,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Chataignes biscotes,Marseille,Piemont,9825,livres,"0,07",
107,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Chataignes fraiches,Marseille,Piemont,1550,livres,"0,035",
108,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Citrons ,Marseille,Piemont,7,charges,4,
109,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Citrons ,Marseille,Piemont,5650,en nombre,"0,004",
110,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Drogues communes,Marseille,Piemont,40,livres,"0,02",
111,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Eau de fleur d'orange,Marseille,Piemont,400,livres,1,
112,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Fromage,Marseille,Piemont,4375,livres,"0,15",
113,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Figues,Marseille,Piemont,200,livres,"0,05",
114,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Graisse,Marseille,Piemont,400,livres,"0,2",
115,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Huile d'olive,Marseille,Piemont,2900,livres,"0,26",
116,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Lard,Marseille,Piemont,20,livres,"0,2",
117,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Moutons en vie,Marseille,Piemont,266,en nombre,8,
118,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Maquets,Marseille,Piemont,417,barils,"0,5",
119,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1725.csv,Local,3,1725,Imports,Orge,Marseille,Piemont,1,settiers,"4,5",
