numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,Unité de poids/quantité,prix_unitaire,value,probleme,remarks
228,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Douelles a toneaux,Marseille,Italie,"300,00",canelles,"4,0000000","1200,00","0,00",
229,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Douelles a toneaux,Marseille,Italie,"900,00",pieces ,"0,0500000","45,00","0,00",
230,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Ecorce d'orange seiche,Marseille,Italie,"1 375,00",livres,"0,0600000","82,50","0,00",
231,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Galles legeres,Marseille,Italie,"20,00",livres,"0,2500000","5,00","0,00",
232,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Graine de choux,Marseille,Italie,"15,00",livres,"0,5000000","7,50","0,00",
233,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Graine de verre a soye,Marseille,Italie,"4,00",livres,"6,0000000","24,00","0,00",
234,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Huille terebentine,Marseille,Italie,"22,00",livres,"0,1200000","2,60","-0,04",
235,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Iris,Marseille,Italie,"3 880,00",livres,"0,1600000","620,80","0,00",
236,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Jaune de naples,Marseille,Italie,"65,00",livres,"0,7500000","48,75","0,00",
237,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Lin cru,Marseille,Italie,"340,00",livres,"0,2500000","85,00","0,00",
238,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Laine surge,Marseille,Italie,"675,00",livres,"0,3000000","202,50","0,00",
239,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Marbre brun,Marseille,Italie,"1 800,00",livres,"0,0200000","36,00","0,00",
240,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Mine de plomb,Marseille,Italie,"4 825,00",livres,"0,1600000","772,00","0,00",
241,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Peaux de chien de mer ,Marseille,Italie,"145,00",livres,"0,4000000","58,00","0,00",
242,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Platre,Marseille,Italie,"14,00",charges,"0,3500000","4,90","0,00",
243,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Planches de sapin,Marseille,Italie,"7,00",douzaines,"8,0000000","56,00","0,00",
244,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Rames a bareau,Marseille,Italie,"6,00",douzaines,"30,0000000","180,00","0,00",
245,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Rusques,Marseille,Italie,"415,00",livres,"0,0300000","12,45","0,00",
246,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Soyes crües,Marseille,Italie,"89 773,00",livres,"10,0000000","897730,00","0,00",
247,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Souffre,Marseille,Italie,"54 750,00",livres,"0,1000000","5475,00","0,00",
248,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Ancres de fer,Marseille,Italie,"334,00",livres,"0,1000000","33,40","0,00",
249,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Agoutals de bois,Marseille,Italie,"3,00",douzaines,"2,0000000","6,00","0,00",Agoutal: écope en provençal.
250,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Bas de soye,Marseille,Italie,"6,00",paires,"9,0000000","54,00","0,00",
251,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Boutons de fil,Marseille,Italie,"62,00",livres,"6,0000000","372,00","0,00",
252,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Barrils vuides,Marseille,Italie,"2,00",cents ,"20,0000000","40,00","0,00",
253,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Batimens de mer vieux,Marseille,Italie,"2,00",en nombre,"500,0000000","1000,00","0,00",
254,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Cotton filé,Marseille,Italie,"25,00",livres,"0,9000000","22,50","0,00",
255,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Chandelle,Marseille,Italie,"250,00",livres,"0,2500000","62,50","0,00",
256,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Chapeaux de paille,Marseille,Italie,"26,00",douzaines,"9,0000000","234,00","0,00",
257,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Corbeilles d'osier,Marseille,Italie,"105,00",douzaines,"1,5000000","157,50","0,00",
258,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Couffins de palme,Marseille,Italie,"251,00",douzaines,"3,0000000","753,00","0,00",
259,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Etoffe or et argent,Marseille,Italie,"2,00",livres,"80,0000000","160,00","0,00",
260,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Etoffe de soye,Marseille,Italie,"204,50",livres,"40,0000000","8180,00","0,00",
261,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Evantails de paille,Marseille,Italie,"58,00",douzaines,"1,0000000","58,00","0,00",
262,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Fil cru ,Marseille,Italie,"115,00",livres,"1,2500000","143,75","0,00",
263,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,5,1726,Imports,Fil a voile,Marseille,Italie,"500,00",livres,"0,5000000","250,00","0,00",
264,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Filet a pescher,Marseille,Italie,"17,00",estimée,"1,7647059","30,00","0,00",17 livres estimée à 30 livres
265,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Fleurs artificielles,Marseille,Italie,"25,00",livres,"30,0000000","750,00","0,00",
266,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Huille de jasmin,Marseille,Italie,"510,00",livres,"0,8000000","408,00","0,00",
267,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Mercerie,Marseille,Italie,"45,00",livres,"1,2500000","56,25","0,00",
268,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Mortiers de marbre,Marseille,Italie,"93,00",ordinaires,"0,5000000","41,50","-5,00",erreur de calcul
269,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Mortiers de marbre,Marseille,Italie,"839,00",petits,"0,4000000","335,60","0,00",
270,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Marbre en sable,Marseille,Italie,"5 600,00",livres,"0,0400000","224,00","0,00",
271,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Parapluies,Marseille,Italie,"609,00",en nombre,"3,0000000","1827,00","0,00",
272,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Plan de rouge d'Espagne,Marseille,Italie,"86,00",douzaines,"4,0000000","344,00","0,00",
273,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Savon,Marseille,Italie,"550,00",livres,"0,2000000","110,00","0,00",
274,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Toille de crin,Marseille,Italie,"23,00",livres,"0,3500000","8,05","0,00",
275,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Toille serpilliere,Marseille,Italie,"5,00",pieces ,"25,0000000","125,00","0,00",
276,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Tableaux grossiers ,Marseille,Italie,"12,00",en nombre,"1,5000000","18,00","0,00",
277,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Tableaux grossiers ,Marseille,Italie,"103,00",livres,"0,5000000","51,50","0,00",
278,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Toneaux cerclés de fer,Marseille,Italie,"2,00",en nombre,"8,0000000","16,00","0,00",
279,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Toneaux cercles de bois,Marseille,Italie,"2,00",charges,"8,0000000","16,00","0,00",
280,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Tonneaux cercles de bois,Marseille,Italie,"311,00",en nombre,"4,0000000","1244,00","0,00",
281,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Velours,Marseille,Italie,"25,00",en valeur,"0,0000000","25,00","25,00",en valeur de 25
282,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Verres a boire,Marseille,Italie,"4 825,00",livres,"0,3000000","1447,50","0,00",
283,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Verre a vitres,Marseille,Italie,"450,00",livres,"0,4000000","180,00","0,00",
284,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Bled froment,Marseille,Levant,"14 727,00",charges,"13,0000000","191451,00","0,00",
285,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Caffé,Marseille,Levant,"223,00",livres,"3,0000000","669,00","0,00",
286,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Dattes,Marseille,Levant,"11 150,00",livres,"0,1500000","1672,50","0,00",
287,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Huille d'olive,Marseille,Levant,"85 975,00",livres,"0,2500000","21493,75","0,00",
288,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Ris,Marseille,Levant,"455 700,00",livres,"0,1000000","45570,00","0,00",
289,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Raisin sec,Marseille,Levant,"2 675,00",livres,"0,1400000","374,50","0,00",
290,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Raisin de corinte,Marseille,Levant,"14 000,00",livres,"0,1200000","1680,00","0,00",
291,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Sorbec,Marseille,Levant,"10,00",livres,"1,0000000","10,00","0,00",
292,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Assafetida,Marseille,Levant,"810,00",livres,"1,7500000","1417,50","0,00",
293,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Benjoin,Marseille,Levant,"110,00",livres,"2,5000000","275,00","0,00",
294,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Baume,Marseille,Levant,"20,00",livres,"10,0000000","200,00","0,00",
295,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Bois de gayac,Marseille,Levant,"175,00",livres,"0,1800000","31,50","0,00",
296,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Bois de campesche,Marseille,Levant,"15 900,00",livres,"0,1500000","2385,00","0,00",
297,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Balais de palme,Marseille,Levant,"436,00",douzaines,"2,0000000","872,00","0,00",
298,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Balais de palme,Marseille,Levant,"729,00",douzaines,"1,5000000","1093,50","0,00",
299,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cuirs de buffle en poil,Marseille,Levant,"717,00",en nombre,"18,0000000","12906,00","0,00",
300,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cuirs de bœuf en poil,Marseille,Levant,"9 410,00",en nombre,"14,0000000","131740,00","0,00",
301,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cuirs de vache en poil,Marseille,Levant,"13 782,00",en nombre,"8,0000000","110256,00","0,00",
302,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cuirs petits en poil,Marseille,Levant,"2 434,00",en nombre,"6,0000000","14604,00","0,00",
303,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cuirs restan,Marseille,Levant,"37 500,00",livres,"0,0500000","1875,00","0,00",
304,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cotton en laine,Marseille,Levant,"154 200,00",livres,"0,4000000","61680,00","0,00",
305,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cotton filé fin,Marseille,Levant,"19 410,00",livres,"1,0000000","19410,00","0,00",
306,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cotton filé comun,Marseille,Levant,"459 475,00",livres,"0,7500000","344606,25","0,00",
307,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Caffetieres,Marseille,Levant,"6,00",en nombre,"2,0000000","12,00","0,00",
308,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cuivre tangou,Marseille,Levant,"7 372,00",livres,"0,7000000","5160,40","0,00",
309,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cire jaune,Marseille,Levant,"84 150,00",livres,"1,1500000","96772,50","0,00",
310,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cendre de levant,Marseille,Levant,"161,00",sacs,"25,0000000","4025,00","0,00",
311,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Cornes de mouton,Marseille,Levant,"43 220,00",paires,"0,0250000","1080,50","0,00",
312,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Corne brute,Marseille,Levant,"10 400,00",livres,"0,1500000","1560,00","0,00",
313,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Collequinte,Marseille,Levant,"787,00",livres,"1,2500000","983,75","0,00",
314,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Camfre,Marseille,Levant,"84,00",livres,"6,0000000","504,00","0,00",
315,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Casse,Marseille,Levant,"52,00",livres,"0,2000000","10,40","0,00",
316,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Coque levant ,Marseille,Levant,"305,00",livres,"2,0000000","610,00","0,00",
317,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Drogues communes,Marseille,Levant,"16 160,00",livres,"1,0000000","16160,00","0,00",
318,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Encens,Marseille,Levant,"800,00",livres,"0,4000000","320,00","0,00",
319,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Encens en grabeau,Marseille,Levant,"190,00",livres,"0,1000000","19,00","0,00",
320,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Eponges fines,Marseille,Levant,"822,00",livres,"1,2500000","1027,50","0,00",
321,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,6,1726,Imports,Eponges comunes,Marseille,Levant,"7 065,00",livres,"0,7000000","4945,50","0,00",
322,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Fleur de souffre,Marseille,Levant,"25,00",livres,"0,2500000","6,25","0,00",
323,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Fil de poil de chevre ,Marseille,Levant,"5 530,00",livres,"3,0000000","16590,00","0,00",
324,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Fil cru,Marseille,Levant,"146,00",livres,"0,7500000","109,50","0,00",
325,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Graine d'oiseau,Marseille,Levant,"4 610,00",livres,"0,0400000","184,40","0,00",
326,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Galles d'alep,Marseille,Levant,"96 640,00",livres,"0,5500000","53152,00","0,00",
327,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Gomme thurique,Marseille,Levant,"31 425,00",livres,"0,2500000","7856,25","0,00",
328,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Gomme arabique,Marseille,Levant,"11 000,00",livres,"0,2000000","2200,00","0,00",
329,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Gomme a dragan,Marseille,Levant,"2 240,00",livres,"0,7000000","1568,00","0,00",
330,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Gomme elemy,Marseille,Levant,"880,00",livres,"2,5000000","2200,00","0,00",
331,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Galbanum,Marseille,Levant,"20,00",livres,"1,5000000","30,00","0,00",
332,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Hermodates,Marseille,Levant,"250,00",livres,"0,1800000","45,00","0,00",
333,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Jujubes,Marseille,Levant,"75,00",livres,"0,1500000","11,25","0,00",
334,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Jus de citron,Marseille,Levant,"75 500,00",livres,"0,0600000","4530,00","0,00",
335,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Issarions de palme,Marseille,Levant,"600,00",livres,"0,1500000","90,00","0,00",
336,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Laine de vigogne,Marseille,Levant,"1 612,00",livres,"4,0000000","6448,00","0,00",
337,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Laine rousse,Marseille,Levant,"175,00",livres,"4,0000000","700,00","0,00",
338,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Laine pellade ,Marseille,Levant,"5 825,00",livres,"0,2500000","1456,25","0,00",
339,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Laine surge,Marseille,Levant,"287 275,00",livres,"0,2000000","57455,00","0,00",
340,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Lin peigné,Marseille,Levant,"1 112,00",livres,"0,6000000","667,20","0,00",
341,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Lin cru,Marseille,Levant,"2 825,00",livres,"0,2000000","565,00","0,00",
342,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Mecocan,Marseille,Levant,"43,00",livres,"2,5000000","107,50","0,00",
343,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,7,1726,Imports,Noix vomiques,Marseille,Levant,"50,00",livres,"0,1800000","9,00","0,00",
