numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,Unité de poids/quantité,prix_unitaire,value,probleme,remarks
43,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Anchois,Marseille,Espagne,"62 280,00",livres,"0,2000000","12456,00","0,00",
44,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Anis verd,Marseille,Espagne,"30 430,00",livres,"0,3000000","9129,00","0,00",
45,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Amandes cassées,Marseille,Espagne,"75,00",livres,"0,1800000","13,50","0,00",
46,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Aulx,Marseille,Espagne,"1,00",charges,"2,0000000","2,00","0,00",
47,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Chocolat,Marseille,Espagne,"3,00",livres,"2,5000000","7,50","0,00",
48,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Cumin,Marseille,Espagne,"6 365,00",livres,"0,1800000","1145,70","0,00",
49,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Capres,Marseille,Espagne,"475,00",livres,"0,1500000","71,25","0,00",
50,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Huile d'olive,Marseille,Espagne,"1 416,00",livres,"0,2500000","354,00","0,00",
51,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Jus de reglisse,Marseille,Espagne,"2 675,00",livres,"0,3000000","802,50","0,00",
52,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Noisettes,Marseille,Espagne,"15 390,00",livres,"0,0600000","923,40","0,00",
53,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Olives,Marseille,Espagne,"69,00",barils,"1,5000000","103,50","0,00",
54,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Olives,Marseille,Espagne,"250,00",livres,"0,5000000","125,00","0,00",
55,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Poisson salé,Marseille,Espagne,"53 700,00",livres,"0,1800000","9666,00","0,00",
56,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Pignons cassés,Marseille,Espagne,"72,00",livres,"0,2500000","18,00","0,00",
57,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Reglisse,Marseille,Espagne,"24 900,00",livres,"0,1200000","2988,00","0,00",
58,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Sardines,Marseille,Espagne,"23 200,00",nombre,"0,0050000","116,00","0,00",
59,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Tourons,Marseille,Espagne,"16,00",livres,"0,4000000","6,40","0,00",
