numrodeligne,dataentryby,source,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Remarques
49,Hasna,CCI Marseille - I 29,2,1741,Import,Canons de fer vieux,Marseille,Hollande,"36 000,00",livres,"0,1000000","3600,00","0,00",
50,Hasna,CCI Marseille - I 29,2,1741,Import,Cabarets a caffé,Marseille,Hollande,"160,00",nombre,"8,0000000","1280,00","0,00",
51,Hasna,CCI Marseille - I 29,2,1741,Import,Charbon de terre,Marseille,Hollande,"481,00",barrils,"4,0000000","1924,00","0,00",
52,Hasna,CCI Marseille - I 29,2,1741,Import,Charbon de terre,Marseille,Hollande,"3 110,00",mesures,"1,0000000","3110,00","0,00",
53,Hasna,CCI Marseille - I 29,2,1741,Import,Charbon de terre,Marseille,Hollande,"330,00",chapeaux,"0,5000000","165,00","0,00",
54,Hasna,CCI Marseille - I 29,2,1741,Import,Cendre gravelée,Marseille,Hollande,"2 200,00",livres,"0,1000000","220,00","0,00",
55,Hasna,CCI Marseille - I 29,2,1741,Import,Chaises de paille,Marseille,Hollande,"3,00",douzaines,"6,0000000","18,00","0,00",
56,Hasna,CCI Marseille - I 29,2,1741,Import,Drogueries,Marseille,Hollande,"35 560,00",livres,"1,0000000","35560,00","0,00",
57,Hasna,CCI Marseille - I 29,2,1741,Import,Etain neuf,Marseille,Hollande,"63 560,00",livres,"1,1000000","69916,00","0,00",
58,Hasna,CCI Marseille - I 29,2,1741,Import,Fromage,Marseille,Hollande,"16 960,00",livres,"0,3000000","5088,00","0,00",
59,Hasna,CCI Marseille - I 29,2,1741,Import,Fil a coudre,Marseille,Hollande,"600,00",livres,"2,5000000","1500,00","0,00",
60,Hasna,CCI Marseille - I 29,2,1741,Import,Fil de leton,Marseille,Hollande,"2 960,00",livres,"1,4000000","4144,00","0,00",
61,Hasna,CCI Marseille - I 29,2,1741,Import,Fer blanc,Marseille,Hollande,"44 000,00",livres,"0,6000000","26400,00","0,00",
62,Hasna,CCI Marseille - I 29,2,1741,Import,Fer en barre,Marseille,Hollande,"20 050,00",livres,"0,1450000","2907,00","-0,25",arrondi
63,Hasna,CCI Marseille - I 29,2,1741,Import,Fer en plaques,Marseille,Hollande,"68 300,00",livres,"0,1000000","6830,00","0,00",
64,Hasna,CCI Marseille - I 29,2,1741,Import,Fayence,Marseille,Hollande,"1 700,00",livres,"0,5000000","850,00","0,00",
65,Hasna,CCI Marseille - I 29,2,1741,Import,Geroffle,Marseille,Hollande,"26 575,00",livres,"8,0000000","212600,00","0,00",
66,Hasna,CCI Marseille - I 29,2,1741,Import,Garence,Marseille,Hollande,"7 400,00",livres,"0,4000000","2960,00","0,00",
67,Hasna,CCI Marseille - I 29,2,1741,Import,Graine de jardin,Marseille,Hollande,"2 000,00",livres,"1,2500000","2500,00","0,00",
68,Hasna,CCI Marseille - I 29,2,1741,Import,Harens fumes,Marseille,Hollande,"1 775,00",barrils,"24,0000000","42600,00","0,00",
69,Hasna,CCI Marseille - I 29,2,1741,Import,Huile de poisson,Marseille,Hollande,"9 000,00",livres,"0,2000000","1800,00","0,00",
70,Hasna,CCI Marseille - I 29,2,1741,Import,Jambon,Marseille,Hollande,"600,00",livres,"0,5000000","300,00","0,00",
71,Hasna,CCI Marseille - I 29,2,1741,Import,Jus de limon,Marseille,Hollande,"18 000,00",livres,"0,0600000","1080,00","0,00",
72,Hasna,CCI Marseille - I 29,2,1741,Import,Jalap,Marseille,Hollande,"1 500,00",livres,"2,5000000","3750,00","0,00",
73,Hasna,CCI Marseille - I 29,2,1741,Import,Joncs,Marseille,Hollande,"50,00",douzaines,"80,0000000","4000,00","0,00",
74,Hasna,CCI Marseille - I 29,2,1741,Import,Langues fumes,Marseille,Hollande,"400,00",livres,"0,6000000","240,00","0,00",
75,Hasna,CCI Marseille - I 29,2,1741,Import,Liqueurs,Marseille,Hollande,"2 500,00",livres,"0,7500000","1875,00","0,00",
76,Hasna,CCI Marseille - I 29,2,1741,Import,Litarge d'or,Marseille,Hollande,"3 600,00",livres,"0,2000000","720,00","0,00",
77,Hasna,CCI Marseille - I 29,2,1741,Import,Lin cru,Marseille,Hollande,"650,00",livres,"1,0000000","650,00","0,00",
78,Hasna,CCI Marseille - I 29,2,1741,Import,Livres en feuille,Marseille,Hollande,"2 050,00",livres,"0,1000000","205,00","0,00",
79,Hasna,CCI Marseille - I 29,2,1741,Import,Morüe verte,Marseille,Hollande,"28 100,00",livres,"0,1750000","4917,00","-0,50",arrondi
80,Hasna,CCI Marseille - I 29,2,1741,Import,Miny,Marseille,Hollande,"16 860,00",livres,"0,2000000","3372,00","0,00",
81,Hasna,CCI Marseille - I 29,2,1741,Import,Muscade,Marseille,Hollande,"2 700,00",livres,"8,0000000","21600,00","0,00",
82,Hasna,CCI Marseille - I 29,2,1741,Import,Mastic,Marseille,Hollande,"480,00",livres,"2,5000000","1200,00","0,00",
83,Hasna,CCI Marseille - I 29,2,1741,Import,Mercerie,Marseille,Hollande,"38 600,00",livres,"2,0000000","77200,00","0,00",
84,Hasna,CCI Marseille - I 29,2,1741,Import,Moulins a caffé,Marseille,Hollande,"1 290,00",douzaines,"6,0000000","7740,00","0,00","107,50 douzaines à 6 livres la piece"
85,Hasna,CCI Marseille - I 29,2,1741,Import,Mats de vaisseaux,Marseille,Hollande,"6,00",nombre,"100,0000000","600,00","0,00",
86,Hasna,CCI Marseille - I 29,2,1741,Import,Mats pour galeres,Marseille,Hollande,"81,00",nombre,"200,0000000","16200,00","0,00",
87,Hasna,CCI Marseille - I 29,2,1741,Import,Noix vomiques,Marseille,Hollande,"480,00",livres,"0,5000000","240,00","0,00",
88,Hasna,CCI Marseille - I 29,2,1741,Import,Noir de fumée,Marseille,Hollande,"1 000,00",livres,"0,4000000","400,00","0,00",
89,Hasna,CCI Marseille - I 29,2,1741,Import,Orpiment,Marseille,Hollande,"540,00",livres,"1,0000000","540,00","0,00",
90,Hasna,CCI Marseille - I 29,2,1741,Import,Poivre,Marseille,Hollande,"423 650,00",livres,"1,2000000","508380,00","0,00",
91,Hasna,CCI Marseille - I 29,2,1741,Import,Poivre girofle,Marseille,Hollande,"860,00",livres,"0,8000000","688,00","0,00",
92,Hasna,CCI Marseille - I 29,2,1741,Import,Poivre long,Marseille,Hollande,"300,00",livres,"1,5000000","450,00","0,00",
93,Hasna,CCI Marseille - I 29,2,1741,Import,Poudre a canon,Marseille,Hollande,"7 700,00",livres,"0,6000000","4620,00","0,00",
94,Hasna,CCI Marseille - I 29,3,1741,Import,Pelleterie commune crue,Marseille,Hollande,"3 550,00",livres,"1,2500000","4435,00","-2,50",arrondi
95,Hasna,CCI Marseille - I 29,3,1741,Import,Peaux de veau en poil,Marseille,Hollande,"360,00",livres,"0,5000000","180,00","0,00",
96,Hasna,CCI Marseille - I 29,3,1741,Import,Peaux de lievre,Marseille,Hollande,"950,00",livres,"3,0000000","2850,00","0,00",
97,Hasna,CCI Marseille - I 29,3,1741,Import,Papier grossier,Marseille,Hollande,"20,00",rames,"1,5000000","30,00","0,00",
98,Hasna,CCI Marseille - I 29,3,1741,Import,Porcelaines,Marseille,Hollande,"2 250,00",livres,"5,0000000","11250,00","0,00",
99,Hasna,CCI Marseille - I 29,3,1741,Import,Pipes a fumer,Marseille,Hollande,"2 444,00",grosses,"3,0000000","7332,00","0,00",
100,Hasna,CCI Marseille - I 29,3,1741,Import,Plomb en saumon,Marseille,Hollande,"244 925,00",livres,"0,2000000","48985,00","0,00",
101,Hasna,CCI Marseille - I 29,3,1741,Import,Pinceaux a gaudron,Marseille,Hollande,"8,00",douzaines,"2,0000000","16,00","0,00",
102,Hasna,CCI Marseille - I 29,3,1741,Import,Planches de sapin,Marseille,Hollande,"50,00",douzaines,"9,0000000","450,00","0,00",
103,Hasna,CCI Marseille - I 29,3,1741,Import,Quinquina,Marseille,Hollande,"1 800,00",livres,"4,0000000","7200,00","0,00",
104,Hasna,CCI Marseille - I 29,3,1741,Import,Quincailles,Marseille,Hollande,"4 600,00",livres,"0,5000000","2300,00","0,00",
105,Hasna,CCI Marseille - I 29,3,1741,Import,Ruban de mercerie,Marseille,Hollande,"2 415,00",livres,"35,0000000","84525,00","0,00",
106,Hasna,CCI Marseille - I 29,3,1741,Import,Roses de dictam,Marseille,Hollande,"500,00",livres,"0,4000000","200,00","0,00",
107,Hasna,CCI Marseille - I 29,3,1741,Import,Rocou,Marseille,Hollande,"400,00",livres,"0,6000000","240,00","0,00",
108,Hasna,CCI Marseille - I 29,3,1741,Import,Saumon salé,Marseille,Hollande,"700,00",livres,"0,3000000","210,00","0,00",
109,Hasna,CCI Marseille - I 29,3,1741,Import,Spermacety,Marseille,Hollande,"400,00",livres,"2,5000000","1000,00","0,00",
110,Hasna,CCI Marseille - I 29,3,1741,Import,Stocfiche,Marseille,Hollande,"6 480,00",livres,"0,1500000","972,00","0,00",
111,Hasna,CCI Marseille - I 29,3,1741,Import,Sublimé,Marseille,Hollande,"800,00",livres,"5,0000000","4000,00","0,00",
112,Hasna,CCI Marseille - I 29,3,1741,Import,Salsepareille,Marseille,Hollande,"1 000,00",livres,"0,9000000","900,00","0,00",
113,Hasna,CCI Marseille - I 29,3,1741,Import,Semence d'encens,Marseille,Hollande,"50,00",livres,"1,5000000","75,00","0,00",
114,Hasna,CCI Marseille - I 29,3,1741,Import,Saffre,Marseille,Hollande,"266,00",livres,"0,0500000","13,00","-0,30",arrondi
115,Hasna,CCI Marseille - I 29,3,1741,Import,The,Marseille,Hollande,"1 504,00",livres,"5,0000000","7520,00","0,00",
116,Hasna,CCI Marseille - I 29,3,1741,Import,Tabac en feuilles,Marseille,Hollande,"70 000,00",livres,"0,2000000","14000,00","0,00",
117,Hasna,CCI Marseille - I 29,3,1741,Import,Tournesol,Marseille,Hollande,"600,00",livres,"0,6000000","360,00","0,00",
118,Hasna,CCI Marseille - I 29,3,1741,Import,Toille d'holande,Marseille,Hollande,"20 100,00",livres,"4,0000000","80400,00","0,00",
119,Hasna,CCI Marseille - I 29,3,1741,Import,Toille a voile,Marseille,Hollande,"34,00",pieces,"25,0000000","850,00","0,00",
120,Hasna,CCI Marseille - I 29,3,1741,Import,Tables a thé,Marseille,Hollande,"150,00",douzaines,"30,0000000","4500,00","0,00",
121,Hasna,CCI Marseille - I 29,3,1741,Import,Terraille,Marseille,Hollande,"400,00",livres,"0,2000000","80,00","0,00",
122,Hasna,CCI Marseille - I 29,3,1741,Import,Vin de canary,Marseille,Hollande,"1,00",millier,"90,0000000","90,00","0,00",
123,Hasna,CCI Marseille - I 29,3,1741,Import,Vitriol,Marseille,Hollande,"400,00",livres,"0,6000000","240,00","0,00",
124,Hasna,CCI Marseille - I 29,3,1741,Import,Verres cristalins,Marseille,Hollande,"1 450,00",livres,"2,0000000","2900,00","0,00",
125,Hasna,CCI Marseille - I 29,3,1741,Import,Yeux d'ecrevice,Marseille,Hollande,"250,00",livres,"1,2500000","312,00","-0,50",
126,Hasna,CCI Marseille - I 29,3,1741,Import,Capres,Marseille,Angleterre,"4 600,00",livres,"0,2200000","1012,00","0,00",
127,Hasna,CCI Marseille - I 29,3,1741,Import,Cire jaune,Marseille,Angleterre,"129 449,00",livres,"1,2000000","155338,00","-0,80",
128,Hasna,CCI Marseille - I 29,3,1741,Import,Cuirs en poil,Marseille,Angleterre,"528,00",livres,"18,0000000","9504,00","0,00",
129,Hasna,CCI Marseille - I 29,3,1741,Import,Cuivre vieux,Marseille,Angleterre,"2 222,00",livres,"1,0000000","2222,00","0,00",
130,Hasna,CCI Marseille - I 29,3,1741,Import,Cornes de mouton,Marseille,Angleterre,"250,00",paires,"0,0250000","6,00","-0,25",
131,Hasna,CCI Marseille - I 29,3,1741,Import,Cendres comunes,Marseille,Angleterre,"975,00",livres,"0,0600000","58,00","-0,50",
132,Hasna,CCI Marseille - I 29,3,1741,Import,Emerie en poudre,Marseille,Angleterre,"1 100,00",livres,"0,0500000","55,00","0,00",
133,Hasna,CCI Marseille - I 29,3,1741,Import,Escayolles,Marseille,Angleterre,"6 000,00",livres,"0,0600000","360,00","0,00",
134,Hasna,CCI Marseille - I 29,3,1741,Import,Etain neuf,Marseille,Angleterre,"150,00",livres,"1,1000000","165,00","0,00",
135,Hasna,CCI Marseille - I 29,3,1741,Import,Fil de laton,Marseille,Angleterre,"200,00",livres,"1,4000000","280,00","0,00",
136,Hasna,CCI Marseille - I 29,3,1741,Import,Liqueurs,Marseille,Angleterre,"1 000,00",livres,"0,7500000","750,00","0,00",
137,Hasna,CCI Marseille - I 29,3,1741,Import,Laine surge,Marseille,Angleterre,"12 575,00",livres,"0,4000000","5030,00","0,00",
138,Hasna,CCI Marseille - I 29,3,1741,Import,Morue seche,Marseille,Angleterre,"306 500,00",livres,"0,1500000","45975,00","0,00",
139,Hasna,CCI Marseille - I 29,3,1741,Import,Saumon salé,Marseille,Angleterre,"19 600,00",livres,"0,3000000","5880,00","0,00",
140,Hasna,CCI Marseille - I 29,3,1741,Import,Suif,Marseille,Angleterre,"5 920,00",livres,"0,4000000","2368,00","0,00",
141,Hasna,CCI Marseille - I 29,3,1741,Import,Salpetre,Marseille,Angleterre,"7 500,00",livres,"0,0600000","450,00","0,00",
142,Hasna,CCI Marseille - I 29,3,1741,Import,Vin muscat,Marseille,Angleterre,"2,00",milleroles,"40,0000000","80,00","0,00",
143,Hasna,CCI Marseille - I 29,3,1741,Import,Arsenic,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"900,00",livres,"0,3000000","270,00","0,00",
144,Hasna,CCI Marseille - I 29,3,1741,Import,Azur fin,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"13 900,00",livres,"5,0000000","69500,00","0,00",
145,Hasna,CCI Marseille - I 29,3,1741,Import,Ambre jaune,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"75,00",livres,"2,5000000","187,00","-0,50",arrondi
146,Hasna,CCI Marseille - I 29,3,1741,Import,Bœuf salé,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"1 200,00",livres,"0,2000000","240,00","0,00",
147,Hasna,CCI Marseille - I 29,3,1741,Import,Bray gras,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"400 800,00",livres,"0,1000000","40080,00","0,00",
148,Hasna,CCI Marseille - I 29,3,1741,Import,Bois de campeche,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"48 285,00",livres,"0,1500000","7248,00","5,25",arrondi
149,Hasna,CCI Marseille - I 29,3,1741,Import,Bois de Bresil,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"12 715,00",livres,"0,2500000","3178,00","-0,75",arrondi
150,Hasna,CCI Marseille - I 29,3,1741,Import,Confitures,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"364,00",livres,"1,0000000","364,00","0,00",
151,Hasna,CCI Marseille - I 29,3,1741,Import,Cumin,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"2 150,00",livres,"0,1700000","365,00","-0,50",arrondi
152,Hasna,CCI Marseille - I 29,3,1741,Import,Cire jaune,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"27 522,00",livres,"1,1500000","31650,00","-0,30",arrondi
153,Hasna,CCI Marseille - I 29,3,1741,Import,Chandelles,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"3 000,00",livres,"0,4000000","1200,00","0,00",
154,Hasna,CCI Marseille - I 29,3,1741,Import,Cuirs en poil,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"500,00",En nombre,"18,0000000","9000,00","0,00",
155,Hasna,CCI Marseille - I 29,3,1741,Import,Chanvre cru,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"153 325,00",livres,"0,1700000","26065,00","-0,25",arrondi
156,Hasna,CCI Marseille - I 29,3,1741,Import,Cuivre ouvré,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"2 472,00",livres,"1,6000000","3955,00","-0,20",arrondi
157,Hasna,CCI Marseille - I 29,3,1741,Import,Cornes de mouton,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"5 100,00",paires,"0,0250000","127,00","-0,50",arrondi
158,Hasna,CCI Marseille - I 29,3,1741,Import,Charbon de terre,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"600,00",mesures,"1,0000000","600,00","0,00",
159,Hasna,CCI Marseille - I 29,4,1741,Import,Drogueries,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"5 310,00",livres,"1,0000000","5310,00","0,00",
160,Hasna,CCI Marseille - I 29,4,1741,Import,Fil de tisserans,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"3 000,00",livres,"0,3000000","900,00","0,00",
161,Hasna,CCI Marseille - I 29,4,1741,Import,Fil de laton,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"70 925,00",livres,"1,4000000","99295,00","0,00",
162,Hasna,CCI Marseille - I 29,4,1741,Import,Fil de fer,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"3 600,00",livres,"0,5000000","1800,00","0,00",
163,Hasna,CCI Marseille - I 29,4,1741,Import,Fer blanc,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"26 000,00",livres,"0,6000000","15600,00","0,00",
164,Hasna,CCI Marseille - I 29,4,1741,Import,Fer en barres,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"1 331 000,00",livres,"0,1450000","192995,00","0,00",
165,Hasna,CCI Marseille - I 29,4,1741,Import,Gaudron,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"325 025,00",livres,"0,0900000","29252,00","-0,25",arrondi
166,Hasna,CCI Marseille - I 29,4,1741,Import,Harans sors,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"933,00",barrils,"24,0000000","22392,00","0,00",
167,Hasna,CCI Marseille - I 29,4,1741,Import,Herbes d'orseille,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"30 100,00",livres,"0,7500000","22575,00","0,00",
168,Hasna,CCI Marseille - I 29,4,1741,Import,Litarge d'or et d'argent,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"900,00",livres,"0,2000000","180,00","0,00",
169,Hasna,CCI Marseille - I 29,4,1741,Import,Muscades,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"400,00",livres,"8,0000000","3200,00","0,00",
170,Hasna,CCI Marseille - I 29,4,1741,Import,Momie,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"600,00",livres,"0,5000000","300,00","0,00",
171,Hasna,CCI Marseille - I 29,4,1741,Import,Mercerie,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"1 200,00",livres,"2,0000000","2400,00","0,00",
172,Hasna,CCI Marseille - I 29,4,1741,Import,Noir de fumée,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"7 200,00",livres,"0,4000000","2880,00","0,00",
173,Hasna,CCI Marseille - I 29,4,1741,Import,Percil de macedoine,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"50,00",livres,"5,0000000","250,00","0,00",
174,Hasna,CCI Marseille - I 29,4,1741,Import,Peleterie crüe,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"300,00",livres,"1,2500000","375,00","0,00",
175,Hasna,CCI Marseille - I 29,4,1741,Import,Pipes a fumer,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"390,00",grosses,"3,0000000","1170,00","0,00",
176,Hasna,CCI Marseille - I 29,4,1741,Import,Plomb en saumon,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"96 000,00",livres,"0,2000000","19200,00","0,00",
177,Hasna,CCI Marseille - I 29,4,1741,Import,Planches de sapin,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"416,00",douzaines,"9,0000000","3744,00","0,00",
178,Hasna,CCI Marseille - I 29,4,1741,Import,Saumon salé,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"1 050,00",livres,"0,3000000","315,00","0,00",
179,Hasna,CCI Marseille - I 29,4,1741,Import,Stocfiche,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"300,00",livres,"0,1500000","45,00","0,00",
180,Hasna,CCI Marseille - I 29,4,1741,Import,Suif,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"191 960,00",livres,"0,4000000","76784,00","0,00",
181,Hasna,CCI Marseille - I 29,4,1741,Import,Toille d'Allemagne,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"952,00",pieces,"40,0000000","38080,00","0,00",
182,Hasna,CCI Marseille - I 29,4,1741,Import,Toille a voille,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"89,00",pieces,"25,0000000","2225,00","0,00",
183,Hasna,CCI Marseille - I 29,4,1741,Import,Tartre,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"1 550,00",livres,"0,1500000","232,00","-0,50",arrondi
