numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks
50,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,anchoix,Espagne,9214,46070,livres,0.2,0,en quintal
51,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,anis vert,Espagne,10156,40623,livres,0.25,0.25,en quintal
52,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,arquifou,Espagne,21314.25,236823,livres,0.09,0.180000000000291,en quintal
53,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,auf,Espagne,47349,526100,livres,0.09,0,
54,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,beaume du perou,Espagne,870,87,livres,10,0,
55,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,bois de reglisse,Espagne,1752.7,19473,livres,0.09,0.130000000000109,en quintal
56,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,balais de palme,Espagne,970,1940,douzaine,0.5,0,
57,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,brun rouge,Espagne,798.5,39925,livres,0.02,0,en quintal
58,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,cumin,Espagne,1100.25,7335,livres,0.15,0,en quintal
59,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,cochenille mesteque,Espagne,102465,6831,livres,15,0,
60,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,2,cochenille silvestre,Espagne,6936,2312,livres,3,0,
61,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,cabas de palme,Espagne,322.5,215,douzaine,1.5,0,
62,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,huile d'olive,Espagne,390,13000,pièces,0.03,0,
63,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,jalap,Espagne,5040,5040,livres,1,0,
64,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,laine lavée,Espagne,37884,54120,livres,0.7,0,en quintal
65,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,laine demy lavée,Espagne,4350,8700,livres,0.5,0,en quintal
66,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,liege,Espagne,6948,57900,livres,0.12,0,en quintal
67,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,noisettes,Espagne,68.1,1135,livres,0.06,0,en quintal
68,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,poisson salé,Espagne,1000,5000,livres,0.2,0,en quintal
69,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,pignons cassés,Espagne,47,235,livres,0.2,0,en quintal
70,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,quinquina,Espagne,7696,3848,livres,2,0,
71,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,rouge d'Espagne,Espagne,894,298,livres,3,0,
72,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,sardines salées,Espagne,2544,636,barils,4,0,
73,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,sardines salées,Espagne,1142.5,228500,pièces,0.005,0,en quintal
74,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,soyes crues,Espagne,1108500.03333333,92375,livres,12,0.0333333334419876,arrondi
75,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,soude,Espagne,33553.0708333333,1032400,livres,0.0325,0.0708333333313931,en pourcentage
76,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,vanille,Espagne,12,6,onces,2,0,
77,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,anchoix,Piemont,972,243,barils,4,0,
78,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,anchoix,Piemont,8115,40575,livres,0.2,0,
79,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,arquifou,Piemont,1300.5,14450,livres,0.09,0,
80,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,beurre frais,Piemont,110,440,livres,0.25,0,
81,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,bas de fil et coton,Piemont,62,62,paires,1,0,
82,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,brosses,Piemont,30,30,livres,1,0,
83,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,boëtes de bois d'olivier,Piemont,50,50,livres,1,0,
84,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,barils vuides,Piemont,289.6,724,pièces,0.4,0,
85,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,bois à tonneau,Piemont,240,30,canelles,8,0,
86,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,chocolat,Piemont,19,19,livres,1,0,
87,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,confitures,Piemont,18.65,25,livres,0.75,-0.100000000000001,arrondi
88,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,chataignes seches,Piemont,681,11350,livres,0.06,0,en pourcentage
89,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,chataignes fraiches,Piemont,677,16925,livres,0.04,0,en pourcentage
90,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,citrons,Piemont,172,43,charges,4,0,
91,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,citrons,Piemont,34,17000,pièces,0.002,0,
92,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,couverture de laine,Piemont,6,1,pièces,0,0,marchandises en estimation
93,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,chanvre battu,Piemont,17716,110723,livres,0.16,0.319999999999709,en pourcentage
94,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,chanvre cru,Piemont,3816,31800,livres,0.12,0,en pourcentage
95,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,cheveux commun,Piemont,70.5,23.5,livres,3,0,23 livres et 1/2
96,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,cire blanche,Piemont,9.35,7,livres,1.25,0.6,arrondi
97,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,cuivre vieux,Piemont,1272,1590,livres,0.8,0,en quintal
98,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,ciment,Piemont,165,1100,livres,0.15,0,
99,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,cordage,Piemont,350,1750,livres,0.2,0,en quintal
100,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,clous de fer,Piemont,18.75,75,livres,0.25,0,en quintal
101,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,chevrons,Piemont,42,21,douzaine,2,0,
102,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,cercles à tonneaux,Piemont,85,170,rodes,0.5,0,
103,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,cercles à barils,Piemont,400,2000,pièces,0.02,360,erreur de calcul (un 0 en trop)
104,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,dents d'elephant,Piemont,136.5,78,livres,1.75,0,
105,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,3,eau de fleur d'orange,Piemont,115,230,livres,0.5,0,
106,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,essence de limon,Piemont,250,25,livres,10,0,
107,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,estrasse de cocons,Piemont,1500,750,livres,2,0,
108,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,feves,Piemont,160,20,charges,8,0,
109,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,fromage,Piemont,276,3450,livres,0.08,0,en quintal
110,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,fer en bandes,Piemont,655,3275,livres,0.2,0,en quintal
111,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,fisselle,Piemont,88.8,370,livres,0.24,0,en quintal
112,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,filets à pescher,Piemont,280,14,pièces,20,0,
113,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,filets à pescher,Piemont,70,70,livres,1,0,
114,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,filets vieux,Piemont,50,100,livres,0.5,0,
115,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,graisse de boucherie,Piemont,3720,18600,livres,0.2,0,en quintal
116,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,galles romaines,Piemont,1435,7173,livres,0.2,0.399999999999864,en quintal
117,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,graine de chanvre,Piemont,194,4850,livres,0.04,0,en quintal
118,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,galon d'argent,Piemont,208,2,livres,104,0,
119,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,harans,Piemont,7.2,36,livres,0.2,0,
120,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,huile d'olive,Piemont,9105,303.5,milleroles,30,0,303 milleroles et 1/2
121,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,huile de senteur,Piemont,2.5,10,livres,0.25,0,
122,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,huile de poisson,Piemont,17.5,33,livres,0.56,-0.98,en quintal
123,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,herbages,Piemont,28,7,charges,4,0,
124,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,legumes,Piemont,20,500,livres,0.04,0,
125,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,liqueurs à boire,Piemont,115.2,288,bouteilles,0.4,0,
126,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,liqueurs à boire,Piemont,375,750,livres,0.5,0,
127,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,laine pelade,Piemont,44,220,livres,0.2,0,en pourcentage
128,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,maquet,Piemont,177.6,296,barils,0.6,0,
129,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1731.csv,Local,1731,Imports,Marseille,4,merluche,Piemont,26.25,35,livres,0.75,0,le copiste a noté par erreur lt au lieu de s pour le prix unitaire.
