numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
16,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois de campeche,Marseille,Hollande,"237 312,00",livres,"0,15000","35596,00","-0,80",
17,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois de chesne a batir,Marseille,Hollande,"209,00",pieces,"20,00000","4180,00","0,00",
18,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois de chesne a batir,Marseille,Hollande,"209,00",pieces,"1,00000","209,00","0,00",
19,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois pour mature,Marseille,Hollande,"954,00",pieces,"100,00000","95400,00","0,00",
20,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois de roze,Marseille,Hollande,"300,00",livres,"0,15000","45,00","0,00",
21,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bois de sandal moulu,Marseille,Hollande,"44 800,00",livres,"0,30000","13440,00","0,00",
22,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,borax,Marseille,Hollande,"510,00",livres,"0,30000","153,00","0,00",
23,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,1,1744,Imports,bray sec,Marseille,Hollande,"7 250,00",livres,"0,10000","725,00","0,00",
24,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,cacao,Marseille,Hollande,"113 839,00",livres,"1,30000","147990,00","-0,70",
25,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,café de bourbon,Marseille,Hollande,"6 000,00",livres,"1,25000","7500,00","0,00",
26,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,canelle,Marseille,Hollande,"17 300,00",livres,"6,00000","103800,00","0,00",
27,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,ceruze,Marseille,Hollande,"72 100,00",livres,"0,20000","14420,00","0,00",
28,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,charbon de terre,Marseille,Hollande,"1 300,00",mesures,"1,00000","1300,00","0,00",
29,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,cinabrium,Marseille,Hollande,"9 000,00",livres,"5,00000","45000,00","0,00",
30,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,cloux de fer,Marseille,Hollande,"25 600,00",livres,"0,20000","5120,00","0,00",
31,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,cochenille silvestre,Marseille,Hollande,"1 250,00",livres,"15,00000","18750,00","0,00",
32,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,colle forte,Marseille,Hollande,"31 000,00",livres,"0,40000","12400,00","0,00",
33,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,colle de poisson,Marseille,Hollande,"1 000,00",livres,"3,00000","3000,00","0,00",
34,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,corail brut,Marseille,Hollande,"200,00",livres,"2,00000","400,00","0,00",
35,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,castus doux,Marseille,Hollande,"250,00",livres,"0,75000","187,00","-0,50",
36,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,cotton souffré,Marseille,Hollande,"240,00",livres,"0,75000","180,00","0,00",
37,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,couperose verte,Marseille,Hollande,"122 000,00",livres,"0,09000","10980,00","0,00",
38,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,cuivre tangoul,Marseille,Hollande,"6 480,00",livres,"0,90000","5832,00","0,00",
39,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,dictam,Marseille,Hollande,"1 000,00",livres,"1,00000","1000,00","0,00",
40,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,douelle a tonneaux,Marseille,Hollande,"550,00",tonneaux,"6,00000","3300,00","0,00",
41,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,drogueries,Marseille,Hollande,"17 450,00",livres,"1,00000","17450,00","0,00",
42,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,epicerie fine,Marseille,Hollande,"600,00",livres,"5,00000","3000,00","0,00",
43,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,etain en bloc,Marseille,Hollande,"40 650,00",livres,"1,00000","40650,00","0,00",
44,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,fayence,Marseille,Hollande,"1 800,00",livres,"0,50000","900,00","0,00",
45,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,fer en barres,Marseille,Hollande,"894 600,00",livres,"0,14500","129717,00","0,00",
46,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,fer blanc,Marseille,Hollande,"59 500,00",livres,"0,60000","35700,00","0,00",
47,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,fil cru,Marseille,Hollande,"5 200,00",livres,"1,50000","7800,00","0,00",
48,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,fromage,Marseille,Hollande,"255 315,00",livres,"0,30000","76594,00","-0,50",
49,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,garence,Marseille,Hollande,"92 800,00",livres,"0,40000","37120,00","0,00",
50,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,geroffle,Marseille,Hollande,"22 920,00",livres,"8,00000","183360,00","0,00",
51,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,gomme sandarac,Marseille,Hollande,"12 000,00",livres,"0,85000","10200,00","0,00",
52,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,gomme senegal,Marseille,Hollande,"800,00",livres,"0,50000","400,00","0,00",
53,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,gomme d'ambrette,Marseille,Hollande,"200,00",livres,"0,20000","40,00","0,00",
54,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,harengs blancs,Marseille,Hollande,"52,00",barrils,"15,00000","780,00","0,00",
55,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,harengs blancs,Marseille,Hollande,"600,00",nombre,,"12,00",,estimé
56,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,huile de lin,Marseille,Hollande,"25 000,00",livres,"0,25000","6250,00","0,00",
57,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,2,1744,Imports,huile d'olive,Marseille,Hollande,"30,00",milleroles,"50,00000","1500,00","0,00",
58,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,huile de poisson,Marseille,Hollande,"82 500,00",livres,"0,20000","16500,00","0,00",
59,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,legumes,Marseille,Hollande,"66 250,00",livres,"0,10000","6625,00","0,00",
60,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,librairie,Marseille,Hollande,"4 000,00",livres,"2,00000","8000,00","0,00",
61,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,limes de fer,Marseille,Hollande,"800,00",livres,"0,50000","400,00","0,00",
62,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,litarge d'or,Marseille,Hollande,"400,00",livres,"0,20000","80,00","0,00",
63,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,mercerie,Marseille,Hollande,"5 450,00",livres,"2,00000","10900,00","0,00",
64,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,mats assortis,Marseille,Hollande,"78,00",en nombre,"100,00000","7800,00","0,00",
65,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,miny,Marseille,Hollande,"64 200,00",livres,"0,20000","12840,00","0,00",
66,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,muscades,Marseille,Hollande,"1 480,00",livres,"8,50000","12580,00","0,00",
67,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,nattes de jongs,Marseille,Hollande,"60,00",douzaines,"20,00000","1200,00","0,00",
68,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,noir de fumée,Marseille,Hollande,"700,00",livres,"0,40000","280,00","0,00",
69,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,orge,Marseille,Hollande,"1 918,00",charges,"10,00000","19180,00","0,00",
70,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,orpiment,Marseille,Hollande,"800,00",livres,"1,00000","800,00","0,00",
71,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,papier commun,Marseille,Hollande,"66 000,00",livres,"0,20000","13200,00","0,00",
72,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,papier de pliage,Marseille,Hollande,"1 500,00",rames,"1,50000","2250,00","0,00",
73,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,pierre a eguiser,Marseille,Hollande,"400,00",nombre,"1,00000","400,00","0,00",
74,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,pignons d'inde,Marseille,Hollande,"8 250,00",livres,"3,00000","24750,00","0,00",
75,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,pipes a fumer,Marseille,Hollande,"2 774,00",grosses,"3,00000","8322,00","0,00",
76,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,planches de sapin,Marseille,Hollande,"1 282,00",douzaines,"9,00000","11538,00","0,00",
77,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,plaques de fer,Marseille,Hollande,"54 000,00",livres,"0,25000","13500,00","0,00",
78,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,plomb en saumon,Marseille,Hollande,"1 005 890,00",livres,"0,20000","201178,00","0,00",
79,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,plumes a ecrire,Marseille,Hollande,"150,00",livres,"5,00000","750,00","0,00",
80,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,poivre,Marseille,Hollande,"34 037,00",livres,"1,20000","40844,00","-0,40",
81,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,poix raisine,Marseille,Hollande,"5 500,00",livres,"0,09000","495,00","0,00",
82,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,porcelaine,Marseille,Hollande,"7 800,00",livres,"5,00000","39000,00","0,00",
83,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,quincaille de fer et acier,Marseille,Hollande,"900,00",livres,"1,00000","900,00","0,00",
84,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,quinquina,Marseille,Hollande,"1 200,00",livres,"4,00000","4800,00","0,00",
85,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,racine de dictam,Marseille,Hollande,"250,00",livres,"0,50000","125,00","0,00",
86,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,rhubarbe,Marseille,Hollande,"100,00",livres,"60,00000","6000,00","0,00",
87,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,salsafras,Marseille,Hollande,"400,00",livres,"0,60000","240,00","0,00",
88,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,stokfiche,Marseille,Hollande,"9 880,00",livres,"0,15000","1482,00","0,00",
89,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,tabac en feuilles,Marseille,Hollande,"26 000,00",livres,"0,25000","7500,00","1 000,00",erreur de calcul
90,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,terra merita,Marseille,Hollande,"500,00",livres,"0,15000","75,00","0,00",
91,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,thé,Marseille,Hollande,"200,00",livres,"4,00000","800,00","0,00",
92,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,toile blanche,Marseille,Hollande,"1 850,00",livres,"3,00000","5550,00","0,00",
93,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,toile d'embalage,Marseille,Hollande,"400,00",livres,"0,60000","240,00","0,00",
94,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,vermillon,Marseille,Hollande,"200,00",livres,"5,00000","1000,00","0,00",
95,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,verres de cristal,Marseille,Hollande,"1 250,00",livres,"2,00000","2500,00","0,00",
96,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,3,1744,Imports,vitriol de chypres,Marseille,Hollande,"2 000,00",livres,"0,90000","1800,00","0,00",
97,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,beurre,Marseille,Angleterre,"4 850,00",livres,"0,30000","1455,00","0,00",
98,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,blés froments,Marseille,Angleterre,"1 238,00",charges,"18,00000","22284,00","0,00",
99,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,couperose verte,Marseille,Angleterre,"67 500,00",livres,"0,09000","6075,00","0,00",
100,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,cuirs en poil,Marseille,Angleterre,"305,00",livres,"14,00000","4270,00","0,00",
101,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,harengs fumée,Marseille,Angleterre,"1 420,00",barrils,"24,00000","34080,00","0,00",
102,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,plomb en saumon,Marseille,Angleterre,"761 800,00",livres,"0,20000","152360,00","0,00",
103,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,saumon salé,Marseille,Angleterre,"78 750,00",livres,"0,25000","19687,00","-0,50",
104,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,acier,Marseille,Nord,"5 377,00",livres,"0,35000","1881,00","-0,95",
105,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,argent vif,Marseille,Nord,"250,00",livres,"5,00000","1250,00","0,00",
106,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,azur commun,Marseille,Nord,"1 800,00",livres,"0,60000","1080,00","0,00",
107,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,balais de palme,Marseille,Nord,"6,00",douzaines,"0,90000","5,00","-0,40",
108,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,biere,Marseille,Nord,"2 000,00",livres,"0,05000","100,00","0,00",
109,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,bled froment,Marseille,Nord,"1 600,00",charges,"18,00000","28800,00","0,00",
110,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,bois de gayac,Marseille,Nord,"50,00",pieces,"5,00000","250,00","0,00",
111,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,bois pour mature,Marseille,Nord,"311,00",pieces,"100,00000","31100,00","0,00",
112,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,bray gras,Marseille,Nord,"57 600,00",livres,"0,10000","5760,00","0,00",
113,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1744,Local,4,1744,Imports,bray sec,Marseille,Nord,"137 500,00",livres,"0,10000","13750,00","0,00",
