numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks
22,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,geroffle,Hollande,19144.5,2393,livres,8,0.5,arrondi
23,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,garance commune,Hollande,4792.5,10650,livres,0.45,0,en quintal
24,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,harans sors,Hollande,7250,290,barils,25,0,
25,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,harans sors,Hollande,6151.5,410100,pièces,0.015,0,Een pourcentage
26,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,legumes,Hollande,1316,16450,livres,0.08,0,en quintal
27,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,litarge,Hollande,115,1150,livres,0.1,0,en quintal
28,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,muscade,Hollande,6320,790,livres,8,0,
29,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,miny,Hollande,75,500,livres,0.15,0,en quintal
30,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,moulins à caffé,Hollande,15,3,pièces,5,0,
31,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,noir de fumée,Hollande,72,200,livres,0.36,0,
32,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,poivre noir,Hollande,128270,128270,livres,1,0,
33,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,pipes à fumer,Hollande,1362,454,grosse,3,0,
34,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,plomb en saumons,Hollande,49863.75,332425,livres,0.15,0,en quintal
35,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,quincaille,Hollande,2270,2270,livres,1,0,
36,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,ruban de fil,Hollande,1870,935,livres,2,0,
37,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,saumon salé,Hollande,1920,48,barils,40,0,
38,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,saumon salé,Hollande,460,2300,livres,0.2,0,
39,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,soye de porc,Hollande,36,36,livres,1,0,
40,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,terebantine,Hollande,192.5,110,livres,1.75,0,
41,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,terraille de gray,Hollande,60,400,livres,0.15,0,
42,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,papier violet,Hollande,7.5,3,rames,2.5,0,
43,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,anis vert,Espagne,6132.75,36075,livres,0.17,0,en quintal
44,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,aulx,Espagne,5.025,2,charges,2.5,0.0250000000000004,arrondi
45,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,arquifou,Espagne,13167.5,131675,livres,0.1,0,
46,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,auf,Espagne,82536,687800,livres,0.12,0,en quintal
47,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,beaume,Espagne,480,60,livres,8,0,
48,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,bois de reglisse,Espagne,1298,16225,livres,0.08,0,en quintal
49,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,bourre de soye,Espagne,50,50,livres,1,0,
50,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,brun rouge,Espagne,32.5,1625,livres,0.02,0,en quintal
51,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,balais de palme,Espagne,2230,1784,douzaine,1.25,0,
52,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,cumin,Espagne,648,3600,livres,0.18,0,en quintal
53,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,cochenille mesteque,Espagne,222900,11145,livres,20,0,
54,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,cochenille silvestre,Espagne,33810,3381,livres,10,0,
55,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,corail grossier,Espagne,100,100,livres,1,0,
56,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,cabas de palme,Espagne,514.5,294,douzaine,1.75,0,
57,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,douves à tonneaux,Espagne,105,3000,pièces,0.035,0,en millier
58,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,huille de poisson,Espagne,52,260,livres,0.2,0,
59,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,jus de reglisse,Espagne,229.5,850,livres,0.27,0,en quintal
60,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,jalap,Espagne,245,245,livres,1,0,
61,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,laine lavée,Espagne,15112.5,20150,livres,0.75,0,en quintal
62,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,laine demy lavée,Espagne,3135,5700,livres,0.55,0,en quintal
63,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,liège,Espagne,1820,13000,livres,0.14,0,en quintal
64,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,noisettes,Espagne,98,1400,livres,0.07,0,en quintal
65,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,poisson salé,Espagne,8874,49300,livres,0.18,0,en quintal
66,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,pignons cassés,Espagne,129.8,590,livres,0.22,0,en quintal
67,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,quinquina,Espagne,8037.5,3215,livres,2.5,0,
68,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,rouge d'Espagne,Espagne,126,432,tasses,0.75,-198,
69,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,soye crues,Espagne,1758442,125603,livres,14,0,
70,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,2,soude,Espagne,30933,687400,livres,0.045,0,en pourcentage
71,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,anchoix,Piemont,760,190,barils,4,0,
72,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,anchoix,Piemont,2895,14475,livres,0.2,0,en quintal
73,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,arquifou,Piemont,1310,13100,livres,0.1,0,en quintal
74,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,auf,Piemont,45,500,livres,0.09,0,en quintal
75,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,beurre frais,Piemont,171.783333333333,675,livres,0.25,3.03333333333333,arrondi
76,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,bougie,Piemont,30.0708333333333,20,livres,1.5,0.0708333333333329,arrondi
77,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,barrils vuide,Piemont,250,500,pièces,0.5,0,
78,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,billons de bois blanc,Piemont,4,60,pièces,0.0625,0.25,arrondi
79,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,bois de buy,Piemont,50,625,livres,0.08,0,en quintal
80,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,bois de fustel,Piemont,54.75,1825,livres,0.03,0,en pourcentage
81,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,baguettes de fusil,Piemont,87.5,350,livres,0.25,0,
82,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,confitures,Piemont,82.5,110,livres,0.75,0,
83,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chataignes seches,Piemont,404,10100,livres,0.04,0,en quintal
84,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chataignes freches,Piemont,75,2500,livres,0.03,0,en quintal
85,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,citrons,Piemont,238,34,charges,7,0,
86,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,citrons,Piemont,45,15000,pièces,0.003,0,
87,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,cordons de filozelles,Piemont,525,35,livres,15,0,
88,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,cordages de chanvre,Piemont,270,1350,livres,0.2,0,en quintal
89,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chanvre peigné,Piemont,72,200,livres,0.36,0,en quintal
90,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chanvre battu,Piemont,18576,103200,livres,0.18,0,en quintal
91,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chanvre cru,Piemont,4315,43150,livres,0.1,0,en quintal
92,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,coton en laine,Piemont,12,40,livres,0.3,0,en quintal
93,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,cheveux commun,Piemont,100,10,livres,10,0,
94,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,cuivre vieux,Piemont,873.6,1120,livres,0.78,0,en quintal
95,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,ciment,Piemont,210,1400,livres,0.15,0,en quintal
96,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chaise de paille,Piemont,1.8,6,pièces,0.25,0.3,arrondi
97,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,cercle à barrils,Piemont,20,1000,millier,0.02,0,
98,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chevron de sapin,Piemont,36,12,pièces,3,0,
99,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,chandelles,Piemont,168,600,livres,0.28,0,en quintal
100,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,eau de fleur d'orange,Piemont,35,100,livres,0.35,0,
101,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,fromage,Piemont,864.5,6175,livres,0.14,0,en quintal
102,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,fil cru,Piemont,1548,1720,livres,0.9,0,
103,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,fer en bande,Piemont,912,3800,livres,0.24,0,en quintal
104,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,fayence,Piemont,12.5,50,livres,0.25,0,
105,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,graisse de boucherie,Piemont,3184.5,14475,livres,0.22,0,en quintal
106,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,graisse de chanvre,Piemont,687.5,12500,livres,0.055,0,en quintal
107,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,galles legeres,Piemont,2451,20425,livres,0.12,0,en quintal
108,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,harans sors,Piemont,10.5,7,cent,1.5,0,
109,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,huille d'olive,Piemont,6727,217,milleroles,31,0,
110,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,herbages,Piemont,100,20,charges,5,0,
111,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,jarre de terre,Piemont,90,1000,livres,0.09,0,en quintal
112,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,liqueurs à boire,Piemont,855,1140,bouteilles,0.75,0,
113,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,liqueurs à boire,Piemont,350,350,livres,1,0,
114,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,laine teinte,Piemont,3.75,15,livres,0.25,0,en quintal
115,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,laine pellade,Piemont,379.5,1725,livres,0.22,0,en quintal
116,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,laine surge,Piemont,49.5,275,livres,0.18,0,en quintal
117,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,liege,Piemont,112,800,livres,0.14,0,en quintal
118,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,merluche,Piemont,18.75,125,livres,0.15,0,en quintal
119,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,maguet,Piemont,162,180,barils,0.9,0,
120,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,mercerie,Piemont,510,170,livres,3,0,
121,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,mature,Piemont,600,3,pièces,200,0,
122,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,oranges,Piemont,300,20,charges,15,0,
123,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,oranges,Piemont,300,20000,millier,1.25,-24700,
124,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,poisson salé,Piemont,200,40,barils,5,0,
125,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,pelleterie blanche,Piemont,937.5,1250,livres,0.75,0,
126,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,poutre de sapin,Piemont,275,11,pièces,25,0,
127,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,platre,Piemont,2172,724,charges,3,0,
128,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,3,platre,Piemont,1916,1916,quintaux,1,0,
129,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,4,planches,Piemont,732,1220,pièces,0.6,0,
130,Ahmed,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1732.csv,Local,1732,Imports,Marseille,4,ris,Piemont,8606.25,95625,livres,0.09,0,
