numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,direction,sheet,year,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
13,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bois de sandal,Holande,4850,livres,"0,2",970,0,
14,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bois de sandal moulu,Holande,6300,livres,"0,3",1890,0,
15,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bois a teindre,Holande,1600,livres,"0,15",240,0,
16,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Bray gras,Holande,61600,livres,"0,1",6160,0,
17,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,1,1745,Cacao,Holande,151230,livres,"1,3",196599,0,
18,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Canelle,Holande,4500,livres,6,27000,0,
19,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Canons de fonte,Holande,28000,livres,1,28000,0,
20,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Ceruze,Holande,64900,livres,"0,2",12980,0,
21,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Chaises de commodité,Holande,48,en nombre,8,384,0,
22,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Cinabrium,Holande,2000,livres,5,10000,0,
23,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Cire blanche,Holande,350,livres,"1,8",630,0,
24,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Cire jaune,Holande,17880,livres,"1,15",20562,0,
25,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Colle forte,Holande,65700,livres,"0,4",26280,0,
26,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Corne de mouton,Holande,2000,paires,"0,05",100,0,
27,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Couperose verte,Holande,791700,livres,"0,09",71253,0,
28,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Couteaux communs,Holande,800,livres,"0,3",240,0,
29,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Creme de tartre,Holande,250,livres,"0,32",80,0,
30,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Crin,Holande,2500,livres,"0,6",1500,0,
31,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Cuir de Roussy,Holande,1750,livres,1,1750,0,
32,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Cuivre ouvré,Holande,600,livres,"1,6",960,0,
33,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Cuivre tangoul,Holande,16560,livres,"0,9",14904,0,
34,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Drogueries,Holande,21265,livres,1,21265,0,
35,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Esquine,Holande,7400,livres,1,7400,0,
36,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Etain en bloc,Holande,15400,livres,1,15400,0,
37,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Etoffe de soye,Holande,150,livres,40,6000,0,
38,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fayence,Holande,500,livres,"0,5",250,0,
39,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fer en barres,Holande,400,livres,"0,145",58,0,
40,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fer blanc,Holande,123500,livres,"0,6",74100,0,
41,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fer noir en feuilles,Holande,35160,livres,"0,5",17580,0,
42,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fer en plaques,Holande,710,pièces,5,3550,0,
43,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fer en plaques,Holande,24925,livres,"0,125",3115,"-0,63",
44,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fil de laton,Holande,4400,livres,"1,4",6160,0,
45,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fil de tisserand,Holande,10256,livres,"0,75",7692,0,
46,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Fromage,Holande,257828,livres,"0,3",77348,"-0,4",
47,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Garence,Holande,354420,livres,"0,4",141768,0,
48,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Gaudron,Holande,38600,livres,"0,1",3860,0,
49,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Geroffle,Holande,8400,livres,8,67200,0,
50,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Gingembre,Holande,9000,livres,"0,3",2700,0,
51,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Harangs blancs,Holande,301,barils,15,4515,0,
52,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Harangs fumés,Holande,900,barils,24,21600,0,
53,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Huile de poisson,Holande,265000,livres,"0,2",53000,0,
54,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Laine lavée,Holande,2350,livres,"1,1",2585,0,
55,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Librairie,Holande,1850,livres,2,3700,0,
56,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Liege,Holande,11000,livres,"0,125",1375,0,
57,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Lin cru,Holande,3259,livres,"0,1",325,"-0,9",
58,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Litarge,Holande,25025,livres,"0,2",5005,0,
59,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Lustres de venise,Holande,800,livres,"1,5",1200,0,
60,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Mercerie,Holande,5150,livres,2,10300,0,
61,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Meules de moulin,Holande,44,en nombre,30,1320,0,
62,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Miny,Holande,16000,livres,"0,2",3200,0,
63,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Morue verte,Holande,12000,livres,"0,2",2400,0,
64,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Muscades,Holande,2900,livres,"8,5",24650,0,
65,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Orge,Holande,167,charges,12,2004,0,
66,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Papier a ecrire,Holande,1044,rames,6,6264,0,
67,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Peaux de lievre,Holande,1000,livres,"0,5",500,0,
68,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,2,1745,Pelleterie commune crue,Holande,1800,livres,1,1800,0,
69,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Pipes a fumer,Holande,4176,grosses,3,12528,0,
70,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Planches de sapin,Holande,468,douzaines,9,4212,0,
71,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Plomb en saumon,Holande,395400,livres,"0,2",79080,0,
72,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Poivre,Holande,141600,livres,"1,6",226560,0,
73,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Poivre gerofflé,Holande,600,livres,2,1200,0,
74,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Poivre noir,Holande,668890,livres,"1,6",1070224,0,
75,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Quincaille de fer et acier,Holande,1600,livres,1,1600,0,
76,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Rubarbe de moscovie,Holande,1475,livres,40,59000,0,
77,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Ruban de soye,Holande,200,livres,60,12000,0,
78,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Stocfiche,Holande,43500,livres,"0,15",6525,0,
79,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Suif,Holande,12000,livres,"0,4",4800,0,
80,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Terre segillée,Holande,450,livres,"0,1",45,0,
81,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,The,Holande,268,livres,"2,5",670,0,
82,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Toile blanche,Holande,2600,livres,3,7800,0,
83,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Toile a voile,Holande,30,pièces,25,750,0,
84,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Vermillon,Holande,200,livres,5,1000,0,
85,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Veres cristallins,Holande,755,livres,2,1510,0,
86,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Tabac de Virginie,Angleterre,376607,livres,"0,25",94151,"-0,75",
87,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Bray gras,Nord qui comprend les villes ansceatiques et la moscovie,213500,livres,"0,1",21350,0,
88,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Bray sec,Nord qui comprend les villes ansceatiques et la moscovie,197750,livres,"0,1",19775,0,
89,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Fer en barres,Nord qui comprend les villes ansceatiques et la moscovie,618250,livres,"0,145",89646,"-0,25",
90,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Gaudron,Nord qui comprend les villes ansceatiques et la moscovie,1225500,livres,"0,1",122550,0,
91,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Huile de poisson,Nord qui comprend les villes ansceatiques et la moscovie,6600,livres,"0,2",1320,0,
92,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Mats assortis,Nord qui comprend les villes ansceatiques et la moscovie,12,en nombre,100,1200,0,
93,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Planches de sapin,Nord qui comprend les villes ansceatiques et la moscovie,1644,douzaines,9,14796,0,
94,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Plaques de fer,Nord qui comprend les villes ansceatiques et la moscovie,850,en nombre,"0,25",212,"-0,5",
95,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Stocfiche,Nord qui comprend les villes ansceatiques et la moscovie,355000,livres,"0,15",53250,0,
96,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Thé,Nord qui comprend les villes ansceatiques et la moscovie,108,livres,"2,5",270,0,
97,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Ajamis,Espagne,128,pièces,8,1024,0,
98,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Amandes cassées,Espagne,69900,livres,"0,2",13980,0,
99,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Ameçons,Espagne,70,milliers,15,1050,0,
100,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Anchoix,Espagne,111560,livres,"0,5",55780,0,
101,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Anchoix,Espagne,14,bariques,10,140,0,
102,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Anis,Espagne,156714,livres,"0,2",31342,"-0,8",
103,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Argent vif,Espagne,6000,livres,5,30000,0,
104,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Arquifou,Espagne,56136,livres,"0,15",8420,"-0,4",
105,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Aristoloche,Espagne,160,livres,"0,1",16,0,
106,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Baguettes de fusils,Espagne,"3,5",milliers,30,105,0,
107,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Balais de palme,Espagne,8288,douzaines,"0,9",7459,"-0,2",
108,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Bas de laine,Espagne,160,livres,6,960,0,
109,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Beurre,Espagne,15500,livres,"0,3",4650,0,
110,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Bois de Brezil,Espagne,5200,livres,"0,25",1300,0,
111,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,3,1745,Bois a bruler,Espagne,3585500,livres,"0,009",32269,"-0,5",
112,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,4,1745,Bled froment,Espagne,80,charges,18,1440,0,
113,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,4,1745,Bonnets de laine,Espagne,50,douzaines,9,450,0,
114,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,4,1745,Bourdes,Espagne,5281800,livres,"0,08",422544,0,
115,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,4,1745,Bray sec,Espagne,91800,livres,"0,1",9180,0,
116,Pascal Fontaine,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1745,Local,Imports,Marseille,4,1745,Cabas,Espagne,21,caps,3,63,0,
