numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
28,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Couperose verte,Marseille,Hollande,"173 375,00",livres,"0,0900000","15403,00","-200,75",erreur de calcul
29,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Colle forte,Marseille,Hollande,"58 955,00",livres,"0,4000000","23582,00","0,00",
30,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Chandelle,Marseille,Hollande,"1 380,00",livres,"0,4500000","621,00","0,00",
31,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Crin de cheval,Marseille,Hollande,"576,00",livres,"0,6000000","345,00","-0,60",
32,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Cuir de russie,Marseille,Hollande,"250,00",livres,"1,0000000","250,00","0,00",
33,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Chanvre cru,Marseille,Hollande,"400 050,00",livres,"0,1700000","68008,00","-0,50",
34,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Cartes marines,Marseille,Hollande,"5,00",en nombre,"2,0000000","10,00","0,00",5 cartes marines estimées à 10 livres
35,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Corne a lanterne,Marseille,Hollande,"141,00",livres,"2,0000000","282,00","0,00",
36,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Couteaux communs,Marseille,Hollande,"1 800,00",livres,"0,2500000","450,00","0,00",
37,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Cuivre ouvré,Marseille,Hollande,"157,00",livres,"1,6000000","251,00","-0,20",
38,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Clous de fer,Marseille,Hollande,"11 667,00",livres,"0,2000000","2333,00","-0,40",
39,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Cabarets a caffé,Marseille,Hollande,"12,00",livres,"5,0000000","60,00","0,00",
40,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Charbons de terre,Marseille,Hollande,"735,00",livres,"0,0500000","36,00","-0,75",
41,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Drogueries,Marseille,Hollande,"34 675,00",livres,"1,0000000","34675,00","0,00",
42,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Douelles a tonneaux,Marseille,Hollande,"82 100,00",livres,"0,0400000","3284,00","0,00",
43,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Epicerie fine,Marseille,Hollande,"250,00",livres,"4,0000000","1000,00","0,00",
44,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Etoffe de soye,Marseille,Hollande,"200,00",livres,"40,0000000","8000,00","0,00",
45,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Etain en bloc,Marseille,Hollande,"40 500,00",livres,"1,1000000","44550,00","0,00",
46,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Fromage,Marseille,Hollande,"163 532,00",livres,"0,3000000","49059,00","-0,60",
47,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Fil de tisserand,Marseille,Hollande,"1 500,00",livres,"0,6000000","900,00","0,00",
48,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Fil de chanvre,Marseille,Hollande,"1 600,00",livres,"0,5000000","800,00","0,00",
49,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Fil de fer,Marseille,Hollande,"3 600,00",livres,"0,5000000","1800,00","0,00",
50,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Fer blanc,Marseille,Hollande,"198 500,00",livres,"0,6000000","119100,00","0,00",
51,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Fer en barres,Marseille,Hollande,"227 450,00",livres,"0,1450000","32980,00","-0,25",
52,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Fer en plaques,Marseille,Hollande,"30 430,00",livres,"0,1000000","3043,00","0,00",
53,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Gerofle,Marseille,Hollande,"13 150,00",livres,"8,0000000","105200,00","0,00",
54,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Garence,Marseille,Hollande,"213 660,00",livres,"0,0800000","17092,00","-0,80",
55,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Gomme sandarac,Marseille,Hollande,"600,00",livres,"0,9000000","540,00","0,00",
56,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Graine pour teindre,Marseille,Hollande,"450,00",livres,"0,5000000","225,00","0,00",
57,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Huile d'olive,Marseille,Hollande,"1 841,00",milleroles,"42,0000000","77280,00","-42,00",
58,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Huile de lin,Marseille,Hollande,"25 500,00",livres,"0,2500000","6375,00","0,00",
59,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Huile de poisson,Marseille,Hollande,"1 200,00",livres,"0,2000000","240,00","0,00",
60,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Jalap,Marseille,Hollande,"1 000,00",livres,"2,5000000","2500,00","0,00",
61,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Legumes,Marseille,Hollande,"83 000,00",livres,"0,0500000","4150,00","0,00",
62,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Liqueur a boire,Marseille,Hollande,"300,00",livres,"0,7500000","225,00","0,00",
63,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Litarge d'or,Marseille,Hollande,"9 350,00",livres,"0,2000000","1870,00","0,00",
64,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Lassets de fil,Marseille,Hollande,"400,00",livres,"0,7500000","300,00","0,00",
65,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Lin crü,Marseille,Hollande,"1 000,00",livres,"0,2500000","250,00","0,00",
66,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Librairie,Marseille,Hollande,"2 650,00",livres,"2,0000000","5300,00","0,00",
67,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Laque platte,Marseille,Hollande,"168,00",livres,"3,0000000","504,00","0,00",
68,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Latton,Marseille,Hollande,"2 340,00",livres,"1,4000000","3276,00","0,00",
69,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Muscades,Marseille,Hollande,"2 130,00",livres,"8,0000000","17040,00","0,00",
70,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Miny,Marseille,Hollande,"36 000,00",livres,"0,2000000","7200,00","0,00",
71,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Mercerie,Marseille,Hollande,"13 700,00",livres,"2,0000000","27400,00","0,00",
72,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,2,1742,Import,Noir de fumée,Marseille,Hollande,"400,00",livres,"0,4000000","160,00","0,00",
73,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Nattes de jongs,Marseille,Hollande,"24,00",douzaines,"20,0000000","480,00","0,00",
74,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Oignons de fleurs,Marseille,Hollande,"3 250,00",livres,"1,0000000","3250,00","0,00",
75,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Poisson salé,Marseille,Hollande,"400,00",livres,"0,2000000","80,00","0,00",
76,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Poivre gerofle,Marseille,Hollande,"2 750,00",livres,"1,5000000","4125,00","0,00",
77,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Poivre,Marseille,Hollande,"721 236,00",livres,"1,2000000","865483,00","-0,20",
78,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Plumes d'autruche,Marseille,Hollande,"100,00",livres,"1,0000000","100,00","0,00",
79,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Papier a ecrire,Marseille,Hollande,"48,00",rames,"4,0000000","192,00","0,00",
80,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Papier de pliage,Marseille,Hollande,"134,00",rames,"1,5000000","201,00","0,00",
81,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Pelleterie crue,Marseille,Hollande,"4 326,00",livres,"1,2500000","5407,00","-0,50",
82,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Peaux de chevre en poil,Marseille,Hollande,"300,00",livres,"0,4000000","120,00","0,00",
83,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Peaux de lievre,Marseille,Hollande,"400,00",livres,"3,0000000","1200,00","0,00",
84,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Porcelaine,Marseille,Hollande,"1 150,00",livres,"5,0000000","5750,00","0,00",
85,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Pipes a fumer,Marseille,Hollande,"3 187,00",grosses,"3,0000000","9561,00","0,00",
86,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Plomb en saumons,Marseille,Hollande,"1 137 500,00",livres,"0,2000000","22750,00","-204 750,00",Erreur de calcul ; Diviser le prix unitaire par 100
87,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Planches de sapin,Marseille,Hollande,"671,00",douzaines,"9,0000000","6039,00","0,00",
88,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Quinquina,Marseille,Hollande,"5 904,00",livres,"4,0000000","23616,00","0,00",
89,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Quincaille de fer,Marseille,Hollande,"5 650,00",livres,"0,5000000","2825,00","0,00",
90,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Rubarbe de Levant,Marseille,Hollande,"1 177,00",livres,"60,0000000","70620,00","0,00",
91,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Saumon salé,Marseille,Hollande,"10 000,00",livres,"0,3000000","3000,00","0,00",
92,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Stocfiche,Marseille,Hollande,"7 600,00",livres,"0,1500000","1140,00","0,00",
93,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Sel dipsum,Marseille,Hollande,"500,00",livres,"0,3400000","170,00","0,00",
94,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Salsepareille,Marseille,Hollande,"1 729,00",livres,"2,0000000","3458,00","0,00",
95,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Spicaceltica,Marseille,Hollande,"1 000,00",livres,"1,2000000","1200,00","0,00",
96,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Spermaceti,Marseille,Hollande,"175,00",livres,"2,0000000","350,00","0,00",
97,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Salicor,Marseille,Hollande,"288,00",livres,"0,0600000","17,00","-0,28",
98,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Thé,Marseille,Hollande,"400,00",livres,"5,0000000","2000,00","0,00",
99,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Therebentine,Marseille,Hollande,"400,00",livres,"0,5000000","200,00","0,00",
100,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Tabac fabriqué,Marseille,Hollande,"29 000,00",livres,"2,0000000","58000,00","0,00",
101,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Tabac en feuilles,Marseille,Hollande,"207 350,00",livres,"0,2000000","41470,00","0,00",
102,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Tournesol,Marseille,Hollande,"600,00",livres,"0,5000000","300,00","0,00",
103,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Toile blanche,Marseille,Hollande,"7 750,00",livres,"3,0000000","23250,00","0,00",
104,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Toile d'emballage,Marseille,Hollande,"4 850,00",livres,"0,7500000","3637,00","-0,50",
105,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Toile a voile,Marseille,Hollande,"45,00",pieces,"25,0000000","1125,00","0,00",
106,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Toile a voile,Marseille,Hollande,"4 600,00",livres,"0,3500000","1610,00","0,00",
107,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Vermillon,Marseille,Hollande,"300,00",livres,"2,5000000","750,00","0,00",
108,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Beuf salé,Marseille,Angleterre,"189 500,00",livres,"0,2000000","37900,00","0,00",
109,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Beurre,Marseille,Angleterre,"45 110,00",livres,"0,2500000","11277,00","-0,50",
110,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Biscuits de mer,Marseille,Angleterre,"210,00",livres,"0,1200000","25,00","-0,20",
111,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Balais de palmes,Marseille,Angleterre,"1 200,00",douzaines,"0,9000000","1080,00","0,00",
112,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Bois de campeche,Marseille,Angleterre,"18 500,00",livres,"0,1500000","2775,00","0,00",
113,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Chair salée,Marseille,Angleterre,"70 700,00",livres,"0,2000000","14140,00","0,00",
114,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Cacao,Marseille,Angleterre,"9 185,00",livres,"1,3000000","11940,00","-0,50",
115,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Cire jaune,Marseille,Angleterre,"137 075,00",douzaines,"1,1500000","157636,00","-0,25",
116,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Cordages d'espars,Marseille,Angleterre,"43,00",livres,"12,0000000","516,00","0,00",
117,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Draperie d'Angleterre,Marseille,Angleterre,"3,00",livres,"7,0000000","21,00","0,00",
118,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1742,Local,3,1742,Import,Harans sors,Marseille,Angleterre,"1 000,00",barrils,"24,0000000","24000,00","0,00",
