numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,remarks,Droits totaux indiqués,Droits unitaires,unité pour les droits,quantité pour les droits,remarks pour les droits
11,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Canefice,Hollande,1152,9600,Livres,"0,12",,,,,,
12,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Fromage d'auvergne,Hollande,"61,6",280,Livres,"0,22",,,,,,
13,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,1,Gingembre,Hollande,5112,28400,Livres,"0,18",,,,,,
14,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Graine de jardin,Hollande,410,410,Boisseaux,1,,,,,,
15,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Graine de genievre,Hollande,1120,400,Boisseaux,"2,8",,,,,,
16,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Galipos,Hollande,563,5630,Livres,"0,1",,,,,,
17,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Indigo,Hollande,21490,9300,Livres,"2,3",100 erreur calcul,,,,,
18,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Liege,Hollande,56538,209400,Livres,"0,27",,,,,,
19,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Mongette,Hollande,280,28,Boisseaux,10,,,,,,
20,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Miel,Hollande,950,9500,Livres,"0,1",,0,"0,0155",Livres,9500,"-147,25 droits non marqués"
21,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Pruneaux,Hollande,"100150,5",1669175,Livres,"0,06",,0,"0,0155",Livres,1669175,"-25872,21 droits non marqués"
22,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Papier,Hollande,49068,16356,Rames,3,,0,"0,15",Rames,16356,"-2453,4 droits non marqués"
23,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Sucre terré,Hollande,462464,1445200,Livres,"0,32",,,,,,
24,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Sucre brut,Hollande,561465,3119250,Livres,"0,18",,,,,,
25,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Sirop de sucre,Hollande,67900,679,Pièces,100,,,,,,
26,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Terebantine,Hollande,672,5600,Livres,"0,12",,,,,,
27,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Eau de vie,Hollande,360620,5548,Barriques,65,,0,20,Barriques,5548,-110960 droits non marqués
28,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vin de haut,Hollande,1318860,14654,Tonneaux,90,30 écus soit 90 livres,0,"11,45",Tonneaux,14654,"-167788,3 droits non marqués"
29,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vin de ville,Hollande,1467540,16306,Tonneaux,90,30 écus soit 90 livres,0,"20,3583333",Tonneaux,16306,"-331962,98 0"
30,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vin de Blaye,Hollande,13920,232,Tonneaux,60,20 écus soit 60 livres,0,"20,3583333",Tonneaux,232,"-4723,13 droits non marqués"
31,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vinaigre,Hollande,17850,"178,5",Tonneaux,100,,0,15,Tonneaux,"178,5","-2677,5 droits sur vinaigre"
32,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Coton en laine,Nord,"15558,75",20745,Livres,"0,75",,,,,,
33,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Eau de vie,Nord,218270,3358,Barriques,65,,0,20,Barriques,3358,-67160 droits non marqués
34,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Indigo,Nord,90505,39350,Livres,"2,3",,,,,,
35,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Pruneaux,Nord,31524,525400,Livres,"0,06",,"8143,7","0,0155",Livres,525400,0 0
36,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Papier,Nord,4935,1645,Rames,3,,"246,75","0,15",Rames,1645,0 0
37,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Rezine,Nord,"74,75",1150,Livres,"0,065",,,,,,
38,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Sucre terré,Nord,385792,1205600,Livres,"0,32",,,,,,
39,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Sucre brut,Nord,"405499,5",2252775,Livres,"0,18",,,,,,
40,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Sirop de sucre,Nord,63500,635,Pièces,100,,,,,,
41,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Terebantine,Nord,720,6000,Livres,12,"-71280 erreur de marquage, normalement c'est 12 Livres le 100",,,,,
42,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vin de haut,Nord,76230,847,Tonneaux,90,30 écus soit 90 livres,"9698,15","11,45",Tonneaux,847,0 0
43,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vin de ville,Nord,1043000,10430,Tonneaux,185,-886550 erreur calcul : le prix a été modifié pas le total.,0,"20,3583333",Tonneaux,10430,"-212337,42 droits"
44,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vinaigre,Nord,11600,116,Tonneaux,100,,0,15,Tonneaux,116,-1740 droits
45,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Bled Despagne,Espagne,3000,50,Tonneaux,60,,,,,,
46,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Eau de vie,Espagne,2990,46,Barriques,65,,0,20,Barriques,46,-920 Droits
47,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Indigo,Espagne,18400,8000,Livres,"2,3",,,,,,
48,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Sucre brut,Espagne,720,4000,Livres,"0,18",,,,,,
49,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Vin de ville,Espagne,"1087,5","7,25",Tonneaux,150,50 écus soit 150 livres,0,"20,3583333",Tonneaux,"7,25","-147,6 Droits"
50,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,2,Anizette,Isles francoises Delamerique,865,865,Pots,1,,,,,,
51,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Anchoix,Isles francoises Delamerique,50,2,Caisses,25,,,,,,
52,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Anchoix,Isles francoises Delamerique,1000,1000,Livres,1,,,,,,
53,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Artichauds confits,Isles francoises Delamerique,140,14,Barrils,10,,,,,,
54,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Amendes cassées,Isles francoises Delamerique,4590,15300,Livres,"0,3",,,,,,
55,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bœuf salé,Isles francoises Delamerique,318620,15931,Barrils,20,,,,,,
56,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Beurre salé,Isles francoises Delamerique,50010,166700,Livres,"0,3",,,,,,
57,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Biere,Isles francoises Delamerique,1850,74,Barrriques,25,,,,,,
58,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Cuisses d'oye,Isles francoises Delamerique,1032,129,Barrils,8,,,,,,
59,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Cuisses d'oye,Isles francoises Delamerique,320,480,En nombre,"0,6666667",,,,,,
60,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Epicerie fine,Isles francoises Delamerique,920,115,Livres,8,,,,,,
61,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Eau de vie,Isles francoises Delamerique,123240,1896,Barriques,65,,,,,,
62,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Farine,Isles francoises Delamerique,503900,25195,Barrils,20,,,,,,
63,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Farine,Isles francoises Delamerique,22560,2256,Boisseaux,10,,,,,,
64,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Fromage,Isles francoises Delamerique,7525,38750,Livres,"0,22",-1000 erreur calcul,,,,,
65,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Fruit a l'eau de vie,Isles francoises Delamerique,2800,700,Pots,4,,,,,,
66,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Geroffle,Isles francoises Delamerique,800,100,Livres,8,,,,,,
67,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Huitres a la daube,Isles francoises Delamerique,564,188,Barrils,3,,,,,,
68,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Huile d'olive,Isles francoises Delamerique,14130,39250,Livres,"0,36",,,,,,
69,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Jambon,Isles francoises Delamerique,15880,39700,Livres,"0,4",,,,,,
70,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Langues de bœuf salées,Isles francoises Delamerique,120,6,Barrils,20,,,,,,
71,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Langues de bœuf salées,Isles francoises Delamerique,240,360,En nombre,"0,6666667",,,,,,
72,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Lard,Isles francoises Delamerique,33168,138200,Livres,"0,24",,,,,,
73,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Liqueur de ville,Isles francoises Delamerique,42609,14203,Pots,3,,,,,,
74,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Morue seiche,Isles francoises Delamerique,200,1000,Livres,"0,2",,,,,,
75,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Noisettes,Isles francoises Delamerique,980,3500,Livres,"0,28",,,,,,
76,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Olives,Isles francoises Delamerique,650,1,Valeur,650,,,,,,
77,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Poivre,Isles francoises Delamerique,1000,1000,Livres,1,,,,,,
78,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Pruneaux,Isles francoises Delamerique,2820,47000,Livres,"0,06",,,,,,
79,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Raisins secs,Isles francoises Delamerique,1584,8800,Livres,"0,18",,,,,,
80,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Servelats,Isles francoises Delamerique,600,600,Livres,1,,,,,,
81,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Saumon salé,Isles francoises Delamerique,240,6,Barrils,40,,,,,,
82,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Sardines,Isles francoises Delamerique,216,6,Barriques,36,,,,,,
83,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Sucre en pain,Isles francoises Delamerique,924,1540,Livres,"0,6",,,,,,
84,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Sel,Isles francoises Delamerique,1100,20,Pipes,55,,,,,,
85,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Sel,Isles francoises Delamerique,0,12,Mines,0,pas de prix indiqué,,,,,
86,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Thé,Isles francoises Delamerique,3056,764,Livres,4,,,,,,
87,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Vin de frontignan,Isles francoises Delamerique,"5407,5",3605,Pots,"1,5",,,,,,
88,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Vin de ville,Isles francoises Delamerique,735030,8167,Tonneaux,90,30 écus soit 90 livres,,,,,
89,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Argenterie,Isles francoises Delamerique,3752,67,Marcs,56,,,,,,
90,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Acier,Isles francoises Delamerique,1200,3000,Livres,"0,4",,,,,,
91,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bazin,Isles francoises Delamerique,2590,1295,Aunes,2,,,,,,
92,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bas de soye,Isles francoises Delamerique,25718,2338,Paires,11,,,,,,
93,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bas de laine,Isles francoises Delamerique,1974,564,En nombre,"3,5",,,,,,
94,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bas de coton,Isles francoises Delamerique,360,60,En nombre,5,60,,,,,
95,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bas de fil,Isles francoises Delamerique,3600,72,Douzaines,50,,,,,,
96,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bonnets de laisne,Isles francoises Delamerique,250,10,Douzaines,25,,,,,,
97,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Botines,Isles francoises Delamerique,864,216,Paires,4,,,,,,
98,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Boutons d'argent,Isles francoises Delamerique,720,30,grosses,24,,,,,,
99,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Boutons d'argent,Isles francoises Delamerique,270,18,Garnitures,15,,,,,,
100,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bougie de cire blanche,Isles francoises Delamerique,2400,1200,Livres,2,,,,,,
101,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Brun rouge,Isles francoises Delamerique,91,2600,Livres,"0,035",3L10 le 100,,,,,
102,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Billard,Isles francoises Delamerique,300,1,En nombre,300,,,,,,
103,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bouchons de liege,Isles francoises Delamerique,340,34000,En nombre,"0,01",,,,,,
104,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Barriques en bottes,Isles francoises Delamerique,"860,5",507,En nombre,"1,5",100 erreur calcul,,,,,
105,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Bray gras,Isles francoises Delamerique,192,12,Barrils,16,,,,,,
106,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Camelot,Isles francoises Delamerique,440,88,Aunes,5,,,,,,
107,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Callemandre,Isles francoises Delamerique,350,200,Aunes,"1,75",,,,,,
108,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Couverture de laisne,Isles francoises Delamerique,2616,218,Pièces,12,,,,,,
109,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Couverture de laisne,Isles francoises Delamerique,0,18300,Livres,0,aucune indication de montant unitaire (expication prix ?),,,,,
110,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Couty,Isles francoises Delamerique,5340,3560,Aunes,"1,5",,,,,,
111,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Cotonade,Isles francoises Delamerique,360,180,Aunes,2,,,,,,
112,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Chemises,Isles francoises Delamerique,1820,28,Douzaines,65,,,,,,
113,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Chemises,Isles francoises Delamerique,72,24,En nombre,3,,,,,,
114,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Chemises,Isles francoises Delamerique,640,384,En nombre,"1,6666667",,,,,,
115,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Chapeaux de castor,Isles francoises Delamerique,10368,576,Pièces,18,,,,,,
116,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Chapeaux demy castor,Isles francoises Delamerique,480,48,Pièces,10,,,,,,
117,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Chapeaux poil et laisne,Isles francoises Delamerique,3408,852,En nombre,4,,,,,,
118,Pascal Fontaine,AD 33 C4386,Local/Bordeaux/Bordeaux - Sorties - 1730-1778 (-).csv,Local,1730,Exports,Bordeaux,3,Chapeaux communs,Isles francoises Delamerique,4572,1524,En nombre,3,,,,,,
