,Entré par,Source,,,Année,Export/Export,Direction,Page,Nom Marchandise,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire en  Lt (décimale)," Valeur en livres, sous et deniers ",Différence,Remarques
66,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,cacao,Nord,"42 986,00",livre,"0,65"," 27 940,90    ","0,00",
67,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Caffé,Nord,"26 611 105,00",livre,"0,50"," 1 330 552,50    ","-11 975 000,00",erreur de calcul
68,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,eau de vie,Nord,"1 637,00",barrique,"120,00"," 196 440,00    ","0,00",
69,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,indigo,Nord,"412 156,00",livre,"6,00"," 2 472 936,00    ","0,00",
70,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,pruneaux,Nord,"1 510 777,00",livre,"0,10"," 151 077,70    ","0,00",
71,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Rocou,Nord,"2 899,00",livre,"0,30"," 869,70    ","0,00",
72,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Sucre Blanc,Nord,"3 532 232,00",livre,"0,50"," 1 766 116,00    ","0,00",
73,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,Sucre brut,Nord,"11 146 370,00",livre,"0,25"," 2 786 592,50    ","0,00",
74,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,vin de haut,Nord,"4 094,00",Tonneau,"200,00"," 818 800,00    ","0,00",
75,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,vin de ville,Nord,"12 351,00",Tonneau,"200,00"," 2 470 200,00    ","0,00",
76,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,4,vinaigre,Nord,"89,00",Tonneau,"100,00"," 8 900,00    ","0,00",
77,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Caffé,Russie,"13 309 012,00",livre,"0,50"," 6 654 506,00    ","0,00",
78,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,eau de vie,Russie,"1 274,00",barrique,"120,00"," 152 880,00    ","0,00",
79,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Indigo,Russie,"238 142,00",livre,"6,00"," 1 428 852,00    ","0,00",
80,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,pruneaux,Russie,"20 420,00",livre,"0,10"," 2 042,00    ","0,00",
81,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Sucre Blanc,Russie,"853 029,00",livre,"0,50"," 426 514,00    ","-0,50",oubli du %
82,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,vin de haut,Russie,"1 524,00",Tonneau,"200,00"," 304 800,00    ","0,00",
83,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,vin de ville,Russie,"5 244,00",Tonneau,"200,00"," 1 048 800,00    ","0,00",
84,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,vinaigre,Russie,"142,00",Tonneau,"100,00"," 14 200,00    ","0,00",
85,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Caffé,Suède,"4 173 967,00",livre,"0,50"," 2 086 983,50    ","0,00",
86,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,eau de vie,Suède,"891,00",barrique,"120,00"," 106 920,00    ","0,00",
87,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,indigo,Suède,"1 079 537,00",livre,"6,00"," 6 477 222,00    ","0,00",
88,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,pruneaux,Suède,"1 388 350,00",livre,"0,10"," 138 835,00    ","0,00",
89,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Rocou,Suède,"14 936,00",livre,"0,50"," 7 468,00    ","0,00",
90,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Sucre Blanc,Suède,"2 238 161,00",livre,"0,50"," 1 119 080,50    ","0,00",oubli du %
91,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Sucre brut,Suède,"619 460,00",livre,"0,25"," 154 865,00    ","0,00",oubli du %
92,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,vin de haut,Suède,"413,00",Tonneau,"200,00"," 82 600,00    ","0,00",
93,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,vin de ville,Suède,"1 190,00",Tonneau,"200,00"," 238 000,00    ","0,00",
94,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,vinaigre,Suède,"18,00",Tonneau,"100,00"," 1 800,00    ","0,00",
95,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Caffé,Suisse,"1 984 104,00",livre,"0,50"," 992 052,00    ","0,00",
96,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Indigo,Suisse,"83 159,00",livre,"6,00"," 498 954,00    ","0,00",
97,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Sucre Blanc,Suisse,"1 331 549,00",livre,"0,50"," 665 744,50    ","-30,00",oubli du %
98,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,5,Sucre en pain,Suisse,"569 774,00",livre,"0,80"," 455 819,20    ","0,00",oubli du %
99,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,acier,Iles françaises de l'Amerique,"7 284,00",livre,"0,60"," 4 370,40    ","0,00",
100,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,amidon,Iles françaises de l'Amerique,"44 050,00",livre,"0,20"," 8 810,00    ","0,00",
101,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,anchois,Iles françaises de l'Amerique,"5 020,00",flacon,"1,00"," 5 020,00    ","0,00",
102,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,argenterie,Iles françaises de l'Amerique,"28 550,00",valeur,"0,00", -      ,"0,00",
103,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,artichaux confits,Iles françaises de l'Amerique,"23 775,00",livre,"0,40"," 9 510,00    ","0,00",
104,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bas de fil,Iles françaises de l'Amerique,"14 120,00",paire,"2,00"," 28 240,00    ","0,00",
105,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bas de soye,Iles françaises de l'Amerique,"462,00",douzaine,"100,00"," 46 200,00    ","0,00",
106,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bazin,Iles françaises de l'Amerique,"10 152,00",aune,"3,00"," 30 456,00    ","0,00",
107,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bœuf sallé,Iles françaises de l'Amerique,"100 421,00",livre,"0,20"," 20 084,20    ","0,00",
108,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,beurre,Iles françaises de l'Amerique,"115 040,00",livre,"0,50"," 57 520,00    ","0,00",
109,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bierre,Iles françaises de l'Amerique,"388,00",barriques,"25,00"," 9 700,00    ","0,00",
110,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bijouterie,Iles françaises de l'Amerique,"12 000,00",valeur,"0,00", -      ,"0,00",
111,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bonnets de coton,Iles françaises de l'Amerique,"66,00",douzaine,"12,00"," 792,00    ","0,00",
112,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bougie,Iles françaises de l'Amerique,"13 050,00",livre,"2,25"," 29 362,00    ","-0,50",
113,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,bray,Iles françaises de l'Amerique,"25 150,00",livre,"0,10"," 2 515,00    ","0,00",
114,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,cercles de bois,Iles françaises de l'Amerique,"9 680,00",paquets,"2,00"," 19 360,00    ","0,00",
115,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,chandelles,Iles françaises de l'Amerique,"179 570,00",livre,"0,60"," 107 742,00    ","0,00",
116,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,chemises communes,Iles françaises de l'Amerique,"1 581,00",douzaine,"96,00"," 151 776,00    ","0,00",
117,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,coffres de chirurgie,Iles françaises de l'Amerique,"271,00",en nombre,"400,00"," 108 400,00    ","0,00",
118,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,cordages,Iles françaises de l'Amerique,"87 100,00",livre,"0,20"," 17 420,00    ","0,00",
119,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,cuivre ouvré,Iles françaises de l'Amerique,"17 798,00",livre,"1,80"," 32 036,40    ","0,00",
120,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,dames jeannes,Iles françaises de l'Amerique,"1 890,00",en nombre,"6,00"," 11 340,00    ","0,00",
121,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,dentelle fine,Iles françaises de l'Amerique,"6 210,00",valeur,"0,00", -      ,"0,00",
122,Paul CHEVRET,AD 33 C4388,Local/Bordeaux/Bordeaux - Entrées - 1777.csv,Local,1772,Exports,Bordeaux,6,eau de vie,Iles françaises de l'Amerique,"282,00",barrique,"120,00"," 33 840,00    ","0,00",
