marchandises,marchandises_normalisees_inter,marchandises_normalisees,product_prix,dutchtranslation,englishproduct,unit,alternativenames,source_rg_1774,source_rgbase,source_france,source_sound,source_hambourg,v14,v15,remarques,nbr_lignes_fr,nbr_lignes_hambourg
,???,???,,,,,,,,1,,,,,,2205,
.,???,???,,,,,,,,,,,,,,,
///Industrie Générale///Peaux et pelleteries,Peaux et pelleteries,Peaux et pelleteries,,,,,,0,0,1,,,,,,12,
///Industrie Générale///Porcelaine,Porcelaine,Porcelaine,,,,,,0,0,1,,,,,,7,
///Industrie Générale///Poudre à tirer,Poudre ; à tirer,Poudre à tirer,,,,,,0,0,1,,,,,,2,
///Industrie Générale///Quincaillerie,Quincaillerie,Quincaillerie,,,,,,0,0,1,,,,,,14,
///Industrie Générale///Savons,Savon,Savon,,,,,,0,0,1,,,,,,14,
///Industrie Générale///Tableaux et Estampes,Tableau et estampes,Tableaux et estampes,,,,,,0,0,1,,,,,,5,
///Industrie Générale///Verrerie,Verrerie,Verrerie,,,,,,0,0,1,,,,,,12,
///Industrie générale///Armes,Armes,Arme,,,,,,0,0,1,,,,,,2,
///Industrie générale///Articles d'industrie réunis,Articles ; d'industrie ; réunis,Industrie ; divers,,,,,,0,0,1,,,,,,35,
///Industrie générale///Bijouterie,Bijouterie,Bijouterie,,,,,,0,0,1,,,,,,24,
///Industrie générale///Bougie,Bougie,Bougie,,,,,,0,0,1,,,,,,1,
///Industrie générale///Cauris,Cauris,Cauris,,,,,,0,0,1,,,,,,2,
///Industrie générale///Chandelle,Chandelles,Chandelle,,,,,,0,0,1,,,,,,1,
///Industrie générale///Cordages,Cordage,Cordage,,,,,,0,0,1,,,,,,2,
///Industrie générale///Dorures fines,Dorure ; fine,Dorure ; fine,,,,,,0,0,1,,,,,,17,
///Industrie générale///Esprit de vin,Esprit ; de vin,Esprit ; de vin,,,,,,0,0,1,,,,,,11,
///Industrie générale///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,14,
///Industrie générale///Gants de peau,Gants ; de peaux,Gants ; de peaux,,,,,,0,0,1,,,,,,21,
///Industrie générale///Habillemens et lingerie,Habillements ; et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,22,
///Industrie générale///Horlogerie,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,15,
///Industrie générale///Jeux de voiles,Jeux ; de voiles,Jeux ; de voiles,,,,,,0,0,1,,,,,,2,
///Industrie générale///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,31,
///Industrie générale///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,37,
///Industrie générale///Meubles et glaces,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,28,
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,Ouvrage ; de cuir ; en cordonnerie et sellerie,Ouvrage ; de cuir ; cordonnerie et sellerie,,,,,,0,0,1,,,,,,9,
///Industrie générale///Ouvrages de cuivre doré et argenté,Ouvrage ; de cuivre ; Doré et argenté,Ouvrage ; de cuivre,,,,,,0,0,1,,,,,,13,
///Industrie générale///Ouvrages de modes et fleurs artificielles,Ouvrage ; de modes ; En fleurs artificielles,Ouvrage ; de mode ; fleurs artificielles,,,,,,0,0,1,,,,,,24,
///Industrie générale///Ouvrages de terre cuite,Ouvrage ; de terre cuite,Ouvrage ; de terre cuite,,,,,,0,0,1,,,,,,1,
///Industrie générale///Ouvrages divers,Ouvrage ; Divers,Ouvrage ; divers,,,,,,0,0,1,,,,,,22,
///Industrie générale///Papier pour tenture,Papier ; à tenture,Papier ; à tenture,,,,,,0,0,1,,,,,,6,
///Industrie générale///Papiers pour tenture,Papier ; à tenture,Papier ; à tenture,,,,,,0,0,1,,,,,,14,
///Industrie générale///Papiers à écrire,Papier ; à écrire,Papier ; à écrire,,,,,,0,0,1,,,,,,36,
///Industrie générale///Parfumerie,Parfumerie,Parfumerie,,,,,,0,0,1,,,,,,21,
///Industrie générale///Passementerie,Passementerie,Passementerie,,,,,,0,0,1,,,,,,6,
///Industrie générale///Peaux et pelleteries,Peaux et pelleteries,Peaux et pelleteries,,,,,,0,0,1,,,,,,28,
///Industrie générale///Porcelaine,Porcelaine,Porcelaine,,,,,,0,0,1,,,,,,13,
///Industrie générale///Poudre à tirer,Poudre ; à tirer,Poudre à tirer,,,,,,0,0,1,,,,,,1,
///Industrie générale///Quincaillerie,Quincaillerie,Quincaillerie,,,,,,0,0,1,,,,,,26,
///Industrie générale///Savons,Savon,Savon,,,,,,0,0,1,,,,,,30,
///Industrie générale///Tableaux et estampes,Tableau et estampes,Tableaux et estampes,,,,,,0,0,1,,,,,,12,
///Industrie générale///Verrerie,Verrerie,Verrerie,,,,,,0,0,1,,,,,,19,
///Industrie étrangère///Articles réunis,Industrie étrangère ; Articles ; réunis,Divers,,,,,,0,0,1,,,,,,36,
///Industrie étrangère///Bouchons de liége,Bouchons ; de liège,Bouchons ; de liège,,,,,,0,0,1,,,,,,2,
///Industrie étrangère///Cauris,Cauris,Cauris,,,,,,0,0,1,,,,,,1,
///Industrie étrangère///Colle de toute sorte,Colles ; de toute sorte,Colle,,,,,,0,0,1,,,,,,3,
///Industrie étrangère///Colles de toute sorte,Colles ; de toute sorte,Colle,,,,,,0,0,1,,,,,,9,
///Industrie étrangère///Faience et poterie,Faïence et poterie,Ouvrage ; de poterie et faïence,,,,,,0,0,1,,,,,,4,
///Industrie étrangère///Habillement et lingerie,Habillements ; et lingerie,Habit et lingerie,,,,,,0,0,1,,,,,,12,
///Industrie étrangère///Horlogerie,Horlogerie,Horlogerie,,,,,,0,0,1,,,,,,5,
///Industrie étrangère///Librairie,Librairie,Librairie,,,,,,0,0,1,,,,,,16,
///Industrie étrangère///Marbres,Marbre,Marbre,,,,,,0,0,1,,,,,,10,
///Industrie étrangère///Merceries,Mercerie,Mercerie,,,,,,0,0,1,,,,,,18,
///Industrie étrangère///Meubles et miroirs,Meubles et miroirs,Meuble et miroir,,,,,,0,0,1,,,,,,9,
///Industrie étrangère///Ouvrages de jonc,Ouvrage ; de joncs,Ouvrage ; de jonc,,,,,,0,0,1,,,,,,14,
///Industrie étrangère///Ouvrages divers,Ouvrage ; Divers,Ouvrage ; divers,,,,,,0,0,1,,,,,,26,
///Industrie étrangère///Peaux et pelleteries,Peaux et pelleteries,Pelleterie,,,,,,0,0,1,,,,,,35,
///Industrie étrangère///Plumes d'Autruche,Plumes ; d'autruche,Plume ; d'autruche,,,,,,0,0,1,,,,,,5,
///Industrie étrangère///Plumes de toute sorte,Plumes ; de toute sorte,Plume ; divers,,,,,,0,0,1,,,,,,20,
///Industrie étrangère///Plumes à écrire,Plumes ; à écrire,Plume ; à écrire,,,,,,0,0,1,,,,,,6,
"///Industrie étrangère///Porcelaine, faience et poterie","Porcelaine, faïence et poterie","Ouvrage ; de porcelaine, faïence et poterie",,,,,,0,0,1,,,,,,12,
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...",Quincaillerie ; Divers,Quincaillerie,,,,,,0,0,1,,,,,,8,
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..",Quincaillerie ; Divers,Quincaillerie,,,,,,0,0,1,,,,,,12,
///Industrie étrangère///Savons,Savon,Savon,,,,,,0,0,1,,,,,,6,
///Industrie étrangère///Voitures,Voitures,Voiture,,,,,,0,0,1,,,,,,2,
///Matieres d'Or et d'argent///Monnaies au type étranger,Monnaies ; étrangères,Monnaie ; or et argent,,,,,,0,0,1,,,,,,1,
///Matieres d'Or et d'argent///Orfévrerie,Orfèvrerie,Orfèvrerie,,,,,,0,0,1,,,,,,7,
///Matière d'Or et d'argent///Monnaies au type étranger,Monnaies ; étrangères,Monnaie ; étrangère,,,,,,0,0,1,,,,,,6,
///Matière d'Or et d'argent///Orfévrerie,Orfèvrerie,Orfèvrerie,,,,,,0,0,1,,,,,,16,
///Matières d'Or et d'argent///Argenterie et orfévrerie,Argenterie et orfèvrerie,Argenterie et orfèvrerie,,,,,,0,0,1,,,,,,4,
///Matières d'Or et d'argent///Argenteries et orfévrerie,Argenterie et orfèvrerie,Argenterie et orfèvrerie,,,,,,0,0,1,,,,,,5,
"///Matières d'Or et d'argent///Monnaies étrangères , ou lingots",Monnaies ; étrangères ou lingots,Monnaie ; or et argent et lingot,,,,,,0,0,1,,,,,,10,
///Matières d'Or et d'argent///Monnaies étrangères ou lingots,Monnaies ; étrangères ou lingots,Monnaie ; or et argent et lingot,,,,,,0,0,1,,,,,,4,
///Matières d'or et d'argent///Monnaies étrangères et lingots,Monnaies ; étrangères ou lingots,Monnaie ; or et argent et lingot,,,,,,0,0,1,,,,,,3,
///Matières d'or et d'argent///Orfévrerie,Orfèvrerie,Orfèvrerie,,,,,,0,0,1,,,,,,1,
///Métaux///Argent vif,Argent ; vif,Argent ; vif,,,,,,0,0,1,,,,,,7,
///Métaux///Articles réunis,Métaux ; Articles ; réunis,Métaux ; divers,,,,,,0,0,1,,,,,,5,
///Métaux///Autres métaux,Métaux ; autres,Métaux ; divers,,,,,,0,0,1,,,,,,29,
///Métaux///Cuivre,Cuivre,Cuivre,,,,,,0,0,1,,,,,,28,
"///Métaux///Cuivre, bronze et Laiton","Cuivre, bronze et laiton","Cuivre, bronze et laiton",,,,,,0,0,1,,,,,,10,
"///Métaux///Cuivre, bronze et laiton","Cuivre, bronze et laiton","Cuivre, bronze et laiton",,,,,,0,0,1,,,,,,15,
"///Métaux///Cuivre,bronze et laiton","Cuivre, bronze et laiton","Cuivre, bronze et laiton",,,,,,0,0,1,,,,,,9,
///Métaux///Etain,Étain,Étoffe,,,,,,0,0,1,,,,,,12,
///Métaux///Fer blanc,Fer ; blanc,Fer ; blanc,,,,,,0,0,1,,,,,,6,
///Métaux///Fer-blanc,Fer ; blanc,Fer ; blanc,,,,,,0,0,1,,,,,,9,
///Métaux///Fers,Fer,Fer,,,,,,0,0,1,,,,,,37,
///Métaux///Fers blanc,Fer ; blanc,Fer ; blanc,,,,,,0,0,1,,,,,,3,
///Métaux///Fers et aciers,Fer et acier,Fer et acier,,,,,,0,0,1,,,,,,42,
///Métaux///Plomb,Plomb,Plomb,,,,,,0,0,1,,,,,,18,
///Métaux///plomb,Plomb,Plomb,,,,,,0,0,1,,,,,,8,
///Objets manufacturés///Armes,Armes,Arme,,,,,,0,0,1,,,,,,1,
///Objets manufacturés///Articles réunis,Armes ; réunies,Arme,,,,,,0,0,1,,,,,,21,
"///Objets manufacturés///Bonneterie en fil , coton et laine","Bonneterie ; de fil, coton et laine","Bonneterie ; de fil, coton et laine",,,,,,0,0,1,,,,,,11,
"///Objets manufacturés///Bonneterie en fil, coton et laine","Bonneterie ; de fil, coton et laine","Bonneterie ; de fil, coton et laine",,,,,,0,0,1,,,,,,4,
///Objets manufacturés///Bonneterie ordinaire en coton et laine,"Bonneterie ; de fil, coton et laine","Bonneterie ; de fil, coton et laine",,,,,,0,0,1,,,,,,5,
///Objets manufacturés///Bonneteries de soie,Bonneterie ; de soie,Bonneterie ; de soie,,,,,,0,0,1,,,,,,48,
///Objets manufacturés///Bonneteries diverses,Bonneterie ; diverse,Bonneterie,,,,,,0,0,1,,,,,,36,
///Objets manufacturés///Chapellerie,Chapellerie,Chapellerie,,,,,,0,0,1,,,,,,44,
///Objets manufacturés///Dentelles,Dentelle,Dentelle,,,,,,0,0,1,,,,,,40,
///Objets manufacturés///Dentelles de fil,Dentelle ; de fil et soie,Dentelle ; de fil et soie,,,,,,0,0,1,,,,,,8,
///Objets manufacturés///Draperies,Draperie,Draperie,,,,,,0,0,1,,,,,,69,
///Objets manufacturés///Etoffe mélangées de ces matieres,Étoffe ; mélangées de ces matières,Étoffe ; mélangées de ces matières,,,,,,0,0,1,,,,,,13,
///Objets manufacturés///Etoffe riches,Étoffe ; riche,Étoffe ; riche,,,,,,0,0,1,,,,,,15,
///Objets manufacturés///Etoffes de coton,Étoffe ; de coton,Étoffe ; de coton,,,,,,0,0,1,,,,,,26,
///Objets manufacturés///Etoffes de laine,Étoffe ; de laine,Étoffe ; de laine,,,,,,0,0,1,,,,,,32,
///Objets manufacturés///Etoffes de laine et de poil,Étoffe ; de laine et poil,Étoffe ; de laine et poil,,,,,,0,0,1,,,,,,17,
///Objets manufacturés///Etoffes de soie,Étoffe ; de soie,Étoffe ; de soie,,,,,,0,0,1,,,,,,57,
///Objets manufacturés///Etoffes diverses,Étoffe ; diverses,Étoffe,,,,,,0,0,1,,,,,,34,
///Objets manufacturés///Etoffes en coton et en laine,Étoffe ; de coton et laine,Étoffe ; de coton et laine,,,,,,0,0,1,,,,,,16,
///Objets manufacturés///Etoffes mélangées de ces matières,Étoffe ; mélangées de ces matières,Étoffe ; mélangées de ces matières,,,,,,0,0,1,,,,,,20,
///Objets manufacturés///Etoffes riches,Étoffe ; riche,Étoffe ; riche,,,,,,0,0,1,,,,,,16,
"///Objets manufacturés///Gazes, crepes et mouchoirs de soie","Gazes, crêpes et mouchoirs de soie","Gazes, crêpes et Mouchoir de soie",,,,,,0,0,1,,,,,,39,
"///Objets manufacturés///Gazes, crêpes et mouchoirs de soie","Gazes, crêpes et mouchoirs de soie","Gazes, crêpes et Mouchoir de soie",,,,,,0,0,1,,,,,,19,
///Objets manufacturés///Mouchoirs divers en fil et coton,Mouchoir ; divers,Mouchoir,,,,,,0,0,1,,,,,,28,
///Objets manufacturés///Mouchoirs divers et des Indes,Mouchoir ; divers,Mouchoir,,,,,,0,0,1,,,,,,17,
///Objets manufacturés///Mousselines,Mousseline,Mousseline,,,,,,0,0,1,,,,,,24,
///Objets manufacturés///Objets manufacturés réunis,Objets ; manufacturés ; réunis,Objets ; manufacturés ; réunis,,,,,,0,0,1,,,,,,27,
///Objets manufacturés///Rubannerie de soie,Rubanerie ; de soie,Rubanerie ; de soie,,,,,,0,0,1,,,,,,39,
///Objets manufacturés///Rubannerie ordinaire,Rubanerie ; ordinaire,Rubanerie ; ordinaire,,,,,,0,0,1,,,,,,17,
///Objets manufacturés///Rubanneries diverses,Rubanerie ; diverse,Rubanerie ; diverse,,,,,,0,0,1,,,,,,3,
"///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans","Soierie en étoffe, mouchoirs, gazes et rubans","Mouchoir, gaze et ruban ; étoffe ; soie",,,,,,0,0,1,,,,,,12,
"///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans","Soierie en étoffe, mouchoirs, gazes et rubans","Mouchoir, gaze et ruban ; étoffe ; soie",,,,,,0,0,1,,,,,,15,
"///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans","Soierie en étoffe, mouchoirs, gazes et rubans","Mouchoir, gaze et ruban ; étoffe ; soie",,,,,,0,0,1,,,,,,13,
///Objets manufacturés///Toile de coton,Toile ; de coton,Toile ; de coton,,,,,,0,0,1,,,,,,12,
///Objets manufacturés///Toile de fil et coton,Toile ; de fil et coton,Toile ; de fil et coton,,,,,,0,0,1,,,,,,11,
///Objets manufacturés///Toiles de coton,Toile ; de coton,Toile ; de coton,,,,,,0,0,1,,,,,,29,
"///Objets manufacturés///Toiles de coton, mousseline et nankin","Toile ; de coton, mousseline et nankin","Toile ; de coton, mousseline et nankin",,,,,,0,0,1,,,,,,11,
"///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes","Toile ; de coton, mousseline, nankin et des indes","Toile ; de coton, mousseline, Nankin et des indes",,,,,,0,0,1,,,,,,10,
