marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound	v14	v15	remarques	test	numrodeligne	dataentryby	source	SourceType	year	exportsimports	direction	bureaux	sheet	origine	pays	quantit	value	leurvaleursubtotal1	leurvaleursubtotal2	leurvaleursubtotal3	total	remarks
///Drogues diverses///Huile et essence de térébenthine	Drogues ; Huile et essence de Térébenthine ; Diverses	Drogue ; térébenthine ; essence et huile						0	0	1	0					1	924	Fatima Zahra	AN F12 251	Résumé	1787	Imports			6		Milanes et toscane		16100				577400	
///Drogues Diverses///Sels chimiques	Drogues ; chimiques ; Sel divers	Drogue ; chimique ; Sel divers						0	0	1	0					1	1039	Fatima Zahra	AN F12 251	Résumé	1789	Exports			13		République de Suisse		82000				765000	
///Drogues diverses///Sels chimiques	Drogues ; chimiques ; Sel divers	Drogue ; chimique ; Sel divers						0	0	1	0					1	661	Fatima Zahra	AN F12 251	Résumé	1788	Imports			14		Angleterre		51800				371000	
///Drogues Médicinales///Drogues médicinales réunies	Drogues ; médicinales ; Réunies	Drogue ; médicinale ; Réunies						0	0	1	0					1	947	Fatima Zahra	AN F12 251	Résumé	1788	Exports			7		Empire d'Autriche		216500				1094900	
///Drogues médicinales///Drogues médicinales réunies	Drogues ; médicinales ; Diverses	Drogue ; médicinale ; Diverses						0	0	1	0					1	1031	Fatima Zahra	AN F12 251	Résumé	1789	Exports			13		Royaume de Prusse		8000				169000	
///Drogues Médicinales///Drogues réunies	Drogues ; médicinales ; Réunies	Drogue ; médicinale ; Réunies						0	0	1	0					1	1456	Fatima Zahra	AN F12 251	Résumé	1787	Exports			13		Villes anséatiques		60500		292300			
///Drogues médicinales///Drogues réunies	Drogues ; médicinales ; Diverses	Drogue ; médicinale ; Diverses						0	0	1	0					1	651	Fatima Zahra	AN F12 251	Résumé	1788	Imports			13		Hollande		15900				490100	
///Drogues Médicinales///Ipécacuanha	Drogues ; médicinales ; Ipécacuana	Drogue ; médicinale ; Ipécacuana						0	0	1	0					1	683	Fatima Zahra	AN F12 251	Résumé	1789	Imports			6		Empire Ottoman et Barbarie		22000				573000	
///Drogues médicinales///Ipécacuanha	Drogues ; médicinales ; Ipécacuana	Drogue ; médicinale ; Ipécacuana						0	0	1	0					1	666	Fatima Zahra	AN F12 251	Résumé	1789	Imports			6		?							
///Drogues Médicinales///Jus de réglisse	Drogues ; médicinales ; Jus de réglisse	Drogue ; médicinale ; Jus de réglisse						0	0	1	0					1	667	Fatima Zahra	AN F12 251	Résumé	1789	Imports			6		Royaume d'Espagne		23000				188000	
///Drogues médicinales///Jus de réglisse	Drogues ; médicinales ; Jus de réglisse	Drogue ; médicinale ; Jus de réglisse						0	0	1	0					1	661	Fatima Zahra	AN F12 251	Résumé	1789	Imports			6		Milanie Toscane		17000				266000	
///Drogues Médicinales///Manne	Drogues ; médicinales ; Manne	Drogue ; médicinale ; Manne						0	0	1	0					1	665	Fatima Zahra	AN F12 251	Résumé	1789	Imports			7		Angleterre		9000				136000	
///Drogues médicinales///Manne	Drogues ; médicinales ; Manne	Drogue ; médicinale ; Manne						0	0	1	0					1	671	Fatima Zahra	AN F12 251	Résumé	1789	Imports			6		République de Gènes		8000				21000	
///Drogues Médicinales///Quinquina	Drogues ; médicinales ; Quinquina	Drogue ; médicinale ; Quinquina						0	0	1	0					1	677	Fatima Zahra	AN F12 251	Résumé	1789	Imports			7		Royaume de Portugal		76000				213000	
///Drogues médicinales///Quinquina	Drogues ; médicinales ; Quinquina	Drogue ; médicinale ; Quinquina						0	0	1	0					1	672	Fatima Zahra	AN F12 251	Résumé	1789	Imports			6		Milanie Toscane		99000				329000	
///Drogues Médicinales///Safran	Drogues ; médicinales ; Safran	Drogue ; Safran						0	0	1	0					1	1431	Fatima Zahra	AN F12 251	Résumé	1787	Exports			14		Empire d'Autriche		58900		1076800			
///Drogues médicinales///Safran	Drogues ; médicinales ; Safran	Drogue ; Safran						0	0	1	0					1	642	Fatima Zahra	AN F12 251	Résumé	1788	Imports			14		Angleterre		85400				625400	
///Drogues Médicinales///Salsepareille	Drogues ; médicinales ; Salsepareille	Drogue ; médicinale ; Salsepareille						0	0	1	0					1	620	Fatima Zahra	AN F12 251	Résumé	1788	Imports			14		Royaume de Portugal		19600				19600	
///Drogues médicinales///Salsepareille	Drogues ; médicinales ; Salsepareille	Drogue ; médicinale ; Salsepareille						0	0	1	0					1	623	Fatima Zahra	AN F12 251	Résumé	1788	Imports			13		République de Genes		10300				165800	
///Drogues Médicinales///Séné	Drogues ; médicinales ; Séné	Drogue ; médicinale ; Séné						0	0	1	0					1	617	Fatima Zahra	AN F12 251	Résumé	1788	Imports			14		Royaume de naples		628900				693300	
///Drogues médicinales///Séné	Drogues ; médicinales ; Séné	Drogue ; médicinale ; Séné						0	0	1	0					1	1407	Fatima Zahra	AN F12 251	Résumé	1787	Exports			13		Hollande		3100		9100			
///Drogues midicinales///Drogues réunies	Drogues ; médicinales ; Réunies	Drogue ; médicinale ; Réunies						0	0	1	0					1	926	Fatima Zahra	AN F12 251	Résumé	1788	Exports			6		Etats de l'Allemagne		32100				515700	
///Drogues midicinales///Ipécacuanha	Drogues ; médicinales ; Ipécacuana	Drogue ; médicinale ; Ipécacuana						0	0	1	0					1	631	Fatima Zahra	AN F12 251	Résumé	1788	Imports			14		Royaume de Portugal		49200				115900	
///Drogues midicinales///Jus de réglisse	Drogues ; médicinales ; Jus de réglisse	Drogue ; médicinale ; Jus de réglisse						0	0	1	0					1	627	Fatima Zahra	AN F12 251	Résumé	1788	Imports			13		Milane et toscane		34100				125500	
///Drogues midicinales///Manne	Drogues ; médicinales ; Manne	Drogue ; médicinale ; Manne						0	0	1	0					1	655	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Royaume de Sardaigne		115000				4343000	
///Drogues midicinales///Quinquina	Drogues ; médicinales ; Quinquina	Drogue ; médicinale ; Quinquina						0	0	1	0					1	583	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Royaume d'Espagne		207000				207000	
///Drogues midicinales///Safran	Drogues ; médicinales ; Safran	Drogue ; Safran						0	0	1	0					1	616	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Empire de Russie		58000				294000	
///Drogues midicinales///Salsepareille	Drogues ; médicinales ; Salsepareille	Drogue ; médicinale ; Salsepareille						0	0	1	0					1	637	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Angleterre		1.1e+06				1137000	
///Drogues midicinales///Sené	Drogues ; médicinales ; Séné	Drogue ; médicinale ; Séné						0	0	1	0					1	612	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Angleterre		99000				246000	
///Industrie Etrangère///Articles réunis	Industrie étrangère ; Articles ; réunis	Industrie étrangère ; divers						0	0	1	0					1	624	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Hollande		16000				65000	
///Industrie étrangère///Articles réunis	Industrie étrangère ; Articles ; réunis	Divers						0	0	1	0					1	621	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Villes Anséatiques		8000				625000	
///Industrie Etrangère///Bouchons de liège	Bouchons ; de liège	Bouchons ; de liège						0	0	1	0					1	584	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Milanie Toscane		350000				388000	
///Industrie étrangère///Bouchons de liége	Bouchons ; de liège	Bouchons ; de liège						0	0	1	0					1	589	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		République de Suisse		50000				1769000	
///Industrie étrangère///Cauris	Cauris	Cauris						0	0	1	0					1	640	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Empire d'Autriche		12000				96000	
///Industrie étrangère///Colle de toute sorte	Colles ; de toute sorte	Colle						0	0	1	0					1	595	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Royaume d'Espagne		92000				131000	
///Industrie Etrangère///Colles de toute sorte	Colles ; de toute sorte	Colle						0	0	1	0					1	608	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Angleterre		251000				669000	
///Industrie étrangère///Colles de toute sorte	Colles ; de toute sorte	Colle						0	0	1	0					1	556	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Royaume de Prusse		17000				1891000	
///Industrie Etrangère///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					1	631	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Royaume de Sardaigne		9000				19000	
///Industrie étrangère///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					1	628	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Villes Anséatiques		64000				102000	
///Industrie Etrangère///Habillement et lingerie	Habillements ; et lingerie	Habit ; et lingerie						0	0	1	0					1	635	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Royaume de Suède		14000				195000	
///Industrie étrangère///Habillement et lingerie	Habillements ; et lingerie	Habit ; et lingerie						0	0	1	0					1	575	Fatima Zahra	AN F12 251	Résumé	1789	Imports			4		Villes Anséatiques		201000				4043000	
///Industrie étrangère///Horlogerie	Horlogerie	Horlogerie						0	0	1	0					1	581	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Empire d'Autriche		11000				41000	
///Industrie Etrangère///Horlogeries	Horlogerie	Horlogerie						0	0	1	0					1	642	Fatima Zahra	AN F12 251	Résumé	1789	Imports			5		Angleterre		397000				397000	
///Industrie Etrangère///Librairie	Librairie	Librairie						0	0	1	0					1	992	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Empire de Russie		112000				3110000	
///Industrie étrangère///Librairie	Librairie	Librairie						0	0	1	0					1	894	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Royaume de Sardaigne		43000				166000	
///Industrie Etrangère///Marbres	Marbre	Marbre						0	0	1	0					1	795	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		368000				368000	
///Industrie étrangère///Marbres	Marbre	Marbre						0	0	1	0					1	778	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		1.1e+06				1133000	
///Industrie Etrangère///Merceries	Mercerie	Mercerie						0	0	1	0					1	787	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		1.3e+06				1342000	
///Industrie étrangère///Merceries	Mercerie	Mercerie						0	0	1	0					1	807	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		1.2e+06				1215000	
///Industrie Etrangère///Meubles et miroirs	Meubles et miroirs	Meuble ; et miroir						0	0	1	0					1	897	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Etats de l'Allemagne		245000				1125000	
///Industrie étrangère///Meubles et miroirs	Meubles et miroirs	Meuble ; et miroir						0	0	1	0					1	808	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Royaume de Prusse		32000				212000	
///Industrie Etrangère///Ouvrages de jonc	Ouvrages ; de joncs	Ouvrage ; de jonc						0	0	1	0					1	799	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Empire d'Autriche		12000				563000	
///Industrie étrangère///Ouvrages de jonc	Ouvrages ; de joncs	Ouvrage ; de jonc						0	0	1	0					1	779	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Royaume d'Espagne		17000				373000	
///Industrie Etrangère///Ouvrages divers	Ouvrages ; Divers	Ouvrage ; divers						0	0	1	0					1	790	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		République de Suisse		9000				1624000	
///Industrie étrangère///Ouvrages divers	Ouvrages ; Divers	Ouvrage ; divers						0	0	1	0					1	805	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Angleterre		14000				294000	
///Industrie Etrangère///Peaux et pelleteries	Peaux et pelleteries	Pelleterie						0	0	1	0					1	811	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		1.3e+06				1338000	
///Industrie étrangère///Peaux et pelleteries	Peaux et pelleteries	Pelleterie						0	0	1	0					1	913	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Royaume de Portugal		93000				730000	
///Industrie Etrangère///Plumes à écrire	Plumes ; à écrire	Plume ; à écrire						0	0	1	0					1	974	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Empire d'Autriche		500000				543000	Le total et la marchandise ne correspondent pas
///Industrie étrangère///Plumes à écrire	Plumes ; à écrire	Plume ; à écrire						0	0	1	0					1	761	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Royaume d'Espagne		1.3e+06				3792000	
///Industrie Etrangère///Plumes d'autruche	Plumes ; d'autruche	Plume ; d'autruche						0	0	1	0					1	812	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Royaume d'Espagne		32000				1507000	
///Industrie étrangère///Plumes d'Autruche	Plumes ; d'autruche	Plume ; d'autruche						0	0	1	0					1	923	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Hollande		48000				90000	
///Industrie Etrangère///Plumes de toute sorte	Plumes ; de toute sorte	Plume ; divers						0	0	1	0					1	917	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		1.4e+06				1431000	
///Industrie étrangère///Plumes de toute sorte	Plumes ; de toute sorte	Plume ; divers						0	0	1	0					1	934	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		115000				773000	
///Industrie étrangère///Porcelaine, faience et poterie	Porcelaine, faïence et poterie	Ouvrage ; de porcelaine, faïence et poterie						0	0	1	0					1	921	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Empire d'Autriche		13000				435000	
///Industrie Etrangère///Quincailleries diverses	Quincaillerie ; Diverse	Quincaillerie						0	0	1	0					1	935	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		392000				392000	
///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...	Quincaillerie ; Divers	Quincaillerie						0	0	1	0					1	972	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Empire de Russie		23000				323000	
///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..	Quincaillerie ; Divers	Quincaillerie						0	0	1	0					1	957	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Royaume de Suède		12000				1726000	
///Industrie Etrangère///Savons	Savon	Savon						0	0	1	0					1	889	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		283000				283000	
///Industrie étrangère///Savons	Savon	Savon						0	0	1	0					1	844	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Etats de l'Allemagne		12000				789000	
///Industrie Etrangère///Voitures	Voitures	Voitures						0	0	1	0					1	936	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Royaume d'Espagne		19000				39000	
///Industrie étrangère///Voitures	Voitures	Voitures						0	0	1	0					1	944	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		République de Gènes		36000				3342000	
///Industrie générale///Armes	Armes	Arme						0	0	1	0					1	885	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		République de Suisse		48000				501000	
///Industrie Générale///Articles d'industrie réunis	Articles ; d'industrie ; réunis	Industrie ; divers						0	0	1	0					1	976	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Colonies françaises		208000				208000	
///Industrie générale///Articles d'industrie réunis	Articles ; d'industrie ; réunis	Industrie ; divers						0	0	1	0					1	834	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Royaume de Naples		42000				2713000	
///Industrie Générale///Bijouterie	Bijouterie	Bijouterie						0	0	1	0					1	856	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		Royaume d'Espagne		123000				3749000	
///Industrie générale///Bijouterie	Bijouterie	Bijouterie						0	0	1	0					1	824	Fatima Zahra	AN F12 251	Résumé	1789	Exports			12		Empire de Russie		27000				75000	
///Industrie Générale///Bougie	Bougie	Bougie						0	0	1	0					1	874	Fatima Zahra	AN F12 251	Résumé	1789	Exports			11		République de Suisse		20000				1127000	
///Industrie générale///Bougie	Bougie	Bougie						0	0	1	0					1	868	Fatima Zahra	AN F12 251	Résumé	1788	Exports			5		Colonies francaises en Asie,Afrique en Amérique		735500				735500	
///Industrie Générale///Cauris	Cauris	Cauris						0	0	1	0					1	909	Fatima Zahra	AN F12 251	Résumé	1788	Exports			4		Royaume de Danemarck		46600				3965800	
///Industrie générale///Cauris	Cauris	Cauris						0	0	1	0					1	1248	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Royaume de Naples		1800		1061300			
///Industrie générale///Chandelle	Chandelles	Chandelle						0	0	1	0					1	1083	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Colonies francaises en Amérique,Asie et afrique		608200		608200			
///Industrie Générale///Chandelles	Chandelles	Chandelle						0	0	1	0					1	918	Fatima Zahra	AN F12 251	Résumé	1788	Exports			5		Colonies francaises en Asie,Afrique en Amérique		568100				568100	
///Industrie Générale///Cordages	Cordage	Cordage						0	0	1	0					1	1147	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Colonies francaises en Amérique,Asie et afrique		1.8e+06		1774400			
///Industrie générale///Cordages	Cordage	Cordage						0	0	1	0					1	772	Fatima Zahra	AN F12 251	Résumé	1788	Exports			5		Colonies francaises en Asie,Afrique en Amérique		1.3e+06				1332700	
///Industrie Générale///Dorures fines	Dorure ; fine	Dorure ; fine						0	0	1	0					1	824	Fatima Zahra	AN F12 251	Résumé	1788	Exports			4		Royaume d'Espagne		240400				1219600	
///Industrie générale///Dorures fines	Dorure ; fine	Dorure ; fine						0	0	1	0					1	1125	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Empire d'Autriche		48800		162200			
///Industrie Générale///Esprit de vin	Esprit ; de vin	Esprit ; de vin						0	0	1	0					1	1104	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Empire ottoman et barbarie		41100		489400			
///Industrie générale///Esprit de vin	Esprit ; de vin	Esprit ; de vin						0	0	1	0					1	1081	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Angleterre		37400		498800			
///Industrie Générale///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					1	1088	Fatima Zahra	AN F12 251	Résumé	1787	Exports			11		Etats-Unis d'Amérique		5300		1978100			
///Industrie générale///Faience et poterie	Faïence et poterie	Ouvrage ; de poterie et faïence						0	0	1	0					1	1119	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Colonies francaises en Amérique,Asie et afrique		12300		111200			
///Industrie Générale///Gants de peau	Gants ; de peaux	Gants ; de peaux						0	0	1	0					1	919	Fatima Zahra	AN F12 251	Résumé	1788	Exports			5		Colonies francaises en Asie,Afrique en Amérique		2.2e+06				2154000	
///Industrie générale///Gants de peau	Gants ; de peaux	Gants ; de peaux						0	0	1	0					1	1279	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Royaume de sardaigne		17600		774900			
///Industrie générale///Habillemens et lingerie	Habillements ; et lingerie	Habit ; et lingerie						0	0	1	0					1	745	Fatima Zahra	AN F12 251	Résumé	1788	Exports			5		Royaume de Potugal		27000				3623000	
///Industrie Générale///Habillements et lingeries	Habillements ; et lingerie	Habit ; et lingerie						0	0	1	0					1	1146	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Colonies francaises en Amérique,Asie et afrique		442100		1144500			
///Industrie Générale///Horlogerie	Horlogerie	Horlogerie						0	0	1	0					1	1292	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Colonies francaises en Amérique,Asie et afrique		1.8e+06		1879000			
///Industrie générale///Horlogerie	Horlogerie	Horlogerie						0	0	1	0					1	1309	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Etats de Rome		1900		76400			
///Industrie Générale///Jeux de voiles	Jeux ; de voiles	Jeux ; de voiles						0	0	1	0					1	1314	Fatima Zahra	AN F12 251	Résumé	1787	Exports			11		Etats d'Allemagne		140800		762300			
///Industrie générale///Jeux de voiles	Jeux ; de voiles	Jeux ; de voiles						0	0	1	0					1	1328	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Colonies francaises en Amérique,Asie et afrique		610300		610300			
///Industrie Générale///Librairie	Librairie	Librairie						0	0	1	0					1	1294	Fatima Zahra	AN F12 251	Résumé	1787	Exports			11		Hollande		2500		144600			
///Industrie générale///Librairie	Librairie	Librairie						0	0	1	0					1	898	Fatima Zahra	AN F12 251	Résumé	1788	Exports			4		Etats de l'Allemagne		40100				212400	
///Industrie Générale///Marchandises des indes	Marchandises ; des Indes	Marchandises ; des Indes						0	0	1	0					1	1377	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Royaume de Genes		2900		256800			
///Industrie Générale///Merceries	Mercerie	Mercerie						0	0	1	0					1	884	Fatima Zahra	AN F12 251	Résumé	1788	Exports			4		Etats de l'Allemagne		12800				2495400	
///Industrie générale///Merceries	Mercerie	Mercerie						0	0	1	0					1	1179	Fatima Zahra	AN F12 251	Résumé	1787	Exports			11		République de suisse		14000		740000			
///Industrie Générale///Meubles et glaces	Meubles et miroirs	meuble ; et miroir						0	0	1	0					1	1330	Fatima Zahra	AN F12 251	Résumé	1787	Exports			11		Hollande		1600		56900			
///Industrie générale///Meubles et glaces	Meubles et miroirs	meuble ; et miroir						0	0	1	0					1	869	Fatima Zahra	AN F12 251	Résumé	1788	Exports			4		Royaume d'Espagne		680000				2959900	
///Industrie Générale///Ouvrages de cruivre doré et argenté	Ouvrages ; de cuivre ; Doré et argenté	Ouvrage ; de cuivre						0	0	1	0					1	1230	Fatima Zahra	AN F12 251	Résumé	1787	Exports			11		République de suisse		22300		250900			
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; de cuir ; en cordonnerie et sellerie	Ouvrage ; de cuir ; cordonnerie et sellerie						0	0	1	0					1	1385	Fatima Zahra	AN F12 251	Résumé	1787	Exports			12		Colonies francaises en Amérique,Asie et afrique		544100		544100			
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; de cuir ; en cordonnerie et sellerie	Ouvrage ; de cuir ; cordonnerie et sellerie						0	0	1	0					1	793	Fatima Zahra	AN F12 251	Résumé	1788	Exports			5		Empire d'Autriche		23900				1926500	
///Industrie générale///Ouvrages de cuivre doré et argenté	Ouvrages ; de cuivre ; Doré et argenté	Ouvrage ; de cuivre						0	0	1	0					1	813	Fatima Zahra	AN F12 251	Résumé	1788	Exports			5		Colonies francaises en Asie,Afrique en Amérique		1.9e+06				4044900	
