marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,Classification produits médicinaux,Répétition,remarques_marchandises,Column1,Wallis List,EXCLUSION, not medical primarily,Nom Wallis,Large,Narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,,,,,,,,,,,,,
Boules ; vulneraires,Boules ; vulneraires,5,5,1,0,"Wikipedia : « Ce remède est évoqué en 1725 dans la Pharmacopée de Strasbourg mais divers variantes et produits proches seront produis jusqu'en 1972 ; on en tirait une solution ferrugineuse à administrer au patient, qui était réputée soigner de nombreux maux (« blessures, Coupures, Meurtrissures, Hémorragies, Migraines, Coliques, Fluxions, Dislocations, Pleurésies, Sciatiques, Rhumatismes, dureté de Rate, Mal-de-Mer ou Vapeurs, Perte de sang, Pâles-couleurs. Ladite Eau de Boule a aussi la vertu tirer les épines dans quelques parties du corps qu'elles soient. » Pour l'utiliser « il faut prendre de l'eau de fontaine, la faire tiédir sur une assiette de terre, dans laquelle on roulera la Boule jusqu'à ce qu'elle soit noire, y ajouter moitié d'eau de-vie pour les embrocations, un tiers seulement lorsqu'on veut en boire »). Ces recettes sont tombées en désuétude face de nouveaux complexants du fer plus efficaces que le tartrate (citrate et gluconate notamment). »",1,0,,,0,1,,,8,,,,,,,,,,,,,,,,,
Boulles ; d'acier,Boulles ; d'acier,5,5,1,0,"Wikipedia : « Ce remède est évoqué en 1725 dans la Pharmacopée de Strasbourg mais divers variantes et produits proches seront produis jusqu'en 1972 ; on en tirait une solution ferrugineuse à administrer au patient, qui était réputée soigner de nombreux maux (« blessures, Coupures, Meurtrissures, Hémorragies, Migraines, Coliques, Fluxions, Dislocations, Pleurésies, Sciatiques, Rhumatismes, dureté de Rate, Mal-de-Mer ou Vapeurs, Perte de sang, Pâles-couleurs. Ladite Eau de Boule a aussi la vertu tirer les épines dans quelques parties du corps qu'elles soient. » Pour l'utiliser « il faut prendre de l'eau de fontaine, la faire tiédir sur une assiette de terre, dans laquelle on roulera la Boule jusqu'à ce qu'elle soit noire, y ajouter moitié d'eau de-vie pour les embrocations, un tiers seulement lorsqu'on veut en boire »). Ces recettes sont tombées en désuétude face de nouveaux complexants du fer plus efficaces que le tartrate (citrate et gluconate notamment). »",1,0,,,0,1,5,5,0,,,,,,,,,,,,,,,,,
Cachou,Cachou,5,5,1,0,"Savary, volume 2, 1748 : « Drogue médicinale et aromatique que l'on met au nombre des parfums. […] on croit qu'il arrête la toux, et qu'il fortifie l'estomac ; sans compter qu'il adoucit et parfume l'haleine » => dérivé de l'acacia",,1,0,Acacia,0,1,,,14,,,,,,,,,,,,,,,,,
Calamus,Calamus,2,2,1,0,Acorus Calamus, ou calamus aromaticus : Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : Ou calamus aromaticus, racine d'Acore, plante stimulante,1,1,0,Callamus,0,1,,,4,,,,,,,,,,,
Calamus ; aromatisé,Calamus ; aromatisé,2,2,1,0,Acorus Calamus, ou calamus aromaticus : Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : Ou calamus aromaticus, racine d'Acore, plante stimulante,1,1,0,Callamus,0,1,,,3,,,,,,,,,,,
Cantharides ou mouches d'Espagne,Cantharides ou mouches d'Espagne,8,8,1,0,Selon Robert J James, Dictionnaire universel de la médecine,1746, « Lorsque la suppression d'urine est si grande que les remèdes ordinaires ne sont d'aucun effet, le médecin doit avoir recoursaux cantharides, comme au remède le plus efficace puisque la vie du malade est en danger », est aussi utilisé dans des remèdes et pour la teinture,1,1,0,Cantharides,0,1,8,8,2,,,,,,,,,,,
Carabé,Carabé,2,2,1,0,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,1,0,Carrabe,0,1,,,1,,,,,,,,,,,,,,,,,
Cardamone,Cardamone,0,0b,1,0,Savary, volume 2, 1748 : ou CARDAMOMUM, « Plante & Graine médicinale, fort aromatique, qui entre dans la composition de la thériaque.  »,1,1,1,Cardomomes,1,0,,,171,,,,,,,,,,,,
Carvi,Carvi,???,???,1,0,CARVI ou CUMIN : Savary, volume 2, 1748 : « Est d'usage dans la médecine où elle est employée avec succès dans le vertige, dans les coliques venteuses, et dans les enflures de bas ventre, que l'on nomme Hydropisie Tympanique. On l'estime encore très bonne pour rappeler la chaleur naturelles dans les chevaux, les boeufs, et autre semblables animaux domestiques. […] On tire […] une sorte d'huille estimée souveraine pour les rhumatismes pourvu qu'elle ne soit employée qu'avec précaution & en petites quantités. »,1,1,1,Cumin Seed,1,0,,,3,,,,,,,,,,
Cascarilles,Cascarilles,2,2,1,0,Nom d'origine espagnol qui signifie une petite écorce solide et cassante (Savary). Utilisé pour la teinture et la réduction de la fièvre (cf. wikipedia),,1,0,Cascarilla,0,1,,,149,,,,,,,,,,,,,,,,,
Casse ; en bâtons,Casse,2,2,1,0,Savary, volume 2, 1748 : « Ou CANEFICE ou CASSE. Drogue propre à la Médecine, qui purge doucement, & qui est communément ordonnée par les Médecins & Apothicaires de France, et surtout de Paris. ». Il existie  espèces : la Casse de Levant, d'Egypte, du Bresil et des Iles Antilles,1,1,0,Cassia Fistula,0,1,,,7,,,,,,,,,,
Casse ; remèdes,Drogue ; médicinale,5,5,1,0,Savary, volume 2, 1748 : « Ou CANEFICE ou CASSE. Drogue propre à la Médecine, qui purge doucement, & qui est communément ordonnée par les Médecins & Apothicaires de France, et surtout de Paris. ». Il existie  espèces : la Casse de Levant, d'Egypte, du Bresil et des Iles Antilles,1,1,0,Cassia Fistula,0,1,,,27,,,,,,,,,,
Chardons,Chardons,2,2,1,0,Savary, volume 2, 1748 : Plusieurs types de chardons, pour décoction, différents usages en médecine,,0,,,0,1,,,3,,,,,,,,,,,,,
Cocullus,Cocullus,5,5,1,0,"International Academy of Homeopathy : « Menispermum cocculus, Cocculus indicus, Cocculus suberosus, Anamirta cocculus."" The seeds or berries are the parts used in medicine. Cocculus was first introduced into the materia medica, and used as a remedy in the treatment of diseases, by Hahnemann. He published, in 1805, in the "" Fragmenta de Viribus Medicamentorum Positivis,""—the germ of the ""Materia Medica Pura,""—156 symptoms of Cocculus, together with a few observations from other authors. »",,1,0,coculus Indiae,0,1,5,5,20,,,,,,,,,,,,,,,,,
Coffres ; de chirurgie,Boîtes,8,8,1,0,,,1,0,Surgeon's Instruments,0,1,,,176,,,,,,,,,,,,,,,,,
Colle ; de poisson,Colle,5,5,1,0,List de Wallis : Isinglass is a substance obtained from the dried swim bladders of fish. It is a form of collagen used mainly for the clarification or fining of wine and beer. It can also be cooked into a paste for specialized gluing purposes.,,1,1,Isinglass,1,0,,,20,,,,,,,,,,,,,,,,,
Colophane ou Spingler,Colophane ou Spingler,5,5,1,0,COLOPHONE:Savary, volume 2, 1748 : « Espèce de gomme. […] Le plus grand usage de cette drogue, est pour la guérison de ces sortes de maladies secrètes qui sont tout ensemble les preuves et la punition de la débauche »,1,1,1,Colophonia,1,0,5,5,1,,,,,,,,,,,,,,
Confection,Confection,5,5,1,0,Savary, volume 2, 1748 : « Terme d'Epicier Droguiste. Espèce de remède en forme d'électuaire solide. »,,0,,,0,1,,,2,,,,,,,,,,,,,,,
Confection ; d'Alkerme,Confection ; d'Alkerme,5,5,1,0,"Savary, volume 2, 1748 : « On la met du nombre des meilleurs cardiaques ; et on l'emploie volontiers pour la palpitation de coeur et la syncope »",,1,0,Confection Of Hyacinths And Alkermes,0,1,,,4,,,,,,,,,,,,,,,,,
Confection ; d'hyacinte,Confection ; d'hyacinte,5,5,1,0,Savary, volume 2, 1748 : « à peu près les mêmes vertus que celle d'Alkerme : il u entre pourtant le triple des drogues… »,,1,0,Confection Of Hyacinths And Alkermes,0,1,,,0,,,,,,,,,,,,,,,
Contrahierba,Contrahierba,2,2,1,0,Savary, volume 2, 1748 : CONTRA-YERVA, apporté du Perou ou de la Nouvelle Espagne, « un alixitere, ou contre-poison souverain »,,1,0,Radix Contra Yerva,0,1,,,27,,,,,,,,,,,,
Coque ; Levant,Coque ; Levant,2,2,1,0,Savary, volume 2, 1748 :  « sorte de fruit […] sert à faire mourir la vermine et à endormir le poisson », C'est aussi un stimulant respiratoire utilisé comme antidote dans les cas d'empoisonnement aux barbituriques ou à la morphine.,1,0,,,1,0,,,36,,,,,,,,,,,,,,
Coquilles ; de nacre,Coquilles ; écaille de tortue et nacre de perle,2,2,1,0,Cf. P.H.Wallis  : coquilles dite nacre de perle, utilité médecine ???,1,1,1,Mother Of Pearl Shells,1,0,,,7,,,,,,,,,,,,,,,,
Coquilles ; écaille de tortue et nacre de perle,,2,2,1,0,Cf. P.H.Wallis  : coquilles dite nacre de perle, utilité médecine ???,1,1,1,Mother Of Pearl Shells,1,0,,,1,,,,,,,,,,,,,,,,
Corail,Corail,2,2,1,0,Liste Wallis : semi-precious stone,1,1,1,Coral Whole,1,0,5,5,8,,,,,,,,,,,,,,,,,
Corail ; blanc,Corail,2,2,1,0,Liste Wallis : semi-precious stone,1,1,1,Coral (Red And White),1,0,,,1,,,,,,,,,,,,,,,,,
Corail ; brut,Corail,2,2,1,0,Liste Wallis : semi-precious stone,1,1,1,Coral Whole,1,0,,,66,,,,,,,,,,,,,,,,,
Corail ; en grabeau,Corail,2,2,1,0,Liste Wallis : semi-precious stone,1,1,1,Coral Whole,1,0,,,1,,,,,,,,,,,,,,,,,
Corail ; rouge,Corail,2,2,1,0,Liste Wallis : semi-precious stone,1,1,1,Coral (Red And White),1,0,,,2,,,,,,,,,,,,,,,,,
Coriandre,Coriandre,0,0a,1,0,"Savary, volume 2, 1748 : « Outre les dragées de Coriandre que l'on fait, et dont les meilleures viennent de Verdun ; cette graine a quelque usage dans la médecine », s'utilise dans les remèdes et concoctions.",1,1,1,Corriander Seed,1,0,,,0,,,,,,,,,,,,,,,,,
Coriandre et noix,,mixed,mixed,1,0,"Savary, volume 2, 1748 : « Outre les dragées de Coriandre que l'on fait, et dont les meilleures viennent de Verdun ; cette graine a quelque usage dans la médecine », s'utilise dans les remèdes et concoctions.",,1,1,Corriander Seed,1,0,,,0,,,,,,,,,,,,,,,,,
Cornes ; de cerf,Cornes,2,2,1,0,Cf. P.H.Wallis  : Harts horn (Ceruus is deer), burned,,1,0,Cornu Cervi Calcinatum,0,1,,,27,,,,,,,,,,,,,,,,
Costus,Costus,???,???,1,0,Costus est un genre d'environ 150 espèces de la famille des Costaceae. Il est présent dans toutes les régions tropicales. Cf. P.H.Wallis ,,1,0,Costus,0,1,,,4,,,,,,,,,,,,,,,,,
Costus ; doux,Costus ; doux,???,???,1,0,Costus est un genre d'environ 150 espèces de la famille des Costaceae. Il est présent dans toutes les régions tropicales. Cf. P.H.Wallis ,,1,0,Costus,0,1,,,2,,,,,,,,,,,,,,,,,
Crayon, graphite et mine de plomb,,8,8,1,0,Cf. P.H.Wallis  : syn for Graphite. Many uses,,1,1,Black Lead,1,0,,,1,,,,,,,,,,,,,,,,
Crème ; de tartre,Crème,5,5,1,0,Savary, volume 2, 1748 OU CRISTAL DE TARTRE : « C'est du Tartre préparé d'une autre manière, mais différente selon que cette drogue doit servir ou à la Médecine, ou à la teinture. »,1,1,1,Cream Of Tartar,1,0,,,74,,,,,,,,,,,,,
Cubebe ; Sorte de baie de poivre utilisé à la fois comme épice et médicament,,2,2,1,0,Savary, volume 2, 1748 : « ou POIVRE A QUEUE, fruit qui est du nombre des drogueries & épiceries. »,,1,1,Cubebs,1,0,,,1,,,,,,,,,,,,,,
Cumin,Cumin,0,0b,1,0,CARVI ou CUMIN : Savary, volume 2, 1748 : « Est d'usage dans la médecine où elle est employée avec succès dans le vertige, dans les coliques venteuses, et dans les enflures de bas ventre, que l'on nomme Hydropisie Tympanique. On l'estime encore très bonne pour rappeler la chaleur naturelles dans les chevaux, les boeufs, et autre semblables animaux domestiques. […] On tire […] une sorte d'huille estimée souveraine pour les rhumatismes pourvu qu'elle ne soit employée qu'avec précaution & en petites quantités. »,1,1,1,Cumin Seed,1,0,,,12,,,,,,,,,,
Curcuma,Curcuma,0,0b,1,0,CURCUMA ou TERRAMERITA (Savary), WIKI : Le curcuma est reconnu dans les médecines traditionnelles indiennes et chinoises13 et en Occident pour ses propriétés antioxydantes. Il aide l’organisme à lutter contre le stress et à maintenir l’efficacité des défenses naturelles. Il est également utilisé depuis très longtemps comme anti-inflammatoire par la médecine ayurvédique indienne. C'est probablement l'anti-inflammatoire naturel le plus puissant identifié à ce jour,1,1,1,Tumerick,1,0,5,5,31,,,,,,,,,,,,,,,,
Cuscutes luzerne,,0,0a,1,0,Liste Wallis : Médicaments ?? Les cuscutes (genre Cuscuta, famille des convolvulacées, à laquelle appartiennent aussi les liserons) sont des plantes annuelles volubiles, presque sans chlorophylle, qui parasitent les plantes autour desquelles elles s'enroulent grâce à de nombreux petits suçoirs.,,1,0,Cuscuta,0,1,,,1,,,,,,,,,,,,,
Dents ; de cheval ; marin,,2,2,1,0,Cf. P.H.Wallis ,,1,0,Dens Equi Marini,0,1,,,9,,,,,,,,,,,,,,,,,
Dictame,Dictamus,???,???,1,0,"Nicolas Lémery, Nouveau dictionnaire général des drogues simples et composées, Volume 1, 1807 : « On nous les apporte sèche de l'Italie et de nos départements méridionaux ; elles sont nervales, anthelmintique, ménagogues »",,1,0,Dictamnus Unspec,0,1,,,6,,,,,,,,,,,,,,,,,
Drogue,Drogues,5,5,1,0,,,0,,,0,1,,,67,,,,,,,,,,,,,,,,,
Drogue ; Aigre ; de vitriol,Drogues,5,5,1,0,Savary, volume 2, 1748 : SEL OU AIGRE DE VITRIOL « Espèce de vitriol séché au soleil […] excellent contre l'épilepsie, & contre les fièvres chaudes & malignes »,1,1,,Sal Vitrioli,0,1,,,1,,,,,,,,,,,,,,
Drogue ; antimoine,Drogues,5,5,1,0,Savary, volume 1, 1748 : « Minéral qui approche fort de la nature des métaux, […] est d'un grand usage soit dans la fonte des métaux, dans la médecine et chez les Maréchaux. […] l'Antimoine, qui ne trouve plus d'adversaire et qui est devenu le remède de toutes les maladies qui paraissent ne plus en avoir ». Effet très puissant, pas toujours prévisible, purgatif…,1,1,0,Stibium,0,1,,,2,,,,,,,,,,
Drogue ; blanc de baleine,Drogues,4,4,1,0,"Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : « Matière grasse, solide […] Le Blanc de Baleine est employé en pharmacie dans la préparation de quelques topiques gras ;  on en fait usage dans les arts pour la confection de bougies translucides. »",,0,,,1,0,,,19,,,,,,,,,,,,,,,,,
Drogue ; carabé,Drogues,5,5,1,0,"Savary, volume 1, 1748 : ou KARABE Surtout pour la teinture et le vernis cependant : « Il a quelque usage en Médecine, pourvu qu'il soit véritable Karabé ; bien des gens ayant l'art de le contrefaire... ».",1,1,0,Carrabe,0,1,,,1,,,,,,,,,,,,,,,,,
Drogue ; Castor,Drogues,2,2,1,0,Savary, volume 2, 1748 : « ou CASTOREUM. Liqueur enfermée dans les bourses du Castor. [...] Quand elle est nouvelle, les Médecins y trouvent des vertus et des qualités admirables, mais à force de vieillir elle noircit & devient un poison violent. […] Outre le thériaque et le mithridat, où entre le castoreum, on s'en sert à composer des remèdes céphaliques  hiftériques. »,,1,0,Castoreum,0,1,,,24,,,,,,,,,,,
Drogue ; chimique ; Eau forte,Drogues ; Chimiques,5,5,1,0,Wallis : in 1725 rate book noted as 'for Dyers Use',,1,1,Aqua Fortis,1,0,,,2,,,,,,,,,,,,,,,,,
Drogue ; chimique ; Esprit de sel,Drogues ; Chimiques,5,5,1,0,Savary, volume 2, 1748 : « C'est une liqueur jaune qu'on tire du sel marin. […] Il est d'un assez grand usage en Médecine, mais n'a pas toutes les vertus qu'on lui attribue », très corrosif, à digérer pendant trois jours pour nettoyer,,0,,,0,1,,,13,,,,,,,,,,,,
Drogue ; chimique ; sel ammoniac,Drogues ; Chimiques,5,5,1,0,Savary, volume 1, 1748 : OU ARMONIAC « L'usage de ce sel en France est fort considérable, soit pour la médecine, pour laquelle on en tire quantité de préparations, soit pour de nombreux ouvriers. »,1,1,1,Sal Armoniacum,1,0,,,64,,,,,,,,,,,,
