marchandises;id;marchandises_normalisees_inter;marchandises_normalisees;product_prix;dutchtranslation;englishproduct;unit;alternativenames;source_rg_1774;source_rgbase;source_france;source_sound;source_hambourg;v14;v15;remarques;nbr_lignes_fr;nbr_lignes_hambourg
///Industrie étrangère///Cauris;140;Cauris;Cauris;;;;;;0;0;1;;;;;;1;
///Industrie étrangère///Colle de toute sorte;141;"Colles ; de toute sorte";Colle;;;;;;0;0;1;;;;;;3;
///Industrie étrangère///Colles de toute sorte;142;"Colles ; de toute sorte";Colle;;;;;;0;0;1;;;;;;9;
///Industrie étrangère///Faience et poterie;143;Faïence et poterie;"Ouvrage ; de poterie et faïence";;;;;;0;0;1;;;;;;4;
///Industrie étrangère///Habillement et lingerie;144;"Habillements ; et lingerie";Habit et lingerie;;;;;;0;0;1;;;;;;12;
///Industrie étrangère///Horlogerie;145;Horlogerie;Horlogerie;;;;;;0;0;1;;;;;;5;
///Industrie étrangère///Librairie;146;Librairie;Librairie;;;;;;0;0;1;;;;;;16;
///Industrie étrangère///Marbres;147;Marbre;Marbre;;;;;;0;0;1;;;;;;10;
///Industrie étrangère///Merceries;148;Mercerie;Mercerie;;;;;;0;0;1;;;;;;18;
///Industrie étrangère///Meubles et miroirs;149;Meubles et miroirs;Meuble et miroir;;;;;;0;0;1;;;;;;9;
///Industrie étrangère///Ouvrages de jonc;150;"Ouvrage ; de joncs";"Ouvrage ; de jonc";;;;;;0;0;1;;;;;;14;
///Industrie étrangère///Ouvrages divers;151;"Ouvrage ; Divers";"Ouvrage ; divers";;;;;;0;0;1;;;;;;26;
///Industrie étrangère///Peaux et pelleteries;152;Peaux et pelleteries;Pelleterie;;;;;;0;0;1;;;;;;35;
///Industrie étrangère///Plumes d'Autruche;153;"Plumes ; d'autruche";"Plume ; d'autruche";;;;;;0;0;1;;;;;;5;
///Industrie étrangère///Plumes de toute sorte;154;"Plumes ; de toute sorte";"Plume ; divers";;;;;;0;0;1;;;;;;20;
///Industrie étrangère///Plumes à écrire;155;"Plumes ; à écrire";"Plume ; à écrire";;;;;;0;0;1;;;;;;6;
///Industrie étrangère///Porcelaine, faience et poterie;156;Porcelaine, faïence et poterie;"Ouvrage ; de porcelaine, faïence et poterie";;;;;;0;0;1;;;;;;12;
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes...";157;"Quincaillerie ; Divers";Quincaillerie;;;;;;0;0;1;;;;;;8;
"///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..";158;"Quincaillerie ; Divers";Quincaillerie;;;;;;0;0;1;;;;;;12;
///Industrie étrangère///Savons;159;Savon;Savon;;;;;;0;0;1;;;;;;6;
///Industrie étrangère///Voitures;160;Voitures;Voiture;;;;;;0;0;1;;;;;;2;
///Matieres d'Or et d'argent///Monnaies au type étranger;161;"Monnaies ; étrangères";"Monnaie ; or et argent";;;;;;0;0;1;;;;;;1;
