marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Argent ; brulé	Argent ; métal	6	6		9	9		
Argent ; brut	Argent ; métal	6	6					...
Argent ; carragoux	Argent ; métal	6	6					
Argent ; divers	Argent ; métal	6	6					
Argent ; en feuilles	Argent ; métal	6	6					...
Argent ; en lingots	Argent ; métal	6	6					
Argent ; faux	Argent ; faux	6	6					
Argent ; fin	Argent ; métal	6	6					
Argent ; or ; quadruples	Monnaies	9	9a					
Argent ; or ; sequins	Monnaies	9	9a					
Argent ; or ; sequins vénitiens	Monnaies	9	9a					
Argent ; sequins	Monnaies	9	9a					
Argent ; talaris	Monnaies	9	9a					
Argent ; vif	Mercure	5	5					
Argent en barils	Argent ; métal	6	6		6	6		
Argent en barres	Argent ; métal	6	6		6	6		
Argent et or ; billon	Monnaies	9	9		9	9		
Argenterie	Argenterie et orfèvrerie	8	8					
Argenterie ; boucles	Argenterie et orfèvrerie	8	8					
Argenterie ; bugues	Argenterie et orfèvrerie	8	8					
Argenterie ; croix	Argenterie et orfèvrerie	8	8					...
Argenterie ; diverse	Argenterie et orfèvrerie	8	8					
Argenterie ; épées	Argenterie et orfèvrerie	8	8					
Argenterie et orfèvrerie	Argenterie et orfèvrerie	8	8					
Aristoloche	Aristoloche	2	2					
Armes	Armes	9	9					
Armes ; à feu	Armes	9	9					...
Armes ; à feu ; diverses	Armes	9	9					
Armes ; à feu ; fusils	Armes	9	9					
Armes ; à feu ; pistolets	Armes	9	9					
Armes ; blanches	Armes	9	9					
Armes ; blanches ; diverses	Armes	9	9					
Armes ; blanches ; épées	Armes	9	9					
Armes ; blanches ; lances d'épées	Armes	9	9					
Armes ; blanches ; sabres	Armes	9	9					
Armes ; réunies	Armes	9	9					
Armes non reprises	Armes	9	9	armes non reprises au tarif	9	9	armes non reprises au tarif	
Armes remontrances	Armes	9	9		9	9		
Armes, Canon et balles de fer	Armes	9	9		9	9		
Armoires	Armoires	8	8					...
Armoisin	Armoisin	6	6c					
Arpois	Arpois	…	…					
Arquifou	Arquifou	5	5					
Arrosoir	Arrosoir	6	6					
Artichauts	Artichauts	0	0a					
Artichauts ; confits	Artichauts	0	0a					
Articles ; d'industrie ; réunis	Marchandises diverses	8	8					...
Articles ; réunis	Marchandises diverses	8	8					
Articles ; réunis ; d'industrie	Marchandises diverses	8	8					
Artifice	Artifice	8	8	artifice	8	8	artifice	
Artilleries	Artilleries	9	9					
Asperges	Asperges	0	0a					
Asperges et scorsionnaires	Asperges	0	0a					
Asphalte	Asphalte	2	2					
Assa fétide	Assa fétide	2	2					
Assiette de fayence	Assiette de fayence	6	6					
Attelles ; de colliers	Attelles ; de colliers	7	7					
Avelines	Avelines	0	0a	Grosse noisette				
Avirons	Avirons	7	7					
Avoine	Avoine	0	0a					
Avoine ; en jarbes	Avoine ; en jarbes	0	0a					
Avoine, gruau	Avoine, gruau	0	0a		0	0a		
Babouches	Babouches	8	8					
Babus	Babus	0	0a	Barbus (poisson)?				...
Bacs contenant 1 aime	Bacs contenant 1 aime	6	6		6	6		
Bacs de pierre	Bacs de pierre	6	6					
Badiane	Badiane	5	5		5	5		
Baffetas	Baffetas	6	6d	Toile grosse de coton				
Bagues	Bagues	8	8					
Bagues ; de cuivre	Bagues ; de cuivre	8	8					
