marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Huile ; de lavande	Huile	4	4		4	4		
Huile ; de lin	Huile	4	4					…
Huile ; de loup marin	Huile	4	4					
Huile ; de morne	Huile	4	4					
Huile ; de muscade	Huile	4	4					
Huile ; de navette	Huile	4	4					
Huile ; de noix	Huile	4	4					
Huile ; de palme	Huile	4	4					
Huile ; de palmes	Huile	4	4					...
Huile ; de parfum	Huile	4	4					
Huile ; de pierre	Huile	4	4		4	4		
Huile ; de plantes	Huile	4	4					
Huile ; de poisson	Huile	4	4					
Huile ; de rabelle	Huile	4	4					
Huile ; de Rhodes	Huile	4	4					
Huile ; de rhue	Huile	4	4					
Huile ; de rose	Huile	4	4					
Huile ; de Salmus	Huile	4	4					
Huile ; de saxafrax	Huile	4	4					...
Huile ; de scorpion	Huile	4	4					
Huile ; de semences	Huile	4	4	huille de semences	4	4	huille de semences	
Huile ; de senteur	Huile	4	4					
Huile ; de soufre	Huile	4	4					
Huile ; de tamarin	Huile	4	4					...
Huile ; de verre	Huile	5	5		4	4		
Huile ; de vialles	Huile	4	4					...
Huile ; de vitriol	Huile	5	5					
Huile ; deftorax	Huile	4	4					
Huile ; diverse	Huile	4	4					
Huile ; médicinale	Huile	5	5		4	4		
Huile ; pétrole	Huile	3	3					
Huile ; succin	Huile	4	4					
Huitres	Huitres	0	0a					
Huitres ; à l'écaille	Huitres	0	0a					...
Huitres ; à la daube	Huitres	0	0a					
Huitres ; fraîches	Huitres	0	0a					
Huitres ; marinées	Huitres	0	0a					
Huitres ; vertes	Huitres	0	0a					
Hydromel	Hydromel	1	1					
Hypocristis	Hypocristis	…	…					
Images	Images	8	8					...
Images ; de papier	Images	8	8					
Images ; de papier, estampes et cartes géographiques	Images	8	8		8	8		
Images ; de parchemin	Images	8	8					...
Images ; de parchemin de cornes	Images	8	8		8	8		
Images ; de vélin	Images	8	8					
Images ; des Iles	Images	8	8					
Images ou dominoterie	Images	8	8					
Impériale	Impériale	6	6d		6	6d		
Inde	Indes	5	5	Couleur bleu foncé				...
Indes ; fines	Indes	…	…					
Indes ; flottantes	Indes	…	…					
Indes ; plates	Indes	…	…					
Indienne	Indienne	6	6d					
Insectes	Insectes	0	0a					
Instrument ; de musique ; Luth	Instruments ; de musique	8	8					
Instruments ; astronomie	Instruments	8	8					...
Instruments ; d'optique	Instruments	8	8		8	8		
Instruments ; d'optiques	Instruments	8	8					
Instruments ; de ???	Instruments	8	8					
Instruments ; de chimie	Instruments	8	8					
Instruments ; de chirurgie	Instruments	8	8					
Instruments ; de jardinage	Instruments	6	6					
Instruments ; de mathématiques	Instruments	8	8					
Instruments ; de mathématiques, chirurgie, etc.	Instruments	8	8		8	8		
Instruments ; de mécanique	Instruments	8	8					
Instruments ; de mer	Instruments	8	8					
Instruments ; de musique	Instruments ; de musique	8	8					...
Instruments ; de musique ; basses	Instruments ; de musique	8	8					...
Instruments ; de musique ; Bassons	Instruments ; de musique	8	8					
Instruments ; de musique ; clavecin	Instruments ; de musique	8	8					
Instruments ; de musique ; de vessie	Instruments ; de musique	8	8					
Instruments ; de musique ; divers	Instruments ; de musique	8	8					
Instruments ; de musique ; épinette	Instruments ; de musique	8	8					
Instruments ; de musique ; flutes	Instruments ; de musique	8	8					
Instruments ; de musique ; guitares	Instruments ; de musique	8	8					
Instruments ; de musique ; Luth	Instruments ; de musique	8	8					
Instruments ; de musique ; violons	Instruments ; de musique	8	8					
Instruments ; de physique	Instruments	8	8					
Instruments ; divers	Instruments	8	8					...
Ipécacuana	Ipécacuana	…	…					
Iris	Iris	5	5					
Iris ; de Florence	Iris	5	5		5	5		
Isaris	Isaris	…	…					
Ivoire	Ivoire	2	2					
Ivoire ; brûlé	Ivoire	2	2		2	2		
Ivoire ; brut	Ivoire	2	2	ivoir brut et dents d'elephant	2	2	ivoir brut et dents d'elephant	
Ivoire ; dents d'éléphants	Ivoire	2	2					
Ivoire ; divers	Ivoire	2	2					
Ivoire ; ouvré	Ivoire	8	8		2	2		
Jais	Jais	6	6					...
Jais ; en dentelles, colliers et boutons	Jais	6	6		8	8		
Jais ; ouvré	Jais	6	6					...
Jalap	Jalap	2	2					
Jambon	Jambon	0	0a					
Jantes	Jantes	7	7					
Jantes et rais	Jantes et rais	6	6		6	6		
Jarres	Jarres	6	6					
Jarres ; de terre	Jarres ; de terre	6	6					
Jarretières ; d'argent	Jarretières	8	8					
Jarretières ; d'or et d'argent	Jarretières	8	8					
Jarretières ; de fil	Jarretières	8	8					
Jarretières ; de filoselle	Jarretières	8	8					
Jarretières ; de fleuret	Jarretières	8	8					
Jarretières ; de laine	Jarretières	8	8					
Jarretières ; de soie	Jarretières	8	8					
Jaspe ; ouvré	Jaspe ; ouvré	6	6a					
Jaune ; commun	Jaune	5	5		5	5		
Jaune ; de Naples	Jaune	5	5					...
Jaune ; doré	Jaune	5	5		5	5		
Jaune ; paille	Jaune	5	5					
Jaune ; royale	Jaune	5	5		5	5		
Jet ; de bière	Jet et lie ; de bière	0	0a		0	0a		
Jet et lie ; de bière	Jet et lie ; de bière	0	0a		0	0a		
Jeux ; de camagnolle	Jeux ; de camagnolle	8	8		8	8		
Jeux ; de cannes	Jeux ; de cannes	7	7					...
Jeux ; de moulin	Jeux ; de moulin	7	7					
Jeux ; de terre	Jeux ; de terre	…	…					
Jeux ; de voile	Jeux ; de voile	7	7					
Jeux ; de voiles	Jeux ; de voiles	7	7					
Jeux ; en cristal garnis de cuivre	Jeux ; en cristal garnis de cuivre	8	8		8	8		
Jolités ; en pinsbeck	Jolités ; en pinsbeck	8	8		8	8		
Jolités ; mêlées	Jolités ; mêlées	8	8		8	8		
Jonc	Jonc	2	2					
Jonc ; à couvrir les toits	Jonc	2	2	joncs de rivierre	2	2	joncs de rivierre	
Jonc ; à faire des chaises	Jonc	2	2					
Jonc ; à faire des vertgadins	Jonc	2	2		6	6		
jonc ; à voile	Jonc	2	2					
Jonc ; commun	Jonc	2	2		2	2		
Jonc ; entes	Jonc	2	2					
Jonc ; ouvré	Jonc ; ouvré	6	6		6	6		
Jonc ; ouvré en cabas	Jonc ; ouvré	6	6		6	6		
Joncs	Joncs	2	2					
joncs ; à faire des chaises	Joncs	2	2					
Joncs et pailles travaillées	Jonc ; ouvré	6	6	joncs ouvré en cabas compris toute sorte ouvrages de paille	2	2	joncs ouvré en cabas compris toute sorte ouvrages de paille	
Jonquine	Jonquine	…	…					
Jouets	Jouets	8	8					
Juifs qui payent le droit corporel à la sortie	Juifs qui payent le droit corporel à la sortie	…	…			0		
Jujubes	Jujubes	0	0a					
Jupe	Jupe	8	8		8	8		
Jupe ; de coton	Jupe	8	8		8	8		
Jupe ; piqué	Jupe	8	8		8	8		
Jupons	Jupons	8	8					
Jupons ; piqués	Jupons	8	8					
Jus ; de citron	Jus ; de citron	1	1					
Jus ; de réglisse	Jus ; de réglisse	1	1					
Labdanum	Labdanum	…	…					
Lacets	Lacets	6	6					
Lacets ; de fil	Lacets	6	6a					
Lacets ; de filoselle	Lacets	6	6c					
Lacets ; de fleuret	Lacets	6	6c					
Lacets ; de laine	Lacets	6	6b					
Lacets ; de peau	Lacets	6	6					
Lacets ; de soie	Lacets	6	6c					...
Laimois	Laimois	…	…					
Laine	Laine	2	2					
Laine ; ?	Laine	2	2					
Laine ; à broder	Laine	2	2					
Laine ; à matelas	Laine	2	2					
Laine ; à tapisserie	Laine ; à tapisserie	6	6b					
Laine ; apprêtée ; pour perruques	Laine ; apprêtée ; pour perruques	6	6b		6	6		
Laine ; bâtarde	Laine	2	2					
Laine ; blanche	Laine	2	2					
Laine ; brute	Laine	2	2					
Laine ; brute ou non lavée	Laine	2	2		2	2		
Laine ; commune	Laine	2	2					
Laine ; d'agnelin	Laine	2	2					crude wool
Laine ; d'Allemagne	Laine	2	2		2	2		
Laine ; d'Allemagne	Laine	2	2					
Laine ; d'alpaca	Laine	2	2					
Laine ; d'Angleterre	Laine	2	2					
Laine ; d'aquelin	Laine	2	2					
Laine ; d'Autriche	Laine	2	2					
Laine ; d'Espagne	Laine	2	2		2	2		
Laine ; d'Hollande	Laine	2	2					
Laine ; de barbarie	Laine	2	2					
Laine ; de bearn	Laine	2	2					crude wool
Laine ; de Béarn	Laine	2	2					
Laine ; de Bologne	Laine	2	2					
Laine ; de Brême	Laine	2	2		2	2		
Laine ; de chèvres	Laine	2	2					
Laine ; de chevrons	Laine	2	2					
Laine ; de Danemark	Laine	2	2					
Laine ; de darmenie	Laine	2	2					
Laine ; de farmenie	Laine	2	2					
Laine ; de Hollande	Laine	2	2					
Laine ; de levant	Laine	2	2					crude wool
Laine ; de Moscou	Laine	2	2					
Laine ; de nigagne	Laine	2	2					crude wool
Laine ; de perse	Laine	2	2					
Laine ; de Pologne	Laine	2	2		2	2		
Laine ; de pologne	Laine	2	2					crude wool
Laine ; de Pologne	Laine	2	2					
Laine ; de Pologne et autres laines étrangères	Laine	2	2		2	2		
Laine ; de Pomnéranie	Laine	2	2		2	2		
Laine ; de Portugal	Laine	2	2					
Laine ; de portugal	Laine	2	2					
Laine ; de Pouille	Laine	2	2					crude wool
Laine ; de Prusse	Laine	2	2		2	2		
Laine ; de rennes	Laine	2	2					
Laine ; de Rome	Laine	2	2					
Laine ; de segovie	Laine	2	2					
Laine ; de Ségovie	Laine	2	2					
Laine ; de Smyrne	Laine	2	2					
Laine ; de suède	Laine	2	2					crude wool
Laine ; de tan	Laine	2	2					
Laine ; de Venise	Laine	2	2					
Laine ; de vigogne	Laine	2	2					crude wool
Laine ; de Vigogne	Laine	2	2					
Laine ; diverse	Laine	2	2					
Laine ; du Levant	Laine	2	2					
Laine ; du nord	Laine	2	2					
Laine ; en laine	Laine	2	2					crude wool
Laine ; en rames	Laine	2	2					
Laine ; en suint	Laine	2	2					
Laine ; en toison	Laine	2	2					
Laine ; filée	Laine ; filée	6	6b					
Laine ; fine	Laine ; fine	6	6b					crude wool
Laine ; grasse et filée	Laine ; grasse et filée	6	6b		6	6		
Laine ; grosse	Laine ; grosse	2	2					
Laine ; lavée	Laine ; lavée	2	2		2	2		
Laine ; lavée	Laine ; lavée	2	2					
Laine ; non peignée	Laine ; non peignée	2	2		2	2		
Laine ; peignée	Laine ; peignée	2	2		2	2		
Laine ; peignée	Laine ; peignée	2	2					crude wool
Laine ; pelade	Laine ; pelade	2	2					
Laine ; pelluche	Laine ; pelluche	2	2					
Laine ; pour chapeliers	Laine ; pour chapeliers	2	2		6	6		
Laine ; serge	Laine ; serge	6	6b					
Laine ; teinte	Laine ; teinte	2	2					
Lait ; battu	Lait	0	0a		0	0a		
Lait, doux	Lait	0	0a		0	0a		
Laiton	Laiton	6	6					
Laiton ; brun	Laiton	6	6					
Laiton ; Divers	Laiton	6	6					
Laiton ; en feuilles	Laiton	6	6					
Laiton ; en planches	Laiton	6	6					
Laiton ; fil de laiton	Laiton	6	6					
Laiton ; gouté	Laiton	6	6					
Laiton ; gratté	Laiton	6	6					
Laiton ; gravé	Laiton	6	6					
Laiton ; gravé ou gratté	Laiton	6	6					
Laiton ; ouvré	Laiton	6	6					
Laiton ; vieux	Laiton ; vieux	2	2					
Lama	Lama	0	0b					
Lames ; d'épées	Lames	9	9					
Lames ; d'épées et de fleuret	Lames	9	9		9	9		
Lames ; d'épées et de sabre	Lames	9	9		9	9		
Lames ; de couteaux de chasse	Lames	6	6					
Lames ; de fleuret	Lames	9	9					
Lames ; de sabres	Lames	9	9					
Lampareille	Lampareille	…	…					
Lampes	Lampes	8	8					
Lampes ; de cuivre	Lampes	8	8					
Lampes ; de fer	Lampes	8	8					
Lampes ; de laiton	Lampes	8	8					...
Lampes ; de verre	Lampes	8	8					
Lamproie	Lamproie	0	0a					...
Langue ; de bœuf	Langues	0	0a					
Langue ; de bœuf et vache	Langues	0	0a	langues de boeufs	0	0a	langues de boeufs	
Langue ; de mouton	Langues	0	0a		0	0a		
Langue ; salées	Langues	0	0a					
Langues	Langues	0	0a					
Langues ; salées	Langues	0	0a					
Lanillas	Lanillas	…	…					
Lanternes	Lanternes	8	8		8	8		
Lapereaux	Lapereaux	0	0a					
Lapin	Lapin	0	0a		0	0a		
Lapis ; lazule	Lapis ; lazule	2	2					...
Laque ; de Florence	Laque ; de Florence	5	5		5	5		
Laque ; en bois	Laque ; en bois	5	5					
Laque ; ronde	Laque ; ronde	5	5					
Lard	Lard	0	0a					
Larque place	Larque place	…	…					
Lattes	Lattes	2	2					
Lattes ; d'hêtre	Lattes ; d'hêtre	2	2		2	2		
Lattes ; d'hêtre façonnées	Lattes ; d'hêtre façonnées	2	2		2	2		
Lattes ; d'hêtre non sciées	Lattes ; d'hêtre non sciées	2	2		2	2		
Lattes ; de sapin	Lattes ; de sapin	2	2		2	2		
Lattes ; dites du Nord	Lattes ; dites du Nord	2	2		2	2		
Lattes ; dites Solververen	Lattes ; dites Solververen	2	2					
Lattes ; divers	Lattes ; divers	2	2		2	2		
Lattes ; doubles	Lattes ; doubles	2	2		2	2		
Lattes ; pour couvreurs de paille et plâteurs	Lattes ; pour couvreurs de paille et plâteurs	2	2		2	2		
Lattes ; pour couvreurs de tuiles	Lattes ; pour couvreurs de tuiles	2	2					
Lattes ; pour cuves	Lattes ; pour cuves	2	2		2	2		
Lattes ; pour cuves de brassage	Lattes ; pour cuves de brassage	2	2					
Lattes ; sciées	Lattes ; sciées	2	2	bois scié en lattes	2	2	bois scié en lattes	
Lattes ; sciées en planche	Lattes ; sciées en planche	2	2		2	2		
Laurier	Laurier	0	0a					
Lauzes	Lauzes	…	…					
Lavande	Lavande	2	2					
Lavande et hysope	Lavande et hysope	2	2		5	5		
Légume	Légume	0	0a					
Légume ; à la daube	Légume	0	0a		0	0a		
Légume ; divers	Légume	0	0a					
Légume ; mêlé	Légume	0	0a		0	0a		
Légume ; sec	Légume	0	0a		0	0a		
Légumes	Légumes	0	0a					
Lelarge	Lelarge	…	…					
Lentilles	Lentilles	0	0a					
Lessive ; grasse	Lessive ; grasse	5	5					
Leviers ferrés	Leviers ferrés	…	…					
Levure de bière	Levure de bière	5	5					
Librairie	Librairie	8	8					
Lie d'huile	Lie d'huile	0	0a		0	0a		
Lie de bière	Lie de bière	5	5		0	0a		
Lie de Vin	Lie de Vin	5	5					...
Liège	Liège	2	2					...
Liège ; En bouchons	Liège ; En bouchons	6	6		6	6		
Liens ; de fil	Liens ; de fil	6	6a					
Lièvres	Gibier	0	0a					…
Ligatures	Ligatures	6	6					...
Lignes ; à pêcher	Lignes ; à pêcher	6	6					
Lilarge	Lilarge	…	…					
Lillas	Lillas	2	2					
Limaille	Limaille	2	2					
Limaille ; d'argent	Limaille	2	2		6	6		
Limaille ; de cuivre	Limaille	2	2					
Limas	Limas	…	…					
Limeneas	Limeneas	…	…					
Limes	Limes	8	8					
Limes ; d'acier	Limes	8	8					
Limons ; salées	Limons ; salées	0	0a		0	0a		
Limons ou citrons	Limons ou citrons	0	0a		0	0a		
Lin	Lin	2	2					
Lin ; ?	Lin	2	2					
Lin ; cru	Lin	2	2					
Lin ; divers	Lin	2	2					
Lin ; en bottes	Lin	2	2					
Lin ; en gerbe	Lin	2	2					
Lin ; en gerbes	Lin	2	2					
Lin ; en masses	Lin	2	2					
Lin ; en pelottes	Lin	2	2					
Lin ; en pierres	Lin	2	2					
Lin ; en rames	Lin	2	2					
Lin ; peigné	Lin	2	2					
Lin ; sec ; non roui	Lin	2	2		2	2		
Lin ; vert ; non battu	Lin	2	2					
Lin ; vert ; roui et non roui	Lin	2	2		2	2		
Lin; cru en masse	Lin	2	2		2	2		
Lina	Lina	…	…					
Linge ; de table	Linge	6	6					
Linge ; travaillé	Linge	6	6		6	6		
Linge ; vieux	Linge ; vieux	6	6					
Lingerie	Lingerie	6	6					
Lingerie ; de toile ; de lin	Lingerie ; de toile ; de lin	6	6a					...
Linnieuse	Linnieuse	...	...					...
Liqueurs	Liqueurs	1	1					
Liqueurs ; distillées	Liqueurs ; distillées	1	1		1	1		
Liqueurs ; Diverses	Liqueurs ; Diverses	1	1					
Liqueurs ; Rhum	Liqueurs ; Rhum	1	1					
Liqueurs ; Sirops	Liqueurs ; Sirops	1	1					
Liqueurs ; Sirops ; Fins	Liqueurs ; Sirops ; Fins	1	1					
Liqueurs ; Sirops ; Mélasse	Liqueurs ; Sirops ; Mélasse	1	1					
Liqueurs ; Sirops ; Mélasse étranger	Liqueurs ; Sirops ; Mélasse étranger	1	1					
Liqueurs ; Tafia	Liqueurs ; Tafia	1	1					
Lisière	Lisière	6	6		7	7		
Lisière ; de drap	Lisière	6	6b					
Lisière ; de velours	Lisière	6	6c					
Lisières et rognures ; de drap	Lisières et rognures ; de drap	6	6b	rognure et lisière de drap	6	6b	rognure et lisière de drap	
Lissoirs de verre	Lissoirs de verre	…	…					
Lit ; garny	Lit	8	8					...
Litarge	Litarge	…	…					
Lits ; de Bourre	Lit	8	8					
Lits ; de Bourre de chèvre	Lit	8	8					
Lits ; de fer	Lit	8	8					...
Lits ; de plumes	Lit	8	8					
Livre ; en blanc	Livre	8	8					
Livre ; non relié	Livre	8	8		8	8		
Livre ; relié	Livre	8	8		8	8		
Locque	Locque	2	2	locques à faire papier	2	2	locques à faire papier	
Loupins	Loupins	0	0a					...
Lunettes	Lunettes	8	8					
Lustre	Lustre	8	8					
Lustre ; de cristal et verre	Lustre	8	8	lustres de cristal	8	8	lustres de cristal	
Lustre ; de Venise	Lustre	8	8					
Lustrine	Lustrine	…	…					
Luzes	Luzes	…	…					
Machicot	Machicot	6	6					
Macis	Macis	0	0b	Arille de la noix muscade, surtout utilisé comme aromate ou condiment.				...
Maiclais	Maiclais	…	…					
Maillicot	Maillicot	5	5		5	5		
maïs	maïs	0	0a					
Malbroug	Malbroug	…	…					
Malemole	Malemole	…	…					
Malles	Malles	8	8					
Malles ; de cuir	Malles	8	8					
Malles ; travaillées	Malles	8	8					
Malles ; valises et coffres	Malles	8	8		8	8		
Malles ; vides	Malles	8	8					
Mallettes ; travaillées	Mallettes ; travaillées	8	8		8	8		
Manches ; à lave place	Manches	6	6					
Manches ; d'alaisnes	Manches	6	6					
Manches ; de balai	Manches	6	6					
Manches ; de fourches et de balais	Manches	6	6		6	6		
Manches ; de gaffe	Manches	6	6					
Manches ; de mail	Manches	6	6					
Manches ; de pioche	Manches	6	6					
Manchettes	Manchettes	8	8					
Manchettes ; brodées	Manchettes	8	8		8	8		...
Manchettes ; de dentelles	Manchettes	8	8					
Manchettes et mouchoirs ; brodées	Manchettes	8	8		8	8		
Manchettes et mouchoirs ; de mousseline	Manchettes	8	8		8	8		
Manchons	Manchons	6	6					...
Manchons ; communs	Manchons	8	8		8	8		
Manchons ; de martre	Manchons	8	8		8	8		
Manchons ; de peux de loup et d'ours	Manchons	8	8		8	8		
Manchons ; de plumes	Manchons	8	8		8	8		
Manchons ; de renard	Manchons	8	8		8	8		
Manchons ; de tigre	Manchons	8	8		8	8		
Manchons ; fins	Manchons	8	8					...
Manchons ; laine	Manchons	8	8		8	8		
Mandarins	Mandarins	…	…					
Mandes et berces ; d'osier	Mandes et berces ; d'osier	8	8	mandes, panniers et berses/mandes d'ozier	8	8	mandes, panniers et berses/mandes d'ozier	
Manganèse	Manganèse	2	2					
Manicot	Manicot	…	…					
Manille	Manille	6	6	Anneau de fer ou fibre végétale ?				...
Maniquette	Maniquette	…	…					
Manne	Manne	…	…					
Manne ; de Calabre	Manne ; de Calabre	…	…					
Manteaux	Manteaux	8	8					
Manteaux ; courts	Manteaux	8	8		8	8		
Manteaux ; vieux	Manteaux	8	8					
Mantelets	Mantelets	…	…					
Mantelets ; courts	Mantelets	…	…					
Mantelets ; de soie	Mantelets	8	8		8	8		
Maquereau	Poisson	0	0a		0	0a		
Maquereaux	Poisson	0	0a					
Maquereaux ; salés	Poisson	0	0a					...
Maquet	Maquet	…	…					
Marbre	Marbre	…	…					
Marbre ; à jouer	Marbre ; ouvré	6	6	merbels à jouer	6	6	merbels à jouer	
Marbre ; blanc	Marbre	2	2		2	2		
Marbre ; brun	Marbre	2	2					
Marbre ; brut	Marbre	2	2					...
Marbre ; divers	Marbre	2	2					...
Marbre ; en bloc	Marbre	2	2	marbre en bloc ou brut	2	2	marbre en bloc ou brut	
Marbre ; en pierres	Marbre ; ouvré	6	6					...
Marbre ; noir ; travaillé	Marbre ; ouvré	6	6		6	6		
Marbre ; ouvré	Marbre ; ouvré	6	6					...
Marbre ; ouvré ; à jouer	Marbre ; ouvré	8	8					
Marbre ; ouvré ; divers	Marbre ; ouvré	6	6					...
Marbre ; ouvré ; en carreaux	Marbre ; ouvré	6	6					
Marbre ; ouvré ; en mortier	Marbre ; ouvré	6	6					
Marbre ; ouvré ; en tables	Marbre ; ouvré	6	6					
Marbre ; rouge et gris	Marbre ; ouvré	2	2		2	2		
Marbre ; travaillé	Marbre ; ouvré	6	6		6	6		
Marc	Marc	5	5					
Marc ; divers	Marc	5	5					
Marc d'olive	Marc	5	5					
Marc de raisin	Marc	5	5					
Marcassin	Marcassin	0	0a					
Marcassite	Marcassite	2	2	Sulfure de fer				...
Marchandises	Marchandises	…	…					
Marchandises ; à l'estimation	Marchandises	…	…					
Marchandises ; blanches	Marchandises ; blanches	…	…					
Marchandises ; de la cote	Marchandises ; de la cote	…	…					
Marchandises ; de modes	Marchandises ; de modes	…	…					
Marchandises ; de Montauban	Marchandises ; de Montauban	…	…					
Marchandises ; des Indes	Marchandises ; des Indes	…	…					
Marchandises ; diverses	Marchandises	…	…					
Marchandises ; en meubles	Marchandises ; en meubles	8	8					
Marchandises ; mêlées	Marchandises	…	…					
Marechauderie	Poisson	…	…					
Marée ; fraiche	Poisson	…	…					
Marègue	Marègue	…	…					
Mareule	Mareule	…	…					
Marmites	Marmites	6	6					
Marmites ; de fer	Marmites	6	6					
Marmites ; de fonte	Marmites	6	6					
Marne	Marne	2	2		2	2		
Maroc	Maroc	6	6					...
Marquise	Marquise	8	8	Meuble ?				
Marron	Marron	0	0a					
Marron et châtaigne	Marron	0	0a		0	0a		
Marsoin	Marsoin	…	…					
Marteau de forge	Marteau de forge	6	6		6	6		
Masque	Masque	8	8					
Masque ; commun	Masque	8	8		8	8		
Masque ; communs	Masque	8	8		8	8		
Masque ; de Venise	Masque	8	8					
Masse ; de mail	Masse ; de mail	…	…					
Massicot	Massicot	2	2	Protoxyde naturel du plomb pour teintures				...
Mastic	Mastic	2	2					
Mastic ; en larmes	Mastic ; en larmes	2	2					...
Mât	Mât	2	2					
Mât ; de sapin	Mât	2	2		2	2		
Mât ; de vaisseau	Mât	2	2					
Mât ; diver	Mât	2	2					
Mât ; divers	Mât	2	2					
Mât ; façonné	Mât	2	2		2	2		
Mât ; mâture	Mât	2	2					
Mât ; petit	Mât	2	2					
Matelas	Matelas	8	8		8	8		
Matelas ; de crin	Matelas	8	8					
Matelas ; de crin et noppes	Matelas	8	8		8	8		
Matelas ; de laine	Matelas	8	8		8	8		
Matelas ; vieux	Matelas	8	8					
Matereaux	Mât	2	2					
Matereaux ; ou petits mâts	Mât	2	2					
Mâts ; divers	Mâts ; divers	2	2					
Mâture	Mâture	2	2					
Maugrebine	Maugrebine	…	…					
Mèche	Mèche	6	6					
Mèche ; à canon	Mèche	6	6					
Mèche ; à chandelle	Mèche	6	6					
Mèche ; à flambeaux	Mèche	6	6					
Mèche ; flambeaux, chandelles et lampes	Mèche	6	6	meches et flambeaux/meches pour flambeaux	6	6	meches et flambeaux/meches pour flambeaux	
Mèche ; soufrée	Mèche	6	6a					
Mecoacam	Mecoacam	…	…					
Médailles ; antiques	Médailles ; antiques	8	8					
Médicaments	Drogues ; Médicaments	5	5					
Meffles	Meffles	0	0a	guindes	0	0a	guindes	
Melon	Melon	0	0a		0	0a		
Ménages	Ménages	…	…					
Menie	Menie	5	5		5	5		
Mentes ; à moulir	Mentes ; à moulir	0	0a					
Mentes ; à taillandier	Mentes ; à taillandier	0	0a					
Menuiserie	Menuiserie	6	6a					
Menuté	Menuté	8	8	menutés reprises et non reprises	8	8	menutés reprises et non reprises	
Mercerie	Mercerie	6	6					
Mercerie ; Commune	Mercerie	6	6					...
Mercerie ; de Nuremberg	Mercerie	6	6	mercerie de Nuremberg	8	8	mercerie de Nuremberg	
Mercerie ; Fine	Mercerie	6	6					
Mercerie ; Fine ; Aiguille	Mercerie	6	6					
Mercerie ; Fine ; Aiguille à coudre	Mercerie	6	6					...
Mercerie ; Fine ; Aiguille à voile	Mercerie	6	6					...
Mercerie ; Fine ; Diverse	Mercerie	6	6					
Mercerie ; Fine ; Epingles	Mercerie	6	6					
Mercerie ; Mêlée	Mercerie	6	6					...
Mercerie ; Ordinaire	Mercerie	6	6					
Mercerie et jolité ; Mêlée	Mercerie	8	8		8	8		
Mercure	Mercure	5	5		5	5		
Mercure ; doux	Mercure	5	5					...
Meriers	Meriers	0	0a	Murier				
Merlans	Merlans	0	0a	merlins dits bollinck, la mande de 100 pieces	0	0a	merlins dits bollinck, la mande de 100 pieces	
Merlus	Merlus	0	0a					
Merrain ; à barriques	Merrain ; à barriques	…	…					
Mervillons	Mervillons	…	…					
Mesures ; d'étain	Mesures ; d'étain	6	6					
Métal	Métal	6	6					
Métal ; ?	Métal	6	6					
Métal ; d'horloger	Métal	6	6					
Métal ; de cloche	Métal	6	6					
Métal ; divers	Métal	6	6		6	6		
Métal ; frappé, ouvré et moulé	Métal ; ouvré	6	6	metail frappé	6	6	metail frappé	
Métal ; moulé	Métal	6	6		6	6		
Métal et bronze ; moulé	Métal	6	6		6	6		
Métaux ; autres	Métal	6	6					
Métaux ; divers	Métal	6	6					
Métier	Métier	7	7					
Métier ; à faire bas	Métier	7	7					
Métier ; à faire tapisserie	Métier	7	7		6	6		
Métier ; à filer	Métier	7	7		6	6		
Métier ; de drapier	Métier	7	7		6	6		
Métier ; de tisserand	Métier	7	7		6	6		
Métier, presses, cribles, bulteaux ; de moulin	Métier	7	7		6	6		
Métillon	Métillon	0	0a		0	0a		
Métillon ; en jarbe	Métillon ; en jarbe	0	0a		0	0a		
Meuble	Meuble	8	8					
Meuble et miroir	Meuble et miroir	8	8					
Meubles	Meubles	8	8					
Meubles et miroirs	Meubles et miroirs	8	8					
Meules ; ?	Meules	7	7					
Meules ; à callandre	Meules	7	7					
Meules ; à éguiser	Meules	7	7					
Meules ; à favre	Meules	7	7					
Meules ; à huile	Meules	7	7					
Meules ; à moulin	Meules	7	7					
Meules ; à taillandes	Meules	7	7					
Meules ; à tannerie	Meules	7	7					
Meules ; bâtardes	Meules	7	7					
Meuniers	Meuniers	0	0a		0	0a		
Miel	Miel	0	0a					
Miel ; blanc	Miel	0	0a		0	0a		
Miel ; brouche	Miel	0	0a		0	0a		
Miel ; brun	Miel	0	0a		0	0a		
Miel ; cru	Miel	0	0a					...
Miel ; façonnée	Miel	0	0a					
Mignonnette	Mignonnette	6	6a	Sorte de dentelle				
Migon	Migon	6	6					...
Milleret et agréments	Milleret et agréments	8	8		8	8		
Milleret et agréments ; de soie	Milleret et agréments ; de soie	8	8		8	8		
Millet	Millet	0	0a	fenegré et millet	0	0a	fenegré et millet	
Millet ; gros	Millet ; gros	0	0a					
Mine ; d'antimoine	Mine	2	2					
Mine ; de cuivre rouge	Mine	2	2		2	2		
Mine ; de fer	Mine	2	2	minne de fer/mine de fer à 1600 livres la charée	2	2	minne de fer/mine de fer à 1600 livres la charée	
Mine ; de plomb	Mine	2	2					
Mine ; de roche	Mine	2	2					
Minerai ; de plomb	Mine	2	2		2	2		
Mini	Mini	...	...					...
Minium	Minium	…	…					
Mirche	Mirche	2	2	Mirrhe				
Mirke	Mirke	2	2	Mirrhe				
Mirobolans	Mirobolans	…	…					
