marchandises	marchandises_normalisees
///Drogues Médicinales///Jus de réglisse	Drogues ; Médicinales ; Jus de réglisse
///Drogues médicinales///Jus de réglisse	Drogues ; Médicinales ; Jus de réglisse
///Drogues Médicinales///Manne	Drogues ; Médicinales ; Manne
///Drogues médicinales///Manne	Drogues ; Médicinales ; Manne
///Drogues Médicinales///Quinquina	Drogues ; Médicinales ; Quinquina
///Drogues médicinales///Quinquina	Drogues ; Médicinales ; Quinquina
///Drogues Médicinales///Safran	Drogues ; Médicinales ; Saffran
///Drogues médicinales///Safran	Drogues ; Médicinales ; Saffran
///Drogues Médicinales///Salsepareille	Drogues ; Médicinales ; Salsepareille
///Drogues médicinales///Salsepareille	Drogues ; Médicinales ; Salsepareille
///Drogues Médicinales///Séné	Drogues ; Médicinales ; Séné
///Drogues médicinales///Séné	Drogues ; Médicinales ; Séné
///Drogues midicinales///Drogues réunies	Drogues ; Médicinales ; Réunies
///Drogues midicinales///Ipécacuanha	Drogues ; Médicinales ; Réunies
///Drogues midicinales///Jus de réglisse	Drogues ; Médicinales ; Jus de réglisse
///Drogues midicinales///Manne	Drogues ; Médicinales ; Manne
///Drogues midicinales///Quinquina	Drogues ; Médicinales ; Quinquina
///Drogues midicinales///Safran	Drogues ; Médicinales ; Saffran
///Drogues midicinales///Salsepareille	Drogues ; Médicinales ; Salsepareille
///Drogues midicinales///Sené	Drogues ; Médicinales ; Séné
///Industrie Etrangère///Articles réunis	Articles ; réunis
///Industrie étrangère///Articles réunis	Articles ; réunis
///Industrie Etrangère///Bouchons de liège	Bouchons ; de liège
///Industrie étrangère///Bouchons de liége	Bouchons ; de liège
///Industrie étrangère///Cauris	Cauris
///Industrie étrangère///Colle de toute sorte	Colles ; de toute sorte
///Industrie Etrangère///Colles de toute sorte	Colles ; de toute sorte
///Industrie étrangère///Colles de toute sorte	Colles ; de toute sorte
///Industrie Etrangère///Faience et poterie	Fayence et poterie
///Industrie étrangère///Faience et poterie	Fayence et poterie
///Industrie Etrangère///Habillement et lingerie	Habillements ; et lingerie
///Industrie étrangère///Habillement et lingerie	Habillements ; et lingerie
///Industrie étrangère///Horlogerie	Horlogerie
///Industrie Etrangère///Horlogeries	Horlogerie
///Industrie Etrangère///Librairie	Librairie
///Industrie étrangère///Librairie	Librairie
///Industrie Etrangère///Marbres	Marbre
///Industrie étrangère///Marbres	Marbre
///Industrie Etrangère///Merceries	Mercerie
///Industrie étrangère///Merceries	Mercerie
///Industrie Etrangère///Meubles et miroirs	Meubles et miroirs
///Industrie étrangère///Meubles et miroirs	Meubles et miroirs
///Industrie Etrangère///Ouvrages de jonc	Ouvrages ; De joncs
///Industrie étrangère///Ouvrages de jonc	Ouvrages ; De joncs
///Industrie Etrangère///Ouvrages divers	Ouvrages ; Divers
///Industrie étrangère///Ouvrages divers	Ouvrages ; Divers
///Industrie Etrangère///Peaux et pelleteries	Peaux et pelleteries
///Industrie étrangère///Peaux et pelleteries	Peaux et pelleteries
///Industrie Etrangère///Plumes à écrire	Plumes ; à écrire
///Industrie étrangère///Plumes à écrire	Plumes ; à écrire
///Industrie Etrangère///Plumes d'autruche	Plumes ; d'autruche
///Industrie étrangère///Plumes d'Autruche	Plumes ; d'autruche
///Industrie Etrangère///Plumes de toute sorte	Plumes ; de toute sorte
///Industrie étrangère///Plumes de toute sorte	Plumes ; de toute sorte
///Industrie étrangère///Porcelaine, faience et poterie	Porcelaine, fayence et poterie
///Industrie Etrangère///Quincailleries diverses	Quincaillerie ; Diverse
///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles, fil de laiton et limes…	Quincaillerie ; Diverse
///Industrie étrangère///Quincailleries diverses ; Faulx, faucilles,fil de laiton et limes ..	Quincaillerie ; Diverse
///Industrie Etrangère///Savons	Savon
///Industrie étrangère///Savons	Savon
///Industrie Etrangère///Voitures	Voitures
///Industrie étrangère///Voitures	Voitures
///Industrie générale///Armes	Armes
///Industrie Générale///Articles d'industrie réunis	Articles ; d'industrie ; réunis
///Industrie générale///Articles d'industrie réunis	Articles ; d'industrie ; réunis
///Industrie Générale///Bijouterie	Bijouterie
///Industrie générale///Bijouterie	Bijouterie
///Industrie Générale///Bougie	Bougie
///Industrie générale///Bougie	Bougie
///Industrie Générale///Cauris	Cauris
///Industrie générale///Cauris	Cauris
///Industrie générale///Chandelle	Chandelles
///Industrie Générale///Chandelles	Chandelles
///Industrie Générale///Cordages	Cordage
///Industrie générale///Cordages	Cordage
///Industrie Générale///Dorures fines	Dorure ; fine
///Industrie générale///Dorures fines	Dorure ; fine
///Industrie Générale///Esprit de vin	Esprit ; de vin
///Industrie générale///Esprit de vin	Esprit ; de vin
///Industrie Générale///Faience et poterie	Fayence et poterie
///Industrie générale///Faience et poterie	Fayence et poterie
///Industrie Générale///Gants de peau	Gants ; de peaux
///Industrie générale///Gants de peau	Gants ; de peaux
///Industrie générale///Habillemens et lingerie	Habillements ; et lingerie
///Industrie Générale///Habillements et lingeries	Habillements ; et lingerie
///Industrie Générale///Horlogerie	Horlogerie
///Industrie générale///Horlogerie	Horlogerie
///Industrie Générale///Jeux de voiles	Jeux ; de voiles
///Industrie générale///Jeux de voiles	Jeux ; de voiles
///Industrie Générale///Librairie	Librairie
///Industrie générale///Librairie	Librairie
///Industrie Générale///Marchandises des indes	Marchandises ; des Indes
///Industrie Générale///Merceries	Mercerie
///Industrie générale///Merceries	Mercerie
///Industrie Générale///Meubles et glaces	Meubles et miroirs
///Industrie générale///Meubles et glaces	Meubles et miroirs
///Industrie Générale///Ouvrages de cruivre doré et argenté	Ouvrages ; De cuivre ; Doré et argenté
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; De cuir ; en cordonnerie et sellerie
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie	Ouvrages ; De cuir ; en cordonnerie et sellerie
///Industrie générale///Ouvrages de cuivre doré et argenté	Ouvrages ; De cuivre ; Doré et argenté
///Industrie Générale///Ouvrages de modes et fleurs artificielles	Ouvrages ; De modes ; En fleurs artificielles
///Industrie générale///Ouvrages de modes et fleurs artificielles	Ouvrages ; De modes ; En fleurs artificielles
///Industrie générale///Ouvrages de terre cuite	Ouvrages ; De terre ; cuite
///Industrie générale///Ouvrages divers	Ouvrages ; Divers
///Industrie Générale///Ouvrages divers en bois et futailles vuides	Ouvrages ; Divers ; en bois et futailles vides
///Industrie Générale///Ouvrages en terre cuite	Ouvrages ; De terre ; cuite
///Industrie générale///Papier pour tenture	Papier ; pour teinture
///Industrie Générale///Papiers à écrire	Papier ; à écrire
///Industrie générale///Papiers à écrire	Papier ; à écrire
///Industrie Générale///Papiers pour tenture	Papier ; pour teinture
///Industrie générale///Papiers pour tenture	Papier ; pour teinture
///Industrie Générale///Parasols	Parasols
///Industrie Générale///Parfumerie	Parfumerie
///Industrie générale///Parfumerie	Parfumerie
///Industrie Générale///Passementerie	Passementerie
///Industrie générale///Passementerie	Passementerie
///Industrie Générale///Peaux et pelleteries	Peaux et pelleteries
///Industrie générale///Peaux et pelleteries	Peaux et pelleteries
///Industrie Générale///Porcelaine	Porcelaine
///Industrie générale///Porcelaine	Porcelaine
///Industrie Générale///Poudre à tirer	Poudre ; à tirer
///Industrie générale///Poudre à tirer	Poudre ; à tirer
///Industrie Générale///Quincaillerie	Quincaillerie
///Industrie générale///Quincaillerie	Quincaillerie
///Industrie Générale///Savons	Savon
///Industrie générale///Savons	Savon
///Industrie Générale///Tableaux et Estampes	Tableaux et estampes
///Industrie générale///Tableaux et estampes	Tableaux et estampes
///Industrie Générale///Verrerie	Verrerie
///Industrie générale///Verrerie	Verrerie
///Matière d'Or et d'argent///Monnaies au type étranger	Monnaies ; étrangères
///Matière d'Or et d'argent///Orfévrerie	Orfèvrerie
///Matières d'Or et d'argent///Argenterie et orfévrerie	Argenterie et orfèvrerie
///Matières d'Or et d'argent///Argenteries et orfévrerie	Argenterie et orfèvrerie
///Matieres d'Or et d'argent///Monnaies au type étranger	Monnaies ; étrangères
///Matières d'Or et d'argent///Monnaies étrangères , ou lingots	Monnaies ; étrangères ou lingots
///Matières d'or et d'argent///Monnaies étrangères et lingots	Monnaies ; étrangères ou lingots
///Matières d'Or et d'argent///Monnaies étrangères ou lingots	Monnaies ; étrangères ou lingots
///Matieres d'Or et d'argent///Orfévrerie	Orfèvrerie
///Matières d'or et d'argent///Orfévrerie	Orfèvrerie
///Métaux///Argent vif	Argent ; vif
///Métaux///Articles réunis	Articles ; réunis
///Métaux///Autres métaux	Métaux ; autres
///Métaux///Cuivre	Cuivre
///Métaux///Cuivre, bronze et Laiton	Cuivre, bronze et laiton
///Métaux///Cuivre, bronze et laiton	Cuivre, bronze et laiton
///Métaux///Cuivre,bronze et laiton	Cuivre, bronze et laiton
///Métaux///Etain	Etain
///Métaux///Fer blanc	Fer ; blanc
///Métaux///Fer-blanc	Fer ; blanc
///Métaux///Fers	Fer
///Métaux///Fers blanc	Fer ; blanc
///Métaux///Fers et aciers	Fer et acier
///Métaux///Plomb	Plomb
///Métaux///plomb	Plomb
///Objets manufacturés///Armes	Armes
///Objets manufacturés///Articles réunis	Armes ; réunies
///Objets manufacturés///Bonneterie en fil , coton et laine	Bonneterie ; de fil, coton et laine
///Objets manufacturés///Bonneterie en fil, coton et laine	Bonneterie ; de fil, coton et laine
///Objets manufacturés///Bonneterie ordinaire en coton et laine	Bonneterie ; de fil, coton et laine
///Objets manufacturés///Bonneteries de soie	Bonneterie ; de soie
///Objets manufacturés///Bonneteries diverses	Bonneterie ; diverse
///Objets manufacturés///Chapellerie	Chapellerie
///Objets manufacturés///chapellerie	Chapellerie
///Objets manufacturés///Dentelles	Dentelle
///Objets manufacturés///Dentelles de fil	Dentelle ; de fil et soie
///Objets manufacturés///Draperies	Draperie
///Objets manufacturés///Etoffe mélangées de ces matieres	Etoffe ; mélangées de ces matières
///Objets manufacturés///Etoffe riches	Etoffe ; riche
///Objets manufacturés///Etoffes de coton	Etoffe ; de coton
///Objets manufacturés///Etoffes de laine	Etoffe ; de laine
///Objets manufacturés///Etoffes de laine et de poil	Etoffe ; de laine et poil
///Objets manufacturés///Etoffes de soie	Etoffe ; de soie
///Objets manufacturés///Etoffes diverses	Etoffe ; diverses
///Objets manufacturés///Etoffes en coton et en laine	Etoffe ; de coton et laine
///Objets manufacturés///Etoffes mélangées de ces matières	Etoffe ; mélangées de ces matières
///Objets manufacturés///Etoffes riches	Etoffe ; riche
///Objets manufacturés///Gazes, crepes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie
///Objets manufacturés///Gazes, crêpes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie
///Objets manufacturés///Mouchoirs divers en fil et coton	Mouchoirs ; divers
///Objets manufacturés///Mouchoirs divers et des Indes	Mouchoirs ; divers
///Objets manufacturés///Mousselines	Mousseline
///Objets manufacturés///Objets manufacturés réunis	Objets ; manufacturés ; réunis
///Objets manufacturés///Rubannerie de soie	Rubannerie ; de soie
///Objets manufacturés///Rubannerie ordinaire	Rubannerie ; ordinaire
///Objets manufacturés///Rubanneries diverses	Rubannerie ; diverse
///Objets manufacturés///Soierie en étoffe, mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans
///Objets manufacturés///Soirie en étoffe ,mouchoirs, gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans
///Objets manufacturés///Soirie en étoffe, mouchoirs,gazes et rubans	Soierie en étoffe, mouchoirs, gazes et rubans
///Objets manufacturés///Toile de coton	Toile ; de coton
///Objets manufacturés///Toile de fil et coton	Toile ; de fil et coton
///Objets manufacturés///Toiles de coton	Toile ; de coton
///Objets manufacturés///Toiles de coton, mousseline et nankin	Toile ; de coton, mousseline et nankin
///Objets manufacturés///Toiles de coton, mousseline, nankin, et des Indes	Toile ; de coton, mousseline, nankin et des indes
///Objets manufacturés///Toiles de fil et coton	Toile ; de fil et coton
///Objets manufacturés///Toiles de lin et chanvre	Toile ; de lin et chanvre
///Objets manufacturés///Toiles de lin et de chanvre	Toile ; de lin et chanvre
///Objets manufacturés///Toiles diverses de lin et de chanvre	Toile ; de lin et chanvre ; diverse
///Objets manufacturés///Toiles diverses en lin et chanvre	Toile ; de lin et chanvre ; diverse
///Objets manufacturés///Toiles en coton, mousseline et nankin	Toile ; de coton, mousseline et nankin
1///Matières première///Articles réunis	Armes ; réunies
1///Matières première///Coton	Coton
1///Matières première///Fil	Fil
1///Matières première///Laine	Laine
1///Matières première///Soie	Soie
1///Matières premières///Chanvre	Chanvre
1///Matières premières///Chanvre et lin	Chanvre et lin
1///Matières premières///Coton	Coton
1///Matières premières///Fil	Fil
1///Matières premières///Laine	Laine
1///Matières premières///Lin	Lin
1///Matières premières///Poil de chevre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin
1///Matières premières///Poil de chèvre, lièvre et lapin	Poil ; de chèvre, lièvre et lapin
1///Matières premières///Soie	Soie
1///Matières premières///Soie et filoselle	Soie ; filozelle
1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons	Bestiaux ; en bœufs, vaches, porcs et moutons
1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons	Bestiaux ; en bœufs, vaches, porcs et moutons
1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons
1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons	Bestiaux ; en bœufs, vaches, veaux, porcs et moutons
1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons	Bestiaux ; en bœufs, vaches, porcs et moutons
1///Subsistances///Bestiaux en bœufs,vaches,veaux et moutons	Bestiaux ; en bœufs, vaches, porcs et moutons
1///Subsistances///Beurre	Beurre
1///Subsistances///Bière	Bière
1///Subsistances///Bière, cidre et vinaigre	Bière, cidre et vinaigre
1///Subsistances///Biscuit de mer	Biscuits ; de mer
1///Subsistances///Biscuits de mer et pâtes d'Italie	Biscuit ; de mer et pâtes d'Italie
1///Subsistances///Blé	Blé
1///Subsistances///Blé et autres grains	Blé et autres grains
1///Subsistances///Blé et autres grains comestibles	Blé et autres grains ; comestibles
1///Subsistances///Blé et autres grains, comestibles	Blé et autres grains ; comestibles
1///Subsistances///Chairs salées	Chair ; salée
1///Subsistances///Eaux de vie	Eau ; de vie
1///Subsistances///Eaux-de-vie	Eau ; de vie
1///Subsistances///Farine	Farine
1///Subsistances///Farine et biscuit de mer	Farine et biscuits de mer
1///Subsistances///Farine et biscuits de mer et pâtes d'Italie	Farine, biscuits de mer et pâtes d'Italie
1///Subsistances///Farine et pâtes d'Italie	Farine et pâtes d'Italie
1///Subsistances///Fromage	Fromage
1///Subsistances///Fromages	Fromage
1///Subsistances///Fruits divers	Fruits ; divers
1///Subsistances///Fruits secs en amandes, figues et …	Fruits ; secs ; amandes, figues et raisins
1///Subsistances///Fruits secs, en amandes ,figues et raisins	Fruits ; secs ; amandes, figues et raisins
1///Subsistances///Fruits secs, en amandes, figues et raisins	Fruits ; secs ; amandes, figues et raisins
1///Subsistances///Fruits verts en Oranges et citrons	Fruits ; verts ; oranges et citrons
1///Subsistances///Fruits verts, en oranges et citrons	Fruits ; verts ; oranges et citrons
1///Subsistances///Fruits verts, en oranges et citrons.	Fruits ; verts ; oranges et citrons
1///Subsistances///Huile d'Olive	Huile ; d'olive
1///Subsistances///Huile d'olive	Huile ; d'olive
1///Subsistances///Légumes	Légumes
1///Subsistances///Miel	Miel
1///Subsistances///Poissons de toute sorte	Poisson ; de toute sorte
1///Subsistances///Poissons de toutes sortes	Poisson ; de toute sorte
1///Subsistances///Provisions de bouche réunies	Provisions ; de bouche ; réunies
1///Subsistances///Provisions diverses	Provisions ; diverses
1///Subsistances///Provisions diverses,principalement en beurre	Provisions ; diverses
1///Subsistances///Riz	Ris
1///Subsistances///Sel	Sel
1///Subsistances///Vin de liqueurs	Vin ; de liqueurs
1///Subsistances///Vins	Vin
1///Subsistances///Vins de Bordeaux	Vin ; de Bordeaux
1///Subsistances///Vins de bordeaux	Vin ; de Bordeaux
1///Subsistances///Vins de liqueur	Vin ; de liqueurs
1///Subsistances///Vins de liqueurs	Vin ; de liqueurs
1///Subsistances///Vins divers	Vin ; divers
2///Matières première///Articles réunis	Articles ; réunis
2///Matières première///Bois divers	Bois ; divers
2///Matières première///Brai, goudron et résine	Brai, goudron et résine
2///Matières première///Charbons	Charbon
2///Matières première///Cires jaune et blanche	Cire ; blanche et jaune
2///Matières première///Cuirs appretés	Cuirs ; apprêtés
2///Matières première///Graines de jardin	Graine ; de jardin
2///Matières première///Graines de trèfle	Graine ; de trèfle
2///Matières première///Graines diverses	Graine ; diverse
2///Matières première///Huile de graine	Huile ; de graine
2///Matières première///Pain de navette	Pains ; de navette
2///Matières première///Suif	Suif
2///Matières première///Tabacs	Tabac
2///Matières premières///Articles réunis	Articles ; réunis
2///Matières premières///Bois de Iles	Bois ; des Iles
2///Matières premières///Bois des iles	Bois ; des Iles
2///Matières premières///Bois divers	Bois ; divers
2///Matières premières///Brai, goudron et résine	Brai, goudron et résine
2///Matières premières///Brai, Goudron, Résine	Brai, goudron et résine
2///Matières premières///Brai,goudron et résine	Brai, goudron et résine
2///Matières premières///Bray, goudron, poix et résine	Brai, goudron, poix et résine
2///Matières premières///Cendres diverses	Cendre ; diverses
2///Matières premières///cendres Diverses	Cendre ; diverses
2///Matières premières///Charbon	Charbon
2///Matières premières///Charbons	Charbon
2///Matières premières///Circes blanche et jaune	Cire ; blanche et jaune
2///Matières premières///Cires blanche et jaune	Cire ; blanche et jaune
2///Matières premières///Cires blanches et jaunes	Cire ; blanche et jaune
2///Matières premières///Cires jaune et blanche	Cire ; blanche et jaune
2///Matières premières///Cires jaune et blanche fondue et en bougies	Cire ; blanche et jaune ; fondue et en bougie
2///Matières premières///Cuirs appretés	Cuirs ; apprêtés
2///Matières premières///Cuirs apprétés	Cuirs ; apprêtés
2///Matières premières///Cuirs en poil	Cuirs ; en poil
2///Matières premières///Dents d'éléphant	Dents ; d'éléphant
2///Matières premières///Goudron ,poix et résine	Goudron, poix et résine
2///Matières premières///Graine de Lin	Graine ; de lin
2///Matières premières///Graine de lin	Graine ; de lin
2///Matières premières///Graines de diverses	Graine ; diverse
2///Matières premières///Graines de jardin	Graine ; de jardin
2///Matières premières///Graines de trèfle	Graine ; de trèfle
2///Matières premières///Graines diverses	Graine ; diverse
2///Matières premières///Graines diverses et de lin	Graine ; diverse
2///Matières premières///Houblon	Houblon
2///Matières premières///Huile d'olive pour fabriques	Huile ; d'olive ; pour fabriques
2///Matières premières///Huile de graine	Huile ; de graine
2///Matières premières///Huile de grains	Huile ; de graine
2///Matières premières///Huile de poisson	Huile ; de poisson
2///Matières premières///Huile de poissons	Huile ; de poisson
2///Matières premières///Huiles d'Olive pour fabriques	Huile ; d'olive ; pour fabriques
2///Matières premières///Pain de navette	Pains ; de navette
2///Matières premières///Petasse, vedasses et gravelées	Potasses, vedasses et gravelées
2///Matières premières///Potasse, vedasse et gravelées	Potasses, vedasses et gravelées
2///Matières premières///Potasses, vedasses et gravelées	Potasses, vedasses et gravelées
2///Matières premières///Soie de porc et sanglier	Soie ; de porc et sanglier
2///Matières premières///Soude	Soude
2///Matières premières///Souffre et salpetre	Souffre et salpêtre
2///Matières premières///Soufre et Salpetre	Souffre et salpêtre
2///Matières premières///Soufre et salpetre	Souffre et salpêtre
2///Matières premières///Suif	Suif
2///Matières premières///Suif fondu et en chandelles	Suif ; fondu et en chandelles
2///Matières premières///Tabacs	Tabac
2///Subsistances///Articles réunis	Articles ; réunis
2///Subsistances///Cacao	Cacao
2///Subsistances///Café	Café
2///Subsistances///Chocolat	Chocolat
2///Subsistances///Liqueurs	Liqueurs
2///Subsistances///Liqueurs et Sirops	Liqueurs ; Sirops
2///Subsistances///Liqueurs et sirops	Liqueurs ; Sirops
2///Subsistances///Provisions diverses,principalement en beurre	Provisions ; diverses
2///Subsistances///Sirops	Sirop
2///Subsistances///Sucre	Sucre
2///Subsistances///Thé	Thé
2///Suite des matières premières///Articles réunis	Articles ; réunis
3///Matières première///Alun	Alun
3///Matières première///Cochenille	Cochenille
3///Matières première///Drogues réunies	Drogues ; Réunies
3///Matières première///Garance	Garance
3///Matières première///Indigo	Indigo
3///Matières première///Rocou	Rocou
3///Matières première///Verdet	Verdet
3///Matières premières///Alquifoux ou mine de plomb	Alquifoux ou mine de plomb
3///Matières premières///Alun	Alun
3///Matières premières///Azur	Azur
3///Matières premières///Céruse	Ceruse
3///Matières premières///Cochenille	Cochenille
3///Matières premières///Drogues diverses réunies	Drogues ; Réunies ; Diverses
3///Matières premières///Drogues réunies	Drogues ; Réunies
3///Matières premières///Garance	Garance
3///Matières premières///Indigo	Indigo
3///Matières premières///Noix de Galle	Noix ; de Galle
3///Matières premières///Noix de galle	Noix ; de Galle
3///Matières premières///Rocou	Rocou
3///Matières premières///Saffranum	Saffran
3///Matières premières///Verdet	Verdet
3///Subsistances///Articles réunis	Articles ; réunis
3///Subsistances///Canelle	Canelle
3///Subsistances///Eiceries diverses	Epicerie ; diverse
3///Subsistances///Epiceries	Epicerie
3///Subsistances///Epiceries Diverses	Epicerie ; diverse
3///Subsistances///Epiceries diverses	Epicerie ; diverse
3///Subsistances///Giroffle	Giroffle
3///Subsistances///Girofle	Giroffle
3///Subsistances///Muscade	Muscade
3///Subsistances///Poivre	Poivre
3///Suite des matières premières///Alun	Alun
3///Suite des matières premières///Azur	Azur
3///Suite des matières premières///Céruse	Ceruse
3///Suite des matières premières///Cochenille	Cochenille
3///Suite des matières premières///Drogues diverses réunies	Drogues ; Réunies ; Diverses
3///Suite des matières premières///Garance	Garance
3///Suite des matières premières///Indigo	Indigo
3///Suite des matières premières///Noix de galle	Noix ; de Galle
3///Suite des matières premières///Rocou	Rocou
Abacir	Abacir
Acacia	Acacia
Achia	Achia
Acier	Acier
Acier ; brut	Acier ; brut
Acier ; ouvré	Acier ; ouvré
Acons démonté	Acons demontés
Acons demontés	Acons demontés
Acors demontés	Acons demontés
Acorus	Acorus
Affuts de canon	Affuts ; de canon
Agaric	Agaric
Agarie	Agaric
Agathe	Agathe
Agneaux	Agneaux
Agrémens	Agréments
Agrémens ; au quart	Agréments ; au quart
Agrémens ; de fil	Agréments ; de fil
Agremens ; de soye	Agréments ; de soie
Agrémens ; de soye	Agréments ; de soie
Agremens ; or et argent	Agréments ; d'or et d'argent
Agrément ; d'argent	Agréments ; d'argent
Agrément ; de fil	Agréments ; de fil
Agrément ; de soye	Agréments ; de soie
Agréments	Agréments
Agréments ; de soye	Agréments ; de soie
Agréments ; or et arg	Agréments ; d'or et d'argent
Agréments de soye	Agréments ; de soie
Agrements; d'or	Agréments ; d'or
Agrements; de fil	Agréments ; de fil
Agrements; de soye	Agréments ; de soie
Agrements; or et argent	Agréments ; d'or et d'argent
Agrès de navires	Agrès ; de navires
Agrets	Agrès
Aigre ; de vitriol	Aigre ; de vitriol
Aigre de vitriol	Aigre ; de vitriol
Aigrettes	Aigrettes
Aiguiles	Aiguilles
Aiguiller	Aiguilles
Aiguilles	Aiguilles
Ailer	Ails
Ailes	Ails
Ailor	Ails
Ails	Ails
Ains à pecher	Ains à pecher
Airain	Airain
Airain ; ouvré	Airain ; ouvré
Ajamier	Ajamis
Ajamir	Ajamis
Ajamis	Ajamis
Ajamix	Ajamis
Ajustemens	Ajamis
Ajustement	Ajustements
Ajustements	Ajustements
Alaisnes	Ajustements
Alambic	Ajustements
Alambics	Alembics
Alambie ; de terre	Alambie ; de terre
Alaya	Alana
Albatre	Albatre
Alembics	Alembics
Alibania	Alibans
Alibanis	Alibans
Alibans	Alibans
Allumettes	Alumettes
Alocir	Alocir
Aloes	Aloës
Aloès	Aloës
Aloës	Aloës
Alois	Aloës
Alpargalle	Alpargalle
Alpargatte	Alpargalle
Alpargattes	Alpargalle
Alpiste	Alpargalle
Alquitra	Alquitra
Alumettes	Alumettes
Alumettes operées et souffrées	Alumettes
Alun	Alun
Amadon	Amadou
Amadou	Amadou
Amadoux	Amadou
Amandeic	Amandes
Amandes	Amandes
Amandes ; cassees	Amandes ; cassées
Amandes ; cassées	Amandes ; cassées
Amandes ; en coques	Amandes ; en coques
Amandes : cassées	Amandes ; cassées
Amandes; cassees	Amandes ; cassées
Amandes; en coques	Amandes ; en coques
Amandeu	Amadou
ambre	Ambre
Ambre	Ambre
Ambre ; carabé	Ambre ; carabé
Ambre ; gris	Ambre ; gris
Ambre ; jaune	Ambre ; jaune
Ambre ; moulu	Ambre ; moulu
Ameconie	Ameçons
Amecons	Ameçons
Ameçons	Ameçons
Ameçons ; cassées	Ameçons
Amertis	Amertis
Amidon	Amidon
Amomum	Amomum
Anabas	Ananas
Anacardes	Anacardes
Anatose	Anatose
Anchois	Anchois
Ancres ; de fer	Ancres ; de fer
Ancres de fer	Ancres ; de fer
Ancres; de fer	Ancres ; de fer
Andouilles	Ancres ; de fer
Angelique	Angélique
Anguilles	Anguilles
Aniec	Aniec
Anille	Anille
Anis	Anis
Anisette	Anisette
Anspects	Anspects
Antimoine	Antimoine
Antimoine ; cru	Antimoine
Antolphe	Antimoine
Antolphe ; de geroffle	Antolphe ; de geroffle
Antolphe de geroffle	Antolphe ; de geroffle
Apioa	Antolphe ; de geroffle
araq	Aracq
Arbre à planter	Arbres ; à planter
Arbres ; à planter	Arbres ; à planter
Arbres à planter	Arbres ; à planter
Arbres aplanter	Arbres ; à planter
Arbres et arbrisseaux	Arbres et arbrisseaux
Arcanum ; du plicatum	Arbres et arbrisseaux
Arçcons de selle	Arçons de selle
Arcenic	Arcenic
Ardoises	Ardoises
Argent ; argent ; carragoux	Argent ; argent ; carragoux
Argent ; argent ; piastres	Argent ; argent ; piastres
