marchandises	marchandises_normalisees_inter	marchandises_normalisees	product_prix	dutchtranslation	englishproduct	unit	alternativenames	source_rg_1774	source_rgbase	source_france	source_france_direction	source_sound
///Industrie Générale///Parfumerie	Parfumerie	Parfumerie						0	0	1	0	
///Industrie générale///Parfumerie	Parfumerie	Parfumerie						0	0	1	0	
///Industrie Générale///Passementerie	Passementerie	Passementerie						0	0	1	0	
///Industrie générale///Passementerie	Passementerie	Passementerie						0	0	1	0	
///Industrie Générale///Peaux et pelleteries	Peaux et pelleteries	Peaux et pelleteries						0	0	1	0	
///Industrie générale///Peaux et pelleteries	Peaux et pelleteries	Peaux et pelleteries						0	0	1	0	
///Industrie Générale///Porcelaine	Porcelaine	Porcelaine						0	0	1	0	
///Industrie générale///Porcelaine	Porcelaine	Porcelaine						0	0	1	0	
///Industrie Générale///Poudre à tirer	Poudre ; à tirer	Poudre ; à tirer						0	0	1	0	
///Industrie générale///Poudre à tirer	Poudre ; à tirer	Poudre ; à tirer						0	0	1	0	
///Industrie Générale///Quincaillerie	Quincaillerie	Quincaillerie						0	0	1	0	
///Industrie générale///Quincaillerie	Quincaillerie	Quincaillerie						0	0	1	0	
///Industrie Générale///Savons	Savon	Savon						0	0	1	0	
///Industrie générale///Savons	Savon	Savon						0	0	1	0	
///Industrie Générale///Tableaux et Estampes	Tableaux et estampes	Tableaux et estampes						0	0	1	0	
///Industrie générale///Tableaux et estampes	Tableaux et estampes	Tableaux et estampes						0	0	1	0	
///Industrie Générale///Verrerie	Verrerie	Verrerie						0	0	1	0	
///Industrie générale///Verrerie	Verrerie	Verrerie						0	0	1	0	
///Matière d'Or et d'argent///Monnaies au type étranger	Monnaies ; étrangères	Monnaie ; étrangère						0	0	1	0	
///Matière d'Or et d'argent///Orfévrerie	Orfèvrerie	Orfèvrerie						0	0	1	0	
///Matières d'Or et d'argent///Argenterie et orfévrerie	Argenterie et orfèvrerie	Argenterie et orfèvrerie						0	0	1	0	
///Matières d'Or et d'argent///Argenteries et orfévrerie	Argenterie et orfèvrerie	Argenterie et orfèvrerie						0	0	1	0	
///Matieres d'Or et d'argent///Monnaies au type étranger	Monnaies ; étrangères	Monnaie ; étrangère						0	0	1	0	
///Matières d'Or et d'argent///Monnaies étrangères , ou lingots	Monnaies ; étrangères ou lingots	Monnaie ; étrangère ou lingot						0	0	1	0	
///Matières d'or et d'argent///Monnaies étrangères et lingots	Monnaies ; étrangères ou lingots	Monnaie ; étrangère ou lingot						0	0	1	0	
///Matières d'Or et d'argent///Monnaies étrangères ou lingots	Monnaies ; étrangères ou lingots	Monnaie ; étrangère ou lingot						0	0	1	0	
///Matieres d'Or et d'argent///Orfévrerie	Orfèvrerie	Orfèvrerie						0	0	1	0	
///Matières d'or et d'argent///Orfévrerie	Orfèvrerie	Orfèvrerie						0	0	1	0	
///Métaux///Argent vif	Argent ; vif	Argent ; vif						0	0	1	0	
///Métaux///Articles réunis	Articles ; réunis	Articles ; réunis						0	0	1	0	
///Métaux///Autres métaux	Métaux ; autres	Métaux ; autres						0	0	1	0	
///Métaux///Cuivre	Cuivre	Cuivre						0	0	1	0	
///Métaux///Cuivre, bronze et Laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton						0	0	1	0	
///Métaux///Cuivre, bronze et laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton						0	0	1	0	
///Métaux///Cuivre,bronze et laiton	Cuivre, bronze et laiton	Cuivre, bronze et laiton						0	0	1	0	
///Métaux///Etain	Etain	Etain						0	0	1	0	
///Métaux///Fer blanc	Fer ; blanc	Fer ; blanc						0	0	1	0	
///Métaux///Fer-blanc	Fer ; blanc	Fer ; blanc						0	0	1	0	
///Métaux///Fers	Fer	Fer						0	0	1	0	
///Métaux///Fers blanc	Fer ; blanc	Fer ; blanc						0	0	1	0	
///Métaux///Fers et aciers	Fer et acier	Fer et acier						0	0	1	0	
///Métaux///Plomb	Plomb	Plomb						0	0	1	0	
///Métaux///plomb	Plomb	Plomb						0	0	1	0	
///Objets manufacturés///Armes	Armes	Armes						0	0	1	0	
///Objets manufacturés///Articles réunis	Armes ; réunies	Armes ; réunies						0	0	1	0	
///Objets manufacturés///Bonneterie en fil , coton et laine	Bonneterie ; de fil, coton et laine	Bonneterie ; de fil, coton et laine						0	0	1	0	
///Objets manufacturés///Bonneterie en fil, coton et laine	Bonneterie ; de fil, coton et laine	Bonneterie ; de fil, coton et laine						0	0	1	0	
///Objets manufacturés///Bonneterie ordinaire en coton et laine	Bonneterie ; de fil, coton et laine	Bonneterie ; de fil, coton et laine						0	0	1	0	
///Objets manufacturés///Bonneteries de soie	Bonneterie ; de soie	Bonneterie ; de soie						0	0	1	0	
///Objets manufacturés///Bonneteries diverses	Bonneterie ; diverse	Bonneterie ; diverse						0	0	1	0	
///Objets manufacturés///Chapellerie	Chapellerie	Chapellerie						0	0	1	0	
///Objets manufacturés///chapellerie	Chapellerie	Chapellerie						0	0	1	0	
///Objets manufacturés///Dentelles	Dentelle	Dentelle						0	0	1	0	
///Objets manufacturés///Dentelles de fil	Dentelle ; de fil et soie	Dentelle ; de fil et soie						0	0	1	0	
///Objets manufacturés///Draperies	Draperie	Draperie						0	0	1	0	
///Objets manufacturés///Etoffe mélangées de ces matieres	Étoffe ; mélangées de ces matières	Étoffe ; mélangées de ces matières						0	0	1	0	
///Objets manufacturés///Etoffe riches	Étoffe ; riche	Étoffe ; riche						0	0	1	0	
///Objets manufacturés///Etoffes de coton	Étoffe ; de coton	Étoffe ; de coton						0	0	1	0	
///Objets manufacturés///Etoffes de laine	Étoffe ; de laine	Étoffe ; de laine						0	0	1	0	
///Objets manufacturés///Etoffes de laine et de poil	Étoffe ; de laine et poil	Étoffe ; de laine et poil						0	0	1	0	
///Objets manufacturés///Etoffes de soie	Étoffe ; de soie	Étoffe ; de soie						0	0	1	0	
///Objets manufacturés///Etoffes diverses	Étoffe ; diverses	Étoffe ; diverses						0	0	1	0	
///Objets manufacturés///Etoffes en coton et en laine	Étoffe ; de coton et laine	Étoffe ; de coton et laine						0	0	1	0	
///Objets manufacturés///Etoffes mélangées de ces matières	Étoffe ; mélangées de ces matières	Étoffe ; mélangées de ces matières						0	0	1	0	
///Objets manufacturés///Etoffes riches	Étoffe ; riche	Étoffe ; riche						0	0	1	0	
///Objets manufacturés///Gazes, crepes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie						0	0	1	0	
///Objets manufacturés///Gazes, crêpes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie	Gazes, crêpes et mouchoirs de soie						0	0	1	0	
///Objets manufacturés///Mouchoirs divers en fil et coton	Mouchoirs ; divers	Mouchoirs ; divers						0	0	1	0	
