marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarks_marchandises	_merge
Antolphe ; de geroffle	...	2	2		matched (3)
Aracq	...	...	...	Arak ? [mais est-ce probable ?] BD	matched (3)
Arbres ; à planter	...	2	2		matched (3)
Arbres et arbrisseaux	...	2	2		matched (3)
Arcenic	...	5	5		matched (3)
Arçons de selle	...	7	7		matched (3)
Ardoises	...	2	2		matched (3)
Argent ; argent ; carragoux	...	8	8		matched (3)
Argent ; argent ; piastres	...	9	9		matched (3)
Argent ; argent ; piastres d'Espagne	...	9	9		matched (3)
Argent ; argent ; piastres du Grand Seigneur	...	9	9		matched (3)
Argent ; argent ; talaris	...	9	9		matched (3)
Argent ; brut	...	6	6		matched (3)
Argent ; divers	...	8	8		matched (3)
Argent ; en feuilles	...	6	6		matched (3)
Argent ; en lingots	...	6	6		matched (3)
Argent ; faux	...	8	8		matched (3)
Argent ; fin	...	5	5		matched (3)
Argent ; monnoyé	...	9	9		matched (3)
Argent ; or ; monnoyé	...	9	9		matched (3)
Argent ; or ; quadruples	...	9	9		matched (3)
Argent ; or ; sequins	...	9	9		matched (3)
Argent ; or ; sequins vénitiens	...	9	9		matched (3)
Argent ; sequins	...	9	9		matched (3)
Argent ; vif	...	5	5		matched (3)
Argenterie	...	8	8		matched (3)
Argenterie ; boucles	...	8	8		matched (3)
Argenterie ; bugues	...	8	8		matched (3)
Argenterie ; croix	...	8	8		matched (3)
Argenterie ; diverse	...	8	8		matched (3)
Argenterie ; épés	...	8	8		matched (3)
Argenterie et orfèvrerie	...	8	8		matched (3)
Aristoche	...	2	2		matched (3)
Aristoloche	...	2	2	Aristoloche ou Aristolochie: Plante d'usage en médecine (Dictionnaire portatif 1770)	matched (3)
Armes	...	9	9		matched (3)
Armes ; à feu	...	9	9		matched (3)
Armes ; à feu ; diverses	...	9	9		matched (3)
Armes ; à feu ; fusils	...	9	9		matched (3)
Armes ; à feu ; pistolets	...	9	9		matched (3)
Armes ; blanches	...	9	9		matched (3)
Armes ; blanches ; diverses	...	9	9		matched (3)
Armes ; blanches ; épées	...	9	9		matched (3)
Armes ; blanches ; lances d'épées	...	9	9		matched (3)
Armes ; blanches ; sabres	...	9	9		matched (3)
Armes ; réunies	...	9	9		matched (3)
Armoires	...	8	8		matched (3)
Armoisin	...	6	6c	Etoffe de soye, ou sorte de taffetas de moyenne bonté qui se fait à Lion, & en plusieurs endroits de l'Italie.	matched (3)
Arquifou	...	5	5	Alquifou ou Arquifou ou Archifou: Espéce de plomb très pesant dont on fait une poudre (Chimie).	matched (3)
Artichaux	...	0	0a		matched (3)
Artichaux ; confits	...	0	0a		matched (3)
Articles ; d'industrie ; réunis	...	8	8		matched (3)
Articles ; réunis	...	8	8		matched (3)
Articles ; réunis ; d'industrie	...	8	8		matched (3)
Artifice	...	5	5	Feux d'artifice ?	matched (3)
Artilleries	...	9	9		matched (3)
Artilleries ; en canons, bombes	...	9	9		matched (3)
Asperges	...	0	0a		matched (3)
Asphaltum	...	5	5		matched (3)
Assa fétide	...	5	5		matched (3)
Attelles ; de coliers	...	7	7		matched (3)
Avelines	...	0	0a	Amandes	matched (3)
Avirons	...	6	6		matched (3)
Avoine	...	0	0a		matched (3)
Azur	...	5	5		matched (3)
Babouches	...	8	8		matched (3)
Babus	...	0	0a	Barbus (poisson)?	matched (3)
Badiane	...	2	2	Autre nom de l'anis étoilé.	matched (3)
Baffetas	...	6	6d	Toile toute de fil de coton blanc qui vient des Indes Orientales (Savary).	matched (3)
Bagues	...	8	8		matched (3)
Bagues ; de cuivre	...	8	8		matched (3)
Bagues ; de leton	...	8	8		matched (3)
Baguettes ; à chandelle	...	8	8		matched (3)
Baguettes ; de fusils	...	8	8		matched (3)
Baguettes ; étoffe	...	8	8		matched (3)
Bahus	...	8	8		matched (3)
Baignes	...	0	0a	Beignet?	matched (3)
Bailliarge	...	2	2	Espèce de grains mentionnée dans le tarif de 1664, semblable à l'orge [tarif identique] (Savary).	matched (3)
Bajutapeau	...	6	6	Textile avec des motifs à carreaux (toile peinte) venant des Indes (coton) mais aussi fabriqué en France (lin?)	matched (3)
Balais	...	8	8		matched (3)
Balais ; coupée	...	8	8		matched (3)
Balais ; de bois	...	8	8		matched (3)
Balais ; de bruyère	...	8	8		matched (3)
Balais ; de crin	...	8	8		matched (3)
Balais ; de jongs	...	8	8		matched (3)
Balais ; de palmes	...	8	8		matched (3)
Balais ; de riz	...	8	8		matched (3)
Balais ; de soie	...	8	8		matched (3)
Balance	...	8	8		matched (3)
Balaustre	...	2	2	Balaustes : fleurs de grenadier sauvage	matched (3)
Baleine	...	2	2		matched (3)
Baleine ; coupée	...	2	2		matched (3)
Baleine ; de sardes	...	2	2		matched (3)
Baleine ; en fanon	...	2	2		matched (3)
Balles à jouer	...	8	8		matched (3)
Balles d'ozier	...	8	8		matched (3)
Bandeaux	...	6	6		matched (3)
Baquets de sapin	...	6	6		matched (3)
Baracan	...	6	6b	ou bouracan: Etoffe de laine rase (Savary)	matched (3)
Barbaçons ; de grez	...	2	2	Marbre de la ville ?	matched (3)
Barbes ; de baleine	...	4	4		matched (3)
Barbotines	...	2	2	Graine qui sert à faire mourir les verres	matched (3)
Barettes	...	6	6	Petite barre métal ou bois?	matched (3)
Barils	...	6	6		matched (3)
Barils ; vides	...	6	6		matched (3)
Bariques	...	6	6		master only (1)
Bariques ; vieilles	...	6	6		master only (1)
Bariteau	...	6	6b	Etoffe claire qui se fabrique en Auvergne et sert à tamiser la farine faite de laine et de fil (Dictionnaire portatif de commerce)	matched (3)
Baromètre	...	8	8		matched (3)
Barres ; d'anspects	...	7	7	Pour déplacer les canons	matched (3)
Barres ; de bois	...	7	7		matched (3)
Barres ; de cabestan	...	7	7		matched (3)
Barres ; de sapin	...	7	7		matched (3)
Barres ; pous édifiées	...	7	7		matched (3)
barriques	...	6	6		matched (3)
barriques ; vieilles	...	6	6		matched (3)
Barrois	...	7	7	Barroir? Outils pour tonneliers BD	matched (3)
Bas	...	8	8		matched (3)
Bas ; assortis	...	8	8		matched (3)
Bas ; coton	...	8	8		matched (3)
Bas ; coton et fil	...	8	8		matched (3)
Bas ; d'Estame	...	8	8		matched (3)
Bas ; de castor	...	8	8		matched (3)
Bas ; de chamois	...	8	8		matched (3)
Bas ; de coton	...	8	8		matched (3)
Bas ; de fil	...	8	8		matched (3)
Bas ; de fil et coton	...	8	8		matched (3)
Bas ; de filozelle	...	8	8		matched (3)
Bas ; de fleures	...	8	8		master only (1)
Bas ; de fleuret	...	8	8		matched (3)
Bas ; de laine	...	8	8		matched (3)
Bas ; de peau	...	8	8		matched (3)
Bas ; de soie	...	8	8		matched (3)
Bas ; de soie ; à coins d'or	...	8	8		matched (3)
Bas ; drapés	...	8	8		matched (3)
Bas ; et bonets de coton	...	8	8		matched (3)
Bas ; soie et laine	...	8	8		matched (3)
Bas ; soie et poil	...	8	8		matched (3)
Basse ; de violle	...	8	8		matched (3)
Bassins ; à barbe	...	6	6		matched (3)
Basson	...	8	8		matched (3)
Batanonis	linens	6	6a	Toile de lin	matched (3)
Batavia	...	1	1	Forme de Cigare ?	matched (3)
Bate de laurier	...	0	0a	Bayberrie	matched (3)
Bateaux ; de pêcheur	...	7	7		matched (3)
Bateaux ; neufs	…	7	7		matched (3)
Bateleux	...	6	6	Fléau à battre	matched (3)
Batoirs	...	6	6		matched (3)
Batons ; à chandelle	...	6	6		matched (3)
Batons ; à lave-place	...	6	6		matched (3)
Batons ; de colliers	...	6	6		matched (3)
Batons ; de Gabares	...	6	6		matched (3)
Batons ; de Gaffes	...	6	6		matched (3)
Batons ; de sapin	...	6	6		matched (3)
Batons ; peints	...	6	6		matched (3)
Batons ; vernis	...	6	6		matched (3)
Bats ; d'asnes	...	8	8		matched (3)
Bats ; de cheval	...	8	8		matched (3)
Baudriers	...	7	7		matched (3)
Baume	...	5	5		matched (3)
Baume ; de copabu	...	5	5		matched (3)
Baume ; de la meque	...	5	5		matched (3)
Baume ; du Perou	...	5	5		matched (3)
Baume ; laque	...	5	5		matched (3)
Baye ; de laurier	...	0	0a		matched (3)
Bayette	...	6	6b	Etoffe de laine non croisée, voir bayette	matched (3)
Bayonnettes	...	6	6		matched (3)
Bazannes	...	6	6	Pièce de cuir travaillée	matched (3)
Bazannes ; tannées	...	6	6	Pièce de cuir travaillée	matched (3)
Bazin	Cotton	6	6d	Basin, étoffe croisée (trame : coton ; chaîne : lin/fil)- BD	matched (3)
Beauverd ; broyé	...	5	5		matched (3)
Beccasses	...	0	0a		matched (3)
Beccassines	...	0	0a		matched (3)
Bedelin	Cotton	2	2	Coton qui vient du Levant par Marseille	matched (3)
Benjoin	...	5	5		matched (3)
Berceaux ; d'enfant	…	6	6		matched (3)
Bergamottes	...	0	0a		matched (3)
Bergopsum	...	...	...		matched (3)
Berline	...	7	7		matched (3)
Berline ; vieille	...	7	7		matched (3)
Bernes	...	0	0a		matched (3)
Bestiaux  ; bœuf	...	0	0a		master only (1)
Bestiaux ; agneaux	...	0	0a		matched (3)
Bestiaux ; bœuf	...	0	0a		using only (2)
Bestiaux ; bœufs	...	0	0a		matched (3)
Bestiaux ; bœufs, vaches, moutons, porcs	...	0	0a		matched (3)
Bestiaux ; bœufs, vaches, moutons, veaux	...	0	0a		matched (3)
Bestiaux ; chèvres et boucs	...	0	0a		matched (3)
Bestiaux ; divers	...	0	0a		matched (3)
Bestiaux ; en bœufs, vaches, porcs et moutons	...	0	0a		matched (3)
Bestiaux ; en bœufs, vaches, veaux, porcs et moutons	...	0	0a		matched (3)
Bestiaux ; genisses	...	0	0a		matched (3)
Bestiaux ; moutons et brebis	...	0	0a		matched (3)
Bestiaux ; porcs et porcelets	...	0	0a		matched (3)
Bestiaux ; taureaux	...	0	0a		matched (3)
Bestiaux ; vaches	...	0	0a		matched (3)
Bestiaux ; vaches ; en vie	...	0	0a		matched (3)
Bestiaux ; vaches ; tuées	...	0	0a		matched (3)
Bestiaux ; vaches, taureaux et genisses	...	0	0a		matched (3)
Bestiaux ; veaux	...	0	0a		matched (3)
Bétail ; chèvres	...	0	0a		matched (3)
Bêtes de somme ; ânes	...	0	0a		matched (3)
Bêtes de somme ; chevaux	...	0	0a		matched (3)
Bêtes de somme ; diverses	...	0	0a		matched (3)
Bêtes de somme ; juments	...	0	0a		matched (3)
Bêtes de somme ; mules et mulets	...	0	0a		matched (3)
Bêtes de somme ; mules, mulets et chevaux	...	0	0a		matched (3)
Bêtes de somme ; mulets	...	0	0a		matched (3)
Bêtes de somme ; poulains	...	0	0a		matched (3)
Betilles	Cotton	6	6d	Mousseline, ou toiles de coton Blanches Pondicherry	matched (3)
Beurre	...	0	0a		matched (3)
Beurre ; de cacao	Cacao	0	0b		matched (3)
Beurre ; ordinaire	...	0	0a		matched (3)
Bézoard	...	5	5		matched (3)
Bière	...	1	1		matched (3)
Bière, cidre et vinaigre	...	1	1		matched (3)
Bigarades	...	0	0a		matched (3)
Bijouterie	...	8	8		matched (3)
Billard	...	8	8		matched (3)
Billes d'ivoire	...	8	8		matched (3)
Billots de sapin	...	2	2		matched (3)
Biscuit ; de mer et pâtes d'Italie	...	0	0a		matched (3)
Biscuits	...	0	0a		matched (3)
Biscuits ; amer	...	0	0a		matched (3)
Biscuits ; de mer	...	0	0a		matched (3)
Bitume ; de Judée	...	5	5		matched (3)
Blanc	...	2	2	Plâtre	matched (3)
Blanc ; d'ecaille	...	2	2	Plâtre	matched (3)
Blanc ; d'Espagne	...	2	2	Plâtre	matched (3)
Blanc ; de baleine	...	2	2	Plâtre	matched (3)
Blanc ; de ceruse	...	2	2	Plâtre	matched (3)
Blanc ; de plomb	...	2	2	Plâtre	matched (3)
Blanc ; de Troyes	...	2	2	Plâtre	matched (3)
Blanquette	...	0	0a		matched (3)
Blé	…	0	0a		matched (3)
Blé et autres grains	…	0	0a		matched (3)
Blé et autres grains ; comestibles	…	0	0a		matched (3)
Bled ; Avoine	...	0	0a		matched (3)
Bled ; blé et froment	...	0	0a		matched (3)
Bled ; divers	...	0	0a		matched (3)
Bled ; et autres grains	...	0	0a		matched (3)
Bled ; froment	...	0	0a		matched (3)
Bled ; maïs	...	0	0a		matched (3)
Bled ; méteil	...	0	0a		matched (3)
Bled ; millot	...	0	0a		matched (3)
Bled ; Orge	...	0	0a		matched (3)
Bled ; riz	...	0	0a		matched (3)
Bled ; sarazin	...	0	0a		matched (3)
Bled ; Sarrazin	...	0	0a		matched (3)
Bled ; Seigle	...	0	0a		matched (3)
Bleu	...	5	5		matched (3)
Bleu ; commun	...	5	5		matched (3)
Bleu ; de Prusse	...	5	5		matched (3)
Bleu ; fin	...	5	5		matched (3)
Bleu ; ordinaire	...	5	5		matched (3)
Blocs	...	...	...	[désigne peut-être un fromage] BD	matched (3)
Blocs ; ???	...	...	...	De Hollande ? De Moine ? Fromage ? [désigne peut-être un fromage] BD	matched (3)
Blonde ; d'argent	silk fabrics	6	6	Dentelle de soie faite en auvergne	matched (3)
Blonde ; d'or	silk fabrics	6	6	Dentelle de soie faite en auvergne	matched (3)
Blonde ; de soie	silk fabrics	6	6c	Dentelle de soie faite en auvergne	matched (3)
Boclans	...	...	...		matched (3)
Boëtes	...	6	6		matched (3)
Boëtes ; blanches	...	6	6		matched (3)
Boëtes ; de bergamote	...	6	6		matched (3)
Boëtes ; de bois	...	6	6		matched (3)
Boëtes ; de carton	...	6	6		matched (3)
Boëtes ; de sapin	...	6	6		matched (3)
Boeuf  ; à la mode	…	0	0a		master only (1)
Boeuf ; à l'Ecarlate	…	0	0a		matched (3)
Boeuf ; à la daube	…	0	0a		matched (3)
Boeuf ; à la mode	…	0	0a		using only (2)
Bœufs ; à l'écarlatte	...	0	0a		master only (1)
Bœufs ; à la daube	...	0	0a		matched (3)
Bœufs ; en vie	...	0	0a		matched (3)
Bœufs ; fumé	...	0	0a		matched (3)
Bœufs ; salé	...	0	0a		matched (3)
Bois  ; d'Inde	...	2	2		master only (1)
Bois ; ??	...	2	2		matched (3)
Bois ; à barils	...	2	2		matched (3)
Bois ; à bâtir	...	2	2		matched (3)
Bois ; à brûler	...	2	2		matched (3)
Bois ; à cribles	...	2	2		matched (3)
Bois ; à f.étusjs	...	2	2		matched (3)
Bois ; à faire boetes	...	2	2		matched (3)
Bois ; à faire corbin	...	2	2		matched (3)
Bois ; à faire fourreaux d'épées	...	2	2		matched (3)
Bois ; à faire sommier	...	2	2		matched (3)
Bois ; à faire violons	...	2	2		matched (3)
Bois ; à faureau d'Epée	...	2	2		matched (3)
Bois ; à fre soureaux	...	2	2		matched (3)
Bois ; à fusils	...	2	2		matched (3)
Bois ; à meubles	...	2	2		matched (3)
Bois ; a parquet	...	2	2		matched (3)
Bois ; à tamis	...	2	2		matched (3)
Bois ; à teindre	...	2	2		matched (3)
Bois ; anspects	...	2	2		matched (3)
Bois ; autre	...	2	2		matched (3)
Bois ; blanc	...	2	2		matched (3)
Bois ; bordages	...	2	2		matched (3)
Bois ; bordages ; de chêne	...	2	2		matched (3)
Bois ; bordages ; de sapin	...	2	2		matched (3)
Bois ; bourdillons	...	2	2		matched (3)
Bois ; boway ; de chesne	...	2	2		matched (3)
Bois ; boway ; de sapin	...	2	2		matched (3)
Bois ; brandilles	...	2	2		matched (3)
Bois ; brun	...	2	2		matched (3)
Bois ; cordayer	...	2	2		matched (3)
Bois ; d'acajou	...	2	2		matched (3)
Bois ; d'aloës	...	2	2		matched (3)
Bois ; d'amarante	...	2	2		matched (3)
Bois ; d'angeot	...	2	2		matched (3)
Bois ; d'ansprete	...	2	2		matched (3)
Bois ; d'aspatton	...	2	2		matched (3)
Bois ; d'ébene	...	2	2		matched (3)
Bois ; d'ébenne	...	2	2		master only (1)
Bois ; d'érable	...	2	2		matched (3)
Bois ; d'éventails	...	2	2		matched (3)
Bois ; d'Inde	...	2	2		matched (3)
Bois ; d'Inde	...	2	2		master only (1)
Bois ; d'Inde pour teinture et marqueterie ; divers	...	2	2		matched (3)
Bois ; d'olivier	...	2	2		matched (3)
Bois ; d'olivier ; pelé	...	2	2		matched (3)
Bois ; d'originelle	...	2	2		matched (3)
Bois ; d'orme	...	2	2		matched (3)
Bois ; d'osier	...	2	2		matched (3)
Bois ; de bois	...	2	2		matched (3)
Bois ; de Brésil	...	2	2		matched (3)
Bois ; de brochialle	...	2	2		matched (3)
Bois ; de buis	...	2	2		matched (3)
Bois ; de caliatour	...	2	2		matched (3)
Bois ; de campêche	...	2	2		matched (3)
Bois ; de canelle	...	2	2		matched (3)
Bois ; de Cayenne	...	2	2		matched (3)
Bois ; de cedre	...	2	2		matched (3)
Bois ; de chaises	...	2	2		matched (3)
Bois ; de charbonnage	...	3	3		matched (3)
Bois ; de charpente	...	2	2		matched (3)
Bois ; de chêne	...	2	2		matched (3)
Bois ; de cleippe	...	2	2		matched (3)
Bois ; de coco	...	2	2		matched (3)
Bois ; de construction	...	2	2		matched (3)
Bois ; de couleur	...	2	2		matched (3)
Bois ; de crabe	...	2	2		matched (3)
Bois ; de fauteuil	...	2	2		matched (3)
Bois ; de fayard	...	2	2		matched (3)
Bois ; de fernambourg	...	2	2		matched (3)
Bois ; de Fondal	...	2	2		matched (3)
Bois ; de fuset	...	2	2		matched (3)
Bois ; de fusil	...	2	2		matched (3)
Bois ; de fustel	...	2	2		matched (3)
Bois ; de gayac	...	2	2		matched (3)
Bois ; de géroffle	...	2	2		matched (3)
Bois ; de grenade	...	2	2		matched (3)
Bois ; de grenadier	...	2	2		matched (3)
Bois ; de honduras	...	2	2		matched (3)
Bois ; de Jaraconda	...	2	2		matched (3)
Bois ; de jayat	...	2	2		matched (3)
Bois ; de la chine	...	2	2		matched (3)
Bois ; de lettre	...	2	2		matched (3)
Bois ; de lin	...	2	2		matched (3)
Bois ; de lit	...	2	2		matched (3)
Bois ; de machandie marbre	...	2	2		matched (3)
Bois ; de marbre	...	2	2		matched (3)
Bois ; de marqueterie	...	2	2		matched (3)
Bois ; de menuiserie	...	2	2		matched (3)
Bois ; de merrains	...	2	2		matched (3)
Bois ; de noyer	...	2	2		matched (3)
Bois ; de palissandre	...	2	2		matched (3)
Bois ; de pernambouc	...	2	2		matched (3)
Bois ; de pin	...	2	2		matched (3)
Bois ; de Rodes	...	2	2		matched (3)
Bois ; de rose	...	2	2		matched (3)
Bois ; de rouage	...	2	2		matched (3)
Bois ; de sandal	...	2	2		matched (3)
Bois ; de sapan	...	2	2		matched (3)
Bois ; de sapin	...	2	2		matched (3)
Bois ; de Saune	...	2	2		matched (3)
Bois ; de Saxafras	...	2	2		matched (3)
Bois ; de Siramonbas	...	2	2		matched (3)
Bois ; de Ste Marthe	...	2	2		matched (3)
Bois ; de teure	...	2	2		matched (3)
Bois ; de violette	...	2	2		matched (3)
Bois ; des Iles	...	2	2		matched (3)
Bois ; divers	...	2	2		matched (3)
Bois ; doré	...	2	2		matched (3)
Bois ; du Japon	...	2	2		matched (3)
Bois ; durci	...	2	2		matched (3)
Bois ; en barreaux	...	2	2		matched (3)
Bois ; en barreaux et planches	...	2	2		matched (3)
Bois ; en barres	...	2	2		matched (3)
Bois ; en feuillard et cercles	...	2	2		matched (3)
Bois ; en planches	...	2	2		matched (3)
Bois ; en tranches	...	2	2		matched (3)
Bois ; esparts	...	2	2		matched (3)
Bois ; fagots	...	2	2		matched (3)
Bois ; feuillard et en cercles	...	2	2		matched (3)
Bois ; fustel	...	2	2		matched (3)
Bois ; gro-cribles	...	2	2		matched (3)
Bois ; gros	...	2	2		matched (3)
Bois ; jaune	...	2	2		matched (3)
Bois ; marbré	...	2	2		matched (3)
Bois ; merrain	...	2	2		matched (3)
Bois ; merrain ; à barils	...	2	2		matched (3)
Bois ; merrain ; à bariques	...	2	2		master only (1)
Bois ; merrain ; à barriques	...	2	2		matched (3)
Bois ; merrain ; à bottes	...	2	2		matched (3)
Bois ; merrain ; a busses	...	2	2		matched (3)
Bois ; merrain ; à fonds	...	2	2		matched (3)
Bois ; merrain ; à pipes	...	2	2		matched (3)
Bois ; merrain ; à quarts	...	2	2		matched (3)
Bois ; merrain ; à Sonds	...	2	2		matched (3)
Bois ; merrain ; à tierçons	...	2	2		matched (3)
Bois ; merrain ; à tonneaux	...	2	2		matched (3)
Bois ; merrain ; à tortues	...	2	2		matched (3)
Bois ; merrain ; de sapin	...	2	2		matched (3)
Bois ; neffretique	...	2	2		matched (3)
Bois ; ouvré	...	2	2		matched (3)
Bois ; palissandre	...	2	2		matched (3)
Bois ; pour cribles	...	2	2		matched (3)
Bois ; rose	...	2	2		matched (3)
Bois ; rouge	...	2	2		matched (3)
Bois ; royal	...	2	2		matched (3)
Bois ; scié	...	2	2		matched (3)
Bois ; Sustek	...	2	2		matched (3)
Bois ; tord	...	2	2		matched (3)
Bois ; vernis	...	2	2		matched (3)
Bois ; violet	...	2	2		matched (3)
Bol	...	2	2	Terre argileuse	matched (3)
Bol ; d'Armenie	…	2	2		matched (3)
Bombasin	cotton	6	6d		matched (3)
Bombes	...	9	9		matched (3)
Bombes de coton	cotton	6	6	Chapeaux de coton ?	matched (3)
Bonnet  ; de toile	…	6	6a		master only (1)
Bonnet ; de blonde	...	6	6a		matched (3)
Bonnet ; de coton	…	6	6d		matched (3)
Bonnet ; de femme	…	6	6d		matched (3)
Bonnet ; de fil	…	6	6		matched (3)
Bonnet ; de fil et coton	…	6	6d		matched (3)
Bonnet ; de laine	…	6	6b		matched (3)
Bonnet ; de soie	…	6	6c		matched (3)
Bonnet ; de toile	…	6	6a		using only (2)
Bonnet ; de toile cirée	…	6	6		matched (3)
Bonnet ; de velours	…	6	6		matched (3)
Bonnet ; piqués	…	6	6		matched (3)
Bonneterie	…	6	6		matched (3)
Bonneterie ; de bourre ; de fil	…	6	6		matched (3)
Bonneterie ; de bourre ; de soie	…	6	6c		matched (3)
Bonneterie ; de coton	…	6	6d		matched (3)
Bonneterie ; de fil	…	6	6		matched (3)
Bonneterie ; de fil et coton	…	6	6d		matched (3)
Bonneterie ; de fil, coton et laine	…	6	6		matched (3)
Bonneterie ; de filozelle	…	6	6		matched (3)
Bonneterie ; de laine	...	6	6b		matched (3)
Bonneterie ; de soie	…	6	6c		matched (3)
Bonneterie ; de soie et dorure	…	6	6c		matched (3)
Bonneterie ; diverse	…	6	6		matched (3)
Bonnets ; de grenadines	…	…	…		matched (3)
Borax	...	2	2		matched (3)
Bordages ; de chêne	...	6	6		matched (3)
Bordures ; dorées	...	8	8	Cadres ?	matched (3)
Bottes	...	8	8		matched (3)
Bottes ; fortes	...	8	8		matched (3)
Bottines	...	8	8		matched (3)
Boucassin	cotton	6	6d	Toile de coton	matched (3)
Bouchons ; de liège	...	6	6		matched (3)
Boucles	...	6	6		matched (3)
Boucles ; d'argent	...	6	6		matched (3)
Boucles ; d'oreilles	...	6	6		matched (3)
Boucles ; de cuivre	...	6	6		matched (3)
Boucles de fer	...	6	6		matched (3)
Bougie	...	8	8		matched (3)
bougie	…	8	8		matched (3)
Bougie ; blanche	...	8	8		matched (3)
Bougie ; jaune	...	8	8		matched (3)
Bougran	Cotton	6	6d	Toile épaisse de Boukhara, utilisée pour les doublures BD	matched (3)
Boulange	...	0	0a	Boulange de froment BD	matched (3)
Boules ; de buis	...	8	8		matched (3)
Boules ; de mail	...	8	8		matched (3)
Boules ; vulneraires	...	2	2	Vulnéraire : qui guérit les blessures	matched (3)
Boules de bois	...	8	8		matched (3)
Boulets ; de canon	...	9	9		matched (3)
Boulettes de marbre	...	2	2		matched (3)
Boulles ; d'acier	...	6	6		matched (3)
Boulles ; de bois	...	2	2		matched (3)
Bouracan	...	6	6b	Etoffe de Laine	matched (3)
Bouras	...	...	...	Peut-être Bourar ? Vient du Levant	matched (3)
Bourde	...	2	2	Sorte de Soude	matched (3)
