orthographic_pierre,FDO simpl,simplification,status,beforeItems,afterItems,obsolete,imprimatur
boudins de poisson,boudin de poisson,boudin de poisson,rewire,,[boudins de poisson],no,Guillaume Daudin
boue de sel,sel ; de boue,sel ; de boue,rewire,[boue de sel],[boue de sel],no,Guillaume Daudin
bouette de sapin,bouette ; de sapin,bouette ; de sapin,rewire,,[BOUETTE de Sapin],no,Guillaume Daudin
bougette,bouguette,bouguette,rewire,,[bouguette],no,Guillaume Daudin
bougie à cire blanche,bougie ; de cire ; blanche,bougie ; de cire ; blanche,rewire,,[Bougie a Cire blanche],no,Guillaume Daudin
bougie blanche,bougie ; blanche,bougie ; blanche,rewire,,[Bougie ; blanche] [Bougie blanche],no,Guillaume Daudin
bougie de blanc de baleine,bougie ; de blanc ; de baleine,bougie ; de blanc ; de baleine,rewire,,[Bougie ; de Blanc ; de baleine],no,Guillaume Daudin
bougie de cire blanche,bougie ; de cire ; blanche,bougie ; de cire ; blanche,rewire,,[Bougies de cires blanches] [Bougie ; de cire ; blanche] [Bougie de Cire blanche] [Bougie de cire blanche],no,Guillaume Daudin
bougie de cire verte,bougie ; de cire ; verte,bougie ; de cire ; verte,rewire,,[Bougie; de cire; verte],no,Guillaume Daudin
bougie de suif,bougie ; de suif,bougie ; de suif,rewire,,[Bougie ; de suif],no,Guillaume Daudin
bougie de tables,bougie ; de table,bougie ; de table,rewire,,[Bougie ; de table] [bougie de table] [bougie ; de table] [Bougie de tables] [Bougie de Table] [Bougie de table],no,Guillaume Daudin
bougie de tables et cierges,bougie ; de table et cierge,bougie ; de table et cierge,rewire,,[Bougies ; de table et cierge],no,Guillaume Daudin
bougie en cire blanche,bougie ; de cire ; blanche,bougie ; de cire ; blanche,rewire,,[Bougie en Cire blanc],no,Guillaume Daudin
bougie jaune,bougie ; jaune,bougie ; jaune,rewire,,[Bougie ; jaune] [Bougie jaune],no,Guillaume Daudin
bougie verte,bougie ; verte,bougie ; verte,rewire,,[Bougie;verte],no,Guillaume Daudin
boulande,boulange,boulange,rewire,,[boulande],no,Guillaume Daudin
boulanes,boulange,boulange,rewire,,[boulanes],no,Guillaume Daudin
boulange,boulange,boulange,rewire,[Boulanges] [boulange] [boulande] [boulanes] [Boulange],[Boulanges] [boulange] [Boulange],no,Guillaume Daudin
boulans,boulan,boulan,rewire,,[Boulans],no,Guillaume Daudin
boules,boule,boule,rewire,,[Boules],no,Guillaume Daudin
boules d'acier,boulle ; d'acier,boulle ; d'acier,rewire,,[boulles d'acier] [Boulles ; d'acier] [Boules ; d'acier],no,Guillaume Daudin
boules de bois,boule ; de bois,boule ; de bois,rewire,,[Boules de bois] [Boules ; de bois] [Boulles ; de bois] [Boulles de bois],no,Guillaume Daudin
boules de buis,boule ; de buis,boule ; de buis,rewire,,[Boules ; de buis],no,Guillaume Daudin
boules de mail,boule ; de mail,boule ; de mail,rewire,,[Boules ; de mail] [boules ; de mail] [Boules de mail],no,Guillaume Daudin
boules de sapin,boule ; de sapin,boule ; de sapin,rewire,,[Boules de Sapin],no,Guillaume Daudin
boules de terres,boule ; de terre,boule ; de terre,rewire,,[Boulles de terres],no,Guillaume Daudin
boules de verre,boule ; de verre,boule ; de verre,rewire,,[boules de verre],no,Guillaume Daudin
boules en bois,boule ; de bois,boule ; de bois,rewire,,[Boules en bois],no,Guillaume Daudin
boules vulnéraires,boule ; vulneraire,boule ; vulneraire,rewire,,[Boules vutneraires] [Boules vulneraires] [Boules ; vulnéraires] [Boulles ; valneraires] [Boules ; vulneraires],no,Guillaume Daudin
boulets de canons boulets de canons de 4 livres,boulet ; de canon ; de 4 livre,boulet ; de canon ; de 4 livre,rewire,,[Boulets ; de canon ; Boulets ; de canon de 4 livres],no,Guillaume Daudin
boulettes de marbre,boulette de marbre,boulette de marbre,rewire,,[Boulettes de marbre] [Boulettes ; de marbre],no,Guillaume Daudin
bouraline,bourre-lanisse,bourre-lanisse,rewire,,[Bouraline],no,Guillaume Daudin
bouralisse,bourre-lanisse,bourre-lanisse,rewire,,[Bouralisse],no,Guillaume Daudin
bouras coton et fil,bourse ; de coton et fil,bourse ; de coton et fil,rewire,,[Bours ; coton et fil],no,Guillaume Daudin
bouras de Damas,bourse ; de Damas,bourse ; de Damas,rewire,,[Bours ; de Damas],no,Guillaume Daudin
bouras de fil,bourre ; de fil,bourre ; de fil,rewire,,[Bours ; de fil] [Bours de fil] [bours de fil],no,Guillaume Daudin
bouras de laine,bourre ; de laine,bourre ; de laine,rewire,,[Bours ; de laine],no,Guillaume Daudin
bouras de soie,bourre ; de soie,bourre ; de soie,rewire,,[Boura ; de soye] [Bours de soye] [Bour de soye] [bours de soye] [Bour ; de soye],no,Guillaume Daudin
bouras en soie,bourre ; de soie,bourre ; de soie,rewire,,[Bours ; en soye] [Bours en soye],no,Guillaume Daudin
bourde,cendre ; bourde,cendre ; bourde,rewire,[Bourdes] [bourdes] [Bourde],[Bourdes] [bourdes] [Bourde],no,Guillaume Daudin
bourdilles à barriques,bourdille ; à barrique,bourdille ; à barrique,rewire,,[Bourdilles a barriques],no,Guillaume Daudin
bourdillons à barriques,bourdillon ; à barrique,bourdillon ; à barrique,rewire,,[Bourdillons ; a barriques],no,Guillaume Daudin
bourdillons à quart,bourdillon ; à quart,bourdillon ; à quart,rewire,,[Bourdillons a quart],no,Guillaume Daudin
bourdillons à tierçons,bourdillon ; à tierçon,bourdillon ; à tierçon,rewire,,[Bourdillons ; a tierçons],no,Guillaume Daudin
bourlets de velours,bourrelet ; de velours,bourrelet ; de velours,rewire,,[Bourlets; de velours],no,Guillaume Daudin
bourre à bourrer,bourre ; à bourrer,bourre ; à bourrer,rewire,,[bourre ; à bourrer],no,Guillaume Daudin
bourre chiquette,bourre ; chiquette,bourre ; chiquette,rewire,,[Bourre ; chiquerre] [Bourre ; chiquette],no,Guillaume Daudin
bourre de boeuf,bourre ; de bœuf,bourre ; de bœuf,rewire,,[Bourre de Boeuf],no,Guillaume Daudin
bourre de bœuf,bourre ; de bœuf,bourre ; de bœuf,rewire,,[Bourre ; De bœuf] [Bourre; de beuf] [bourre de Beuf] [Boure de beuf] [boure de beuf] [Boure de bœuf] [Bourre de Bouef] [Bourre ; de Bœuf] [Bourres de bœuf] [bourre de beuf] [Bourre ; de beuf] [boure de bœuf] [Bourre de beuf] [Bourre de Beuf] [Boure ; de beuf] [Boure de Bœuf] [Bourre de bœuf] [Bourre ; de bœuf] [Bourre de Bœuf],no,Guillaume Daudin
bourre de bœuf et vache,bourre ; de bœuf et vache,bourre ; de bœuf et vache,rewire,,[Boure ; de beuf et vaches],no,Guillaume Daudin
bourre de chèvre,bourre ; de chèvre,bourre ; de chèvre,rewire,,[Bourre ; De chevre],no,Guillaume Daudin
bourre de drap,bourre ; de drap,bourre ; de drap,rewire,,[Bourre ; de drap],no,Guillaume Daudin
bourre de fil,bourre ; de fil,bourre ; de fil,rewire,,[Bourre ; De fil] [Bourre ; de fil],no,Guillaume Daudin
bourre de laine,bourre ; de laine,bourre ; de laine,rewire,,[Bourre ; de laine],no,Guillaume Daudin
bourre de soie,bourre ; de soie,bourre ; de soie,rewire,,[Bourre ; De soye] [Bourre ; De Soye] [Bourre; de soye] [Bourre de soye] [Bourre ; de soye] [bourre de soye] [Bourre de soie],no,Guillaume Daudin
bourre de vache,bourre ; de vache,bourre ; de vache,rewire,,[Bourre ; de vache] [Bourre ; de vaches],no,Guillaume Daudin
bourre et bouts de laine,bourre ; de laine,bourre ; de laine,rewire,,[bourre et bouts de laine],no,Guillaume Daudin
bourre et refus de soie,bourre ; de soie,bourre ; de soie,rewire,,[bourre et refus de soye],no,Guillaume Daudin
bourses,bourse,bourse,rewire,,[Bourses],no,Guillaume Daudin
bourses à perruques,bourse ; à perruque,bourse ; à perruque,rewire,,[Bourses ; à perruques],no,Guillaume Daudin
bourses à ressorts,bourse ; à ressort,bourse ; à ressort,rewire,,[Bourses ; à ressorts],no,Guillaume Daudin
bourses de cuir à ressorts,bourse ; de cuir ; à ressort,bourse ; de cuir ; à ressort,rewire,,[Bourses ; de cuir ; à ressort],no,Guillaume Daudin
bourses de fil,bourse ; de fil,bourse ; de fil,rewire,,[Bourses ; de fil],no,Guillaume Daudin
bourses de filoselle,bourse de filoselle,bourse de filoselle,rewire,,[Bourses ; de filozelle],no,Guillaume Daudin
bourses de perruques,bourse ; de perruque,bourse ; de perruque,rewire,,[Bourses ; de perruques],no,Guillaume Daudin
bourses de soie,bourse ; de soie,bourse ; de soie,rewire,,[Bourse ; de soye] [Bourze ; de soye] [Bourses ; de soyes] [Bourses de soye] [bourses de soye] [Bourses ; de soye],no,Guillaume Daudin
bourses de taffetas,bourse ; de taffetas,bourse ; de taffetas,rewire,,[Bourses ; de taffetas],no,Guillaume Daudin
bourses or et argent,bourse ; or et argent,bourse ; or et argent,rewire,,[Bourses ; or et argent] [Bourses or et argent],no,Guillaume Daudin
boussoles,boussole,boussole,rewire,,[Boussoles] [Boussolles],no,Guillaume Daudin
boutargue,boutarge,boutarge,rewire,,[Boutarge],no,Guillaume Daudin
bouteilles,bouteille,bouteille,rewire,,[Bouteilles],no,Guillaume Daudin
bouteilles de bois,bouteille ; de bois,bouteille ; de bois,rewire,,[Bouteille ; de bois] [Bouteilles de bois] [Bouteilles ; de bois],no,Guillaume Daudin
bouteilles de composition,bouteille ; de composition,bouteille ; de composition,rewire,,[Bouteilles ; de composition],no,Guillaume Daudin
bouteilles de cristal,bouteille ; cristal,bouteille ; cristal,rewire,,[bouteilles de cristal] [Bouteilles de cristal],no,Guillaume Daudin
bouteilles de cristal et carafes,bouteille ; de cristal et carafe,bouteille ; de cristal et carafe,rewire,,[bouteilles de cristal et caraffes],no,Guillaume Daudin
bouteilles de grès,bouteille ; de grès,bouteille ; de grès,rewire,,[Bouteilles ; de grez] [Bouteilles de Gres],no,Guillaume Daudin
bouteilles de marbre,bouteille ; de marbre,bouteille ; de marbre,rewire,,[Bouteilles de Marbre],no,Guillaume Daudin
bouteilles de terre,bouteille ; de terre,bouteille ; de terre,rewire,,[Bouteille ; de terre] [Bouteilles de terre] [Bouteille de Terre] [Bouteilles ; de terre],no,Guillaume Daudin
bouteilles de verre garnies de joncs,bouteille ; de verre ; garnie de jonc,bouteille ; de verre ; garnie de jonc,rewire,,[bouteilles de verre garnis de joncs],no,Guillaume Daudin
bouteilles de verre vides,bouteille ; de verre vide,bouteille ; de verre vide,rewire,,[Bouteilles ; de verre ; vuides] [Bouteilles de verres vuides] [Bouteilles de verre vuides],no,Guillaume Daudin
bouteilles vides,bouteille ; vide,bouteille ; vide,rewire,,[Bouteilles vuides],no,Guillaume Daudin
boutonnières d'or,boutonnière ; d'or,boutonnière ; d'or,rewire,,[Boutonieres ; d'or] [Boutonnieres ; d'or],no,Guillaume Daudin
boutons,bouton,bouton,rewire,,[Boutons],no,Guillaume Daudin
boutons à pierres fausses,bouton ; à pierre ; fausse,bouton ; à pierre ; fausse,rewire,,[Boutons ; à pierres ; fausses] [Boutons ; à pierres fausses],no,Guillaume Daudin
boutons à pierres fausses par douzaines,bouton ; à pierre ; fausse ; par douzaine,bouton ; à pierre ; fausse ; par douzaine,rewire,,[Boutons ; à pierres ; fausses ; par douzaines],no,Guillaume Daudin
boutons blanc étamés,bouton ; blanc ; étamé,bouton ; blanc ; étamé,rewire,,[Boutons ; blanc ; etamés],no,Guillaume Daudin
boutons brodés de nacre de perles et d'acier,bouton ; brodé ; de nacre ; de perle et d'acier,bouton ; brodé ; de nacre ; de perle et d'acier,rewire,,[Boutons ; brodés ; de nacre ; de perle et d'acier],no,Guillaume Daudin
boutons brodés dorés et argentés,bouton ; brodé ; or et argent,bouton ; brodé ; or et argent,rewire,,[Boutons ; brodés ; dorés et argentés],no,Guillaume Daudin
boutons brodés or et argent,bouton ; brodé ; or et argent,bouton ; brodé ; or et argent,rewire,,[Boutons ; brodés ; or et argent],no,Guillaume Daudin
boutons d'acier,bouton ; d'acier,bouton ; d'acier,rewire,,[boutons d'acier] [Boutons; d'acier],no,Guillaume Daudin
boutons d'argent,bouton ; d'argent,bouton ; d'argent,rewire,,[Boutons ; d'argent] [Boutons d'argent],no,Guillaume Daudin
boutons d'argent sur bois,bouton ; d'argent sur bois,bouton ; d'argent sur bois,rewire,,[boutons d'argent sur bois] [Boutons ; d'argent ; sur bois] [Bouton d'argent sur bois],no,Guillaume Daudin
boutons d'argent trait,bouton ; d'argent trait,bouton ; d'argent trait,rewire,,[Boutons ; d'argent trait],no,Guillaume Daudin
boutons d'étain,bouton ; d'étain,bouton ; d'étain,rewire,,[boutons d'étain] [Boutons; d'étain] [Boutons ; d'étain] [Boutons; d'etaim] [Boutons ; d'étaim] [Boutons ; d'etaim] [Boutons ; d'etain] [Bouton d'...tain],no,Guillaume Daudin
boutons d'or trait,bouton ; d'or traité,bouton ; d'or traité,rewire,,[Boutons d'or trait],no,Guillaume Daudin
boutons d'os et de corne,bouton ; d'os et de corne,bouton ; d'os et de corne,rewire,,[boutons d'os et de cornes],no,Guillaume Daudin
boutons d'uniforme,bouton ; d'uniforme,bouton ; d'uniforme,rewire,,[Boutons ; d'uniforme],no,Guillaume Daudin
boutons de bois de coco,bouton ; de bois de coco,bouton ; de bois de coco,rewire,,[boutons de bois de coco],no,Guillaume Daudin
boutons de coco,bouton ; de coco,bouton ; de coco,rewire,,[boutons de cocq] [Boutons ; De cocos] [Boutons ; de cacos] [Boutons; de cocos] [Boutons ; de coco] [Boutons de coco] [Boutons ; de cocos],no,Guillaume Daudin
boutons de corne,bouton ; de corne,bouton ; de corne,rewire,,[boutons de cornes] [Boutons ; de cornes] [Boutons ; de corne],no,Guillaume Daudin
boutons de coton,bouton ; de coton,bouton ; de coton,rewire,,[Boutons ; de coton],no,Guillaume Daudin
boutons de crin et poil,bouton ; de crin et poil,bouton ; de crin et poil,rewire,,[Boutons ; de crin et poil],no,Guillaume Daudin
boutons de crin poil de soie,"bouton ; de crin, poil de soie","bouton ; de crin, poil de soie",rewire,,"[Boutons de crin, poil de soye]",no,Guillaume Daudin
boutons de crin poil et soie,"bouton ; de crin, poil de soie","bouton ; de crin, poil de soie",rewire,,[Boutons de crain poil et soye],no,Guillaume Daudin
boutons de cristal,bouton ; de cristal,bouton ; de cristal,rewire,,[Boutons ; de cristal],no,Guillaume Daudin
boutons de cuivre,bouton ; de cuivre,bouton ; de cuivre,rewire,,[boutons de cuivre] [Boutons ; de cuivre] [Bouton de cuivre] [Boutons de cuivre],no,Guillaume Daudin
boutons de cuivre argenté et doré,bouton ; de cuivre argenté et dorée,bouton ; de cuivre argenté et dorée,rewire,,[boutons de cuivre argenté et dorée],no,Guillaume Daudin
boutons de cuivre et d'étain,bouton ; de cuivre et d'étain,bouton ; de cuivre et d'étain,rewire,,[boutons de cuivre et d'étain],no,Guillaume Daudin
boutons de cuivre et d'étain argentés,bouton ; de cuivre et d'étain argenté,bouton ; de cuivre et d'étain argenté,rewire,,[boutons de cuivre et d'étain argentés],no,Guillaume Daudin
boutons de cuivre sur bois,bouton ; de cuivre sur bois,bouton ; de cuivre sur bois,rewire,,[boutons de cuivre sur bois],no,Guillaume Daudin
boutons de cuivre sur bois d'os de coco et de corne,"bouton ; de cuivre sur bois, d'os de cocq et de corne","bouton ; de cuivre sur bois, d'os de cocq et de corne",rewire,,"[boutons de cuivre sur bois, d'os de cocq et de cornes]",no,Guillaume Daudin
boutons de fil,bouton ; de fil,bouton ; de fil,rewire,,[Bouton ; de fil] [Boutons; de fil] [Boutons de fil] [Boutons ; de fil] [boutons de fil] [Boutons de Fil] [Bouton de fil],no,Guillaume Daudin
boutons de fil blanc,bouton ; de fil blanc,bouton ; de fil blanc,rewire,,[Bouton ; de fil blanc] [Boutons ; de fil blanc] [Boutons de fil blanc],no,Guillaume Daudin
boutons de fil d'or trait,bouton ; d'or traité,bouton ; d'or traité,rewire,,[Boutons de fil d'or traité] [Boutons de fil d'or trait],no,Guillaume Daudin
boutons de fil de poil de chèvre,bouton ; de fil de poil de chevre,bouton ; de fil de poil de chevre,rewire,,[boutons de fil de poil de chevre],no,Guillaume Daudin
boutons de laiton,bouton ; de laiton,bouton ; de laiton,rewire,,[Boutons ; de leton] [Boutons ; de léton],no,Guillaume Daudin
boutons de livrée,bouton ; de livrée,bouton ; de livrée,rewire,,[Boutons ; de livrée],no,Guillaume Daudin
boutons de manches,bouton ; de manche,bouton ; de manche,rewire,,[Boutons ; de manches],no,Guillaume Daudin
boutons de métal,bouton ; de métal,bouton ; de métal,rewire,,[Boutons ; de métal] [Boutons de métal],no,Guillaume Daudin
boutons de métal doré,bouton ; de métal doré,bouton ; de métal doré,rewire,,[boutons de métal doré],no,Guillaume Daudin
boutons de nacre,bouton ; de nacre,bouton ; de nacre,rewire,,[Boutons ; de nacre] [Bouton de nacre],no,Guillaume Daudin
boutons de nacre de perles,bouton ; de nacre de perle,bouton ; de nacre de perle,rewire,,[boutons de nacre de perle],no,Guillaume Daudin
boutons de nacre de perles et jais,bouton ; de nacre de perle et jayet,bouton ; de nacre de perle et jayet,rewire,,[boutons de nacre de perle et jayet],no,Guillaume Daudin
boutons de poil,bouton ; de poil,bouton ; de poil,rewire,,[Boutons ; de poils] [Boutons; de poil] [Boutons ; de poil] [Boutons de poil],no,Guillaume Daudin
boutons de poil de chèvre,bouton ; de poil ; de chèvre,bouton ; de poil ; de chèvre,rewire,,[Boutons ; De poil de chevre] [Boutons ; de poil ; de chevre] [Boutons de poil de chevre] [Boutons ; de poil ; de chèvre],no,Guillaume Daudin
boutons de soie,bouton ; de soie,bouton ; de soie,rewire,,[boutons de soye] [Bouton ; de soye] [Boutons de soye] [Boutons ; de soye],no,Guillaume Daudin
boutons de soie à poil,bouton ; de soie à poil,bouton ; de soie à poil,rewire,,[Boutons ; de soïe à poil],no,Guillaume Daudin
boutons de tombac doré,bouton ; de tombacq doré,bouton ; de tombacq doré,rewire,,[boutons de tombacq doré],no,Guillaume Daudin
boutons de trait d'or et d'argent fin,bouton ; de trait d'or et d'argent fin,bouton ; de trait d'or et d'argent fin,rewire,,[boutons de trait d'or et d'argent fin],no,Guillaume Daudin
boutons de verre,bouton ; de verre,bouton ; de verre,rewire,,[Boutons ; de verre],no,Guillaume Daudin
boutons de verre émaillés,bouton ; de verre ; émaillé,bouton ; de verre ; émaillé,rewire,,[Boutons ; de verre ; émaillés],no,Guillaume Daudin
boutons divers,bouton ; divers,bouton ; divers,rewire,,[Boutons ; Divers] [Bouton ; divers] [Boutons ; divers] [Boutons divers],no,Guillaume Daudin
boutons dorure argentés,bouton ; dorure ; d'argent,bouton ; dorure ; d'argent,rewire,,[Boutons ; dorure ; argentés],no,Guillaume Daudin
boutons dorure d'argent,bouton ; dorure ; d'argent,bouton ; dorure ; d'argent,rewire,,[Boutons ; dorure ; d'arg] [Boutons ; dorure ; d'argent] [Boutons; dorure; d'argent],no,Guillaume Daudin
boutons fil d'or,bouton ; fil d'or,bouton ; fil d'or,rewire,,[Boutons ; fil d'or],no,Guillaume Daudin
boutons masquinés,bouton ; masquiné,bouton ; masquiné,rewire,,[boutons masquinés],no,Guillaume Daudin
boutons or et argent faux,bouton ; or et argent ; faux,bouton ; or et argent ; faux,rewire,,[Boutons ; or et argent ; faux],no,Guillaume Daudin
boutons poil de soie,bouton ; de soie à poil,bouton ; de soie à poil,rewire,,[Boutton poil de soye],no,Guillaume Daudin
boutons poil et soie,bouton ; de soie à poil,bouton ; de soie à poil,rewire,,[Boutons poil et soye],no,Guillaume Daudin
bouts de corne,bout ; de corne,bout ; de corne,rewire,,[bouts de cornes] [Bouts ; de corne],no,Guillaume Daudin
boyaux salés,boyau ; salé,boyau ; salé,rewire,,[Boyeaux salés] [Boyeaux ; salé] [Boyaux ; salé] [Boyaux ; sales] [Boyaux ; salés] [Boyaux salez] [Boyaux salés],no,Guillaume Daudin
bracelets,brasselet,brasselet,rewire,,[brasselets],no,Guillaume Daudin
bracelets de crin,brasselet ; de crin,brasselet ; de crin,rewire,,[Brasselets ; de crin],no,Guillaume Daudin
brai à brasser,brai ; à brasser,brai ; à brasser,rewire,,[bray à brasser],no,Guillaume Daudin
brai en goudron,brai et goudron,brai et goudron,rewire,,[Bray ; en goudron] [Bray en gaudron] [Bray en Gaudron] [Bray en goudrons],no,Guillaume Daudin
brai en poix résines,brai ; en poix ; résine,brai ; en poix ; résine,rewire,,[Bray ; en poix ; résine],no,Guillaume Daudin
brai et eau de rose,bray et eau de rose,bray et eau de rose,rewire,,[Bray et eau de rose],no,Guillaume Daudin
brai et goudron,brai et goudron,brai et goudron,rewire,,[Brai et goudron] [Bray et gaudrons] [Braye et Gaudron] [bray § gaudron] [Bray et gaudron] [Bray et Gaudron] [Bray et Goldron] [Bray et goldron] [Bray et goudron],no,Guillaume Daudin
brai et résines,brai ; résine,brai ; résine,rewire,,[Bray et Résine],no,Guillaume Daudin
brai goudron,brai et goudron,brai et goudron,rewire,,"[Brai, goudron] [Bray, goudron] [Bray ; Goudrons] [Bray ; Goudron] [Bray ; goudron] [Bray; Goudron] [Brai; Goudron] [Brais ; goudron] [Bray ; groudron] [Bray goudron]",no,Guillaume Daudin
brai goudron et eau de raze,bray ; goudron et eau de rose,bray ; goudron et eau de rose,rewire,,[Bray goudron et eau de rose],no,Guillaume Daudin
brai goudron et poix,bray ; goudron et poix,bray ; goudron et poix,rewire,,[Bray goudron et poix],no,Guillaume Daudin
brai goudron et résines,bray ; goudron et résine,bray ; goudron et résine,rewire,,"[Brai,goudron et résine] [Brai, goudron et résine] [Bray, Goudron et Résine] [Bray, goudron et resine] [Bray, goudron et résine] [Bray goudron et résine]",no,Guillaume Daudin
brai goudron etc.,brai et goudron,brai et goudron,rewire,,[Bray goudron etc.],no,Guillaume Daudin
brai goudron galipot et résines,"brai ; goudron, galipot et résine","brai ; goudron, galipot et résine",rewire,,"[Brai, goudron, galipot et résine]",no,Guillaume Daudin
brai goudron poix et résines,"brai ; goudron, poix et résine","brai ; goudron, poix et résine",rewire,,"[Brai, goudron, poix et résine]",no,Guillaume Daudin
brai goudron résines,bray ; goudron et résine,bray ; goudron et résine,rewire,,"[Brai, goudron, résine] [Bray, goudron, résine]",no,Guillaume Daudin
brai goudron résines brai,bray ; goudron et résine,bray ; goudron et résine,rewire,,[Bray Goudrons Résine ; Bray] [Bray Goudron Résine ; Bray],no,Guillaume Daudin
brai goudron résines et poix brai,brai ; résine,brai ; résine,rewire,,"[Bray, Goudron, Resine et poix ; Bray] [Bray, Goudron, résine et poix ; Bray]",no,Guillaume Daudin
brai goudron résines et poix résines,brai ; résine,brai ; résine,rewire,,"[Bray, Goudron, Resine et poix ; Resine] [Bray, Goudron, résine et poix ; Résine]",no,Guillaume Daudin
brai gras goudron et résines,bray ; goudron et résine,bray ; goudron et résine,rewire,,"[Braigras, goudron et résine] [Bray gras goudron et résine]",no,Guillaume Daudin
brai gros,brai ; gros,brai ; gros,rewire,,[Bray ; gros] [Bray gros],no,Guillaume Daudin
brai poix,brai ; poix,brai ; poix,rewire,,[Brais ; poix],no,Guillaume Daudin
brai poix blanche et noire,brai ; poix blanche et noire,brai ; poix blanche et noire,rewire,,[Bray ; Soix blanche et noire],no,Guillaume Daudin
brai raze,brai ; raze,brai ; raze,rewire,,[Bray ; Raze],no,Guillaume Daudin
brai résines,brai ; résine,brai ; résine,rewire,,[Bray ; Résine] [Bray ; resine] [Bray; Résine] [Brais ; résine] [Bray ; résine],no,Guillaume Daudin
brai térébenthine,brai ; térébenthine,brai ; térébenthine,rewire,,[Brais ; térébenthine],no,Guillaume Daudin
brancards de chaises,brancard ; de chaise,brancard ; de chaise,rewire,,[Brancards ; de chaise],no,Guillaume Daudin
brancards de fer,brancard ; de fer,brancard ; de fer,rewire,,[Brancards ; de fer],no,Guillaume Daudin
brandamis,brandan,brandan,rewire,,[brandamis],no,Guillaume Daudin
brandans,brandan,brandan,rewire,,[Brandans],no,Guillaume Daudin
brandebourg d'or,brandebourg ; d'or,brandebourg ; d'or,rewire,,[Brandebourg ; d'or],no,Guillaume Daudin
brandebourg de fil,brandebourg ; de fil,brandebourg ; de fil,rewire,,[Brandebourgs de fil],no,Guillaume Daudin
bras de bois à chandelle,bras ; de chandelle,bras ; de chandelle,rewire,,[bras de Bois a Chandelle],no,Guillaume Daudin
bras de cheminée,bras ; de cheminée,bras ; de cheminée,rewire,,[Bras de cheminée] [Bras ; de cheminée],no,Guillaume Daudin
bras de soie,bras ; de soie,bras ; de soie,rewire,,[Bras de soye],no,Guillaume Daudin
braudans,brandan,brandan,rewire,,[braudons] [Braudans],no,Guillaume Daudin
braulambis,brandan,brandan,rewire,,[Braulambis],no,Guillaume Daudin
brides argentées,bride ; argentée,bride ; argentée,rewire,,[Brides ; argentées],no,Guillaume Daudin
brignoles,brignole,brignole,rewire,,[brignoles] [Brignolles],no,Guillaume Daudin
brique,brique,brique,rewire,[brique] [Brique] [Briques],[brique] [Brique] [Briques],no,Guillaume Daudin
brique cuite,brique,brique,rewire,[briques cuites],[briques cuites],no,Guillaume Daudin
brique de terre,brique ; de terre,brique ; de terre,rewire,,[Briques de Terre],no,Guillaume Daudin
brique et briquettes,brique,brique,rewire,,[briques et briquettes],no,Guillaume Daudin
brique hollandaise en terre cuite,brique ; hollandaise en terre cuite,brique ; hollandaise en terre cuite,rewire,,[Briques hollandaises en terre cuite],no,Guillaume Daudin
brique pleine,brique,brique,rewire,,[briques pleines],no,Guillaume Daudin
briquet,briquet,briquet,rewire,[Briquetes] [Briquets] [briquets] [Briquet],[Briquets] [briquets] [Briquet],no,Guillaume Daudin
briquettes,briquet,briquet,rewire,,[Briquetes],no,Guillaume Daudin
brocard de soie,brancard ; de soie,brancard ; de soie,rewire,,[Brocard de soye],no,Guillaume Daudin
brocatelle de Venise,brocatelle ; de Venise,brocatelle ; de Venise,rewire,,[Brocatelles ; de Venise],no,Guillaume Daudin
broches,broche,broche,rewire,,[Broches],no,Guillaume Daudin
brochets,brochet,brochet,rewire,,[Brochets],no,Guillaume Daudin
broderie commune,broderie ; commune,broderie ; commune,rewire,,[Broderie ; commune],no,Guillaume Daudin
bronchetaine,brochet,brochet,rewire,,[Bronchetaine],no,Guillaume Daudin
bronvets,brochet,brochet,rewire,,[Bronvets],no,Guillaume Daudin
brosses à cirer,brosse ; à cirer,brosse ; à cirer,rewire,,[Brosses a cirer],no,Guillaume Daudin
brosses à peindre,brosse ; a peindre,brosse ; a peindre,rewire,,[Brosses ; a peindre],no,Guillaume Daudin
brosses et pinceaux,brosse et pinceau,brosse et pinceau,rewire,,[brosses et pinceaux],no,Guillaume Daudin
brosses et vergettes,brosse et vergette,brosse et vergette,rewire,,[Brosses et vergettes],no,Guillaume Daudin
brouettes,brouette,brouette,rewire,,[Beroüettes] [Broüettes] [Brouettes] [Browett],no,Guillaume Daudin
broulas,broule,broule,rewire,,[Broulas],no,Guillaume Daudin
broule,broule,broule,rewire,[broule] [Broule] [Broulas],[broule] [Broule],no,Guillaume Daudin
brousse fraîche,brousse fraiche,brousse fraiche,rewire,,[Brousses fraiches] [Brousses ; fraîches] [Brousse fraiche],no,Guillaume Daudin
broutes chaderdoral,broute de chaderdoral,broute de chaderdoral,rewire,,[Broutes chaderdoral],no,Guillaume Daudin
brusta visserand,bruste ; à tisserand,bruste ; à tisserand,rewire,,[Brusta visserand],no,Guillaume Daudin
brustes à tisserand,bruste ; à tisserand,bruste ; à tisserand,rewire,,[Brustes à tisserond] [Brustes ; à tisserands] [Brustes à tisserand] [Brustes a tisserand] [Brustes ; à tisserand],no,Guillaume Daudin
buffets,buffet,buffet,rewire,,[Buffets],no,Guillaume Daudin
buffles,buffle,buffle,rewire,,[Buffles] [Bufles] [Buffle] [Bufle],no,Guillaume Daudin
