dataentryby	Source	year	sheet	marchandises	pays	quantit	value	leurvaleursub~1	leurvaleursub~2	total	Remarks	exportsimports	numrodeligne
Saadia Mai	AN F12 243	1776	10	"Bas; de laine"	Portugal	7422	44532	248395		3656798		Imports	99
Saadia Mai	AN F12 243	1776	10	"Bas; de laine"	Savoye	446	2676	248395		3656798		Imports	100
Saadia Mai	AN F12 243	1776	10	"Bas; de laine"	Suisse	4129	10951	248395		3656798		Imports	101
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Allemagne	13795	618887	3057248		3656798		Imports	102
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Angleterre	1849	73960	3057248		3656798		Imports	103
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Danemark	30	1500	3057248		3656798		Imports	104
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Espagne	29129	1234785	3057248		3656798		Imports	105
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Flandre	2385	121999	3057248		3656798		Imports	106
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Geneve	195	8425	3057248		3656798		Imports	107
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Hollande	2104	98655	3057248		3656798		Imports	108
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Italie	6472	277570	3057248		3656798		Imports	109
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Naples	1562	62890	3057248		3656798		Imports	110
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Genes	300	12220	3057248		3656798		Imports	111
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Venise	104	4225	3057248		3656798		Imports	112
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Levant	50	2500	3057248		3656798		Imports	113
Saadia Mai	AN F12 243	1776	10	"Bas; de soye"	Nord	31	1550	3057248		3656798		Imports	114
Saadia Mai	AN F12 243	1776	12	"Bas; de soye"	Portugal	3020	125215	3057248		3656798		Imports	115
Saadia Mai	AN F12 243	1776	12	"Bas; de soye"	Russie	134	6700	3057248		3656798		Imports	116
Saadia Mai	AN F12 243	1776	12	"Bas; de soye"	Savoye	557	22890	3057248		3656798		Imports	117
Saadia Mai	AN F12 243	1776	12	"Bas; de soye"	Suede	21	1050	3057248		3656798		Imports	118
Saadia Mai	AN F12 243	1776	12	"Bas; de soye"	Suisse	1142	49200	3057248		3656798		Imports	119
Saadia Mai	AN F12 243	1776	12	"Bas; de soye"	Isles	8265	330627	3057248		3656798		Imports	120
Saadia Mai	AN F12 243	1776	12	"Bas; de soye"	Indes	30	2400	3057248		3656798		Imports	121
Saadia Mai	AN F12 243	1776	12	Batteaux neufs	Flandre	12	4920					Imports	122
Saadia Mai	AN F12 243	1776	12	Baudriers	Italie	3617	3978					Imports	123
Saadia Mai	AN F12 243	1776	12	Baume	Isles		1015					Imports	124
Saadia Mai	AN F12 243	1776	12	Benjoin	Hollande	1120	2520					Imports	125
Saadia Mai	AN F12 243	1776	12	"Beufs; à la daube"	Isles	12926	12926			2658244		Imports	126
Saadia Mai	AN F12 243	1776	12	"Beufs; à l'écarlatte"	Isles	65	1625			2658244		Imports	127
Saadia Mai	AN F12 243	1776	12	"Beufs; fumé"	Guinée	22358	16768			2658244		Imports	128
Saadia Mai	AN F12 243	1776	12	"Beufs; salé"	Espagne	15000	4500	1738685		2658244		Imports	129
Saadia Mai	AN F12 243	1776	12	"Beufs; salé"	Suisse	2976	1041	1738685		2658244		Imports	130
Saadia Mai	AN F12 243	1776	12	"Beufs; salé"	Isles	27286	1364325	1738685		2658244		Imports	131
Saadia Mai	AN F12 243	1776	12	"Beufs; salé"	Guinée	536	265348	1738685		2658244		Imports	132
Saadia Mai	AN F12 243	1776	12	"Beufs; salé"	Indes	2069	103471	1738685		2658244		Imports	133
Saadia Mai	AN F12 243	1776	12	"Beufs; en vie"	Allemagne	7794	728810	888240		2658244		Imports	134
Saadia Mai	AN F12 243	1776	12	"Beufs; en vie"	Angleterre	15	4500	888240		2658244		Imports	135
Saadia Mai	AN F12 243	1776	12	"Beufs; en vie"	Espagne	27	2800	888240		2658244		Imports	136
Saadia Mai	AN F12 243	1776	12	"Beufs; en vie"	Savoye	233	28020	888240		2658244		Imports	137
Saadia Mai	AN F12 243	1776	12	"Beufs; en vie"	Suisse	1157	124110	888240		2658244		Imports	138
Saadia Mai	AN F12 243	1776	12	Beurre	Allemagne	55169	26768			509899		Imports	139
Saadia Mai	AN F12 243	1776	12	Beurre	Angleterre	45325	22806			509899		Imports	140
Saadia Mai	AN F12 243	1776	12	Beurre	Espagne	40444	21359			509899		Imports	141
Saadia Mai	AN F12 243	1776	12	Beurre	Hollande	97711	48893			509899		Imports	142
Saadia Mai	AN F12 243	1776	12	Beurre	Italie	5880	2058			509899		Imports	143
Saadia Mai	AN F12 243	1776	12	Beurre	Nord	3715	2229			509899		Imports	144
Saadia Mai	AN F12 243	1776	12	Beurre	Portugal	8192	4096			509899		Imports	145
Saadia Mai	AN F12 243	1776	12	Beurre	Savoye	51550	20620			509899		Imports	146
Saadia Mai	AN F12 243	1776	12	Beurre	Isles	596942	320551			509899		Imports	147
Saadia Mai	AN F12 243	1776	12	Beurre	Guinée	45485	27353			509899		Imports	148
Saadia Mai	AN F12 243	1776	12	Beurre	Indes	24325	13166			509899		Imports	149
Saadia Mai	AN F12 243	1776	14	Bierre	Isles	987	27044			48447		Imports	150
Saadia Mai	AN F12 243	1776	14	Bierre	Guinée	132	4473			48447		Imports	151
Saadia Mai	AN F12 243	1776	14	Bierre	Indes	644	16930			48447		Imports	152
Saadia Mai	AN F12 243	1776	14	Bijouterie	Hollande		2787			267217		Imports	153
Saadia Mai	AN F12 243	1776	14	Bijouterie	Russie		6590			267217		Imports	154
Saadia Mai	AN F12 243	1776	14	Bijouterie	Isles		169317			267217		Imports	155
Saadia Mai	AN F12 243	1776	14	Bijouterie	Guinée		59253			267217		Imports	156
Saadia Mai	AN F12 243	1776	14	Bijouterie	Indes		29270			267217		Imports	157
Saadia Mai	AN F12 243	1776	14	Biscuits de mer	Isles	1586400	303420			508058		Imports	158
Saadia Mai	AN F12 243	1776	14	Biscuits de mer	Guinée	1009430	201886			508058		Imports	159
Saadia Mai	AN F12 243	1776	14	Biscuits de mer	Indes	17200	2752			508058		Imports	160
Saadia Mai	AN F12 243	1776	14	"Blanc; de baleine"	Flandre	1800	1800			3618		Imports	161
Saadia Mai	AN F12 243	1776	14	"Blanc; de Troyes"	Suisse	6061	1818			3618		Imports	162
Saadia Mai	AN F12 243	1776	14	"Bled; froment"	Espagne	15540700	1554070	1770040		1812923		Imports	163
Saadia Mai	AN F12 243	1776	14	"Bled; froment"	Flandre	60806	6080	1770040		1812923		Imports	164
Saadia Mai	AN F12 243	1776	14	"Bled; froment"	Naples	155000	15000	1770040		1812923		Imports	165
Saadia Mai	AN F12 243	1776	14	"Bled; froment"	Genes	815500	81550	1770040		1812923		Imports	166
Saadia Mai	AN F12 243	1776	14	"Bled; froment"	Portugal	405000	40500	1770040		1812923		Imports	167
Saadia Mai	AN F12 243	1776	14	"Bled; froment"	Savoye	656400	65640	1770040		1812923		Imports	168
Saadia Mai	AN F12 243	1776	14	"Bled; froment"	Indes	240	7200	1770040		1812923		Imports	169
Saadia Mai	AN F12 243	1776	14	"Bled; mahi"	Espagne	114956	8621	23621		1812923		Imports	170
Saadia Mai	AN F12 243	1776	14	"Bled; mahi"	Portugal	200000	15000	23621		1812923		Imports	171
Saadia Mai	AN F12 243	1776	14	"Bled; méteil"	Espagne	125024	9662			1812923		Imports	172
Saadia Mai	AN F12 243	1776	14	"Bled; seigle"	Espagne	37500	1875	9600		1812923		Imports	173
Saadia Mai	AN F12 243	1776	14	"Bled; seigle"	Savoye	154500	7725	9600		1812923		Imports	174
Saadia Mai	AN F12 243	1776	14	Blonde de soye	Angleterre	6	2250			94450		Imports	175
Saadia Mai	AN F12 243	1776	14	Blonde de soye	Espagne	180	46000			94450		Imports	176
Saadia Mai	AN F12 243	1776	14	Blonde de soye	Flandre	7	2450			94450		Imports	177
Saadia Mai	AN F12 243	1776	14	Blonde de soye	Portugal	25	8750			94450		Imports	178
Saadia Mai	AN F12 243	1776	14	Blonde de soye	Isles	100	35000			94450		Imports	179
Saadia Mai	AN F12 243	1776	14	"Bois; d'acajou"	Flandre	85	1700			384092		Imports	180
Saadia Mai	AN F12 243	1776	16	"Bois; bordages"	Isles	2810	1405			384092		Imports	181
Saadia Mai	AN F12 243	1776	16	"Bois; à bruler"	Allemagne	1090	21805	23446		384092		Imports	182
Saadia Mai	AN F12 243	1776	16	"Bois; à bruler"	Savoye	218800	1641	23446		384092		Imports	183
Saadia Mai	AN F12 243	1776	16	"Bois; de buis"	Hollande	71600	5370			384092		Imports	184
Saadia Mai	AN F12 243	1776	16	"Bois; de campêche"	Italie	190000	19000	31809		384092		Imports	185
Saadia Mai	AN F12 243	1776	16	"Bois; de campêche"	Naples	25350	2535	31809		384092		Imports	186
Saadia Mai	AN F12 243	1776	16	"Bois; de campêche"	Genes	19322	1932	31809		384092		Imports	187
Saadia Mai	AN F12 243	1776	16	"Bois; de campêche"	Levant	72620	7262	31809		384092		Imports	188
Saadia Mai	AN F12 243	1776	16	"Bois; de campêche"	Savoye	10800	1080	31809		384092		Imports	189
Saadia Mai	AN F12 243	1776	16	"Bois; d'ébenne"	Allemagne	3370	1245			384092		Imports	190
Saadia Mai	AN F12 243	1776	16	"Bois; de fernambourg"	Espagne	3000	1500	126867		384092		Imports	191
Saadia Mai	AN F12 243	1776	16	"Bois; de fernambourg"	Italie	27722	13861	126867		384092		Imports	192
Saadia Mai	AN F12 243	1776	16	"Bois; de fernambourg"	Naples	7960	3980	126867		384092		Imports	193
Saadia Mai	AN F12 243	1776	16	"Bois; de fernambourg"	Levant	189270	94635	126867		384092		Imports	194
Saadia Mai	AN F12 243	1776	16	"Bois; de fernambourg"	Savoye	2620	1310	126867		384092		Imports	195
Saadia Mai	AN F12 243	1776	16	"Bois; de fernambourg"	Suisse	23162	11581	126867		384092		Imports	196
Saadia Mai	AN F12 243	1776	16	"Bois; de gayac"	Levant	7050	1760			384092		Imports	197
Saadia Mai	AN F12 243	1776	16	"Bois; d'inde"	Suisse	13142	2119			384092		Imports	198
Saadia Mai	AN F12 243	1776	16	"Bois; des Isles"	Espagne	122	1220			384092		Imports	199
Saadia Mai	AN F12 243	1776	16	"Bois; de marquetterie"	Allemagne	4199	1259			384092		Imports	200
Saadia Mai	AN F12 243	1776	16	"Bois; merrain"	Espagne	11000	1100	96511		384092		Imports	201
Saadia Mai	AN F12 243	1776	16	"Bois; merrain"	Isles	778610	77861	96511		384092		Imports	202
Saadia Mai	AN F12 243	1776	16	"Bois; merrain"	Indes	117000	17550	96511		384092		Imports	203
Saadia Mai	AN F12 243	1776	16	"Bois; d'olivier"	Hollande	38770	1938			384092		Imports	204
Saadia Mai	AN F12 243	1776	18	"bois; rouge "	Hollande	323544	64708	75728		384092		Imports	205
Saadia Mai	AN F12 243	1776	18	"bois; rouge "	Nord	55100	11020	75728		384092		Imports	206
Saadia Mai	AN F12 243	1776	18	"bois; scié "	Flandre	53100	7965			384092		Imports	207
Saadia Mai	AN F12 243	1776	18	"bois; à teindre "	Allemagne	10486	2724	3750		384092		Imports	208
Saadia Mai	AN F12 243	1776	18	"bois; à teindre "	Flandre	5132	1026	3750		384092		Imports	209
Saadia Mai	AN F12 243	1776	18	"bonnets; de coton"	Angleterre	437	10488	36481		268281		Imports	210
Saadia Mai	AN F12 243	1776	18	"bonnets; de coton"	Italie	275	1375	36481		268281		Imports	211
Saadia Mai	AN F12 243	1776	18	"bonnets; de coton"	isles 	1227	22086	36481		268281		Imports	212
Saadia Mai	AN F12 243	1776	18	"bonnets; de coton"	Indes	211	2532	36481		268281		Imports	213
Saadia Mai	AN F12 243	1776	18	"bonnets; de laine"	Espagne	5949	37734	231800		268281		Imports	214
Saadia Mai	AN F12 243	1776	18	"bonnets; de laine"	Levant	18627	186270	231800		268281		Imports	215
Saadia Mai	AN F12 243	1776	18	"bonnets; de laine"	Savoye	132	1320	231800		268281		Imports	216
Saadia Mai	AN F12 243	1776	18	"bonnets; de laine"	Guinée	1344	5376	231800		268281		Imports	217
Saadia Mai	AN F12 243	1776	18	"bonnets; de laine"	Indes	4	1100	231800		38886		Imports	218
Saadia Mai	AN F12 243	1776	18	borax	Hollande	12062	36186			38886		Imports	219
Saadia Mai	AN F12 243	1776	18	borax	Suisse	9	2700					Imports	220
Saadia Mai	AN F12 243	1776	18	bouchons de liège	Espagne	223	1115			61720		Imports	221
Saadia Mai	AN F12 243	1776	18	bouchons de liège	Flandre	345	1036			61720		Imports	222
Saadia Mai	AN F12 243	1776	18	bouchons de liège	Italie	6090	18270			61720		Imports	223
Saadia Mai	AN F12 243	1776	18	bouchons de liège	Nord	219	1095			61720		Imports	224
Saadia Mai	AN F12 243	1776	18	bouchons de liège	Savoye	1743	5229			61720		Imports	225
Saadia Mai	AN F12 243	1776	18	bouchons de liège	Indes	139900	34975			61720		Imports	226
Saadia Mai	AN F12 243	1776	18	bougie	Allemagne	3707	9422			320023		Imports	227
Saadia Mai	AN F12 243	1776	18	bougie	Angleterre	1310	2480			320023		Imports	228
Saadia Mai	AN F12 243	1776	18	bougie	Espagne	3429	8251			320023		Imports	229
Saadia Mai	AN F12 243	1776	18	bougie	Flandre	3498	8627			320023		Imports	230
Saadia Mai	AN F12 243	1776	18	bougie	geneve	420	1050			320023		Imports	231
Saadia Mai	AN F12 243	1776	18	bougie	Hollande	832	1806			320023		Imports	232
Saadia Mai	AN F12 243	1776	18	bougie	Naples	2346	4692			320023		Imports	233
Saadia Mai	AN F12 243	1776	18	bougie	Suisse	2643	6512			320023		Imports	234
Saadia Mai	AN F12 243	1776	18	bougie	isles	110321	254624			320023		Imports	235
Saadia Mai	AN F12 243	1776	18	bougie	Indes	9024	22559			320023		Imports	236
Saadia Mai	AN F12 243	1776	18	boulets de canon	Indes	9000	1200					Imports	237
Saadia Mai	AN F12 243	1776	18	"bourre; à bourrer"	isles	22230	2223			2223		Imports	238
Saadia Mai	AN F12 243	1776	20	Bouteilles de verre	Espagne	10580	2116			66944		Imports	239
Saadia Mai	AN F12 243	1776	20	Bouteilles de verre	Italie	15980	3196			66944		Imports	240
Saadia Mai	AN F12 243	1776	20	Bouteilles de verre	Savoye	11290	2258			66944		Imports	241
Saadia Mai	AN F12 243	1776	20	Bouteilles de verre	Suisse	11650	2330			66944		Imports	242
Saadia Mai	AN F12 243	1776	20	Bouteilles de verre	Isles	137340	28815			66944		Imports	243
Saadia Mai	AN F12 243	1776	20	Bouteilles de verre	Indes	121695	28229			66944		Imports	244
Saadia Mai	AN F12 243	1776	20	"Boutons; dorure; d'argent"	Hollande	14	1160			59708		Imports	245
Saadia Mai	AN F12 243	1776	20	"Boutons; dorure; d'or"	Allemagne	19	1660	58548		59708		Imports	246
Saadia Mai	AN F12 243	1776	20	"Boutons; dorure; d'or"	Angleterre	25	1125	58548		59708		Imports	247
Saadia Mai	AN F12 243	1776	20	"Boutons; dorure; d'or"	Espagne	655	55763	58548		59708		Imports	248
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Angleterre	342080	34208			613734		Imports	249
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Espagne	762950	152590			613734		Imports	250
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Flandre	18	1080			613734		Imports	251
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Hollande	698	42255			613734		Imports	252
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Italie	32160	4824			613734		Imports	253
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Naples	6800	1020			613734		Imports	254
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Genes	19240	2886			613734		Imports	255
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Levant	25620	5124			613734		Imports	256
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Nord	141	8460			613734		Imports	257
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Portugal	1964	117852			613734		Imports	258
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Isles	2482	62053			613734		Imports	259
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Guinée	2698	69996			613734		Imports	260
Saadia Mai	AN F12 243	1776	20	Bray et gaudron	Indes	1113860	111386			613734		Imports	261
Saadia Mai	AN F12 243	1776	20	Briquets	Flandre	53	1060			10742		Imports	262
Saadia Mai	AN F12 243	1776	20	Briquets	Savoye	169450	4236			10742		Imports	263
Saadia Mai	AN F12 243	1776	20	Briquets	Isles	300	5446			10742		Imports	264
Saadia Mai	AN F12 243	1776	20	Brosserie	Isles	8184	8184					Imports	265
Saadia Mai	AN F12 243	1776	20	Brun rouge	Levant	40750	4075					Imports	266
Saadia Mai	AN F12 243	1776	20	Cabriolets	Isles	3	1050					Imports	267
Saadia Mai	AN F12 243	1776	20	Cacao	Angleterre	2238	1007			843078		Imports	268
Saadia Mai	AN F12 243	1776	20	Cacao	Espagne	275639	202458			843078		Imports	269
Saadia Mai	AN F12 243	1776	20	Cacao	Flandre	2389	1281			843078		Imports	270
Saadia Mai	AN F12 243	1776	20	Cacao	Geneve	2450	1837			843078		Imports	271
Saadia Mai	AN F12 243	1776	20	Cacao	Hollande	7434	4640			843078		Imports	272
Saadia Mai	AN F12 243	1776	20	Cacao	Italie	350324	440415			843078		Imports	273
Saadia Mai	AN F12 243	1776	20	Cacao	Naples	26115	33949			843078		Imports	274
Saadia Mai	AN F12 243	1776	20	Cacao	Genes	41074	53395			843078		Imports	275
Saadia Mai	AN F12 243	1776	20	Cacao	Venise	14673	19074			843078		Imports	276
Saadia Mai	AN F12 243	1776	22	Cacao	Levant	2111	2744			843078		Imports	277
Saadia Mai	AN F12 243	1776	22	Cacao	Nord	30072	15167			843078		Imports	278
Saadia Mai	AN F12 243	1776	22	Cacao	Russie	16264	7318			843078		Imports	279
Saadia Mai	AN F12 243	1776	22	Cacao	Savoye	18957	24644			843078		Imports	280
Saadia Mai	AN F12 243	1776	22	Cacao	Suede	11417	5137			843078		Imports	281
Saadia Mai	AN F12 243	1776	22	Cacao	Suisse	40582	30012			843078		Imports	282
Saadia Mai	AN F12 243	1776	22	"Caffé; de Bourbon"	Allemagne	45475	34106	140298		30407668		Imports	283
Saadia Mai	AN F12 243	1776	22	"Caffé; de Bourbon"	Hollande	138508	103881	140298		30407668		Imports	284
Saadia Mai	AN F12 243	1776	22	"Caffé; de Bourbon"	Suisse	3082	2311	140298		30407668		Imports	285
Saadia Mai	AN F12 243	1776	22	"Caffé; des Isles"	Allemagne	147674	87382	30021305		30407668		Imports	286
