numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
45,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Gaze de soye,St Domingue,240,,Angoulême,livres,,0
46,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Glaces,St Domingue,25770,138,Paris,en nombre,,0
47,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Hardes diverses,St Domingue,290,,Bordeaux,,,0
48,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Lingerie diverse,St Domingue,1044,,,,,0
49,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Liqueur (anisette),St Domingue,96,48,Bordeaux,Pots,,0
50,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Marchandises à la valeur,St Domingue,365,,,,,0
51,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,35,Ouvrages divers,St Domingue,346,,,,,0
52,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Papier bleu,St Domingue,241,1607,Hollande,livres,,0
53,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Pierre à fusils,St Domingue,29,294,Charente,livres,,0
54,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Plomb en saumon,St Domingue,690,2300,Hambourg,livres,,0
55,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Plomb en saumon,St Domingue,1914,6381,Angleterre,livres,,0
56,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Plomb en saumon,St Domingue,2633,8776,Rochefort,livres,,0
57,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Quincaillerie diverse,St Domingue,1183,,,,,0
58,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Clous de fer,St Domingue,738,777,Bordeaux,livres,,0
59,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Clous de fer,St Domingue,1100,2750,Nantes,livres,,0
60,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Clous de fer,St Domingue,1069,1069,Dunkerque,livres,,0
61,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Marmites de fer,St Domingue,2810,7025,Rouen,livres,,0
62,Cyril Mouton,ANOM Col F 2B 13,National toutes directions partenaires manquants/Colonies/1788 - La Rochelle - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,La Rochelle,36,Savon,St Domingue,2573,3958,Marseille,livres,,0
