numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
295,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Sucre brut des colonies françaises,Étranger,8381354,18625231,22002675,livres,,
301,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Sucre raffiné des colonies françaises,Étranger,1646320,1646320,3528423,livres,,
308,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,Sucre terré des colonies françaises de l’Amérique,Étranger,20768389,34046540,44248771,livres,,
318,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Bordeaux,Bordeaux,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,615360,,2336369,,,
327,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Directions de terre,Bureaux de terre frontières,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,50730,,2336369,,,
280,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Directions de terre,Bureaux de terre frontières,4,Coton des colonies françaises,Étranger,140897,93932,8494506,livres,,
306,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Directions de terre,Bureaux de terre frontières,4,Sucre raffiné des colonies françaises,Étranger,416129,416129,3528423,livres,,
266,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Cherbourg,4,Caffé des colonies françaises de l’Amérique,Étranger,1258,1199,72801999,livres,,
269,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Dieppe,4,Caffé des colonies françaises de l’Amérique,Étranger,1128,1075,72801999,livres,,
271,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lille,Dunkerque,4,Caffé des colonies françaises de l’Amérique,Étranger,1182957,1131388,72801999,livres,,
278,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lille,Dunkerque,4,Coton des colonies françaises,Étranger,719051,463904,8494506,livres,,
287,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lille,Dunkerque,4,Indigo des colonies françaises,Étranger,101042,10636,6678970,livres,,
300,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lille,Dunkerque,4,Sucre brut des colonies françaises,Étranger,1099580,2557162,22002675,livres,,
304,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lille,Dunkerque,4,Sucre raffiné des colonies françaises,Étranger,14700,14700,3528423,livres,,
315,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lille,Dunkerque,4,Sucre terré des colonies françaises de l’Amérique,Étranger,1097474,1770119,44248771,livres,,
325,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lille,Dunkerque,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,345721,,2336369,,,
268,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Honfleur,4,Caffé des colonies françaises de l’Amérique,Étranger,30510,29058,72801999,livres,,
298,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Honfleur,4,Sucre brut des colonies françaises,Étranger,56456,131293,22002675,livres,,
313,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Honfleur,4,Sucre terré des colonies françaises de l’Amérique,Étranger,14821,23905,44248771,livres,,
263,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,Caffé des colonies françaises de l’Amérique,Étranger,2622875,2497979,72801999,livres,,
274,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,Coton des colonies françaises,Étranger,5984,3861,8494506,livres,,
283,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,Indigo des colonies françaises,Étranger,262275,27608,6678970,livres,,
290,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,Rocou des colonies françaises,Étranger,3714,4127,66239,livres,,
296,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,Sucre brut des colonies françaises,Étranger,193563,450149,22002675,livres,,
302,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,Sucre raffiné des colonies françaises,Étranger,1273150,1273150,3528423,livres,,
309,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,Sucre terré des colonies françaises de l’Amérique,Étranger,730943,1178942,44248771,livres,,
319,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,La Rochelle,La Rochelle,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,43594,,2336369,,,
259,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Cacao des colonies françaises de l’Amérique,Étranger,26550,53100,336860,livres,,
270,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Caffé des colonies françaises de l’Amérique,Étranger,12115484,11014079,72801999,livres,,
277,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Coton des colonies françaises,Étranger,2796652,1553696,8494506,livres,,
286,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Indigo des colonies françaises,Étranger,258720,25872,6678970,livres,,
292,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Rocou des colonies françaises,Étranger,6561,7290,66239,livres,,
299,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Sucre brut des colonies françaises,Étranger,3584647,7792710,22002675,livres,,
303,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Sucre raffiné des colonies françaises,Étranger,17345,17345,3528423,livres,,
314,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,Sucre terré des colonies françaises de l’Amérique,Étranger,3605989,5911458,44248771,livres,,
324,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Le Havre,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,46032,,2336369,,,
320,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Lorient,Ville de Lorient,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,1872,,2336369,,,
260,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Cacao des colonies françaises de l’Amérique,Étranger,194160,388326,336860,livres,,
272,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Caffé des colonies françaises de l’Amérique,Étranger,10334644,10334644,72801999,livres,,
279,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Coton des colonies françaises,Étranger,2625,1750,8494506,livres,,
281,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Gingembre des colonies françaises,Étranger,6616,18922,6616,livres,,
288,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Indigo des colonies françaises,Étranger,1866384,207376,6678970,livres,,
293,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Rocou des colonies françaises,Étranger,38674,42970,66239,livres,,
305,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Sucre raffiné des colonies françaises,Étranger,160779,160779,3528423,livres,,
316,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,Sucre terré des colonies françaises de l’Amérique,Étranger,12038377,21886964,44248771,livres,,
326,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Marseille,Marseille,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,270367,,2336369,,,
258,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,Cacao des colonies françaises de l’Amérique,Étranger,24911,49820,336860,livres,,
264,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,Caffé des colonies françaises de l’Amérique,Étranger,9161910,8725635,72801999,livres,,
275,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,Coton des colonies françaises,Étranger,1441194,960797,8494506,livres,,
284,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,Indigo des colonies françaises,Étranger,470636,49541,6678970,livres,,
291,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,Rocou des colonies françaises,Étranger,3679,4088,66239,livres,,
297,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,Sucre brut des colonies françaises,Étranger,8529322,21323303,22002675,livres,,
310,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,Sucre terré des colonies françaises de l’Amérique,Étranger,5622832,9371386,44248771,livres,,
321,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Nantes,Nantes,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,934170,,2336369,,,
267,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Rouen,4,Caffé des colonies françaises de l’Amérique,Étranger,984601,937717,72801999,livres,,
276,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Rouen,4,Coton des colonies françaises,Étranger,19449,12548,8494506,livres,,
312,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Rouen,4,Sucre terré des colonies françaises de l’Amérique,Étranger,914,1475,44248771,livres,,
323,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Rouen,Rouen,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,22759,,2336369,,,
265,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Saint-Malo,Saint-Malo,4,Caffé des colonies françaises de l’Amérique,Étranger,245827,234122,72801999,livres,,
285,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Saint-Malo,Saint-Malo,4,Indigo des colonies françaises,Étranger,190,20,6678970,livres,,
311,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Saint-Malo,Saint-Malo,4,Sucre terré des colonies françaises de l’Amérique,Étranger,192220,310033,44248771,livres,,
322,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Exports,Saint-Malo,Saint-Malo,4,"Sirop, mélasse, rum et taffia des colonies françaises de l’Amérique",Étranger,1004,,2336369,,,
1,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Cacao,Iles Françaises de l’Amérique,38815,77632,429433,livres,,0
11,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Caffé,Iles Françaises de l’Amérique,192366,206183,97358972,livres,,0
29,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Canefice,Iles Françaises de l’Amérique,1714,2040,88271,livres,,0
36,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Coton en laine,Iles Françaises de l’Amérique,6718,4334,15218329,livres,,0
56,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Indigo,Iles Françaises de l’Amérique,5548,584,10516394,livres,,0
72,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Sucre brut,Iles Françaises de l’Amérique,69081,160654,41062450,livres,,0
85,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Sucre raffiné,Iles Françaises de l’Amérique,16,16,2010,livres,,0
91,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Sucre terré,Iles Françaises de l’Amérique,171898,277254,41411073,livres,,0
107,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Sucre tête,Iles Françaises de l’Amérique,358745,763287,10235066,livres,,0
116,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Bois d’acajou,Iles Françaises de l’Amérique,460,,175693,livres,,0
126,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Bois de Campêche,Iles Françaises de l’Amérique,621,5175,203540,livres,,0
147,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Carret,Iles Françaises de l’Amérique,1045,95,108085,livres,,0
155,Guillaume Daudin,ANOM Col F 2B 14,National toutes directions partenaires manquants/Colonies/1789 - ANOM Col F 2B 14 - Par généralité - Imports et ré-exports colonies – 1789.csv,National toutes directions partenaires manquants,1789,Imports,Bayonne,Bayonne,2,Confitures,Iles Françaises de l’Amérique,256,256,75146,livres,,0
