numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,origine,quantity_unit,remarks,doubleaccounts
13,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bonneterie (bonnet de fil),St Domingue,1680,35,Bordeaux,douzaines,,1
14,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bonneterie (bonnet de fil),La Martinique,1680,105,Bordeaux,livres,,2
15,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bonneterie (bonnet de fil),La Martinique,117,39,Béarn,paires,,0
16,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bouchons de liège,St Domingue,148,37000,Marencin,en nombre,,0
17,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bouteilles en Dame Jeanne,La Martinique,210,70,St Esprit,en nombre,,0
18,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bray gras,St Domingue,1638,16380,Marencin,livres,,0
19,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bray gras,La Martinique,8910,89100,Marencin,livres,,0
20,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bray sec,St Domingue,1320,26400,Marencin,livres,,0
21,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Bray sec,La Martinique,2725,54500,Marencin,livres,,0
22,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Goudron,St Domingue,1688,37980,Marencin,livres,,0
23,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Goudron,La Martinique,320,7200,Marencin,livres,,0
24,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs salées (bœuf),St Domingue,802,2006,Bordeaux,livres,,0
25,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs cuisses d'oyes,St Domingue,8195,8195,Béarn,livres,,0
26,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs cuisses d'oyes,La Martinique,1975,1975,Béarn,livres,,0
27,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs jambon,St Domingue,19990,30755,Béarn,livres,,0
28,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs jambon,La Martinique,21074,32422,Béarn,livres,,0
29,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs lard salé,St Domingue,731,1625,Béarn,livres,,0
30,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs lard salé,La Martinique,1867,4150,Béarn,livres,,0
31,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs salé de porc,St Domingue,9650,19300,Béarn,livres,,0
32,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chairs salé de porc,La Martinique,1600,3200,Béarn,livres,,0
33,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Chocolat,La Martinique,120,60,St Esprit,livres,,0
34,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Cordages,St Domingue,12640,31600,St Esprit,livres,,0
35,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Cordages,La Martinique,1440,3600,St Esprit,livres,,0
36,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Cuivre ouvré,La Martinique,130,,St Esprit,,,0
37,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Drogues médicinales,La Martinique,456,,Languedoc,,,0
38,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Drogue pour la peinture brun rouge,St Domingue,1713,11420,Hollande,livres,,0
39,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Drogue pour la peinture brun rouge,La Martinique,4131,27543,Hollande,livres,,0
40,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Drogue pour la peinture féruse,La Martinique,1008,2016,Hollande,livres,,0
41,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Ocre jeanne,La Martinique,338,1690,Hollande,livres,,0
42,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Noir de fumée,St Domingue,347,,Hollande,,,0
43,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Eau de vie d'Andaye,St Domingue,864,822,St Esprit,bouteilles,,0
44,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Eau de vie d'Andaye,La Martinique,1440,1152,St Esprit,bouteilles,,0
45,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Eau de vie d'Andaye,St Domingue,148,"0,6111111111",St Esprit,muids,,0
47,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Eau de vie simple,St Domingue,22572,"101,1944444444",Marsan,muids,,0
49,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Eau de vie simple,La Martinique,40296,"279,4166666667",Marsan,muids,,0
51,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Eau de vie simple,St Domingue,5052,"35,0833333333",Armagnac,muids,,0
53,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Eau de vie simple,St Domingue,8532,"59,25",La Rochelle,muids,,0
54,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Epicerie (canelle),St Domingue,408,68,Hollande,livres,,0
55,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,20,Epicerie (poivre en grain),St Domingue,250,167,Hollande,livres,,0
56,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Farine,St Domingue,4895,23300,Béarn la Guyenne,livres,,0
57,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Farine,La Martinique,13160,62680,Béarn la Guyenne,livres,,0
58,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Farine gruau,St Domingue,283,2360,Béarn la Guyenne,livres,"Pas d'unité, sans doute des livres",0
59,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Fer en barre,St Domingue,7200,40000,Espagne,livres,,0
60,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Fer en barre,La Martinique,8010,44500,Espagne,livres,,0
61,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Fer blanc ouvré,St Domingue,300,,St Esprit,,,0
62,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Fer blanc ouvré,La Martinique,50,,St Esprit,,,0
63,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Fil à voile,La Martinique,1336,1215,St Esprit,livres,,0
64,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Fromage,St Domingue,518,740,Hollande,livres,,0
65,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Fromage,La Martinique,231,330,Hollande,livres,,0
66,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Grain (maïs),St Domingue,820,9650,Chalosse,livres,,0
67,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Grain (maïs),La Martinique,1653,19450,Chalosse,livres,,0
68,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Graisse de porc,St Domingue,525,700,Béarn,livres,,0
69,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Huile de lin,St Domingue,1125,2500,Hollande,livres,"Pas d'unité, sans doute des livres",0
70,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Huile d'olive,St Domingue,2500,2000,Provence,livres,,0
71,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Huile d'olive,La Martinique,1008,1000,Provence,livres,,0
72,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Instrument de marine,La Martinique,600,,Bayonne,livres,,0
73,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Laine commune,St Domingue,1237,825,Béarn,livres,,0
74,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Légumes,St Domingue,104,,Béarn,,,0
75,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Linge de table,St Domingue,3940,,Béarn,,,0
76,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Linge de table,La Martinique,2439,,Béarn,,,0
77,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Liqueurs diverses,St Domingue,275,,Bordeaux,,,0
78,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Marchandises à la valeur,St Domingue,282,,,,,0
79,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Marchandises à la valeur,La Martinique,69,,,,,0
80,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Mouchoirs fil et coton,St Domingue,8479,1792,Béarn,en nombre,149 douzaines et 4 pièces,0
81,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Mouchoirs fil et coton,La Martinique,8431,1736,Béarn,en nombre,144 douzaines et 8 pièces,0
82,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Ozier (bois),St Domingue,526,3115,Chalosse,paquets,,0
83,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Ozier (bois),La Martinique,386,2095,Chalosse,paquets,,0
84,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Ouvrages de cuivre en souliers pou homme,St Domingue,35460,11820,St Esprit,paires,,0
85,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Ouvrages de cuivre en souliers pou homme,La Martinique,642,214,St Esprit,paires,,0
86,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Papier à écrire,St Domingue,704,88,La Rochelle,rames,,0
87,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Plumes d'oyes,St Domingue,3250,3250,Béarn,livres,,0
88,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Pierres en carreaux,St Domingue,2544,11340,Bidache,en nombre,,0
89,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Pierres en carreaux,La Martinique,1548,7208,Bidache,en nombre,,0
90,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Pierres à taillandier,St Domingue,450,150,Espagne,livres,,0
91,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Poisson (sardines),St Domingue,1456,5200,Bretagne,livres,,0
92,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Poisson (sardines),La Martinique,705,2520,Bretagne,livres,,0
93,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Poisson (sardines),St Domingue,336,1200,Bordeaux,livres,,0
94,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Morue sèche,St Domingue,14382,42300,Pêches françaises,livres,,0
95,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Morue sèche,La Martinique,17816,52400,Pêches françaises,livres,,0
96,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Quincaillerie en fer,St Domingue,4838,14985,St Esprit,livres,,0
97,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Quincaillerie en fer,La Martinique,5544,17568,St Esprit,livres,,0
98,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Suif en chandelles,La Martinique,591,975,St Esprit,livres,,0
99,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Suif fondu,St Domingue,8735,14559,,livres,,0
100,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,21,Suif fondu,La Martinique,948,1580,,livres,,0
101,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Toile nankin,La Martinique,2400,,Compagnie des Indes,pièces,,0
102,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Tuiles,St Domingue,122,8180,Bidache,en nombre,,0
103,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en bouteille,St Domingue,836,1673,Béarn,en nombre,,0
104,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en bouteille,La Martinique,1010,2020,Béarn,en nombre,,0
105,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en muids,St Domingue,7922,"135,5694444444",Béarn,muids,,0
107,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en muids,La Martinique,3400,"58,3333333333",Béarn,muids,,0
108,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en muids,St Domingue,7438,"64,6666666667",Bordeaux,muids,,0
109,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en muids,La Martinique,17400,"151,0416666667",Bordeaux,muids,,0
111,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en muids,St Domingue,4620,77,Armagnac,muids,,0
112,Cyril Mouton,ANOM Col F 2B 13 (tableau 24),National toutes directions partenaires manquants/Colonies/1788 - Bayonne - Exports colonies.csv,National toutes directions partenaires manquants,1788,Exports,Bayonne,22,Vin en muids,La Martinique,1400,"23,3333333333",Armagnac,muids,,0
