marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
housse et faux fourreau,,1,1,31324
housse ; de couette,,1,1,31324
housse ; de duvet,,1,1,31324
hubalingue,hubalingue,1,1,1
huile,huile,1,3,19
huile ; ?,huile,1,3,19
huile ; commune,huile,0,0,0
huile ; d'Harlem,huile ; d'Harlem,1,1,1
huile ; d'absinthe,huile ; d'absinthe,1,1,1
huile ; d'amande,huile ; d'amande,1,38,38
huile ; d'amande ; douce,,1,1,31324
huile ; d'amande douce,huile ; d'amande douce,1,3,4
huile ; d'ambre,huile ; d'ambre,1,9,9
huile ; d'anis,huile ; d'anis,1,18,18
huile ; d'aspic,huile ; d'aspic,1,20,20
huile ; d'etaim,huile ; d'etaim,1,1,1
huile ; d'oeillette et de pavot,huile ; d'oeillette et de pavot,0,0,0
"huile ; d'oeillette, de pavot et de noix","huile ; d'oeillette, de pavot et de noix",0,0,0
huile ; d'olive,huile ; d'olive,1,1580,1772
huile ; d'olive ; blanc ; de Gènes,huile ; d'olive ; blanc ; de Gênes,1,1,1
huile ; d'olive ; commune,huile ; d'olive ; commune,0,0,0
huile ; d'olive ; fine,,1,4,31324
huile ; d'olive ; importée en grande partie à Marseille,huile ; d'olive ; importée en grande partie à Marseille,1,1,1
huile ; d'olive ; pour fabrique,huile ; d'olive,1,190,1772
huile ; d'olive à manger,huile ; d'olive,0,0,0
huile ; d'olive ; commune,,1,2,31324
huile ; d'olive ; pour fabrique,,1,74,31324
huile ; d'ours,huile ; d'ours,1,1,1
huile ; d'élitte dite keurolie,huile ; d'élite dite keurolie,1,1,1
huile ; de Lisbonne,huile ; de Lisbonne,0,0,0
huile ; de Rhodes,,1,8,31324
huile ; de Salmus,huile ; de Salmus,1,1,1
huile ; de baleine,huile ; de baleine,1,53,53
huile ; de baume,huile ; de baume,1,1,1
huile ; de benjoin,drogue ; médicinale ; huile de benjoin,1,1,1
huile ; de betterave,huile ; de betterave,0,0,0
huile ; de caboüanne,huile ; de caboüanne,1,1,1
huile ; de cacao,huile ; de cacao,1,1,1
huile ; de cade,,1,1,31324
huile ; de cannelle,huile ; de cannelle,1,13,13
huile ; de carabe,huile ; de carabe,1,5,5
huile ; de carabé,,0,0,0
huile ; de carde,huile ; de carde,1,2,2
huile ; de chanvre,huile ; de chanvre,1,8,8
huile ; de chimie,huile ; de chimie,1,1,1
huile ; de clou de girofle,huile ; de girofle,1,1,1
huile ; de colza,huile ; de colza,0,0,0
huile ; de copahu,huile ; de copahu,1,18,18
huile ; de corne de cerf,huile ; de corne de cerf,1,2,2
huile ; de crabette,huile ; de crabette,1,1,1
huile ; de cumin,huile ; de cumin,1,1,1
huile ; de dégras,huile ; de dégras,1,1,1
huile ; de faine et de noix,huile ; de faine et de noix,0,0,0
huile ; de farde,huile ; de farde,1,1,1
huile ; de flanelle,huile ; de flanelle,1,1,1
huile ; de gaïac,huile ; de gayac,1,1,1
huile ; de genièvre,huile ; de genièvre,1,8,8
huile ; de girofle,,1,30,31324
huile ; de grain,,1,1,31324
huile ; de graine,huile ; de graine,1,375,383
huile ; de graine ; d'anis,,1,1,31324
huile ; de graine ; d'olive,,1,1,31324
huile ; de graine ; de Rhodes,,1,1,31324
huile ; de graine ; de cannelle,,1,1,31324
huile ; de graine ; de girofle,,1,1,31324
huile ; de graine ; de graine,,1,2,31324
huile ; de graine ; de laurier,,1,1,31324
huile ; de graine ; de lin,,1,1,31324
huile ; de graine ; de macis,,1,1,31324
huile ; de graine ; de moutarde,,1,1,31324
huile ; de graine ; de navette,huile ; de graine ; de navette,1,1,1
huile ; de graine ; de poisson,,1,1,31324
huile ; de graine ; de térébenthine,,0,0,0
huile ; de graine ; ordinaire,,0,0,0
huile ; de graine de navette et de chanvre,huile ; de graine de navette et de chanvre,1,2,2
huile ; de graine et autre,huile ; de graine,1,8,383
huile ; de graine et de noix,huile ; de graine et de noix,0,0,0
huile ; de graine et noix,huile ; de graine et noix,1,6,6
huile ; de graine ; de térébenthine,,1,1,31324
huile ; de graisse,huile ; de graisse,1,2,2
huile ; de graisse ; de poisson,huile ; de graisse ; de poisson,1,1,1
huile ; de gras ; pour tanneur,huile ; de gras ; pour tanneur,1,2,2
huile ; de hareng,huile ; de hareng,1,1,1
huile ; de jasmin,huile ; de jasmin,1,5,5
huile ; de jayet,huile ; de jayet,1,1,1
huile ; de laurier,huile ; de laurier,1,60,60
huile ; de lavande,huile ; de lavande,1,3,3
huile ; de lin,huile ; de lin,1,90,90
huile ; de loison,huile,1,9,19
huile ; de loup marin,huile ;  de loup marin,1,7,7
huile ; de maïs,huile ; de maïs,1,1,1
huile ; de morne,huile ; de morue,1,2,23
huile ; de morue,huile ; de morue,1,21,23
huile ; de muscade,huile ; de muscade,1,15,15
huile ; de navette,,1,65,31324
huile ; de nitriol,huile ; de nitriol,1,3,3
huile ; de noix,huile ; de noix,1,112,112
huile ; de palme,huile ; de palme,1,9,9
huile ; de parfum,huile ; de parfum,1,3,3
huile ; de pin,huile ; de pin,1,1,1
huile ; de plante,huile ; de plante,1,1,1
huile ; de poil cru,huile ; de poil cru,1,1,1
huile ; de poisson,huile ; de poisson,1,981,982
huile ; de poisson ; des îles,,1,1,31324
huile ; de poisson et de lin,huile ; de poisson et de lin,1,1,1
huile ; de poisson et poix,huile ; de poisson et poix,0,0,0
huile ; de poix,huile ; de poix,0,0,0
huile ; de pétrole,huile ; pétrole,1,3,8
huile ; de rabelle,huile ; de rabelle,1,54,55
huile ; de rabette,huile ; de rabelle,1,1,55
huile ; de rave,,1,1,31324
huile ; de rhue,huile ; de rhue,1,1,1
huile ; de rose,huile ; de rose,1,2,2
huile ; de saxafrax,huile ; de saxafrax,1,1,1
huile ; de scorpion,huile ; de scorpion,1,2,2
huile ; de semence,huile ; de semence,1,1,1
huile ; de senteur,huile ; de senteur,1,15,15
huile ; de soldat,huile ; de soldat,1,1,1
huile ; de souffre,huile ; de souffre,1,2,2
huile ; de spermaceti,huile ; de spermaceti,1,3,3
huile ; de storax,huile ; de storax,1,4,4
huile ; de tamarin,huile ; de tamarin,1,2,2
huile ; de tartre,,0,0,0
huile ; de térébenthine,drogue ; térébenthine ; huile,1,204,251
huile ; de verre,huile ; de verre,1,1,1
huile ; de vialle,huile ; de vialle,1,2,2
huile ; de vitriol,,1,123,31324
huile ; diverse,huile ; diverse,1,26,26
huile ; en dinar,huile,0,0,0
huile ; fine,huile ; fine,1,1,1
huile ; grap ; indigo,drogue ; pour la peinture et la teinture ; indigo,1,1,1755
huile ; marc d'olive ou amurca,huile ; d'olive,0,0,0
huile ; médicinale,huile ; médicinale,1,1,1
huile ; pied d'huile,huile,1,1,19
huile ; pied d'huile ; de poisson,huile ; de poisson,1,1,982
huile ; pétrole,huile ; pétrole,1,5,8
huile ; stale,huile ; stale,1,1,1
huile ; succin,huile ; succin,1,3,3
huile ; à ?,huile,0,0,0
huile ; à brûler,huile ; à brûler,1,27,27
huile et acide vitriolique,huile et acide vitriolique,1,29,29
huile et provision,huile et provision,1,1,1
huile et sirop,huile et sirop,1,2,2
huile fine,,1,1,31324
huile; de pierre,huile ; de pierre,1,1,1
huile ; commune,,1,2,31324
huile ; d'anis,,1,1,31324
huile ; d'oeillette et de pavot,,1,13,31324
"huile ; d'oeillette, de pavot et de noix",,1,18,31324
huile ; d'olive à manger,,1,11,31324
huile ; d'olive ; fine,,1,61,31324
huile ; de Lisbonne,,1,1,31324
huile ; de Rhodes,,1,2,31324
huile ; de betterave,,1,1,31324
huile ; de carabé,,1,1,31324
huile ; de carde,,1,1,31324
huile ; de chanvre,,1,1,31324
huile ; de colza,,1,2,31324
huile ; de faine et de noix,,1,2,31324
huile ; de genièvre,,1,1,31324
huile ; de girofle,,1,1,31324
huile ; de graine,,1,80,31324
huile ; de graine et de noix,,1,32,31324
huile ; de graine ; ordinaire,,1,57,31324
huile ; de laurier,,1,2,31324
huile ; de lin,,1,249,31324
huile ; de morue,,1,2,31324
huile ; de navette,,1,12,31324
huile ; de poisson et poix,,1,1,31324
huile ; de poix,,1,1,31324
huile ; de rabette,,1,2,31324
huile ; de rave,,1,1,31324
huile ; de rose,,1,1,31324
huile ; de scorpion,,1,1,31324
huile ; de senteur,,1,8,31324
huile ; de tartre,,1,1,31324
huile ; de vitriol,,1,9,31324
huile ; en dinar,,1,1,31324
huile ; marc d'olive ou amurca,,1,1,31324
huile ; à ?,,1,1,31324
huille ; copahu,,1,1,31324
huille ; de copahu,,1,4,31324
huitre ; à la daube ou marinée,huitre ; à la daube ou marinée,1,1,1
hulie ; superfine,hulie ; superfine,0,0,0
hulie ; superfine,,1,1,31324
huître,huître,1,52,52
huître ; en pierre,,0,0,0
huître ; fraîche,huître ; fraîche,1,3,3
huître ; marine,,1,1,31324
huître ; marinée,,1,10,31324
huître ; verte,huître ; verte,1,5,5
huître ; à l'écaille,huître ; à l'écaille,1,19,19
huître ; à la daube,huître ; à la daube,1,10,10
huître ; en pierre,,1,1,31324
huître ; marinée,,1,1,31324
hydromel,hydromel,1,11,11
hypocristis,hypocristis,1,1,1
hôpitaux ; de cuivre,hôpitaux ; de cuivre,1,9,40
image,image,1,12,12
image ; de corne,image ; de corne,1,1,1
image ; de papier,image ; de papier,1,36,36
"image ; de papier, estampe et carte géographique","image ; de papier, estampe et carte géographique",1,1,1
image ; de parchemin,image ; de parchemin,1,11,11
image ; de parchemin de corne,image ; de parchemin de corne,1,1,1
image ; de vélin,image ; de vélin,1,5,5
image ; des Iles,image ; des îles,1,1,1
image ; et carte géographique,image et carte géographique,1,2,2
image ; peinte,,1,2,31324
image ou dominoterie,image et dominoterie,1,6,6
impériale,étoffe ; de laine ; impériale,1,2,3
inde,inde,1,5,5
inde ; java,,0,0,0
inde ; plate,,0,0,0
indes ; fine,indes ; fine,1,23,23
indes ; flottante,indes ; flottante,1,3,3
indes ; java,indes ; java,1,1,1
indes ; plate,indes ; plate,1,65,65
inde ; java,,1,1,31324
inde ; plate,,1,8,31324
indienne,indienne,1,198,207
indienne ; ?,indienne,1,4,207
indienne ; divers,indienne,1,4,207
indienne ; française,indienne ; française,1,1,1
indienne ; guinée,indienne ; guinée,1,1,1
indienne ; étrangère,indienne ; étrangère,1,1,1
indigo,drogue ; pour la peinture et la teinture ; indigo,1,1670,1755
indigo ; des îles,,0,0,0
indigo ; des îles,,1,7,31324
industrie étrangère ; article ; réuni,industrie étrangère ; divers,0,0,0
industrie étrangère ; article ; réuni,,1,54,31324
insecte,insecte,1,4,4
instrument ; astronomie,instrument ; astronomie,1,1,3
instrument ; astronomique,,0,0,0
instrument ; d'astronomie,instrument ; astronomie,1,2,3
instrument ; d'optique,instrument ; d'optique,1,12,12
instrument ; d'orfèvre,instrument ; d'orfèvre,0,0,0
instrument ; de ???,instrument,1,1,56
instrument ; de chimie,instrument ; de chimie,1,3,3
instrument ; de chirurgie,instrument ; de chirurgie,1,14,14
instrument ; de jardinage,instrument ; de jardinage,1,1,1
instrument ; de marine,instrument ; de marine,1,2,9
instrument ; de mathématique,,1,22,31324
"instrument ; de mathématique, chirurgie, etc.","instrument ; de mathématique, chirurgie, etc.",0,0,0
"instrument ; de mathématiques, chirurgie, etc.",,1,1,31324
instrument ; de mer,instrument ; de marine,1,7,9
instrument ; de musique,instrument ; de musique,1,295,324
instrument ; de musique ; basse,instrument ; de musique,1,4,324
instrument ; de musique ; basson,instrument ; de musique,1,1,324
instrument ; de musique ; clavecin,instrument ; de musique ; clavecin,1,3,3
instrument ; de musique ; de mathématique,instrument ; de musique,1,9,324
instrument ; de musique ; de vessie,instrument ; de musique ; de vessie,1,1,1
instrument ; de musique ; divers,instrument ; de musique,1,12,324
instrument ; de musique ; flute,instrument ; de musique ; flute,1,4,4
instrument ; de musique ; guitare,instrument ; de musique,1,1,324
instrument ; de musique ; harpe,instrument ; de musique ; harpe,1,1,1
instrument ; de musique ; luth,instrument ; de musique ; luth,1,4,4
instrument ; de musique ; piano,instrument ; de musique,1,2,324
instrument ; de musique ; violon,instrument ; de musique ; violon,1,37,37
instrument ; de musique ; épinette,instrument ; de musique ; épinette,1,3,3
instrument ; de musique et autre,instrument ; de musique et autre,0,0,0
instrument ; de mécanique,instrument ; de mécanique,1,3,3
instrument ; de physique,instrument ; de physique,1,14,19
instrument ; de pillotage,instrument ; de pillotage,1,1,1
instrument ; de pilotage,instrument ; de pilotage,1,2,2
instrument ; divers,instrument,1,55,56
instrument ; divers ; de physique,instrument ; de physique,1,5,19
instrument ; divers ; propre aux art libéraux,instrument ; divers ; propre aux art libéraux,0,0,0
instrument ; divers ; propre aux arts libéraux,,1,6,31324
instrument ; pour les art et les science,instrument ; pour les art et les science,0,0,0
instrument ; propre aux science,instrument ; propre aux science,0,0,0
instrument ; à jouer,,0,0,0
instrument ; astronomique,,1,1,31324
instrument ; d'orfèvre,,1,1,31324
instrument ; de mathématique,,1,2,31324
instrument ; de musique et autre,,1,11,31324
instrument ; divers,,1,43,31324
instrument ; pour les art et les science,,1,190,31324
instrument ; propre aux science,,1,2,31324
instrument ; à jouer,,1,1,31324
ipécacuana,drogue ; médicinale ; ipécacuana,1,136,149
ipécacuanha,,1,1,31324
iris,iris,1,68,68
iris ; de Florence,drogue ; pour la peinture et la teinture ; iris ; de Florence,1,13,13
iris ; de Florence,,1,2,31324
isaris,isaris,1,2,2
ivoire,ivoire,1,26,31
ivoire ; brut,ivoire ; brut,1,1,1
ivoire ; brut ; en dent d'éléphant,ivoire ; dent d'éléphant,1,3,19
ivoire ; brûlé,ivoire ; brûlé,1,1,1
ivoire ; dent d'éléphant,ivoire ; dent d'éléphant,1,14,19
ivoire ; divers,ivoire,1,5,31
ivoire ; en dent d'éléphant,ivoire ; dent d'éléphant,1,2,19
ivoire ; noir,ivoire ; noir,1,1,1
ivoire ; ouvré,ivoire ; ouvré,1,1,2
ivoire ; travaillé,ivoire ; ouvré,0,0,0
ivoire de Dieppe,ivoire de Dieppe,1,1,1
ivoire ; ouvré,,1,1,31324
ivoire ; travaillé,,1,1,31324
jais,jais,1,74,74
jais ; de chêne,jais ; de chêne,1,1,1
"jais ; en dentelle, collier et bouton","jais ; en dentelle, collier et bouton",1,1,1
jalap,jalap,1,153,153
jambon,jambon,1,545,547
jambon ; de Bayonne,jambon ; de Bayonne,0,0,0
jambon ; de Mayence,,0,0,0
jambon ; fumé,jambon,1,2,547
jambon ; de Bayonne,,1,7,31324
jambon ; de Mayence,,1,3,31324
janne,janne,1,1,1
janne ; gros,janne ; gros,1,1,1
jante,jante,1,1,1
jante et rais,jante et rais,1,1,1
jardinage ; divers,jardinage ; divers,1,1,1
jardiére de laine,jardiére de laine,1,1,1
jarre,jarre,1,48,48
jarre ; de terre,jarre ; de terre,1,9,9
jarretière,,1,2,31324
jarretière ; d'argent,jarretière ; d'argent,1,2,2
jarretière ; d'or et d'argent,jarretière ; d'or et d'argent,1,1,1
jarretière ; de fil,jarretière ; de fil,1,2,2
jarretière ; de filoselle,jarretière ; de filoselle,1,2,2
jarretière ; de fleuret,jarretière ; de fleuret,1,12,12
jarretière ; de laine,jarretière ; de laine,1,5,5
jarretière ; de soie,jarretière ; de soie,1,12,12
jarretière ; de soie or et argent,,1,1,31324
jarretière et ruban ; de laine,jarretière et ruban ; de laine,1,1,1
jarretière ; de laine,,1,1,31324
jarretière ; de soie,,1,5,31324
jas ; d'encre,drogue ; pour la peinture et la teinture ; jais,0,0,0
jaspe,jaspe,1,3,3
jas ; d'encre,,1,1,31324
jatte ; de bois,,1,3,31324
jaune ; commun,jaune ; commun,1,1,1
jaune ; de Naples,,1,26,31324
jaune ; de naples,jaune ; de naples,0,0,0
jaune ; doré,jaune ; doré,1,1,1
jaune ; gros,,0,0,0
jaune ; paille,jaune ; paille,1,2,2
jaune ; royale,jaune ; royale,1,1,1
jaune ; gros,,1,1,31324
jet ; de bière,jet ; de bière,1,1,1
jet ; de canne ; à poignée ; d'ambre,,1,1,31324
jet et lie ; de bière,jet et lie ; de bière,1,1,1
jeton ; d'argent,jeton ; d'argent,1,1,1
jeu ; d'échec,,1,1,31324
jeu ; de camagnolle,jeu ; de camagnolle,1,1,1
jeu ; de canne,jeu ; de canne,1,2,2
jeu ; de moulin,jeu ; de moulin,1,12,12
jeu ; de terre,jeu ; de terre,1,1,1
jeu ; de voile,jeu ; de voile,1,38,38
jeu ; en cristal garni de cuivre,jeu ; en cristal garni de cuivre,1,1,1
joaillerie,joaillerie,1,1,1
jolité ; en pinsbeck,jolité ; en pinsbeck,1,1,1
jolité ; mêlée,jolité ; mêlée,1,1,1
jonc,jonc,1,40,40
jonc ; commun,jonc ; commun,1,1,1
jonc ; des Indes,jonc ; des Indes,1,1,1
jonc ; entes,jonc ; entes,1,4,4
"jonc ; pour canne, bambou et rotin","jonc ; pour canne, bambou et rotin",0,0,0
"jonc ; pour canne, bambou et ruban","jonc ; pour canne, bambou et ruban",0,0,0
jonc ; rotin,jonc ; rotin,0,0,0
jonc ; à couvrir les toit,jonc ; à couvrir les toit,1,3,3
jonc ; à faire des canne,jonc ; à faire des canne,1,2,2
jonc ; à faire des chaise,jonc ; à faire des chaise,1,37,37
jonc ; à faire des vertgadins,jonc ; à faire des vertgadins,1,1,1
jonc ; à joncher ; volaille,,0,0,0
jonc ; à voile,jonc ; à voile,1,5,5
jonc et paille travaillée,jonc et paille travaillée,1,1,1
jonc et roseau,jonc et roseau,1,32,32
"jonc ; pour canne, bambou et rotin",,1,18,31324
"jonc ; pour canne, bambou et ruban",,1,8,31324
jonc ; rotin,,1,2,31324
jonc ; à faire des chaise,,1,1,31324
jonc ; à joncher ; volaille,,1,1,31324
jonquine,jonquine,1,9,9
jouer ; pour choisir,jouet,1,1,15
jouet,jouet,1,12,15
jouet ; d'enfant,,1,1,31324
jouet ; en bois,jouet ; en bois,0,0,0
jouet ; pour choisir,jouet,1,2,15
jouet ; en bois,,1,1,31324
jude fin,jude fin,1,1,1
juif qui payent le droit corporel à la sortie,juif qui payent le droit corporel à la sortie,0,0,0
juifs qui payent le droit corporel à la sortie,,1,1,31324
jujubes,jujubes,1,20,20
julienne,julienne,1,1,1
jument,bête de somme ; cheval,1,9,547
jupe,jupe,1,1,1
jupe ; de coton,jupe ; de coton,1,1,1
jupe ; de molton,jupe ; de molton,1,1,1
jupe ; piqué,jupe ; piqué,1,1,1
jupon,jupon,1,23,24
jupon ; de dame,jupon,0,0,0
jupon ; de satin,,1,1,31324
jupon ; de taffetas,,1,3,31324
jupon ; de toile peinte,jupon ; de toile peinte,0,0,0
jupon ; piqué,jupon ; piqué,1,2,2
jupon ; de dame,,1,1,31324
jupon ; de toile peinte,,1,1,31324
jus,jus,1,2,186
jus ; de citron,jus,1,182,186
jus ; de citron et de limon,jus ; de citron et de limon,1,2,2
jus ; de limon,jus ; de limon,1,2,2
jus ; de poire,jus,0,0,0
jus ; de pomme,jus,0,0,0
jus ; de réglisse,jus ; de réglisse,1,401,401
jus ; de poire,,1,1,31324
jus ; de pomme,,1,1,31324
koruoté,koruoté,1,1,1
labdanum,labdanum,1,2,2
lacet,lacet,1,4,4
lacet ; de fil,lacet ; de fil,1,19,19
lacet ; de filoselle,lacet ; de filoselle,1,9,9
lacet ; de fleuret,lacet ; de fleuret,1,17,17
lacet ; de laine,lacet ; de laine,1,1,1
lacet ; de peau,,1,3,31324
lacet ; de soie,lacet ; de soie,1,15,15
laimois,laimois,1,10,10
lainage,lainage,1,1,2
lainage ; bonneterie,lainage ; bonneterie,1,133,133
lainage ; couverture,lainage ; couverture,1,53,53
"lainage ; couverture, tapisserie","lainage ; couverture, tapisserie",1,54,54
lainage ; draperie,lainage ; draperie,0,0,0
lainage ; draperie ; diverse,lainage ; draperie,0,0,0
lainage ; draperie ; fine,lainage ; draperie ; fine,0,0,0
lainage ; draperie ; ordinaire,lainage ; draperie ; ordinaire,0,0,0
lainage ; draperie petite et étoffe,lainage ; draperie petite et étoffe,0,0,0
lainage ; schal,lainage ; schal,0,0,0
lainage ; schal ; de laine et poil,lainage ; schal ; de laine et poil,0,0,0
lainage ; schal et mouchoir,lainage ; schal et mouchoir,0,0,0
lainage ; étoffe,lainage ; étoffe,0,0,0
"lainage ; étoffe ; fine, en casimir","lainage ; étoffe ; fine, en casimir",0,0,0
"lainage ; étoffe ; fine, en casimir et mérinos","lainage ; étoffe ; fine, en casimir et mérinos",0,0,0
"lainage, d'Arras",lainage,1,1,2
lainage ; draperie,,1,71,31324
lainage ; draperie petite et étoffe,,1,66,31324
lainage ; draperie ; diverse,,1,39,31324
lainage ; draperie ; fine,,1,62,31324
lainage ; draperie ; ordinaire,,1,70,31324
lainage ; schal,,1,43,31324
lainage ; schal ; de laine et poil,,1,46,31324
lainage ; schal et mouchoir,,1,30,31324
lainage ; étoffe,,1,19,31324
"lainage ; étoffe ; fine, en casimir",,1,10,31324
"lainage ; étoffe ; fine, en casimir et mérinos",,1,23,31324
laine,laine,1,484,684
laine ;  de Levant,,1,1,31324
laine ; ?,laine,1,2,684
laine ; agnelin ; en suint,,1,2,31324
laine ; angora,laine ; angora,0,0,0
laine ; apprêtée ; pour perruque,laine ; apprêtée ; pour perruque,1,1,1
laine ; blanche,laine ; blanche,1,1,1
laine ; blanche ; non filée,laine ; blanche ; non filée,1,1,1
laine ; brute,laine ; brute,1,23,25
laine ; brute ; de mouton,laine ; brute,0,0,0
laine ; brute ou non lavée,laine ; brute,1,1,25
laine ; bâtarde,laine ; bâtarde,1,2,2
laine ; commune,laine ; commune,1,89,89
"laine ; commune, ordinaire, lavée et en suint",laine,0,0,0
laine ; crotelin,laine ; crotelin,1,1,1
laine ; crue,laine ; crue,1,1,1
laine ; d'Allemagne,laine ; d'Allemagne,1,75,75
laine ; d'Angleterre,laine ; d'Angleterre,1,2,2
laine ; d'Espagne,laine ; d'Espagne,1,168,238
laine ; d'Espagne ; Amaletat,laine ; d'Espagne,1,1,238
laine ; d'Italie,laine ; d'Italie,1,2,7
laine ; d'agneau,laine ; d'agneau,0,0,0
laine ; d'agnelin,laine ; d'agnelin,1,52,52
laine ; d'alpaca,laine ; d'alpaga,1,2,2
laine ; d'aquelin,laine ; d'aquelin,1,3,3
laine ; d'autriche,laine ; d'autriche,1,31,31
laine ; d'écru,laine ; d'écru,0,0,0
laine ; de Bologne,laine ; de Bologne,1,3,3
laine ; de Brabant,laine ; de Brabant,1,1,1
laine ; de Brême,laine ; de Brême,1,1,1
laine ; de Béarn,laine ; du Béarn,1,10,10
laine ; de Constantinople,laine ; de Constantinople,1,1,1
laine ; de Danemark,laine ; de Danemark,1,7,7
laine ; de Hollande,laine ; de Hollande,1,6,6
laine ; de Levant,laine ; du Levant,1,17,18
laine ; de Moscou,laine ; de Moscou,1,1,1
laine ; de Perse,,1,10,31324
laine ; de Pologne,laine ; de Pologne,1,16,16
laine ; de Pologne et autre laine étrangère,laine ; de Pologne et autre laine étrangère,1,1,1
laine ; de Poméranie,laine ; de Poméranie,1,1,1
laine ; de Portugal,laine ; de Portugal,1,35,35
laine ; de Pouille,laine ; d'Italie,1,1,7
laine ; de Prusse,laine ; de Prusse,1,1,1
laine ; de Rome,laine ; d'Italie,1,3,7
laine ; de Smyrne,laine ; de Smyrne,1,1,1
laine ; de Suède,laine ; de Suède,1,1,1
laine ; de Ségovie,laine ; d'Espagne,1,69,238
laine ; de Venise,laine ; d'Italie,1,1,7
laine ; de Vigogne,laine ; de Vigogne,1,61,61
laine ; de barbarie,laine ; de barbarie,1,8,8
laine ; de chamois,laine ; de chamois,1,1,1
laine ; de chevron,laine ; de chevron,1,130,130
laine ; de chevron et poil de chameau,laine ; de chevron et poil de chameau,0,0,0
laine ; de chevron et poil de lapin,laine ; de chevron et poil de lapin,0,0,0
"laine ; de chevron, poil de chameau et vigogne","laine ; de chevron, poil de chameau et vigogne",0,0,0
laine ; de chèvre,laine ; de chèvre,1,10,10
laine ; de fer,laine ; de fer,1,1,1
laine ; de l'Arménie,laine ; de l'Arménie,1,30,30
laine ; de nigagne,laine ; de nigagne,1,3,3
laine ; de renne,laine ; de renne,1,1,1
laine ; de tan,laine ; de tan,1,1,1
laine ; de tapisserie,,1,1,31324
laine ; de vigogne,,0,0,0
laine ; diverse,laine,1,193,684
laine ; du Levant,laine ; du Levant,0,0,0
laine ; du nord,,1,13,31324
laine ; déchet,laine ; déchet,0,0,0
"laine ; déchet, tontisse et penne",laine ; déchet,0,0,0
"laine ; déchet, tontisse, bourre",laine ; déchet,0,0,0
laine ; en côte,laine ; en côte,0,0,0
laine ; en flotte,laine ; en flotte,1,1,1
laine ; en laine,laine ; en laine,1,2,2
laine ; en masse,laine,0,0,0
laine ; en poil de chameau,laine ; en poil de chameau,0,0,0
laine ; en rame,laine ; en rame,1,27,27
laine ; en suint,laine ; en suint,1,44,44
laine ; en surge,laine ; en surge,1,4,4
laine ; en toison,laine ; en toison,1,25,25
laine ; filée,laine ; filée,1,200,200
laine ; filée et fine,laine ; filée et fine,1,3,3
laine ; fine,laine ; fine,1,15,15
laine ; fine et de chevron,laine ; fine et de chevron,0,0,0
laine ; fine et filée,laine ; fine et filée,0,0,0
laine ; fine mérinos en suint,laine ; fine mérino en suint,0,0,0
laine ; fine mérinos lavée,laine ; fine mérinos lavée,0,0,0
"laine ; fine, blanche, filée et teinte","laine ; fine, blanche, filée et teinte",0,0,0
"laine ; fine, filée et teinte","laine ; fine, filée et teinte",0,0,0
laine ; grasse et filée,laine ; grasse et filée,1,1,1
laine ; grosse,laine ; grosse,1,19,19
laine ; lavée,laine ; lavée,1,256,256
laine ; menue,laine ; menue,1,3,3
laine ; mérinos en suint,laine ; mérinos en suint,0,0,0
laine ; mérinos lavée,laine ; mérinos lavée,0,0,0
"laine ; mérinos, lavée et en suint","laine ; mérinos, lavée et en suint",0,0,0
laine ; mêlée,laine ; mêlée,1,1,1
laine ; non filée,,1,19,31324
laine ; non peignée,laine ; non peignée,1,1,1
laine ; ordinaire,laine ; ordinaire,0,0,0
laine ; ordinaire en masse,laine ; ordinaire en masse,0,0,0
laine ; peignée,laine ; peignée,1,121,121
laine ; pelade,laine ; pelade,1,39,39
laine ; pelluche,laine ; pelluche,1,5,5
laine ; petite,laine ; petite,1,1,1
laine ; place,laine ; place,1,2,2
laine ; pour chapelier,laine ; pour chapelier,1,1,1
laine ; serge,drap ; serge,1,173,203
laine ; tannée,laine ; tannée,1,1,1
laine ; teinte,laine ; teinte,1,4,4
laine ; toison,laine ; toison,1,3,3
laine ; vigogne,laine ; vigogne,1,1,1
laine ; vivante,,1,1,31324
laine ; à broder,laine ; à broder,1,11,11
laine ; à lisière,laine ; à lisière,1,2,2
laine ; à matelas,laine ; à matelas,1,3,3
laine ; à tapisserie,laine ; à tapisserie,1,84,84
laine ; à tricoter,laine ; à tricoter,1,1,1
laine ; écrin ; lavée,laine ; écrin ; lavée,0,0,0
laine ; angora,,1,1,31324
laine ; brute ; de mouton,,1,1,31324
"laine ; commune, ordinaire, lavée et en suint",,1,8,31324
laine ; d'agneau,,1,1,31324
laine ; d'écru,,1,5,31324
laine ; de Ségovie,,1,1,31324
laine ; de chevron,,1,2,31324
laine ; de chevron et poil de chameau,,1,43,31324
laine ; de chevron et poil de lapin,,1,5,31324
"laine ; de chevron, poil de chameau et vigogne",,1,18,31324
laine ; de vigogne,,1,1,31324
laine ; du Levant,,1,1,31324
laine ; déchet,,1,2,31324
"laine ; déchet, tontisse et penne",,1,1,31324
"laine ; déchet, tontisse, bourre",,1,5,31324
laine ; en côte,,1,5,31324
laine ; en masse,,1,1,31324
laine ; en poil de chameau,,1,8,31324
laine ; fine,,1,8,31324
laine ; fine et de chevron,,1,9,31324
laine ; fine et filée,,1,13,31324
laine ; fine mérinos en suint,,1,10,31324
