marchandises_norm_ortho,marchandises_simplifiees,source_bdc,nbr_bdc_marchandises_norm_ortho,nbr_bdc_marchandises_simplifiees
argenterie ; diverse,argenterie ; diverse,1,41,41
argenterie ; en vaisselle,argenterie ; en vaisselle,0,0,0
argenterie ; tabatière,argenterie ; tabatière,1,1,1
argenterie ; vieille,argenterie ; vieille,0,0,0
argenterie ; épée,argenterie ; épée,1,7,7
argenterie et bijouterie,argenterie et bijouterie,1,6,6
argenterie et orfèvrerie,argenterie et orfèvrerie,1,121,121
argenterie et orfèvrerie ; vermeil,argenterie et orfèvrerie ; vermeil,0,0,0
argenterie et orfèvrerie ; vermeil,,1,37,31324
argenterie ; en vaisselle,,1,1,31324
argenterie ; vieille,,1,1,31324
argent ; en lame,,1,1,31324
argent ; en matière,,1,1,31324
argent ; ouvré,,1,1,31324
argile,argile,1,1,1
aristoloche,aristoloche,1,19,19
armagnac,armagnac,1,1,1
arme,arme,1,126,158
"arme ; artillerie ; en canon, pierrier, espingole et mortier","arme ; artillerie ; en canon, pierrier, espingole et mortier",1,3,3
arme ; blanche,arme ; blanche,1,115,128
arme ; blanche ; bayonnette,arme ; blanche ; bayonnette,1,1,1
arme ; blanche ; diverse,arme ; blanche,1,13,128
arme ; blanche ; lame,arme ; blanche ; lame,1,1,1
arme ; blanche ; lame ; d'épée,arme ; blanche ; lame ; d'épée,0,0,0
arme ; blanche ; lame ; d'épée,,1,1,31324
arme ; blanche ; lance d'épée,arme ; blanche ; lance d'épée,1,1,1
arme ; blanche ; sabre,arme ; blanche ; sabre,1,4,4
arme ; blanche ; épée,arme ; blanche ; épée,1,11,12
arme ; blanche ; épée ; d'argent,arme ; blanche ; épée,1,1,12
arme ; blanche et à feu,arme ; blanche et à feu,1,1,1
arme ; de main,arme ; de main,1,1,1
arme ; diverse,arme ; diverse,1,100,100
arme ; pique,arme ; pique,0,0,0
arme ; réunie,arme,1,30,158
arme ; à feu,arme ; à feu,1,201,201
arme ; à feu ; diverse,arme ; à feu ; diverse,1,25,25
arme ; à feu ; fusil,arme ; à feu ; fusil,1,52,108
arme ; à feu ; fusil ; de chasse,arme ; à feu ; fusil,1,1,108
arme ; à feu ; pistolet,arme ; à feu ; pistolet,1,15,28
arme et munition ; diverse,arme et munition ; diverse,1,9,9
arme non reprise,arme,1,1,158
arme remontrance,arme,1,1,158
"arme, canon et balle de fer",arme ; canon et balle de fer,1,1,1
arme ; pique,,1,1,31324
armoire,armoire,1,33,33
armoire ; ayant servi,armoire ; ayant servi,0,0,0
armoire ; de chêne,armoire ; de chêne,1,4,4
armoire ; de chêne ; ornée,armoire ; de chêne ; ornée,1,1,1
armoire ; de noyer,armoire ; de noyer,1,2,2
armoire ; de sapin,armoire ; de sapin,1,1,1
armoire ; ayant servi,,1,1,31324
armoisin,armoisin,1,6,6
armoisin/taffetas,armoisin/taffetas,1,1,1
armure,armure,1,1,1
armure ; de fer,armure ; de fer,1,1,1
armure ; vieille,armure ; vieille,1,1,1
arpois,arpois,1,1,1
arquebuse,arquebuse,1,1,1
arquifou,arquifou,1,146,146
arrosoir,arrosoir,1,1,1
arrosoir ; de bois,arrosoir ; de bois,1,1,1
arrosoir ; de fer ; blanc,arrosoir ; de fer ; blanc,1,1,1
arsenic,arsenic,1,172,172
arson ; de bois,arson ; de bois,1,1,1
art de peau,art de peau,1,1,1
artichaut,artichaut,1,46,46
artichaut ; confit,artichaut ; confit,1,15,15
artichaut ; mariné,artichaut ; mariné,1,2,2
artichaut ; sec,artichaut ; sec,1,2,2
article ; d'industrie ; réuni,industrie ; divers,1,56,56
article ; divers,article ; divers,1,1,1
article ; réuni,divers,1,2747,3191
article ; réuni ; de peu de valeur,divers,1,399,3191
article ; réuni ; de tissu étranger réexporté,divers,1,26,3191
article ; réuni ; de valeur inférieur à 2000 francs chacun,divers,1,10,3191
artifice,artifice,1,4,4
artillerie,artillerie,1,7,7
artillerie ; de uivre,artillerie ; de cuivre,1,1,1
artillerie ; en boulet,artillerie ; en boulet,1,1,1
"artillerie ; en canon, bombe",canon,1,3,10
"artillerie ; en canon, boulet","artillerie ; en canon, boulet",1,1,1
arçon,arçon,1,1,1
arçon ; de selle,arçon ; de selle,1,3,3
arçon de selle,arçon de selle,1,2,2
arçon démonté ; en gabare,arçon démonté ; en gabare,1,1,1
asperge,ouvrage ; de bois ; aviron,1,9,40
asperge et scorsionnaire,asperge et scorsionnaire,1,1,1
asphalte,asphalte,1,11,11
aspolatum,aspolatum,1,1,1
assa fétide,drogue ; médicinale ; assa fétide,1,47,50
assiette,assiette,1,1,1
