pays,pays_corriges,pays_regroupes
"Etats unis de l'amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'Amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'Amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'amerique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-Unis d'amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Etats-unis d'Amérique","États-Unis d'Amérique","États-Unis d'Amérique"
"Flandre","Flandre","Flandre"
"Flandre Autrichienne","Flandre","Flandre"
"Flandres","Flandre","Flandre"
"GENES","Gênes","Italie"
"Genes","Gênes","Italie"
"Genese","Gênes","Italie"
"Geneve","Genève","Suisse"
"Geneve -Suisse","Genève-Suisse","Suisse"
"Gennes","Gennes","Suisse"
"Genses","Gênes","Italie"
"Genéve","Genève","Suisse"
"Genève","Genève","Suisse"
"Guinee","Guinée","Guinée"
"Guinnée","Guinée","Guinée"
"Guinée","Guinée","Guinée"
"Gènes","Gênes","Italie"
"Gèneve","Genève","Suisse"
"Gênes","Gênes","Italie"
"Holande","Hollande","Hollande"
"Hollande","Hollande","Hollande"
"Holllande","Hollande","Hollande"
"Iles","Iles","Colonies"
"Inde","Indes","Indes"
"Indes","Indes","Indes"
"Isles","Iles","Colonies"
"Isles Françoises de l'Amerique, Canada et Terre-Neuve","Isles françaises","Colonies"
"Isles Françoises de l'Amerique, le Canada et Terre-neuve","Isles françaises","Colonies"
"Isles Françoises de l'Amerique, le Canada et Terre-neuve, et Guinée","Isles françaises","Colonies"
"Italie","Italie","Italie"
"Le","Levant","Levant"
"Levant","Levant","Levant"
"Milane et toscane","Milanais-Toscane","Italie"
"Milanes de Toscane","Toscane","Italie"
"Milanes et toscane","Milanais-Toscane","Italie"
"Milanes et toscane et luques","Milanais-Toscane","Italie"
"Milanes-Toscana","Milanais-Toscane","Italie"
"Milanes-Toscane","Milanais-Toscane","Italie"
"Milanie Toscane","Toscane","Italie"
"Naples","Naples","Italie"
"Noples","Naples","Italie"
"Nord","Nord","Nord"
"Nord avec villes Anseatiques","Villes hanséatiques-Nord","Allemagne"
"Nord avec villes Anséatiques","Villes hanséatiques-Nord","Allemagne"
"Norde","Nord","Nord"
"Pologne","Pologne","Allemagne"
"Portigal","Portugal","Portugal"
"Portogal","Portugal","Portugal"
"Portugal","Portugal","Portugal"
"Portugal, Isles Madere, Terceres et Acores","Portugal","Portugal"
"Pourtgal","Portugal","Portugal"
"Prusse","Prusse","Allemagne"
"Republique de Genes","Gênes","Italie"
"Republique de Gènes","Gênes","Italie"
"Republique de Suisse","Suisse","Suisse"
"Republique de Venise","Venise","Italie"
"Republique de genes","Gênes","Italie"
"Republique de suisse","Suisse","Suisse"
"Royaume d'Espagne","Espagne","Espagne"
"Royaume de Danemarck","Danemark","Nord"
"Royaume de Danemark","Danemark","Nord"
"Royaume de GENES","Gênes","Italie"
"Royaume de Genes","Gênes","Italie"
"Royaume de Hollande","Hollande","Hollande"
"Royaume de Naple","Naples","Italie"
"Royaume de Naples","Naples","Italie"
"Royaume de Portugal","Portugal","Portugal"
"Royaume de Potugal","Portugal","Portugal"
"Royaume de Prusse","Prusse","Allemagne"
"Royaume de Sardaigne","Sardaigne","Italie"
"Royaume de Suede","Suède","Nord"
"Royaume de Suisse","Suisse","Suisse"
"Royaume de Suède","Suède","Nord"
"Royaume de genes","Gênes","Italie"
"Royaume de naples","Naples","Italie"
"Royaume de portugal","Portugal","Portugal"
"Royaume de sardaigne","Sardaigne","Italie"
"Royaume de sue","Suède","Nord"
"Royaume de suede","Suède","Nord"
"Royaume de suède","Suède","Nord"
"Russa","Russie","Nord"
"Russie","Russie","Nord"
"République de Genes","Gênes","Italie"
"République de Gènes","Gênes","Italie"
"République de Prusse","Prusse","Allemagne"
"République de Suisse","Suisse","Suisse"
"République de VENISE","Venise","Italie"
"République de Venise","Venise","Italie"
"République de genes","Gênes","Italie"
"République de suisse","Suisse","Suisse"
"Sans","",""
"Sardaigne","Sardaigne","Italie"
"Savoie","Savoie","Italie"
"Savoye","Savoie","Italie"
"Savoye et Piemont","Savoye","Italie"
"Suede","Suède","Nord"
"Suise","Suisse","Suisse"
"Suisse","Suisse","Suisse"
"Suisse et Geneve","Genève-Suisse","Suisse"
"Suisse-Geneve","Genève-Suisse","Suisse"
"Suède","Suède","Nord"
"Toscane","Toscane","Italie"
"Venice","Venise","Italie"
"Venise","Venise","Italie"
"Venisr","Venise","Italie"
"Ville Auséatique","Villes hanséatiques","Allemagne"
"Ville auséatique","Villes hanséatiques","Allemagne"
"Villees Auséatiques","Villes hanséatiques","Allemagne"
"Villes Anséatiques","Villes hanséatiques","Allemagne"
"Villes Auséatiques","Villes hanséatiques","Allemagne"
"Villes anséatique","Villes hanséatiques","Allemagne"
"Villes anséatiques","Villes hanséatiques","Allemagne"
"Villes ausiatiques","Villes hanséatiques","Allemagne"
"Villes auséatiques","Villes hanséatiques","Allemagne"
"Villes hanséatiques","Villes hanséatiques","Allemagne"
"Villes***","Villes hanséatiques","Allemagne"
"allemagne","Allemagne","Allemagne"
"allmagne","Allemagne","Allemagne"
"angleterre","Angleterre","Angleterre"
"danemark","Danemark","Nord"
"empire d'Aurtiche","Autriche","Autriche"
"empire d'Autriche","Autriche","Autriche"
"espagne","Espagne","Espagne"
"etats de l empereur","Flandre","Flandre"
"etats de l'empereur","Flandre","Flandre"
"etats de l'empreur","Flandre","Flandre"
"etats ecclésiastiques","États ecclésiastiques","Italie"
"etats eclésiastiques","États ecclésiastiques","Italie"
"gen","Gênes","Italie"
"genes","Gênes","Italie"
"geneve","Genève","Suisse"
"gennes","Gênes","Italie"
"guinée","Guinée","Guinée"
"gènes","Gênes","Italie"
"hollande","Hollande","Hollande"
"indes","Indes","Indes"
"isles","Iles","Colonies"
"italie","Italie","Italie"
"levant","Levant","Levant"
"naples","Naples","Italie"
"nord","Nord","Nord"
"pologne - Geneve","Pologne-Genève",""
"republique de Suisse","Suisse","Suisse"
"russie","Russie","Nord"
"république de Suisse","Suisse","Suisse"
"savoye","Savoye","Italie"
"suede","Suède","Nord"
"suisse","Suisse","Suisse"
"suisse geneve","Genève-Suisse","Suisse"
"suède","Suède","Nord"
"venise","Venise","Italie"
